abstract-region;['produkt', 'produkt i matematikk'];Resultatet av multiplikasjon
agentive-physical-object;['åbor', 'abbor', 'abborar', 'abborer', 'tryte', 'åborar', 'perca fluviatilis'];Ferskvassfisk
agentive-physical-object;['aeschynanthus'];Planteslekt
agentive-physical-object;['agrimonia'];Planteslekt
agentive-physical-object;['akeleieslekta', 'akeleie', 'aquilegia'];Planteslekt
agentive-physical-object;['portulaca'];Planteslekt
agentive-physical-object;['kløver', 'kløverslekta', 'trifolium', 'kløverart'];Planteslekt
agentive-physical-object;['sitron'];Gul sitrusfrukt
agentive-physical-object;['kalkulator'];Due dom viss du søke på dette
agentive-physical-object;['othonna'];Planteslekt
agentive-physical-object;['kickstarter'];Ein metode for å starte ein motor (ofte på motorsykkel) med kraft frå foten via ein pedal
agentive-physical-object;['tre'];vokster
agentive-physical-object;['eukalyptusslekta', 'eukalyptus', 'eucalyptus', 'eukalyptusslekten'];Planteslekt
agentive-physical-object;['basillar', 'bacillus'];Slekt av bakteriar
agentive-physical-object;['lepidobotrys'];Planteslekt
agentive-physical-object;['martes'];Pattedyrslekt
agentive-physical-object;['edderkoppdyr', 'arachnida', 'araknidar', 'araknid'];Klasse av leddyr
agentive-physical-object;['hippeastrum'];Planteslekt
agentive-physical-object;['carya'];Planteslekt
agentive-physical-object;['månefisk'];Fiskeslekt
agentive-physical-object;['dyrevirus', 'animalsk virus'];virus som smitter til dyr
agentive-physical-object;['procônsul'];Pattedyrslekt
agentive-physical-object;['clusia'];Planteslekt
agentive-physical-object;['phaius'];Planteslekt
agentive-physical-object;['eukaryotar', 'eukariotar', 'eukarya', 'eukaryot', 'eukaryota', 'eukariot', 'eukariot organisme', 'eukariote organismar', 'eukaryot organisme', 'eukaryote organismar', 'eukaryot celle', 'eukaryot selle', 'eukaryote'];Organismar med sellekjernar
agentive-physical-object;['virveldyr', 'kraniedyr', 'ryggbeinsdyr', 'ryggradsdyr', 'vertebrata', 'vertebratar', 'kverveldyr'];Klade av ryggstrengdyr
agentive-physical-object;['serralha'];Wikimedia-fleirtydingsside
agentive-physical-object;['kveite', 'kveitekorn', 'kveiteslekta', 'triticum', 'brødkveite', 'hvete'];korn av planter i kveiteslekta
agentive-physical-object;['blåpraktvindel'];planteart
agentive-physical-object;['solsikke'];En planteart
agentive-physical-object;['echinocactus'];Planteslekt
agentive-physical-object;['mammillaria'];Planteslekt
agentive-physical-object;['granslekta', 'picea', 'grantre'];Slekt i furufamilien med om lag 40 eviggrøne artar, mellom dei typearten gran (P. abies)
agentive-physical-object;['davallia'];Planteslekt
agentive-physical-object;['woodsia'];Planteslekt
agentive-physical-object;['chaetodon'];Fiskeslekt
agentive-physical-object;['spirillum'];bakterieslekt i familien Spirillaceae
agentive-physical-object;['calceolaria'];Planteslekt
agentive-physical-object;['pogonia'];Planteslekt
agentive-physical-object;['epacris'];Planteslekt
agentive-physical-object;['trillium'];Planteslekt
agentive-physical-object;['menneske', 'homo', 'homo sapiens sapiens', 'h. sapiens', 'homo sapiens', 'menneska', 'mennesket', 'menneskja', 'menneskebarn'];Pattedyrslekt
agentive-physical-object;['menneske', 'homo', 'homo sapiens sapiens', 'h. sapiens', 'homo sapiens', 'menneska', 'mennesket', 'menneskja', 'menneskebarn'];Underart av pattedyr
agentive-physical-object;['krepsdyr', 'crustacea'];Underrekkje av leddyr
agentive-physical-object;['physa'];Blautdyrslekt
agentive-physical-object;['heliopsis'];Planteslekt
agentive-physical-object;['odontoglossum'];Planteslekt
agentive-physical-object;['hyacinthus', 'hyasintslekta', 'hyasint'];Planteslekt
agentive-physical-object;['bitterweed', 'ambrosia'];Planteslekt
agentive-physical-object;['lerk'];Planteslekt
agentive-physical-object;['vierslekta', 'salix', 'piletre'];Planteslekt
agentive-physical-object;['maranta'];Planteslekt
agentive-physical-object;['sceloporus'];Krypdyrslekt
agentive-physical-object;['draba'];Planteslekt
agentive-physical-object;['krokus', 'crocus'];Planteslekt
agentive-physical-object;['thamnophis'];Krypdyrslekt
agentive-physical-object;['maxillaria'];Planteslekt
agentive-physical-object;['tulipanslekta', 'tulipan'];Planteslekt
agentive-physical-object;['krysantemum'];Planteslekt
agentive-physical-object;['hemerocallis', 'dagliljeslekta', 'hemoracalis'];Planteslekt
agentive-physical-object;['storkenebbslekta', 'geranium'];Planteslekt
agentive-physical-object;['begonia'];Planteslekt
agentive-physical-object;['tickseed', 'coreopsis'];Planteslekt
agentive-physical-object;['peoner'];Planteslekt
agentive-physical-object;['primula'];Planteslekt
agentive-physical-object;['vanda'];Planteslekt
agentive-physical-object;['combretum'];Planteslekt
agentive-physical-object;['murarbin', 'osmia'];Insektslekt
agentive-physical-object;['albizia'];Planteslekt
agentive-physical-object;['lønn', 'acer', 'løn', 'lønn tretype', 'lønnefamilien', 'lønnslekta', 'lønnetre', 'lønslekta'];Planteslekt
agentive-physical-object;['kastanje'];Planteslekt
agentive-physical-object;['hovea'];Planteslekt
agentive-physical-object;['lecanopteris'];Planteslekt
agentive-physical-object;['boa'];Krypdyrslekt
agentive-physical-object;['zoysia'];Planteslekt
agentive-physical-object;['trachinotus'];Fiskeslekt
agentive-physical-object;['pyrola'];Planteslekt
agentive-physical-object;['arbutus'];Planteslekt
agentive-physical-object;['dillenia'];Planteslekt
agentive-physical-object;['hamelia'];Planteslekt
agentive-physical-object;['aneides'];Amfibieslekt
agentive-physical-object;['tysbastslekta', 'daphne'];Planteslekt
agentive-physical-object;['gloxinia'];Planteslekt
agentive-physical-object;['ryllikslekta', 'achillea'];Planteslekt
agentive-physical-object;['catananche'];Planteslekt
agentive-physical-object;['revebjølle'];Planteslekt
agentive-physical-object;['freesia'];Planteslekt
agentive-physical-object;['hepática'];Planteslekt
agentive-physical-object;['sjasminslekta', 'sjasmin', 'jasminum'];Planteslekt
agentive-physical-object;['kamelia'];Planteslekt
agentive-physical-object;['gliricidia'];Planteslekt
agentive-physical-object;['bougainvillea'];Planteslekt
agentive-physical-object;['areca'];Planteslekt
agentive-physical-object;['cinchona'];Planteslekt
agentive-physical-object;['fortunella'];Planteslekt
agentive-physical-object;['christella'];Planteslekt
agentive-physical-object;['phenacomys'];Pattedyrslekt
agentive-physical-object;['fiolar', 'fiolslekta', 'fiol', 'viola'];Planteslekt i fiolfamilien
agentive-physical-object;['monarda'];Planteslekt
agentive-physical-object;['gastrolobium'];Planteslekt
agentive-physical-object;['meloe'];Insektslekt
agentive-physical-object;['philadelphus', 'skjærsminslekta', 'mock-orange'];Planteslekt
agentive-physical-object;['aster'];Planteslekt
agentive-physical-object;['abelia'];Planteslekt
agentive-physical-object;['stephanotis'];Planteslekt
agentive-physical-object;['pavonia'];Planteslekt
agentive-physical-object;['edelgran', 'edelgranslekta', 'abies'];Planteslekt
agentive-physical-object;['varanidae'];Krypdyrslekt
agentive-physical-object;['june beetle', 'phyllophaga'];Insektslekt
agentive-physical-object;['cosmos'];Planteslekt
agentive-physical-object;['hemaris'];Insektslekt
agentive-physical-object;['ligustrum', 'ligusterslekta'];Planteslekt
agentive-physical-object;['bletia'];Planteslekt
agentive-physical-object;['caladenia'];Planteslekt
agentive-physical-object;['stanhopea'];Planteslekt
agentive-physical-object;['klematis'];Planteslekt
agentive-physical-object;['lomatia'];Planteslekt
agentive-physical-object;['plectranthus'];Planteslekt
agentive-physical-object;['torvmosar', 'kvitmosar', 'sphagnum', 'torvmoseslekta', 'kvitmose', 'torvmose'];Planteslekt
agentive-physical-object;['loasa'];Planteslekt
agentive-physical-object;['stokkrose'];Planteslekt
agentive-physical-object;['aralia'];Planteslekt
agentive-physical-object;['arnoglossum'];Planteslekt
agentive-physical-object;['klokkeslekta', 'campanula'];Planteslekt
agentive-physical-object;['klokkeslekta', 'campanula'];Planteslekt
agentive-physical-object;['coronilla'];Planteslekt
agentive-physical-object;['cymbidium'];Planteslekt
agentive-physical-object;['helenium'];Planteslekt
agentive-physical-object;['mutisia'];Planteslekt
agentive-physical-object;['nierembergia'];Planteslekt
agentive-physical-object;['peperomia'];Planteslekt
agentive-physical-object;['phlomis'];Planteslekt
agentive-physical-object;['physostegia'];Planteslekt
agentive-physical-object;['sálvia'];Planteslekt
agentive-physical-object;['scabiosa'];Planteslekt
agentive-physical-object;['bergknappslekta', 'sedum'];Planteslekt
agentive-physical-object;['senna'];Planteslekt
agentive-physical-object;['sesbania'];Planteslekt
agentive-physical-object;['spathiphyllum'];Planteslekt
agentive-physical-object;['stapelia'];Planteslekt
agentive-physical-object;['pultenaea'];Planteslekt
agentive-physical-object;['ursinia'];Planteslekt
agentive-physical-object;['vernonia'];Planteslekt
agentive-physical-object;['vernonia'];Planteslekt
agentive-physical-object;['zinnia'];Planteslekt
agentive-physical-object;['solblomslekta', 'arnica'];Planteslekt
agentive-physical-object;['calanthe'];Planteslekt
agentive-physical-object;['sobralia'];Planteslekt
agentive-physical-object;['calliandra'];Planteslekt
agentive-physical-object;['deutzia'];Planteslekt
agentive-physical-object;['dombeya'];Planteslekt
agentive-physical-object;['heliophila'];Planteslekt
agentive-physical-object;['laelia'];Planteslekt
agentive-physical-object;['harpullia'];Planteslekt
agentive-physical-object;['casuarina'];Planteslekt
agentive-physical-object;['alm', 'almetre'];Planteslekt
agentive-physical-object;['brassavola'];Planteslekt
agentive-physical-object;['mimosa'];Planteslekt
agentive-physical-object;['salamandrar', 'urodela', 'haleamfibium', 'halepadde', 'halepadder', 'salamander'];Amfibieorden
agentive-physical-object;['jåblomslekta', 'parnassia'];Planteslekt
agentive-physical-object;['derris'];Planteslekt
agentive-physical-object;['aerides'];Planteslekt
agentive-physical-object;['cattleya'];Planteslekt
agentive-physical-object;['oncidium'];Planteslekt
agentive-physical-object;['oncidium'];Planteslekt
agentive-physical-object;['oncidium'];Planteslekt
agentive-physical-object;['mikroorganisme', 'mikroorganismar', 'kime', 'mikrobe'];Særs liten levande organisme
agentive-physical-object;['julerose', 'helleborus'];planteslekt
agentive-physical-object;['acanthus'];Planteslekt
agentive-physical-object;['achimenes'];Planteslekt
agentive-physical-object;['alocasia'];Planteslekt
agentive-physical-object;['amorpha'];Planteslekt
agentive-physical-object;['andryala'];Planteslekt
agentive-physical-object;['argemone'];Planteslekt
agentive-physical-object;['astilbe'];Planteslekt
agentive-physical-object;['astrantia'];Planteslekt
agentive-physical-object;['bergenia', 'bergblom', 'bergblomslekta'];Planteslekt
agentive-physical-object;['caladium'];Planteslekt
agentive-physical-object;['canna'];Planteslekt i kannafamilien
agentive-physical-object;['riddarsporeslekta', 'delphinium'];Planteslekt
agentive-physical-object;['dracontium'];Planteslekt
agentive-physical-object;['episcia'];Planteslekt
agentive-physical-object;['klokkelyngslekta', 'erica'];Planteslekt
agentive-physical-object;['eriogonum'];Planteslekt
agentive-physical-object;['filago'];Planteslekt
agentive-physical-object;['forestiera'];Planteslekt
agentive-physical-object;['gazania'];Planteslekt
agentive-physical-object;['gesneria'];Planteslekt
agentive-physical-object;['helianthemum'];Planteslekt
agentive-physical-object;['solsikkeslekta', 'helianthus'];Planteslekt i korgplantefamilien
agentive-physical-object;['hibiscus'];Planteslekt
agentive-physical-object;['inula'];Planteslekt
agentive-physical-object;['greplyngslekta', 'kalmia', 'loiseleuria'];Planteslekt
agentive-physical-object;['nemophila'];Planteslekt
agentive-physical-object;['nephthytis'];Planteslekt
agentive-physical-object;['pachysandra'];Planteslekt
agentive-physical-object;['phacelia'];Planteslekt
agentive-physical-object;['polemonium'];Planteslekt
agentive-physical-object;['reseda'];Planteslekt
agentive-physical-object;['salpiglossis'];Planteslekt
agentive-physical-object;['schizanthus'];Planteslekt
agentive-physical-object;['shortia'];Planteslekt
agentive-physical-object;['smelleslekta', 'silene', 'smeller', 'smelle'];Planteslekt
agentive-physical-object;['stévia'];Planteslekt
agentive-physical-object;['xeranthemum'];Planteslekt
agentive-physical-object;['lobelia'];Planteslekt
agentive-physical-object;['gaukegras', 'gaukesyre', 'gauksyre', 'gaukvaffel', 'syreblom', 'oxalis'];Planteslekt
agentive-physical-object;['svintsovka', 'plumbago'];Planteslekt
agentive-physical-object;['mispel', 'cotoneaster'];Planteslekt
agentive-physical-object;['banksia'];Planteslekt
agentive-physical-object;['grevillea'];Planteslekt
agentive-physical-object;['krigia'];Planteslekt
agentive-physical-object;['clintonia'];Planteslekt
agentive-physical-object;['bufo'];Amfibieslekt
agentive-physical-object;['genipa'];Planteslekt
agentive-physical-object;['macadamia'];Planteslekt
agentive-physical-object;['sterculia'];Planteslekt
agentive-physical-object;['kristtornslekta', 'ilex'];Planteslekt
agentive-physical-object;['inga'];Planteslekt
agentive-physical-object;['protea', 'proteaslekta'];Planteslekt
agentive-physical-object;['anemone', 'symreslekta', 'symre'];Planteslekt
agentive-physical-object;['colobus'];Pattedyrslekt
agentive-physical-object;['dendrolagus'];Pattedyrslekt
agentive-physical-object;['dacelo', 'latterkokaburra', 'dacelo novaeguineae'];Kokaburraer
agentive-physical-object;['tsetsefluge', 'glossina', 'tsetsefluger'];Insektslekt
agentive-physical-object;['mullefamilien'];fiskefamilie
agentive-physical-object;['påskeliljeslekta', 'narsiss'];Planteslekt
agentive-physical-object;['amaryllis'];Planteslekt
agentive-physical-object;['saltwort'];Planteslekt
agentive-physical-object;['pecopteris'];Planteslekt
agentive-physical-object;['perlebåt'];Blautdyrslekt
agentive-physical-object;['terrapene'];Krypdyrslekt
agentive-physical-object;['triosteum'];Planteslekt
agentive-physical-object;['snøklokker', 'snøklokke'];Planteslekt
agentive-physical-object;['dracaena'];Krypdyrslekt
agentive-physical-object;['kamelar', 'kamelslekta', 'kamel', 'camelus'];slekt av partåa hovdyr i kamelfamilien
agentive-physical-object;['ginkgo-slekta', 'tempeltre', 'ginkgo', 'tempeltreslekta', 'gingko-slekta', 'ginkgo biloba'];Planteslekt
agentive-physical-object;['weigela'];Planteslekt
agentive-physical-object;['siren'];Amfibieslekt
agentive-physical-object;['roridula'];Planteslekt
agentive-physical-object;['acris'];Amfibieslekt
agentive-physical-object;['sjøelefant', 'elefantsel', 'mirounga'];Pattedyrslekt
agentive-physical-object;['lange', 'molva molva', 'langa', 'longe'];Art i torskefamilien
agentive-physical-object;['steinkløverslekta'];Planteslekt
agentive-physical-object;['taraxacum officinale'];Wikimedia-fleirtydingsside
agentive-physical-object;['kvitveis', 'anemone nemorosa', 'geitsymre', 'kvitsymre', 'hvitveis'];Art i soleiefamilien
agentive-physical-object;['notholithocarpus densiflorus', 'lithocarpus densiflorus'];Planteslekt
agentive-physical-object;['ceratodus'];Fiskeslekt
agentive-physical-object;['neandertalarar', 'neandertalar', 'h. neanderthalensis', 'homo neanderthalensis', 'neandertalarmenneske', 'neandertalmenneske', 'neandertaler', 'neandertalerar', 'neandertalere', 'neandertalermenneske', 'neandertalmennesket'];Utdøydd art i menneskeslekta
agentive-physical-object;['manta'];Fiskeslekt
agentive-physical-object;['hind'];Kvinnenamn
agentive-physical-object;['capros aper'];Wikimedia-fleirtydingsside
agentive-physical-object;['paranthropus'];Pattedyrslekt
agentive-physical-object;['rivulus'];Fiskeslekt
agentive-physical-object;['laktobasillar', 'lactobacillus', 'laktobasill'];Bakterieslekt
agentive-physical-object;['sansevieria'];Planteslekt
agentive-physical-object;['strandloppeurt'];planteart
agentive-physical-object;['nerita'];Blautdyrslekt
agentive-physical-object;['cineraria'];Planteslekt
agentive-physical-object;['biller', 'bille', 'billor', 'billur', 'coleoptera', 'billa'];Insektorden
agentive-physical-object;['phrynosoma'];Krypdyrslekt
agentive-physical-object;['leddyr', 'arthropoda', 'artropodar', 'artropod'];Rekkje i dyreriket
agentive-physical-object;['oryx'];Pattedyrslekt
agentive-physical-object;['eubalaena'];Pattedyrslekt
agentive-physical-object;['urtre', 'metasequoia glyptostroboides'];Planteslekt
agentive-physical-object;['lobotes'];Fiskeslekt
agentive-physical-object;['kalkun', 'meleagris gallopavo', 'villkalkun'];fugleart
agentive-physical-object;['iguanidae'];Krypdyrslekt
agentive-physical-object;['tapir', 'tapirus'];Pattedyrslekt
agentive-physical-object;['fasanar', 'fasan', 'fasanar og påfuglar', 'phasianinae'];fuglar i fasanfamilien
agentive-physical-object;['bever', 'castor', 'bjor', 'castor fiber'];Pattedyrslekt
agentive-physical-object;['xylocopa'];Insektslekt
agentive-physical-object;['bavianar', 'bavian'];Pattedyrslekt
agentive-physical-object;['grønpil', 'salix × fragilis'];planteart
agentive-physical-object;['gorilla', 'gorillaer'];Pattedyrslekt
agentive-physical-object;['amerikahummar', 'amerikansk hummar', 'homarus americanus', 'amerikansk hummer'];nordamerikansk hummer-art
agentive-physical-object;['ayapana'];Planteslekt
agentive-physical-object;['wyethia'];Planteslekt
agentive-physical-object;['markråkar', 'brachypteraciidae', 'brachypteraciidæ', 'markråkefamilien'];Familie med råkefuglar
agentive-physical-object;['rankefotingar', 'cirripedia', 'cirripediar', 'rankefoting'];Infraklasse av krepsdyr
agentive-physical-object;['storkobbe', 'blåsel', 'erignathus barbatus'];Pattedyrart
agentive-physical-object;['hjuldyr', 'rotifera'];rekkje av ryggradslause dyr
agentive-physical-object;['hoppekreps', 'copepoda', 'copepodar'];Underklasse av krepsdyr
agentive-physical-object;['catocala'];Insektslekt
agentive-physical-object;['tårnugle', 'tyto alba'];fugleart
agentive-physical-object;['fingerdyr', 'daubentonia madagascariensis'];halvape
agentive-physical-object;['flaggermus', 'chiroptera', 'kveldskingle', 'skinnvenge', 'skinnvengje'];Pattedyrorden
agentive-physical-object;['moxostoma'];Fiskeslekt
agentive-physical-object;['nebbkval', 'andekval', 'hyperoodon ampullatus'];Pattedyrslekt
agentive-physical-object;['or', 'older', 'alnus', 'oldertre', 'oretre'];Planteslekt
agentive-physical-object;['dracaena'];Planteslekt
agentive-physical-object;['safrankrokus', 'c. sativus', 'crocus sativus'];krydderplante i sverdliljefamilien
agentive-physical-object;['uta'];Krypdyrslekt
agentive-physical-object;['neritina'];Blautdyrslekt
agentive-physical-object;['purpurpraktvindel', 'ipomoea purpurea'];planteart
agentive-physical-object;['sporvefuglar', 'passeriformes', 'sporvefugl', 'spurvefuglar'];Fugleorden
agentive-physical-object;['gyllenlakk', 'allminneleg gyllenlakk', 'alminneleg gyllenlakk', 'cheiranthus cheiri', 'erysimum cheiri', 'gyldenlak'];planteart
agentive-physical-object;['scorzonera hispanica'];Planteslekt
agentive-physical-object;['kusymre', 'kusom', 'kusymra'];Art i nøkleblomslekta
agentive-physical-object;['protohippus'];Pattedyrslekt
agentive-physical-object;['laupebiller', 'carabidae', 'løpebiller'];Billefamilie
agentive-physical-object;['kamelhalsfluger', 'kamelhalsfluge', 'raphidioptera'];insektorden
agentive-physical-object;['calypso'];Planteslekt
agentive-physical-object;['humler', 'humle', 'humlar'];Insektslekt
agentive-physical-object;['genlisea'];Planteslekt
agentive-physical-object;['scarabaeus'];Insektslekt
agentive-physical-object;['kakao', 'kakaobønne', 'kakaofrø', 'theobroma cacao'];Frø av kakaotre
agentive-physical-object;['kråkebolle', 'sjøpiggsvin', 'igulkjer', 'echinoidea', 'kråkebollar', 'sjømus'];Klasse av pigghudingar
agentive-physical-object;['gymnuridae'];Fiskeslekt
agentive-physical-object;['xylosma'];Planteslekt
agentive-physical-object;['cyrilla racemiflora'];Planteslekt
agentive-physical-object;['leddvedslekta', 'lonicera', 'leddved'];Planteslekt
agentive-physical-object;['kohleria'];Planteslekt
agentive-physical-object;['lespedeza'];Planteslekt
agentive-physical-object;['enemion'];Planteslekt
agentive-physical-object;['hornugle', 'asio otus', 'hornugla'];fugleart
agentive-physical-object;['leptailurus serval'];Pattedyrslekt
agentive-physical-object;['fistulariidae'];Fiskeslekt
agentive-physical-object;['målarar', 'målar', 'geometridae'];Insektfamilie
agentive-physical-object;['loris'];Pattedyrslekt
agentive-physical-object;['psylla'];Insektslekt
agentive-physical-object;['pithecia'];Pattedyrslekt
agentive-physical-object;['hettemåke', 'hettemåse', 'lattermåse', 'chroicocephalus ridibundus', 'larus ridibundus', 'hettemåsar', 'larus atricilla', 'lattermåke', 'leucophaeus atricilla', 'leucophæus atricilla', 'låttmåke', 'låttmåse'];fugleart
agentive-physical-object;['macroramphosus'];Fiskeslekt
agentive-physical-object;['notoryctes'];Pattedyrslekt
agentive-physical-object;['hippocampus'];Fiskeslekt
agentive-physical-object;['guppy', 'millionfisk', 'poecilia reticulata'];Ferskvassfisk
agentive-physical-object;['ammospermophilus'];Pattedyrslekt
agentive-physical-object;['regnellidium'];Planteslekt
agentive-physical-object;['microdipodops'];Pattedyrslekt
agentive-physical-object;['spilogale putorius'];Pattedyrslekt
agentive-physical-object;['svartgran', 'picea mariana'];Bartre i furufamilien som veks i store delar av Nord-Amerika
agentive-physical-object;['gasellar', 'gasell', 'gaseller', 'gaselle'];Pattedyrslekt
agentive-physical-object;['agama'];Krypdyrslekt
agentive-physical-object;['monotropa uniflora', 'm. uniflora'];Planteart i vaniljerotslekta
agentive-physical-object;['europeisk honningbie', 'honningbier', 'apis mellifera', 'honningbie'];Insektslekt
agentive-physical-object;['antidorcas'];Pattedyrslekt
agentive-physical-object;['fjøreknapp'];planteart
agentive-physical-object;['surikat', 'suricata suricatta'];Pattedyrslekt
agentive-physical-object;['streptokokkar', 'streptococcus', 'streptokokk', 'streptokokkal'];Slekt av bakteriar
agentive-physical-object;['svane', 'cygnus', 'svaner'];fugleslekt
agentive-physical-object;['nycticebus'];Pattedyrslekt
agentive-physical-object;['napaea'];Planteslekt
agentive-physical-object;['ekte sypress', 'cupressus sempervirens'];planteart i sypress-slekta
agentive-physical-object;['vestleg kvitfuru', 'pinus monticola'];planteart
agentive-physical-object;['telopea'];Planteslekt
agentive-physical-object;['fiskemåse', 'fiskemåke', 'larus canus'];Fugleart
agentive-physical-object;['gonokokkar', 'neisseria gonorrhoeae'];Art av prokaryotar
agentive-physical-object;['mykoplasma', 'mycoplasma'];Bakterieslekt
agentive-physical-object;['duriantre', 'durio', 'd. zibethinus', 'durian', 'durio zibethinus'];Planteslekt i kattostfamilien
agentive-physical-object;['catalpa'];Planteslekt
agentive-physical-object;['julestjerne', 'euphorbia pulcherrima', 'poinsettia'];Planteslekt
agentive-physical-object;['croton'];Planteslekt
agentive-physical-object;['croton'];Planteslekt
agentive-physical-object;['columnea'];Planteslekt
agentive-physical-object;['pyraloidea'];Overfamilie av insekt
agentive-physical-object;['ullhåra mammut', 'mammuthus primigenius', 'ullmammut'];Utdøydd mammutart i elefantfamilien
agentive-physical-object;['silfamilien', 'ammodytidae'];Wikimedia-fleirtydingsside
agentive-physical-object;['gjedde', 'esox lucius'];Ferskvassfisk
agentive-physical-object;['isbjørn', 'kvitbjørn', 'kvitebjørn', 'ursus maritimus'];bjørneart
agentive-physical-object;['uma'];Krypdyrslekt
amount-of-matter;['sink', 'zn', '30zn', 'grunnstoff 30', 'zink'];Grunnstoff med kjemisk symbol Zn og atomnummer 30
amount-of-matter;['azid', 'azidgruppe'];Kjemisk sambinding
amount-of-matter;['klor', 'cl', '17cl', 'grunnstoff 17'];Grunnstoff med kjemisk symbol Cl og atomnummer 17
