activity;['সিনেমা'];সিনেমা অইলতা শিল্পর আরাক মেঠেল যেহাত চলমান দৃশ্য পর্দাত দৃম্যমান অয়া নিকুলের।
geographical-object;['বঙ্গোপসাগর'];বঙ্গোপসাগর বাংলাদেশের নিকটে অবস্থিত।
geographical-object;['এন্টার্কটিকা'];এন্টার্কটিকার পুরা নাঙহান এন্টার্কটিকা, এহান এন্টার্কটিকা মহাদেশ বারো এন্টার্কটিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ —।রাষ্ট্র এহানর মানুরে/নাগরিকরে — বুলতারা।
geographical-object;['কালেডোনিয়া'];কালেডোনিয়ার পুরা নাঙহান টেরিটরি অফ কালেডোনিয়া বারো নির্ভরশীল লয়াগি, এহান ওশেনিয়া মহাদেশ বারো ওশেনিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ নৌমিয়া।রাষ্ট্র এহানর মানুরে/নাগরিকরে নিউ কালেডোনিয়ান বুলতারা।
geographical-object;['মার্টিনিক'];মার্টিনিকর পুরা নাঙহান ডিপার্টমেন্ট মার্টিনিক, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ফোর্ট-ডে-ফ্রান্সে।রাষ্ট্র এহানর মানুরে/নাগরিকরে মার্টিনিকান বুলতারা।
geographical-object;['নান্টুকেট কাউন্টি, ম্যাসাচুসেট্\u200cস', 'nantucket'];নান্টুকেট কাউন্টি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর ঔয়াং বারার নিউ ইংল্যান্ড লয়াগর ম্যাসাচুসেট্‌স ষ্টেইট/রাজ্যর কাউন্টি আহান।
geographical-object;['গুৱাডালুপে'];গুৱাডালুপে, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার পিয়াউই রাজ্যর পৌরসভা আহান।
geographical-object;['আইসল অফ ম্যান'];আইসল অফ ম্যানর পুরা নাঙহান আইসল অফ ম্যান, এহান ইউরোপ মহাদেশ বারো ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ —।রাষ্ট্র এহানর মানুরে/নাগরিকরে — বুলতারা।
geographical-object;['গ্রীনল্যান্ড'];গ্রীনল্যান্ডর পুরা নাঙহান গ্রীনল্যান্ড, এহান ঔয়াং আমেরিকা মহাদেশ বারো ঔয়াঙেদের আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ নুক।রাষ্ট্র এহানর মানুরে/নাগরিকরে গ্রীনল্যান্ডার বুলতারা।
information-encoding-system;['কবিতা'];কবিতা সাহিত্যর হাবিত্ত ডাঙর ডেঙাগো।
information-object;['তিলপারাষ্ট্রর ফিরালহান'];তিলপারাষ্ট্রর জাতীয় ফিরালহান জুন ১৪, মারি ১৭৭৭ত্ত প্রচলন ইয়া আহেরহান। দেশএহানর পুরা নাঙহান তিলপারাষ্ট্র।
information-realization;['মহাভারত', 'mahabharata'];মহাভারত সংস্কৃত ঠারে ইকরা প্রাচীন ভারতর মহাকাব্য আহান। মহাভারতর ইকরেকুরাগো মহর্ষি কৃষ্ণদ্বৈপায়ন বেদব্যাস। ১৮ পর্বক ইকরা আদি মহাভারত হানাত এক লক্ষর চুয়া শ্লোক আছে।
information-realization;['উপন্যাস'];সাহিত্যর ডেঙা আগো।
information-realization;['ডিওরামা', 'panoramă'];ডিওরামা, এহান ব্রাজিলর হমবুক-পিছ লয়ার গোয়াস রাজ্যর পৌরসভা আহান।
information-realization;['বিশ্বকোষ'];বিশ্বকোষ খন্তা এহান ইংরেজি Encyclopaedia-র আমার ঠারর পারিভাষিক রূপহান।
information-realization;['রোটেইরো'];রোটেইরো, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার আলাগৱাস রাজ্যর পৌরসভা আহান।
information-realization;['মেশিন লেঙগুয়েজ'];সি পের তদস লা মাqউইনাসস আলাছিংআদা ন সন ইগুআলেস
information-realization;['এলা'];এলা বা সংগীত অইলতা কলাতত্তর মেঠেল আহান যেহান সুসংবদ্ধ শব্দ বারো নৈশব্দরে পাজালিয়া মানুর চিত্তবিনোদন করের।
information-realization;['নৃত্যকলা'];নৃত্য বা নৃত্যকলা আহেসেতা ইংরেজী Dance শব্দত্ত যেহান বারো আহেসেতা প্রাচীন ফ্রেঞ্চ Dancier শব্দত্ত হতে। নৃত্য বুলতে সাধারনত গারিগর লড়চড় বা মুভমেন্ট হারপেয়ার।
information-realization;['রোটেইরো'];রোটেইরো, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার আলাগৱাস রাজ্যর পৌরসভা আহান।
information-realization;['বাইবেল'];বাইবেল বুলতে ইহুদি বারোও খ্রিস্ট ধর্ম হানির বারে ইকরা লেইরিক উতারে হারপেয়ার। তেবউ ধর্ম দিয়হানির স্বীকৃত লেইরিক লেইসু উতা আকতা নাগই। ইহুদি উতার স্বীকৃত গ্রন্থহানরে হিব্রু বাইবেল বুলতারা যেহানরে খ্রিস্টানে মাততারাতা পুরানা বাইবেল। খ্রিস্টানর বাইবেলহানরমা পুরানা বাইবেলর বারেও নুয়া বাইবেল তামকরতারা। বারো খ্রিস্টানরমা রোমান ক্যাথলিক উতায় বাইবেলহানাক আরাকউ কতহান ইকরা অন্তর্ভুক্ত করেসি যেতা প্রোটেস্টেন্ট উতায় নাকরতারা। আরাক আগদে ইসলাম ধর্মত বাইবেলর খানিমানি ইকরা উতা তানুরনবি উতারাং আল্লাহ-র দিয়াবেথাসি লেইরিকহানার বিকৃতরূপহান বুলিয়া মাততারা।
information-realization;['হার্মোনিয়া'];হার্মোনিয়া, এহান ব্রাজিলর খা লয়ার রিও গ্রান্ডে ডো সুল রাজ্যর পৌরসভা আহান।
language;['ইন্দো-আর্য ঠাররজিনা'];ইন্দো-আর্য ঠাররজিনা ইংরেজি ঠারে:Indo-aryan languages
language;['কন্নড় ঠার'];কন্নড় ঠার ভারতর ২২হান সরকারী ভাষারমা আহান। ঠার এহান কর্ণাটক রাজ্যর সরকারী ঠারহান রাজ্য এহাত প্রায় সাড়ে তিন কোটি লোক মানু ঠার এহানলো টটারতারা। এছাড়া অন্ধ্র প্রদেশ, তামিলনাড়ু বারো মহারাষ্ট্রতউ ঠার এহান প্রচলিত। কন্নড়-ভাষীর সংখ্যা বিশ্বক প্রায় ৫ কোটি।
language;['বাংলা ঠার'];বাংলা খা এশিয়ার মুঙবারাদের ইন্দো-আর্য ঠার। পালি ঠার বারো প্রাকৃত ঠারর মারা ইলয়া বাংলা ঠার এহান হঙিসেহান।
language;['সংস্কৃত', 'সংস্কৃত ঠার'];সংস্কৃত নিয়াম পুরানা ঠার আহান। ইন্দো-ইউরোপিয়ন ভাষাগোষ্ঠীর অন্তর্গত এরে ঠার এহাত্ত অওয়াঙ বারো অওয়াঙ-মুঙ ভারতীয় উপমহাদেশর নানান ভাষা লিংখাত অসে । যেমন হিন্দি ঠার, বাংলা ঠার, অহমীয়া ঠার, বিষ্ণুপ্রিয়া মণিপুরী ইত্যাদি । এবাকা ঠার এহান প্রায় মৃত বুলানি য়াকরের - ধর্ম গ্রন্থ বারো প্রাচীন সাহিত্য বাদে আরতা কুনোহাতউ ঠার এহার ব্যবহার নেই।
language;['মারাঠি ঠার'];মারাঠি ঠার ইন্দো-আর্য ঠার আহান। এহান হিন্দী বারো পাঞ্জাবির লগে ঘনিষ্ঠ সম্পর্কযুক্ত ঠারহান। ভারতর পিছবারার় মহারাষ্ট্র রাজ্যর প্রায় ৭ কোটি মানু ঠার এহানলো টটারতারা। মহারাষ্ট্রর বারেও আরাকপ্রায় ৩০ লক্ষ মানু ঠার এহান ব্যবহার করতারা। ভাষাভাষী সংখ্যার মাতুঙে ভারতর ঠার উতারমা মারাঠি চতুর্থ।
language;['ইংরেজি ঠার'];ইংরেজি ঠার এহান আন্তর্জাতিক ঠার আহান বারো বিশ্বর প্রায় ৫২হান দেশর জাতীয় বা সরকারী ঠারহান। এথ্‌নোলগ অনুসারে ইংরেজি ঠারর মাতৃভাষীর সংখ্যা প্রায় ৩৪ কোটি। মাতৃভাষীর সংখ্যা চেইলে ইংরেজির ফামহান ম্যান্ডারিন, হিন্দি ও স্পেনীয় ভাষার থাংনাত।
language;['দারি'];দারি, ভারতর ঝাড়খন্ড রাজ্যর হাজারিবাগ জিলার শহর আগ।
language;['পাঞ্জাবি ঠার'];পাঞ্জাবি ঠার ইন্দো-ইউরোপিয়ান ঠাররজিনার ইন্দো-ইরানিয়ান ডেঙর ঠার আহান। ভারতর অওয়াঙ-পিছবারার পাঞ্জাব রাজ্য বারো পাকিস্তানর মানুর ডাঙর অংশ আহান পাঞ্জাবি ঠারে টটারতারা।
language;['গুজরাটি ঠার'];গুজরাটি ঠার এহান ভারতর গুজরাত রাজ্যত প্রচলিত ঠারহান।
language;['অসমীয়া ঠার'];মডেল:Infobox Language
language;['হিন্দী ঠার'];হিন্দী हिन्दी বা हिंदी) ভারতর সরকারী ঠারহান। "হিন্দী" নাঙ এহান ফার্সি ঠারেত্ত আহেসেহান। পারস্যের অধিবাসী উতায় ভারতীয় মানু বারো তানুর ঠাররে হিন্দী বুলিয়া ডাকলা। ইতিহাসবিদে নিংকরতারা ৮ম-১০ম শতকর দিকে ভারতে মুসলিম আক্রমণর সমেইত উত্তর ভারতর খারি বোলি কথ্য ভাষাত্ত হিন্দী ঠারর উৎপত্তি । খারি বোলি অইলতা দিল্লি লয়ার ঠারহান বারো বহিরাগত মুসলিম শাসক উতায় সাধারণ মানুর লগে যোগাযোগরকা ঠার এহান ব্যবহার করলা। এই খারি বোলি ঠার এহাত তাপ্প তাপ্প ফার্সি বারো আরবি ঠারেত্ত প্রচুর হমেইলেউ সাধারণ মানুরাঙ় আরবি-ফার্সির অমাটিক প্রভাব বাপড়েসে, বরং তানু সংস্কৃত ঠার এত্ত শব্দ ও সাহিত্যিক রীতি উদারি করানি অকরলা বারো এসাদে হিন্দী ঠারর জরম অইল।
language;['বর্মী ঠার'];বর্মী ঠার মায়ানমারর সকারী ঠারহান। মায়ানমারর ২ কোটিত্ত বপ মানুর মাতৃভাষাহান বর্মী । বিশ্বত বর্মীভাষী মানুর সংখ্যা ৩ কোটি ২০ লক্ষ থেকে ৩ কোটি ৭০ লক্ষ। ঠার এহান বিষ্ণুপ্রিয়া মণিপুরীরাং অওয়ার ঠার বুলিয়া প্রচলিত। এহান চীনা-তিব্বতী ঠার পরিবারের তিব্বতী-বর্মী ডেঙর লোলো-বর্মী উপডেঙর ঠারহান।
language;['উর্দু ঠার', 'urdû'];উর্দু ঠার ইন্দো-ইউরোপীয় ভাষাপরিবারর ইন্দো-আর্য ডেঙার ঠারহান। পাকিস্তানে প্রায় ১ কোটি মানু বারো ভারতে প্রায় ৫ কোটি মানুর মাতৃভাষাহান উর্দু। এতাবাদেউ ঠারএহান আফিগানিস্তানর টাউনবন্দর বারো পারস্য উপসাগরর দেশউতার টাউনে টটারতারা। তিলপারাজ্য, তিলপারাষ্ট্র, কানাডা, নরওয়ে ও অস্ট্রেলিয়াত থাইতারা পাকিস্তানি অভিবাসী উতায় উর্দুলো টটারতারা।
language;['নেপালি ঠার'];নেপালি ঠার নেপাল, ভারত ও ভুটানে প্রচলিত পাহাড়ি ঠার আহান।
locative-role;['দিল্লী', 'délhi'];দিল্লী, ভারতর কেন্দ্রশাসিত অঞ্চল ন্যাশনাল ক্যাপিটাল টেরিটোরি অফ দিল্লীর ৯গ জেলা পুলকরিয়া জিলার শহর বারো পৌর কর্পোরেশনাধীন এলাকা আগ।
locative-role;['লুন্ড', 'lund'];লুন্ড, এহান নরৱের রোগালেন্ড কাউন্টির বেস্টলেন্ডেট লয়ার/প্রভিন্সর পৌরসভা বা মিউনিসিপালিটি আহান।
locative-role;['রেসিফে'];রেসিফে, এহান ব্রাজিলর ঔয়াংমুঙ লয়ার পেরনামবুকো রাজ্যর রাজধানীগ বারো পৌরসভা আহান।
locative-role;['তমিল নাড়ু', 'তামিল নাড়ু', 'támil nadu'];তামিল নাড়ু ভারতর খায়েদের রাজ্য আহান। রাজ্য এহানর রাজধানীগ চেন্নাই।
locative-role;['মোনাকো'];মোনাকোর পুরা নাঙহান নৈতিক মোনাকো, এহান ইউরোপ মহাদেশ বারো পিসেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মনাকো।রাষ্ট্র এহানর মানুরে/নাগরিকরে মোনেগাসকুৱে বুলতারা।
locative-role;['মহারাষ্ট্র', 'maharashtra'];মহারাষ্ট্র ভারতর পিছ লয়ার রাজ্য আহান।
locative-role;['সার্বিয়া', 'србија'];সার্বিয়ার পুরা নাঙহান সার্বিয়া, এহান ইউরোপ মহাদেশ বারো খায়েদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বেলগ্রেড।রাষ্ট্র এহানর মানুরে/নাগরিকরে সার্বিয়ান বুলতারা।ফ্যাসিস্ট সন্ত্রাসী রাষ্ট্র সার্বিয়া
locative-role;['অন্তফাগস্টা', 'antofagasta'];অন্তফাগস্টা
locative-role;['ট্রোনডেহিম', 'trondheim'];ট্রোনডেহিম, এহান নরৱের সার-ট্রান্ডেলাগ কাউন্টির ট্রান্ডেলাগ লয়ার/প্রভিন্সর পৌরসভা বা মিউনিসিপালিটি আহান।
locative-role;['ওরান', 'oran'];ওরান, ভারতর উত্তর প্রদেশ রাজ্যর বান্দা জিলার নগর পঞ্চায়েত-শাসিত শহর আগ।
locative-role;['বারগেন', 'bergen'];বারগেন, এহান নরৱের হোর্দলেন্ড কাউন্টির বেস্টলেন্ডেট লয়ার/প্রভিন্সর পৌরসভা বা মিউনিসিপালিটি আহান।
locative-role;['লিথুয়ানিয়া'];লিথুয়ানিয়ার পুরা নাঙহান প্রজাতন্ত্রি লিথুয়ানিয়া, এহান ইউরোপ মহাদেশ বারো ঔয়াঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ভিলনিয়াস।রাষ্ট্র এহানর মানুরে/নাগরিকরে লিথুয়ানিয়ান বুলতারা।
locative-role;['পিছ পার'];পিছ পারর পুরা নাঙহান পিছ পার, এহান এশিয়া মহাদেশ বারো হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ।রাষ্ট্র এহানর মানুরে/নাগরিকরে পিছ পার বুলতারা।
locative-role;['কাশ্মির লয়াগ', 'জম্মু বারো কাশ্মির'];নিবন্ধ এহান ভারত শাসিত জম্মু বারো কাশ্মিররহান, কাশ্মিরর বারাদে পুল্লাপ নিবন্ধহান কাশ্মির লয়াগ পাকরিক।জম্মু বারো কাশ্মির ভারতর চুমসেত ঔয়াংর কেন্দ্রশাসিত অঞ্চল আহান।
locative-role;['কাশ্মির লয়াগ', 'জম্মু বারো কাশ্মির'];নিবন্ধ এহান পুল্লাপ কাশ্মির লয়াগরহান, আরতাউ হারপানি মনেইলে, ভারত শাসিত জম্মু বারো কাশ্মিরর বারাদে নিবন্ধহান পাকরিক।
locative-role;['মার্টিনিক'];মার্টিনিকর পুরা নাঙহান ডিপার্টমেন্ট মার্টিনিক, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ফোর্ট-ডে-ফ্রান্সে।রাষ্ট্র এহানর মানুরে/নাগরিকরে মার্টিনিকান বুলতারা।
locative-role;['সাও পাউলো', 'são paulo'];সাও পাউলো, এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।
locative-role;['সময়র লয়া'];সময়র লয়া এহান ইলতাই পৃথিবীহার গজে লেপ্পা লয়া আকেইগ যেহানাত মান্নাপা মান সময় আহান লেপকরানি অসে, যেহানরে স্থানীয় সময়উ বুলানি অর। সময়র লয়া আগত্ত আরক লয়া আগরে ইজ্জুকরে ১ ঘন্টা করিয়া খেইকরানি অসে বারো স্থানীয় সময় অহান গ্রীনউইচ মান সময়র লগে পুলকরিয়া বা বেলিয়া পানা অর। হারি সময় লয়ার দুরিহান ১৫° মুঙে নাইলে পিছে.
locative-role;['বারি', 'bári'];বারি, ভারতর রাজস্থান রাজ্যর ধৌলপুর জিলার শহর বারো পৌরসভা এলাকা আগ।
locative-role;['ভালপারাইসো', 'valparaiso'];ভালপারাইসো
locative-role;['রিও ডি জেনিরো', 'rio de janeiro'];রিও ডি জেনিরো, এহান ব্রাজিলর খামুঙ লয়ার রাজ্য আহান।
locative-role;['নোভো মুনডো'];নোভো মুনডো, এহান ব্রাজিলর হমবুক-পিছ লয়ার মাটো গ্রসো রাজ্যর পৌরসভা আহান।
