abstract-quality;['personnalité', 'problème de personnalité', 'caractère'];Combinaison de caractéristiques émotionnelles, d'attitude et de comportement d'un individu
activity;['courrier électronique', 'e-mail', 'courriel', 'mél', 'email', 'mail', 'courriels', 'messagerie électronique', '📧', 'blind carbon copy', 'boîte mail', 'boîte à lettre électronique', 'boîtes aux lettres électroniques', 'copie carbone cachée', 'copie carbone invisible', 'copie conforme invisible', 'courriers électroniques', 'message électronique', 'messagerie électroniques', 'messageries électroniques', 'messages électroniques', 'mèl', 'mél.', 'e-mails', 'messagerie internet'];Service de transmission de messages envoyés électroniquement via un réseau informatique
activity;['publication assistée par ordinateur', 'pao', 'microédition', 'publication assistee par ordinateur', 'typographie numérique', 'éditique'];Ensemble d'outils numériques de mise en page
activity;['guerre de troie', 'guerre de troïe'];Conflit de la mythologie grecque
activity;['fausse balle', 'foul ball'];Terme de baseball
activity;['shogi', 'shōgi', 'shôgi', 'tactiques et stratégies au shôgi', '☖', '☗', 'échecs japonais'];Jeu traditionnel japonais
activity;['nombre grammatical', 'nombre', 'cheptel', 'numéro', 'proportion', 'paucal'];Trait grammatical caractérisant certains lemmes comme les noms et adjectifs, les pronoms ainsi que les verbes
activity;['procès', 'procès en droit français', 'affaire judiciaire', 'appel des causes', 'poursuite judiciaire', 'poursuites judiciaires', 'proces', 'procès politique', 'jugement', 'affaire pénale', 'jugé'];Processus décisionnel et discussion orale de faits devant un tribunal
activity;['cyclone', 'circulation cyclonique', 'système cyclonique', 'cyclones', 'cyclonique'];Grande zone où l'air atmosphérique est en rotation autour d'un centre de basse pression local
activity;['anticyclone', 'anticyclonique', 'anticyclolyse', 'circulation anticyclonique', 'masses anticycloniques', 'régime de dorsale', 'anticyclone semi-permanent', 'conditions anticycloniques', 'anti-cyclone'];Zone de hautes-pressions
activity;['béatification', 'béatifié', 'beatification', 'béatifiée', 'procès de béatification', 'procès en béatification'];Déclaration, par décret pontifical, qu'une personne de foi chrétienne a pratiqué les vertus naturelles et chrétiennes de façon exemplaire
activity;['danse de cercle', 'danse en rond', 'danse ronde', 'ronde'];Danse avec la liste circulaire de danseurs
activity;['slow fox', 'foxtrot', 'slowfox', 'slow-fox', 'fox-trot'];Danse standard
activity;['valse', 'la valse', 'valse viennoise', 'valses'];Danse
activity;['baume à lèvres', 'baume pour les lèvres', 'crème pour les lèvres', 'stick labial'];Substance appliquée localement sur les lèvres afin d'hydrater
activity;['coup de circuit', 'home run', 'coups de circuit', 'coups de circuits', 'home runs', 'homerun', 'homer'];Type de coup sûr au baseball
activity;["préfixes du système international d'unités", 'préfixes du système international', 'préfixe du système international', "préfixe du système international d'unités", 'préfixes du système international d’unités', 'zilliard', 'zillion'];Préfixes désignent des multiples ou des fractions de 10 ou de 1 000
activity;['balle-papillon', 'balle papillon', 'knuckleball', 'knuckler'];Type de lancer au baseball
activity;['changement de vitesse', 'balle à changement de vitesse', 'changeup', 'change-up', 'changement de rythme balle', 'de changement de vitesse', 'off-speed terrain'];Type de lancer au baseball
activity;['balle rapide', 'fastball', 'balle', 'chauffage', 'fumer', 'fumée', 'miracle'];Type de lancer en baseball
activity;['balle courbe', 'balle cassante', 'breaking ball', 'curveball', 'courbe', 'briser balle'];Type de lancer au baseball
activity;['balle courbe', 'balle cassante', 'breaking ball', 'curveball', 'courbe', 'briser balle'];Type de lancer au baseball
activity;['bataille de spotsylvania', 'bataille de spotsylvania court house', 'bataille de spotsylvania courthouse'];Bataille de la guerre de Sécession
activity;['bataille de monmouth', 'bataille de monmouth court house', 'monmouth court house'];Bataille de la guerre d'indépendance des États-Unis
activity;['batailles de saratoga', 'bataille de saratoga', 'saratoga'];Batailles de la guerre d'indépendance des États-Unis
activity;['bataille de magenta', 'magenta 1859', 'magenta'];Bataille de la campagne d'Italie
activity;['bataille de marathon', 'marathon'];Épisode majeur de la première guerre médique en 490 av
activity;['bataille de minden', 'minden'];Bataille de la guerre de Sept Ans
activity;['bataille de tannenberg', 'tannenberg'];Bataille de la Première Guerre mondiale
activity;['bataille de gettysburg'];Épisode de Au-delà du réel : l'aventure continue
activity;['bataille de gettysburg'];Bataille de la guerre de Sécession
activity;['zone de convergence intertropicale', 'pot-au-noir', 'front intertropical', 'pot au noir', 'poteau noir', 'zcit', 'zic', 'zone de convergence inter-tropicale', 'zone intertropicale de convergence', 'itcz'];zone métérorologique
activity;['backgammon', 'jacquet', 'trictrac'];Jeu de stratégie
activity;['dames chinoises', 'étoile chinoise'];Jeu de société
activity;['boulingrin', 'bowls', 'boule anglaise', 'bols', 'boules'];Jeu de boules
activity;['court métrage', 'court-métrage', 'courts métrages', 'court-métrages', 'court format', 'court metrage', 'court métrages', 'courts-métrages', 'cout-métrage', 'film de court-métrage', 'format court', "courts métrages d'animation", 'deux enrouleur', 'sujets courts'];Film de cinéma d'une durée plus courte
activity;['piaffer'];Allure artificielle du cheval
activity;['rami', 'rhum'];Jeu de cartes de combinaisons
activity;['whist', 'robre', 'whist court', 'whist à long'];Un jeu de cartes à levées, sans contrat, d’origine anglaise
activity;['piquet', 'jeu de piquet'];Jeu de cartes
activity;['francisco lópez alfaro', 'francisco', 'francisco lópez'];Joueur de football espagnol
activity;['domino', 'parlement', 'son', 'élu', 'sevens'];Jeu de cartes
activity;['patience', 'patiences et réussites', 'réussite', 'solitaire'];Jeu de cartes qui se joue seul
activity;['baccara', 'baccarat', 'chemin de fer'];Jeu de cartes de casino
activity;['euchre', 'belote américaine', 'eucher', 'cinq cents'];Jeu de carte
activity;['baiser', 'bisou', 'bise', 'bec', 'bécot', 'bisous', 'embrasser', 'bus', 'osculation'];Mouvement consistant à toucher avec ses lèvres
activity;['extrême-onction', 'onction des malades', 'derniers sacrements', 'extrême onction'];Sacrement de l'Église catholique
activity;['confirmation', 'chrismation', 'confirmant', 'messe de confirmation', 'sacrement de confirmation'];Rite chrétien
activity;['dames', 'jeu de dames', 'fédération mondiale de jeu de dames', 'jeu de dame', 'checkers', 'dame', 'brouillons'];Jeu de société
activity;['cache-cache', 'cligne-musette', 'cache cache', 'à cache-cache'];Jeu
activity;['marelle'];Jeu de cour tracé au sol
activity;['vote', 'suffrage', 'bulletin de vote', 'voix', 'votation', 'élection', 'scrutin', 'voter', 'sgrutin', 'élire', 'bulletin vote', 'bulletins de vote', 'scrutin papillon', 'électeurs'];Méthode de prise de décision
activity;['vote', 'suffrage', 'bulletin de vote', 'voix', 'votation', 'élection', 'scrutin', 'voter', 'sgrutin', 'élire', 'bulletin vote', 'bulletins de vote', 'scrutin papillon', 'électeurs'];Document utilisé pour voter lors d'une élection
activity;['eucharistie', 'corps du christ', "sacrement de l'eucharistie", 'saint sacrement', 'eucharistique', 'saint-sacrement', 'corps de jésus', 'célébration sacramentelle', 'eucharistie catholique', 'mystère eucharistique', 'sainte communion', 'communion', "eucharistie dans l'église catholique", 'fraction du pain', 'sainte-cène', 'sacrement eucharistique', 'sainte eucharistie', 'liturgie', 'communiant', 'communiants', 'cène', 'cène du seigneur', 'liturgie eucharistique'];L'un des trois sacrements de l'initiation chrétienne
activity;['eucharistie', 'corps du christ', "sacrement de l'eucharistie", 'saint sacrement', 'eucharistique', 'saint-sacrement', 'corps de jésus', 'célébration sacramentelle', 'eucharistie catholique', 'mystère eucharistique', 'sainte communion', 'communion', "eucharistie dans l'église catholique", 'fraction du pain', 'sainte-cène', 'sacrement eucharistique', 'sainte eucharistie', 'liturgie', 'communiant', 'communiants', 'cène', 'cène du seigneur', 'liturgie eucharistique'];Point culminant de la liturgie catholique célébré durant la messe. sacrement de l'église catholique
activity;['cirque', 'artiste de cirque', 'cirques', 'artistes de cirque', 'circassien', 'circassienne', 'circassiennes', 'circassiens', 'cirque russe', 'cirque ambulant'];Profession
activity;['bataille de chickamauga', 'chickamauga'];Bataille de la guerre de Sécession
activity;['coït interrompu', 'coitus interruptus', 'retrait', 'coit interrompu', 'coïtus interruptus', 'méthode du retrait', 'onanisme', 'méthode de retrait', 'tirant'];Pratique sexuelle
activity;['deuxième croisade', 'deuxieme croisade', 'seconde croisade'];Expédition militaire entre 1147 et 1149
activity;['quatrième croisade', '4e croisade', 'quatrieme croisade'];Campagne militaire contre Constantinople
activity;['sixième croisade', 'sixieme croisade'];Croisade entre 1228 et 1229
activity;['cinquième croisade', 'cinquieme croisade'];Expédition militaire entre 1217 et 1221
activity;['claquettes', 'claquette', 'tap dance', 'claque', 'chaussure souple'];Danse
activity;["bataille d'austerlitz", 'bataille des trois empereurs', 'bataille d’austerlitz', 'ordre de bataille des armées russes et autrichiennes ayant participés à la bataille d’austerlitz', 'austerlitz 1805', "soleil d'austerlitz"];Bataille entre l'Empire français et la Troisième Coalition
activity;['bataille de platées', 'bataille de platees', 'bataille de platée', 'platées'];Dernière grande bataille terrestre des guerres médiques
activity;['conflit', 'dispute', 'litige', 'situation conflictuelle', 'différence', 'différend', "divergence d'opinion"];Opposition entre personnes ou entités
activity;['guerre iran-irak', 'défense sacrée', 'guerre imposée', 'guerre iran-iraq', 'qādisiyyah de saddam', '1re guerre du golfe', "guerre entre l'iran et l'irak", 'guerre irak-iran', '1ère guerre du golfe', 'guerre du golfe', 'guerre du koweït'];Guerre qui a opposé l'Iran à l'Irak entre septembre 1980 et août 1988
activity;['controverse', 'polémique', 'querelle', 'discussion', 'débat', 'controverses', 'argument', 'contestation', 'arguments', 'controversée', 'disceptation', 'en faisant valoir'];Débat public prolongé
activity;['bataille des thermopyles', 'bataille de thermopyle', 'thermopyles'];Bataille des guerres médiques en 480 av.J-C
activity;['balle glissante', 'slider', 'curseur'];Type de lancer en baseball
activity;['kwanzaa'];Fête afro-américaine
activity;['carnaval', 'carnavals', 'carnavals en france'];Événement folklorique lié au Mardi gras
activity;['bataille rangée'];Bataille où les deux parties se battent à un endroit choisi et de temps à autre ont la possibilité de se désengager, soit avant le début de la bataille, soit peu après les premiers échanges armés
activity;['fusillade', 'cow-boys', 'gunfighting', 'gunplay', 'tireur', 'échange de coups de feu'];Bataille à l'arme à feu entre groupes armés
activity;['western', 'western américain', 'westerns', 'occident', 'ouest'];Genre artistique
activity;['dessin animé', 'dessins animés', 'dessin anime', 'dessins-animés', 'dessins-animes', 'dessins animes', 'animé', 'dessin-animé', 'caricature', "comédie d'animation", "court métrage d'animation", "film d'animation", 'toon'];Film fait à partir de dessins
activity;['film documentaire', 'documentaire', 'docudrame', 'docufiction', 'cinéma documentaire', 'documentaire dramatique', 'documentaires', 'films documentaires', 'série documentaire', 'docu drama', 'docudrama', 'cinema documentaire', 'docu', 'documentaire animalier', 'docu-fiction', 'infotainment', 'infospectacle', 'documentariste'];Film ou téléfilm dont le scénario est rigoureusement inspiré d'événements réels
activity;['décision de justice', 'conviction', 'peine', 'arrêt', 'arrêt de justice', 'décision', 'décision judiciaire', 'condamnation', 'phrase', 'jugement', 'sentence', 'condamnation pénale', 'condamnations', 'convictions', 'jugement de condamnation', 'peine de prison'];Peine énoncée dans un verdict en cas de condamnation
activity;['ronde', 'danse anneau', 'danse en cercle'];Danse se présentant en forme de cercle
activity;['football', 'soccer', 'foot', 'association football', 'balle au pied', 'contrôle', 'contrôle de poitrine', 'foot-ball', 'football association', 'football européen', 'football masculin', 'footeux', 'fute balle', 'le foot', 'le football', 'soccer masculin', 'tête', 'temps additionnel', 'après prolongations', 'association de football', 'footballeur association'];Sport collectif dans lequel deux équipes s'affrontent pour mettre le ballon dans le but adverse
activity;['film', 'pellicule', 'films', 'cinéma', 'cinématographique spectacle', 'film majeur', 'grand écran', 'image animée', 'image animée spectacle', 'image en mouvement', 'motion picture', 'picture show'];Œuvre culturelle faite d'une suite d’images donnant l'impression de mouvement et constituant un récit
activity;['snooker', 'billard', 'joueur de snooker'];Variante du billard
activity;['canasta', 'meld', 'rami panier'];jeu de cartes
activity;['break dance', 'breakdance', 'b-boy', 'b-boying', 'breaker', 'danse hip hop', 'hip-hop dance', 'histoire du breakdance', "l'histoire du breakdance", 'bboy', 'bgirl', 'b-boys', 'break-dance', 'break dancer', 'breakdancer', 'danseur de breakdance'];Style de danse caractérisé par son aspect acrobatique et ses figures au sol
activity;['hip-hop', 'hip hop', 'musique hip-hop', 'rap', 'musique hip hop', 'hip hop music', 'hiphop', 'musique rap', 'artiste hip-hop', 'groupe de rap'];Genre musical et culture l'entourant
activity;['anathème', 'anatheme', "frappé d'anathème"];Réprobation
activity;['sacrement', 'sacrement catholique', "sacrement de l'église catholique", 'sacrements', "sacrements de l'église catholique", 'sept sacrements'];Sept rituels visibles, que les catholiques voient comme des signes de la présence de Dieu, consistant en: l'initiation, la guérison et le service
activity;['bonneteau', 'three card monte'];Jeu d'argent
activity;['échecs', "jeu d'échec", "partie d'échec", "jeu d'échecs", 'echecs', "jeu d'echecs", 'jeu d’échec', 'jeu d’échecs', "joueur d'échecs", "joueuse d'échecs", 'technique de mat', 'échec'];Jeu de stratégie pour 2 joueurs
activity;['pêche', 'la pêche', 'go fish'];Jeu de cartes qui se joue à deux joueurs ou plus
activity;['match sans point ni coup sûr', 'no-hitter', 'no-no', 'match sans coup sûr', 'match sans point ni coup sur', 'matchs sans point ni coup sûr', 'no-hitters', 'frappeur pas', 'no hit jeu'];Match de baseball durant lequel aucun coup sûr n'est concédé à l'adversaire
activity;['jeu de la bouteille', 'spin the bottle', 'tourner la bouteille'];Jeu de société informel
activity;['jeu de quilles', 'bowling'];Jeu où l'on doit faire tomber des quilles avec un projectile
activity;['osselets', 'vérins'];Jeu
activity;['croquet'];Sport d'extérieur
activity;['crosse', 'lacrosse', 'crosse québécoise', 'crosse en salle'];Sport collectif d'origine amérindienne
activity;['jeu vidéo', 'jeux vidéo', 'ludiciel', 'jeu informatique', 'jeu sur ordinateur personnel', 'jeu sur pc', 'vie', 'jeu pc', 'jeu-video', 'jeu-vidéo', 'jeu video', 'jeux-video', 'jeux video', 'jeux vidéo sur ordinateur', 'jeux vidéos', 'logiciel de loisir', 'vidéo-ludique', 'vidéo ludique', 'divertissement électronique', 'jeu interactif', "jeux d'ordinateurs personnels", 'jeux informatiques'];Jeu vidéo utilisant comme support un ordinateur personnel quels que soient son architecture ou son système d'exploitation
activity;['racquetball', 'racket-ball'];Sport de balle
activity;['golf', 'le golf', 'golfeur', 'golfs', 'jeu de golf', 'tournoi de golf'];Sport
activity;['flipper', 'bille', 'billard électrique', 'machine à boule', 'machine à boules', 'billard électronique', 'pré-flipper', 'flippers', 'jeu de flipper'];Type de jeu d'arcade utilisant des billes métalliques
activity;['jeu de société', 'jeu de plateau', 'jeux de société', 'jeu de table', 'jeux de plateau', 'jeu allemand', 'jeu de règle', 'jeux allemands', 'jeux de règle', 'jeux de table', 'jeu de societe', 'jeu sur un plateau', 'jeu vidéo', 'plateau de jeu'];Jeu qui se joue à plusieurs
activity;['hockey sur glace', 'hockey', 'hockey-sur-glace', 'hoquet sur glace', 'hockey sur glace féminin', 'match de hockey'];Sport d’équipe se déroulant sur une patinoire
activity;['cricket', 'joueur de cricket', 'cricketer', 'grillon', 'club de cricket', 'joueurs de cricket', 'équipe de cricket'];Sport collectif
activity;['jeu de cartes', 'cartes', 'jeux de cartes', 'jeu de carte', 'main'];Jeu basé sur un ensemble de cartes ou ensemble de ces cartes
activity;['tennis', 'balle de tennis', 'calcul de classement de tennis', 'joueur de tennis', 'lawn tennis', 'sphairistike', 'tennisman', 'tennis sur gazon'];Sport
activity;['coucou', 'peekaboo', 'peek-a-boo', 'bopeep'];Peekaboo
activity;['tennis de table', 'ping-pong', 'pingpong', 'ping pong', '🏓', 'pongiste', 'balle de ping-pong', 'balle de ping pong'];Sport de raquette
activity;['parlour game', 'jeu de salon', 'parlor game', 'jeu de société'];Jeu se jouant en groupe en intérieur
activity;['jeu de hasard', 'jeux de hasard', 'les probabilités et les jeux', 'probabilite dans les jeux', 'probabilité dans les jeux'];Type de jeu dont le déroulement est partiellement ou totalement soumis à la chance
activity;['spirobole', 'spiroballe', 'tetherball', 'swingball', 'ballon poteau', 'ballon captif', "boule d'attache"];type de jeu de balle
activity;['plongeon', 'plongeon synchronisé', 'plongeons', 'plonger', "saut de l'ange", 'plongée'];Jeu ou sport aquatique
activity;['cancan', 'can-can', 'french-cancan'];Danse
activity;['réalité virtuelle', 'virtuel', 'realité virtuelle', 'realite virtuelle', 'virtuelle', 'v.r.', 'vr', 'virtuel realité', 'environnement virtuel', 'espace virtuel'];Propriété non physique d'un corps
activity;['réalité virtuelle', 'virtuel', 'realité virtuelle', 'realite virtuelle', 'virtuelle', 'v.r.', 'vr', 'virtuel realité', 'environnement virtuel', 'espace virtuel'];Technologie informatique qui simule la présence d'un utilisateur dans un environnement généré par des logiciels
activity;['aïkido', 'aikido', 'aikidō', 'aïkidô', 'eikido', 'haikido', 'hikido', 'aillequideau', 'aillequidot', 'ikkyo'];Art martial japonais
activity;['jitterbug', 'danser le jitterbug'];Style de danse associé au swing
activity;['amerrissage'];Atterrissage d'un engin aérospatial dans un plan d'eau
activity;["masse d'air", 'masse d’air', "courant d'air"];Zone de l''atmosphère où les conditions de température, de pression et d''humidité principalement, sont homogènes
activity;['référendum', 'referendum', 'référendums', 'loi referendaire', 'loi référendaire', 'procédure référendaire', 'voie référendaire', 'votation populaire', 'référendum québécois', 'plébiscites', 'référendum consultatif', 'référendum non contraignant'];Procédé de démocratie semi-directe
activity;['samba'];Danse de salon en 2/4 rythme
activity;['reel', 'bobine', 'quadrille écossais', 'reel écossais'];Danse traditionnelle écossaise et irlandaise
activity;['titrage', 'titrimétrie', "calcul de la masse d'un excès", 'titrateur', 'titration', 'titre', 'titreur', 'titrage volumétrique', 'réactif', 'titrage en retour', 'titrages', 'titrant'];Technique de dosage pour déterminer la concentration d'une espèce chimique en solution
activity;['naturopathie', 'naturopathe', 'naturopathes', 'naturothérapie', 'médecine naturelle', 'médecine naturopathique', 'santé naturelle', 'thérapie naturelle'];Pratique à visée thérapeutique non fondée sur les faits et pseudo-scientifique
activity;['homéopathie', 'homéopathique', 'homeopathie', 'homoeopathie', 'homœopathie', 'remède homéopathique', 'homéopathe', 'dynamisation', 'epi 3', 'homoeopathe', 'homéopathie en france', 'médecine homéopathique'];Pratique pseudo-scientifique inventée en 1796 par Samuel Hahnemann
activity;['spondée', '— —'];un pied fait de deux syllabes longues
activity;['amphibraque', 'amphibrach'];un mètre ternaire composé d'une syllabe longue (ou accentuée) entourée de deux syllabes brèves (ou non accentuées)
activity;['guerre expéditionnaire', 'expédition', 'expédition hostile', 'expédition militaire'];Déploiement d'une armée pour combattre à l'étranger, en particulier loin de ses bases établies
activity;['sideshow'];genre théâtral
activity;['élections générales', 'élection générale', 'élection législative', 'élections législatives'];Élection de représentants à un parlement
activity;['bataille de trafalgar', 'combat de trafalgar', 'coup de trafalgar', 'trafalgar', 'bataille navale de trafalgar', 'vejle'];Bataille navale de la guerre de la Troisième Coalition
activity;['bataille de la mer des philippines', 'mer des philippines', 'bataille de la mer philippine'];Bataille de la guerre du Pacifique
activity;['lu', 'état lu', 'état de lu', 'pays de lu'];Ancien pays situé dans l'actuelle péninsule du Shandong, en Chine
activity;['canal de communication', 'canal', 'canal de transmission', 'modèle de canal'];doublon Wikimédia permanent de l’élément Q733553
activity;['concert', 'représentation', 'concerts', 'concertiste', 'concert de musique', 'concert en direct', 'musique live', 'tournée', 'tournée de concerts'];Représentation musicale d'un ou plusieurs musiciens en public
activity;['pantomime', 'mime', 'pantomimes'];Forme de théâtre
activity;['recensement', 'recensement de la population', 'recenser', 'dénombrement', "nombre d'habitants", 'recensement démographique', 'recensements du maroc', 'nombre nez', 'nosecount', 'recensements'];Opération statistique de dénombrement d'une population
activity;['vague de chaleur', 'canicule', 'caniculaire', 'vagues de chaleur'];Phénomène météorologique
activity;['comédie musicale', 'théâtre musical', 'musical', 'comédies musicales', 'livre musical', 'musicales'];Genre théâtral mêlant comédie, chant et danse
activity;['mazurka', 'mazurque', 'mazurek', 'mazurka gasconne'];Danse traditionnelle polonaise
activity;['répétition', 'générale', 'couturière', 'sécher fonctionner'];Séance de travail pour perfectionner la mise en œuvre d''une pièce de théâtre
activity;['farce', 'humour potache', 'traquenard', 'facétie', 'blague', 'canular', 'gag', 'mauvais tour', 'tour', 'blaque de potache', 'potache', 'farces'];Action humoristique
activity;['requiescat in pace', 'rest in peace', 'repose en paix', 'r.i.p.', 'requiescat'];Locution latine
activity;['duel', 'combat au duel', "duel d'honneur", 'joute-contact', 'combat', "affaire d'honneur", 'duels'];Combat entre deux personnes
activity;['élection primaire', 'primaire', 'primaires', 'élections primaires', 'préélections', 'election primaire'];Scrutin interne à un parti ou à un courant politique visant à désigner des candidats à une élection
activity;["procédure d'urgence"];procédure à suivre en cas d'urgence
activity;['aphérèse', 'apherese', 'hémaphérèse'];Technique de prélèvement du sang
activity;['procédé bessemer', 'convertisseur bessemer', 'acier bessemer', 'processus de gilchrist-thomas'];Procédé de fabrication de l'acier
activity;['émission de télévision', 'émission de télé', 'programmation télévisuelle', 'programme télévisé', 'émission télévisée', 'émissions de télévision', 'émission télé', 'emission de television', 'programmes de télévision', 'programmes télévisés', 'émissions de télé', 'tv show', 'production télévisuelle', 'programme de télévision', 'programme tv', 'saison', 'saison de télévision', 'série télévisée'];Production audiovisuelle d'une certaine durée diffusée sur une chaîne de télévision
activity;['talk-show', 'débat télévisé', 'débat télévisé ou radiophonique', 'talk show', 'talk-shows', 'débats télévisés', 'débat-spectacle', 'causerie télévisée', 'chatshow', 'émission de télévision'];Format à la radio ou à la télévision
activity;['culture dérobée', 'culture intermédiaire piège à nitrates', 'culture intermédiaire', 'cipan', 'cultures intermédiaires pièges à nitrates'];Culture temporaire de plantes à croissance rapide entre deux cultures principales successives
activity;['blitzkrieg', 'guerre éclair', 'guerre-éclair', 'schwerpunkt'];Tactique militaire offensive allemande
activity;['commérage', 'cancaner', 'quanquaner', 'cancan', 'commentaire', 'ragot', 'ragots'];Rumeur sur les affaires personnelles ou privées des autres
activity;['liturgie', 'liturgie de la parole', 'liturgies', 'lithurgie', 'liturge', 'liturgique', 'liturgiste', 'liturgiques'];Dénote l'ordre et toutes les cérémonies religieuses et les rites du culte juif et chrétien
activity;['safety', 'demi de sûreté', 'maraudeur', 'sécurité forte'];Joueur de la formation défensive d''une équipe de football américain (ou canadien)
activity;['touchdown', 'touché', 'touchés', 'touchdowns'];Méthode essentielle pour marquer des points au football américain et au football canadien
activity;['gelée de pétrole', 'vaseline', 'petrolatum', 'minérale gelée'];Substance chimique utilisée comme lubrifiant
activity;['soap opera', 'feuilleton', 'soap', 'feuilleton télévisé', 'téléroman', 'soap-opera', 'roman-savon', 'roman savon', 'soap opéra', 'télénovela', 'feuilletons', 'sinetron', 'séries télévisées'];Type de feuilleton radiodiffusé ou télévisé
activity;['cabaret', 'cabarets', 'arts mineurs de scène', 'formes mineures des arts de scène', 'kleinkunst', 'café-concert', 'floorshow', 'spectacle de variété'];Établissement permettant de consommer de la nourriture et des boissons tout en regardant un spectacle
activity;['hap and leonard'];série télévisée américaine
activity;['tétralogie', 'tetralogie'];Ensemble de quatre œuvres
activity;['guerres napoléoniennes', "guerres de l'empire", 'victoires et créations de napoléon', 'guerres napoleoniennes', 'guerres napoléonniennes'];Les guerres de Napoléon 1er
activity;['examen', 'devoir surveillé', 'test', 'devoir en classe', 'devoir sur table', 'devoir surveille', 'examens', 'épreuve', 'exam', "test d'aptitude", 'test performance'];Épreuve visant à mesurer le niveau de compétence d'un individu
activity;['psychanalyse', 'psychologie des profondeurs', 'psychanalytique', 'psychanalise', 'psychoanalyse', 'psyghanalyse', 'psyk', 'analyse', 'analysant', 'psychanalyste', 'psychanalystes', 'école psychanalytique'];Procédé d'investigation des processus psychiques inconscients . méthode psychothérapique . ensemble de conceptions théoriques relatives au psychisme
activity;['actualités cinématographiques', 'actualités', 'actualités filmées', 'presse filmée', "film d'actualité", 'actualité cinématographique', 'les actualités', 'newsreel'];Court métrage d'information
activity;['grâces', 'bénédiction', 'bénédicité', 'rendre grâces', 'grâce', 'action de grâce', 'remerciement', 'thanksgiving'];Courte prière chrétienne
activity;['consécration', 'consecration'];Action consistant à rendre sacré
activity;['jeu de plein air', 'loisir de plein air', "jeux d'extérieur", "jeu d'extérieur", 'activité de plein air', 'activités de plein air', 'activités extérieures', 'loisirs de plein air', 'sport de plein air', 'terrains de sport'];Loisir réalisé en extérieur
activity;['full-contact', 'boxe américaine', 'full contact', 'fulleur', 'contact léger', 'contacter le sport', 'semi contact', 'sport de contact', 'sports de contact'];Sport de combat
activity;['swing', 'danse swing', 'balançoire'];Groupe de dances lié au jazz
activity;['conte de fées', 'conte merveilleux', 'contes de fées', 'conte'];Genre littéraire
activity;['cake-walk', 'cakewalk', 'gâteau'];Dance
activity;['danse traditionnelle', 'danses traditionnelles', 'groupe folklorique', 'danse folklorique', 'danse ethnique', 'danses folkloriques'];Danses qui etaient dansées lors de festivals folkloriques traditionnelles et dans les sociétés traditionnelles, et qui sont toujours dansées aujourd'hui
activity;['bel canto', 'belcanto'];Technique de chant
activity;['goal', 'marquer au football'];Au football, le jeu dans lequel une équipe parvient à introduire le ballon dans le but adverse, remportant ainsi un but
