abstract-quality;['osobnosť'];Osobnosť definícií existuje okolo 110.
activity;['piata križiacka výprava'];Piata križiacka výprava bola vyhlásená v roku 1213 pápežom Inocentom III. a trvala od roku 1217 do roku 1221.
activity;['step', 'stepovanie', 'mäkké topánky', 'stepovať', 'tap-dance', 'tap-tanečné'];Step je druh tanca, ktorý tancujú sóloví tanečníci väčšinou iba nohami, ostatná časť tela len vyvažuje, a prevádzania tanca sa nezúčastňuje.
activity;['bitka pri slavkove', 'bitka troch cisárov'];Bitka pri Slavkove alebo bitka troch cisárov sa odohrala 2.
activity;['bitka pri platajách', 'bitka pri plataea', 'bitka pri platajach', 'bitka plataea'];Bitka pri Platajách bola jednou z posledných veľkých bitiek grécko-perzských vojen.
activity;['konflikt', 'debata', 'hádka', 'rozdielny názor', 'rozpor', 'spor', 'názorové rozdiely'];Konflikt (lat.
activity;['iránsko-iracká vojna', 'prvá vojna v perzskom zálive', 'iracko-iránska vojna'];Tento článok sa zaoberá vojenským konfliktom na Blízkom východe, ktorý sa odohral v rokoch 1980 až 1988.
activity;['kontroverzia', 'spor', 'diskusia', 'dohadovanie sa', 'polemika', 'sporná otázka', 'debata', 'argument', 'argumentovať', 'argumenty', 'disceptation', 'kontroverzie', 'spory', 'súťaženie'];Kontroverzia je prudká výmena názorov. spor, hádka, rozpor.
activity;['bitka pri termopylách', 'thermopylae'];Bitka pri Termopylách
activity;['hladovka', 'hladovku', 'hladovky'];Hladovka je zámerné a dobrovoľné odmietanie príjmu potravy.
activity;['western', 'kôň opera'];Western je umelecký žáner, ktorý je prezentovaný v rôznych formátoch, ako je film, televízia, rozhlas, literatúra, či v maľbách a iných vizuálnych umeleckých štýloch.
activity;['dokumentárny film', 'docudrama', 'doku-dráma', 'dokumentarista', 'dokumentárny', 'dokumentárny seriál', 'dokumentárnych filmov', 'filmový dokument', 'infotainment'];Dokumentárny film je druh filmu, ktorého hlavným cieľom je sprostredkovanie a dokumentácia skutočnosti.
activity;['futbal', 'futbalista', 'futbalistka', 'kopaná', 'futbalový', 'futbalový tím', 'nadstavenom čase', 'po predĺžení'];Futbal je kolektívna loptová hra, ktorá je považovaná za najpopulárnejší šport na svete.
activity;['moshing', 'mosh pit', 'circle pit', 'slam dance', 'slamming', 'mosh', 'moshpit', 'slam dancing', 'slam tanec'];Moshing je tanečný štýl vychádzajúci z hardcore punkovej komunity.
activity;['film', 'filmové predstavenie', 'filmov', 'filmu', 'filmy', 'hlavný film', 'motion-picture', 'motion-picture zobraziť', 'motion picture', 'obrázok zobraziť', 'pohyblivého obrazu zobraziť', 'pohyblivý obraz', 'pohyblivý obrázok', 'veľkú obrazovku'];Film, ako výsledok nakrútenia série statických a momentových snímok je vlastne obraz „oživený“ na projekčnej ploche.
activity;['snooker', 'gulečník', 'hráč biliardu'];Snooker je biliardová hra, najviac populárna v krajinách Spoločenstva národov a krajinách Ďalekého východu.
activity;['kanasta', 'meld', 'canasta', 'košík rummy'];Kanasta
activity;['break dance', 'breakdance', 'b-boying', 'b-boy', 'b-boys', 'breakdancer', 'prestávka tanečník'];Break dance alebo breakdance je súhrnné označenie viacerých foriem tanca, ktoré vznikli medzi afroamerickou a portorikánskou mládežou v USA v 70.
activity;['hip-hop', 'hip hop', 'hip hop music', 'hip-hop hudbu', 'hip hop umelec', 'rap', 'rap music', 'rapová skupina'];Hip-hop je hudobný žáner, ktorý sa vyvíjal ako súčasť hip-hopovej kultúry a je definovaný štyrmi kľúčovými štylistickými prvkami: rap, DJing/scratching, samplovanie a beatbox.
activity;['abdikácia', 'abdikovať', 'odstupovať', 'odstúpil'];Abdikácia je zrieknutie, odstúpenie, vzdanie
activity;['softbal', 'softball', 'softball hra'];Softbal
activity;['šach', 'šachy', 'šachista'];Šach je deterministická strategická hra s úplnou informáciou pre dvoch hráčov, v ktorej o výsledku rozhodujú taktické a strategické schopnosti hráčov a ich pozornosť a sústredenie.
activity;['šípky'];Šípky sú hra, pri ktorej sa hádžu malé šípky na terč, umiestnený na stene.
activity;['piškvorky', 'mlynček', 'tic-tac-toe', 'tick-tack-toe', 'ticktacktoe', 'ticktacktoo', 'tit-tat-toe'];Piškvorky je strategická hra pre dvoch hráčov.
activity;['lakros', 'lacrosse', 'loptová hra'];Lakros alebo staršie lacrosse je kolektívny šport pochádzajúci od severoamerických indiánov.
activity;['počítačová hra', 'videohra', 'pc hry', 'počítačové a video hry', 'ťahová stratégia', 'videohry', 'interaktívnu hru', 'počítačové hry', 'počítačových hier'];Počítačová hra je interaktívny softvér komunikujúci s používateľom pomocou 2D alebo 3D grafiky a zvukov na účely zábavy alebo vzdelávania, prevádzkovaný na nejakom počítači, dnes obvykle PC alebo Apple Macintosh, prípadne na špecializovanom počítači zvanom herná konzola, ktorý je vyvinutý takmer výlučne na hranie hier a multimediálnu zábavu.
activity;['vodné pólo', 'vodný pólista', 'vodné'];Vodné pólo je loptová hra, v ktorej proti sebe nastupujú dve 7 členné družstvá.
activity;['squash', 'squash rakety', 'squashové kurty'];Squash je raketový šport, ktorý sa hrá indoor - na squashovom kurte.
activity;['basketbal', 'basket', 'basketballer', 'basketbalový klub', 'krinolína'];Basketbal je kolektívny loptový šport, v ktorom sa dva tímy s piatimi hráčmi na ihrisku snažia získať čo najviac bodov vhadzovaním lopty do obruče basketbalového koša.
activity;['bedminton', 'badminton'];Bedminton je športová hra pre dvoch alebo štyroch hráčov, ktorí sa pohybujú na opačných poloviciach obdĺžnikového ihriska rozdeleného sieťou.
activity;['golf', 'golfový turnaj'];Golf je outdoorový šport, v ktorom samotný hráč alebo malá skupinka hrá malou golfovou loptičkou do jamky a používa pri tom rôzne palice.
activity;['dosková hra', 'stolná hra', 'stolová hra', 'boardgames', 'video dosková hra'];Doskové hry sú hry, ktoré sa hrajú na nejakom hracom pláne.
activity;['ľadový hokej', 'hokejová hra'];Ľadový hokej je kolektívny šport.
activity;['kriket', 'cricket', 'hráč kriketu', 'hráčov kriketu', 'kriketová klub', 'kriketová tím'];Kriket
activity;['baseball', 'bejzbal', 'baseball hra', 'hráčov baseballu'];Bejzbal
activity;['kartová hra', 'karty', 'kartové hry'];Kartová hra je hra, ktorá sa hrá s hracími kartami.
activity;['tenis', 'tenista', 'tenistka', 'lawn tennis', 'trávnik tenis'];Tenis (angl.
activity;['stolný tenis', 'pingpong', 'ping pong', 'ping-pong', 'ping pongové loptička'];Stolný tenis, hovorovo pingpong, je druh športu, pri ktorom je snahou hráča zahrať loptičku ponad, prípadne popri sieťke na špeciálnom stole tak, aby jej vrátenie spôsobovalo ťažkosti súperovi, prípadne aby ju nemohol vrátiť.
activity;['vojna o španielske dedičstvo'];Vojna o španielske dedičstvo bol vojnový konflikt medzi rakúskymi Habsburgovcami a ich spojencami a francúzsko-španielskou koalíciou o mocenské postavenie na Pyrenejskom polostrove.
activity;['stopa', 'metrické jednotky', 'metrické nohy', 'metrických nôh', 'nohy'];Stopa je najmenšia samostatná jednotka v metrickej organizácii verša.
activity;['občianska neposlušnosť', 'občianskej neposlušnosti'];Občianska neposlušnosť je aktívne neuposlúchnutie určitého zákona autority bez použitia fyzického násilia.
activity;['štrajk', 'štrajku', 'prerušenie práce', 'právo na štrajk', 'zastavenie práce', 'štrajk práce'];Štrajk je spôsob protestu, pri ktorom jeho účastníci prestanú pracovať, aby dosiahli presadenie svojich požiadaviek.
activity;['dýzové prúdenie', 'jetstream', 'jet stream', 'tryskové prúdenie', 'potoku prúdového lietadla', 'protiprúd'];Dýzové prúdenie alebo jetstream
activity;['automatizácia', 'mechanizácia', 'mechanizácie', 'automatizovať', 'automatizácie', 'mechanizované', 'priemyselnej automatizácie'];Automatizácia je etapa rozvoja techniky, pre ktorú je charakteristické uskutočňovanie výrobných, riadiacich a iných procesov bez priameho zásahu človeka, spojená s objavom automatických výrobných liniek
activity;['bitka', 'boj', 'konflikt', 'zápas', 'vojenská bitka', 'potýčky', 'zapojenie'];Bitka súhrn súčasných a postupných bojov vedených na rozhodujúcich smeroch bojiska s cieľom dosiahnuť strategické významné výsledky v ťažení.
activity;['virtuálna realita', 'virtuálna skutočnosť', 'virtuálne prostredie', 'virtuálnej reality', 'virtuálnom priestore'];Virtuálna realita je prostredie vymodelované prostriedkami počítača simulujúce skutočnosť.
activity;['bitka v koralovom mori', 'bitka v korálovom mori'];Bitka v Koralovom mori bola jednou z veľkých a dôležitých námorných bitiek odohrávajúcich sa počas druhej svetovej vojny v Tichomorí.
activity;['aikido'];Aikido je jedným z najmladších japonských bojových umení.
activity;['taekwondo', 'taekwon-do', 'tekvondo', 'täkwondo', 'tae kwon do', 'taekwando'];Taekwondo [slovenská výslovnosť: tekvondo alebo tejkvondo]
activity;['hmotnosť vzduchu', 'vzduchová hmota', 'masa vzduchu', 'vzdušná masa', 'vzduchová masa', 'prúd vzduchu'];Vzduchová hmota je veľmi veľká, relatívne ohraničená časť vzduchu v troposfére, ktorá má zhruba rovnaké vlastnosti a pohybuje sa ako celok v smere všeobecnej cirkulácie atmosféry.
activity;['zlatá horúčka', 'goldrush', 'zlatej horúčky', 'zlatých horúčok'];Zlatá horúčka je hromadný presun zlatokopov do miesta objavu zlata.
activity;['referendum', 'verejné hlasovanie', 'non-záväzné referendum', 'poradné referendum', 'referenda'];Referendum je hlasovanie, ktorým voliči celého štátu alebo niektorej z jeho častí rozhodnú o prijatí alebo zamietnutí zákona, predpisu, návrhu alebo programu, ktoré boli predložené na posúdenie obyvateľstvu.
activity;['samba'];Samba je druh latinskoamerického tanca.
activity;['pohlavný styk', 'súlož', 'sexuálny styk', 'pohlavný akt', 'párenie', 'sexuálny vzťah', 'ľudského sexuálneho správania', 'coition', 'milostná skúsenosť', 'páriť', 'sexuálne akty', 'sexuálne kongres', 'sexuálne vzťahy', 'sexuálny akt', 'sexuálnych aktivít', 'súcit sex', 'vaginálny sex', 'ľudskej sexuálnej aktivity', 'ľudské sexuálne správanie', 'živočíšne znalosti'];Pohlavný styk alebo sexuálny styk je priama sexuálna interakcia medzi živočíchmi, v zásade umožňujúca oplodnenie.
activity;['bitka pri pydne', 'bitka pydna', 'pydna'];Bitka pri Pydne bolo ozbrojené stretnutie medzi Rimanmi a Macedóncami, ktoré sa odohralo 22.
activity;['asynchronous transfer mode'];Asynchronous Transfer Mode, skrátene ATM, bol v osemdesiatych a deväťdesiatych rokoch štandard pre vysokorýchlostnú sieťovú architektúru.
activity;['titrácia', 'titrácie'];Titrácia je bežná laboratórna metóda kvantitatívnej analýzy.
activity;['pohmat', 'palpácia', 'lekársky pohmat', 'palpovanie', 'vyšetrenie hmatom', 'vyšetrenie pohmatom', 'nahmatať', 'tactual prieskum'];Pohmat (iné názvy: vyšetrenie pohmatom/hmatom, lekársky pohmat, palpácia (z lat.
activity;['ukrižovanie', 'ukrižovaný', 'ukrižovať'];Ukrižovanie je historický spôsob popravy.
activity;['džiu-džitsu', 'džiu-džicu', 'jujitsu', 'jujutsu', 'ju-jitsu'];Džiu-džicu alebo džú džucu je staré japonské bojové umenie založené na technikách bez zbrane.
activity;['podniková ekonomika', 'administrácia', 'usporiadanie', 'administratíva', 'správa', 'správny úrad', 'ekonomika podniku', 'podnikovohospodárska náuka', 'podniková ekonómia', 'podnikové hospodárstvo', 'správcu'];Podniková ekonomika je hospodárska vedná disciplína, ktorej objektom skúmania je podnik ako podnikateľský subjekt.
activity;['homeopatia', 'homeopat', 'homeopatický', 'homeopatický liek'];Homeopatia je systém alternatívnej medicíny založenej na použití minimálnych koncentrácií liečiv, ktoré v masívnych dávkach údajne majú vyvolávať efekt podobný tomu, aký má liečená choroba.
activity;['trochej', 'trochaic'];Trochej
activity;['daktyl', 'dactyl'];Daktyl je stopa skladajúca sa z jednej prízvučnej a dvoch neprízvučných slabík a tvorí sylabotonický veršový systém.
activity;['jamb', 'jambický', 'jamba'];Jamb je dvojslabičná stopa, skladajúca sa z prvej slabiky krátkej a druhej dlhej, prípadne prvej neprízvučnej a druhej prízvučnej.
activity;['brušný tanec', 'bellydance', 'bellydancing', 'brušné tanečnice', 'danse du ventre'];Brušný tanec alebo arabský tanec alebo orientálny tanec je druh tanca, založený na pohyboch trupu a pochádzajúci z Blízkeho východu.
activity;['subreta'];Subreta (z franc.
activity;['ekumenizmus', 'ekumenické hnutie', 'christian ekumenizmus', 'ecumenist', 'ekumenického hnutia', 'ekumenizmu', 'interdenominational', 'oecumenism'];Ekumenizmus alebo ekumenické hnutie je hnutie za zjednotenie všetkých cirkví, v užšom zmysle len kresťanských cirkví, sveta.
activity;['hypermédium', 'hypermédiá', 'hypermédiá systému', 'interaktívne multimediálne', 'interaktívny multimediálny systém'];Hypermédium je kombinácia multimédií a hypertextu.
activity;['bitka pri trafalgare', 'trafalgar'];Bitka pri Trafalgare sa odohrala 21.
activity;['koncert', 'koncertné turné', 'koncerty', 'turné'];Koncert
activity;['pantomíma', 'pantomimes'];Pantomíma je divadelný spôsob vyjadrenia pomocou mimiky a gestikulačných pohybov s prvkami tanca.
activity;['sčítanie ľudu', 'sčítanie obyvateľov, domov a bytov', 'sèítanie', 'sčítanie ľudu, domov a bytov', 'konskripcia ľudu', 'populačný cenzus', 'súpis obyvateľov', 'súpis obyvateľstva', 'súpis ľudu', 'sčítanie obyvateľov', 'sčítanie obyvateľstva', 'nos znakov', 'nosecount', 'sčítania ľudu'];Sčítanie obyvateľov, domov a bytov je od roku 2001 oficiálny názov sčítania obyvateľstva na Slovensku.
activity;['súdne konanie', 'súdny proces', 'kauza', 'súdny spor', 'žaloba', 'causa', 'právneho sporu', 'právny spor', 'príčiny', 'sporu', 'spôsobujú systému', 'strany sporu', 'žaloval'];Súdne konanie je procesná činnosť súdu, účastníkov a zúčastnených osôb v čase od podania návrhu po jeho právoplatné vybavenie.
activity;['muzikál', 'hudobná komédia', 'hudobné divadlo', 'hudobné', 'hudobné kniha', 'hudobného divadla', 'hudobných komédií', 'muzikály'];Muzikál je syntetický dramatický žáner, ktorý spája literatúru, hudbu a tanec.
activity;['duel', "affaire d'honneur"];Duel alebo súboj je boj dvoch protivníkov so zbraňami podľa dohovoreného času, miesta a zbraní.
activity;['prognóza', 'prognostické', 'prognózu', 'zdravotná prognóza'];Prognóza (z neskorolat.
activity;['bessemerov proces', 'besemerovanie', 'besemerácia', 'bessemer ocele', 'bessemer proces', 'gilchrist-thomas proces'];Bessemerov proces/pochod alebo besemerovanie alebo besemerácia je spôsob výroby ocele zo surového železa.
activity;['blitzkrieg', 'blesková vojna', 'prudký útok', 'rýchla vojna', 'rýchly útok', 'ťažký nálet', 'bleskové', 'schwerpunkt'];Blitzkrieg alebo blesková vojna je vojenská teória založená na rýchlom prieniku motorizovaných, mechanizovaných v súčasnosti aj aeromobilných jednotiek do hĺbky obrany nepriateľa.
activity;['priama reč', 'oratio directa', 'priama citácie', 'priame diškurz'];Priama reč alebo oratio directa je doslovne verné opakovanie cudzej reči.
activity;['liturgia', 'liturgii', 'liturgist'];Liturgia znamená v kresťanstve v najširšom zmysle formu a obsah bohoslužobnej slávnosti charakterizovanej rituálnymi
activity;['lanolín', 'tuk z ovčej vlny', 'vlna tuku'];Lanolín prezývaný aj "vlnený tuk" je sekrét vylučovaný ovčou pokožkou na ochranu ovčieho rúna.
activity;['monzún', 'monzúnov', 'monzúnové', 'severovýchodnej monzún'];Monzún je „zložka monzúnového prúdenia s viacmenej stálym prevládajúcim smerom prúdenia v jednom polroku “.
activity;['mydlová opera', 'soap opera', 'sinetron', 'soap-opery'];Mydlová opera je žáner televízneho seriálu, ktorý začínal v 30.
activity;['kabaret', 'kabaretné predstavenie', 'zábavný program v nočnom podniku', 'floorshow', 'kabarety', 'podlaha zobraziť'];Kabaret je malá scéna so zábavným, humoristickým, hudobným alebo tanečným programom.
activity;['tetralógia'];Tetralógia je séria štyroch umeleckých diel, obyčajne literatúry
activity;['napoleonské vojny'];Napoleonské vojny boli vojny medzi Francúzskom a ďalšími európskymi štátmi v období cisárstva Napoleona I., dôsledok expanzívnej politiky Francúzska a jeho rivality s hospodársky silnejším Spojeným kráľovstvom.
