abstract-region;['súčet', 'množstvo', 'celkom', 'výška'];Celkovo dva alebo viac v počte.
agentive-physical-object;['mango', 'mangifera indica', 'mango strom'];Tropický ázijský ovocný strom, mangifera indica.
agentive-physical-object;['medveď', 'ursida', 'medvede', 'ursidae', 'medveďovité', 'medvědovitého'];Veľký mäsožravý cicaved rodu Ursidae, príbuzný psa a medvedíka čistotného. Má hustú srsť, veľmi krátky chvost a ploché nohy.
agentive-physical-object;['jabloň', 'malus pumila', 'sad jabloň'];Strom rodu ''Malus''. Rodí ovocie jablká.
agentive-physical-object;['aníz', 'bedrovník anízový', 'pimpinella anisum', 'aníz rastlín'];Stredomorská rastlina - pimpinella anisum.
agentive-physical-object;['medvedík čistotný', 'lotor', 'procyon lotor', 'spoločné mýval', 'spoločný mýval', 'spoločný racoon'];(Procyon lotor) Všežravý nočný cicavec vyskytujúci sa v severnej a strednej Amerike.
agentive-physical-object;['hruška', 'hruška obyčajná', 'hruškovník', 'pyrus communis', 'pyrus'];Strom plodiaci ovocie zužujúce sa smerom k stonke a oblé naspodu.
agentive-physical-object;['medvedík čistotný', 'medviedik čistotný', 'mýval severný', 'medvedík mýval', 'procyon lotor', 'mýval', 'spoločný mýval severnej'];(Procyon lotor) Všežravý nočný cicavec vyskytujúci sa v severnej a strednej Amerike.
agentive-physical-object;['egreš', 'egreše', 'ribes uva-crispa', 'egreše bush', 'ribes grossularia'];Tŕnitý eurázijský ker so zelenkavými kvetmi s fialovým nádychom a oválnymi žlto-zelenými alebo červeno-fialovými bobuľami.
agentive-physical-object;['chmeľ', 'chmel', 'chmeľ ušľachtilý'];Plody rovnomennej rastliny používané pri varení piva na dodanie charakteristickej horkastej chuti.
agentive-physical-object;['baran', 'barana'];Samec ovce.
agentive-physical-object;['vták', 'vtáky', 'aves', 'vtáci', 'avafauna', 'roosting', 'vtáctvo', 'vtákov'];Všetky teplokrvné stavovce v živočíšnej triede Aves.
amount-of-matter;['voda', 'h₂o', 'oxidán', 'vody', 'h2o', 'kvapalnej vody'];Bežná tekutina (H₂O), ktorá tvorí dažde, rieky, moria atď. a tvorí veľkú časť telies organizmov.
amount-of-matter;['meď', 'cu', 'atómové číslo 29', 'medi'];Chemický prvok. jeden z najdôležitejších neželezných kovov. ťažný a kujný kov náchádzaný v rôznych rudácha pužívaný v priemysle, vývoji a umení v obidvoch formách ako čistý aj legovaný.
amount-of-matter;['lítium', 'li', 'lithium', 'atómové číslo 3'];Ľahký striebristý alkalický kovový prvok, chemický symbol Li a atómové číslo 3, ktorý sa vyskytuje primárne ako minerály lepidolit, spodumen, and amblygonit.
amount-of-matter;['nápoj', 'nápoje', 'nápojov', 'pitný'];Ktorákoľvek z rôsnych tekutín určených na pitie.
amount-of-matter;['zásada', 'báza', 'alkálie', 'alkálií', 'základné', 'zásaditosť'];Chemická látka, iónová alebo molekulárna, schopná prijať alebo odovzdať protón (vodíkový ión) inej látke. táto druhá látka sa chová pri odovzdávaná protónu ako kyselina.
amount-of-matter;['kyselina', 'kyseliny', 'protického kyseliny'];Chemická zlúčenina schopná uvoľniť aspoň jeden katión vodíka (protón).
amount-of-matter;['pivo', 'ale'];Alkoholický nápoj bežne fermentovaný z obilného sladu s prídavkom chmeľu alebo inej látky pre dodanie horkastej chute.
amount-of-matter;['zemina', 'pôda'];Zmes pieskového a organického materiálu podporujúceho rast rastlín.
amount-of-matter;['zemina', 'pôda'];Vrchná časť povrchu zeme pozostávajúca z rozložených častíc skál, humusu, vody a vzduchu.
biological-object;['vetva', 'konár'];Drevená časť stromu vyrastajúca z kmeňa a normálne sa rozvetvuje.
biological-object;['konár', 'vetva'];Drevená časť stromu vyrastajúca z kmeňa a normálne sa rozvetvuje.
biological-object;['tuk', 'tukové tkanivo', 'tukové väzivo', 'tukový vankúšik', 'tukového tkaniva', 'telesného tuku', 'viscerálneho tuku'];Špecializované živočíšne tkanivo s vysokým obsahom tukov využívané ako dlhotrvajúca zásobáreň energie.
biological-object;['káva', 'kávové zrno', 'zrnko kávy', 'coffee berry'];Nápoj vyrobený vylúhovaním kávových zŕn v horúcej vode.
biological-object;['vajce', 'vajíčko', 'vajcia'];Veľká ženská pohlavná bunka obalená poréznou, vápenatou alebo koženou škrupinou, ktorú tvoria vtáky a plazy.
biological-object;['prst', 'prst na ruke', 'prsta'];Jeden z dlhých výbežkov na ruke používaný na uchopovanie predmetov.
biological-object;['liči', 'dvojslivka', 'dvojslivka čínska', 'lichi', 'leechee', 'litchee', 'litchi matice'];Plod čínskeho stromu, Litchi chinensis, ktorý má svetločervené plody s jednou kôstkou obalenou mäsitou bielou dužinou.
biological-object;['egreš'];Ríbezli podobný, žlto-zelený alebo červeno-fialový bobuľový plod plod používaný hlavne v džemoch a želé.
biological-object;['jablko', 'jablká', 'green apple', 'malus domestica'];Obľúbené, chrumkavé, guľaté ovocie z jablone, väčšinou s červenou, žltou alebo zelenou šupkou so svetlejšou dužinou.
biological-object;['zub', 'zuby', 'zuba'];Tvrdá, vápenatá štruktúra prítomná v ústach mnohých stavovcov, vo všeobecnosti používaná na jedenie.
biological-object;['semenník', 'jadro', 'vajce', 'testes', 'testis', 'semenníky', 'ballock', 'bordel', 'semenníkov', 'teste', 'testikulárne'];Pohlavná žľaza samca, ktorá produkuje spermie a hormóny, majú ju niektoré druhy zvierat.
biological-object;['kvet', 'kvetina', 'kvety', 'kvetinové'];Reproduktívna štruktúra pri krytosemenných rastlinách (angiospermae), tvorená z tyčiniek a piestikov obklopená okvetnými a kališnými lístkami, ktoré sa všetky nachádzajú v ?okvetí.
biological-object;['kosť', 'kostné tkanivo', 'kosti', 'kostnej'];Kompozitný materiál pozostávajúci najmä z fosforečnanu vápenatého a kolagénu a tvorí kostru väčšiny stavovcov.
biological-object;['telo', 'fyzická konštitúcia', 'teleso', 'fyzickej štruktúry', 'fyzické telo', 'organická štruktúra'];Fyzická štruktúra človeka alebo živočícha.
biological-object;['telo', 'fyzická konštitúcia', 'teleso', 'fyzickej štruktúry', 'fyzické telo', 'organická štruktúra'];Rozlíšiteľný objekt s danými vlastnosťami (v zmysle klasickej fyziky) ako hmotnosť a rýchlosť (rotácie).
biological-object;['tvár', 'obličaj', 'ľudská tvár', 'tváre'];Predná časť hlavy, na ktorej sú oči, nos ústa a okolitá plocha
biological-object;['oko', 'oculus', 'oči', 'oculi', 'optický', 'zložené oči'];Orgán citlivý na svetlo, ktoré prevádza na elektrické signály posielané do mozgu, čím umožňuje zvieratám vidieť.
biological-object;['tvár'];Časť ľudského alebo zvieracieho tela, na ktorej je brada, ústa a hlavné zmyslové orgány.
biological-object;['krk', 'šija', 'krku'];Časť tela (niektorých živočíchov vrátane človeka), ktorá spája hlavu a trup.
biological-object;['brada'];Spodná čast na tvári, hneď pod ústami.
biological-object;['ucho', 'uši', 'organum statoacusticum', 'organum vestibulocochleare', 'polohovosluchový aparát', 'predsieňovoslimákový orgán', 'rovnovážny a sluchový orgán', 'statoakustický aparát', 'ľudské ucho'];Orgán sluchu.
biological-object;['kniha', 'kniha sa', 'psalterium', 'tretej žalúdok'];Časť žalúdka prežúvavcov.
course;['epidémia', 'epidémie'];Náhly nárast počtu výskytov ochorenia na hodnotu nad normálom, ovplyvňujúci veľké množstvo ľudí na veľkom území.
course;['zmena', 'modifikácia'];Proces stávania sa rozdielnym (iným).
course;['začiatok', 'vznik', 'počiatok', 'začiatku'];Začatie činnosti, udalosti.
course;['narodenie', 'rodenie', 'zrodenie', 'pôrod', 'nascence', 'zrod'];Chvíľa, v ktorej sa niekto narodí.
dependent-place;['oko', 'eyewall'];Stred búrky okolo ktorého fúkajú vetry.
dependent-place;['vpravo', 'pravá strana', 'pravý'];Smer alebo strana opačná ako ľavá. Keď osoba rozpaží ruky, dlaňami od seba, ruka, ktorej palec a ukazovák nie sú v tvare písmena L, ukazuje týmto smerom.
functional-matter;['meď', 'cu', 'atómové číslo 29', 'medi'];Chemický prvok. jeden z najdôležitejších neželezných kovov. ťažný a kujný kov náchádzaný v rôznych rudácha pužívaný v priemysle, vývoji a umení v obidvoch formách ako čistý aj legovaný.
functional-matter;['syr', 'syry'];Zrazený alebo kultivovaný mliečny výrobok
functional-matter;['doska', 'dosky'];Kúsok dreva akebo podobného materiálu, ktorý bol odpílený do pravidelného tvaru zvyčajne v príprave na použitie na nejakú stavebnú činnosť.
functional-matter;['lepidlo', 'lep', 'lepidlo zástupca', 'lepidlá'];Hmota slúžiaca na spájanie, zliepanie niečoho.
functional-matter;['nápoj', 'nápoje', 'nápojov', 'pitný'];Ktorákoľvek z rôsnych tekutín určených na pitie.
functional-matter;['diuretikum', 'močopudný liek', 'diuretický', 'diuretikum drog', 'diuretiká', 'voda pilulka'];Liek, ktorý zvyšuje tvorbu moču.
functional-matter;['liči', 'dvojslivka', 'dvojslivka čínska', 'lichi', 'leechee', 'litchee', 'litchi matice'];Plod čínskeho stromu, Litchi chinensis, ktorý má svetločervené plody s jednou kôstkou obalenou mäsitou bielou dužinou.
functional-matter;['egreš'];Ríbezli podobný, žlto-zelený alebo červeno-fialový bobuľový plod plod používaný hlavne v džemoch a želé.
functional-matter;['bavlna'];Najhospodárnejšie prírodné vlákno, získavané z rastlín rodu Gissypium, používa sa na výrobu tkanín, lanovia a vaty a na výrobuumelých vlákien a celulózy.
functional-matter;['pivo', 'ale'];Alkoholický nápoj bežne fermentovaný z obilného sladu s prídavkom chmeľu alebo inej látky pre dodanie horkastej chute.
functional-matter;['chlieb', 'chleboviny', 'chleba', 'chleby', 'kvasený chlieb', 'zamestnanci života'];Bežné jedlo vyrobené z múky, vody a kvásku hnietením a pečením bochníka.
functional-matter;['jablko', 'jablká', 'green apple', 'malus domestica'];Obľúbené, chrumkavé, guľaté ovocie z jablone, väčšinou s červenou, žltou alebo zelenou šupkou so svetlejšou dužinou.
functional-matter;['slad'];Surovina používaná predovšetkým na výrobu piva a destiláciu, získaná klíčením a sušením jačmeňa.
functional-matter;['koláč', 'múčnik', 'koláč mix', 'koláče', 'tortu', 'tortu mix'];Výdatný, sladký, pečený zákusok, typicky vyrobený z múky, vajec, cukru a masla.
functional-matter;['vajcia', 'vajce', 'vajíčka', 'vajíčko', 'produkcii vajec', 'rybie vajcia'];Vajce domestikovaných vtákov, najbežnejšie sliepky, používané ako jedlo.
functional-matter;['bavlna', 'vata', 'bavlnené vlákno', 'bavlnené', 'vaty'];Najhospodárnejšie prírodné vlákno, získavané z rastlín rodu Gissypium, používa sa na výrobu tkanín, lanovia a vaty a na výrobuumelých vlákien a celulózy.
functional-matter;['perie', 'operenie', 'pero', 'barbule', 'filoplume', 'perie zatmenie'];Rozvetvujúca sa vlasovitá štruktúra rastúca na koži vtákov, ktorá ich chráni pred chladom a vodou a pomáha krídlam získať vztlak.
functional-matter;['pôda', 'zemina', 'hlina', 'pôdy', 'hlinené'];Zmes pieskového a organického materiálu podporujúceho rast rastlín.
functional-matter;['list', 'hárok', 'kus papiera', 'list papiera'];Jeden obdĺžinikový kúsok papiera.
genetic-collective;['rodina', 'rodinná jednotka', 'rodinné vzťahy', 'rodín', 'vzťahy v rodine'];Skupina obsahujúca rodičov, potomkov a iných príbuzných alebo vo vzťahu k nim.
genetic-collective;['baby boom', 'baby-boom generácie', 'baby boomu', 'generácie povojnového baby boomu', 'silných populačných ročníkov'];Obdobie veľmi zvýšenej pôrodnosti v určitom období a zvyčajne v určitej geografickej oblasti.
geographical-object;['jadranské more', 'jadran', 'adriatické more'];More oddeľujúce taliansky polostrov od balkánskeho polostrova.
geographical-object;['austrália'];Kontinent, ktorý sa celý nachádza na južnej pologuli, obklopený Indickým a Tichým oceánom a Južným oceánom.
geographical-object;['zem', 'pevnina', 'pôda', 'suchá zem', 'súš', 'územie', 'krajina', 'pevná zem', 'suché pôdy', 'terra firma'];Určitá časť povrchu Zeme vrátane všetkých jeho atribútov zahrňujúca jeho geológiu, topografiu, hydrológiu, pôdu, fóru a faunu spolu s výsledkami minulej a súčasnej ľudskej činnosti v zmysle, že tieto atribúty majú významý vplyv na súčasné a budúce využitie krajiny.
geographical-object;['južný oceán', 'antarktický oceán', 'južné ľadové more', 'južný ľadový oceán'];Vody vrátane ľadových krýh pod kontinentom Antarktída. Pokrýva najjužnejšie časti Tichého, Atlantického a Indického Oceánu. Rossovo, Amundsenovo, Bellingshausenovo a Weddellovo more.
information-encoding-system;['onomatopoia', 'zvukomaľba', 'onomatopoeia', 'onomatopeia', 'onomatopeic', 'onomatopoetic', 'zvukomalebné'];Slovo, ktoré má predstavovať zvuk.
information-object;['zámeno', 'zámená', 'pronomen', 'pronominum'];Slovo, ktoré sa používa namiesto podstatného mena alebo frázy. slovo používané ako odkaz na iné slovo
information-object;['osobné zámeno', 'osobných zámen'];Zámeno, ktoré odkazuje na predtým spomenutú osobu.
information-object;['kópia', 'prepis'];Reprodukcia písaného záznamu.
information-object;['užšie významy', 'hyponym', 'hypernym', 'podriadený slovo'];Záznamy v synonymickom slovníku, ktoré majú užší sémantický rozsah ako iné.
information-object;['slovný druh', 'slovné druhy', 'lexikálnej kategórie', 'triedy formulára', 'časť-of-speech', 'časť reči'];Kategória, do ktorej slovo patrí na základe jeho syntaktickej funkcie.
information-object;['omega', 'ω', 'ómega'];Posledné písmeno každej gréckej abecedy. Veľké písmeno Ω. malé: ω.
information-realization;['kniha', 'knižka', 'knihy'];Zbierka listov papiera zviazaných závesu na jednom okraji, obsahujúce tlačenej alebo písomné materiály, obrázky, atď
information-realization;['listina', 'dokument', 'postupná listina', 'zmluva', 'čin', 'listina dopravu'];čin, dej, konanie, vykonanie niečoho
information-realization;['blok valcov', 'blok motora', 'bloku motora'];Kovová skriňa obsahujúca valce a chladiace vedenia motora.
information-realization;['karta'];Plochý, normálne obdĺžnikový kus tvrdého papiera, umelej hmoty atď.
information-realization;['mier', 'mierová zmluva'];stav bez vojny, obzvlášť medzi dvomi krajinami
information-realization;['arménske písmo', 'arménčina', 'arménska abeceda', 'armenian abeceda', 'arménskej abecedy'];Písmo používané pre arménčinu.
information-realization;['avestčina', 'avestan', 'avestic'];Zaniknutý iránsky jazyk, v ktorom sa o.i. skladali hymny zoroastrickej svätej knihy, Avesty.
language;['kornčina'];Keltský jazyk, ktorým sa hovorí v Cornwalle.
language;['fulbčina', 'fulbe', 'fell', 'fula ľudí', 'fulah'];Makrojazyk pozostávajúci z deviatich jazykov.
language;['arawačtina', 'arawakan', 'arawakan jazyk', 'arawakan jazyky', 'maipurean'];Jazyk Surinamu, Francúzskej Guyany, Guyany a Venezuely.
language;['jorubčina', 'yoruba', 'aku'];Subsaharský jazyk patriaci do vetvy Benue-Congo Nigersko-Konžskej jazykovej skupiny. Má takmer 30 milónov hovoriacich v Nigérii, Benine, Togu a Sierre Leone, ako aj komunity v Brazílii a na Kube.
language;['ujgurčina', 'čagatajčina', 'chagatai', 'jagatai', 'jaghatai', 'ujgurskej jazyk', 'východná turku'];Turecký jazyk, ktorým hovoria Ujgurovia v Sin-ťiang.
language;['bengálčina'];Indický jazyk, ktorým sa hovorí hlavne v Bangladéši a Indii.
language;['osetčina', 'osetínčina', 'osse', 'ossetic'];Jazyk používaný v Osetsku na svahoch Kaukazu na hraniciach Ruska a Gruzínska.
language;['dánčina', 'da', 'dan', 'dánsky jazyk', 'dánskej'];Severogermánsky jazyk, ktorým sa hovorí hlavne v Dánsku.
language;['islandčina', 'islandský jazyk', 'islandský'];Severogermánsky jazyk, ktorým sa hovorí hlavne na Islande.
language;['turečtina'];Turecký jazyk, ktorým sa hovorí halvne v Turecku, na Cypre a iných krejinách bývalej Ottomanskej ríše.
language;['frízština'];Západogermánsky jazyk používaný vo Frízsku v severozápadnom Holandsku.
language;['sanskrit', 'sanskrt', 'stará indičtina', 'staré indické jazyky', 'staré indoárijské jazyky', 'starý indoárijský jazyk', 'sanskritic jazyk'];Klasický indický jazyk, liturgický jazyk hinduizmu, budhizmu a džinizmu.
language;['ido'];Umelý jazyk. reforma Esperanta.
language;['rumunčina', 'rumunský jazyk', 'rumunského jazyka'];Románsky jazyk, ktorým sa hovorí hlavne v Rumunsku, Moldavsku a Vojvodine.
language;['afrikánčina', 'afrikaans', 'south african dutch', 'taal'];Západogermánsky jazyk, ktorým sa hovorí najmä Južnej Afrike a Namíbii.
language;['latinčina', 'latinský jazyk', 'latinský', 'lingua latina'];Indoeurópsky jazyk, ktorým sa pôvodne hovorilo v regióne v blízkosti mesta Rím, neskôr v celej Rímskej ríši a ako výsledok rímskeho dedičstva v stredoveku a neskôr aj v katolíckom a akademickom svete.
language;['nynorsk', 'nórsky nynorsk', 'novonórčina', 'nová nórčina', 'landsm', 'jazyk nynorsk', 'landsmaal', 'new norwegian'];Jeden z dvoch úradných štandardov zápisu v Nórsku, odvodený od dialektov, druhým je bokmål.
language;['bokmål', 'nórsky bokmål', 'riksmaal', 'riksmal', 'riksmål'];Jeden z dvoch úradných štandardov zápisu v Nórsku, odvodený od dánčiny, druhým je nynorsk.
language;['arapaho'];Jazyk v USA.
language;['čejenčina'];Jazyk v USA.
language;['krí'];Skupina úzko súvisiacich algonkinských jazykov, ktorými hovorí približne 50 000 ľudí v Kanade od Alberty po Labrador.
language;['hebrejčina', 'hebrejské jazyky', 'hebraic'];Semitský jazyk, ktorý sa používa hlavne v židovských obciach v Izraeli a po celom svete.
language;['írčina', 'írsky jazyk', 'gaeilge', 'gaeilgeoir', 'irish gaelic', 'írsky gaelský'];Keltský jazyk používaný hlavne v Írsku.
language;['gegčina', 'ghega', 'ghega dialekt'];Albánsky jazyk používaný hlavne v severných častiach Albánska a okolitých oblastiach.
language;['toskitčina', 'tosk', 'tosk dialekt'];Albánsky jazyk používaný na juhu Albánska.
language;['kantónčina', 'kantonský', 'kantonská jazyku', 'kantonský dialekt', 'standard kantonský', 'yue', 'yue dialekt'];Jedna z hlavných skupín dialektov alebo jazykov čínštiny alebo čínskej jazykovej rodiny, používaná hlavne v častiach južnej pevninskej Číny.
language;['amharčina', 'amharic', 'etiópsky jazyk', 'etiópskych semitských jazykov'];Semitský jazyk, ktorým sa hovorí hlavne v Etiópii.
language;['mančina', 'manská gaelčina', 'manské jazyk'];Zaniknutý jazyk, ktorým sa hovorilo na ostrove Man, momentálne zažíva renesanciu.
language;['škótska gaelčina', 'gaelčina', 'škóti gaelský', 'škótsky gaelský', 'škótsky gaelský jazyk'];Jazyk v goidelskej vetve keltských jazykov, ktorým sa hovorí v Škótsku.
language;['starogréčtina', 'staroveká gréčtina', 'ancient greek', 'starovekého gréckeho jazyka'];Historický jazyk, rozšírený najmä v Grécku.
language;['grécke jazyky', 'gréčtina', 'grécka jazyk', 'helénsky'];Indoeurópsky jazyk, ktorým sa hovorí hlavne v Grécku a na Cypre.
language;['pandžábčina', 'mírpurská pandžábčina', 'východná pandžábčina', 'západná pandžábčina', 'punjabi'];Indický jazyk, ktorým sa hovorí v štáte Pandžáb v Indii a regióne Pandžáb v Pakistane.
language;['albánčina'];Indoeurópsky jazyk, ktorým sa hovorí hlavne v Albánsku, Kosove, Grécku, Srbsku, Čiernej hore a Macedónskej republike.
language;['arménčina', 'arménsky jazyk', 'arménskom jazyku'];Indoeurópsky jazyk, kroým hovoria Arméni.
language;['vietnamčina', 'annamite'];Austro-Aziatický jazyk, ktorým sa hovorí hlavne vo Vietname.
language;['swahilčina', 'svahilčina', 'svahilčine'];Jeden z dvoch široko používaných jazykov vo Východnej Afrike.
language;['maorijčina', 'maorčina', 'te reo maorov'];Jazyk pôvodných obyvateľov Nového Zélandu, Maurov
language;['fidžijčina'];Jazyk na Fidži.
language;['estónčina', 'estónsky jazyk', 'estónskom jazyku', 'estónsky'];Ugro-fínsky jazyk, ktorým sa hovorí hlavne v Estónsku.
language;['lotyština', 'lotyšský jazyk', 'lotyšskej', 'lotyšskom jazyku', 'lotyšského jazyka'];Baltský jazyk, ktorým sa hovorí hlavne v Lotyšsku.
language;['španielčina', 'kastílčina', 'španielsky jazyk', 'španielsky-jazyk'];Románsky jazyk, ktorým sa hovorí hlavne v Španielsku, strednej a južnej Amerike a v Karibiku.
language;['portugálsky', 'portugalský'];Týkajúci sa Portugalska, Portugalcov alebo portugalčiny.
language;['arabčina', 'arabský jazyk'];Semitský jazyk, ktorým sa hovorí prevažne v arabskom svete - severná Afrika a Stredný východ. a používa sa ako liturgický jazyk Islamu.
language;['bieloruština', 'bieloruský jazyk', 'bieloruský'];Východoslovanský jazyk, ktorým sa hovorí najmä v Bielorusku.
language;['ukrajinčina', 'ukrajinský jazyk', 'ukrajinec', 'ukrajinského jazyka'];Východoslovanský jazyk, ktorým sa hovorí hlavne v Ukrajine.
language;['ruština', 'rus', 'ruska', 'ruský jazyk', 'ruského jazyka'];Východoslovanský jazyk, ktorým sa hovorí hlavne v Rusku a bývalých sovietskych republikách.
language;['nemčina', 'nemecký jazyk', 'po nemecky', 'nemecky a', 'nemecky hovoriacich', 'nemčine', 'vysoká nemčina'];Indo-Európsky jazyk, ktorým sa hovorí najmä v Nemecku, Rakúsku, Lichtenjštajnsku, Južnom Tirolsku, Švajčiarku a v malej časti Belgicka.
locative-role;['metropola', 'mesto', 'mestské centrum', 'mestského centra', 'metropole', 'metropoly'];Dnes všeobecne používaný termín označujúci akúkoľvek urbanistickú formu, ale obzvlášť používaný pre veľké urbanistické sídliská. Neexistujú však dohodnuté definície na odlíšenie mesta od veľkých metropol alebo malomiest.
locative-role;['hrada', 'hriadka', 'záhon'];vyhradená oblasť na zemi, kde rastú rastliny.
locative-role;['miesto', 'bod', 'topografická oblasť', 'mieste', 'topografické bod', 'umiestnenie'];Pozícia alebo oblasť v priestore.
locative-role;['blok', 'bloku', 'mestská časť', 'mestský blok'];Budova alebo sada budov obklopená zo všetkých strán pomerne šrokými ulicami v približne štvorcovom alebo obdĺžnikovom priestore.
locative-role;['centrum mesta', 'stred mesta', 'centra mesta', 'central city', 'city center'];Centrálna časť mesta.
locative-role;['začiatok', 'počiatok', 'koreň', 'prameň', 'pôvod', 'zdroj', 'vznik', 'pôvodu'];Miesto, kde niečo začne, kde sa prvýkrát obajví.
non-agentive-physical-object;['šaty'];Oblečenie pre ženy so sukňou a vrchom.
non-agentive-physical-object;['kuchynská výlevka', 'výlevka', 'kuchynský drez'];Výlevka v kuchyni.
non-agentive-physical-object;['blok', 'kváder', 'bloku'];Celistvý kus materiálu, zvyčajne pevný, obzvlášť pre ďalšie spracovanie a obrábanie.
non-agentive-physical-object;['lano', 'povraz', 'lanovie', 'šnúra', 'laná', 'povraznícky'];Hrubý, silný povraz vyrobený z niekoľkých prameňov, ktoré sú spolu zapletené.
non-agentive-physical-object;['čiapka'];Obvykle mäkká, prispôsobivá prikrývka hlavy, buď bez striešky alebo s priezorom.
non-agentive-physical-object;['koberec', 'koberček', 'koberce'];Tkanina používaná ako pokrývka podlahy.
non-agentive-physical-object;['hracia kocka', 'kocka', 'kocky', 'polyhedral kocky'];Objekt so zvyčajne 6 stranami, každá s inou hodnotou, ktorá sa používa v mnohých hrách na náhodný výber čísla.
non-physical-place;['miesto', 'bod', 'topografická oblasť', 'mieste', 'topografické bod', 'umiestnenie'];Pozícia alebo oblasť v priestore.
phenomenon;['hryzenie', 'žuť'];Činnosť hryzenia.
