activity;['adéu', 'comiat'];Expressió de comiat. usat quan una o més persones en una situació, diàleg o lloc, marxen, mentre altres es queden.
situation;['avortament espontani', 'avortament', 'mort fetal', 'avortament involuntari', 'avortaments involuntaris', 'encara naixement', 'mortinatos', "pèrdua de l'embaràs"];La interrupció espontània o provocada de l'embaràs.
situation;['boirum', 'fum i boira', 'fumassola', 'usuari:ubqag1eov/boirum', 'boira fotoquímica', 'smog', 'boires fotoquímiques', 'boira amb fum', 'smog fotoquímic', 'smogginess'];Polució de l'aire consistent en fum i boira.
situation;['hola', 'hallo', 'hello', 'howdy'];Expressió de salutació utilitzada entre dues o més persones de tracte familiar.
situation;['enteritis'];Inflamació de l'intestí prim.
social-role;['banc'];Lloc on s'emmagatzemen o conserven òrgans o substàncies del cos humà, normalment del mateix tipus, per a la seva posterior utilització mèdica, per exemple: banc de sang, banc d'ulls, banc de semen.
socially-constructed-person;['pare', 'pares', 'parent', 'progenitor', 'mare', 'pares biològics'];Persona amb un o més fills.
socially-constructed-person;['pare', 'papa', 'papà', 'pares', 'paternitat', 'engendrador', 'pare biològic', 'progenitor masculí'];Persona de sexe masculí que té fills.
socially-constructed-person;['longobard', 'llombard', 'longobards', 'llombards', 'longbards', 'regne dels longobards', 'longobardes', 'langobard', 'llengua lombard', 'lombard'];Una llengua parlada a Itàlia
temporal-region;['setmana', 'hebdómada'];Període de 7 dies.
temporal-region;['diumenge', 'dia del senyor', 'dg', 'dia de missa', 'dia dominical', 'domenge', 'dominicus'];El setè dia de la setmana. Actualment és un dia festiu en els països de tradició cristiana. El diumenge es considera comunament com a setè dia de la setmana, tot i que tècnicament és el primer.
temporal-region;['dijous', 'dj', 'sant mitger'];És el quart dia de la setmana. És el dia de Jupiter. El dijous es considera comunament com a quart dia de la setmana, tot i que tècnicament és el cinquè.
temporal-region;['dimecres', 'dc', 'casar-se'];És el tercer dia de la setmana. És el dia de Mercuri. El dimecres es considera comunament com a tercer dia de la setmana, tot i que tècnicament és el quart.
temporal-region;['maig'];El mes cinquè d'el calendari gregorià. té 31 jorns.
temporal-region;['dilluns', 'dl'];El primer dia de la setmana, el primer dia després del cap de setmana. És el dia de la Lluna. El dilluns es considera comunament com a primer dia de la setmana, tot i que tècnicament és el segon.
temporal-region;['dissabte', 'ds', 'dissabte de nadal', 'dissabte anglès', 'dissabte bord', 'dissabte piadós', 'dissabte de glòria', 'dissabte de pasqua', 'sabbatum'];És el sisè dia de la setmana. És el dia del sàbat. El dissabte es considera comunament com a sisè dia de la setmana, tot i que tècnicament és el setè.
temporal-region;['divendres', 'dv'];És el cinquè dia de la setmana. És el dia de Venus. El divendres es considera comunament com a cinquè dia de la setmana, tot i que tècnicament és el sisè.
temporal-region;['dimarts', 'mar', 'dt'];El segon dia de la setmana. És el dia de Mart. El dimarts es considera comunament com a segon dia de la setmana, tot i que tècnicament és el tercer.
temporal-region;['dia', 'jorn', 'jornada', 'diürnes', 'durant el dia'];Període de temps en què la Terra realitza el seu moviment de rotació. Es divideix en vint-i-quatre períodes iguals anomenats hores.
