abstract-region;['vektorski produkt', 'vektor izdelek', 'vektorski izdelka', 'čez izdelek'];Binarni operator v trirazsežnem prostoru
activity;['igra na deski', 'igra na igralni deski', 'igra na plošči', 'družabne igre', 'igra na igralni plošči', 'boardgame', 'boardgames', 'video igra na plošči'];Igra za enega ali več igralcev na označeni igralni plošči
activity;['hokej na ledu', 'hokej', 'hokejist', 'hokejski igralec', 'hokejska igra', 'hokeju na ledu', 'ledu žensk hokejska reprezentanca'];Moštveni zimski šport
activity;['igra s kartami', 'kartanje', 'karte', 'kvartanje', 'igre s kartami', 'kartice'];Družabna igra, pri kateri igralci uporabljajo igralne karte različnih vrst
activity;['tenis', 'ténis', 'ténisa', 'ténisom', 'ténisu', 'tenisač', 'tenisačica', 'teniška igralka', 'teniški igralec', 'lawn tennis', 'tenis na travi'];Šport z loparjem za dva nasprotna igralca ali za dve nasprotni skupini s po dvema igralcema
activity;['referendum', 'plebiscit', 'referendumsko vprašanje', 'ljudsko glasovanje', 'referendumih', 'svetovalni referendum', 'volivcev'];Glasovanje prebivalstva na kakem ozemlju o priključitvi le-tega določeni državi ali o razdružitvi od nje
activity;['ju jutsu', 'ju jitsu', 'borilna', 'jiujitsu', 'jujitsu', 'ju-jitsu', 'jujutsu'];Ime, ki ima danes dva pomena
activity;['homeopatija', 'homeopat', 'homeopatski', 'homeopatsko zdravilo'];Ena od vej zdravilstva, katere principi so bili osnovani leta 1800
activity;['klasični balet', 'balet'];Odrska izvedba umetniških plesov z glasbeno spremljavo, pri velikih operah romantičnega stila tudi plesni vložek brez neposredne povezave z dogajanjem same opere
activity;['bel canto', 'belcanto', 'belcanta'];Italijanski pevski način, ki posveča največjo skrb prikupnemu oblikovanju glasu
activity;['rock', "rock'n'roll", 'rock and roll', 'rock glasba', "rock 'n' roll", 'rock & roll', 'rock’n’roll', 'rokenrol', 'rock-and-roll', 'rock n roll', 'rok', 'rok glasba', "rock'n roll", 'rock-n-roll', 'rock roll', 'rock glasbe', 'rock glasbenik'];[rók] je razširjena glasbena zvrst v popularni glasbi, običajno uporablja vokal, kitare in močno poudarjen ritem
activity;['tirada', 'filipika', 'zmerjanje', 'philippic'];Pomeni oster napadalni govor
activity;['državljanska vojna', 'bratomorna vojna', 'državljanskih vojn', 'internecine vojne'];Vrsta vojne, v kateri se spopadejo dve ali več nasprotujočih se skupin znotraj iste države
activity;['francoska in indijanska vojna', 'francoščini in indijske vojne'];Naziv za devetletni oboroženi konflikt v Severni Ameriki, ki je potekal kot del sedemletne vojne
activity;['korejska vojna'];Oboroženi konflikt, ki je trajal med 25. junijem 1950 in 27. julijem 1953, pri čemer sta bili poglavitni udeleženki Severna in Južna Koreja
activity;['druga svetovna vojna', '2. svetovna vojna', '2. sv. v.', '2. sv. vojna', 'ii. svetovna vojna', 'nacistično okupacijo', 'world war 2'];Najobsežnejši in najdražji oborožen spopad v zgodovini sveta, ki je vključeval večino svetovnih držav
activity;['prva svetovna vojna', 'velika vojna', '1. sv. v.', '1. svetovna vojna', 'i. svetovna vojna', 'vojna končala vojno', 'vojna za končanje vojne', 'world war 1'];Vojaški spopad v letih 1914-1918 med silami antante, na strani katere so se bojevale Francija, Rusija, Kraljevina Srbija, Združeno kraljestvo, od leta 1915 dalje pa tudi Italija, ter centralnimi silami, na strani katerih so se bojevale Avstro-Ogrska, Nemčija, Turčija in Bolgarija
activity;['krimska vojna'];Vojna, ki je sredi devetnajstega stoletja potekala med ruskim carstvom in Združenim kraljestvom, Francijo, Turčijo in Kraljevino Sardinijo
activity;['peloponeška vojna', 'peloponeške vojne'];Vojna med Atenami z zavezniki in Šparto z zavezniki, ki je trajala 27 let, z začetkom leta 431 pr. n. št., povod pa je bil začetek vojne med Krfom in Korintom
activity;['marna', 'battle of the marne', 'chateau-thierry', 'les belleau', 'marne river'];Reka v severni Franciji, desni pritok Sene
activity;['zabava', 'zabȃva', 'razvedrilo', 'zabavati', 'zabavljači', 'zabavno', 'zabavo'];Zelo širok pojem, ki vključuje različne zabavne dejavnosti
activity;['boogie', 'boogie rock', 'boogie-wooegie', 'boogie-woogie', 'boogie woogie', 'država boogie'];Ime za hitro obliko blues ritma, hkrati pa pomeni tudi zvrst glasbe, ki se imenuje tudi boogie rock
activity;['saturnalije', 'saturnalia', 'saturnalie'];Bile praznik, na katerega so Rimljani obhajali posvetitev tempelj boga Saturna
activity;['zasilni pristanek', 'pristanek v sili', 'prisilni pristanek'];Nenačrtovan pristanek zrakoplova, bodisi na kopnem, bodisi na vodi
activity;['standardni plesi', 'standardni ples', 'standardnih plesov', 'ballroom dancing', 'dvorana', 'dvorana ples', 'dvorana plesalka', 'standardnih plesih'];Predstavlja pet plesov, ki se odlikujejo po plavajoči breztežnosti, ritmično menjajočimi se gibalnimi sekvencami in hitrimi reakcijami v gibanju
activity;['socialno delo'];Se ukvarja z izjemno široko paleto ljudi, z otroki, mladimi, starimi, brezdomci, nezaposlenimi, reveži in drugimi, ki doživljajo različne socialne, duševne, ekonomske, zdravstvene in druge stiske
activity;['nevrokirurgija', 'nevrokirurg', 'nevrokirurgi', 'nevrokirurške'];Slika
activity;['ardenska ofenziva', 'ardenska kampanja', 'bitka za gorivo', 'ardennes counteroffensive', 'bitka ardenov izboklina', 'bitka izbokline'];Bila nemška zadnja večja ofenziva na zahodni fronti 2. svetovne vojne, ki je potekala od 16. decembra 1944 do 31. januarja 1945 v Ardenih
activity;['živinoreja', 'vzreja živali', 'živinoreje'];Kmetijska panoga, ki se ukvarja z gojitvijo domačih živali z namenom pridobivanje prehranskih proizvodov, samih živali za delovno živino, surovin za oblačila in obutev ter gnoja
activity;['nabor', 'vpoklic', 'nabornik', 'naborniški sistem', 'naborništvo', 'vojaška obveznost', 'naborniki', 'obvezno služenje vojaškega roka', 'vojaški obveznosti', 'vpoklicali'];Način za ugotovitev sposobnosti za vojaško službo
activity;['računalniško programiranje', 'programiranje'];Dejavnost, katere cilj je ustvarjanje novih računalniških programov ali njihovih sestavnih delov na temelju določenih pravil
activity;['jomkipurska vojna', 'oktobrska vojna', 'arabsko-izraelskega konflikta', 'arabsko-izraelskega mirovnega procesa', 'arabsko-izraelski mirovni proces', 'arabsko-izraelski vojni', 'izraelsko-arabskega spora', 'yom kippur vojna'];Se je začela na židovski praznik jom kipur 6. oktobra 1973 in je trajala do 25. oktobra istega leta
activity;['angleška državljanska vojna', 'angleška revolucija'];Vrsto oboroženih spopadov in političnih nasprotij med zagovorniki pravic parlamenta ter vladajočo kraljevo rodbino oziroma zagovorniki pravic le-teh
activity;['bodybuilding', 'anaerobna vadba', 'mišic', 'mišice stavbe'];Slika
activity;['logistika', 'zaledje'];Dejavnost, ki se ukvarja z upravljanjem toka materialov od virov do porabnikov tako znotraj kot med podjetji
activity;['demagogia', 'demagogija', 'demagogijo', 'demagog'];Na splošno pomeni »zapeljivec ljudstva«, ki brezvestno izkorišča svoj vpliv na ljudstvo, večkrat z govorniško nadarjenostjo, in ga podpihuje k nemirom in uporom
activity;['elektronska obveščevalna dejavnost', 'elint', 'sigint', 'signali obveščevalnih'];Obsega zbiranje obveščevalnih informacij s pomočjo elektronskih sredstev
activity;['načrtovanje družine', 'nadzor rojstev', 'kontracepcija', 'izračun plodnih in neplodnih dni', 'načrtovanje rojstev', 'preprečevanje zanositve', 'kontracepcijo', 'nadzor nad rojstvi', 'rojstvo preprečevanje'];Vsak načrt ali metoda za preprečevanje ali zmanjšanje verjetnosti zanositve, ne da bi se pri tem izogibali spolnim odnosom
activity;['smrtna kazen', 'usmrtitev', 'glavno kaznivo dejanje', 'izvršitve', 'kaznivo dejanje kapitala', 'obsojen na smrt', 'smrtni kazni', 'smrtno kazen'];Slika
activity;['punk', 'punk rock', 'pank', 'punk-rock', 'punk-rocka', 'pank rock', 'punk rock bend', 'punkrock'];[pánk rok] je bilo proti-institucionalno glasbeno gibanje v obdobju od 1976 do 1980, začetniki katerega so skupine The Ramones, Sex Pistols, The Clash in The Damned
activity;['anekdota', 'smešnica'];Kratka pripoved, ki poroča o dogodku, značilnem za kakšno osebo, prostor in čas in kot vzvrst književnosti širše spada v pripovedništvo
activity;['vojna med belo in rdečo rožo', 'vojna dveh rož', 'vojna vrtnic', 'vojne rož', 'vojne roses', 'war of the roses'];Bila državljanska vojna v Angliji, ki se je odvijala med letoma 1455 in 1485
activity;['plastična kirurgija', 'plastični kirurg', 'anaplasty', 'lepotni kirurg', 'plastični kirurgi', 'rekonstruktivne kirurgije'];Ime za mlado vejo kirurgije, ki se ukvarja z oblikovanjem delov telesa ali telesa kot celote. Zdravnik-kirurg, ki je strokovnjak za lepotne in reparativne operacije, se imenuje plastični kirurg
activity;['bitka pri poitiersu', 'poitiers'];Zgodovinsko mesto in komuna v zahodni francoski regiji Poitou-Charentes, njeno glavno mesto kot tudi sedež departmaja Charente-Maritime
activity;['svetovni rekord', 'najdaljši', 'največji', 'najvišji', 'seznam rekordov', 'seznam slovenskih rekordov', 'svetovnih rekordov'];* Najdaljša slovenska beseda je s 26 črkami dialéktičnomaterialístičen. pridevnik s pomenom: nanašajoč se na dialektični materializem
activity;['deset božjih zapovedi', 'dekalog', 'deset zapovedi', '10. božjih zapovedi'];Pravila, po katerih naj bi se ravnalo človeštvo, da bo živelo v sožitju. Judje in kristjani verujejo, da se je Bog prikazal Mojzesu na gori Sinaj v obliki gorečega grma, in mu dal v hrambo dve kamniti plošči z vklesanimi zapovedmi
activity;['bitka za britanijo', 'bitka za anglijo', 'bitka za veliko britanijo'];Populističen naziv za boj za prevlado v zraku nad Veliko Britanijo, ki je uradno potekal med 1. julijem in 31. oktobrom 1940
activity;['turizem', 'animacija', 'letovišče', 'turist', 'masovnega turizma', 'mednarodnih potovanjih', 'množičnega turizma', 'potovalne industrije', 'touristry', 'turiste', 'zanimivosti'];Pojem, pod katerim običajno razumemo potovanje zaradi razvedrila, oddiha ter njegove spremljajoče dejavnosti
activity;['numizmatika', 'zbiranje kovancev', 'numismatology', 'numizmatike'];Pomožna zgodovinska veda, ki preučuje novce oziroma denar in zbirateljski konjiček, ki se ukvarja z zbiranjem in preučevanjem kovancev in bankovcev
activity;['filatelija', 'filatelije', 'žig zbiranje', 'zbiranje znamk', 'filatelistov'];Poimenujemo zbiranje in proučevanje poštnih in taksovnih znamk, ki vključuje študije oblikovanja, izdelave in uporabe posameznih poštnih znamk
activity;['vinarstvo', 'vinifikacija', 'proizvodnja vina', 'vinarske'];Pomeni proizvodnjo vina in obsega vse postopke od izbire grozdja do ustekleničenja gotovega vina
activity;['vrtnarstvo', 'hortikultura', 'vrtnar', 'vrtnarjenje', 'gojenje rastlin', 'horticulturalist', 'vrtnarje', 'vrtnarjev', 'vrtnarji'];Dejavnost, ki se ukvarja z vzgojo cvetlic, zelenjave in sadja na vrtu doma ali v bližini doma
activity;['zdravilstvo', 'alternativna medicina', 'zdravilec', 'alternativne medicine', 'alternativno zdravljenje', 'komplementarne in alternativne medicine', 'zdravilcev', 'zdravilci'];Ta definicija se v različnih državah različno opredeljuje
activity;['februarska revolucija', 'ruska revolucija'];V Rusiji leta 1917 je del revolucionarnega vrenja tistega časa in prvi korak k oktobrski revoluciji
activity;['francoska revolucija'];Potekala med letoma 1789 in 1792 v Franciji
activity;['ameriška vojna za neodvisnost', 'ameriška osamosvojitvena vojna', 'ameriška revolucija', 'ameriška revolucijska vojna', 'ameriška osvobodilna vojna', 'ameriški osamosvojitvene vojne', 'war of american independence'];Oznaka za vojaški del ameriške revolucije
activity;['dirka', 'dirkanje', 'dirke', 'racing'];Tekmovanje hitrosti
activity;['rolkanje', 'rolkar', 'skejtanje', 'skejter', 'skejterji', 'deskarje', 'poklicni rolkar', 'video skate'];Vožnja ali kakšno drugačno manevriranje na rolki
activity;['kolesarstvo', 'kolesarjenje', 'kolesar', 'kolesarje', 'biciklizem'];Slika
activity;['radioterapija', 'obsevanje', 'radioterapijo', 'actinotherapy', 'intenzivnosti moduliran radioterapijo', 'obsevanih', 'obsevanjem'];Način zdravljenja, pri katerem uporabljamo ionizirajoče sevanje
activity;['kemoterapija', 'kemoterapevtiki', 'protitumorsko', 'chemopreventive', 'kemoterapevtika', 'kemoterapevtike', 'kemoterapije', 'zdravila proti raku', 'zdravili proti raku', 'zdravilo proti raku'];Dobesedno sicer pomeni uporabo kemičnih snovi za zdravljenje bolezni, a ta pojem danes uporabljamo skoraj izključno kot ime metode zdravljenja raka z uvajanjem zdravil s pomočjo infuzije v bolnikov krvni obtok
activity;['slikanje z magnetno resonanco', 'mri', 'magnetnoresonančno slikanje', 'mrt', 'slikanje z jedrsko magnetno resonanco', 'magnetno resonanco', 'mri scans'];Tehnika, s katero lahko prostorsko odvisnost obnašanja atomskih jeder v magnetnem polju prikažemo kot dvodimenzionalno sliko
activity;['megavitaminska terapija', 'ortomolekularna terapija', 'megavitamin terapija'];Metoda preventive in zdravljenja bolezni, pri kateri spreminjamo koncentracijo snovi, ki so naravno prisotne v človeškem telesu
activity;['simonija', 'simoniacal'];Izraz, s katerim označujemo kupovanje funkcij in služb za denar
activity;['ameriška državljanska vojna', 'secesijska vojna', 'državljanska vojna zda', 'secesijanska vojna', 'american civil war', 'vojna med državami', 'združene države državljanske vojne'];Državljanska vojna v ZDA med južnimi in severnimi zveznimi državami zaradi pravic posameznih držav ter vprašanja suženjstva
activity;['kemična vojna', 'kemično orožje', 'kemični napad', 'kemični postopki', 'kemičnih bojnih sredstev', 'strupenega plina', 'strupenih plinov'];Orožje, ki ubije, poškoduje ali onesposobi sovražnika s pomočjo strupov
activity;['balkanski vojni', 'balkanske vojne', 'balkanska vojna'];Sta bili dve vojni na Balkanu v letih 1912 in 1913, v katerih je Balkanska liga najprej osvojila Makedonijo in večino Trakije od Otomanov, potem pa se je med seboj spopadla zaradi delitve osvojenega. Bolgarijo so nekdanji zavezniki porazili in izgubila je večino tega kar ji je bilo obljubljeno v prvotnemu načrtu delitve
agentive-figure;['erinije', 'erinyes', 'eumenides'];V grški mitologiji tri boginje maščevanja, ki imajo kače namesto las
agentive-figure;['sizif', 'sisyphus'];Bil grški mitološki kralj in ustanovitelj mesta Korint
agentive-figure;['kerber', 'cerber', 'cerberus', 'hellhound'];Bil v grški mitologiji troglavi pes, ki je pazil, da ne bi kakšna umrla duša zbežala iz Hada in, da ne bi kakšna živa duša vstopila
agentive-figure;['belerofont', 'bellerophon'];[belerofônt] je v grški mitologiji sin korintskega kralja Glauka in Sizifov vnuk
agentive-figure;['medeja', 'medea'];Bila v grški mitologiji hči kolhidskega kralja Eeta, Apsirtova sestra. Jazonu je pomagala pri pobegu s Kolhide, kasneje pa je postala njegova žena
agentive-figure;['tantal', 'tantalus', 'tantalos'];Grško Τάνταλος oz
agentive-figure;['kiklop', 'kiklopi'];V grški mitologiji velikani z enim očesom na sredi čela
agentive-figure;['antigona', 'antigoné'];V grški mitologiji herojinja in princesa
agentive-figure;['jazon', 'jázon', 'jason'];Bil v grški mitologiji heroj, ki se je s skupino Argonavtov podal na iskanje zlatega runa
agentive-figure;['harpije', 'harpija', 'harpies'];St
agentive-figure;['kibuc', 'kibbutz', 'kibbutzim', 'kibutz'];Planirana skupnost z visoko stopnjo socialne interakcije v Izraelu
agentive-figure;['mamon'];V svetopisemskem jeziku izraz za bogastvo oziroma pohlep po materialnem bogastvu
agentive-figure;['tajna služba zda', 'united states secret service', 'usss', 'tajna služba združenih držav', 'us secret service', 'tajna služba'];Ena najstarejših policijskih in varnostno-obveščevalnih služb v ZDA
agentive-figure;['beneluks', 'beneluks in dodal', 'beneluksa', 'benelux', 'državah beneluksa', 'države beneluksa', 'gospodarske unije beneluks'];Ekonomska unija, ki združuje tri zahodnoevropske države: Belgijo, Nizozemsko in Luksemburg
agentive-figure;['specialne sile kopenske vojske zda', 'green berets', 'specialne sile kopenske vojske združenih držav', 'us army special forces', 'zelene baretke', 'posebne enote', 'u. s. army special forces', 'združene države amerike posebna vojske sile'];Specialna enota Kopenske vojske ZDA
agentive-figure;['sherlock holmes', 'holmes'];Izmišljeni detektiv iz pozne viktorijanske dobe, škotskega pisatelja in zdravnika, Arthurja Conana Doyla
agentive-figure;['centralna banka', 'centralne banke'];Ustanova, pristojna za izvajanje monetarne politike na določenem območju, naprimer v državi ali skupnosti večih držav v primeru Evropske Unije
agentive-figure;['vojaška policija', 'vp', 'vojaške policije', 'vojaški policist'];VOJAŠKA POLICIJA je vojaška služba znotraj oboroženih sil
agentive-figure;['odisej'];Bil kralj grškega otoka Itaka, mož Penelope, sin Laerta in oče Telemaha
agentive-figure;['ahil', 'ahíl', 'achilles'];V grški mitologiji najpomembnejši grški heroj v boju za Trojo. Homer ga opisuje kot lepega in hrabrega vojščaka. velja za prototipskega hoplitskega bojevnika
agentive-figure;['internat', 'dijaški dom'];Vzgojno-bivalni objekt za tiste študente, ki ne živijo pri lastni družini ter za tiste, ki se pripravljajo za poseben poklic
agentive-figure;['kukluksklan', 'kkk', 'ku klux klan', 'klan', 'ku klux klana'];Slika
agentive-figure;['črna roka'];Bila tajna srbska teroristična organizacija, ustanovljena leta 1911
agentive-figure;['hare krišna', 'mednarodno društvo za zavest krišne', 'hare krišna gibanje', 'harekrišna', 'mednarodna skupnost za zavest krišne', 'skupnost za zavest krišne', 'iskcon', 'gibanja hare krišna', 'hare krishnas', 'mednarodnega društva za zavest krišne', 'mednarodnega združenja za zavest krišne', 'mednarodno združenje za zavest krišne', 'zavesti krišne'];Vajšnavsko versko skupnost, ki izvira iz hinduizma
agentive-figure;['obveščevalna služba', 'obveščevalne službe'];Organizacija, ki prikrito zbira informacije, ki so potrebne za državno varnost
agentive-figure;['svetovna zdravstvena organizacija', 'who', 'szo', 'world health organization', 'kdo', 'svetovne zdravstvene organizacije'];Ima vodilno vlogo na področju zdravstvenih vprašanj na globalnem nivoju
agentive-figure;['mednarodni denarni sklad', 'imf', 'international monetary fund', 'mednarodni monetarni sklad', 'mds'];Mednarodna finančna organizacija
agentive-figure;['sklad združenih narodov za otroke', 'unicef', "united nations international children's emergency fund", 'mednarodni sklad zn za otroke', 'nujna združenih narodov za pomoč otrokom', 'združenih narodov za pomoč otrokom'];Pod imenom »United Nations International Children's Emergency Fund« ustanovila generalna skupščina OZN 11. decembra 1946 kot sklad za pomoč otrokom povojne Evrope
agentive-figure;['organizacija združenih narodov za izobraževanje, znanost in kulturo', 'organizacija združenih narodov za izobraževanje', 'unesco', 'znanost in kulturo', 'združenih narodov za izobraževanje, znanost in kulturo'];Specializirana agencija znotraj Organizacije združenih narodov, ki je bila ustanovljena 16. novembra 1945
agentive-figure;['faust'];Glavni junak istoimenske zgodbe
agentive-figure;['skupnost neodvisnih držav', 'cis', 'snd', 'skupnosti neodvisnih držav'];Ohlapno združenje 12 držav, ki so bile republike nekdanje Sovjetske zveze
agentive-figure;['korpus mornariške pehote združenih držav amerike', 'ameriški marinci', 'usmc', 'united states marine corps', 'kmp zda', 'korpus mornariške pehote zda', 'korpus mornariške pehote združenih držav', 'marine corps', 'ameriški marinec', 'ameriških marincev', 'marine corps u s', 'u.s.m.c', 'u s marine corps', 'united states marine', 'united states marine corp', 'united states marines', 'zda marinci'];Ena izmed največjih in najstarejših enot mornariške pehote in predstavlja četrti rod oboroženih sil ZDA
agentive-figure;['antična kartagina', 'kartagina', 'carthage'];Bilo antično feničansko mesto in kolonija v severni Afriki
agentive-figure;['pehota', 'pehotna enota', 'pehotno bojevanje', 'pešadija', 'infanterija', 'pehotnega polka', 'pehotnih vojakov'];Najstarejši in najbolj množični rod kopenske vojske, saj potrebuje najmanj opreme in urjenja, v primerjavi z drugimi oboroženimi rodovi
agentive-figure;['organizacija ameriških držav', 'oas', 'organizacije ameriških držav', 'pan-ameriška unija'];Mednarodna organizacija, ki povezuje 35 držav Amerike
agentive-figure;['skupnost narodov', 'commonwealth of nations', 'britanska skupnost narodov', 'commonwealth', 'the commonwealth', 'britanskega commonwealtha', 'british commonwealth', 'držav commonwealtha', 'narodov commonwealth', 'zveze narodov'];Skupnost samostojnih suverenih držav, ki so bile skoraj vse bivši teritoriji oz. kolonije Britanskega imperija
agentive-figure;['ekumenski svet cerkva', 'svetovni svet cerkva'];Najvišji organ ekumenskega gibanja, ki povezuje vse krščanske Cerkve
agentive-figure;['samorog', 'enorog', 'narval'];Mitološka žival, upodobljena kot konj z enim samim, napogosteje v spiralo oblikovanim rogom na čelu
agentive-figure;['izmišljena oseba', 'izmišljen lik', 'izmišljena osebnost', 'fantazijski lik', 'namišljena oseba', 'izmišljena značaja', 'namišljenih likov', 'risani lik', 'risank', 'znak'];Vsaka oseba, ki nastopa v legendi, mitologiji, mitu ali fantastičnem delu
agentive-figure;['nasa', 'narodna zrakoplovna in vesoljska uprava', 'national aeronautics and space administration', 'program gemini', 'nacionalna uprava za aeronavtiko in vesolje'];Slika
agentive-figure;['centralna obveščevalna agencija', 'cia', 'central intelligence agency', 'c.i.a'];Ameriška civilna obveščevalna služba, katere glavni namen je opravljati varnostno-obveščevalno dejavnost izven ZDA
agentive-figure;['nato', 'organizacija severnoatlantskega sporazuma', 'severnoatlantska zveza', 'organizacije severnoatlantske pogodbe', 'severnoatlantska pogodbena zveza'];Mednarodna vojaško-politična organizacija držav za sodelovanje na področju obrambe, ki je bila ustanovljena leta 1949
agentive-figure;['evropska unija', 'evropska skupnost', 'eu', 'egs', 'evropa', 'evropska zveza', 'evropska gospodarska skupnost', '🇪🇺', 'država članica evropske unije', 'europska unija', 'širitev evropske unije', 'e.u', 'es', 'skupni trg'];Mednarodna organizacija evropskih držav, ustanovljena leta 1992 s Pogodbo o Evropski uniji
agentive-figure;['arabska liga', 'arabske lige', 'arabskih držav'];Slika
agentive-figure;['organizacija držav izvoznic nafte', 'opec', 'organizacija držav izvoznic nafte,'];Mednarodno interesno združenje najpomembnejših izvoznic nafte, ki je bilo ustanovljeno leta 1960 v Bagdadu
agentive-figure;['organizacija združenih narodov', 'združeni narodi', 'ozn', 'un', 'u.n', 'združenih narodov', 'zn', 'organizacije združenih narodov'];Mednarodna organizacija, katere članice so skoraj vse države sveta
agentive-figure;['politična stranka', 'stranka', 'politične stranke', 'partija', 'političnih skupin', 'političnih strank', 'politično pripadnost'];Organizacija, ki si prizadeva priti na oblast ali vsaj dobiti čim večji vpliv na izvajanje državne oblasti
agentive-figure;['vzhodna pravoslavna cerkev', 'pravoslavje', 'pravoslavna cerkev', 'pravoslavci', 'pravoslavna vera', 'pravoslavni', 'bizantinske cerkve', 'eastern orthodox', 'eastern orthodox christian', 'katoliška cerkev pravoslavna', 'pravoslavnih kristjanov', 'vzhodne pravoslavne vere', 'vzhodni pravoslavje', 'vzhodnih pravoslavnih cerkva', 'vzhodno pravoslavno krščanstvo'];Spada med tri večje veje krščanstva
agentive-figure;['prostozidarstvo', 'prostozidar', 'prostozidarji', 'brez zidar', 'free mason', 'prosti mason', 'prosto zidar', 'prostozidarjev'];Mednarodno »bratsko« društvo. Člani tega društva se združujejo v posameznih enotah - ložah, in si delijo podobne ideale moralne in metafizične narave
agentive-figure;['heraklej', 'herkul', 'herkules', 'alcides', 'heracles'];Bil najslavnejši grški junak
agentive-figure;['sekretariat ozn', 'sekretariat združenih narodov', 'sekretariatu združenih narodov'];Izvršuje programe in politiko organov OZN, ki jih ti prenesejo nanj
agentive-figure;['kopenska vojska združenih držav amerike', 'united states army', 'ameriška kopenska vojska', 'kopenska vojska zda', 'kopenska vojska združenih držav', 'kov zda', 'kv zda', 'usar', 'ameriške vojske', 'u. s. vojska', 'us army'];Del Oboroženih sil Združenih držav Amerike, ki je v glavnem zadolžena za vojaške operacije na kopnem
agentive-figure;['sovjetska zveza', 'zveza sovjetskih socialističnih republik', 'zssr', 'ruske sovjetske federativne socialistične republike', 'sovjeti', 'sssr', 'rusija', 'sovjetski zvezi'];Bila zveza socialističnih republik, ki je obstajala od leta 1917 do leta 1991
agentive-figure;['družba jezusova', 'jezuiti', 'jezuit', 's.j.', 'dj', 'sj', 'jezusovci', 'jezusovec', 'jezuitskega reda', 'jezuitska da'];Skupnost moških redovnikov rimskokatoliške cerkve
agentive-figure;['sveto rimsko cesarstvo', 'rimsko-nemško cesarstvo', 'prvi rajh', 'sveto rimsko carstvo', 'sveto rimsko cesarstvo nemške narodnosti', 'sveto rimsko nemško cesarstvo', 'svetega rimskega cesarstva', 'svetega rimskega cesarstva nemškega naroda', 'prve rajha'];Bila naddržavna, multinacionalna skupnost, ki je povezovala plemiče in njihove posesti s področja današnje Nemčije, Avstrije, Slovenije, Švice, Belgije, Nizozemske, Luksemburga, Italije in Poljske
agentive-figure;['zvezni preiskovalni urad', 'fbi', 'federal bureau of investigation', 'agenti fbi', 'f.b.i', 'fbi agent', 'informator fbi', 'zveznega preiskovalnega urada', 'zvezni urad za preiskave'];Zvezna varnostno-policijska organizacija, ki preiskuje zvezne zločine na teritoriju ZDA
