abstract-region;['ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ', 'ଲ. ସା. ଗୁ.', 'ଲସାଗୁ', 'least common multiple'];ପାଟିଗଣିତ ତଥା ସଂଖ୍ୟାତତ୍ତ୍ୱରେ ଅନ୍ତତଃ ଦୁଇଟି ପୂର୍ଣ୍ଣାଙ୍କର ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ
amount-of-matter;['ପ୍ରାସିଓଡ଼ାଇମିଅମ', 'pr', 'praseodymium'];ପ୍ରାସିଓଡ଼ାଇମିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Pr ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୫୯ ଅଟେ । == ଧର୍ମ == == ଉପସ୍ଥିତି == == ଗଠନ == == ଉତ୍ପାଦନ == == ସମସ୍ଥାନିକ == == ବ୍ୟବହାର == == ଆଧାର == == ଆହୁରି ପଢନ୍ତୁ == R.J. Callow, "The Industrial Chemistry of the Lanthanons, Yttrium, Thorium and Uranium", Pergamon Press, 1967.
amount-of-matter;['ସିଲିକନ', 'si', 'silicon'];ସିଲିକନ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Si ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୧୪ ଅଟେ.
amount-of-matter;['ସେଲେନିଅମ', 'se', 'selenium', 'ସେଲେନିୟମ'];ସେଲେନିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Se ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୩୪ ଅଟେ.
amount-of-matter;['ସିବୋର୍ଜିଅମ', 'seaborgium'];ସିବୋର୍ଜିଅମ ହେଉଛି ଏକ କୃତିମ ଭାବେ ସଂଶ୍ଳେଷଣ କରାଯାଇଥିବା ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Sg ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୧୦୬ ଅଟେ.
amount-of-matter;['ଡବ୍\u200cନିଅମ', 'dubnium'];ଡବ୍‌ନିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Db ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୧୦୫ ଅଟେ.
amount-of-matter;['ଡାଇସ୍ପ୍ରୋସିଅମ', 'dy', 'dysprosium'];ଡାଇସ୍ପ୍ରୋସିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Dy ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୬୬ ଅଟେ.
amount-of-matter;['ହୋଲ୍\u200cମିଅମ', 'ho', 'holmium'];ହୋଲ୍‌ମିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Ho ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୬୭ ଅଟେ.
amount-of-matter;['ଏର୍ବିଅମ', 'er', 'erbium'];ଏର୍ବିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Er ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୬୮ ଅଟେ.
amount-of-matter;['ଲ୍ୟୁଟେସିଅମ', 'lu', 'lutetium'];ଲ୍ୟୁଟେସିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Lu ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୭୧ ଅଟେ.
amount-of-matter;['ବୋରନ', 'b', 'boron', 'ବୋରୋନ'];ବୋରନ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ । ଏହାର ପ୍ରତୀକ B ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୫ ଅଟେ.
amount-of-matter;['ହିଲିୟମ', 'ହିଲିଅମ', 'he', 'helium'];ହିଲିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ । ଏହାର ପ୍ରତୀକ He ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୨ ଅଟେ ।
amount-of-matter;['ଆର୍ସେନିକ', 'as', 'ଶଙ୍ଖୁଆ', 'arsenic'];ଆର୍ସେନିକ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ As ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୩୩ ଅଟେ.
amount-of-matter;['ରୋଡ଼ିଅମ', 'rh', 'rhodium'];ରୋଡ଼ିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Rh ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୪୫ ଅଟେ.
amount-of-matter;['କ୍ୟାଲ୍\u200cସିଅମ', 'ca', 'calcium', 'କାଲସିୟମ', 'କାଲ୍\u200cସିଅମ', 'କ୍ୟାଲସିଅମ', 'କ୍ୟାଲସିୟମ'];କ୍ୟାଲ୍‌ସିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Ca ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୨୦ ଅଟେ । ଏହା ଭୂପୃଷ୍ଠର ପଞ୍ଚମ ସର୍ବାଧିକ ଉପଲବ୍ଧ ମୌଳିକ ଓ ଏକ ନରମ ଆଲ୍‌କାଲାଇନ୍ ଧାତୁ ଅଟେ । ସମୁଦ୍ର ଜଳରେ ଏହା ଦ୍ରବିଭୁତ ହେଉଥିବା ପଞ୍ଚମ ଆୟନ । ସଜୀବ ପ୍ରାଣୀର କୋଷତତ୍ତ୍ୱ ନିମନ୍ତେ ଏହା ଏକ ଅତ୍ୟାବଶ୍ୟକ ପଦାର୍ଥ । ଏହା ଜୀବକୋଷ ଭିତରକୁ ଓ ବାହାରକୁ ଯିବା ଆସିବା କରୁଥାଏ । ହାଡ଼ ଓ ଦାନ୍ତ ଗଠନରେ ଏହା ଶକ୍ତି ପ୍ରଦାନ କରେ । ଶରୀରରେ ଧାତୁମାନଙ୍କ ମଧ୍ୟରେ ଏହା ସର୍ବାଧିକ ପରିମାଣରେ ଥାଏ । ଗୃହ ଉପକରଣ ଭାବରେ ଚୂନ ରୁପରେ ଏହା ପ୍ରାଗ ଐତିହାସିକ ଯୁଗରୁ ବ୍ୟବହୃତ ହୋଇଆସୁଅଛି । ଖାପାଜା ମେସୋପଟାମିଆରେ ୨୫୦୦ ଖ୍ରୀ.ପୂରେ ଚୂନ ଭାଟିରେ ପ୍ରସ୍ତୁତ ହେବା ପ୍ରମାଣ ଅଛି । ୯୭୫ ମସିହାରେ ଏହା ପ୍ଲାସ୍ଟର ଅଫ୍ ପ୍ୟାରିସ୍ ଆକାରରେ ହାଡ଼ ଭଙ୍ଗା ଚିକିତ୍ସାରେ ବ୍ୟବହୃତ ହେଉଥିଲା । == ଧର୍ମ == == ଉପସ୍ଥିତି == == ଗଠନ == == ଉତ୍ପାଦନ == == ସମସ୍ଥାନିକ == == ବ୍ୟବହାର == == ଆଧାର == == ଆହୁରି ପଢନ୍ତୁ == Rebecca J. Donatelle.
amount-of-matter;['କ୍ଷୀର', 'ଦୁଗ୍ଧ', 'ଦୁଧ'];କ୍ଷୀର ଏକ ତରଳ ସଫା ଦ୍ରବ୍ୟ ଅଟେ ଯାହା ମାଦାୟ ମାନଙ୍କ କ୍ଷୀର ଗ୍ରନ୍ଥିରୁ ତିଆରି ହୋଇଥାଏ । ନବଜାତ ଶିଶୁ ସେ ପର୍ଯ୍ୟନ୍ତ କ୍ଷୀର ଉପରେ ନିର୍ଭର କରିଥାଏ ଯେ ପର୍ଯ୍ୟନ୍ତ ସେ ଅନ୍ୟ ଖାଦ୍ୟ ପଦାର୍ଥର ସେବନ କରିବାରେ ଅକ୍ଷମ ହୋଇଥାଏ । ସାଧାରଣତଃ କ୍ଷୀରରେ ୮୫ ପ୍ରତିଶତ ଜଳ ରହିଥାଏ ଏବଂ ଶେଷ ଭାଗରେ ସଠିକ ତତ୍ତ୍ୱ ମାନେ ଖଣିଜ ଦ୍ରବ୍ୟ ବସିକରି ରହିଥାଏ ।ଗାଈ ମଇଁଷିଙ୍କ ଛଡା ବଜାରରେ ବିଭିନ୍ନ କମ୍ପାନିର ପ୍ୟାକେଟ କ୍ଷୀରବି ଉପଲବ୍ଧ ରହିଥାଏ । କ୍ଷୀର ପ୍ରୋଟିନ, କ୍ୟାଲସିୟମ ଏବଂ ରାଇବୋଫ୍ଲୋବିନ ଯୁକ୍ତ ହୋଇଥାଏ, ଏହା ଛଡା ଏ, ଡି, କେ ଏବଂ ଈ ସହିତ ଫସଫରସ, ମ୍ୟାଗ୍ନେସିୟମ, ଆୟୋଡିନ ପରି କିଛି ଦ୍ରବ୍ୟ କିମ୍ବା ବସା ତଥା ଊର୍ଜା ମଧ୍ୟ ହୋଇଥାଏ । ଏହାଛଡା ଏଥିରେ କିଛି ଏଞ୍ଜାଇମ୍ ଏବଂ କିଛି ଜୀବିତ ରକ୍ତ କୌଶିକମାନ ମଧ୍ୟ ରହିପାରେ । == ବିଭିନ୍ନ ଦେଶରେ କ୍ଷୀରର ଉତ୍ପାଦନ ପ୍ରକ୍ରିୟା == ୨୦୧୨ ମସିହାରେ, କ୍ଷୀରର ପ୍ରସ୍ତୁତିକାରକ ଏବଂ କ୍ଷୀରର ଉତ୍ପନ୍ନ ପ୍ରଣାଳୀକୁ ଆମେରିକା, ଚାଇନା, ପାକିସ୍ଥାନ ଏବଂ ବ୍ରାଜିଲ ଅନ୍ତର୍ଗତ ରାଜ୍ୟ ମାନଙ୍କରୁ ଭାରତ ସାଧାରଣତଃ ଭାବେ ଅନୁସରଣ କରିଥିଲା । ୨୦୧୩ ମସିହାରେ ସମସ୍ତ ୨୮ ୟୁରୋପିଆନ ସଂଘର ସଦସ୍ୟମାନେ ଏକସଙ୍ଗରେ ୧୫୩.୮ ମିଲିଅନ ଟନ୍ସ କ୍ଷୀର ଉପୁଜାଇ ଥିଲେ, ସବୁଠାରୁ ବୃହତ୍ତର ସଂଘ ଭାବେ ରାଜନୀତିଜ୍ଞ-ଅର୍ଥନୈତିକ ସଂଘ === ଗାଈର କ୍ଷୀର === ଗାଈ କ୍ଷୀରରେ ପ୍ରତି ଗ୍ରାମ ୩.୧୪ ମିଲିଗ୍ରାମ କୋଲେସ୍ଟ୍ରୋଲ ରହିଥାଏ । ଆୟୁର୍ବେଦ ଅନୁସାରେ ଗାଈର ସତେଜ କ୍ଷୀରକୁ ଉତ୍ତମ କୁହାଯାଏ । ର ଆୟୁର୍ବେଦିକ ବିଭାଗକ୍ଷ "ଡ଼ଃ.
amount-of-matter;['ଲାନ୍ଥାନମ', 'la', 'lanthanum'];ଲାନ୍ଥାନମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ La ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୫୭ ଅଟେ.
amount-of-matter;['ସ୍କାଣ୍ଡିଅମ', 'sc', 'scandium'];ସ୍କାଣ୍ଡିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Sc ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୨୧ ଅଟେ । == ଧର୍ମ == == ଉପସ୍ଥିତି == == ଗଠନ == == ଉତ୍ପାଦନ == == ସମସ୍ଥାନିକ == == ବ୍ୟବହାର == == ଆଧାର == == ଆହୁରି ପଢନ୍ତୁ == Eric Scerri, The Periodic System, Its Story and Its Significance, Oxford University Press, New York, 2007.
amount-of-matter;['ନିଓଡ଼ାଇମିଅମ', 'nd', 'neodymium'];ନିଓଡ଼ାଇମିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Nd ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୬୦ ଅଟେ । == ଧର୍ମ == == ଉପସ୍ଥିତି == == ଗଠନ == == ଉତ୍ପାଦନ == == ସମସ୍ଥାନିକ == == ବ୍ୟବହାର == == ଆଧାର == == ଆହୁରି ପଢନ୍ତୁ == "The Industrial Chemistry of the Lanthanons, Yttrium, Thorium and Uranium", by R.J. Callow, Pergamon Press 1967.
amount-of-matter;['ତରଳ ବାୟୁ'];ତରଳ ବାୟୁ ବାୟୁର ଏକପ୍ରକାର ଅବସ୍ଥା ଯାହାକୁ ନିମ୍ନ ତାପକ୍ରମରେ ଚାପ ପ୍ରଦାନ କରି ଗ୍ୟାସୀୟ ଅବସ୍ଥାରୁ ତରଳ ଅବସ୍ଥାକୁ ଅଣାଯାଏ । ଏଥିପାଇଁ ବିଭିନ୍ନ ପ୍ରକାର ଯନ୍ତ୍ର ଅଛି । ଏହି ଯନ୍ତ୍ର ସାହାଯ୍ୟରେ ସାଧାରଣ ବାୟୁରୁ ତରଳ ବାୟୁ ପ୍ରସ୍ତୁତ କରାଯାଏ । ଏହା ତରଳାବସ୍ଥାରେ ଜଳ ଭଳି ବର୍ଣ୍ଣହୀନ କିମ୍ବା ସାମାନ୍ୟ ନୀଳରଙ୍ଗର ଦିଶେ ।
amount-of-matter;['ଅଙ୍ଗାରକ', 'ଅଙ୍ଗାର', 'c'];ଅଙ୍ଗାର ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ, ଏହାର ପ୍ରତୀକ C, ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୬ । ଏହା ଏକ ଅଧାତୁ ଅଟେ । ଅଙ୍ଗାରର ତିନୋଟି ସମସ୍ଥାନିକ ଅଛନ୍ତି, ତାହା ଭିତରୁ ଦୁଇଟି ସ୍ଥିର ଓ ଅନ୍ୟଟି ତେଜସ୍କ୍ରିୟ । == ଧର୍ମ == === ସମସ୍ଥାନିକ === === ଅଙ୍ଗାର ଚକ୍ର === == ଯୌଗିକ == === ଜୈବିକ ଯୌଗିକ === === ଅଜୈବିକ ଯୌଗିକ === == ଇତିହାସ ଓ ନାମକରଣ == == ଉତ୍ପାଦ == === ଗ୍ରାଫାଇଟ୍ === === ହୀରା === == ଆହୁରି ଦେଖନ୍ତୁ == == ଆଧାର == == ବାହାର ଲିଙ୍କ == Carbon on In Our Time at the BBC. Carbon at The Periodic Table of Videos Carbon on Britannica Extensive Carbon page at asu.edu Electrochemical uses of carbon Carbon – Super Stuff.
amount-of-matter;['ଗନ୍ଧକ', 's', 'sulfur', 'sulphur', 'ସଲଫର', 'ସଲଫର୍\u200c', 'ସଲ୍\u200cଫର', 'ସଲ୍\u200cଫର୍'];ଗନ୍ଧକ ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ S ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୧୬ ଅଟେ । ଏହା ପ୍ରଚୁର ପରିମାଣରେ ମିଳୁଥିବା ଏକ ଅଧାତୁ ଅଟେ.
amount-of-matter;['କୋଲେଷ୍ଟ୍ରଲ୍\u200c', 'cholesterol'];କୋଲେଷ୍ଟ୍ରଲ୍‌ ହେଉଛି ଏକ ସ୍ନେହସାର ବା ମହମ ଜାତୀୟ ପଦାର୍ଥ । ଏହା ଜଳରେ ଅଦ୍ରବଣୀୟ । ଏହା ରକ୍ତରେ ମଧ୍ୟ ଦ୍ରବଣୀୟ ନୁହେଁ । କୋଲେଷ୍ଟ୍ରଲ୍‌ ପ୍ରୋଟିନ ସହ ମିଶି ଲିପୋପ୍ରୋଟିନ ତିଆରି କରେ । ଏହି ପ୍ରୋଟିନ କୋଲେଷ୍ଟ୍ରଲ ଚାରିପାଖରେ ଏକ ଆବରଣ ସୃଷ୍ଟି କରେ । ଯେତେବେଳେ କୋଲେଷ୍ଟ୍ରଲରେ ପ୍ରୋଟିନର ପରିମାଣ ଅଧିକ ହୁଏ, ଏହା ଯକୃତରେ ପ୍ରବେଶ କରି ଏକ ପ୍ରକାର ପିତ୍ତରସଯୁକ୍ତ ଅମ୍ଲ ତିଆରି କରେ । ଏହାକୁ ହାଇ-ଡେନ୍‌ସିଟି-ଲିପୋପ୍ରୋଟିନ ବା ଏଚ୍.ଡି.ଏଲ୍ କୁହାଯାଏ । ସାଧାରଣତଃ ଏହାକୁ ଉପକାରି କୋଲେଷ୍ଟ୍ରଲ ଭାବରେ ବିବେଚନା କରାଯାଏ । ଯେତେବେଳେ ଲିପୋପ୍ରୋଟିନରେ ପ୍ରୋଟିନର ପରିମାଣ କମ୍‌ ହୋଇ ସ୍ନେହସାରର ପରିମାଣ ଅଧିକ ହୋଇଥାଏ ଏହା ରକ୍ତରେ ଅଧିକ ଦୂର ଗତି କରିପାରିନଥାଏ । କୋଷରେ ଥିବା କେତେକ ସ୍ୱତନ୍ତ୍ର ଗ୍ରାହୀ ଅଙ୍ଗ ସହ ଏହା ବାନ୍ଧି ହୋଇ ଲୋ-ଡେନ୍‌ସିଟି-ଲିପୋପ୍ରୋଟିନ ବା ଏଲ୍‌.ଡି.ଏଲ୍‌ ଗଠନ କରେ । ସାଧାରଣତଃ ଏହା ଶରୀର ପାଇଁ କ୍ଷତିକାରକ ହୋଇଥିବାରୁ ଏହାକୁ ଅପକାରୀ କୋଲେଷ୍ଟ୍ରଲ ଭାବରେ ବିବେଚନା କରାଯାଇଥାଏ । ପ୍ରାୟ ୭୫ଭାଗ କୋଲେଷ୍ଟ୍ରଲ ଯକୃତରେ ସୃଷ୍ଟି ହୋଇଥାଏ । ଶରୀରର କ୍ଷୁଦ୍ରାନ୍ତ୍ର ମଧ୍ୟ କିଛି ପରିମାଣର କୋଲେଷ୍ଟ୍ରଲ ତିଆରି କରିବା ସହ ଏହାର ଶୋଷଣ କରିଥାଏ । ସାଧାରଣ ଖାଦ୍ୟ ପଦାର୍ଥଦ୍ୱାରା ମଧ୍ୟ ଶରୀରରେ ୩୦୦ରୁ ୫୦୦ ମିଲିଗ୍ରାମ କୋଲେଷ୍ଟ୍ରଲ ସୃଷ୍ଟି ହୋଇଥାଏ । ଏହି କୋଲେଷ୍ଟ୍ରଲ ସାଧାରଣତଃ ମାଂସ ଓ କ୍ଷୀର ଜାତୀୟ ଖାଦ୍ୟରୁ ଆସିଥାଏ । ଏପରିକି ଆମ ଖାଦ୍ୟ କୋଲେଷ୍ଟ୍ରଲ୍‌ ରହିତ ହେଲେ ମଧ୍ୟ ଶରୀରରେ ଶ୍ୱେତସାର, ପୁଷ୍ଟିସାର ଓ ସ୍ନେହସାରର ବିଘଟନ ଘଟି ଅଙ୍ଗାରକ ବା କାର୍ବନ ଉତ୍ପାଦିତ ହୋଇଥାଏ, ଯାହାକୁ ଯକୃତ କୋଲେଷ୍ଟ୍ରଲରେ ରୂପାନ୍ତରିତ କରିଥାଏ । ଜଣେ ମଣିଷ ସାରା ଜୀବନ ପାଇଁ କୋଲେଷ୍ଟ୍ରଲଯୁକ୍ତ ଖାଦ୍ୟ ଖାଇବା ବନ୍ଦ କରିଦେଲେ ମଧ୍ୟ ଶରୀରରେ କୋଲେଷ୍ଟ୍ରଲର ପରିମାଣ ହ୍ରାସ ପାଇ ନଥାଏ । ଏହା କିପରି ସମ୍ଭବ?
amount-of-matter;['ହାଇଡ୍ରୋକ୍ଲୋରିକ ଅମ୍ଳ'];ହାଇଡ୍ରୋକ୍ଲୋରିକ ଅମ୍ଳ‌ ଏକ ରାସାୟନିକ ଯୌଗୀକ ଅଟେ । ଏହା ହାଇଡ୍ରୋଜେନ କ୍ଲୋରାଇଡ ଗ୍ୟାସର ଏକ ଘୋଳ ଅଟେ ଯାହା ସହଜରେ ପାଣିରେ ମିଶିଯାଏ । ଅତୀତରେ ଏହାକୁ ମ୍ୟୁରିଏଟିକ ଅମ୍ଳ କୁହାଯାଉଥିଲା । ଏହା ବ୍ୟାପକ ଋପେ ଉଦ୍ୟୋଗରେ ବ୍ୟବହାର କରାଯାଏ ଏବଂ ଏହା ଭୋଜନର ପାଚକ କ୍ରୀୟାରେ ସାହାଯ୍ୟ କରିବା ପାଇଁ ପେଟଦ୍ୱାରା ମଧ୍ୟ ତିଆରି ହୋଇଥାଏ । ହାଇଡ୍ରୋକ୍ଲୋରିକ ଅମ୍ଳ‌, ସମସ୍ତ ଏସିଡ ପରି ଲବଣ ର ଉତ୍ପାଦନ ପାଇଁ ଆଧାର ସହିତ ପ୍ରତିକ୍ରୀୟା କରିଥାଏ ।
amount-of-matter;['ଶ୍ୱେତସାର', 'ଶ୍ଵେତସାର'];ଶ୍ୱେତସାର ଏକ ଜୈବପଦାର୍ଥ । ଏହା ଉଦ୍ଭିଦର କୋଷିକାରେ ଥିବା ହରିତ୍‌କଣାରେ ଆଲୋକ ସଂଶ୍ଳେଷଣ ପ୍ରକ୍ରିୟାଦ୍ୱାରା ତିଆରି ହୋଇଥାଏ । ଏଗୁଡ଼ିକ ସାଧାରଣତଃ ଅଙ୍ଗାରକ, ଉଦ୍‌ଜାନ ଏବଂ ଅମ୍ଳଜାନ ଅଣୁର ଏକ ନିର୍ଦ୍ଦିଷ୍ଟ ଅନୁପାତରେ ଗଠିତ । ସାଧାରଣରେ ଏହାକୁ n ଭାବରେ ପ୍ରକାଶ କରାଯାଇଥାଏ ।
amount-of-matter;['ରେଡ଼ିଅମ', 'radium', 'ରାଡ଼ିଅମ', 'ର\u200d୍ୟାଡ଼ିଅମ'];ରେଡ଼ିଅମ ହେଉଛି ଏକ ରାସାୟନିକ ମୌଳିକ ଯାହାର ପ୍ରତୀକ Ra ଓ ପରମାଣୁ କ୍ରମାଙ୍କ ୮୮ ଅଟେ.
amount-of-matter;['ପୁଷ୍ଟିସାର', 'protein', 'ପୃଷ୍ଟିସାର', 'ପ୍ରୋଟିନ', 'ପ୍ରୋଟିନ୍'];ଏହି ବିଷୟଟି ପୁଷ୍ଟିସାର ସମ୍ବନ୍ଧରେ ଲେଖା ହୋଇଛି । ମଲିକ୍ୟୁଲ ସମ୍ପର୍କରେ ଦେଖିବାକୁ ଇଚ୍ଛା କଲେ en: Proteins ଦେଖନ୍ତୁ.
amount-of-matter;['ଆଣ୍ଟିବଡି', 'ଆଇଜି', 'ଇମ୍ମୁନୋଗ୍ଲୋବ୍ୟୁଲିନ', 'ଏବି', 'ପ୍ରତିଦ୍ରବ୍ୟ', 'ପ୍ରତିପିଣ୍ଡ', 'anibody', 'antibody'];ଆଣ୍ଟିବଡି ବା ପ୍ରତିଦ୍ରବ୍ୟ ବା ପ୍ରତିପିଣ୍ଡ ବା ଏବି, ଆଉ ମଧ୍ୟ ଇମ୍ମୁନୋଗ୍ଲୋବ୍ୟୁଲିନ ବା ଆଇଜି, ଏକ ବଡ଼ 'Y' ଆକାରର ପୁଷ୍ଟିସାର ବା ପ୍ରୋଟିନ ଯାହା ମୂଖ୍ୟତଃ ପ୍ଲାଜମା ଜୀବକୋଷଦ୍ୱାରା ପ୍ରସ୍ତୁତ ହୁଏ ଓ ଇମ୍ମ୍ୟୁନ ସିସ୍ଟମଦ୍ୱାରା ରୋଗସୃଷ୍ଟିକାରୀ ଜୀବାଣୁ ବା ଭୂତାଣୁମାନଙ୍କୁ ନିଷ୍ଟ୍ରଭ କରିଦିଏ ।
amount-of-matter;['ଧାତୁ', 'metal'];ଧାତୁ ହେଉଛି ଏକ ମୌଳିକ, ଯୌଗିକ ବା ମିଶ୍ରଧାତୁ ଯାହାକି ବିଦ୍ୟୁତ ଓ 'ତାପ'ର ସୁପରିବାହୀ ଅଟେ । ଧାତୁ ଗୁଡ଼ିକ ତନ୍ୟ, ନମନୀୟ ହୋଇଥାନ୍ତି ଓ ଘଷିଲେ ଚିକ୍ ଚିକ୍ କରନ୍ତି । କିଛି ମୌଳିକ ଓ ଯୌଗିକ ଯାହାକି ଧାତୁ ନୁହନ୍ତି କିନ୍ତୁ ଉଚ୍ଚ ଚାପ ଯୋଗୁଁ ଧାତବ ପ୍ରକୃତି ପ୍ରଦର୍ଶନ କରିଥାନ୍ତି.
amount-of-matter;['ପାର୍ଥିବ କ୍ଷାରୀୟ ଧାତୁ', 'alkaline earth metal'];ପାର୍ଥିବ କ୍ଷାରୀୟ ଧାତୁ ଗୁଡ଼ିକ, ପର୍ଯ୍ୟାୟ ସାରଣୀରେ ସମଧର୍ମୀ ମୌଳିକମାନଙ୍କର ଏକ ଶ୍ରେଣୀ ଅଟେ ।
amount-of-matter;['ନିଷ୍କ୍ରିୟ ଗ୍ୟାସ', 'noble gas'];ନିଷ୍କ୍ରିୟ ଗ୍ୟାସ ଗୁଡ଼ିକ ମୌଳିକ ମାନଙ୍କର ପର୍ଯ୍ୟାୟ ସାରଣୀରେ ଏକ ଶ୍ରେଣୀ ଅଟେ । ଏହି ଶ୍ରେଣୀରେ ଥିବା ମୌଳିକ ମାନଙ୍କର ରାସାୟନିକ ପ୍ରତିକ୍ରିୟା କରିବାର କ୍ଷମତା ବହୁତ କମ ଥାଏ । ପ୍ରକୃତିକ ଭାବେ ମିଳୁଥିବା ଛଅଟି ନିଷ୍କ୍ରିୟ ଗ୍ୟାସ ଗୁଡ଼ିକ ହେଲେ: ହିଲିଅମ୍, ନିଅନ୍, ଆର୍ଗନ୍, କ୍ରିପ୍‌ଟନ୍, ଜେନନ୍, ଓ ର‍୍ୟାଡ଼ନ୍.
amount-of-matter;['କ୍ଷାରୀୟ ଧାତୁ', 'alkali metal', 'ଆଲ୍କାଲି ଧାତୁ', 'ଆଲ୍\u200cକାଲି ଧାତୁ'];କ୍ଷାରୀୟ ଧାତୁ ଗୁଡ଼ିକ ପର୍ଯ୍ୟାୟ ସାରଣୀରେ ଥିବା ଏକ ଶ୍ରେଣୀ ଅଟେ । ଏହି ଶ୍ରେଣୀରେ ଥିବା ମୌଳିକଗୁଡ଼ିକ ହେଲା: ଲିଥିଅମ୍, ସୋଡିଅମ୍, ପୋଟାସିଅମ୍, ରୁବିଡିଅମ୍, ସିଜିଅମ୍, and ଫ୍ରନ୍‌ସିଅମ୍ । ଏହି ଶ୍ରେଣୀଟି ପର୍ଯ୍ୟାୟ ସାରଣୀରେ ଏସ୍-ଖଣ୍ଡ ଅନ୍ତର୍ଗତ ଅଟେ.
amount-of-matter;['ରାସାୟନିକ ମୌଳିକ', 'ମୌଳିକ', 'chemical element'];ରାସାୟନିକ ମୌଳିକ ହେଉଛି ଏକ ବିଶୁଦ୍ଧ ରାସାୟନିକ ବସ୍ତୁ ଯାହାକି ଗୋଟିଏ ପ୍ରକାରର ପରମାଣୁ ବହନ କରିଥାଏ । କୌଣସି ବସ୍ତୁରେ ଏକାଧିକ ପ୍ରକାରର ପରମାଣୁ ଥିଲେ ତାହାକୁ ଯୌଗିକ କୁହାଯାଏ । ମୌଳିକ ମୁଖ୍ୟତଃ କଠିନ, ତରଳ କିମ୍ବା ଗ୍ୟାସ୍‌ ହୋଇପାରେ । ମୌଳିକର ଗୁଣ ବହନ କରୁଥିବା କ୍ଷୁଦ୍ରତମ କଣିକାକୁ ପରମାଣୁ କୁହାଯାଏ.
