abstract-region;['khi̍t-han'];Khi̍t-han he hien-thoi Sú-ho̍k thi̍t-phe̍t he Fûn-sak-ho̍k chûng ke kî-chhú khói-ngiam chṳ̂-yit.
activity;['mî-koet chúng-thúng'];Mî-li-kiên Ha̍p-chung-koet Chúng-thúng he Mî-koet ke Koet-kâ Ngièn-sú, Chṳn-fú Sú-nó lâu Sâm-kiûn Thúng-soi, kîn-kí 1787-ngièn thûng-ko ke Mî-koet Hièn-fap yì sat-li̍p, hàng sṳ́ Hièn-fap fù yi ke hàng-chṳn-khièn, sú ngim Chúng-thúng George Washington yî 1789-ngièn 4-ngie̍t 30-ngit chhiu chṳt, chṳ̂-heu chṳ 1933 ke li̍t ngim Chúng-thúng kiûn vì 3-ngie̍t 4-ngit chhiu chṳt, yì khì heu chet yî 1-ngie̍t 20-ngit chhiu chṳt.
activity;['chhà', 'chhà-ya̍p'];Chhà he chṳ́ chhà-su ke ya̍p kâ-kûng chṳ-sṳ̀n ke chhà-ya̍p khi̍p-khì pau-chhut ke chṳp-yi̍t, chit chhà-thông.
activity;['kau-yuk'];Liá-piên "Kau-yuk" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"教育" ke ya̍p-mien chhai liá-hong tiám-chhut.
activity;['fu̍t-chhṳ̂ khiung-chṳn sṳ̀n-siong'];Fu̍t-chhṳ̂ Khiung-chṳn Sṳ̀n-siong he li-yung Fu̍t-chhṳ̂ Khiung-chṳn ngièn-lî, yî-kí só sṳt-fong ke nèn-liòng chhai vu̍t-chṳt nui-phu mò siông-thùng kiet-kèu fàn-kín chûng mò siông-thùng ke sôi-kám.
activity;['sông-ngia̍p'];Sông-ngia̍p he yit-tsúng yû tsû-tsṳt ke thì-kiûng ku-hak só-sî ke vu̍t-phín lâu fu̍k-vu ke yit-tsúng hàng-vì.
activity;['chang thien-chṳ́ fat-sa kie-son-kî thôn-chhèn só-mèu'];Chang Thien-chṳ́ Fat-sa Kie-son-kî Thôn-chhèn Só-mèu he yit-chúng Fu̍t-yî-ho̍k sṳ̀n-siong kî-su̍t, kì chhiòn-sṳ̂n thì-kiûng sâm-vì ke fò-kûng-nèn yun-chok ke thù-siong.
activity;['fu̍k-vu'];Fu̍k-vu he chṳ́ vi thâ-ngìn cho-sṳ, pin sṳ́ thâ-ngìn chhiùng-chûng su-yit ke yit-chúng yû-sóng fe̍t-chá mò-sóng ke fa̍t-thung.
agentive-figure;['hòng-khûng kûng-sṳ̂'];Hòng-khûng Kûng-sṳ̂ he yî kok-chúng hòng-khûng fî-hàng-hi vi yun-sû kûng-khí vi sṳ̀n-hak lâu fo-vu̍t thì-kiûng mìn-yung hòng-khûng fu̍k-vu ke khî-ngia̍p, Kì-têu yit-pân sî-yeu yit-ke kôn-fông ngin-khó ke yun-hàng chṳn-sû fe̍t phî-chún.
agentive-figure;['ngiùn-hòng', '銀行', '银行'];Ngiùn-hòng tshòn-thúng song tsú-yeu tsok-vì tshùn-tshièn, tsia-tshièn tén-tén ke tshòi-vu̍t kî-nèn.
agentive-figure;['kî-kîm-fi', 'gi-gim-fui'];Kî-kîm-fi he li-yung chhṳ-yèn-ngìn, fap-ngìn, fe̍t-chá khì-thâ chû-chṳt kiên-chen ke chhòi-sán, chhiùng-sṳ chhṳ̀-san, kûng-yit sṳ ngia̍p vi muk-tit ke fî yàng-li-sin fap-ngìn.
agentive-figure;['騷靈現象', 'poltergeist'];騷靈現象，又喊做鬧鬼現象，係一種超自然現象。
agentive-figure;['chhi̍t-phiang khúng-chṳ lâu yi-fòng chûng-sîm'];Chhi̍t-phiang Khúng-chṳ lâu Yi-fòng Chûng-sîm he Mî-koet Ví-sên khi̍p Kûng-khiung Fu̍k-vu-phu só-su̍k ke yi-chak kî-kèu, chúng-phu sat-chhai Georgia-chû Atlanta.
agentive-figure;['yî-ho̍k-yen'];Yî-ho̍k-yen he Kô-tén Kau-yuk thí-chṳ hâ ke yit-chak Ho̍k-yen, kho-chhàng ôn-phài chú-yeu he phì-yông lâu Yî-ho̍k siông-kôan chôn-mùn ngìn-chhòi lâu ngiên-kiu ngìn-yèn vi muk-tit.
agentive-figure;['kî-tuk kau-fi', 'kau-fi'];Kî-tuk Kau-fi liá-ke tshṳ̀-ki khó-yî tûi-suk tsṳ kûng-ngièn thi-ngi sṳ-ki ke kî-tuk-thù tui Kî-tuk-kau tsû-tsṳt ke si̍p-kuan tshṳ̂n-fû.
agentive-figure;['sṳ-kie ngiùn-hòng si̍p-thòn', 'sṳ-kie ngiùn-hàng'];Sṳ-kie Ngiùn-hòng Si̍p-thòn he yit-ke Koet-chi Chû-chṳt, khôi-sṳ́ ke sṳ́-min he pông-tshu tshai Thi-ngi-chhṳ Sṳ-kie Thai-chan chûng pûn pho-fái ke koet-kâ ke tshùng-kien.
agentive-figure;['sṳ-kie ví-sên chû-chṳt'];Sṳ-kie Ví-sên Chû-chṳt he Lièn-ha̍p-koet chôn-mùn kî-kèu chṳ̂-yit, koet-chi chui-thai ke kûng-khiung ví-sên chû-chṳt, chúng-phu sat-yî Sui-sṳ Geneva, he koet-chi sông chui-thai ke chṳn-fú kiên ví-sên kî-kèu.
agentive-figure;['thai-yîn koet-hia̍p', 'yîn-lièn-pâng', 'yîn lièn-pâng'];Thai-yîn Koet-hia̍p fe̍t-chá ham cho Yîn-lièn-pâng, he yù 52 ke chú-khièn koet-kâ chû-sṳ̀n ke yit ke koet-chi chû-chṳt, sṳ̀n-yèn thai-phu-fun he ngièn-lòi Yîn-koet ke chhṳ̍t-mìn-thi fe̍t-chá pó-fu-koet.
agentive-figure;['mî-koet thai-khûng tsúng-shu', 'nasa', 'mî-koet thai-khûng chúng-shu'];Mî-koet Thai-khûng Chúng-shu he Mî-koet chṳn-fú ke yit-ke chṳn-fú kî-kèu, fu-chit Mî-koet ke thai-khûng kie-va̍k.
agentive-figure;['pet thai-sî-yòng kûng-yok chû-chṳt', 'nato', 'pet-yok', 'pet-yok chû-chṳt'];Pet Thai-sî-yòng Kûng-yok Chû-chṳt ，kién-chhṳ̂n Pet-yok Chû-chṳt fe̍t Pet-yok, he yit-ke sṳ̍t-hien fòng-ví hia̍p-chok yì kien-li̍p ke koet-chi chû-chṳt.
agentive-figure;['êu-chû lièn-mèn', '🇪🇺', 'êu-mèn'];Êu-chû Lièn-mèn he kîn-kí 1992-ngièn tshiâm-yok só kien-li̍p ke Koet-chi Chû-chṳt, hien-tshai yû ngi-sṳ̍p-tshit ke fi-yèn koet.
agentive-figure;['a-la-pak liên-mên'];A-la-pak Liên-mên hè shîn-li̍p yi 1945-nyên A-la-pak kwet-ka tsí-shâng kè kwet-tsì chìn-chhì tsíi-chit, shâng-yên-kwet kai vùi-yi A-chiu fe̍t Fui-chiu, tsung-chí hè ka-chhim ha̍p-tsò, hièn tshài yiû shâng-yên-kwet 22 kè.
agentive-figure;['lièn-ha̍p-koet', '聯合國'];Lièn-ha̍p-koet he yit-ke yù chú-khièn koet-kâ chû-sṳ̀n ke koet-chi chû-chṳt.
agentive-figure;['thiên-chú-kau', 'lò-mâ thiên-chú-kau', 'then-zi-gaau', 'thiên-tsú-kau'];Liá-piên "Thiên-chú-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"天主教" ke ya̍p-mien chhai liá-hong tiám-chhut.
agentive-figure;['chim-sin-fi'];Chim-sin-fi he Kî-tuk Sîn-kau chú-yeu chûng-phai chṳ̂-yit.
agentive-figure;['chûng-kau'];Liá-piên "Chûng-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"宗教" ke ya̍p-mien chhai liá-hong tiám-chhut.
agentive-figure;['yî-sṳ̂-làn-kau', '伊斯兰教', '伊斯蘭教', '回教', 'islam'];Liá-piên "Yî-sṳ̂-làn-kau" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"伊斯蘭教" ke ya̍p-mien chhai liá-hong tiám-chhut.
agentive-figure;['lièn-pâng chún-phi ne-thúng', 'mî-koet lièn-pâng chún-phi ne-thúng'];Lièn-pâng Chún-phi Ne-thúng he Mî-koet ke tûng-ông ngiùn-hòng thí-ne.
agentive-figure;['mî-koet lièn-pâng chṳn-fú'];Mî-koet Lièn-pâng Chṳn-fú he Mî-koet ke tûng-ông chṳn-fú, lièn-pâng chṳn-fú yù sâm phu-fûn chû-sṳ̀n: li̍p-fap fûn-kî, hàng-chṳn fûn-kî, sṳ̂ fap fûn-kî, khì khièn-li̍t fûn-phe̍t yù Koet-fi, Chúng-thúng lâu lièn-pâng fap-yen ke Mî-koet Hièn-fap fù yi.
agentive-figure;['mî-koet ví-sên khi̍p kûng-khiung fu̍k-vu-phu'];Mî-koet Ví-sên khi̍p Kûng-khiung Fu̍k-vu-phu, he vì-fu Mî-koet kûng-mìn khien-không, thì-kiûng kûng-chung fu̍k-vu ke lièn-pâng chṳn-fú hàng-chṳn phu-mùn.
agentive-figure;['kín-chhat'];Kín-chhat he yit chúng chôn-mùn vì-fu fap-li̍t lâu chhṳ-ôn ke chṳt-ngia̍p.
agentive-figure;['sû-lièn'];Sû-vì-âi Sa-fi-chú-ngi Khiung-fò-koet Lièn-pâng, kién-chhṳ̂n Sû-lièn, he 1922-ngièn chṳ 1991-ngièn chṳ̂-kiên Pet-â lâu Tûng-êu ke yit-chak sa-fi-chú-ngi koet-kâ.
agentive-figure;['el cid', 'rodrigo díaz de vivar'];El Cid, Castilla kui-chhu̍k, Valencia ke chṳ̂n-fu̍k-chá lâu sàng-chú, Sî-pân-ngà mìn-chhu̍k yîn-hiùng.
agentive-figure;['sṳ̀n-sṳn lò-mâ ti-koet', 'sṳ̀n-sṳn lò-mâ-ti-koet'];Sṳ̀n-sṳn Lò-mâ Ti-koet he 926-ngièn chṳ 1805-ngièn chhai sî-êu lâu chung-êu ke fûng-kien ti-koet.
agentive-figure;['kiûn-sṳ'];Kiûn-sṳ he yit-ke koet-kâ khi̍p chṳn-khièn ke koet-fòng chṳ̂ vú-chông li̍t-liong yû-kôan ke ho̍k-mun khi̍p sṳ-vu.
agentive-figure;['nazi tet-koet', 'na̍p-chhùi tet-koet', 'na̍p-tshùi tet-koet'];Nazi Tet-koet he 1933-ngièn chṳ 1945-ngièn khì-kiên Adolf Hitler khi̍p khì só liâng-thô ke Nazi-tóng só thúng-chhṳ ke Tet-koet.
agentive-figure;['mìn-chú-tóng', 'mî-koet mìn-chú-tóng'];Mìn-chú-tóng, he Mî-koet tong-thoi lióng-thai chú-yeu chṳn-tóng chṳ̂-yit, nang-ngoi yit-ke he Khiung-fò-tóng.
agentive-figure;['khiung-fò-tóng', 'mî-koet khiung-fò-tóng'];Khiung-fò-tóng, he Mî-koet tong-thoi lióng-thai chú-yeu chṳn-tóng chṳ̂-yit, nang-ngoi yit-ke he Mìn-chú-tóng.
agentive-physical-object;['sú-thì thien-nó'];Sú-thì thien-nó (Yîn-ngî: Laptop Computer, he yit-chúng séu hîn, cho-tet fông-phien hî tai ke ke-ngìn thien-nó, thûng-sòng chhùng tha̍t 1 chṳ 3kûng kîn.
agentive-physical-object;['thûng-vu̍t', 'thung-vu̍t', 'thung-vu̍t-kie', 'thûng-vu̍t-kie'];Thung-vu̍t he Tô-se-pâu Chṳ̂n-fu̍t Sâng-miang-thí chûng ke yit thai lui-khiùn, yu hêm-cho Thung-vu̍t-kie.
agentive-physical-object;['chhṳ̍t-vu̍t'];Chhṳ̍t-vu̍t he sâng-miang ke chú-yeu hìn-thai chṳ̂-yit, pin pâu-hàm liáu yì khiâu-muk, kon-muk, thèn- lui, chhiâng-chhó, khet-lui khi̍p liu̍k-chhàu tén su̍k-sit ke sâng-vu̍t.
agentive-physical-object;['thien-nó'];Thien-nó he yit-tsúng kîn-kí yit ne-lie̍t tsṳ́-lin lòi-tui su-ngiak tsin-hàng tshú-lî ke kî-hi.
agentive-physical-object;['kiéu-è', 'canis lupus familiaris', '狗'];Kiéu-è, yit-chúng kâ-yông ke thung-vu̍t, kiên sài-lòng he khiun-chhîn.
agentive-physical-object;['fâ', '花'];Fâ he Khôi-fâ chhṳ̍t-vu̍t ke fàn-chhṳ̍t hi-kôn.
agentive-physical-object;['ke-ngìn thien-nó', 'pc'];Ke-ngìn thien-nó, he chhai thai-séu, sin nèn yî-khi̍p ka vi tén tô-ke fông-mien sṳt ha̍p yî ke-ngìn sṳ́-yung, pin yù chui-chûng yung-fu chhṳ̍t-chiap chhâu khúng ke kie-son kî ke thúng-chhṳ̂n.
agentive-physical-object;['nên-mûng', '檸檬'];Nên-mûng chhai Thòi-vân yu ôn tso Lê-móng,he pûn ngin-vì ngièn-sán Â-chû ke sòng-liu̍k séu-khiâu-muk, khì kó-sṳ̍t he vòng-set thó-yèn-chhong.
agentive-physical-object;['vòng-theu', 'glycine max'];Vòng-theu he yit-chúng khì chúng-chṳ́ hàm-yû fûng-fu ke Thàn-pha̍k-chṳt ke Theu-khô chhṳ̍t-vu̍t, yit-pân tû chṳ́ khì chúng-chṳ́ yì ngièn.
agentive-physical-object;['chṳ̂n-fu̍t', 'eukaryota'];Chṳ̂n-fu̍t Sâng-vu̍t he khì se-pâu khí-yû se-pâu-fu̍t ke Tân-se-pâu Sâng-vu̍t lâu Tô-se-pâu Sâng-vu̍t ke chúng-chhṳ̂n, kì pâu-koat só-yû thûng-vu̍t, chhṳ̍t-vu̍t, chṳ̂n-khiûn lâu khì-thâ khí-yû yù mo̍k pâu kwó chho̍k ke fu̍k-chha̍p â-se-pâu kiet-kèu ke sâng-vu̍t.
agentive-physical-object;['chit-chhùi thung-vu̍t', 'chit-chhûi thung-vu̍t â-mùn'];Chit-chhùi thung-vu̍t he chit-sok thung-vu̍t-mùn hâ ke yit-ke â-mùn.
agentive-physical-object;['tsit-sok-thûng-vu̍t-mùn', 'chit-sok thung-vu̍t', 'chordata', 'chit-sok thung-vu̍t-mùn'];Tsit-sok-thûng-vu̍t-mùn he Thûng-vu̍t-kie chui kô-tén ke mùn.
agentive-physical-object;['sâng-vu̍t', 'sâng-miang-thí'];Sâng-vu̍t he chṳ́ yû sâng-miang ke ke-thí.
agentive-physical-object;['ngìn-lui', 'ngìn', 'homo sapiens'];Liá-piên "Ngìn" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"人" ke ya̍p-mien chhai liá-hong tiám-chhut.
agentive-physical-object;['khiúng-liùng'];Khiúng-liùng恐龍 he me̍t-tshie̍t.
agentive-physical-object;['liùng-hâ'];Liùng-hâ he Kap-hok-â-mùn Sṳ̍p-tsiuk-muk ke yit-ke khô, kì yû thai-yok si-sṳ̍p-ńg tsúng-lui.
agentive-physical-object;['pân-mâ', 'zebra'];Pân-mâ he Fî-chû thai tshó-ngièn sòng-sòng khon-kien ke yit-lui Mâ-khô thung-vu̍t.
agentive-physical-object;['thoi-chhú', '袋鼠'];Thoi-chhú he ngim yit-chúng su̍k-yî Thoi-chhú-muk ke Yû-thoi-thung-vu̍t.
agentive-physical-object;['thu-é'];Thu-é he tshó-sṳ̍t-sin thung-vu̍t.
agentive-physical-object;['ên-tiâu', '鷂婆', '鷹鳥', '鹞婆', '鹰鸟'];Ên-tiâu鷹鷲 he sṳ̍t-ngiuk ke mâng-khìm-lui.
agentive-physical-object;['hà-mà', 'koái-é', 'kúai-é', '𧊅仔'];Hà-mà蛤嬤（蛤嫲／蛤蟆） thai-phu-fun yû thu̍k, than-he thu̍k-sin khó-yî tsṳ-tsho yo̍k-vu̍t.
agentive-physical-object;['hà-mà', 'koái-é', 'kúai-é', '𧊅仔'];Koái-é thai-yok yû si-tshiên pat-pak tsúng-lui, yì-yèn thai-phu-fun sên-fa̍t tshai súi-tsûng.
agentive-physical-object;['phú-nen thung-vu̍t', 'sṳ̍t-nen thung-vu̍t', 'mammalia', 'phú-nen-kong'];Sṳ̍t-nen thung-vu̍t ya cho-tet ham-cho phú-nen thung-vu̍t, he chṳ́ Chit-chhûi Thung-vu̍t Â-mùn hâ Sṳ̍t-nen-kong ke yit-lui yung hi fû-khip khûng-hi ke Vûn-hiet Chit-chhûi Thung-vu̍t.
agentive-physical-object;['kiéu-set'];Kiéu-set he yit-chúng chhùng-è.
agentive-physical-object;['fùng puk-kím kiê', 'chrysolophus pictus'];Fùng Puk-kím Kiê he Chûng-koet ke thi̍t-yû tiâu-chúng.
agentive-physical-object;['thai-chhûng-thèu'];Thai-chhûng-thèu (大蔥頭, Ho̍k-miàng: Allium cepa）, he yit-chúng sòng-kien ke Chhûng-khô chhûng-su̍k chhṳ̍t-vu̍t.
agentive-physical-object;['fùng-theu'];Fùng-theu he yit-chúng Theu-khô, Thia̍p-hìn-fâ Â-khô Kông-theu-su̍k chhṳ̍t-vu̍t, vì sòng-kien ke sṳ̍t-chhòi chṳ̂-yit
agentive-physical-object;['fù-khì', 'hirudinea'];Fù-khì he Fàn-chiet-thûng-vu̍t-mùn Chit-kong ke yit-lui thûng-vu̍t, Chhṳ-hiùng thùng-thí.
agentive-physical-object;['ńg-kûng-chhùng'];Ńg-kûng-chhùng he yit-chúng chhùng-è.
agentive-physical-object;['fù-chêu', 'fû-chiau', '番椒', '馦椒'];Fù-chêu fe̍t-chá ham cho Fù-chiâu, thai-phu-fun pûn yung-chhai sṳ̍t-vu̍t chûng, ngiong sa̍t sông yû fa-ho̍k ke fù-chêu-kán fe̍t-chá la̍t-chiau la̍t-su só tho-chṳ ke "sîn-la̍t" kám-kok.
agentive-physical-object;['lo̍k-thò', '駱駝', '骆驼', 'lo̍k-tho'];Lo̍k-thò he Lo̍k-thò-khô Lo̍k-thò-su̍k ke thung-vu̍t, chṳ́-yû lióng-chúng, phi-khûng nèn khôi-pit, chiuk-yû ngiuk-thiap-phì, sṳt-ha̍p chhai Sâ-mo̍k chûng hàng-chéu, poi-yû ngiuk-fûng, vi-yû sâm-sṳt, só-yî mò-fi kî-hot, hí-khó tô-ngit mò-hot, yit-tán ngi-kien súi-chhó, khó-yî thai-liong yím-súi.
agentive-physical-object;['lu̍k-é'];Lu̍k-é he ngiéu-thài-muk thung-vu̍t, muk-tshièn tshiòn sṳ-kie thai-yok yû sâm-sṳ̍p-si tsúng.
agentive-physical-object;['lì-è', 'equus asinus'];Lì-è he Mâ-khô ke yit-tsúng lâu Mâ thí-hìn siông-fò than-he ngí pí-káu tshòng.
agentive-physical-object;['chû-su̍k', 'chû-é', 'tsû-é', 'sus scrofa domestica'];Chû-é he sân-chû pûn ngìn-lui shûn-fa heu só hìn-sṳ̀n ke Â-chúng, liau-ngà kha yâ-chû tón, he ngìn-lui ke kâ-hiuk chṳ̂-yit.
agentive-physical-object;['chû-su̍k', 'chû-é', 'tsû-é', 'sus scrofa domestica'];Chû-su̍k, Phú-nen-kong Ngiéu-thài-muk Chû-khô ke yit-su̍k, Chha̍p-sṳ̍t-lui thûng-vu̍t, pâu-koat 10 chúng chó-yu, sán yî Êu-Â Thai-liu̍k.
agentive-physical-object;['alpaca', 'vicugna pacos'];Alpaca he yit chúng sṳ̍t-nen thung-vu̍t.
agentive-physical-object;['liu̍k-theu'];Liu̍k-theu he yit-chúng Theu-khô, Thia̍p-hìn-fâ Â-khô Kông-theu-su̍k chhṳ̍t-vu̍t.
agentive-physical-object;['vòng-theu', 'glycine max'];Vòng-theu he yit-chúng khì chúng-chṳ́ hàm-yû fûng-fu ke Thàn-pha̍k-chṳt ke Theu-khô chhṳ̍t-vu̍t, yit-pân tû chṳ́ khì chúng-chṳ́ yì ngièn.
agentive-physical-object;['kám-lám-su', 'olea europaea', 'kám-lám'];Kám-lám-su ke kó-sṳ̍t khó-yî sâng-sṳ̍t.
agentive-physical-object;['tò-tò tiâu', 'raphus cucullatus'];Tò-tò tiâu fe̍t chok Thu-thu tiâu, he chhai Mâ-tha̍t-kâ-sṳ̂-kâ-tó tûng-chet ke Mô-lî-khiù-sṳ̂ tó-sông yit-chúng ke put fi-fî ke tiâu.
agentive-physical-object;['meu-é', 'felis silvestris catus', '貓'];Meu-é貓欸 she yit-chúng séu-hìn Meu-khô-thung-vu̍t,學名Felis silvestris catus, kì thí-chhûng chhiùng lióng to sṳ̍p kûng-kîn ke tû-yû.
agentive-physical-object;['siong', '象'];Siong he muk-chhièn sṳ-kie liu̍k-thi song chui-thai ke thung-vu̍t, su̍k-yî chhòng-phi-muk.
agentive-physical-object;['sân-chhà-fâ', 'camellia japonica'];Sân-chhà-fâ, Sân-chhà-su̍k chhṳ̍t-vu̍t, su̍k sòng-liu̍k kon-muk lâu séu-khiâu-muk.
agentive-physical-object;['khiò', 'khiô', '吊菜仔', '茄仔', 'solanum melongena', 'tiàu-chhoi'];Khiò (茄, Ho̍k-miàng: Solanum melongena）fe̍t-chá Tiau-chhoi (吊菜) he Khiò-khô Khiò-su̍k yit-ngièn sâng Chhó-pún chhṳ̍t-vu̍t, ngân-set tô-vi Chṳ́-set.
