abstract-quality;['особистість', 'особистості'];Відображення соціальної природи людини
activity;['безпека життєдіяльності', 'бжд', 'цивільної оборони', 'цивільна оборона', 'цивільного захисту'];набір профілактичних, допоміжних та реконструктивних заходів, спрямованих на попередження або мінімізацію стихійних лих та технологічних інцидентів, збереження морального духу населення та відновлення соціального стану
activity;['освіта', 'навчання', 'освіта загальна', 'освіти', 'педагог', 'дидактика', 'дидактики', 'освітньої діяльності', 'педагогів'];Навчання, в якому знання та навички передаються через викладання
activity;['міжнародні відносини', 'міждержавні відносини', 'міжнародних відносин', 'міждержавним відносинам', 'міжнародної політики', 'міжнародні справи', 'міжнародній політиці', 'світових справах'];Система міждержавних взаємодій, суб''єктами яких є держави і міждержавні та неурядові організації, приватні особи
activity;['наратив', 'режим оповідання', 'художні засоби', 'о́повідь', 'ро́зповідь', 'істо́рія', 'літературні засоби', 'техніка письма', 'нарратив', 'розповідь', 'всезнаючий оповідач', 'оповідання', 'розповів', 'третьої особи', 'третій розповідь людини'];Літературний елемент і техніка
activity;['насильство', 'насилля', 'насильства'];Застосування силових методів, або психологічного тиску за допомогою погроз, свідомо спрямованих на слабких або тих, хто не може чинити опір
activity;['заощадження', 'еконо́мія', 'рівень заощаджень'];Грошові вклади фізичних осіб, населення в ощадні банки з метою отримання процентів
activity;['проповідь', 'каза́ння', 'про́повідь', 'проповіді', 'гомілія', 'проповідник', 'проповідниця', 'проповідники', 'проповідництво', 'проповідувати'];Християнська церковна настанова, завданням якої є розповісти і розтлумачити слухачам вчення Ісуса Христа
activity;['віджимання', 'відтискання', 'віджима́ння', 'віджимання на руках', 'пуш-ап'];Вправа з власною вагою для зміцнення м'язів верхньої частини тіла
activity;['серцево-легенева реанімація', 'слр', 'кардіопульмонарна реанімація', 'рот-в-рот', 'серцево-легеневої реанімації', 'штучне дихання', 'cpr', 'реанімувати', 'серцеву реанімацію', 'спосіб штучного дихання', 'уст в уста реанімації'];Заходи невідкладної допомоги
activity;['обряд', 'обряди', 'ритуал', 'релігійних обрядів', 'ритуали', 'ритуальні', 'священнодійство'];Сукупність символічних дій, зазвичай релігійних
activity;['професія', 'професії', 'професійна діяльність', 'трудова діяльність', 'фах'];Рід основного заняття працівника
activity;['oliver ackermann'];Американський музикант
activity;['більярд', 'історія більярду', 'білльярд', 'білліард', 'біліард', 'кия спорту'];Група настільних ігор
activity;['пул', 'кишеньковий більярд', 'басейн'];вид більярду
activity;['битва біля пашендейла', 'битва біля пашендейле', 'третя битва при іпрі'];битва Першої світової війни
activity;['програмування', "комп'ютер програмування", "комп'ютерне програмування"];Процес проектування, написання, тестування, зневадження і підтримки комп''ютерних програм
activity;['расизм', 'расова дискримінація', 'етнічна дискримінація', 'расист', 'расова чистота', 'расизму', 'расових забобонів', 'етнічної дискримінації', 'расової дискримінації', 'расової переваги'];Агресія щодо етнічних меншин, певних соціальних груп, нетипових для даної місцевості рас та інших
activity;['сексизм', 'дискримінації за ознакою статі', 'гендерні стереотипи', 'сексизмі'];упередження чи дискримінація людини через її стать
activity;['курс', 'курс навчання'];Програма навчання, одиниця освіти, зазвичай на один рік або семестр
activity;['вища освіта', 'освіта вища', 'освіта в коледжах', 'післяшкільна освіта', 'третична освіта', 'третій рівень освіти', 'університетська освіта', 'вища професійна освіта', 'вищу освіту', 'вищої школи', 'вищі навчальні установи', 'третього рівня освіти', 'університетської освіти'];Академічна третична освіта, наступний рівень після середньої загальної або професійної освіти (навчання в коледжах та університетах)
activity;['контроль за обігом зброї', 'контроль за зброєю'];закони чи правила, що регулюють виробництво, продаж, передачу, зберігання, модифікацію або використання вогнепальної зброї
activity;['монетизація', 'монетизації', 'монетизувати'];Сторінка значень у проекті Вікімедіа
activity;['монетизація', 'монетизації', 'монетизувати'];заробляння грошей на чомусь
activity;['стрільба із закритих позицій', 'вогонь з закритих позицій'];Стрільба без прямої видимості
activity;['допит', 'був', 'допитати', 'опитувальні листи', 'слідчий'];Сторінка значень в проекті Вікімедіа
activity;['іспанська армада', 'непереможна армада', 'армада', 'armada invencible', 'grande y felicisima armada', 'непереможної армади'];військовий флот, зібраний Філіпом ІІ Іспанським у 1586—1588 роках для завоювання Англії
activity;['хокей на траві', 'гаківка на траві', 'гокей на траві', 'хоккей на траві', 'хокеїст на траві', 'хокей'];Командна спортивна гра (по 11 чоловік у команді) на спеціально розміченому майданчику протягом 60 хвилин (4 тайми по 15 хвилин з перервою)
activity;['карантин', 'карантинній станції'];Комплекс різних заходів, направлених на запобігання поширенню інфекційної хвороби
activity;['аускультація', 'аускультації'];Прослуховування внутрішніх звуків тіла, зазвичай використовуючи стетоскоп
activity;['різьблення', 'лі́пка', 'рі́зьблення', 'різьба́рство', 'різьбя́рство', 'скульпту́ра', 'різьба', 'різьбар', 'різьбяр', 'різьбярство'];один з найдавніших і найбільш поширених видів декоративного мистецтва
activity;['маніпуляція', 'престидижитація', 'спритність рук', 'спритність'];Різновид жанру ілюзії
activity;['еміграція', 'еміграція населення', 'емігрант', 'еміґрант', 'рееміграція', 'еміграції', 'вигнання', 'емігрантів', 'емігрував', 'емігрувати', 'міграції людини'];Виїзд громадян в інші країни на довгострокове проживання
activity;['лотерея', 'лотере́я', 'лотереї', 'лотерей', 'лотерейний квиток'];Організована гра на щастя, при якій розподіл вигод і збитків залежить від випадкового випадання тих чи інших чисел або квитків
activity;['таксономія', 'таксономічна ієрархія'];Наука, що вивчає методи і способи класифікації
activity;['бальзамування', 'бальзамували', 'забальзамувати'];Метод запобігання гниттю трупів
activity;['педикюр'];косметичне лікування ніг та нігтів на ногах
activity;['оммаж', 'повага'];мистецтво
activity;['термальна колона', 'термік', 'тепловий колони', 'теплової', 'терміки'];Висхідний потік повітря в атмосфері Землі
activity;['панк-рок', 'punk rock', 'панк рок', 'punkrock', 'панк', 'панк-групи', 'панк-музики', 'панк відродження'];Напрям у рок-музиці, що виник у середині 1970-х рр. у США і Великій Британії, у якому поєднувалися соціальний протест і музичне неприйняття тодішніх форм року
activity;['вантажний транспорт', 'вантажні перевезення', 'вантажоперевезення', 'вантажотранспортування', 'переміщення вантажів', 'товарні перевезення', 'транспортування вантажів'];Процес транспортування вантажів, товарів тощо
activity;['іригація', 'зрошення', 'зрошування', 'зрошувані землі', 'полив', 'зрошення земель', 'система зрошення', 'іригаційне землеробство', 'іригаційні споруди', 'іриґація', 'ірригація', 'ірриґація', 'зрошуване землеробство', 'зрошуваних'];Підведення води на поля, що відчувають нестачу вологи
activity;['політика умиротворення', 'политика умиротворения', 'умиротворення', 'заспокійливий'];Политика умиротворения
activity;['приналежність'];зв'язок з організацією або інтелектуальним рухом
activity;['акредитація', 'акредитації', 'акредитацію', 'неакредитованих'];Сторінка значень в проекті Вікімедіа
activity;['ви́бір', 'відбі́р', 'вибір'];Населений пункт у Тверській області, Росія
activity;['водіння', 'автомобілістів'];Керування транспортним засобом
activity;['список', 'перелік', 'спи́сок', 'множина', 'переліки', 'послідовність елементів множини', 'списки', 'нумерації', 'перерахування', 'підрахунок'];Впорядкований список усіх елементів збірки
activity;['виливниця', 'прес-форма', 'лиття', 'лиття металу', 'усадки'];пристрій для отримання виробів різної конфігурації з металів, пластмас, гуми та інших матеріалів під дією тиску, що створюється на ливарних машинах чи пресах
activity;['відкриття', 'наукове відкриття', 'наукових відкриттів', 'спостереження'];Виявлення чогось нового
activity;['блювота', 'блювання', 'блювотиння', 'блюво́та', 'блювоти́ння', 'повернення', 'рвані', 'рве'];Акт активного викидання вмісту шлунку через рот
activity;['гірнича промисловість', 'гірнича справа', 'гірництво', 'гірничодобувна промисловість', 'гірничий інженер', 'гірничо-шахтного устаткування', 'гірничодобувної промисловості', 'підземних гірничих робіт'];Галузь інженерії, пов''язана з видобуванням та попередньою переробкою корисних копалин
activity;['стрибок', 'стрибки'];Тип локомоції, в якому об'єкт рухається деякий час у повітрі
activity;['менеджмент', 'управління'];Процес планування, організації, приведення в дію та контроль організації з метою досягнення координації людських і матеріальних ресурсів, необхідних для ефективного виконання завдань
activity;['соціалізація', 'співіснування у суспільстві', 'суспільство: співіснування', 'соціалізації', 'спілкування', 'поспілкуватися', 'соціалізувати'];Процес співіснування людей
activity;['тасування', 'перемішування', 'перетасовки'];процедура, що використовується для рандомізації колоди гральних карт
activity;['володіння', 'власник', 'власність', 'право власності', 'посідання', 'форми власності', 'власники', 'власником контрольного пакету акцій', 'власників', 'власності'];Можливість власника утримувати річ, яка на законних підставах йому належить
activity;['протест', 'масовий протест', 'масові протести', 'групи протесту', 'особливі', 'політичного протесту', 'протесту', 'протестуючих', 'інакомислення'];Вираження заперечення
activity;["ін'єкція", "ін'єкційні"];Метод подавання ліків у медицині
activity;['оренда', 'суборенда', 'аренда', 'найм', 'здачі в оренду'];Тимчасова передача майна в користування
activity;['дизайн', 'проектування', 'розробка', 'дизайнер', 'дизайнерка', 'дизайнерська компанія', 'дизайну компанії', 'розроблений', 'філософії дизайну'];Вид діяльності. створення і розробка плану чи концепції об''єкту чи системи
activity;['монетний кабінет'];колекція монет
activity;['деколонізація', 'деколонізації'];Процес розпаду системи колоніальних відносин між країнами
activity;['кат', 'віджілантізма', 'дружинників', 'пильності', 'пильність'];вигаданий персонаж, який здійснює торртури
activity;['комунікація', 'соціальна комунікація', 'комунікаційні технології', 'комунікації', 'передача інформації', 'теорія комунікації', "зв'язок", 'обмін інформацією', 'інформаційний обмін', 'соціальні комунікації', 'взаємодіючий', "зв'язку", 'непорозуміння', "соціальні зв'язки", 'спілкування', 'спілкуватися'];Обмін інформацією
activity;['лідерство', 'керівництво', 'кільце лідера'];Реалізація організаційного керівництва, яка реалізується топ-менеджментом
activity;['їздка', 'автомобільний транспорт', 'дорожній транспорт', 'автотранспорт', 'безрейковий транспорт', 'наземний безрейковий транспорт', 'поверхневий транспорт', 'сухопутний транспорт', 'транспорт автомобільний', 'вантажоперевезення', 'автомобільних перевезень', 'автомобільного транспорту', 'перевезення'];Термін, що позначає рух по наземних безрейкових дорогах, а також засоби пересування по наземних безрейкових дорогах
activity;['акультурація', 'інкультурація', 'інкультурації', 'акультурації'];Процес взаємовпливу культур
activity;['драматургія', 'театр', 'теа́тр', 'театрального мистецтва', 'драматичне мистецтво', 'драматичного', 'драматургії', 'живий театр', 'розважального центру', 'театральне мистецтво', 'театру досліджень'];Форма мистецтва
activity;['битва при пуатьє', 'битва під пуатьє', 'пуатьє'];Битва при Пуатьє (1356)
activity;['десять заповідей', '10 заповідей', 'декалог', 'десять заповідей божих', 'заповіді божі'];десять основних законів Божих
activity;['вантажний транспорт', 'вантажні перевезення', 'вантажоперевезення', 'вантажотранспортування', 'переміщення вантажів', 'товарні перевезення', 'транспортування вантажів'];Процес транспортування вантажів, товарів тощо
activity;['російська революція', 'жовтневий переворот', 'жовтневий переворот 1917', 'велика жовтнева соціалістична революція', 'жовтнева революція', 'більшовицький переворот', 'велика жовтнева соцалістична революція', 'жовтнева революція 1917', 'жовтнева революція 1917 року в росії', 'жовтнева революція в росії 1917', 'більшовицький путч 1917', 'жовтнева революція в росії', 'жовтнева соціалістична революція', 'радянська влада', 'революція 1917', 'революція 1917 року в росії', 'жовтневої революції'];Переворот у Російській Республіці
activity;['оправлення', 'оправа', '12mo', 'клейового скріплення', 'палітурний', 'палітурного'];Процес фізичного скріплення книги
activity;['штучне освітлення', 'штучне світло'];світло від штучного джерела, на противагу денному чи природному освітленню
activity;['мистецтво', 'художнього вираження', 'художня творчість', 'художнє виробництво'];Вид людської діяльності, що відображає дійсність у конкретно-чуттєвих образах, відповідно до певних естетичних ідеалів
activity;['бджільництво', 'бджільни́цтво', 'бджолярство', 'пасічництво', 'бджільник', 'продукти бджільництва', 'бджільництва'];Галузь сільського господарства, яка займається розведенням бджіл
activity;['індустріалізація', 'індустріаліза́ція', 'індустріялізація', 'індустріалізації', 'промислове підприємство', 'промислово розвинених', 'індустріальної епохи'];Перехід до промислового виробництва
activity;['амністія', 'помилування', 'амністії', 'королівське помилування', 'повне прощення', 'президентське помилування'];Повне або часткове звільнення від кримінальної відповідальності і покарання певної категорії осіб, винних у вчиненні злочинів
activity;['тілесні покарання', 'тілесне покарання', 'екзекуція', 'тілесна кара', 'фізичне покарання'];Один з найстародавніших (разом із стратою) заходів покарання
activity;['розлучення', 'розлу́чення', 'розірвання шлюбу', 'розлучень'];розірвання шлюбу чи шлюбного контракту
activity;['бухгалтерський облік', 'стандартизація бухгалтерського обліку', 'бухгалтерського обліку'];Процес виявлення, вимірювання, реєстрації, накопичення, узагальнення, зберігання та передачі інформації про діяльність підприємства зовнішнім та внутрішнім користувачам для прийняття рішень
activity;['президент сша', 'президент сполучених штатів америки', 'президент сполучених штатів', 'американський президент', 'президента сша', 'potus', 'u.s президента', 'американського президента', 'на сполучених штатів', 'на сша', 'президент', 'президента сполучених штатів', 'у с президент'];Глава виконавчої влади США з функціями глави держави і головнокомандувач Армії і Флоту
activity;["прем'єр-міністр великої британії", "прем'єр-міністр"];Глава уряду Великої Британії й голова Кабінету міністрів
activity;['бандитизм', 'бандит'];злочин
activity;['самообслуговування', 'самообслуга', 'самообслу́га', 'самообслуго́вування'];концепція в торгівлі, при якій придбання товарів і послуг робиться покупцем самостійно, без допомоги обслуговчого персоналу
activity;['робота', 'рід занять', 'заня́ття', 'пра́ця', 'профе́сія', 'робо́та', 'фах', 'типи роботи', 'роботу', 'вакансія', 'напрямок роботи', 'окупації'];Робота в економічному сенсі
activity;['робота', 'рід занять', 'заня́ття', 'пра́ця', 'профе́сія', 'робо́та', 'фах', 'типи роботи', 'роботу', 'вакансія', 'напрямок роботи', 'окупації'];Хоббі, робота чи спорт
activity;['освіта', 'навчання', 'освіта загальна', 'освіти', 'педагог', 'дидактика', 'дидактики', 'освітньої діяльності', 'педагогів'];Навчання, в якому знання та навички передаються через викладання
activity;['журналістика', 'журналізм', 'журналістка', 'друкованої журналістики', 'журналістики'];Опис подій, явищ, новин.
activity;["обов'язок", 'борг', "обов'я́зок", "обов'язки", 'обовязок і моральна відповідальність', "зобов'язання", 'відповідальність'];Сукупність моральних зобов''язань людини перед іншими
activity;['медична спеціальність', 'спеціа́льність', 'медичних спеціальностей'];Галузь медичної діяльності
activity;['перегони', 'гонка', 'гоночних'];Спортивне змагання на швидкість
activity;['стрільба з лука', 'стрільба із лука', 'лучництво'];Вид спорту
activity;['ленд-ліз', 'лендліз', 'ленд-лізу', 'оренда-ленд'];Американська урядова програма постачань союзникам у Другій світовій війні
activity;['війна', 'військові дії', 'стан війни', 'війни', 'воєн', 'збройних конфліктів', 'збройного конфлікту'];Війна це тоді коли одна держава змагається з іншою і виграє найсильніша хоча багато людей гинуть із-за війни.
activity;['заготівля лісу', 'лісової промисловості', "дерев'яні колоди", 'каротаж', 'лісозаготівельної промисловості', 'рубкою лісу'];Лісозаготівля
activity;['фізична терапія', 'фізична реабілітація', 'фізіатріей', 'фізіотерапевт', 'фізіотерапія'];Професія та галузь охорони здоров'я, яка ґрунтується на застосуванні руху, фізичних вправ та адаптації середовища пацієнтів
activity;['секуляризація'];звільнення суспільства від впливу релігії
activity;['переселення'];Зміна місця проживання
activity;['шлаки організму', 'детокс-дієти'];Характырыстыка шлакив
activity;['милостиня', 'ми́лостиня', 'милостиню'];Виявлення турботи до ближнього, знедоленого, жебрака, каліки
agent-driven-role;['водій', 'во́дій', 'шофе́р', 'шофер', 'знаки солідарності водіїв', 'водієм', 'шофера'];Професія, особа, яка керує транспортним засобом
agent-driven-role;['водій автобуса'];професія
agentive-figure;['компанія з обмеженою відповідальністю', 'ltd', 'компанії з обмеженою відповідальністю', 'приватна компанія з обмеженою відповідальністю', 'смертельна доза', 'тов', 'товариство з обмеженою'];сторінка значень у проекті Вікімедіа
agentive-figure;['амфісбена', 'в дві сторони', 'двоголова змія', 'мурашина мати', 'туди-сюди'];Міфологічний змій
agentive-figure;['орфей'];Напівміфічний уславлений співець і поет, персонаж давньогрецької міфології
agentive-figure;['лаокоон', 'láokoón'];Міфологічний жрець.Учасник Троянської війни
agentive-figure;['гурії'];сторінка-список у проекті Вікімедіа
agentive-figure;['брунгільд', 'брюнгільда', 'брунгільда', 'брюнхільд'];Героїня германо-скандинавської міфології
agentive-figure;['корпорація', 'корпорації', 'гільдії', 'корпоративне підприємство', 'корпорацій'];Організаційно-правова форма бізнесу
agentive-figure;['благодійна організація', 'благодійний фонд', 'громадська благодійна організація', 'благодійних організацій', 'статус благодійної організації'];тип організацій в Україні
agentive-figure;['хор', 'десть', 'хори'];Сторінка значень у проекті Вікімедіа
agentive-figure;['команда', 'команди'];Група людей
agentive-figure;["розширена сім'я", "розширеної сім'ї", "сім'ях"];Сім'я, що складається з декількох поколінь, що живуть в сім'ї
agentive-figure;['консалтингова компанія', 'консалтингова фірма', 'консалтингове підприємство', 'порадницьке підприємство', 'консультаційна фірма'];підприємство експертів, які надають професійні поради
agentive-figure;['позаземне життя', 'іншопланетянин', '👽', 'позаземного життя', 'інопланетян', 'космічних прибульців', 'позаземного буття', 'позаземної', 'інопланетна раса', 'інопланетної раси', 'інопланетянин'];Гіпотетична форма життя, що виникла й існує за межами планети Земля.
agentive-figure;['благодійна організація', 'благодійний фонд', 'громадська благодійна організація', 'благодійних організацій', 'статус благодійної організації'];тип організацій в Україні
agentive-figure;['полтергейст', 'poltergeist', 'полтерґейст'];тип привида чи духа, який рухає фізичні об'єкти
