abstract-region;['grannizza fìsica scalari', 'rannizza fìsica scalari'];Grannizza fìsica chi si po'' misurari cûn nùmmiru sulu
agentive-physical-object;['marsupialia', 'marsupiali'];Infraclassi dî Mammifiri ca cumprenni l''armali chi'' crìsciunu li figghî ntôn marsupiu
agentive-physical-object;['ficu', 'ficara', 'ficus carica', 'pedi di ficu', 'peri di ficu'];Specia di àrvulu
agentive-physical-object;['re dî marvizzi', 'marvizza impiriali', 're di li marvizzi'];Specia di aceddu
agentive-physical-object;['striggiformi'];Òrdini d''aceddi rapaci
agentive-physical-object;['taddarita', 'chiroptera', 'cannarita', 'cannarìtula', 'donninaru', 'farfàgghita', 'nyctalus noctula', 'pipistrellu', 'rattàula', 'surci jaddiolu', 'surgi jaddiolu', 'sùrici vecchiu', 'chiròttiri', 'surici vecchiu', 'suricivecchiu'];Òrdini dî mammìfiri alati chi vòlunu ntâ notti
agentive-physical-object;['spuntascebbi', 'sylvia curruca', 'beccaficu', 'munachedda'];Specia di aceddu
agentive-physical-object;['lucerta', 'lucèrtula', 'gièrdula', 'carmasala', 'lucertula'];Rèttili
agentive-physical-object;['mannarinu', 'mannarinara', 'pedi di mannarinu'];Àrvulu di fruttu
agentive-physical-object;['nzettu', 'insetti', 'insettu', 'insecta', 'nzetti', 'nsetti', 'nsettu'];Classi d''armali invertibbrati dû filu di l''Artropudi
agentive-physical-object;['marvizza furastera', 'marbizzu', 'marvizzu', 'turdu russu'];Specia di aceddu
agentive-physical-object;['beccaficu di siminatu'];Specia di aceddu
agentive-physical-object;['furmìcula', 'fummicula', 'formicidae', 'firmicula', 'firmìcula', 'frimmicula', 'frimmìcula', 'frumicula', 'frummica', 'frummicula', 'frummicura', 'frummìcula', 'frummìcura', 'frumìcula', 'fummica', 'fummichila', 'fummicura', 'fummìchila', 'fummìcula', 'furmica', 'furmicula', 'furmìcura'];Famigghia di insetti
agentive-physical-object;['verbascu', 'verbascum thapsus', 'babbascara', 'barbascara'];Specia di chianta
agentive-physical-object;['prunus armeniaca', 'barcocu', 'pedi di barcocu', 'pedi di pricopa', 'pedi di varcocu', 'pricupara', 'varcocu', 'pedi di pircocu', 'peri di pircocu'];Àrvulu di fruttu
agentive-physical-object;['tùrtura'];Specia di aceddu
agentive-physical-object;['camiddu', 'gamiddu', 'cameddu', 'camellu', 'camelu', 'cammeddu', 'cammellu'];Specia di mammìfiru
agentive-physical-object;['pappagaddu', 'pappagàddu', 'pappagaḍḍu', 'pappajaḍḍu', 'pappajaddu', 'psittaciformes'];Òrdini d''aceddi
amount-of-matter;['cumpostu chìmicu'];Sustanza chìmica pura ca cunteni dui o puru cchiu'' ssai elimenti chìmici
amount-of-matter;['cafè', 'café'];Bivanna scura chi si pripara câ simenza rrustuta e macinata dâ chianta di cafè
amount-of-matter;['europiu', 'eu'];Elimentu chìmicu cu nùmmiru atòmicu 63
amount-of-matter;['zincu', 'zn'];Elimentu chìmicu cu nùmmiru atòmicu 30
amount-of-matter;['nun mitallu', 'nun-mitaddu', 'nun-mitallu', 'nun mitaddu', 'nun metallu'];Elimentu chìmicu ca nun veni classificatu no comu mitaddu e no comu semimitaddu
amount-of-matter;['acqua', 'occa', 'vuvù', 'h₂o'];Cumpostu chìmicu fattu di mùleculi ca hannu du'' àtumi d''idrògginu e unu d''ossìgginu, funnamentu dâ vita supra â Terra
amount-of-matter;['argon', 'ar', 'argu', 'argun'];Elimentu chìmicu cu nùmmiru atòmicu 18
amount-of-matter;['cloru', 'cl'];Elimentu chìmicu cu nùmmiru atòmicu 17
amount-of-matter;['azzotu', 'n', 'azotu', 'azzòtu', 'azòtu'];Elimentu chìmicu cu nùmmiru atòmicu 7
amount-of-matter;['tecnezziu', 'ticnezziu', 'tc', 'tecnetu', 'ticnetu', 'tecneziu'];Elimentu chìmicu cu nùmmiru atòmicu 43
amount-of-matter;['ceriu', 'ce'];Elimentu chìmicu cu nùmmiru atòmicu 58
amount-of-matter;['ramu', 'rami', 'cu'];Elimentu chìmicu cu nùmmiru atòmicu 29
amount-of-matter;['gadoliniu', 'gaduliniu', 'gd'];Elimentu chìmicu cu nùmmiru atòmicu 64
amount-of-matter;['samariu', 'sm'];Elimentu chìmicu cu nùmmiru atòmicu 62
amount-of-matter;['cromu', 'cr'];Elimentu chìmicu cu nùmmiru atòmicu 24
amount-of-matter;['manganesi', 'manganisi', 'mn'];Elimentu chìmicu cu nùmmiru atòmicu 25
amount-of-matter;['cubbaltu', 'cobbaltu', 'co'];Elimentu chìmicu cu nùmmiru atòmicu 27
amount-of-matter;['tantaliu', 'ta'];Elimentu chìmicu cu nùmmiru atòmicu 73
amount-of-matter;['nichel', 'ni', 'nicheliu'];Elimentu chìmicu cu nùmmiru atòmicu 28
amount-of-matter;['irìdiu', 'iridiu', 'ir'];Elimentu chìmicu cu nùmmiru atòmicu 77
amount-of-matter;['tungstenu', 'volframiu', 'vulframiu', 'w', 'wolframiu', 'wulframiu'];Elimentu chìmicu cu nùmmiru atòmicu 74
amount-of-matter;['mercuriu', 'mircuriu', 'argentu vivu', 'hg'];Elimentu chìmicu cu nùmmiru atòmicu 80
amount-of-matter;['uraniu', 'u'];Elimentu chìmicu cu nùmmiru atòmicu 92
amount-of-matter;['birilliu', 'birìlliu', 'berilliu', 'be', 'berìlliu'];Elimentu chìmicu cu nùmmiru atòmicu 4
amount-of-matter;['cristallu lìquidu'];Statu dâ materia chi havi prupietà dî lìquidi ma si trova sutta forma cristallina
amount-of-matter;['zirconiu', 'zr', 'zirconio'];Elimentu chìmicu cu nùmmiru atòmicu 40
amount-of-matter;['antimoniu', 'sb', 'stibbiu'];Elimentu chìmicu cu nùmmiru atòmicu 51
amount-of-matter;['fosfuru', 'fòsfuru', 'pòspuru', 'fòsforu', 'p'];Elimentu chìmicu cu nùmmiru atòmicu 15
amount-of-matter;['ossìgginu', 'ussìgginu', 'o', 'ossigginu', 'ossìggenu', 'ussigginu'];Elimentu chìmicu cu nùmmiru atòmicu 8
amount-of-matter;['iodiu', 'jodiu', 'i'];Elimentu chìmicu cu nùmmiru atòmicu 53
amount-of-matter;['bromu', 'br'];Elimentu chìmicu cu nùmmiru atòmicu 35
amount-of-matter;['idrògginu', 'h', 'idrogginu', 'idròggenu', 'idròginu'];Elimentu chìmicu cu nùmmiru atòmicu 1
amount-of-matter;['fluoru', 'flüor', 'f'];Elimentu chìmicu cu nùmmiru atòmicu 9
amount-of-matter;['copulìmiru', 'cupulìmiru'];Pulìmiru fattu di dui o cchiu'' ssai monòmiri diffirenti
amount-of-matter;['molibdenu', 'mulibdenu', 'mo'];Elimentu chìmicu cu nùmmiru atòmicu 42
amount-of-matter;['cesiu', 'cs'];Elimentu chìmicu cu nùmmiru atòmicu 55
amount-of-matter;['poloniu', 'puloniu', 'po'];Elimentu chìmicu cu nùmmiru atòmicu 84
amount-of-matter;['nobeliu', 'nubbeliu', 'no', 'nobbeliu', 'unb', 'unnilbiu'];Elimentu chìmicu cu nùmmiru atòmicu 102
amount-of-matter;['mendeleviu', 'mindileviu', 'md', 'mendileviu', 'unniluniu', 'unu'];Elimentu chìmicu cu nùmmiru atòmicu 101
amount-of-matter;['laurenziu', 'lr', 'unniltriu', 'unt'];Elimentu chìmicu cu nùmmiru atòmicu 103
amount-of-matter;['rutherfordiu', 'rutirfordiu', 'rf', 'ruterfordiu', 'ruthirfordiu', 'unnilquadiu', 'unq'];Elimentu chìmicu cu nùmmiru atòmicu 104
amount-of-matter;['berkeliu', 'bircheliu', 'bercheliu', 'birkeliu', 'bk'];Elimentu chìmicu cu nùmmiru atòmicu 97
amount-of-matter;['fermiu'];Elimentu chìmicu cu nùmmiru atòmicu 100
amount-of-matter;['nettuniu', 'nittuniu', 'np'];Elimentu chìmicu cu nùmmiru atòmicu 93
amount-of-matter;['curiu', 'cm'];Elimentu chìmicu cu nùmmiru atòmicu 96
amount-of-matter;['galliu', 'ga'];Elimentu chìmicu cu nùmmiru atòmicu 31
amount-of-matter;['protoattiniu', 'prutuattiniu', 'pa', 'protuattiniu'];Elimentu chìmicu cu nùmmiru atòmicu 91
amount-of-matter;['alluminiu', 'aluminiu', 'al'];Elimentu chìmicu cu nùmmiru atòmicu 13
amount-of-matter;['ittriu', 'y'];Elimentu chìmicu cu nùmmiru atòmicu 39
amount-of-matter;['talliu', 'tàlliu', 'tl'];Elimentu chìmicu cu nùmmiru atòmicu 81
amount-of-matter;['chiummu', 'gghiummu', 'pb'];Elimentu chìmicu cu nùmmiru atòmicu 82
amount-of-matter;['cesiu', 'cs'];Elimentu chìmicu cu nùmmiru atòmicu 55
amount-of-matter;['bariu', 'ba'];Elimentu chìmicu cu nùmmiru atòmicu 56
amount-of-matter;['rubidiu', 'rubbidiu', 'rb'];Elimentu chìmicu cu nùmmiru atòmicu 37
amount-of-matter;['oru', 'au'];Elimentu chìmicu cu nùmmiru atòmicu 79
amount-of-matter;['fluidu'];Sustanza ca si diforma illimitatamenti quannu veni suttaposta a sforzu di tagghiu
amount-of-matter;['seaborgiu', 'siaborghiu', 'sb', 'seaborghiu', 'siaborgiu', 'unh', 'unnilexiu'];Elimentu chìmicu cu nùmmiru atòmicu 106
amount-of-matter;['dubniu', 'db', 'unnilpentiu', 'unp'];Elimentu chìmicu cu nùmmiru atòmicu 105
amount-of-matter;['olmiu', 'ho'];Elimentu chìmicu cu nùmmiru atòmicu 67
amount-of-matter;['erbiu', 'er'];Elimentu chìmicu cu nùmmiru atòmicu 68
amount-of-matter;['eliu', 'èliu', 'he'];Elimentu chìmicu cu nùmmiru atòmicu 2
amount-of-matter;['arsenicu', 'arsènicu', 'arsènacu', 'as'];Elimentu chìmicu cu nùmmiru atòmicu 33
amount-of-matter;['alumi di putassiu', 'alumi di rocca'];Cumpostu chìmicu di putassiu, aluminiu, sùrfuru e ossìgginu
amount-of-matter;['rodiu', 'rh'];Elimentu chìmicu cu nùmmiru atòmicu 45
amount-of-matter;['lantaniu', 'la'];Elimentu chìmicu cu nùmmiru atòmicu 57
amount-of-matter;['carbòniu', 'carboniu', 'c'];Elimentu chìmicu cu nùmmiru atòmicu 6
amount-of-matter;['sùrfuru', 'surfi', 'suffuru', 'sùrfaru', 's', 'sùlfaru', 'sùlfuru', 'sùrfiru'];Elimentu chìmicu cu nùmmiru atòmicu 16
amount-of-matter;['radiu', 'ràdiu', 'ra'];Elimentu chìmicu cu nùmmiru atòmicu 88
amount-of-matter;['oxyde de cuivre'];Pàggina di disambiguazzioni di Wikimedia
amount-of-matter;['terra rara'];Elimentu chìmicu chi fa'' parti dâ famigghia dî 15 lantànidi cû scanniu e l''ittriu
amount-of-matter;['elimentu dû gruppu 2'];Gruppu di elimenti chìmici chi stannu ntâ sicunna culonna dâ tabbella piriòdica
amount-of-matter;['elimentu dû gruppu 18', 'gas nobbili'];Gruppu di elimenti chìmici chi stannu ntâ diciuttèsima culonna dâ tabbella piriòdica
amount-of-matter;['elimentu chìmicu', 'elementu', 'elementu chìmicu', 'elimentu chimicu', 'elimentu chìmucu'];Classi dî sustanzi chìmichi fatti sulu di atumi cû stissu nùmmiru atòmicu
amount-of-matter;['acqua pi bìviri', 'acqua pi mbìviri', 'acqua pi vìviri', 'acqua putàbbili', 'acqua di vìviri'];Acqua chi si po'' bìviri senza rìsichi pâ saluti
biological-object;['articulazzioni'];Cugnunzioni tra du'' corpi òssei
biological-object;['zimma'];Accumulo di cose
biological-object;['purpuzza', 'jìritu', 'jiditu'];Organu di maniamentu e di sensu chi si trova ntê manu e ntê pedi di l''omu e di autri primati
biological-object;['articulazzioni sinoviali'];Articulazzioni tra du corpi ossei cuntigui
biological-object;['corpu umanu'];Stuttura matiriali di na pirsuna
biological-object;['citrus', 'agrumi'];Gèniri di chianti
biological-object;['itu', 'jìritu dâ manu', 'iritu', 'jiditu', 'jiritu', 'jìditu dâ manu'];Òrganu di maniamentu e di sensu chi si trova ntê manu di l''omu e di autri primati
biological-object;['pumu', 'puma'];Fruttu
biological-object;['ganga', 'janga', 'mola'];Denti largu e chiattu ca si trova ntê lati dâ bucca dî mammìfiri
biological-object;['scagghiuni'];Denti longu e pizzutu tìpicu dî Mammìfiri, ca di sòlitu nn''hannu quattru, dui di supra e dui di sutta
biological-object;['ciriveddu', 'cirveddu'];Òrganu principali dû sistema nirvusu cintrali
biological-object;['manu', 'manazza', 'manuna', 'manuzza'];Parti dû corpu a l''estremità dû brazzu chi s''adopira pi nguantari li cosi
biological-object;['pedi'];Parti dû corpu chi si ppoggia nterra pi stari â dritta e pi caminari
biological-object;['coddu'];Parti dû corpu chi cugnunci la testa cû restu dû corpu
biological-object;['coscia', 'còscia', 'cùoscia'];Parti auta dâ gamma chi va dî ncinagghî fina ô dinocchiu
biological-object;['fruttu', 'frutti'];Parti dâ chianta ca si forma dû ciuri pi cuntèniri la simenza. certi voti si po'' manciari
biological-object;['puseri', 'puòddici', 'puòllici', 'pòddici', 'pòllici'];Jìritu cchiu'' grossu dâ manu
biological-object;['testa', 'capa'];Parti di n''armali ca cunteni lu ciriveddu
causal-role;['sciugghimentu', 'sulventi', 'disciugghimentu'];Sustanza ca nni squagghia n''autra, e nzèmmula fòrmunu na suluzzioni
causal-role;['antimicrobiano'];pàggina di disambiguazzioni di Wikimedia
chemical-object;['isòtupu', 'isòtopu'];Varianti di nu stissu elimentu chìmicu chi si diffirenzia sulu pû nùmmiru di niutroni
classification-system;['sistema di rifirimentu', 'sistema di coordinati', 'sistiema i riferimientu'];Sistema chi si po'' adupirari pi ditirminari univucamenti un puntu nta nu spazziu pi menzu dî so cumpunenti rispettu ôn sistema di rifirimentu
cognitive-event;['stima'];Valuri ca si supponi apprussimativamenti currettu, ma chi putissi èssiri incumpletu, incertu, o puru instàbbili
cognitive-modal-description;['idiuluggìa'];Sistema di cuncetti e cunvinzioni pi ntirpitrari li fatti currenti e dicìdiri l''azzioni futuri
cognitive-modal-description;['sucialdimucrazzìa', 'sucial-dimucrazzìa', 'socialdimucrazzìa', 'socialdimucrazzia', 'sucialdimucrazzia'];Idiuluggìa pulìtica
cognitive-modal-description;['atiismu', 'ateìsmu', 'atiìsmu', 'ateismu', 'àtiu'];Cunvinzioni di l''assenza di divinità
collection;['espusizzioni artìstica'];Postu unni si mèttunu òpiri d''arti pi fàrili a vìdiri ô pùbblicu
course;['manera di cuntaggiu'];Manera comu na malatìa cuntaggiusa si po'' passari di n''innividuu a n''autru
dependent-place;['caverna', 'grutta', 'rutta', 'spilunca'];Bucu sutta terra granni abbastanza pi fari tràsiri un cristianu
dependent-place;['chiusa'];Sistema pi jisari o calari mbarcazzioni senza niscìrili di l''acqua, chi giuva pi fàrili passari di nu specchiu d''acqua cchiu'' autu a unu cchiu'' basciu, o viciversa
dependent-place;['purtedda', 'passu', 'passu di muntagna'];Postu unni veni bonu a passari di na parti a n''autra di na catina muntagnusa
ecological-collective;['plantae', 'chianta', 'pianta'];Èssiri viventi chi apparteni ô regnu viggitali
functional-matter;['cafè', 'café'];Bivanna scura chi si pripara câ simenza rrustuta e macinata dâ chianta di cafè
functional-matter;['vitru'];Sòlidu amorfu chi, quannu si quadìa, pigghia li prupietà dû statu lìquidu senza canciari di fasi
functional-matter;['ramu', 'rami', 'cu'];Elimentu chìmicu cu nùmmiru atòmicu 29
functional-matter;['zirconiu', 'zr', 'zirconio'];Elimentu chìmicu cu nùmmiru atòmicu 40
functional-matter;['conza', 'cundimentu', 'cunnimentu'];Ngridienti ca si metti ntô manciari pi dàricci lu sapuri
functional-matter;['cesiu', 'cs'];Elimentu chìmicu cu nùmmiru atòmicu 55
functional-matter;['cesiu', 'cs'];Elimentu chìmicu cu nùmmiru atòmicu 55
