abstract-region;['skaler', 'sayısal'];Koordinat sistemlerindeki özelliklerden etkilenmeyen bir niceliktir
activity;['avcılık', 'av hayvanları', 'avlanma', 'avcılar', 'bıldırcın av'];Günümüzde daha çok bir tür spor dalı, insanların karınlarını doyurmasına yönelik bir uğraş
activity;['sekülerizasyon', 'sekülerleşme'];Din temeline dayalı olan devlet yönetimini sona erdirme ve dinden ayrıştırma hareketi.
agentive-figure;['basilisk'];Avrupa hikâyelerinde adı geçen efsanevi bir canavar
agentive-figure;['kerberos', 'cerberus'];Mitolojik karakter
agentive-figure;['orfeus', 'orfe', 'orpheus'];Eski Yunan `da şairlerin ve müzisyenlerin üstadı olan mitolojik karakter.
agentive-figure;['hidra', 'lernaean hydra'];Lerna bataklıklarında yaşayan dokuz başlı efsanevi bir canavar.
agentive-figure;['amazonlar'];Ata binen kadın.
agentive-figure;['refah devleti', 'refah toplumu', 'refah sistemi', 'refah sosyetesi', 'refah teorisi', 'sosyal devlet', 'sosyal devlet i̇lkesi', 'refah devletleri'];Devletin minimum düzeyde ötesine vatandaşlarının refahı için birincil sorumluluk kabul eden devlet modeli
agentive-figure;['tarzan', 'maymunlar tarzan'];Edgar Rice Burroughs tarafından 1912 yılında yaratılmış hayâli öykü karakteri.
agentive-figure;['sahil güvenlik'];Denizler ve sahillerle ilgili çeşitli hizmetlerin bütününü ifade eden kavram ve bu hizmetleri yerine getiren ulusal kurum
agentive-figure;['devlet', 'egemen devlet', 'ulus', 'mülk', 'toprak', 'ülke', 'millet', 'modern devlet', 'devlet kurumu', 'res publica', 'ulusal'];Tüzel bir varlık
agentive-figure;['özel okul', 'özel eğitim', 'özel lise'];Doğrudan devletlerin örgün eğitim sistemlerine bağlı olmayan okul
agentive-figure;['manga'];Askeri bir birlik.
agentive-figure;['dünya sağlık örgütü', 'dsö', 'dünya sağlık teşkilatı', 'who', 'world health organization'];WHO olarak da bilinen organizasyon
agentive-figure;['nato', 'kuzey atlantik antlaşması örgütü', 'atlantik paktı', 'batı i̇ttifakı', 'kaaö', 'kuzey atlantik antlaşması teşkilatı', 'n.a.t.o', 'n.a.t.o.', 'north atlantic treaty organisation'];Kuzey Atlantik Antlaşması Örgütü
agentive-figure;['düzenli ordu', 'ordu', 'leşker', 'silahlı kuvvetler', 'kara kuvvetleri'];Bir devletin silahlı kuvvetlerine verilen isim.
agentive-figure;['siyasi parti', 'parti', 'siyasî parti', 'fırka', 'siyasal parti', 'siyasi gruplar', 'siyasi partiler'];Toplumsal örgütlerin veya hükümetin açıkladığı ana ilkelerin tümü.
agentive-figure;['herakles', 'herkül', 'heracles', 'hercules', '12 suç', "antik roma'da herkül", "herakles'in oniki görevi", 'herküles', 'alcides'];Roma Mitolojisi `nde Herakles, Zeus ile Miken kralının kızı Alkmene `nin oğludur.
agentive-figure;['i̇slam', 'i̇slam dini', 'islam', 'i̇slamlık', 'muhammedîlik', 'i̇slam dîni', 'i̇slâm dini', 'i̇slâm dîni', 'müslümanlık', 'muhammedizm', 'islamiyet', 'islâm', 'islâmiyet', 'i̇slam inancı', 'i̇slami', 'i̇slamiyet', 'i̇slamiyetin doğuşu', 'i̇slamiyetlik', 'i̇slamî', 'i̇slâm', 'i̇slâmiyet', 'i̇slâmî', 'muhammedilik', 'neo islam', 'islamcılar', 'islamcılık', 'islami', "militan islam'ın", 'muhammadanism'];Kazâ, Allah' ın ezelde takdir buyurduğu olayların, zamanı gelince ilim ve iradesine yani kadere uygun olarak meydana gelmesine verilen isimdir.
agentive-figure;['polis', 'polis kuvvetleri', 'polislik', 'polis çevik kuvvet', 'polisler', 'sivil polis', 'polis gücü', 'güvenlik gücü', 'güvenlik güçleri', 'polis departmanları', 'polis departmanı', 'polis koruması', 'silahlı polis', 'zabıta'];Emniyet birimleri ve teşkilatı.
agentive-figure;['don kişot', 'don quixote de la mancha', 'don quijote', 'don quixote', 'donkişot'];Cervantes `in romanı.
agentive-physical-object;['boksör', 'bokser', 'boxer köpeği'];Bekçi köpeği ırkı
agentive-physical-object;['tekir', 'tekir kedi'];Bir kedi türüdür.
agentive-physical-object;['masaüstü bilgisayar', 'masaüstü bilgisayarlar'];Masaüstü bilgisayar
agentive-physical-object;['çam', 'çam ağacı', 'pinus', 'gerçek çam', 'çam ağaçları', 'çam iğnesi'];Bir ağaç
agentive-physical-object;['nil timsahı', 'crocodylus niloticus', 'nil krokodili', 'nil timsah', 'afrika timsah', 'nil timsahları'];Timsahgiller familyasından sürüngen türü,
agentive-physical-object;['jaguar', 'panter', 'pars', 'panthera onca', 'kara panter', 'siyah panter', 'felis onca', 'onca'];Felidae familyasına ait bir kedi
agentive-physical-object;['bitki', 'flora', 'bitey', 'bitki örtüsü', 'bitkiler', 'bitkiler âlemi', 'bitkinin kısımları', 'nebatat', 'plantae', 'plantea', 'tohumsuz bitkiler', 'vejetasyon', 'florasında'];Bir bölgede yetişen bitkilerin ortak adı, diğer bir deyimle Bitki örtüsü.
agentive-physical-object;['ankara kedisi', 'angora kedisi'];Kedi ırkı
agentive-physical-object;['robot', 'otomat', 'robotlar', 'otomata'];Otomatik olarak ardışık veya döngüsel işlemleri gerçekleştirebilen mekanik veya elektro-mekanik düzenek
agentive-physical-object;['limon', 'limon ağacı', 'limon meyvesinin vucuda yararları', 'citrus limon'];Bir meyve türü
agentive-physical-object;['ağaç', 'ağaçlar', 'fidan', 'agac', 'ağaç gövdesi'];Odunsu bitki
agentive-physical-object;['porsuk', 'meles meles', 'avrasya badger', 'avrasya porsuğu', 'avrupa porsuk', 'meles'];Sansargiller familyasından memeli bir hayvan
agentive-physical-object;['android', 'humanoid', 'insansı', 'insanımsı', 'mechanoid', 'mekanik adam'];Zeki canlı varlıklar tarafından yapılmış insansı makinelere verilen addır.
agentive-physical-object;['krizalit', 'pupa', 'eclosion', 'pupa devresi', 'pupa evresinde'];Bazı böceklerde kelebeğe ya da böceğe dönüşme evresindeki durumu
agentive-physical-object;['yıldız tipi motor', 'yıldız motor', 'radyal motor'];Bir motor tipi
agentive-physical-object;['melez', 'çaprazlamak', 'hibrid', 'bitki biyoteknolojisi', 'bitki ıslahı', 'doğal melez', 'intergeneric melez', 'melez elde etmek', 'suni melez', 'üreyebilirlik', 'ıslahçı'];Iki farklı hayvanın veya bitkinin birleşmesinden ortaya çıkan yeni tür.
agentive-physical-object;['gelincik', 'papaver rhoeas', 'paper rhoeas', 'alan haşhaş', 'flanders haşhaş'];Bir bitki türü
agentive-physical-object;['balık', 'balık eti', 'balık eti, balık yemeği', 'gıda balık', 'tablo balık edilir'];Yiyecek olarak tüketilen balıklar
agentive-physical-object;['keçi', 'bezoar keçisi', 'capra aegagrus hircus', 'evcil keçi', 'oğlak', 'keçi sütü', 'keçi cinsi hayvan', 'süt keçi'];Keçinin kocaman boynuzlu, gür sakallı ve çok keskin kokulu erkeği.
agentive-physical-object;['akçaağaç', 'isfendan', 'acer', 'akça ağaç'];Akçaağacın latince adı
agentive-physical-object;['nehir yunusu', 'platanistoidea', 'irmak yunus balığıgiller', 'irmak yunusları', 'irmak yunusu', 'irmakyunusları', 'irmakyunusu', 'irmakyunusugiller', 'nehir yunusları'];Suda yaşayan canlı
agentive-physical-object;['yıldız çiçeği', 'dahlia', 'dalya', 'yıldızçiçeği', 'dahlia pinnata'];Bir tür çiçek
agentive-physical-object;['kamelya', 'japon gülü', 'camellia', 'camelia'];Doğu Asya `ya özgü bir tür çiçek.
agentive-physical-object;['pas', 'pas mantar', 'pas mantarlar', 'pas mantarı', 'pucciniales aileyiz'];Bu lekelerden ileri gelen bitki hastalığı.
agentive-physical-object;['maya', 'maya mantarı', 'ekmek mayası', 'alt-fermente', 'tomurcuklanan maya', 'üst-fermente'];Kimyasal değişiklik sağlamak için kullanılan madde.
agentive-physical-object;['akasya', 'acacia', 'akasya ağacı', 'akasya ağacının'];Baklagiller familyasından genellikle hep yeşil yapraklı ve dikenli ağaç ya da ağaççık cinslerine evrilen addır.
agentive-physical-object;['karaağaç', 'karaagac', 'ulmus'];Bir ağaç türü
agentive-physical-object;['funda', 'erica', 'erika', 'funda ağacı', 'gerçek heath'];Fundagiller `den (Ericaceae) familyasından bir çiçek topluluğu.
agentive-physical-object;['manda', 'asya mandası', 'bubalus bubalis', 'camuş', 'camış', 'kömüş', 'asyatik bufalo', 'bubalis', 'iç asya manda', 'su öküz', 'yerli manda'];Manda yavrusu
agentive-physical-object;['doğu mazısı', 'thuja orientalis', 'biota orientalis', 'oryantal arborvitae', 'platycladus orientalis'];Servigiller (Cupressaceae) familyasından süs bitkisi olarak yetiştirilen herdem yeşil bir ağaç türü.
agentive-physical-object;['anakin skywalker'];Serinin ilk filmindeki çocukluk hali Jake Lloyd, ikinci ve üçüncü filmlerdeki hali ise Hayden Christensen tarafından canlandırılan karakter
agentive-physical-object;['sarımsak', 'allium sativum', 'sarmısak'];Alliaceae (zambakgiller) familyasına dahli, Allium cinsinden bir soğanlı bitki türüdür
agentive-physical-object;['notilus', 'argonot', 'nautilidae', 'nautilus', 'allonautilus', 'nautilina', 'argonauta argo', 'argonot gibi', 'kağıt nautilus', 'kağıt nautilus rulo'];Kafadan bacaklılar (Cephalopoda) sınıfına dahil Nautilidae familyasının tipik cinsidir.
agentive-physical-object;['kızıl geyik', 'cervus elaphus', 'bayağı geyik', 'alageyik', 'elaphus'];Avrupa, Orta Asya ve Kuzey Afrika `da büyük bir memeli.
agentive-physical-object;['arpa', 'hordeum vulgare'];Buğday, yulaf vb. ekinlerin taneleri taşıyan kılçıklı başı
agentive-physical-object;['kızılcık', 'ergen', 'cornus mas', 'ergençiçeği', 'kiren'];Kızılcıkgiller (Cornaceae) familyasından bir ağaç türü
agentive-physical-object;['denizyıldızı', 'deniz yıldızı', 'asteroidea', 'denizyıldızları', 'deniz yıldızları', 'seastar', 'yıldız balık'];Denizde yaşayan bir canlı.
agentive-physical-object;['mors', 'atlantik morsu', 'deniz aygırı', 'mors balığı', 'morsgiller', 'morslar', 'odobenidae', 'odobenus rosmarus', 'odobenus rosmarus divergens', 'odobenus rosmarus rosmarus', 'pasifik morsu', 'odobenus'];Kuzey Kutbu denizlerinde yaşayan memeli hayvan
agentive-physical-object;['tahtalı', 'columba palumbus', 'kuskuğuk', 'cushat', 'tahtalı güvercin'];Bir güvercin türü
agentive-physical-object;['paris quadrifolia', 'herb paris', 'ot paris'];Avrupa `da florası
agentive-physical-object;['kedi', 'ev kedisi', 'kedilerin özellikleri', 'evcil kedi', 'felis catus', 'felis silvestris catus', 'manul kedisi', 'orman kedisi', 'vahşi kedi', 'gerçek kedi', 'kediler'];Evlerde beslenebilen, küçük, memeli, avcı ve etçil hayvan
agentive-physical-object;['fil', 'filler'];Memeli bir hayvan
agentive-physical-object;['kedi yayın balığı', 'ameiurus nebulosus', 'cüce yayın balığı', 'kahverengi bullhead'];Balık türü
agentive-physical-object;['sığırcık', 'sturnus vulgaris', 'bayağı sığırcık', 'avrupa starling', 'avrupa sığırcık', 'ortak starling', 'ortak sığırcık'];Sığırcıkgiller familyasını oluşturan kuş türü
agentive-physical-object;['lucy'];Australopithecus afarensis fosili
agentive-physical-object;['puma', 'dağ aslanı', 'kugar', 'puma concolor', 'concolor', 'catamount', 'cougars', 'dağ aslan', 'dağ aslanları', 'felis concolor'];Bir tür memeli hayvan
agentive-physical-object;['karagöz istavrit', 'bayağı istavrit', 'trachurus trachurus', 'istavrit istavrit'];Bir balık türü.
agentive-physical-object;['leopar', 'pars', 'panthera pardus', 'felis pardus', 'pelenk', 'pardus'];Büyük kedilerden biri.
agentive-physical-object;['aslan', 'afrika aslanı', 'panthera leo', 'arslan', 'aslanlar', 'hayvanlar kralı', 'leo'];Bir hayvan
agentive-physical-object;['taipan', 'oxyuranus', 'oxyuranus scutellatus', 'yabancı şirket müdürü'];Büyük bir Avustralya yılanı
agentive-physical-object;['sekreter kuşu', 'sagittaridae', 'sagittarius serpentarius', 'sekreter kuşugiller', 'serpentariidae', 'yılan akbabası', 'yılan akbabasıgiller', 'secretarybird', 'sekreter kuş', 'yay serpentarius'];Gündüz yırtıcı kuşları takımından büyükçe bir kuş türü
agentive-physical-object;['sığın', 'alageyik', 'alces alces', 'elk', 'moose', 'sığın geyiği', 'taç boynuzlu geyik', 'taçboynuzlu geyik', 'alces', 'mus', 'avrupa elk', 'geyik', 'kanada geyiği'];Palmat boynuzlu, boynu sakallı iri geyik
agentive-physical-object;['afrika mandası', 'syncerus caffer', 'afrika bufalosu', 'cape buffalo', 'afrika buffalo', 'synercus caffer'];Boynuzlugiller familyasının sığırlar alt familyasına ait bir tür.
agentive-physical-object;['kunduz', 'kastor', 'castor'];Kemirgen bir hayvan.
agentive-physical-object;['lycosa tarantula', 'avrupa kurt örümceği', 'lycosa tarentula', 'tarantula'];Adını İtalya `nın Taranto kentinden alan gerçek tarantula
agentive-physical-object;['beyaz çiçekli yalancı akasya', 'robinia pseudoacacia', 'beyaz çiçekli yalancıakasya', 'sarı çekirge'];Salkım ağacının halk arasında bilinen bir adıdır.
agentive-physical-object;['quetzal', 'pharomachrus', 'quetzal kuş'];Amerika `da renkli bir kuş familyası.
agentive-physical-object;['and kondoru', 'vultur gryphus', 'and akbabası', 'vultur', 'andean condor'];Bir kuş türü.
agentive-physical-object;['toy', 'otis tarda', 'bayağı toy', 'büyük toy', 'toy kuşu', 'büyük toy kuşu'];Bir kuş türü
agentive-physical-object;['kaplan kedisi', 'oncilla', 'lekeli küçük kedi', 'leopardus tigrinus', 'tigrillo', 'felis tigrina'];Lekeli küçük kedi olarak da bilinir, kedigiller (Felidae)
agentive-physical-object;['karanfil', 'syzygium aromaticum', 'karanfil baharat', 'eugenia aromaticum', 'eugenia caryophyllatum', 'karanfil ağacı'];Syzygium aromaticum ağacından elde edilen bir baharat.
agentive-physical-object;['martı', 'dalgıç', 'laridae', 'martıgiller', 'martılar'];Martıgiller familyasını oluşturan deniz kuşlarının ortak adı.
agentive-physical-object;['kivi', 'apteryx', 'apterygidae', 'kivi kuşu'];Yeni Zelanda `da yaşayan kuş cinsi
agentive-physical-object;['kaliforniya kondoru', 'gymnogyps californianus', 'gymnogyps', 'california condor', 'kaliforniya condor'];Bir kuş türü.
agentive-physical-object;['vanessa atalanta', 'kırmızı amiral'];Nymphalidae familyasından bir kelebek türü
agentive-physical-object;['chihuahua', 'çivava'];Köpek ırkı
agentive-physical-object;['çakal', 'altın çakal', 'aureus', 'canis aureus'];Köpekgillerden bir hayvan.
agentive-physical-object;['açık tohumlular', 'gymnosperm', 'açıktohumlular', 'pinophyta', 'çiçeksiz bitkiler', 'gymnospermae', 'açıktohumluların'];Bazı bitkileri kapsayan taksonomik bir grup
agentive-physical-object;['halkalı kuyruklu kedi', 'bassariscus astutus', 'halkalı kuyruk', 'miner kedisi', 'halka kuyruklu kedi', 'bassarisk', 'cacomistle', 'cacomixle', 'madenci kedi', 'rakun tilki'];Kedi türü
agentive-physical-object;['küçük panda', 'kırmızı panda', 'ailurus fulgens', 'ailuridae', 'kedi ayısı', 'küçük pandalar', 'kızıl panda', 'ailurus', 'az panda', 'bear kedi', 'kedi ayı', 'kırmızı pandalar'];Güney Asyada yaşayan bir etçil memeli.
agentive-physical-object;['penguen', 'penguenler', 'spheniscidae', 'sphenisciformes', 'penguengiller'];Güney Yarımküre `de yaşayan bir kuş türüdür.
agentive-physical-object;['samoyed', 'samoyede'];Spitz grubundan bir köpek ırkı
agentive-physical-object;['lorigiller', 'loris', 'lorisgiller', 'lorisidae', 'ince loris', 'loris gracilis', 'zayıf loris'];Maymunlar takımının bir familyasına ait türler.
agentive-physical-object;['muhabbet kuşu', 'melopsittacus undulatus', 'muhabbetkuşu', 'budgereegah', 'budgerygah', 'kabuk muhabbetkuşu', 'muhabbet kuşları', 'çim muhabbetkuşu'];Papağan türleri içerisinde yer alan, evcil bir kuş türüdür.
agentive-physical-object;['badem', 'prunus dulcis', 'amygdalus communis', 'prunus amygdalus', 'acıbadem', 'amygdalus dulcis', 'badem ağacı', 'payam', 'prunus communis', 'tatlı badem'];Meyveleri kuru yemiş olarak tüketilen Rosaceae familyasına bağlı küçük bir ağaç türü.
agentive-physical-object;['gelincik', 'mustela', 'ars'];Bir memeli cinsi
agentive-physical-object;['pug', 'mops', 'pag', 'pug köpekleri', 'pug köpeği', 'boksör', 'buldok benzeri küçük köpek'];Carlin adı da verilen, bir köpek ırkı
agentive-physical-object;['trabzon hurması', 'diospyros kaki', 'cennet hurması', 'cennet elması', 'trabzonhurması', 'japon hurması'];Bir ağaç türü ve bunun meyvesine verilen ad
agentive-physical-object;['muşmula', 'beşbıyık', 'ezgil', 'töngel', 'mespilus germanica'];Karadeniz `de muşmulaya verilen isim.
agentive-physical-object;['alageyik', 'dama dama', 'ala geyik', 'cervus dama', 'dama dama dama', 'yağmurca'];Bir geyik türü.
agentive-physical-object;['saka kuşu', 'saka', 'carduelis carduelis', 'avrupa altın ispinozu', 'avrupa sakası', 'sakakuşu'];Bir kuş türü (ornitoloji)
agentive-physical-object;['cava serçesi', 'cava ispinozu', 'cava pirinç kuşu', 'java serçesi', 'padda oryzivora', 'java i̇spinozu', 'java pirinç kuşu', 'lonchura oryzivora', 'java finch', 'java sparrow'];Ada direyinde ve Estrildidae familyasında yer alan küçük bir kuş türü.
agentive-physical-object;['karaca', 'capreolus capreolus'];Bir geyik türü
agentive-physical-object;['mustang', 'yabani at'];Genelde Amerika Birleşik Devletleri `nin batı eyaletlerinde sahipsiz, başıboş gezen yabanileşmiş atlar
agentive-physical-object;['sincap maymunu', 'saimiri', 'saimiriinae', 'sincapmaymunu', 'sincap maymun', 'ortak sincap maymun', 'saimiri sciureus', 'sincap maymunları'];Sincap maymunu `nun Almancası.
agentive-physical-object;['yalancı portakal ağacı', 'maclura pomifera', 'yalancı portakalağacı', 'osage turuncu', 'osage-turuncu', 'yay ahşap'];Dutgiller (Moraceae) familyasından 20 m `ye kadar boylanabilen geniş tepeli bir ağaç türü.
agentive-physical-object;['dağ bülbülügiller', 'prunellidae', 'bozboğangiller', 'dağ bülbülü', 'dağbülbülü', 'dağbülbülügiller', 'çit serçesi', 'çit serçesigiller', 'şarkıcı kuşugiller', 'şarkıcıkuşugiller', 'accentor'];Kuş türlerinin ortak adı.
agentive-physical-object;['ceylan', 'ceren', 'gazal', 'ahu', 'ceylanlar'];Bir gazal
agentive-physical-object;['pirana', 'caribe', 'piranha'];Ya da pirañas, Güney Amerika nehirlerinde yaşayan omnivor tatlısu balığı
agentive-physical-object;['vikunya', 'vicugna vicugna', 'vicuna', 'vicunya', 'vikunyalar', 'vicunas', 'vicuña'];Güney Amerika `da yaşayan bir hayvan.
agentive-physical-object;['karınca', 'formicidae', 'karıncalar', 'emmet'];Bir böcek türü.
agentive-physical-object;['at', 'beygir', 'equus caballus', 'at kaç kilodur', 'atlar', 'equus ferus caballus', 'caballus'];Memeli bir hayvan
agentive-physical-object;['sambar geyiği', 'cervus unicolor', 'sambar', 'hint elki', 'sambar geyik', 'sambur'];Geyikgiller familyasından bir geyik türü
agentive-physical-object;['bengal kaplanı', 'bengal kaplanları'];Hayvan türü
agentive-physical-object;['fasulye', 'phaseolus vulgaris', 'fasülye', 'ortak fasulye'];Bitki türü.
agentive-physical-object;['kebabe', 'kübabe', 'piper cubeba', 'hindistan eriği', 'hindistaneriği', 'kebabiye', 'java biber', 'kübabe asma'];Adada yetişen bir bitki.
agentive-physical-object;['kuş', 'aves', 'kuşlar', 'gerçek kuşlar', 'günümüz kuşları', 'neornithes', 'tüneme', 'avafauna', 'avifauna', 'roosting'];Sıcak kanlı, omurgalı ve yumurta ile üreyen hayvanlar sınıfı.
agentive-physical-object;['termit', 'termitler', 'isoptera', 'beyaz karınca', 'beyaz karıncalar'];Bir böcek türü
agentive-physical-object;['fulya', 'narcissus jonquilla'];Soğanlı bir bitki türü.
agentive-physical-object;['i̇mparator mantarı', 'amanita caesarea', 'sezar mantarı', 'kraliyet mantarı', "sezar'ın mantarı"];Yenilebilen bir mantar türü.
agentive-physical-object;['tibet atı', 'equus kiang', 'kiang', 'khyang'];Diğer bir adıyla Equus kiang, vahşi bir at türü.
agentive-physical-object;['kutup porsuğu', 'gulo gulo', 'ayı porsuğu', 'obur', 'volverin', 'wolverine', 'wolverines'];Sansar familyasından etçil bir memeli, porsuk.
amount-of-matter;['su', 'h2o', 'durgun su', 'h₂o', 'su molekülü', 'suyun vücuttaki görev', 'sıvı su'];Sıvı halde bulunan bileşik.
amount-of-matter;['hidrojen florür'];Su iyonları ile birleşerek Hidroflorik asiti oluşturan kimyasal bileşik
amount-of-matter;['petrol', 'ham petrol', 'yer yağ', 'yer yağı', 'yeryağ', 'yeryağı', 'akaryakıt', 'fosil petrol', 'gaz dağıtım', 'ham', 'konvansiyonel petrol', 'madeni yağ', 'petrol yakıt'];Yeraltından çıkarılmış doğal yanıcı mineral yağ
amount-of-matter;['hafniyum', 'hf', 'atom numarası 72'];Bir kimyasal element
amount-of-matter;['cıva', 'civa', 'cıvanın kullanıldığı alanlar', 'atom numarası 80', 'cıva kirliliği', 'hydrargyrum'];Cıva elementinin İngilizce adı
amount-of-matter;['titanyum', 'titan', 'ti', 'titanium', 'atom numarası 22'];Bir kimyasal element
amount-of-matter;['renyum', 're', 'atom numarası 75'];Renyum elementinin simgesi
amount-of-matter;['prometyum', 'pm', 'atom numarası 61'];Atom numarası 61, atom ağırlığı 145 olan, nadir topraklar grubundan bir element.
amount-of-matter;['akışkan', 'sıvı'];Gazları, plazmaları ve bazı durumlarda plastik katıları (eriyik) kapsayan, maddenin hallerinin bir altkümesidir.
amount-of-matter;['bor', 'bor madeni', 'b', 'bor mineralleri', 'bor oluşumu', 'bor üretimi', 'borun kullanım alanları', 'atom numarası 5', 'bor-10'];Kimyasal bir element.
amount-of-matter;['pirinç', 'brassware'];Bir alaşım türü
amount-of-matter;['i̇zolösin', 'izolösin'];DNA tarafından kodlanan 20 temel aminoasitten biri olan İzolösin `in simgesi
amount-of-matter;['katran'];Organik maddenin yıkıcı damıtımından elde edilen akışmaz siyah bir sıvı
amount-of-matter;['brendi', 'kanyak', 'brandy', 'üzüm ruhu'];TDK `nın tanımına göre, damıtılmış şaraptan üretilen yüksek dereceli ispirtonun gelen adı. Kanyak. Fakat gerçekte Brendi.
amount-of-matter;['ester', 'diester', 'ester bağı birleştirilir', 'esterfication', 'karboksilik ester', 'metil ester'];Kimya `da bir hidroksil grubundaki hidrojen atomunun bir organik grup ile yer değiştirmiş olduğu organik bileşiklere verilen isim.
amount-of-matter;['konyak', 'cognac', 'kanyak', 'borderies'];Fransa `da Cognac ve civarında üretilen brendi.
amount-of-matter;['madde', 'özdek', 'fiziksel madde'];Duyularla algılanabilen, bölünebilen, ağırlığı olan nesne, özdekdir.
amount-of-matter;['bloody mary'];Bir içki türü
biological-object;['diyafram', 'böleç'];Canlılarda bulunan kas
biological-object;['corpus callosum', 'korpus callosum', 'korpus kallozum', 'korpus kallosum'];Beynin her iki lobu arasındaki bilgi iletişimini sağlayan sinir ağlarından oluşan yapı
biological-object;['rahim', 'dölyatağı', 'uterus', 'ana rahmi', 'serviks uteri', 'intrauterin'];Kadın gebelik organı (döl yatağı)
biological-object;['endospor', 'endosporlar'];Bakterilerin uygunsuz ortamlarda uzun süre yaşamak için oluşturdukları yapı
biological-object;['lenf damarı', 'lenf damarları', 'afferent lenf damarı'];Ince duvarlı, vücutta lenfi taşıyan kanallar.
biological-object;['kan damarı', 'damar', 'kan damarları', 'avasküler', 'intravasküler', 'vasküler'];Vücutta kanı taşıyan kanallar.
