abstract-region;['скаларна физичка величина', 'скалар'];Еднодимензионална физичка величина
agentive-figure;['држава', 'суверена држава', 'народ', 'нација', 'државата', 'држави'];Политичка организација со централизирана управа што има самобитност и независна власт врз дадено географско подрачје
agentive-figure;['велесила', 'суперсила'];Држава со голема моќ и влијание да го наметне својот интерес врз други држави
agentive-figure;['јато'];Воздухопловна единица
agentive-figure;['совет на економските советници'];Државен орган на САД
agentive-figure;['академија', 'универзитет'];Високообразовно-истражна установа
agentive-figure;['европска унија', 'европска економска заедница', 'еез', 'европска заедница', 'европската унија', '🇪🇺', 'еу'];политичко-економски сојуз на европски земји
agentive-figure;['црвен крст и црвена полумесечина', 'црвен крст', 'црвена полумесечина', 'меѓународен комитет на црвениот крст', 'меѓународниот комитет на црвениот крст', 'црвената полумесечина', 'црвениот крст'];Меѓународна хуманитарна организација
agentive-figure;['организација на обединетите нации', 'обединети нации', 'обединетите нации', 'он', 'оон', 'организацијата на он'];Светска меѓувладина организација
agentive-figure;['големо стапало', 'големото стапало', 'бигфут', 'сасквоч'];мајмунолик криптид од Северна Америка
agentive-figure;['шиизам', 'шии', 'шиити', 'шиитски ислам', 'шиитизам', 'шиитите', 'шиитски'];Гранка на исламот
agentive-figure;['чета'];Воена единица
agentive-figure;['грчко православие', 'грчка правосла́вна црква'];Појаснителна страница
agentive-figure;['кралско воено воздухопловство', 'raf', 'раф'];Воздухопловните сили на Британската војска
agentive-figure;['советски сојуз', 'сојуз на советските социјалистички републики', 'ссср', 'советскиот сојуз', 'cccp', 'советска русија', 'советски', 'сојуз на советски социјалистички републики', 'сојузот на советски социјалистички републики', 'сојузот на советските социјалистички републики'];земја во Европа и Азија од 1922 до 1991 г.
agentive-figure;['националсоцијалистичка германска работничка партија', 'нацистичка партија', 'нсдап', 'нсгрп', 'nsdap', 'националсоцијалистичката германска работничка партија', 'нацистичка партија на германија', 'нацистичката партија'];Политичка партија во Германија од 1920 до 1945 г.
agentive-figure;['сојузна армија'];Армија на Северот во Граѓанската војна во САД
agentive-physical-object;['наметната гвереза', 'colobus guereza', 'гвереза', 'црно--бела гвереза'];Вид мајмун
agentive-physical-object;['црвенонога тринга', 'uрвенонога тринга', 'tringa totanus'];Вид птица
agentive-physical-object;['бор', 'ducampopinus', 'pinoideae', 'pinus', 'strobus'];Иглолисно дрво од семејството на боровите
agentive-physical-object;['грибло', 'бра́на', 'гребло', 'грибла'];Земјоделско орудие
agentive-physical-object;['изоп', 'hyssopus officinalis', 'милодух'];Вид растение
agentive-physical-object;['пастрмка', 'cerioporus squamosus', 'polyporus squamosus'];Вид трат
agentive-physical-object;['рапава лушпарка', 'pholiota squarrosa'];Вид габа
agentive-physical-object;['верверици', 'sciuridae', 'верверица'];Семејство глодачи
agentive-physical-object;['сметач', 'компјутер', 'дигитален компјутер', 'компјутери', 'компјутерите', 'компјутерот', 'сметачи', 'сметачот'];Општонаменски уред што се програмира и е наменет за вршење на аритметички и логички операции
agentive-physical-object;['коцкарски автомат', 'еднорак бандит', 'еднорак џек', 'слот машина'];Машина за играње коцкарски игри
agentive-physical-object;['смрдлика', 'pistacia terebinthus'];Вид растение
agentive-physical-object;['пес', 'куче', 'canis lupus familiaris'];Домашно животно
agentive-physical-object;['американски ликвидамбар'];вид дрво
agentive-physical-object;['кандилки', 'кандилка', 'aquilegia'];Род растенија
agentive-physical-object;['трепкари', 'ciliata', 'ciliophora', 'цилофори'];Колено праживотни
agentive-physical-object;['руј', 'rhus', 'сумак'];Род растенија
agentive-physical-object;['личен сметач', 'pc', 'лични сметачи', 'личниот сметач', 'лс', 'персонален компјутер', 'персонален сметач'];elektronski ured što gi čuva i obrabotuva podatocite spored spisokot so vodiči
agentive-physical-object;['трнинка', 'трнка', 'црн трн', 'prunus spinosa', 'трненка'];Вид растение
agentive-physical-object;['еукалиптус', 'евкалиптус'];Род растенија
agentive-physical-object;['јонски погон', 'јонски двигател', 'јонски мотор', 'јонски потисник'];вид погон
agentive-physical-object;['долгоопашести сипки', 'aegithalidae'];Семејство птици
agentive-physical-object;['песочници'];Потсемејство инсекти
agentive-physical-object;['грмушни сврачиња', 'malaconotidae'];Семејство птици
agentive-physical-object;['скинкови', 'scincidae', 'скинк'];Семејство гуштери
agentive-physical-object;['андроид', 'хуманоид', 'човеколико суштество', 'човеколик робот'];Суштество со претежно човечки изглед
agentive-physical-object;['лангач', 'џукела', 'мешанец', 'мелез', 'џуке́ла', '’ртка'];Куче од мешани раси
agentive-physical-object;['полска класатка', 'bromus arvensis', 'полска класица'];Вид растение
agentive-physical-object;['лепавец', 'galium aparine'];Вид растение
agentive-physical-object;['сончоглед'];Вид маслодајно растение
agentive-physical-object;['песнопојни', 'oscines', 'passeri', 'песнопојки', 'песнопојни птици', 'песнопојка', 'песнопојна птица'];Подред птици
agentive-physical-object;['смрча', 'picea', 'piceoideae', 'смрчата', 'смрчи'];Род растенија
agentive-physical-object;['риба'];Храна
agentive-physical-object;['јам'];Коренест плод што се одгледува во јужните краишта
agentive-physical-object;['пескари'];Подред птици
agentive-physical-object;['потковичари', 'rhinolophidae'];Семејство лилјаци
agentive-physical-object;['рајски птици', 'paradisaeidae'];Семејство птици
agentive-physical-object;['ариш', 'larix', 'ариши'];Род на четинари
agentive-physical-object;['земјени болви'];Поткласа членконоги
agentive-physical-object;['дневен лилјан', 'hemerocallis'];Род растенија
agentive-physical-object;['вистински патки', 'anatinae'];Потсемејство на птици
agentive-physical-object;['ѕвингалки', 'fringillidae'];Семејство птици
agentive-physical-object;['браздести китови', 'balaenopteridae'];Семејство цицачи
agentive-physical-object;['мускат'];Винска сорта
agentive-physical-object;['зебра', 'zebra', 'зебри'];животно ишарано со црно-бели линии од фамилијата на коњи
agentive-physical-object;['моски лав', 'otariinae', 'морски лавови'];Потсемејство ушести фоки
agentive-physical-object;['врапци', 'врапчиња'];Семејство птици
agentive-physical-object;['љубичица', 'темјанушка', 'viola', 'љубичици'];Род растенија
agentive-physical-object;['сеничарки', 'ptilonorhynchidae'];Семејство птици
agentive-physical-object;['пони'];Мал коњ
agentive-physical-object;['преживање'];начин на варење на храната кај некои цицачи
agentive-physical-object;['зелкови култури', 'зелка', 'зе́лка', 'brassica oleracea', 'дива зелка'];Појаснителна страница на Википедија
agentive-physical-object;['пепелница'];Неколку вида габични болести кај растенијата
agentive-physical-object;['жалфија', 'salvia'];Род растенија
agentive-physical-object;['жедник', 'sedum'];Род растенија
agentive-physical-object;['квасец', 'квасеци', 'квасци'];група габи
agentive-physical-object;['ползачи', 'certhiidae'];Семејство птици
agentive-physical-object;['лазачки', 'sittidae'];Семејство птици
agentive-physical-object;['опашкари', 'urodela', 'опашести водоземци', 'дождалец', 'дождовник'];Ред водоземци
agentive-physical-object;['кукурек', 'helleborus'];Род растенија
agentive-physical-object;['матрун', 'acanthus', 'акант'];Род растенија
agentive-physical-object;['слезовина', 'хибискус'];Род растенија
agentive-physical-object;['стевија', 'stevia'];Род растенија
agentive-physical-object;['велигденче', 'veronica'];Род растенија
agentive-physical-object;['лобелија', 'lobelia'];Род растенија
agentive-physical-object;['мушмулица', 'cotoneaster'];Род растенија
agentive-physical-object;['пелин', 'бел пелин', 'artemisia absinthium', 'пелинот'];Вид растение
agentive-physical-object;['мајци', 'meloidae'];Семејство инсекти
agentive-physical-object;['обична комуника'];Вид растение
agentive-physical-object;['клунорози', 'bucerotidae'];Семејство птици
agentive-physical-object;['срценица', 'ѓаволско усте', 'ѓаволска уста'];Вид растение
agentive-physical-object;['остригари', 'власте́лица-о́стригар', 'haematopus'];род птици
agentive-physical-object;['мразовец', 'colchicum autumnale', 'есенски мразовец'];Вид растение
agentive-physical-object;['оклопник', 'оклопници', 'dasypodidae'];Семејство цицачи
agentive-physical-object;['дива камилица', 'tanacetum parthenium'];Вид растение
agentive-physical-object;['конопен кучешки чемер', 'apocynum cannabinum', 'кендра'];Вид растение
agentive-physical-object;['смрдлива коприва', 'galeopsis tetrahit'];Вид растение
agentive-physical-object;['див праз', 'allium ampeloprasum', 'широколистен див праз'];Вид растение
agentive-physical-object;['кафеав стаорец', 'rattus norvegicus', 'стаорец-скитник', 'стаорец скитник'];Вид глодач
agentive-physical-object;['полски шампињон', 'agaricus campestris', 'полска печурка'];Вид печурка
agentive-physical-object;['кандилка', 'aquilegia vulgaris'];Вид растение
agentive-physical-object;['европска страчка'];Вид птица
agentive-physical-object;['ленолист', 'linaria vulgaris', 'обичен ленолист'];Вид растение
agentive-physical-object;['црн стаорец', 'rattus rattus', 'домашен стаорец'];Вид глодач
agentive-physical-object;['сива верверица', 'sciurus carolinensis', 'источна сива верверица'];Вид глодач
agentive-physical-object;['вратика', 'вратига', 'tanacetum vulgare', 'обична вратика'];Вид растение
agentive-physical-object;['дива капина', 'сина капина'];Вид растение
agentive-physical-object;['кардинали'];Семејство птици
agentive-physical-object;['плетиплотка'];Гоџи
agentive-physical-object;['обична заечка', 'cytisus scoparius'];Вид растение
agentive-physical-object;['црвена удика', 'viburnum opulus'];Вид растение
agentive-physical-object;['полски рожец', 'cerastium arvense'];Вид растение
agentive-physical-object;['безосилеста класатка', 'bromus inermis', 'безосилеста класица'];Вид растение
agentive-physical-object;['крзнена фока', 'arctocephalinae', 'крзнени фоки', 'морска мачка', 'морски мачки'];Појаснителна страница
agentive-physical-object;['морски краставици', 'морска краставица', 'holothuroidea'];Класа иглокожи животни
agentive-physical-object;['лигави јагули', 'myxinidae', 'миксини'];Семејство риби
agentive-physical-object;['морски слонови', 'mirounga'];Род цицачи
agentive-physical-object;['тринга', 'tringa'];Род птици
agentive-physical-object;['мошусен слез', 'malva moschata'];вид растение
agentive-physical-object;['црвена детелина', 'trifolium pratense'];Вид растение
agentive-physical-object;['гребенест пиреј', 'agropyron cristatum'];Вид растение
agentive-physical-object;['градинарски каранфил', 'dianthus caryophyllus'];Растение од родот каранфил
agentive-physical-object;['крстенец', 'senecio vulgaris', 'драгошец', 'обичен драгошец', 'обичен крстенец'];Вид растение
agentive-physical-object;['какол', 'agrostemma githago', 'нивски какол'];вид растение
agentive-physical-object;['влакнеста бреза', 'betula pubescens'];Вид растение
agentive-physical-object;['гавез', 'symphytum officinale', 'обичен гавез'];Вид растение
agentive-physical-object;['губар', 'lymantria dispar', 'обичен губар'];вид инсект
agentive-physical-object;['обична пијанка', 'lolium perenne', 'обична ’ржена трева', 'повеќегодишна пијанка', 'повеќегодишна ’ржена трева'];Вид растение
agentive-physical-object;['здрал', 'erodium cicutarium'];Вид растение
agentive-physical-object;['мечкино грозје', 'arctostaphylos uva-ursi', 'обично мечкино грозје'];Вид од истоимениот род на растенија
agentive-physical-object;['мурена', 'muraenidae', 'мурени'];Семејство риби
agentive-physical-object;['мачка', 'felis silvestris catus'];Домашно животно
agentive-physical-object;['hind'];Женско лично име
agentive-physical-object;['воденопапратовидни', 'salviniales'];Ред растенија
agentive-physical-object;['антилопа', 'антилопи'];Назив за разни видови парнокопитни цицачи
agentive-physical-object;['мачкина опашка', 'phleum pratense'];Вид растение
agentive-physical-object;['сколовранци', 'sturnus vulgaris', 'sturnidae'];Семејство птици
agentive-physical-object;['свилена буба', 'bombyx mori'];Вид инсект
agentive-physical-object;['зајачко стапало', 'geum urbanum'];Вид растение
agentive-physical-object;['еи', 'е́ја', 'жабари', 'circinae', 'circus', 'еја', 'жабар'];Потфамилија на грабливи птици
agentive-physical-object;['обичен граор', 'vicia sativa', 'обична глушина'];Вид растение
agentive-physical-object;['скуша', 'атлантска скуша', 'scomber scombrus', 'скушата', 'скушите'];Вид риба од фамилијата скуши
agentive-physical-object;['растителни оси', 'symphyta'];Подред инсекти
agentive-physical-object;['татула', 'datura stramonium', 'магарешки костен'];Вид растение
agentive-physical-object;['надувалка', 'bitis arietans'];Вид змија
agentive-physical-object;['голема сина чапја', 'ardea herodias'];Вид птица
agentive-physical-object;['европска бука'];Вид дрво
agentive-physical-object;['медицинска пијавица', 'hirudo medicinalis'];Вид пијавица
agentive-physical-object;['обичен јоргован', 'syringa vulgaris'];Вид растение
agentive-physical-object;['орангутан', 'pongo', 'орангутани'];Род цицачи
agentive-physical-object;['кокаљка', 'podiceps cristatus', 'голем нуркач', 'цуцулест нуркач', 'шатор'];Птица
agentive-physical-object;['дабар', 'castor'];Род цицачи
agentive-physical-object;['кинеска слезовина', 'hibiscus rosa-sinensis', 'кинеска роза'];Вид растение
agentive-physical-object;['орикс антилопа'];вид на цицач
agentive-physical-object;['шароле', 'charolais'];Раса говеда
agentive-physical-object;['долгоноги комарци', 'tipulidae'];Семејство инсекти
agentive-physical-object;['ползечко среќниче', 'ajuga reptans'];Вид растение
agentive-physical-object;['париче', 'bellis perennis', 'маргаритка'];Вид растение
agentive-physical-object;['американски ариш', 'larix laricina', 'тамарак'];Вид растение
agentive-physical-object;['сива смрча', 'picea glauca', 'бела смрча'];Вид растение
agentive-physical-object;['дрекавец', 'alouatta', 'дрекавци'];Род мајмуни
agentive-physical-object;['жолни', 'oriolidae'];Семејство птици
agentive-physical-object;['трева'];Вид растение
agentive-physical-object;['индиски лотос', 'лотос', 'nelumbo nucifera', 'оревоносен лотос', 'индијски лотос'];Вид растение
agentive-physical-object;['арапски билбили', 'pycnonotidae'];Семејство птици
agentive-physical-object;['опосум', 'опосуми', 'опосумолики'];Семејство торбари
agentive-physical-object;['утковидни', 'був', 'ут', 'утка', 'strigiformes'];Ред птици
agentive-physical-object;['киви', 'apteryx', 'кивија'];Род безлетни птици
agentive-physical-object;['шумски глушец', 'apodemus sylvaticus'];Вид глодач
agentive-physical-object;['високочелен кит', 'клунести китови', 'hyperoodon', 'hyperoodon ampullatus', 'клунест кит'];Род китови
agentive-physical-object;['сонцељубива млечка', 'euphorbia helioscopia'];Вид растение
agentive-physical-object;['стока', 'добиток'];Домашни животни во селското стопанство
agentive-physical-object;['планинска горила', 'gorilla beringei beringei'];Подвид на горила
agentive-physical-object;['јасика', 'populus tremula', 'трепетлика'];Вид растение
agentive-physical-object;['лејка', 'lagenaria siceraria', 'обична лејка'];Вид растение
agentive-physical-object;['бела имела', 'имела', 'обична имела', 'viscum album'];Вид растение
agentive-physical-object;['обична коприва', 'коприва', 'urtica dioica'];Вид растение
agentive-physical-object;['луковичесто лутиче', 'ranunculus bulbosus'];вид растние
agentive-physical-object;['ѓумбир', 'ѓу́мбир', 'zingiber officinale'];Вид растение
agentive-physical-object;['обичен парнолисник'];Вид растение
agentive-physical-object;['капибара', 'hydrochoerus hydrochaeris'];Вид глодач
agentive-physical-object;['парнокопитни', 'artiodactyla', 'парнокопитни животни', 'парнопрсни'];Папкари
agentive-physical-object;['морска трева'];Разни видови алги
agentive-physical-object;['водно лутиче', 'ranunculus aquatilis'];вид растение
agentive-physical-object;['мувоморка', 'amanita muscaria', 'црвена мувоморка'];Вид печурки
agentive-physical-object;['буника', 'црна буника', 'hyoscyamus niger'];Вид растение од фамилијата зрнци
agentive-physical-object;['срамежлива мимоза', 'mimosa pudica'];Вид растение
agentive-physical-object;['глодари', 'глодар', 'глодачи', 'rodentia', 'rodent'];Ред цицачи
agentive-physical-object;['бумбар', 'земна пчела', 'bombus'];Род инсекти
agentive-physical-object;['лиски', 'fulica'];Род птици
agentive-physical-object;['сакати мајмуни', 'colobinae', 'витки и сакати мајмуни'];Потсемејство цицачи
agentive-physical-object;['поткорници'];Потсемејство инсекти
agentive-physical-object;['цибетки', 'viverridae'];Семејство цицачи
agentive-physical-object;['лопушник', 'лопур', 'petasites hybridus'];Вид растение
agentive-physical-object;['пловечка водена папрат', 'salvinia natans', 'обична водена папрат'];Вид водно растение
agentive-physical-object;['мошусни елени', 'moschus'];Род цицачи
agentive-physical-object;['сипки', 'сенка', 'сипка', 'paridae'];Семејство птици
agentive-physical-object;['египетски мршојадец', 'neophron percnopterus', 'мал мршојадец'];Вид птица
agentive-physical-object;['водни молци', 'trichoptera'];Ред инсекти
agentive-physical-object;['ровчици', 'soricidae', 'ријачки'];Семејство цицачи
agentive-physical-object;['попче', 'попчиња'];Семејство прици
agentive-physical-object;['црна смрча', 'picea brevifolia', 'picea mariana'];Вид растение
agentive-physical-object;['четирипрсни мравојади', 'четирипрстен мравојад', 'tamandua', 'tamandua tetradactyla', 'мал мравојад', 'тамандуа', 'тамандуи', 'јужна тамандуа'];Род цицачи
agentive-physical-object;['ф’стак'];Вид растение
agentive-physical-object;['медоносна пчела', 'западна медоносна пчела', 'медоносна пчеча', 'apis', 'apis mellifera', 'европска медоносна пчела'];Род инсекти
agentive-physical-object;['оса', 'оси'];Членови на редот на ципокрилците (Hymenoptera) кои не се ниту мравки, ниту пчели (спор. Q1065202, Q1076176)
agentive-physical-object;['дроздови', 'дрозд', 'turdidae'];Семејство птици
agentive-physical-object;['газела-скокач', 'antidorcas marsupialis', 'спрингбок'];Вид антилопа од југозападна Африка
agentive-physical-object;['вилино сито', 'carlina acaulis'];Вид растение
agentive-physical-object;['свилена буба', 'bombyx mori'];Вид инсект
agentive-physical-object;['син евкалиптус', 'топчест евкалиптус'];Вид растение
agentive-physical-object;['широколистен рогоз', 'typha latifolia', 'широколсен рогоз'];Вид растение
agentive-physical-object;['луфа', 'luffa'];Род растенија
agentive-physical-object;['невен', 'calendula officinalis'];Вид растение
agentive-physical-object;['комодски варан', 'ко́модски ва́ран', 'комодски змеј', 'biawak komodo', 'dragon de komodo', 'dragão-de-komodo', 'dragó de komodo', 'joka wa komodo', 'komoda varano', 'komodo dragon', 'komodo ejderi', 'komodo varaan', 'komodo varanas', 'komodo varāns', 'komodo zmaj', 'komodoko dragoi', 'komodonvaraani', 'komodovaraan', 'komodovaran', 'komodowaran', 'komodoški varan', 'komodski varan', 'komodói varánusz', 'kómódódreki', 'rồng komodo', 'tiníléí tsoh', 'tiníléítsoh', 'varan komodo', 'varan komodský', 'varanus komodoensis', 'waran z komodo', 'δράκος του κομόντο', 'варан камодзкі', 'варан камодскі', 'калтакалос', 'комодский варан', 'комодський варан', 'דרקון קומודו', 'اژدهای کومودو', 'تنين كومودو', 'कोमोडो ड्रैगन', 'কোমোডো ড্রাগন', 'கொமோடோ டிராகன்', 'കൊമോഡോ ഡ്രാഗൺ', 'มังกรโคโมโด', 'ကိုမိုဒိုနဂါး', 'コモドオオトカゲ', '科摩多巨蜥', '科莫多巨蜥', '코모도왕도마뱀'];Голем гуштер од Индонезија
agentive-physical-object;['еленчиња', 'lucanidae', 'еленаци'];Семејство инсекти
agentive-physical-object;['клунест делфин', 'tursiops truncatus'];Вид морски цицач
agentive-physical-object;['едноотворни'];Цицачи што несат јајца
agentive-physical-object;['горчлива диња', 'momordica charantia', 'карела'];Вид зеленчук од семејството на тиквите
agentive-physical-object;['двогрба камила', 'camelus bactrianus', 'бактриска камила'];Вид камила
agentive-physical-object;['лебен квасец', 'saccharomyces cerevisiae', 'пекарски квасец', 'пивски квасец'];Вид габа
agentive-physical-object;['папагаловидни', 'папага́л', 'psittaciformes', 'папагал'];Род на птици
agentive-physical-object;['еленчиња', 'глувчести елени'];Семејство цицачи
agentive-physical-object;['комароловки'];Семејство птици
agentive-physical-object;['песочници', 'ammodytidae', 'ammodytoidei'];Семејство риби
agentive-physical-object;['песочници', 'ammodytidae', 'ammodytoidei'];Појаснителна страница
agentive-physical-object;['четирилисна разноротка', 'marsilea quadrifolia', 'водна детелина', 'четирилисна детелина'];Вид растение
agentive-physical-object;['пијанец', 'пијанка', 'lolium temulentum', 'дива лулка', '’ржена трева', 'рајграс'];Вид растение
agentive-physical-object;['толчница', 'обична толчница'];Вид растение
agentive-physical-object;['безлистен граор'];Вид растение
agentive-physical-object;['белокрилка', 'trialeurodes vaporariorum'];Вид инсект
agentive-physical-object;['термити', 'isoptera', 'термит'];Група инсекти
agentive-physical-object;['куркума', 'curcuma longa', 'долга куркума'];Вид растение
agentive-physical-object;['ѕидна дворетка', 'diplotaxis muralis', 'обична дворетка'];Вид растение
amount-of-matter;['натриум флуорид', 'naf', 'натриум монофлуорид'];Хемиско соединение
amount-of-matter;['азот', 'n', 'азотни соединенија', 'азотно соединение', 'органоазотно соединение'];Хемиски елемент
amount-of-matter;['манган', 'mn'];Хемиски елемент со атомски број 25
amount-of-matter;['магнезиум', 'mg'];хемиски елемент со атомски број 12
amount-of-matter;['моклиште'];Област која е постојано или сезонски покриена со вода
amount-of-matter;['масло', 'масла'];Вискозна течност
amount-of-matter;['сребро', 'ag'];Хемиски елемент од редот на благородните метали
amount-of-matter;['иперит'];Хемиско соединение
amount-of-matter;['бензин'];Бистро гориво добиено од нафта
amount-of-matter;['вар', 'калциум оксид', 'креч', 'негасена вар'];неоргански материјал со калциум
amount-of-matter;['кумис'];Ферментиран млечен пијалок
amount-of-matter;['пијалак', 'напиток', 'пијалок'];Течност предвидена да се пие од човек
amount-of-matter;['белковина', 'протеин', 'белковини', 'белковините', 'структурен протеин', 'структурна белковина', 'структурни белковини', 'структурни протеини'];Биолошка молекула која се состои од вериги од аминокиселински остатоци
amount-of-matter;['алкохол'];Семејство органски соединенија
amount-of-matter;['шери', 'херез', 'херес'];Шпанско закрепнато вино
amount-of-matter;['бургундско вино', 'бургоњ'];Вино од Бургундскиот винарски крај во Фрнација
amount-of-matter;['света вода'];Список на статии на Викимедија
biological-object;['хипоталамус'];Долен дел од таламусот
biological-object;['шепа'];Меко стапало кај животните
biological-object;['луковица'];Складиштен орган кај некои растенија
biological-object;['кожа'];Орган на телото
biological-object;['желад', 'буклинка', 'буклинки', 'желади', 'желадите', 'желадот'];Плод на дабот и буката
biological-object;['јаболко', 'јаболка'];Плод на јаболкница
biological-object;['трепка', 'трепки'];Наменска органела кај микроорганизмите
biological-object;['питаја', 'змејско овошје'];Плод на неколку видови кактуси
biological-object;['пипка', 'антена', 'антени', 'пипки'];Сетилен орган кај инсектите
biological-object;['прешлен', 'пршлен'];Коска во’рбетниот столб
biological-object;['песјак', 'кучешки заб', 'очник'];Заб кај цицачите, сместен меѓу секачот и катникот
biological-object;['тестис', 'јајце', 'тестиси'];мобилен тестис и неспуштен тестис
biological-object;['осилка'];Бодликав продолжеток кај класестите растенија
biological-object;['бураг', 'румен'];Една од желудочните комори кај преживарите
biological-object;['сириште', 'абомасум'];Една од желудочните комори кај преживарите
biological-object;['мрежавец', 'ретикулум'];Една од желудочните комори кај преживарите
biological-object;['систем за дишење', 'анатомија на респираторен систем', 'дишен систем', 'респираторен систем'];респираторен систем
biological-object;['ректум', 'право црево', 'чмарно црево'];Последен дел на цревата во утробата
biological-object;['листавец', 'омасум'];Една од желудочните комори кај преживарите
biological-object;['гласилка', 'syrinx', 'сиринкс'];Гласовен орган во долниот дел на грлото кај птиците
causal-role;['противмикробно средство', 'антимикробен агенс'];појаснителна страница на Викимедија
chemical-object;['белковина', 'протеин', 'белковини', 'белковините', 'структурен протеин', 'структурна белковина', 'структурни белковини', 'структурни протеини'];Биолошка молекула која се состои од вериги од аминокиселински остатоци
classification-system;['појдовен систем', 'координатен систем', 'референтен систем', 'појдовна рамка', 'вртежен појдовен систем'];Систем што ја опишува точната положба на една точка или друг геометриски елемент
classification-system;['појдовен систем', 'координатен систем', 'референтен систем', 'појдовна рамка', 'вртежен појдовен систем'];Апстрактен координатен систем во физиката
cognitive-event;['поединување', 'индивидуација'];поим во психологијата, филозофијата и социологијата кој го означува начинот на кој една ствар се разликува себеси од другите нешта
cognitive-event;['мирис'];Она што го чувствува носот
cognitive-event;['природонаука', 'природознание', 'природонаучен музеј', 'природонаучни музеи', 'природонаучник'];Изучување на организми како растенијата и животните во нивната средина
cognitive-modal-description;['социјализам', 'социјализмот', 'социјалист'];Политичка идеологија
cognitive-modal-description;['социјалдемократија', 'социјал-демократи', 'социјал-демократија'];Политичка идеологија
commerce-role;['добро', 'стока', 'артикл', 'роба', 'артикал', 'артикли', 'добра', 'стоки'];Единица произведена за задоволување на побарувачка или потреба
course;['пројава'];Физичко отелотворение на информациски артефакт
course;['излетување'];Вид железниќка несреќа
course;['економски циклус', 'деловен циклус'];Појаснителна страница на Викимедија
dependent-place;['шпионка', 'шпиунка'];стаклена проѕирка во врата
dependent-place;['расксрница', 'крстопат'];место каде се сечат два или повеќе пата
ecological-collective;['свет', 'чо́вештво', 'световност', 'светот'];Планетата Земја и сиот жив свет на неа
ecological-collective;['шума', 'шумата', 'шуми', 'шумите'];Подрачје густо обраснато со дрвја
event;['замав', 'амплитуда'];Физичка величина
event;['скок со стап'];Атлетичка дисциплина
event;['knell'];Презиме (Knell)
functional-matter;['тако', 'такос', 'taco'];Мексиканско јадење што се состои од пченка или пченица тортила здипли или валани околу пополнување
functional-matter;['производ', 'продукет', 'продукт'];Изведеното од една хемиска реакција
functional-matter;['мусковит'];Минерал
functional-matter;['креда'];Вид мека карпа
