agentive-figure;['kereke ea chache'];Kereke ea Chache
political-geographic-object;['hôlanê'];Hôlanê ke naha wa Uropa.
political-geographic-object;['lesotho', 'basutoland', 'mmuso wa lesotho', 'basotuland'];Lesotho ke naha e boroa ho Afrika e teetsoeng hare ke naha ea Afrika Boroa.
political-geographic-object;['lesotho', 'basutoland', 'mmuso wa lesotho', 'basotuland'];Basutoland ene ele tlasa puso ya BRITISH e qadilweng ka selemo sa 1884 ka lebaka la hohloka taolo ha balwanedi ba CAPE COLONY.
political-geographic-object;['japane'];Japane (ja: 日本), lefatshe ka Asia e nang le baahi ba fetang 126,990,000 (2015) ka palo.
political-geographic-object;['djibouti'];Djibouti ke naha wa Afrika e nang le baahi ba fetang 810,179 ka palo.
political-geographic-object;['namibia'];Namibia ke naha wa Afrika e nang le baahi ba fetang 2,031,000 ka palo (2011).
political-geographic-object;['mauritania'];Mauritania ke naha wa Afrika e nang le baahi ba fetang 3,069,000 (2009) ka palo.
political-geographic-object;['equatorial guinea'];Equatorial Guinea ke naha wa Afrika e nang le baahi ba fetang 1 221 490 ka palo.
political-geographic-object;['comoros'];Comoros ke naha wa Afrika e nang le baahi ba fetang 798,000 (2010) ka palo.
political-geographic-object;['engelane', 'engêlanê'];Lepetjo: Dieu et mon droit
political-geographic-object;['morocco'];Morocco ke naha wa Afrika e nang le baahi ba fetang 33 848 242 ka palo.
political-geographic-object;['spain', 'reino de españa'];Spain naha ka Europa.
political-geographic-object;['chad'];Chad ke naha wa Afrika.
political-geographic-object;['uganda'];Uganda ke naha wa Afrika e nang le baahi ba fetang 41 487 965 ka palo.
political-geographic-object;['malawi'];Malawi ke naha wa Afrika e nang le baahi ba fetang 18 091 575 ka palo.
political-geographic-object;['zimbabwe'];Zimbabwe ke naha wa Afrika e nang le baahi ba fetang 16 150 362 ka palo.
political-geographic-object;['mali'];Mali ke naha wa Afrika e nang le baahi ba fetang 19,553,397 ka palo.
political-geographic-object;['swatsing', 'eswatini'];Swatsing ke naha wa Afrika e nang le baahi ba fetang 1 343 098 ka palo.
political-geographic-object;['austria'];Austria ke naha wa Uropa e nang le baahi ba fetang 8 794 267 ka palo.
political-geographic-object;['dubrovnik'];Dubrovnik ke motse wa Kroatia, ka Uropa.
political-geographic-object;['rwanda'];Rwanda ke naha wa Afrika e nang le baahi ba fetang 11 262 564 ka palo.
political-geographic-object;['zambia'];Zambia ke naha wa Afrika e nang le baahi ba fetang 16 591 390 ka palo.
political-geographic-object;['rephabliki ya demokrasi ya kongo'];Rephabliki ya Demokrasi ya Kongo ke naha wa Afrika.
political-geographic-object;['hungary'];Hungary ke naha wa Uropa e nang le baahi ba fetang 9,982,000 ka palo.
political-geographic-object;['poland'];Poland (pl.
political-geographic-object;['burundi'];Burundi ke naha wa Afrika e nang le baahi ba fetang 7,548,000 ka palo.
political-geographic-object;['tanzania'];Tanzania ke naha wa Afrika e nang le baahi ba fetang 38,849,133 ka palo.
political-geographic-object;['guinea'];Guinea ke naha wa Afrika e nang le baahi ba fetang 9,402,000 ka palo.
political-geographic-object;['somalia'];Somalia ke naha wa Afrika e nang le baahi ba fetang 9,832,017 ka palo.
political-geographic-object;['vietnam'];Vietnam (Se-vietnam:Việt Nam), lefatshe ka Asia.
political-geographic-object;['libya'];Libya ke naha wa Afrika e nang le baahi ba fetang 6 293 253 ka palo.
political-geographic-object;['jeremane', 'tôitšhi'];Jeremane ke naha ya Uropa.
political-geographic-object;['sudan'];Sudan ke naha wa Afrika e nang le baahi ba fetang 39 578 828 ka palo.
political-geographic-object;['egepeta'];Egepeta ke naha wa Afrika e nang le baahi ba fetang 96 451 300 ka palo.
political-geographic-object;['algeria'];Algeria ke naha wa Afrika e nang le baahi ba fetang 37,100,000 (2012) ka palo.
political-geographic-object;['india'];India, lefatshe ka Asia e nang le baahi ba fetang 1,324,171,354 ka palo.
political-geographic-object;['ithali'];Ithali (it: Italia) ke naha ya Uropa e nang le badudi ba fetang 60.588.658 ka palo.
political-geographic-object;['chile'];Chile ke naha wa Amerika Borwa e nang le baahi ba fetang 17,402,630 ka palo.
political-geographic-object;['botswana'];Botswana ke naha wa Afrika.
political-geographic-object;['mozambiki'];Mozambiki ke naha wa Afrika e nang le baahi ba fetang 28 829 476 ka palo.
political-geographic-object;['ukraine'];Lepetjo: Boritsia-poborete!
political-geographic-object;['gambia'];Gambia ke naha wa Afrika e nang le baahi ba fetang 1,517,000 ka palo.
political-geographic-object;['ghana'];Ghana ke naha wa Afrika e nang le baahi ba fetang 27 043 093 ka palo.
political-geographic-object;['nigeria'];Nigeria ke naha wa Afrika e nang le baahi ba fetang 185 989 640 ka palo.
political-geographic-object;["côte d'ivoire"];Côte d'Ivoire ke naha wa Afrika.
political-geographic-object;['niger'];Niger ke naha wa Afrika e nang le baahi ba fetang 20 672 987 ka palo.
political-geographic-object;['gabon'];Gabon ke naha wa Afrika e nang le baahi ba fetang 1,384,000 ka palo.
political-geographic-object;['rephabliki ya kongo'];Rephabliki ya Kongo ke naha wa Afrika e nang le baahi ba fetang 4,662,446 ka palo (2014).
political-geographic-object;['cameroon'];Cameroon ke naha ea Afrika e nang le baahi ba fetang 26,545,864.
political-geographic-object;['guinea-bissau'];Guinea-Bissau ke naha wa Afrika e nang le baahi ba fetang 1,586,000 ka palo.
political-geographic-object;['senegal'];Senegal ke naha wa Afrika e nang le baahi ba fetang 11,658,000 ka palo.
political-geographic-object;['france', 'fora'];Fora ke naha ya Uropa e nang le badudi ba fetang 65 073 482 ka palo.
political-geographic-object;['madagascar'];== Tlhahisoleseling mabapi le madagascar == Madagascar ke naha ea lihlekehleke e Leoatleng la India, e ka bang lik'hilomithara tse 400 ho tloha lebopong la Afrika Bochabela.
political-geographic-object;['seychelles'];Seychelles ke naha wa Afrika e nang le baahi ba fetang 94 228 ka palo.
political-geographic-object;['amsterdam'];Amsterdam ke motsemoholo wa Hôlanê, ka Uropa.
political-geographic-object;['kraków'];Kraków ke toropo wa Poland, ka Uropa.
political-geographic-object;['cape verde'];Cape Verde ke naha wa Afrika.
political-geographic-object;['iceland'];Iceland ke naha wa Uropa e nang le baahi ba fetang 321,857 ka palo.
political-geographic-object;['lisbon'];Lisbon ke motsemoholo wa Portugal, ka Uropa.
political-geographic-object;['lima'];Lima ke motsemoholo wa Peru, ka Amerika Borwa.
political-geographic-object;['bogotá'];Bogotá ke motsemoholo wa Colombia, ka Amerika Borwa.
political-geographic-object;['budapest'];Budapest ke motsemoholo wa Hungary, ka Uropa.
political-geographic-object;['bucharest'];Bucharest
political-geographic-object;['beograd'];Beograd ke motse wa Serbia, ka Uropa.
political-geographic-object;['ethiopia'];Ethiopia ke naha wa Afrika e nang le baahi ba fetang 102 403 196 ka palo.
political-geographic-object;['moscow'];Moscow ke batlile motsemoholo wa borwa Rashea.
political-geographic-object;['benin'];Benin ke naha wa Afrika e nang le baahi ba fetang 8,439,000 ka palo.
political-geographic-object;['burkina faso'];Burkina Faso ke naha wa Afrika e nang le baahi ba fetang 13,228,000 ka palo.
political-geographic-object;['são tomé and príncipe'];São Tomé and Príncipe ke naha wa Afrika e nang le baahi ba fetang 199 910 ka palo.
political-geographic-object;['chicago'];Chicago ke batlile holo motse ba borwa USA.
political-geographic-object;['finland'];Finland ke naha wa Uropa e nang le baahi ba fetang 5,371,531 ka palo.
political-geographic-object;['vienna'];Vienna ke motsemoholo wa Austria, ka Uropa.
political-geographic-object;['santiago de chile'];Santiago de Chile ke motsemoholo wa Chile, ka Amerika Borwa.
political-geographic-object;['copenhagen'];Copenhagen ke motsemoholo wa Denmark, ka Uropa.
political-geographic-object;['london'];London ke motsemoholo wa Engelane, ka Uropa.
political-geographic-object;['tallinn'];Tallinn ke motsemoholo wa Estonia, ka Uropa.
political-geographic-object;['helsinki'];Helsinki (sv: Helsingfors) ke motsemoholo wa Finland, ka Uropa.
political-geographic-object;['paris'];Paris ke motsemoholo wa Fora, ka Uropa.
political-geographic-object;['reykjavík', 'reykjavik'];Reykjavík ke batlile holo motse ba borwa Iceland.
political-geographic-object;['riga'];Riga ke motsemoholo wa Latvia, ka Uropa.
political-geographic-object;['vilnius'];Vilnius ke motsemoholo wa Lituania, ka Uropa.
political-geographic-object;['warsaw'];Warsaw ke motsemoholo wa Poland, ka Uropa.
political-geographic-object;['madrid'];Madrid ke motsemoholo wa Spain, ka Uropa.
political-geographic-object;['zagreb'];Zagreb ke motsemoholo wa Kroatia, ka Uropa.
political-geographic-object;['maseru'];Maseru ke motsemoholo wa Lesotho, ka Afrika.
political-geographic-object;['rio de janeiro'];Rio de Janeiro ke batlile holo motse ba Brazil.
political-geographic-object;['brazil'];Brazil ke naha e boroa ho Amerika Borwa.
situation;['lehloyo la melata'];Lehloyo la melata ke tshabo e sa utlwisiseheng ya se bonwang e le ketso e sa tlwaelehang.
situation;['feberu'];Feberu ke bolwetsi bo bakwang ke kokwanahloko e dulang matshwafong empa e ka fetella mmeleng kaofel.
situation;['leishmaniasis'];Leishemaniasis, hape e peletwa e le leishmaniosis, ke bolwetse bo bakwang ke dinwamadi sa protozoa ya genus "Leishmania" mme di hasanngwa ke ho longwa ke mofuta o mong wa dintsintsi tsa lehlabathe.
situation;['schistosomiasis'];Schistosomiasis, e tsejwang hape ele feberu ya kgofu, ke helminthiasis ke bolwetse bo bakwang ke dintho tse pedi tse amanang eo e nngwe e leng senwamadi se bitswang schistosome.
situation;['lepera'];Lepera, le tsejwang hape ka hore ke bolwetse ba Hansen (HD), ke tshwaentso ya nako e telele e bakuweng ke baktheria ya Mycobacterium leprae le Mycobacterium lepromatosis.
socially-constructed-person;['adolf hitler'];Adolf Hitler, (1889, Braunau am Inn (Austria)- 1945, Berlin), Letôitšhi moêtapele 1933 - 1945.
socially-constructed-person;['ronald reagan'];Ronald Wilson Reagan (1911-2004) 40th President of USA (1981-1989).
socially-constructed-person;['sierra leone'];Sierra Leone ke naha wa Afrika e nang le baahi ba fetang 7 075 641 ka palo.
socially-constructed-person;['julius caesar'];Julius Caesar, 100 - 44, Rome moêtapele 49 - 44.
socially-constructed-person;['karl marx'];Karl Marx, 1818 - 1883, Letôitšhi me mmopi ya bokôminisi.
socially-constructed-person;['vladimir lenin'];Vladimir Lenin, 1870 - 1924, moêtapele.
socially-constructed-person;['tumelo'];Bakreste, Bajuda le Bamoslem lumela hore Molimo ke eena ea 'ohle Ntate matla', Mōpi oa leholimo le lefatše, lintho tsohle tse bonahalang le e sa bonahaleng ea ho ea.
socially-constructed-person;['friedrich engels'];Friedrich Engels, *28.11.1820 ka Barmen †05.08.1895 ka London, Letôitšhi me mmopi ya bokôminisi.
subject;['sayense'];Sayense.
subject;['geologi', 'jeoloji'];Geologi ke tsebo ya diteng tsa mobu.
subject;['filosofi'];Filosofi, leratô -> tsebô
subject;['fisiksi'];momentumo ke hore na balnce e hakae
subject;['saekholoji', 'saekoloji', 'tsebo ya maikutlo'];Saekholoji ke tsebo ya maikutlo.
taxonomic-collective;['kwena', 'crocodylidae', 'koena'];Kwena/koena
