abstract-region;['product', 'wiskundige product'];Wiskunde
activity;['bowls', 'koersbal', 'kommen', 'jeu de boules', 'lawn bowling'];koersbal
activity;['rummy', 'rami bridge', 'pappen', 'vijftigen'];Familie van kaartspelen
activity;['rummy', 'rami bridge', 'pappen', 'vijftigen'];Kaartspel
activity;['cribbage'];kaartspel
activity;['francisco lópez alfaro', 'francisco lopez alfaro'];Spaans voetballer
activity;['patience', 'geduld', 'mochelen', 'spider solitaire', 'solitaire'];Kaartspel
activity;['baccarat', 'punto banco', 'baccara', 'chemin de fer'];Kaartspel
activity;['kus', 'zoen', 'kukkel', 'lik', 'smak', 'smok', 'kussen'];Oraal lichaamscontact via de lippen met iemand om genegenheid te tonen of ter begroeting meestal boven de schouders
activity;['laatste heilige sacramenten', 'laatste sacramenten', 'heilig oliesel', 'zalving van de zieken'];De laatste riten, in het christendom, zijn de laatste gebeden en bedieningen die, indien mogelijk, kort voor de dood aan een persoon met een geloof worden gegeven.
activity;['overname', 'machtswisseling', 'bedrijfsovername', 'squeeze-out', 'squeeze out', 'vijandelijke overname', 'vijandige overname', 'acquisitie', 'onvrijwillige overname', 'overnames', 'vijandige overnames'];Verwerving van een bedrijf door een ander bedrijf
activity;['damspel', 'dammen', 'damsport', 'tocht'];Bordspel
activity;['hinkelen', 'hinkelbaan', 'hinkelspel', 'hinkspel'];Spel
activity;['stemming', 'verkiezing', 'ballotage', 'stembiljet', 'stem', 'votum', 'stemmen', 'kiezers', 'stembiljetten', 'vlinder stemming'];Manier om democratische beslissing in groep te maken
activity;['eucharistie', 'eucharistie in de katholieke kerk', 'eucharistieviering', 'communie', 'heilig sacrament', 'sacrament van de eucharistie', 'katholieke eucharistie', 'heilige eucharistie', 'avondmaal', 'communicant', 'communicanten', 'eucharistische', 'eucharistische liturgie', 'heilige communie', 'most precious blood'];Viering aanwezigheid Christus in brood en wijn
activity;['eucharistie', 'eucharistie in de katholieke kerk', 'eucharistieviering', 'communie', 'heilig sacrament', 'sacrament van de eucharistie', 'katholieke eucharistie', 'heilige eucharistie', 'avondmaal', 'communicant', 'communicanten', 'eucharistische', 'eucharistische liturgie', 'heilige communie', 'most precious blood'];sacrament van de katholieke kerk
activity;['seminar', 'werkcollege', 'seminars'];Bijeenkomst over bepaald onderwerp
activity;['conflict', 'dispuut', 'geschil', 'onenigheid', 'meningsverschil', 'onderscheid', 'twistgesprek', 'verschil', 'strijd', 'verschil van mening'];Situatie waarin twee of meer partijen methodes hanteren, doelstellingen nastreven of waarden aanhangen die onverenigbaar zijn en daardoor in botsing komen
activity;['controverse', 'geschil', 'polemiek', 'betwisting', 'debat', 'dispuut', 'meningsverschil', 'onenigheid', 'redestrijd', 'redetwist', 'twistgesprek', 'twistpunt', 'woordenstrijd', 'woordenwisseling', 'ruzie', 'pennestrijd', 'bewering', 'betoog', 'controversieel', 'argument', 'argumenten', 'controverses', 'disceptation'];langdurig geschil of debat
activity;['vuurgevecht', 'shoot-out', 'schietpartij', 'vuurgevechten', 'shootout', 'gunfighting', 'gunplay', 'revolverheld', 'revolverhelden'];Film
activity;['western', 'cowboyfilm', 'wildwestfilm', 'westernfilm', 'westerns', 'paard opera'];Genre dat in films, tv-series, boeken en schilderkunst
activity;['rondedans', 'koordans', 'rei', 'reidans', 'kringdans', 'cirkel dans'];een in een kring van mensen uitgevoerde volksdans
activity;['voetbal', 'voetballen', 'voetbalteam', 'sokker', 'spelregels van voetbal', 'veldvoetbal', 'voetbalclub', 'voetbaldoel', 'voetbalopstelling', 'voetbalregels', 'voetbalvereniging', 'voetbalwedstrijd', 'blessuretijd', 'vereniging voetbal', 'na extra tijd', 'vereniging voetballer'];Sportdiscipline
activity;['film', 'rolprent', 'cinematografie', 'filmdistributeur', 'speelfilm', 'speelfilms', 'witte doek', 'films', 'bewegend beeld', 'bewegende beelden', 'bewegende beelden laten zien', 'grote film', 'grote scherm', 'motion-picture', 'motion-picture show', 'motion picture', 'picture show', 'theatrale film'];Cinematografie
activity;['hiphop', 'rap', 'hip-hop', 'hip hop', 'hip hop muziek', 'hip hop music', 'hiphopper', 'hip-hop muziek', 'rap muziek', 'hip hop artiest', 'hip hop groep', 'rapgroep'];Culturele beweging, vooral bekend als muziekstijl
activity;['sacrament van de katholieke kerk'];zeven zichtbare rituelen, die katholieken zien als tekenen van Gods aanwezigheid, bestaande uit: inwijding (doop, bevestiging, eucharistie), genezing (verzoening, ziekenzalving) en dienst (heilige orde, huwelijk)
activity;['abdicatie', 'troonsafstand', 'afstand', 'aftreden', 'abdiceren', 'afstand van de troon'];Vrijwillig afstand doen van macht.
activity;['schaken', 'schaakspel', 'schaak', 'schaakpartij', 'schaaksport', 'geschiedenis van schaken', 'rontgenaanval', 'röntgenaanval', 'schaakles', 'schaakregels'];Bordspel voor 2 personen
activity;['go fish', 'kwartet'];Kaartspel
activity;['bowlen', 'bowling'];Sport
activity;['vlooienspel'];Gezelschapsspel
activity;['volleybal', 'volleyball'];Bal
activity;['badminton'];Sport
activity;['golf', 'golftoernooi', 'golfclub', 'golfen', 'golfer', 'golfing', 'golfspel', 'golfspeler', 'golfsport', 'golfwedstrijd', 'golf spel'];Sport
activity;['tennis', 'kraaiennest', 'tennisbaan', 'tennisbanen', 'tennisclub', 'tennissen', 'tennisveld', 'tennisvereniging', 'lawn tennis'];Balsport met racket en net
activity;['kiekeboe', 'bopeep', 'peekaboo'];Spel
activity;['tafeltennis', 'pingpong', 'ping-pong', 'ping pong', 'pingpongtafel', 'tafeltennis rubber', 'tafeltennisrubber', 'tafeltennisser', 'tafeltennistafel', 'ping pong bal'];Sport met bal en batje
activity;['kansspel', 'gokspel', 'hazardspel', 'kansspelen', 'gokken', 'gokker', 'wedden', 'weddenschap'];Speltype waarbij het toeval bepaalt of een speler een bepaalde prijs wint
activity;['duik', 'duiken', 'schoonspringen', 'duiksport', 'duiksprong', 'onderwatersport', 'onderwaterzwemmen', 'schoonspringer', 'gesynchroniseerde duiken'];watersport
activity;['slag', 'veldslag', 'gevecht', 'kamp', 'duel', 'treffen', 'tweegevecht', 'tweekamp', 'worsteling', 'zeeslag', 'boel', 'veldslagen', 'betrokkenheid', 'conflict', 'militaire betrokkenheid', 'schermutselingen', 'strijd'];Deel van een oorlog op een bepaalde plaats en gedurende een bepaalde tijdspanne
activity;['virtual reality', 'virtuele werkelijkheid', 'virtuele realiteit', 'telepresence', 'virtuele omgeving', 'virtuele ruimte'];Innovatieve technologische ontwikkeling
activity;['slag in de koraalzee', 'slag van de coral sea'];Zeeslag uit de Tweede Wereldoorlog
activity;['tarantella', 'pizzica tarantata', 'pizzica tarantella', 'tarantelle'];Dans
activity;['beleg van orléans', 'beleg van orleans', 'belegering van orleans'];keerpunt in de Honderdjarige Oorlog tussen Frankrijk en Engeland
activity;['zuigcurettage', 'vacuüm-aspiratie', 'vacuüm aspiratie'];Abortus waarbij weefsel uit de baarmoeder wordt weggenomen door middel van een zuigbuisje
activity;['dactylus', 'dactyl'];Dichtvorm
activity;['soubrette'];Sopraantype
activity;['sideshow'];Theatergenre
activity;['cha cha'];Amerikaans rapper
activity;['oecumene', 'oecumenie', 'oecumenisme', 'christelijke oecumene', 'interkerkelijke', 'oecumenische', 'oecumenische beweging', 'oecumenist'];Samenwerking tussen de diverse religieuze groepen binnen een religie
activity;['slow motion'];Muziekalbum van Man
activity;['3d'];Muziekalbum van The Three Degrees
activity;['lu'];Staat
activity;['concert', 'optreden', 'muziekuitvoering', 'opvoeren', 'concerten', 'concertuitvoering', 'popconcert', 'uitvoering', 'live concert', 'live muziek', 'muziek concert', 'tour', 'tournee'];Uitvoering
activity;['volkstelling', 'bevolkingstelling', 'census', 'volkstellingen', 'neus tellen', 'nosecount', 'telling', 'tellingen'];Vaststelling van de bevolkingsgrootte van een bepaald gebied door een overheid
activity;['hittegolf', 'hondsdagen', 'hittegolven', 'warmtegolf'];periode die gekenmerkt wordt door uitzonderlijk hoge temperaturen
activity;['repetitie', 'dry run'];Theater
activity;['practical joke', 'prank', 'grappen', 'practical jokes'];plagerige grap
activity;['requiescat in pace', 'rust in vrede', 'requiescat'];Latijnse uitdrukking
activity;['gebedsverhoring', 'voorspraak', 'voorspreker', 'bemiddelaar', 'voorbede'];gebed
activity;['lee seon-woo'];Professioneel gamer
activity;['fandango', 'fandanguillo', 'fandangos'];dansvorm
activity;['kabinetsherschikking', 'reshuffle', 'reshuffling', 'herindeling van het kabinet', 'herschikking van het kabinet', 'herschikking', 'kabinet herschikking', 'kabinet shuffle'];herindeling van een kabinet
activity;['kleine officie van onze lieve vrouw', 'mariagetijden', 'little office'];getijdengebed
activity;['moesson', 'moessonseizoen', 'moessons', 'zuid-west moesson', 'zuidwest moesson'];Regentijd
activity;['cabaret', 'floorshow', 'cabaretprogramma', 'floor-show', 'kleinkunst', 'cabaratier', 'cabaretgroep', 'cabaretier', 'cabaretiere', 'cabaretière', 'conferencier', 'cabarets', 'vloer tonen'];Lokatie voor o.a. kleinkunst
activity;['tetralogie', 'quadrologie', 'quatrologie', 'quadrilogie'];Literair werk dat bestaat uit vier afzonderlijke werken
activity;['genade', 'tafelgebed', 'elegantie', 'gratie', 'uitstel van betaling', 'zegen', 'dankzegging', 'gebed voor de maaltijd'];kort christelijk gebed
activity;['light peace love'];Muziekalbum van Bamboo
activity;['breath'];Film uit 2017 van Simon Baker
activity;['swing', 'swing dans', 'swing dansen'];Dans
activity;['mistral'];Meteorologie
activity;['cakewalk'];Dans
activity;['klassiek ballet', 'klassieke dans'];Traditionele en formele stijl van ballet
activity;['volksdans', 'volksdansen', 'etnische dans', 'traditionele dans'];traditionele dans van een bepaalde streek of land
activity;['doel', 'doelpunt', 'scoren in voetbal'];In voetbal, het spel waarin een team erin slaagt de bal in het doel van de tegenstander te brengen en daarmee een doelpunt te winnen
activity;['once over'];Muziekgroep uit Verenigd Koninkrijk
activity;['burleske', 'burlesque', 'burlesk', 'burleske huis'];Kluchtig en karikaturaal blijspel
activity;['rock n roll', 'rock', 'rockmuziek', "rock-'n-roll", 'rockmuzikant', 'gitaarrock', "rock'n'roll", 'rock-and-roll', 'rock and roll', 'rock muziek', 'rock-n-roll', "rock 'n' roll", 'rock roll'];Muziekgenre
activity;['rock n roll', 'rock', 'rockmuziek', "rock-'n-roll", 'rockmuzikant', 'gitaarrock', "rock'n'roll", 'rock-and-roll', 'rock and roll', 'rock muziek', 'rock-n-roll', "rock 'n' roll", 'rock roll'];Muziekgenre
activity;['verklarende woordenlijst', 'bridge', 'biedermeijer', 'contract bridge', 'contract brug'];Kaartspel
activity;['vaudeville', 'variété', 'varietetheater', 'variététheater', 'music-hall', 'music hall', 'muziek zalen', 'vaudville'];Theatervorm
activity;['tweede wereldoorlog', 'wo2', 'wereldoorlog 2', 'wo ii', 'world war ii', '2e wereldoorlog', 'wereldoorlog ii', 'wo 2', '2wo', '2de wereld oorlog', '2de wereldoorlog', '2e wo', 'de 2e wereldoorlog', 'de tweede wereld oorlog', 'tweede wereld oorlog', 'tweede wereldkrijg', 'tweede wererld oorlog', 'verloop van de tweede wereldoorlog', 'w.o. ii', 'wereldoorlog twee', 'wo-ii', 'woii', 'ww2', 'wwii', 'nazi-bezetting', 'world war 2'];Oorlog van 1939 tot 1945 tussen Asmogendheden en geallieerden
activity;['spaans-amerikaanse oorlog', 'spaans amerikaanse oorlog', 'spaanse oorlog'];Een oorlog die in 1898 plaatsvond tussen Spanje en de Verenigde Staten
activity;['peloponnesische oorlog', 'peloponesische oorlog', 'pelopponesische oorlog'];Oorlog tussen de Attisch-Delische Zeebond en de Peloponnesische Bond
activity;['chinook', 'chinook wind', 'chinook winden', 'sneeuw eter'];Wind
activity;['föhn', 'foehn', 'fohn', 'föhn wind'];Wind
activity;['trekken'];Gewichtheffen
activity;['metro', 'underground railroad', 'ondergrondse'];hey
activity;['vasten', 'vastentijd', 'snel', 'vastend'];geheel of gedeeltelijk onthouden van eten of drinken
activity;['arrival'];Lied van ABBA
activity;['inworp', 'ingooi', 'lijnworp'];Spelhervatting bij voetbal
activity;['onderwijs', 'didactiek', 'onderricht', 'opleiding', 'instructie', 'les', 'onderwijssysteem', 'scholing', 'cursus', 'opvoeding', 'opvoedkunde', 'educatie', 'educatief', 'instructief', 'leerrijk', 'leerzaam', 'onderwijsinstelling', 'vooropleiding', 'pedagoog', 'beroepsonderwijs', 'educatieve', 'onderwijsactiviteit', 'opgeleid', 'opleiden', 'opvoeders'];Het overbrengen van kennis en vaardigheden
activity;['salto', 'koprol', 'buiteling'];Gymnastiek
activity;['rol', 'persona', 'deel', 'karakter', 'personae', 'personas', 'theatrale rol'];Personage, gespeeld door een acteur
activity;['negenjarige oorlog', 'oorlog van de liga van augsburg', 'paltische successieoorlog', 'successieoorlog van de palts', 'oorlog van de grand alliance'];1688-1697
activity;['charleston'];Dans
activity;['pachisi', 'parchesi', 'parchisi'];Indiaas bordspel
activity;['aria', 'arietta', 'ariëtta', "aria's"];Compositie
activity;['cliffhanger', 'cliffhanger einde'];Plot
activity;['rite', 'ritus', 'religieuze rite', 'riten', 'ritueel', 'rituele', 'rituelen', 'satanisch ritueel', 'satanische ritueel'];Religie
activity;['eindexamen', 'finale', 'centraal examen', 'centraal schriftelijk eindexamen', 'cse', 'eindexamens', 'tweede correctie'];Einde van een schoolcarrière
activity;['autopsie', 'lijkschouwing', 'lijkopening', 'necropsie', 'dissectie', 'nabespreking', 'obductie', 'sectie', 'lijkschouw', 'lijkschouwer', 'autopsies', 'necropsie verricht', 'post-mortem', 'post-mortem onderzoek', 'post mortem', 'post mortem onderzoek', 'postmortem', 'secties'];Inwendig onderzoek aan het lichaam van een overleden persoon
activity;['rally'];Reeks van slagen die eindigt met het maken van een punt
activity;['rodeo', "rodeo's"];Evenement
activity;['exegese', 'uitlegging', 'bijbelverklaring', 'tekstverklaring', 'exegeet', 'exegeten', 'bijbelse exegese', 'exegetische', 'joodse exegese'];tekstuitleg
activity;['schijn', 'balk'];Honkbal
activity;['intracutane injectie', 'intradermale injectie'];Injectie in de huis
activity;['boogiewoogie', 'boogie', 'boogie-woogie', 'boogie woogie', 'land boogie'];Piano
activity;['beroep', 'beroepspraktijk', 'stiel', 'baan', 'professie', 'beroepskeuze', 'metier', 'métier', 'professional'];Een samenhangend geheel van arbeidstaken, die voor de uitvoering een bepaalde vakkennis en -kunde vereisen
activity;['tongzoen', 'tongkus', 'tongzoenen', 'franse kus', 'diepe kus', 'ziel kus'];Erotisch getinte kus
activity;['oliver ackermann'];Amerikaans muziekinstrumentenmaker
activity;['tug of war'];Muziekalbum van Enchant
activity;['vechtsport', 'vechtkunst', 'gevechtskunst', 'gevechtssport', 'krijgskunst', 'martial arts', 'vechtkunsten', 'martial-arts', 'martial artist', 'martial kunstenaars'];Geheel van vechttechnieken en -tradities, martial arts
activity;['kruistocht', 'kruistochten', 'kruisvaart', 'kruisvaarten', 'kruisridders', 'kruisvaarder', 'kruisvaarders'];Meerdere religieuze oorlogen tussen 1095 en 1271
activity;['pool', 'poolbiljart', 'poolen', 'pocket biljart', 'zwembad'];Sport
activity;['danschoreografie', 'stadium dansen'];ontwerp van dansbewegingen
activity;['druktechniek', 'gravure', 'prentkunst', 'prentdruktechniek', 'grafische techniek', 'prenttechniek', 'doordruk', 'drukken', 'druktechnieken', 'drukwerk', 'printen', 'grafiek', 'print maker'];Techniek voor het vervaardigen van prenten
activity;['ardennenoffensief', 'slag om de ardennen', 'ardennen offensief', 'ardenner offensief', 'fall weihnachtsrose', 'von rundstedt-offensief', 'ardennen tegenoffensief', 'slag om de ardennen ardennen'];offensief van de Duitse Wehrmacht
activity;['dubbel boekhouden', 'dubbel boekhouden systeem'];wijze van administreren
activity;['militaire muziek', 'staf', 'stafmuziek', 'marsmuziek', 'martial muziek', 'militaire mars'];muziekgenre
activity;['ninth season of smallville'];Seizoen van Smallville
activity;['privatisering', 'denationalisatie', 'privatiseren', 'geprivatiseerd', 'te privatiseren', 'denationalisering'];Overgang van publieke diensten naar de particuliere sector
activity;['crèche', 'kinderopvang', 'kinderdagverblijf', 'kinderkribbe', 'dagopvang', 'kinderbewaarplaats', 'creche', 'kdv', 'kinderparkeerplaats', 'peuterspeelzaal', 'peuterspeelzalen', 'kindercrechè'];Aanduiding voor professioneel geleide voorzieningen die zorg bieden voor kinderen onder de schoolleeftijd voor een dagdeel of de hele dag
activity;['witwassen', 'wit te wassen', 'witwassen van geld', 'anti-witwassen van geld', 'witwasser'];Het verbergen van de illegale oorsprong van geldsommen
activity;['omvormer', 'staalconverter', 'convertor'];Kantelbaar vat waarin vloeibaar ruwijzer in staal wordt omgezet
activity;['rijm', 'rijmwoord', 'rijmen', 'eindrijm', 'rijmende', 'rijmpjes'];Stijlfiguur
activity;['programmeren', 'programmering', 'computerprogrammeren', 'programmeren van computers', 'computer programmering', 'programmeren van software'];Computer
activity;['weven', 'weven van textiel', 'weverij'];economische activiteit
activity;['breien', 'breigoed', 'breister', 'breiwerk', 'knitwear', 'mazen'];Werkwijze om van één lange draad een elastisch weefsel te maken
activity;['spinnen', 'twijnen', 'kaarden'];Textiel
activity;['sociale dans', 'stijldans', 'ballroom', 'stijldansen', 'sociale dansen'];Groep van danstypen
activity;['racisme', 'rassendiscriminatie', 'rassenhaat', 'rassehaat', 'rassenongelijkheid', 'racialisme', 'racist', 'racistisch', 'racistische', 'rascisme', 'rascist', 'rasicme', 'raciale vooroordelen', 'etnische discriminatie', 'raciale suprematie'];Opvatting dat er rassen te onderscheiden zijn met daaraan gerelateerde verschillen in karaktereigenschappen, fysieke capaciteiten en geestelijke vermogens
activity;['midelbaar onderwijs', 'secundair onderwijs', 'vervolgonderwijs', 'secundaire school', 'voortgezet onderwijs'];Algemeen
activity;['gemengd onderwijs', 'co-educatie', 'co-educatieve', 'coed', 'coeducational', 'gemengde seksuele voorlichting'];Onderwijs waarbij meisjes jongens in gemengde groepen les krijgen
activity;['elektrocutie', 'geëlektrocuteerd'];Overlijden als gevolg van een elektrische schok
activity;['squat', 'kraakactie', 'kniebuigen', 'kniebuiging'];Oefening
activity;['opwarmen', 'aanlooptijd', 'warming-up', 'warming up', 'warm-up'];Sport
activity;['verhoor', 'ondervrager', 'interrogatie', 'verhoormethode', 'ondervraagd', 'ondervragen', 'ondervraging', 'ondervragingen'];Ondervraging
activity;['logistiek', 'transportkunde', 'verkeerstechniek', 'vervoerstechniek', 'logistieke'];Transport&logistiek
activity;['logistiek', 'transportkunde', 'verkeerstechniek', 'vervoerstechniek', 'logistieke'];handelingen die verricht moeten worden om goederen van grondstof tot eindproduct te verwerken en deze zo efficiënt mogelijk bij de klant af te leveren.
activity;['lijst van amerikaanse ministers van oorlog', 'amerikaanse minister van oorlog', 'minister van oorlog', 'oorlog secretaris'];Amerikaanse ministerspost
activity;['open heart surgery'];Muziekalbum
activity;['hockey', 'veldhockey', 'ijshockey', 'hockeyer', 'hockeyspeler', 'hockeyster', 'vrouwen hockey'];Teamsportversie van hockey gespeeld op gras met een ronde bal
activity;['drogheda'];Stad in Ierland
activity;['quarantaine', 'quarantaine organisme', 'quarantaineorganisme', 'in quarantaine geplaatst', 'quarantainestation'];het afschermen van risicobronnen ter vermindering van verspreiding van een infectie
activity;['samenwerking'];Proces in evolutie
activity;['bowls', 'koersbal', 'kommen', 'jeu de boules', 'lawn bowling'];koersbal
activity;['virga'];Dorp in Rusland
activity;['anticonceptie', 'gezinsplanning', 'contraceptie', 'geboortebeperking', 'geboortecontrole', 'voorbehoedsmiddelen', 'anti-conceptie', 'anticonceptiva', 'contraconceptie', 'contraconceptiva', 'familieplanning', 'geboorteregeling', 'hormonale contraceptiva', 'preservatief', 'voorbehoedmiddel', 'voorbehoedsmiddel', 'divacup', 'voorbehoedmiddelen', 'geboorte preventie'];Voorkomen van zwangerschap bij geslachtsgemeenschap
activity;['ets', 'etstechniek', 'etsen', 'etser', 'etskunst', 'graveerder', 'muziek graveren', 'opluchting etsen'];Artistiek werk
activity;['ets', 'etstechniek', 'etsen', 'etser', 'etskunst', 'graveerder', 'muziek graveren', 'opluchting etsen'];Kunstwerk geproduceerd door diepdruk (etsen)
activity;['emigratie', 'landverhuizing', 'uitwijking', 'emigreren', 'geemigreerd', 'geëmigreerd', 'emigrant', 'geemmigreerd', 'geëmmigreerd', 'emigranten', 'emigreerde', 'menselijke migratie', 'ontheemding', 'out-migratie'];Verhuizen naar een ander land of een andere regio om daar permanent te verblijven
activity;['immigration'];Muziekalbum van Show-Ya
activity;['vossenjacht', 'slipjacht', 'foxhunt'];Jacht
activity;['mars', 'marsmuziek', 'marcia', 'marslied'];Muziek
activity;['slag bij midway', 'slag om midway', 'zeeslag bij midway'];Zeeslag tijdens WO II op 4 juni 1942 tussen Japan en de VS
activity;['astronavigatie', 'astronomische navigatie', 'astrofix'];richtings- en plaatsbepaling aan de hand van hemellichamen
activity;['gegist bestek', 'positiebepaling', 'dead reckoning', 'gegist bekomen positie'];berekende positie op grond van richting, drift en snelheid
activity;['liplezen', 'spraakafzien'];spraakherkenning zonder geluid
activity;['hints', 'charades'];Spel
activity;['woordspel', 'letterspel', 'woordspeling'];woordencombinatie waarmee men bewust een effect nastreeft
activity;['high low'];Muziekalbum
activity;['huiswerk', 'huistaak', 'preppy', 'huisarbeid', 'schoolwerk', 'taak', 'thuiswerk', 'voorbereiding', 'prep', 'preppie', 'preppies'];Huiswerk ks stom
activity;['zelfopoffering', 'verloochening', 'zelfverloochening', 'afwijzing', 'verwerping'];Wikimedia-doorverwijspagina
activity;['objectificatie', 'objectificering', 'objectisering', 'objectivering'];behandeling van een mens of dier als object
activity;['hommage', 'eerbetoon', 'hulde', 'huldiging', 'leenhulde', 'manschap', 'huldeblijk'];Publiekelijke blijk van waardering voor een ander
activity;['punk', 'punkmuziek', 'punk rock', 'punkrock', 'punk-rock', 'punkband', 'punk muziek', 'punk revival', 'punk rock band'];Muziekgenre
activity;['jogging', 'joggen'];Duursport die verwant is aan hardlopen
activity;['action'];krant uit Rusland
activity;['triage'];Methode voor het indelen van slachtoffers naar zwaarte van het letsel
activity;['bestuiving', 'bestoven', 'bestuiven', 'bestuivend', 'bestuiver', 'windbestuiving', 'anemogamie', 'bestuivende', 'kruisbestuiving', 'pollenation'];Biologisch proces
activity;['curettage', 'curette', 'curettement'];Medische behandeling waarbij oppervlak schoon wordt geschraapt. in gynaecologie de curettage van de baarmoeder
activity;['vasectomie'];Chirurgische sterilisatie van een man
activity;['appendectomie', 'blindedarmoperatie'];Chirurgische techniek
activity;['inenting', 'vaccinatie', 'inoculatie', 'inoculation', 'inenten', 'vaccinatieangst', 'vaccineren', 'enten', 'gevaccineerd', 'te enten', 'vaccinaties'];injectie van vaccin
activity;['lezing', 'hoorcollege', 'presentatie', 'lezingen'];Pedagogische manier om een bepaald onderwerp te onderwijzen
activity;['transcriptie', 'arrangement', 'bewerking', 'regeling', 'arrangeren', 'regelen'];Muziek
activity;['accreditatie', 'accrediteren', 'geaccrediteerd', 'niet-geaccrediteerde'];Doorverwijspagina
activity;['accreditatie', 'accrediteren', 'geaccrediteerd', 'niet-geaccrediteerde'];procedure waarbij een gezaghebbende instelling formele erkenning verstrekt dat een organisatie competent is om specifieke taken uit te voeren. (def: ISO 15189:2012)
activity;['vertinnen'];Bedekken met een laagje tin
activity;['bestuurder', 'sturen', 'automobilisten', 'rijden'];iemand die een vervoersmiddel bestuurt
activity;['opsomming', 'telling', 'lijst', 'opsommen', 'tel', 'telwerk', 'som', 'totaal', 'getallenstelsel', 'nummering'];Overzicht in een opsommende vorm
activity;['gietvorm', 'matrijs', 'mal', 'gieting', 'profilering', 'vormen', 'gietsel', 'vorm', 'drukvorm vullen', 'gietmal', 'gieten', 'krimp'];Het in een mal/vorm drukken van zacht maar niet volledig vloeibaar materiaal (zoals natte klei)
activity;['gietvorm', 'matrijs', 'mal', 'gieting', 'profilering', 'vormen', 'gietsel', 'vorm', 'drukvorm vullen', 'gietmal', 'gieten', 'krimp'];Gieten van vloeibaar metaal in een mal
activity;['discipline', 'tucht', 'disciplinaire', 'tuchtmeester'];handhaving van discipline
activity;['braken', 'braaksel', 'kots', 'overgeefsel', 'spuwsel', 'vomitus', 'kotsen', 'nekken', 'vomeren', 'overgeven', 'caputuleren', 'braakt', 'disgorgement', 'regurgitatie'];Maaginhoud uitstoten
activity;['kunsttentoonstelling', 'kunstbeurzen'];Plaats waar kunst (tijdelijk) wordt getoond aan piubliek
activity;['ballingschap', 'verbanning', 'deportatie', 'exil', 'banneling', 'verbannen', 'ballingen', 'strafrechtelijke vervoer', 'zelf-ballingschap'];Het verwijderen van iemand uit een gemeenschap
activity;['zeefdruk', 'serigrafie', 'zeefdrukkunst', 'rasterdruk', 'zeefdrukker'];Druktechniek
activity;['observatie', 'waarneming', 'stagering', 'waarnemen', 'observeren', 'waarnemingen'];Het verwerven van informatie uit eerste bron
activity;['fabricage', 'productieproces', 'fabrikaat', 'industrie', 'serieproductie', 'industriële productie', 'productie', 'fabrikanten', 'lichte productie', 'metaalproductie', 'produceert', 'productie bedrijf', 'vervaardigd'];Economische activiteit
activity;['management', 'beheer', 'beheerbaarheid', 'managen', 'bedrijfsleiding', 'bedrijfsvoering', 'beheersbaar', 'interimmanagement', 'managementauteur'];Coördineren van de activiteiten van mensen
activity;['socialisatie', 'resocialisatie', 'socialiseren', 'gesocialiseerd'];Sociale wetenschappen
activity;['gokken', 'gokspel', 'gokkers', 'kansspel', 'wedden'];spelsoort waarin toeval een grote rol speelt
activity;['bezit', 'eigen', 'eigenaars', 'eigendom', 'meerderheid eigenaar'];Recht
activity;['injectie', 'spuitje', 'geïnjecteerd', 'injecteren', 'inspuiting', 'geinjecteerd', 'injecteerbare'];Geneeskunde
activity;['restriction'];Muziekalbum
