abstract-region;['ຕຳລາຂັ້ນສອງ'];ຕຳລາຂັ້ນສອງ ແມ່ນ ຕຳລາພະຫຸພົດ ທີ່ມີຮູບຮ່າbhgnnhbb f = a x 2 + b x + c {\displaystyle f=ax^{2}+bx+c\,\!}, where a ≠ 0 {\displaystyle a\neq 0\,\!}.
activity;['ກີລາ', 'ກິລາ'];ກິລາ ແມ່ນ ການແຂ່ງຂັນ ຫຼື ກິດຈະກຳ ຕາມ ຮູບແບບ ຫຼື ກະຕິກາທີ່ກຳນົດໄວ້.
activity;['ການບັນເທີງ', 'ຄວາມບັນເທີງ', 'ບັນເທິງ'];ການບັນເທີງ (ຄຳເຄົ້າ: ກາຣບັນເທີງ) ແມ່ນກິຈະກຳຮູບແບບໜຶ່ງທີ່ດຶງດູດຄວາມສົນໃຈຈາກຜູ້ຊົມ ຫຼືໃຫ້ຄວາມມ່ວນຊື່ນສະໜຸກສະໜານ.
activity;['ວິຊາຊີບ'];ໂດຍທົ່ວໄປ ວິຊາຊີບ(ພາສາອັງກິດ: profession) ຈະໝາຍເຖິງ ຄວາມຮູ້, ຄວາມຊຳນານ ທີ່ ຈຳເປັນ ໃນ ການຄອງອາຊີບ ໃດໜື່ງ ເຊັ່ນ ນາຍຊ່າງ, ນາຍໝໍ, ນາຍຄູ ແລະອື່ນໆ.
activity;['ການຕ່ຳ', 'ຕ່ຳ'];ການຕ່ຳ (ອັງກິດ: weaving) ແມ່ນສິລະປະແລະຫັດຖະກຳຫຼືວຽກສີມືແບບໜຶ່ງອັນມີມາຕັ້ງແຕ່ສະໄໝບູຮານ.
activity;['ການຈັດການ'];== ທີ່ມາຂອງການຈັດການ ==
activity;['ການຂັບລຳ'];ການຂັບລຳ ແມ່ນ ສິລະປະການສະແດງອອກ ດ້ວຍສຽງຂອງຄົນ ທີ່ ອາດຈະປະກອບກັບ ສຽງດົນຕີແລະ ເປັນຈັງຫວະ.
activity;['ການຖ່າຍຮູບ'];ການຖ່າຍຮູບ (ຄຳເຄົ້າ: ກາຣຖ່າຍຮູປ) ແມ່ນການບັນທຶກເອົາພາບເຫດການຕ່າງໆນັ້ນໄວ້ດ້ວຍເຄື່ອງມືທາງວິທະຍາສາດທີ່ເອີ້ນກັນ ແລະ ເປັນທີ່ຮູ້ຈັກວ່າ ກ້ອງບັນທຶກພາບ(ກ້ອງຖ່າຍຮູບ),ຊື່ງປະຈຸບັນນີ້ ມີສອງແບບຄື: ແບບໃຊ້ຟີມ ແລະ ແບບດີຊີຕານ.
activity;['ທຸລະກິດ'];ໃນດ້ານເສດຖະກິດ ທຸລະກິດ (ຄຳເຄົ້າ: ທຸຣກິຈ. ອັງກິດ: business) ຫຼື ອັງຕະເລິປະລິດ (ຝະລັ່ງ: entreprise) ແມ່ນ ວິທະຍາສາດໃນການ ບໍລິຫານ, ຄຸ້ມຄອງ ຄົນ, ອົງການຈັດຕັ້ງເພື່ອ ທຳການຜະລິດ, ຫຼື ສະໜອງການບໍລິການທີ່ ໂດຍທົ່ວໄປ ແມ່ນ ເພື່ອ ສະແຫວງຫາ ຜົນກຳໄລ.
activity;['ການທ່ອງທ່ຽວ'];ການທ່ອງທ່ຽວ (ອັງກິດ: tourism, ຝະລັ່ງ: tourisme) ໝາຍເຖິງການເດີນທາງເພື່ອພັກຜ່ອນຢ່ອນໃຈຫຼືເພື່ອຄວາມມ່ວນຊື່ນຕື່ນເຕັ້ນຫຼືເພື່ອຫາຄວາມຮູ້.
activity;['ສິລະປະກຳ', 'ສິລະປະ', 'ສີລະປະ'];ສິລະປະ (ຄຳເຄົ້າ: ສິລປະ, ອັງກິດ: art) ແມ່ນ ການສ້າງ,​ການສະແດງອອກໂດຍ ບໍ່ວ່າ ຈະແມ່ນ ດ້ວຍການຂີດຂຽນ, ແຕ້ມ, ປັ້ນ, ຫຼ່, ຫລື ດ້ວຍ ການເຄື່ອນຍ້າຍຮ່າງກາຍ, ວັດຖຸ ຫຼື ແມ່ນແຕ່ ສຽງ, ຈັງຫວະ.
activity;['ດຽນບຽນຟູ'];ດຽນບຽນຟູ (ອັງກິດ: Dien Bien Phu. ຫວຽດນາມ: Điện Biên Phủ. ຊື່ເດີມ : ແຖງ) ແມ່ນເມືອງນຶ່ງໃນແຂວງດຽນບຽນເຊິ່ງຕັ້ງຢູ່ທາງທິດຕາເວັນຕົກສຽງເໜືອຂອງປະເທດຫວຽດນາມ ຫ່າງຈາກນະຄອນຫຼວງຮ່າໂນ້ຍປະມານ 200 ກິໂລແມັດມີຊື່ສຽງເນື່ອງຈາກເປັນທີ່ຮົບຍຸທະການຢູ່ດຽນບຽນຟູລະຫວ່າງຝະລັ່ງແລະວຽດມິນ ເມື່ອເດືອນມີນາ ຄ.ສ.
activity;['ຊາ'];ຊາ (ຈີນ: 茶, chá, ສາ) ເປັນຜົນຜະລິດທາງການກະເສດຈາກໃບ ຍອດອ່ອນ ແລະກ້ານຂອງຕົ້ນຊາ (Camellia sinensis) ນຳມາຜ່ານກຳມະວິທີແປຮູບຫຼາກຫຼາຍ.
activity;['ການສຶກສາ'];ການສຶກສາ ໂດຍທົ່ວໄປ ຈະໝາຍເຖິງ ລະບົບທີ່ຖ່າຍທອດຄວາມຮູ້ ຈາກ ຄົນ ຫລື ລຸ້ນຄົນໜຶ່ງ ໃຫ້ ຄົນອື່ນ ຫລື ລຸ້ນຄົນອື່ນ ຢູ່ ໂຮງຮຽນ, ມະຫາວິທະຍາໄລ, ໂຮງຮຽນວິຊາຊີບ ຫລື ແມ່ນແຕ່ ການສຶກສາ ໂດຍ ພໍ່ແມ່ຕໍ່ລູກ.
activity;['ການປະຕິວັດຝະລັ່ງ'];ການປະຕິວັດຝະລັ່ງ (ອັງກິດ: French Revolution, ຝະລັ່ງ: Révolution française) ລະຫວ່າງ ຄ.ສ.
activity;['ສົງຄາມ'];ສົງຄາມ (ຝະລັ່ງ: guerre) ຫຼື ການສູ້ຮົບ ແມ່ນ ສະຖານະຄວາມຂັດແຍ້ງດ້ວຍອາວຸດລະຫວ່າງອົງການທີ່ເປັນອິສະລະ (ເຊັ່ນ ລັດຊາດແລະໂຕສະແດງທີ່ບໍ່ແມ່ນລັດຊາດ) ຫຼືແນວຮ່ວມຂອງອົງການດັ່ງກ່າວ ໂດຍທົ່ວໄປມີລັກສະນະເປັນການຮາວີ ການທຳລາຍລ້າງລວມສຸດຂີດແລະປົກກະຕິມີອັດຕາຕາຍສູງ ຊຸດເຕັກນິກທີ່ກຸ່ມໃຊ້ດຳເນີນສົງຄາມ ເອີ້ນວ່າ ການສົງຄາມ ການປອດສົງຄາມ ປົກກະຕິເອີ້ນວ່າ ສັນຕິພາບ.
activity;['ການບໍລິການ'];ໃນ ເສດຖະສາດ ແລະ ການຕະຫຼາດ, ການບໍລິການ ແມ່ນ ການກະທຳ ທີ່ມີຄ່າ ທຽບເທົ່າ ກັບ ສິນຄ້າ.
agentive-figure;['ສາຍການບິນ'];ສາຍການບິນ ແມ່ນບ່ອນໃຫ້ບໍລິການຂົນສົ່ງທາງອາກາດສຳລັບຜູ້ໂດຍສານຜູ້ເດີນທາງແລະການຂົນສົ່ງສິນຄ້າ ສາຍການບິນເຊົ່າຫຼືເຈົ້າຂອງຍົນຂອງເຂົາເຈົ້າດ້ວຍເຊິ່ງໃນການຈັດຫາບໍລິການເຫຼົ່ານີ້ແລະອາດເປັນຫຸ້ນສ່ວນຫຼືເປັນພັນທະມິດກັບສາຍການບິນອື່ນເພື່ອປະໂຫຍດຮ່ວມກັນ.
agentive-figure;['ທະນາຄານກາງ'];ທະນາຄານກາງ ແມ່ນ ອົງກອນຮັບຜິດຊອບ ນະໂຍບາຍເງິນຕາ ຂອງ ປະເທດ, ເຂດແຄວ້ນ ຫຼື ຂົງເຂດໃດໜຶ່ງ ເຊັ່ນ ທະນາຄານແຫ່ງ ເຊັ່ນ ທະນາຄານແຫ່ງ ສປປ ລາວ ແມ່ນ ຈະຮັດຜິດຊອບ ນະໂຍບາຍເງິນ ຂອງ ປະເທດລາວ ໃນ ຂະນະທີ່ ທະນາຄານກາງເອີຣົບ ຈະຮັບຜິດຊອບນະໂຍບາຍເງິນຕາ ຂອງ ບັນດາປະເທດ ທີ່ເປັນສະມາຊິກ ຂອງ ສະຫາພາບເອີຣົບ.
agentive-figure;['ລັດ', 'ຊາດ', 'ປະຊາຊົນ'];ລັດ (ຄຳເຄົ້າ: ຣັຖ) ແມ່ນ ກົນໄກທາງການເມືອງໂດຍມີອຳນາດອະທິປະໄຕປົກຄອງດິນແດນທາງພູມິສາດທີ່ມີອານາເຂດແລະມີປະຊາກອນແນ່ນອນ ໂດຍອຳນາດດັງກ່າວເບັດເສັດທັງພາຍໃນແລະພາຍນອກລັດ ບໍ່ຂຶ້ນກັບລັດອື່ນຫຼືອຳນາດອື່ນຈາກພາຍນອກ ແລະອາດກ່າວໄດ້ວ່າ ລັດສາມາດຄົງຢູ່ໄດ້ແມ້ນຈະບໍ່ໄດ້ຮັບການຮັບຮອງຈາກລັດອື່ນ ພຽງແຕ່ລັດທີ່ບໍ່ໄດ້ຮັບການຮັບຮອງເຫຼົ່ານີ້ ມັກຈະພົບວ່າຕົນປະສົບອຸປະສັກໃນການເຈລະຈາສົນທິສັນຍາກັບຕ່າງປະເທດແລະດຳເນີນກິຈະການທາງການທູດກັບລັດອື່ນ.
agentive-figure;['ສະຫະພັນທະລັດ', 'ສະຫະພັນ', 'ສະຫະພັນຣັດ'];ສະຫະພັນທະລັດ (ອັງກິດ: federation, ຝະລັ່ງ: état fédéral) ຫຼືອີກຊື່ນຶ່ງວ່າ ລັດສະຫະພັນ ແມ່ນລັດອະທິປະໄຕປະເພດນຶ່ງເຊິ່ງມີລັກສະນະຂອງສະຫະພາບລັດຫຼືພູມພາກອັນປົກຄອງຕົນເອງບາງສ່ວນ ເຊິ່ງລວມເຂົ້ານຳກັນໂດຍລັດຖະບານກາງ ຫຼືລັດຖະບານສະຫະພັນ ໃນສະຫະພັນທະລັດ.
agentive-figure;['ກອງທືນການເງີນລະຫວ່າງປະເທດ'];ກອງທືນການເງີນລະຫວ່າງປະເທດ
agentive-figure;['ອຳນາດບໍລິຫານ'];ອຳນາດບໍລິຫານແມ່ນ ໜຶ່ງໃນ 3 ອຳນາດລັດ ຄື
agentive-figure;['ນາຊາ'];ອົງການບໍລິຫານການບິນແລະອະວະກາດແຫ່ງຊາດ ຫຼື ນາຊາ (ອັງກິດ: National Aeronautics and Space Administration - NASA) ກໍ່ຕັ້ງຂຶ້ນເມື່ອວັນທີ 29 ກໍລະກົດ ຄ.ສ.
agentive-figure;['ສະຫະປະຊາຊາດ', 'ອົງການສະຫະປະຊາຊາດ'];ສະຫະປະຊາຊາດ (ຄຳເຄົ້າ: ສຫປຊາຊາຕ, ອັງກິດ: United Nations. ໂຕຫຍໍ້: UN) ແມ່ນອົງການຫວ່າງປະເທດອັນມີຄວາມມຸ່ງໝາຍທີ່ກ່າວໄວ້ເພື່ອໃຫ້ຄວາມສະດວກແກ່ຄວາມຮ່ວມມືໃນກົດໝາຍຫວ່າງປະເທດ ຄວາມໝັ້ນຄົງຫວ່າງປະເທດ ການພັດທະນາການເງິນ ຂະບວນການທາງບ້ານເມືອງ ສິດທິຜູ້ຄົນ ແລະການບັນລຸສັນຕິພາບໂລກ.
agentive-figure;['ອອກໂຕດົກ', 'orthodox', 'ເອກະລີດອອກໂຕດົກ'];ຄິດຕະຈັກອອກໂຕດົກ (ອັງກິດ: The Orthodox Church, ຝະລັ່ງ: Église orthodoxe) ຫຼື ຄິດຕະຈັກບີຊັງແຕງ (The Byzantine Church) ແມ່ນນິກາຍນຶ່ງໃນຄິດຕະສາສະໜາ.
agentive-figure;['ແຮກກູນ', 'hercules'];ແຮກກູນ ຫຼື ເຮີຄິວລີດ ເປັນຊື່ໂລມັງຂອງເທພະເຈົ້າກະເລັກ ຊື່ ເຮລາກແລດ.
agentive-figure;['ສາດສະໜາ', 'ສາສະໜາ', 'ສາສະຫນາ', '\u200bສາ\xadສະ\xadໜາ'];ສາສະໜາ (ຄຳເຄົ້າ: ສາສນາ) ໝາຍເຖິງ ຄວາມເຊື່ອໃນສິ່ງສັກສິດ ສິ່ງເໜືອທຳມະຊາດ ສະຖາບັນ ປະເພນີ ເຊິ່ງເປັນບ່ອນເຄົາລົບ ໂດຍທົ່ວໄປແລ້ວອາດກ່າວໄດ້ວ່າ ສາສະໜາ ເປັນສິ່ງເຊິ່ງຄວບຄຸມ ແລະປະສານຄວາມສຳພັນຂອງມະນຸດໃຫ້ຢູ່ຮ່ວມກັນໄດ້ຢ່າງເປັນສຸກ ແມ່ນ ຫຼັກການແລະວິຖີທາງເຊິ່ງມະນຸດເລືອກໃຊ້ໃນການດຳລົງຊີວິດ.
agentive-figure;['ສາສະໜາອິສະລາມ', 'ສາສະຫນາອິດສະລາມ', 'ອິດສະລາມ', 'ສາດສະໜາອິສລາມ'];ສາສະໜາອິສະລາມ (ອັງກິດ: Islam) ແມ່ນສາສະໜາເອກະເທວະນິຍົມ (monotheism, ນັບຖືພະເຈົ້າອົງດຽວ) ບັນຍັດໄວ້ໃນຄຳພີອັນກຸລະອານ ເຊິ່ງຜູ້ນັບຖືເບິ່ງວ່າເປັນພະວະຈະນະຄຳຕໍ່ຄຳຂອງພະເຈົ້າ (ອາຫຼັບ: الله‎ ອັລລອຮ) ແລະໂດຍຄຳສອນແລະໂຕຢ່າງອອກໄປທາງປະທັດສະຖານ (ເອີ້ນວ່າ ສຸນັດ ແລະ ປະກອບດ້ວຍຫະດີດ) ຂອງມຸຮຳມັດ ເຊິ່ງຜູ້ນັບຖືເບິ່ງວ່າເປັນສາສະດາຫຼືນະບີອົງຫຼ້າຂອງພະເຈົ້າ.
agentive-figure;['ສາສະໜາພາມ'];ສາສະໜາພາມ (ອັງກິດ: Hinduism, ຝະລັ່ງ: Hindouisme) ແມ່ນສາສະໜາແບບພະຫຸເທວະນິຍົມ (ເຊື່ອເທບຫຼາຍອົງ).
agentive-figure;['ສະຫະພາບໂຊວຽດ'];ສະຫະພາບສາທາລະນະລັດສັງຄົມນິຍົມໂຊວຽດ ຊື່ຫຍໍ້ ສະຫະພາບໂຊວຽດ ແມ່ນລັດທີ່ມີອຳນາດອະທິປະໄຕຂອງລັດຖະບານກາງໃນພາກເໜືອຂອງເອີຣົບເຊິ່ງມີມາແຕ່ປີ 1922 ເຖິງປີ 1991.
agentive-physical-object;['ສັດລ້ຽງ'];ສັດລ້ຽງ (ຄຳເຄົ້າ: ສັຕວ໌ລ້ຽງ) ແມ່ນສັດເຊິ່ງຖືກຄວບຄຸມໂດຍມະນຸດ ໃນເລື່ອງການໃຫ້ຂອງກິນ ການຄຸ້ມຄອງເບິ່ງແຍງ ການປະສົມພັນຂອງສັດຕາມແຕ່ຄວາມຕ້ອງການ ແລະສ້າງຄວາມຜູກພັນຕໍ່ກັນລະຫວ່າງຄົນກັບສັດ ຈຶ່ງເອີ້ນວ່າສັດລ້ຽງ ແຕ່ບໍ່ນັບສັດເຊິ່ງຢູ່ໃນສວນສັດ ແລະ ສັດເຊິ່ງຢູ່ໃນຫ້ອງທົດລອງວ່າເປັນສັດລ້ຽງນຳ ຍ້ອນວ່າບໍ່ມີສ່ວນຜູກພັນກັບຊີວິດແລະຄວາມເປັນຢູ່ຂອງຜູ້ຄົນໂດຍກົງ.
agentive-physical-object;['ເສືອອາເມລິກາ', 'panthera onca'];ເສືອອາເມລິກາ ຫຼື ຊາກົວ (ອັງກິດ: jaguar) ຫຼື ຈາກົວ (ຝະລັ່ງ: jaguar) ຈັດຢູ່ໃນຟີລຳມີແກນສັນຫຼັງ ຊັ້ນສັດລ້ຽງລູກດ້ວຍນົມ ອັນດັບສັດກິນຊີ້ນ ວົງເສືອແລະແມວ (Felidae) ມີຊື່ວິທະຍາສາດວ່າ Panthera onca ເປັນເສືອຂະໜາດໃຫຍ່ຮອງລົງມາຈາກເສືອໂຄ່ງ (P. tigris) ແລະສິງ (P. leo) ມີຂົນຄ້າຍເສືອດາວ (P. pardus) ຫຼາຍ.
agentive-physical-object;['ສັດ', 'animal', 'animalia'];ສັດ (ຄຳເຄົ້າ: ສັຕວ໌, ອັງກິດ: animal) ເປັນສິ່ງມີຊີວິດກຸ່ມທີ່ໃຫຍ່ທີ່ສຸດ ຈັດຢູ່ໃນ ອານາຈັກສັດ (ຄຳເຄົ້າ: ອານາຈັກຣ໌ສັຕວ໌, ອັງກິດ: Kingdom Animalia) ເປັນສິ່ງມີຊີວິດພວກທີ່ນິວຄຽສມີຜະໜັງຫໍ່ຫຸ້ມ ປະກອບດ້ວຍ ຫຼາຍເຊລລ໌ມີການແບ່ງໜ້າທີ່ຂອງແຕ່ລະເຊລລ໌ເພື່ອເຮັດໜ້າທີ່ສະເພາະຢ່າງແບບຖາວອນ ບໍ່ມີຄໍໂລຟິນ ສ້າງອາຫານຜູ້ດຽວບໍ່ໄດ້ ດຳລົງຊີວິດໄດ້ຫຼາຍລັກສະນະທັງເທິງບົກໃນນ້ຳ ແລະບາງຊະນິດເປັນປໍລະສິດ.
agentive-physical-object;['ຄອມພິວເຕີ', 'computer', 'ອອກດີນາເຕີ', 'ອອກດີນາເຕີກ', 'ເຄື່ອງຄອມພິວເຕີ'];ຄອມພິວເຕີ (ຄຳເຄົ້າ: ຄອມພິວເຕີຣ໌, ອັງກິດ: computer) ຫຼື ອອກດີນາເຕີ (ຝະລັ່ງ: ordinateur) ແມ່ນເຄື່ອງຈັກທີ່ສາມາດທຳການ ຄຳນວນ, ຄິດໄລ່ ແລະປະມວນຜົນ ທີ່ມີຄວາມຊັບຊ້ອນ.
agentive-physical-object;['ໂຣບົດ', 'robot', 'ຫຸ່ນຍົນ'];ໂຣບົດ ຫຼື ຫຸ່ນຍົນ (ອັງກິດ: robot) ແມ່ນເຄື່ອງຈັກກົນຊະນິດໜຶ່ງ ອັນເຄື່ອນໄຫວດ້ວຍໂຕເອງຕາມແຕ່ຄຳສັ່ງທີ່ມະນຸດໃສ່ເອົາໄວ້.
agentive-physical-object;['ໝາ', 'canis lupus familiaris', 'dog'];ໝາ ແມ່ນສັດລ້ຽງລູກດ້ວຍນ້ຳນົມຫຼາຍຊະນິດຫຼາຍສະກຸນໃນວົງ Canidae ອອກລູກເປັນໂຕ ລຳໂຕມີຂົນປົກຄຸມ ມີແງ 2 ຄູ່ ຕີນໜ້າມີ 5 ນິ້ວ ຕີນຫຼັງມີ 4 ນິ້ວ ຊ່ອນເລັບບໍ່ໄດ້ ອະໄວຍະວະເພດຂອງໝາເຖິກມີດູກຢູ່ພາຍໃນ 1 ໜ່ວຍ.
agentive-physical-object;['ກົກໄມ້', 'ຕົ້ນໄມ້', 'tree'];ກົກໄມ້ (ອັງກິດ: tree, ຝະລັ່ງ: arbre) ແມ່ນ ໄມ້ຢືນຕົ້ນຂະໜາດໃຫຍ່ ກົກໄມ້ມີອາຍຸຢືນຍາວເມື່ອຽບທຽບໃສ່ພືດໃນລັກສະນະອື່ນໆ ບາງສາຍພັນສາມາດສູງໄດ້ເຖິງ 115 ແມັດ ແລະບາງພັນສາມາດມີອາຍຸຢືນຍາວສອງເຖິງສາມພັນປີ.
agentive-physical-object;['ວົງຈອນພອນ'];ວົງຈອນພອນ ແມ່ນວົງຂອງສັດລ້ຽງລູກດ້ວຍນົມໃນອັນດັບສັດກິນຊີ້ນ ໃນຊື່ວົງວ່າ Herpestidae.
agentive-physical-object;['ຜູ້ຄົນ', 'ມະນຸດ', 'homo sapiens', 'ຄົນ'];ຜູ້ຄົນ ຫຼື ມະນຸດ (ຊື່ວິທະຍາສາດ: Homo sapiens, ພາສາລາແຕັງແປວ່າ "ຄົນຫົວໄວ" ຫຼື "ຜູ້ຮູ້". ຝະລັ່ງ: humain) ແມ່ນແອສະແປດດຽວທີ່ຍັງມີຊີວິດຢູ່ໃນສະກຸນ Homo ໃນທາງກາຍະວິພາກ ມະນຸດສະໄໝໃໝ່ຖືກຳເໜີດຂຶ້ນໃນທະວີບອາຟະລິກປະມານ 200,000 ປີທີ່ແລ້ວ ແລະບັນລຸຄວາມນຳສະໄໝທາງພຶຕິກຳ (behavioral modernity) ຢ່າງສົມບູນເມື່ອປະມານ 50,000 ປີທີ່ແລ້ວ.
agentive-physical-object;['ເສືອແຂ້ວດາບ'];ເສືອແຂ້ວດາບ ເປັນສັດລ້ຽງລູກດ້ວຍນ້ຳນົມທີ່ສູດພັນໄປແລ້ວ
agentive-physical-object;['ແບ້', 'capra aegagrus hircus'];ແບ້ ເປັນສັດສີ່ຕີນແນວນຶ່ງ ເປັນສັດຄ້ຽວເອື້ອງ ໂຕຂະໜາດງົວນ້ອຍ.
