abstract-quality;['indiwiduallyk'];INDIWIDUALLYK
activity;['ýagyş'];Ýagyş — bulutlardan ýagýan, ortaça diametri 0,5 we 6-7 mm bolan suwuklyk damjalary görnüşindäki atmosfera ygaly.
activity;['çigrek'];Çigrek diýip howanyň ýylylygynyň sowap pese düşmegi, howanyň we toprak üstüniň temperaturasy -00°С we ondanam pes bolmagyna, hem-de ýylyň ösüş döwründe howanyň gije-gündizki ýylylygy 00°С we pese çenli sowap üýtgemek hadysasyna aýdylýar.
agentive-figure;['german imperiýasy'];Mowzuk: German imperiýasy
agentive-figure;['federasiýa', 'konfederasiýa'];Konfederasiýa —Döwlet gurluşynyň bir görnüşidir.
agentive-figure;['federasiýa', 'konfederasiýa'];Döwlet gurluşynyň bir görnüşidir.
agentive-figure;['bütindünýä saglyk guramasy', 'dünýä saglyk guramasy'];Bütindünýä saglygy goraýyş guramasy her ýylyň 7-nji aprelinde Bütindünýä saglyk gününi belleýär.
agentive-figure;['garaşsyz döwletleriň arkalaşygy', 'garaşsyz döwletleriň arkalaşyg', 'gda', 'garaşsyz döwletler arkalaşygy'];Garaşsyz Döwletler Arkalaşygy, - öň Sowet Soýuzynyň düzüminde bolan döwletleriň syýasy we söwda aragatnaşyklaryny sazlamak maksatly döredilen sebitara halkara gurama.
agentive-figure;['birleşen milletler guramasy'];Birleşen Milletler Guramasy Parahatçylygy goldamak hem-de ýurtlar arasynda parahatçylykly hyzmatdaşlygy ösdürmek üçin, özygtyýarly döwletleriň meýletin birleşmegi esasynda döredilen halkara gurama.
agentive-figure;['din', 'mömin'];Din - Taňry tarapyndan esaslandyrylýandygyna ynanylýan kanundyr.
agentive-figure;['yslam'];Şablon:Infobox Islam Yslam dini iň soňky pygamber – hezreti Muhammediň ﷺ üsti bilen ähli adamzada Alla Tagalanyň iberen iň soňky we iň kämil dinidir.
agentive-figure;['induizm'];Induizm — has giň ýaýran dilleriniň biri.
agentive-figure;['don kihot'];Dünýä edebiýatynyň iň belli kyssaçylarynyň biri, beýik ispan ýazyjysy we akyldary Migel de Serwantesiň ýazan romany.
agentive-figure;['mukaddes rim imperiýasy'];German halklarynyň Mukaddes Rim imperiýasy (lat.
agentive-figure;['syýasy garaýyşlar'];Öňi bilen syýasat näme bu soraga jogap bereliň.
agentive-figure;['ikao'];IKAO munuň ozi dünyaäniň birnäçe yurduny özünde birleşdirýän, BMG-nyň howandarlygyndaky halkara gurama.
agentive-physical-object;['guşçulyk'];Ilaty ýokary hilli ýeňil siňýän, berhiz azyk önümleri bolan guş eti we yumurtga bilen üpjün etmekde guşçulyk hojalyklary uly ähmiýete eýedir.
agentive-physical-object;['haýwanlar', 'animalia'];Haýwanlar (lat.
agentive-physical-object;['ösümlikler', 'ösümlik'];Ösümlikler (lat.
agentive-physical-object;['kompýuter'];Kompýuter — informasiýany awtomatiki usulda hasapalaýan elektronika gural.
agentive-physical-object;['elektrik dwigateli'];Elektrik dwigateli, elektrik energiýasyny mehaniki energiýa öwürýän guraldyr.
agentive-physical-object;['kompỳuter ulanmak', 'pc'];Kompỳuteri abat saklamak üçin esasy düzgünler: Kompỳuterleri diňe SHUTDOWN arkaly öçüriň.
agentive-physical-object;['agaç'];Agaç (lat.
agentive-physical-object;['organizm'];Organizm (giç.lat.
agentive-physical-object;['sitomegalowirus'];Sitomegalowirus ýokançlygy – ýer ýüzünde giňden ýaýran ýokançlyk bolup, immunitetiň gowşamagy bilen baglanyşykly, köpdürli kliniki alamatlaryň ýüze çykmagy bilen häsiýetlendirilýändir.
agentive-physical-object;['kaştan'];Kaştan köp ýyllyk agaç bolyp onyň örän tagamly tohum ýaly miwesi bardyr.
agentive-physical-object;['gawun', 'cucumis melo'];Gawun — Türkmen gawunlarynyň şan-şöhraty barada dünýäniň belli jahankeşdeleri we taryhçylary gyzykly maglumatlary galdyryp gidipdirler.
agentive-physical-object;['böwürslen'];Iýilýän ownuk gara miweli, tikenli gyrymsy ösümlik we onuň miwesi.Böwürsleniň miwesini esasan hem süýji keselli adamlara iýmek maslahat berilýär,Böwürslen miwesi witaminlara örän baýdyr.
agentive-physical-object;['garaguş'];Garaguş –.
agentive-physical-object;['garaguş'];Garaguş –.
agentive-physical-object;['sugun'];Sugun –.
agentive-physical-object;['adaty gelinkömelek'];Adaty gelinkömelek (lat.
agentive-physical-object;['elektrik generatory'];== Daşarky çykgytlar ==
agentive-physical-object;['şetdaly', 'prunus persica'];Şetdaly (lat.
agentive-physical-object;['erigördek'];Alaja ördek, alaja, gyzylbaş
agentive-physical-object;['bürgüt'];Bürgüt —
agentive-physical-object;['adaty lakga', 'lakga', 'lakga balyk'];Adaty lakga (lat.
agentive-physical-object;['alajagaplaň', 'panthera pardus'];Alajagaplaň –
agentive-physical-object;['gaplaň', 'gaplaňlar', 'panthera tigris'];Gaplaň (lat.
agentive-physical-object;['ýolbars', 'arslan', 'şir', 'panthera leo', 'ýolbarslar'];Ýolbars (lat.
agentive-physical-object;['dazzarkel'];Dazzarkel
agentive-physical-object;['toklutaý'];Toklutaý — Haýwanat dünýäsindäki özboluşly görnüşi bilen tapawutlanýan jandarlaryň biri hem toklutaýdyr.
agentive-physical-object;['gök kit', 'balaenoptera musculus'];Gök kit (şeýle hem mawy kit ýa-da blýuwal, lat.
agentive-physical-object;['geçigaplaň', 'acinonyx jubatus'];Geçigaplaň, ýa-da aziýa geçigaplaňy, ýa-da awçy leopard, ýa-da çita (lat.
agentive-physical-object;['çihuahua', 'chihuahua'];Dünýä boýunça itleriň iň kiçi görnüşi bolup Meksikanyň Chihuahua şäheriniň ady dakyldy.
agentive-physical-object;['aborigen gowaça', 'gossypium herbaceum'];Aborigen gowaça - gadymdan bäri ekilip gelýän ýerli gowaça.
agentive-physical-object;['ýekegapan', 'sus scrofa'];Ýekegapanlar Türkmenistanyñ çäginiñ ähli ýerinde diýen ýaly duş gelýär.
agentive-physical-object;['gök kepderi'];Gök kepderi
agentive-physical-object;['nar', 'punica granatum'];NAR Boýy 10 metre ýetyan gyrymsy ýa-da şahalak agaç.
agentive-physical-object;['hytaý hurmasy'];Hytaý hurmasy Diospyros kaki örän tagamly miwe görnüşleriň biri.Ýürek agyryly adamlara iýmek maslahat berilýär.Hytaý hurmasy bedeniň kesele garşy göreşmek ukybyny hem beýgeltýär.
agentive-physical-object;['malina'];Malina gyzyl reňkli we örän tagamly miwe bolyp durýar.
agentive-physical-object;['awiasion dwigatel'];Awiasion dwigatel - uçurylýan enjamlary herekete getirmek üçin hyzmat edýän ýylylyk dwigateli.
agentive-physical-object;['garaguş', 'gypaetus barbatus'];Sakally garaguş –
agentive-physical-object;['aiw'];AIW - bu adamyň kesellere garşy durnuklylygynyň ýetmezçiligini döredýän wirus.
agentive-physical-object;['ýaşylbaş', 'anas platyrhynchos'];Ganatlarynyň üsti, boýunlarynyň ýüzi ýaşyl öwsüp duran ördek.
agentive-physical-object;['muguthor gurçuklar'];Mugthor gurçuklar ýa- da ylmy dil bilen aýdanymyzda gelmintler – adamyň bedenine ornaşyp, onda dürli gurçuk kesellerini – gelmintozlary döretmäge ukyply ýönekeý gurçuklaryň uly toparydyr.
amount-of-matter;['babbit'];Babbit —esasy galaýy ýa-da gurşun bolan antifriksion splaw.
amount-of-matter;['kafein', 'kafeyin', 'c8h10n4o2'];Kafeyin, yada trimetilxantine, arassa yagdayinda ajymtyk tagamly chage.
amount-of-matter;['suw', 'h₂o'];Suw — binar organiki däl birleşme, himiki formulasy Н2O. Suwuň molekulasy öz aralarynda kowalent baglanyşyk bilen birleşýän iki sany hidrogen we bir sany kislorod atomyndan ybaratdyr.
amount-of-matter;['süýt'];Süýt süýdemdirijiler tarapyndan öndürilýän iýilýän suwuklykdyr.Süýt entek dürli iýmitleri siňdirip bilmeýän bäbekleriň esasy maddasydyr.Adamlar, beýleki süýdemdirijiler ýaly, bäbeklikde ene süýdi bilen emdirýärler.
amount-of-matter;['süýt'];Süýt süýdemdirijiler tarapyndan öndürilýän iýilýän suwuklykdyr.Süýt entek dürli iýmitleri siňdirip bilmeýän bäbekleriň esasy maddasydyr.Adamlar, beýleki süýdemdirijiler ýaly, bäbeklikde ene süýdi bilen emdirýärler.
biological-object;['eritrositler'];== Eritrositler == Eritrositler – gyzyl gan öýjükleridir.Olar örän kiçidirler, 1 kub mm.
biological-object;['bagana önümçiligi'];BAGANA ÖNÜMÇILIGI — 1—3 günlük garaköli guzularyň derisiniň soýlup alynmagy.
biological-object;['alma'];ALMA Alymlar dünýäde iň peýdaly miwäniň almadygyny ylmy barlaglaryň netijesinde subut etdiler.
biological-object;['bagyr'];BAGYR — janly organnzmleriň iýmit sindirişine we madda çalşygyna gatnaşýan iň uly mäz.
biological-object;['öýjük'];Öýjük — ähli organizmleriň gurluşynyň we ýaşaýşa ukyplylygynyň ýönekeý birligi bolup, onuň özbaşdak bar bolmaga, öz-özüni gaýtadan döretmäge we ösmäge ukyply öz madda çalşygy bardyr.
chemical-object;['molekula'];Molekula (täze lat.
classification-system;['html', 'hypertext markup language'];HTML - : Internetde giňişleýin ulanylýan script dilidir.
cognitive-event;['bagt'];Bagt — etnkanyň esasy kategoriýalaryiyň biri.
cognitive-event;['induktiw logika'];INDUKTIW LOGIKA - logikanyň bölümi ol bölekleýin netijelerden umumy netijeleri çykarmagyn logiki proseslerinden öwrenýär.
cognitive-event;['geraldika'];Geraldika – döwletiň, edara, kärhananyň gadymyỳetde taỳpa-tiräniň aỳratynlyk alamatyny görkezỳän tugralary öwrenỳän ylymdyr.
cognitive-modal-description;['aňyýet'];Aňyýet – dünýägaraýyşdyr.
dependent-place;['termosfera'];ionosfera 90–800 km beýiklik aralygynda ýerleşýär.
dependent-place;['stratosfera'];11–55 km aralykda ýerleşip, munda howa örän seýrek bolýar we temperatura az üýtgeýänligi bilen tapawutlanýar.
dependent-place;['troposfera'];Troposfera — ýer üstüne ýakyn ýerleşen howa gatlagydyr.
dependent-place;['ekzosfera'];800–20000 km beýiklik aralygynda ýerleşýär we älem giňişligi bilen sepleşýär.
ecological-collective;['ösümlikler', 'ösümlik'];Ösümlikler (lat.
ecological-collective;['tokaý'];Tokaý — agaçlar we ösümlikler ösüp oturan, agaçlaryň arasy toprak bilen örtülen, gyrymsy agaçlardan, otlardan, paporotniklerden, kömeleklerden we ş.m.
functional-matter;['indigo'];Indigo (isp.
functional-matter;['tozgajyk'];Tozgajyk, gül tozgasy — tohumly ösümlikleriň tozgajyk däneleriniň üýşmegi.
functional-matter;['çizburger', 'cheeseburger'];Çizburger, gamburgeriň peýnirli görnüşidir.
functional-matter;['marmelád'];Marmelad miwe we şekerden ýasalan konserwirlenen önüm bolup, adatça oňa jelatin elementini goşýar.
functional-matter;['peýnir'];Peýnir — süýt uýadyjy fermentleri hem-de süýt-turşy bakteriýalary ulanmak ýa-da erediji duzlary ulanyp, dürli süýt önümleri we süýtden alynmaýan çig mallary eretmek arkaly peýnire ýaramly süýtden alynýan azyk önümi.
functional-matter;['abraziw materiallar'];Abraziw materiallar - materiallary, minerallary, dag jynslaryny, aýnany, keramik materiallary, agajy, derini, rezini we beýleki mehaniki işläp bejermekde ulanylýan gaty maddalar.
functional-matter;['süýt'];Süýt süýdemdirijiler tarapyndan öndürilýän iýilýän suwuklykdyr.Süýt entek dürli iýmitleri siňdirip bilmeýän bäbekleriň esasy maddasydyr.Adamlar, beýleki süýdemdirijiler ýaly, bäbeklikde ene süýdi bilen emdirýärler.
functional-matter;['bagana önümçiligi'];BAGANA ÖNÜMÇILIGI — 1—3 günlük garaköli guzularyň derisiniň soýlup alynmagy.
functional-matter;['witamin', 'witaminler'];Witaminler (lat.
functional-matter;['witamin', 'witaminler'];Witaminler (lat.
functional-matter;['alma'];ALMA Alymlar dünýäde iň peýdaly miwäniň almadygyny ylmy barlaglaryň netijesinde subut etdiler.
functional-matter;['jele'];Jele, sowukda garylan jelatini öz içine alýan şekerde bişirilen miwe suwy.
functional-matter;['şokolad'];Şokolad — teobromine we kofeine baý şokolad agajynyň tohumlary bolan kakao tohumlarynyň gaýtadan işlenilip alynýan kakao ýagynyň esasynda öndürilýän konditer önümi.
functional-matter;['süýt'];Süýt süýdemdirijiler tarapyndan öndürilýän iýilýän suwuklykdyr.Süýt entek dürli iýmitleri siňdirip bilmeýän bäbekleriň esasy maddasydyr.Adamlar, beýleki süýdemdirijiler ýaly, bäbeklikde ene süýdi bilen emdirýärler.
functional-matter;['palaw', 'palow', 'türkmen palawy'];Palaw, Tüwiden taýynlanýan naharlaryň arasynda palaw iň saýlanýanydyr.
functional-matter;['pagta'];Pagta gowaça hasyly bolup tekstil pudagynda giňden ulanulýan tebigy süým.
functional-matter;['tekstil', 'mata', 'materiýa'];Tekstil pudagynda dokma, örme we ş.m.
geographical-object;['kalimantan', 'borneo'];Kalimantan (ind.
geographical-object;['kol', 'köl'];Köl — gidrosferaniň komponenty, bolmak öz elbetde ony sugarmak, dolduran köllük jamniň çenleryna suw bilen we yok bolmak gös-göni goşmaniň deňizden .Köl predmet bolarlar bilimniň derňemey limnologiýaniň.
geographical-object;['günorta amerika'];Günorta Amerika (isp.
geographical-object;['deňiz', 'deňizler'];Deňiz bir okean bilen bagy bolan we uly meýdany tutup durýan we esasan duzly bolan köp suw möçberidir.
geographical-object;['taýwan'];Taýwan, bir döwlet Aziýa'da.
geographical-object;['beýik köller'];Beýik köller (iňl.
geographical-object;['marşall adalary', 'marşal adalary'];Marşall Adasy Respublikasy - Ýuwaş okeanyň bir bölegi.
geographical-object;['şwarswald', 'schwarzwald'];Şwarswald (nem.
geographical-object;['ada'];Ada - Daş-töweregini suw gurşap alan gury ýer bölegi.
geographical-object;['okean'];Okean (grek.
geographical-object;['okeaniýa'];Okeaniýa — dünýäniň geografik, şeýle hem geosyýasy sebiti, ol esasan Ýuwaş okeanyň merkezindäki we günbataryndaky ýüzlerçe uly bolmadyk adalardan we atollardan emele gelýär.
geographical-object;['balkan ýarymadasy'];Balkan ýarymadasy (slowen.
geographical-object;['hazar deňzi', 'hazar deňizi'];Linz Awstriýanyň üçünji uly şäheridir we ol Ýokary Awstriýa ştatynyň merkezidir.
geographical-object;['hazar deňzi', 'hazar deňizi'];Hazar deňzi (rus.
geographical-object;['kongo derýasy'];Kongo Merkezi Afrikada derýa, Afrikanyň iň bol suwly we uzynlygy boýunça ikinji derýasy.
geographical-object;['reýn'];Reýn (nem.
geographical-object;['missisipi derýasy'];Missisipi (iňl.
geographical-object;['amazonka', 'amazonka derýasy'];Amazonka (port.
geographical-object;['täze gwineýa'];Täze Gwineýa (ind.
geographical-object;['anatoliýa'];Anatoliýa, Aziýa böleginde ýerleşýän ýarym ada.
geographical-object;['wolga'];Wolga (gaz.
geographical-object;['öli deňiz'];Öli deňiz ((arap.
geographical-object;['gara deňiz'];Gara deňiz günorta-gündogar Ýewropa, Kawkaz we Anatoliýa ýarymadasy bilen gurşalan ýapyk deňizdir.
geographical-object;['baltika deňzi'];Baltika deňzi materigiň jümmüşine çuňňur girip gidýän çetki deňiz.
geographical-object;['ýagyş tokaýy'];Ýagyş tokaýy — dürli tokaý biomasy bolup, ol ýyllyk minimum 1750–2000 mm ygl düşmegi bilen tapawutlanýar.
geographical-object;['niger derýasy', 'niger'];Niger (fr.
geographical-object;['karib deňzi'];Karib deňzi — Atlantik okeanyň basseýniniň çetki ýarymýapyk deňzi, ol günbatarda we günortada Merkezi we Günorta Amerika, demirgazykda we gündogarda Uly we Kiçi Antil adalary bilen araçäkleşýär.
geographical-object;['demirgazyk deňzi'];Demirgazyk deňzi (şeýle hem öňler Nemes deňzi. nem.
geographical-object;['merjen deňzi'];Merjen deňzi — Ýuwaş okeanyň bir deňzi, ol Awstraliýanyň, Täze Gwineýanyň we Täze Kaledoniýanyň kenarlarynyň arasynda ýerleşýär.
geographical-object;['gang'];Ganga, Ganga (hind.
geographical-object;['ind'];Ind — Günorta Aziýada iri derýa, ol öz gözbaşyny Hytaýda Gimalaýlardan alýar we esasan Hindistanyň demirgazyk-günbataryndan hem-de Päkistanyň territoriýasyndan akyp geçýär.
geographical-object;['antarktika', 'antarktida'];Antarktika - dunyanin in gunortada yerlisyan kontinentidir.
geographical-object;['beýik britaniýa'];Beýik Britaniýa (iňl.
geographical-object;['demirgazyk buzly okean'];Demirgazyk Buzly okean Ýewraziýa bilen Demirgazyk Amerikanyň aralygynda ýerleşýän, meýdany boýunça Ýer şarynyň iň kiçi okeany.
geographical-object;['amerika'];Amerika Dünýäde bir materik.
geographical-object;['atlantik okean'];Atlantik okean ululygy boýunça Ýuwaş okeandan soň ikinji orunda durýan okean.
geographical-object;['dunaý', 'dunaý derýasy'];Dunaý derýasy Ýewropa Bileleşiginiň iň uzyn, Ýewropanyň bolsa Wolga derýasyndan soň ikinji iň uzyn derýasydyr.
geographical-object;['polineziýa'];Polineziýa — Ýuwaş okeanyň merkezi böleginde, 23°30’dg.giň.
geographical-object;['melaneziýa'];Melaneziýa (gad.-grek.
geographical-object;['wiktoriýa köli'];Wiktoriýa (Wiktoriýa-Nýanza, Ukerewe, iňl.
geographical-object;['ýuwaş okean'];Ýuwaş okean — Ýer şarynyň iň uly okeany.
geographical-object;['ýanszy'];Ýanszy (hyt.
geographical-object;['skandinaw ýarymadasy'];Skandinaw ýarymadasy — Ýewropanyň demirgazyk-günbatar böleginde ýerleşýän we Botniýa aýlagyny we Baltika deňzini gurşap alýan ýarymada.
geographical-object;['günorta okean'];Günorta okean — Antarktidany gurşap alýan, ölçegi boýunça Ýeriň dördünji okeany.
geographical-object;['nil', 'nil derýasy'];Nil (arap.
gestalt;['trapesiýa'];Trapesiýa Trapesiýa bu grek söz bolup "τραπέζιον" - " stol ", "τράπεζα "-"stol, nahar " diýmekligi aňlatýar.
gestalt;['azatlyk heýkeli'];Amerikadaky Azatlyk/Swoboda heykelini fransuzlar ABŞ'yñ garaşsyzlygynyñ 100 yyllygyna sowgat hökmünde gurupdyrlar.Bu heykel,gurujylary Frederik Bartold we Gustaw Eyfeliñ gatnaşmagynda Azatlyk adasynda Gudzon deryasynyñ gyrasynda 1886'jy yylyñ 28 oktybrynda açylyar.
information-object;['abbrewiatura'];Abbrewiatura - Birnäçe sözden ybarat bolan atlaryň ýazuwda gysgaldylyp ulanylmagy.
information-realization;['mahabharata'];Taýarlan Arslan Alaýew Mahabharatanyn has irki doly nusgalary bizin eramyzdan önki VII asyra degishlidir, onun gutarnykly görnüshi bizin eramyzyn IV asyrynda tayyarlanypdyr.
information-realization;['azatlyk heýkeli'];Amerikadaky Azatlyk/Swoboda heykelini fransuzlar ABŞ'yñ garaşsyzlygynyñ 100 yyllygyna sowgat hökmünde gurupdyrlar.Bu heykel,gurujylary Frederik Bartold we Gustaw Eyfeliñ gatnaşmagynda Azatlyk adasynda Gudzon deryasynyñ gyrasynda 1886'jy yylyñ 28 oktybrynda açylyar.
information-realization;['edebiýat'];Edebiýat (arap.
information-realization;['abzas'];Abzas - çap edilen ýa-da golýazma tekstiň birinji setiriniň öňünden goýulýan boş ýer.
information-realization;['kuran', 'walking c2-01', 'gurhan'];Bu ýerde Mukaddes Kurany Kerimi ýükläp bilersiňiz.
information-realization;['kuran', 'walking c2-01', 'gurhan'];Kuran
information-realization;['injil', 'инҗил', 'mukaddes injil'];INJIL diýmegiň Türkmençe terjimesi Hoş Habar diýmekdir, grek dilindäki Ewangelion sözünden gelip çykandyr. Injil diýip eramyzyň ilkinji asyrlarynda Nasyraly Isanyň durmuşy we taglymaty barada ýazylan kitaplara at berilen.
intentional-collective;['aň-bilim eýýamy'];Aň-bilim eýýamy (fr.
intentional-collective;['awangardizm'];Awangardizm -20.
language;['kelt dilleri'];Kelt dilleri hindi-ýewropa dilleri maşgalasynyň düzümine girýän garyndaş diller toparydyr.
language;['mongol dili'];Mongol dili — Mongollaryň dili, Mongoliýanyň döwlet dili.
language;['altaý dilleri'];Altaý dilleri maşgalasyna Türki dilleri, Mongol dilleri, Tungus dilleri, Koreý dili we Ýapon dilleri girýär.
language;['dil'];Ekspertlere görä, geljekde möhüm diller Nemesçe, Hindiçe, Ispança we Hytaýça.
language;['türk dili', 'türkçe'];Anadola gelen Oguzlaryň türk dili.
language;['iňlis dili', 'iňlisçe'];Iňlis dili: Angliýa­nyň we Beýik Britaniýanyň resmi dili.
language;['latyn dili', 'latynça'];Latyn dili, ýa-da latynça, — hindi-ýewropa dil maşgalasynyň Italiýa dilleriniň latyn-falisk şahasyna degişli dil.
language;['hytaý dili', 'hytaýça'];Hytaýça — Hytaý resmi dili.
language;['koreý dili', 'koreýçe'];Koreýçe : Demirgazyk Koreýa, Günorta Koreýa resmi dili.
language;['iwrit dili'];Iwrit dili ya-da ybrani
language;['indoneziýa dilleri'];INDONEZIÝA DILLERI-Filippinde, Taýwanda, Uly we Kiçi Zond, Molukka adalarynda, Malakka ýa.
language;['ispan dili', 'ispança'];Ispan dili — ispanlar dilidir.
language;['arap dili', 'arapça'];Arap dili —Afraziýa dil maşgalasynyň sami şahasyna degişli dil.
language;['slowak dili'];Slowak dili Günbatar slawýan dillerine degişli bir hindi-ýewropa dilidir.
language;['ukrain dili'];Ukrain dili — Gündogar slawýan dillerine degişli bir hindi-ýewropa dilidir.
language;['rus dili', 'rus', 'rusça'];Rusça : Russiýa resmi dili.
language;['nemes dili', 'nemesçe'];Nemes dili : Germaniýa, Awstriýa, Lihtenşteýn, Lüksemburg, Belgiýa we Şweýsariýa'nyň resmi dili.
locative-role;['lyon'];Lyon
locative-role;['çernobyl'];Çernobyl, Ukraina.
locative-role;['deli', 'délhi'];Deli (hind.
locative-role;['har\xadki', 'harkow'];Harkiw
locative-role;['kum', 'qom'];Qom - Eýranda yerlesen bir saherdir.
locative-role;['sewastopol'];Sewastopol
locative-role;['ho şi miň şäheri', 'ho chi minh city'];Ho Chi Minh City Wýetnam'da bir oba.
locative-role;['los-anjeles'];Los-Anjeles (Los-Anjelos, Los-Anželes, Los-Anheles) (iňl.
locative-role;['sankt-peterburg'];Sankt-Peterburg — Russiýa Federasiýasynda şäher.
locative-role;['mekge'];Mekge (arap.
locative-role;['monako'];Monako Knýazlygy ýa-da Monako (fr.
locative-role;['wizantiýa imperiýasy'];Bizantiýa imperiýasy, Bizantiýa (grek.
locative-role;['günorta-gündogar aziýa'];Günorta-Gündogar Aziýa — Hytaýyň, Hindistanyň we Awstraliýanyň arasyndaky kontinental we ada territoriýalaryny eýeleýän uly sebit.
locative-role;['serbiýa', 'србија'];Serbiýa Respublikasy (serb.
locative-role;['sapporo'];Sapporo Ýaponiýanyň ilaty boýunça bäşinji uly şäheri hasaplanýar.
locative-role;['týanžin', 'týanszin', 'týanžin, hytaý'];Týanžin, Hytaý.
locative-role;['bordeaux'];Bordeaux
locative-role;['litwa'];Litwa (lit.
locative-role;['töwriz', 'tabriz'];Tabriz - Eýranda yerlesen bir saherdir.bu şaherin ahalisi azar turkmenleri dirler.
locative-role;['parfiýa'];Parfiýa,.
locative-role;['gadymy sparta taryhy'];Gadymy Sparta
locative-role;['gadymy assiriýa'];MOWZUK:GADYMY ASSIRIÝA
locative-role;['çöl'];Çöl — florasynyň we faunasynyň selçeňligi ýa-da ýoklugy bilen häsiýetlendirilýän tekiz landşaft.
locative-role;['donesk'];Donesk
locative-role;['san-paulu', 'sâo paulo'];San-Paulu (port.
locative-role;['britan imperiýasy'];Britan imperiýasy (iňl.
locative-role;['chicago', 'çikago'];Chicago
locative-role;['samarkand'];Samarqand şäher.
locative-role;['orta gündogar'];Orta Gündogar (pars.
locative-role;['mýunhen'];Mýunhen (nem.
locative-role;['valparaiso'];Valparaiso — Çili ululygy boýunça ikinji şäheri.
locative-role;['basseýn'];Basseýn ýagşyň ýa-da erän garyň suwunyň derýa, köl, howdan, estuariý, batgalyk, deňiz ýa-da okean ýaly suw giňişligine tarap akýan ýeri bolan gury ýer giňişligidir.
locative-role;['rio-de-žaneýro', 'rio de janeiro'];Rio-de-Žaneýro (port.
