abstract-region;['terfyn', 'terfan', 'cyfyngu ar bwynt', 'pwynt o gasglu'];term mathemategol
agentive-figure;['awyrlu', 'llu awyr', 'lu awyr', 'lluoedd awyr'];Un o dair cangen byddin gwlad
agentive-figure;['plaid weriniaethol', 'y blaid weriniaethol', 'plaid gweriniaethol', "plaid gweriniaethol o'r unol daleithiau", "plaid gweriniaethol o'r unol daleithiau america", 'plaid gweriniaethol yr unol daleithiau', 'plaid weriniaethol yr unol daleithiau', 'gop', 'weriniaethol y blaid'];plaid wleidyddol yn yr Unol Daleithiau
agentive-figure;['yr eglwys esgobol', 'eglwys esgobol brotestanaidd', 'protestannaidd eglwys esgobol'];Enwad Anglicanaidd UDA
agentive-physical-object;['pwmpen', 'maro', 'cucurbita pepo', 'cucurbita maxima', 'pwmpen hydref', 'pwmpenni', 'winwydden pwmpen'];Ffrwyth
agentive-physical-object;['derwen', 'derw', 'quercus', 'dderwen', 'y dderwen', 'dderw americanaidd', 'derw americanaidd', 'derw coed', 'goed derw'];genws o blanhigion. math o goeden
agentive-physical-object;['cap cennog blewog', 'pholiota squarrosa', 'cennog pholiota'];Math o ffwng
agentive-physical-object;['styffylwr', 'staplwr', 'stapler', 'staplydd', 'stwfflwr', 'stwfflydd', 'styffylydd', 'styffylu peiriant'];Offer swyddfa, a meddygol, i ddal dalennau at ei gilydd neu yn erbyn pared, neu uno organnau
agentive-physical-object;['planhigion castan dŵr'];Tudalen wahaniaethu Wikimedia
agentive-physical-object;['lemon', 'lemwn', 'limwn', 'citrus limon', 'lemon coed', 'lemonau'];Ffrwyth
agentive-physical-object;['daucus carota', 'moronen', 'llys meddyglyn', 'meddyglyn', 'moronen coch', 'moronen wyllt', 'moronen y maes', 'nyth aderyn', 'hedyn moronen', 'moronen yr ardd', 'moron gwyllt', 'y frenhines anne yn les'];rhywogaeth o blanhigyn
agentive-physical-object;['titwod cynffonhir', 'swidw gynffon-hir', 'swigw hirgwt', 'titw cynffon-hir', 'aegithalidae', 'bushtit', 'llwyn titw'];Teulu o adar
agentive-physical-object;['gwyach ylfinfraith', 'podilymbus podiceps', 'gwyachod gylfinfrith', 'brith-filio gwyachod', 'podiceps podilymbus'];Rhywogaeth o adar
agentive-physical-object;['iâr ddŵr america', 'porphyrio martinica', 'gallinula martinica', 'fulica martinica', 'americanaidd gallinule', 'porphyrula martinica'];Rhywogaeth o adar
agentive-physical-object;['caliergon giganteum', 'gwernfwsogl anferth', 'arctig mwsogl', 'ceirw mwsogl', 'cen ceirw', 'cladonia rangiferina', 'mwsogl ceirw'];Rhywogaeth o fwsogl
agentive-physical-object;['pwdl', 'poodles', 'pwdl ci', 'standard pwdl'];brîd o gi
agentive-physical-object;['cordog', 'chordate', 'chordata', 'cordat', 'cordatau'];Ffylwm o anifeiliaid
agentive-physical-object;['passeri', 'adar canu', 'aderyn canu', 'adar cân', 'songbird'];Is-Urdd o adar
agentive-physical-object;['homo', 'bod dynol', 'homo sapiens sapiens', 'homo sapiens', 'person', 'bodau dynol', 'dynolryw', 'fodau dynol', 'hominina', 'pobol', 'dynol', 'dyn', 'dynol yn cael ei', 'rhywogaeth ddynol', 'y dynol'];Rhywogaeth o deulu Hominidae, rhywogaeth unigryw o''r genws Homo
agentive-physical-object;['gwybedogion', 'muscicapidae', 'gwybedog hen fyd', 'gwybedog gwir'];Teulu o adar
agentive-physical-object;['rhydiwr', 'aderyn hirgoes', 'aderyn rhydiol', 'rhydydd', 'rhydyddion', 'adar hirgoes', 'adar y glannau', 'hirgoes adar'];Isurdd o adar
agentive-physical-object;['aderyn paradwys', 'paradisaeidae', 'paradisaedae', 'adar-o-baradwys', 'adar o baradwys', 'adar o paradise'];Teulu o adar
agentive-physical-object;['helygen', 'helyg', 'salix', 'coed helyg'];Genws (grwp) o blanhigion
agentive-physical-object;['cogau', 'cog', 'cuculus canorus', 'cuculidae', 'gog'];Teulu o adar
agentive-physical-object;['thraupidae', 'thraupinae', 'catamblyrhynchinae', 'tanager'];Is deulu o adar
agentive-physical-object;['ehedydd', 'alaudidae'];Teulu o adar
agentive-physical-object;["llysiau'r afu", 'llys yr afu', 'llys yr iau', "llysiau'r iau", 'marchantiophyta', 'hepaticae', 'hepatig'];grwp o banhigion anflodeuol bach, o'r rhaniad Marchantiophyta
agentive-physical-object;['dendrocolaptidae', 'woodcreeper', 'coed-dringwr bach', 'dendrocolaptinae', 'woodhewer'];Teulu o adar
agentive-physical-object;['pedrynnod plymio', 'pelecanoides', 'pelecanoididae', 'deifio drycin', 'drycin deifio', 'plymio-drycin'];Teulu o adar
agentive-physical-object;['eryr', 'eryrod', 'accipitridae', 'aderyn o jove', 'hebog-eryr'];Teulu o adar
agentive-physical-object;['caracara', 'caracarinae'];Isdeulu o adar
agentive-physical-object;['dringwyr coed', 'certhiidae', 'dringwr bach'];Teulu o adar
agentive-physical-object;['alstroemeria'];Genws o blanhigion blodeuol, brodorol i Dde America
agentive-physical-object;['seriemaid', 'cariamidae', 'chunga', 'chunga burmeisteri', 'seriema'];Teulu o adar
agentive-physical-object;['pachycephalinae', 'thickhead'];Isdeulu o adar
agentive-physical-object;['cornbigau', 'bucerotidae', 'hornbills', 'hornbill'];Teulu o adar
agentive-physical-object;['picidae', 'cnocellod', 'cnocell', 'cnocell y coed', 'gnocell y coed', 'peckerwood'];Teulu o adar
agentive-physical-object;['coblynnod coed', 'hemiprocnidae', 'coed cyflym', 'cribog cyflym'];Teulu o adar
agentive-physical-object;['iâr ddŵr', 'iârddŵr', 'moorhen', 'iar ddwr', 'gallinula chloropus', 'iâr'];Rhywogaeth o adar
agentive-physical-object;['piod môr', 'haematopus', 'haematopodidae', 'pioden y môr', 'wystrys catcher'];Teulu o adar
agentive-physical-object;['cigfachwyr', 'strepera', 'cracticidae', 'currawong', 'gloch bioden'];Teulu o adar
agentive-physical-object;['armadilo', 'armellog', 'dasypodidae', 'cingulata', 'dulog', 'armadillos'];Mamal â phlatiau esgyrnog yn amddiffyn ei ben a'i gorff
agentive-physical-object;['jac-y-do', 'jac y do', 'coloeus monedula', 'jac-do', 'corvus monedula', 'daw'];Rhywogaeth o adar
agentive-physical-object;['llyffant y twyni', 'epidalea calamita', 'bufo calamita', 'twyni'];Rhywogaeth o lyffantod
agentive-physical-object;['cap inc aflêr', 'coprinus comatus', 'cap shaggy', 'madarch shaggymane', 'shaggymane'];Rhywogaeth o ffwng
agentive-physical-object;['gwennol y bondo', 'gwennol y muriau', 'delichon urbica', 'gwennol y fondo', 'bondo', 'delichon', 'house martin'];Rhywogaeth o adar
agentive-physical-object;['fireo unig', 'vireo solitarius', 'blue-headed vireo', 'glas-headed vireo', 'vireo solitarius solitarius'];Rhywogaeth o adar
agentive-physical-object;['cardinalinae', 'cardinal cyffredin', 'cardinaliaid', 'cardinalidae', 'cardinal', 'y cardinaliaid', 'cardinalis cardinalis', 'cardinal grosbeak', 'richmondena cardinalis'];Teulu o adar
agentive-physical-object;['hind'];Enw personol benywaidd
agentive-physical-object;['bras coed', 'spizella arborea'];Rhywogaeth o adar
agentive-physical-object;['gwanwr america', 'gwanwyr', 'anhingidae', 'gwanwr', 'anhinga anhinga', 'anhinga', 'darters', 'gwibiwr', 'snakebird'];Teulu o adar
agentive-physical-object;['struthioniformes', 'ratitae', 'anifeiliaid di-gêl', 'adar di-gêl', 'adar hedfan', 'aderyn hedfan', 'anifeiliaid di-gêl adar', 'hedfan'];Uwch-urdd o adar
agentive-physical-object;['trogoniformes', 'trogoniaid', 'trogon', 'trogonidae'];Teulu o adar
agentive-physical-object;['trogoniformes', 'trogoniaid', 'trogon', 'trogonidae'];Urdd o adar
agentive-physical-object;['chwiwell', 'anas penelope'];Rhywogaeth o adar
agentive-physical-object;['adar drudwy', 'sturnus vulgaris', 'drudwy', 'drudwen'];Teulu o adar
agentive-physical-object;['grugiar ddu'];Rhywogaeth o adar
agentive-physical-object;['sgimwyr', 'rynchopidae', 'sgimwr', 'sgimiwr'];Teulu o adar
agentive-physical-object;['ffacbysen y gwanwyn', 'ffugbysen wyllt', 'vicia sativa', 'vicia lathyroides', 'sativa'];rhywogaeth o blanhigyn
agentive-physical-object;['aepyornis', 'aepyornis maximus', 'aepyornithidae', 'adar eliffant'];genws o adar
agentive-physical-object;['aepyornis', 'aepyornis maximus', 'aepyornithidae', 'adar eliffant'];Rhywogaeth o adar
agentive-physical-object;['accipitriformes', 'yr eryrod', 'accipitriformes gorchymyn'];Urdd o adar
agentive-physical-object;['crëyr mawr glas', 'ardea herodias', 'ardea herodius', 'crehyrod glas mawr', 'great blue heron', 'mawr glas glas'];Rhywogaeth o adar
agentive-physical-object;['fwlturiaid y byd newydd', 'cathartidae', 'fwltur byd newydd', 'cathartid'];Teulu o adar
agentive-physical-object;['cnocell fwyaf america', 'campephilus principalis', 'ifori-bilio gnocell y coed', 'ivorybill'];Rhywogaeth o adar
agentive-physical-object;['musophagiformes', 'twracoaid', 'musophagidae', 'y twracoaid', 'turaco', 'touraco', 'turacou', 'turakoo'];Teulu o adar
agentive-physical-object;['cea', 'nestor notabilis', 'kea'];Rhywogaeth o adar
agentive-physical-object;['cornchwiglen', 'cornicyllod', 'cornchwiglod', 'gornchwiglen', 'gwyrdd cwtiad', 'peewit'];Rhywogaeth o adar
agentive-physical-object;['iâr y coed', 'grifola frondosa', 'iar y coed', 'hen-of-the-coed', "iâr o'r goedwig", 'maitake', 'polyporus frondosus'];math o ffyngau
agentive-physical-object;['ciconia pig esgid', 'balaeniceps rex', 'shoebill', 'balaenicipididae', 'shoebird'];Rhywogaeth o adar
agentive-physical-object;['pryfyn y gweryd', 'tabanidae', 'robin y diawl gwyllt', 'robin gwrw', 'robin y gyrrwr', 'cleg', 'clegg', 'dipio ceffyl', 'hedfan ceffyl', 'horsefly'];Pryf sydd yn heintio gwartheg ac anifeiliaid mawr eraill, yn boenus, trwy dreiddio o dan y croen.
agentive-physical-object;['mulfran', 'mulfrain', 'phalacrocoracidae', 'phalacrocorax carbo', 'shag'];Teulu o adar
agentive-physical-object;['rhedwr y moelydd', 'rhedwyr', 'burhinidae', 'stone curlews', 'burhinus oedicnemus', 'garreg y gylfinir', 'stone gylfinir', 'trwchus-pen-glin'];Teulu o adar
agentive-physical-object;['ceiliog y waun', 'ceiliog y gwerni', 'otis tarda', 'bustard great', 'bustard mawr'];Rhywogaeth o adar
agentive-physical-object;['anthocerotophyta', 'cornlysiau', 'cyrnddail', 'hornworts'];Grwp o blanhigion
agentive-physical-object;['himantopus', 'himantopus stilts', 'hir-coesau', 'longlegs', 'stiltbird', 'stilts', 'stilts cwtiad'];genws o adar
agentive-physical-object;['cambig', 'recurvirostra avosetta'];Rhywogaeth o adar
agentive-physical-object;['rholyddion daear', 'brachypteraciidae', 'rholydd daear', 'roller ddaear', 'tir-rholer'];Teulu o adar
agentive-physical-object;['troellwyr', 'gwalch y nos', 'nyddwr', 'troellwr', 'caprimulgidae', 'chordeiles minor', 'cudyll-droellwr', 'cudylldroellwr', 'cudylldroellwyr', 'troellwr mawr', 'caprimulgid', 'goatsucker'];Teulu o adar
agentive-physical-object;['socan eira', 'turdus pilaris', 'fieldfare'];Rhywogaeth o adar
agentive-physical-object;['bobolinc', 'dolichonyx oryzivorus', 'bobolink'];Rhywogaeth o adar
agentive-physical-object;['bwlbwliaid', 'pycnonotidae', 'bwlbwliad', 'bulbul'];Teulu o adar
agentive-physical-object;['tylluan', 'strigiformes', 'gwdihw', 'gwdihŵ', 'tylluanod', 'y gwir dylluan', 'aderyn o minerva', 'aderyn y nos', 'dylluan'];Math o adar (rhywogaeth)
agentive-physical-object;['ciwi', 'kiwi', 'apterygiformes', 'ciwïod', 'apteryx', 'kiwis'];Urdd o adar
agentive-physical-object;['rholyddion', 'coraciidae', 'rholeri', 'rholio'];Teulu o adar
agentive-physical-object;['paun, peunes', 'pavo cristatus', 'glas peafowl'];Rhywogaeth o adar
agentive-physical-object;['passeriformes', 'aderyn clwydol', 'aderyn golfanaidd', 'passerine', 'golfanod', 'passeriform adar'];Urdd o adar
agentive-physical-object;['llydandroed llwyd', 'phalaropus fulicarius', 'coch phalarope', 'grey phalarope', 'phalarope red'];Rhywogaeth o adar
agentive-physical-object;['grugiar goch', 'lagopus lagopus scotica', 'lagopus scoticus', 'moorbird', 'moorfowl', 'moorgame', 'rhos-adar', 'rugiar goch', 'y rugiar goch'];Rhywiogaeth o adar
agentive-physical-object;['bacteria', 'bacteriwm', 'eubacteria', 'facteriol', 'bacteriol'];Teyrnas o prokaryotes
agentive-physical-object;['telor', 'teloriaid', 'old world telor', 'telor gwir', 'telor hen fyd', 'teloriaid hen fyd'];Teulu o adar
agentive-physical-object;['gwylan benddu', 'gwylan chwerthinog', 'larus ridibundus', 'chroicocephalus ridibundus', 'larus atricilla', 'leucophaeus atricilla', 'chwerthin gwylan', 'laughing gwylan', 'pewit gwylan'];Rhywogaeth o adar
agentive-physical-object;['llwyd y gwrych', 'llwyd gwrych yr alban', 'llwyd y berth', 'gwrych aderyn y to', 'prunella modularis'];Rhywogaeth o adar
agentive-physical-object;['gwyach', 'gwyachod', 'podicipediformes', 'podicipedidae', 'pocipedidae'];Urdd o adar
agentive-physical-object;['coch dan adain', 'coch dan-aden', 'turdus iliacus'];Rhywogaeth o adar
agentive-physical-object;['telor yr hesg', 'acrocephalus schoenobaenus', 'hesg', 'hesg adar'];Rhywogaeth o adar
agentive-physical-object;['aderyn y to', 'passer domesticus', 'saesneg aderyn y to'];Rhywogaeth o adar bychan
agentive-physical-object;['llinos', 'carduelis cannabina', 'ewrasiaidd llinos', 'lintwhite'];Rhywogaeth o adar
agentive-physical-object;['pengwin brefog', 'spheniscus demersus', 'pengwin jackass'];Rhywogaeth o adar
agentive-physical-object;['corsoflieir', 'corsofliâr', 'turnicidae', 'botwm-sofliar', 'botwm quail', 'buttonquail', 'hemipode', 'sofliar bustard'];Teulu o adar
agentive-physical-object;['pila gwyrdd', 'carduelis spinus', 'spinus spinus'];Rhywogaeth o adar
agentive-physical-object;['trochwyr', 'cinclidae', 'dŵr mynydd'];Teulu o adar
agentive-physical-object;['brychion', 'bronfraith', 'brych', 'fronfraith', 'llindag'];Teulu o adar
agentive-physical-object;['hirgoes', 'hirgoes y penrhyn', 'himantopus himantopus', 'black-winged stilts', 'brith stilts', 'du-adenydd stilts'];Rhywogaeth o adar
agentive-physical-object;['pibydd crwydrol', 'heteroscelus incanus', 'polynesaidd tattler'];Rhywogaeth o adar
agentive-physical-object;['todiaid', 'todus', 'todi', 'todidae', 'tody'];Teulu o adar
agentive-physical-object;['motmotiaid', 'momotidae', 'motmot', 'momot'];Teulu o adar
agentive-physical-object;['jacamarod', 'galbulidae', 'jacamar'];Teulu o adar
agentive-physical-object;['gwybed-ddalwyr', 'polioptilidae', 'gwybed-ddaliwr', 'gnatcatcher'];Teulu o adar
agentive-physical-object;['aderyn', 'adar', 'aves', 'bird', 'avafauna', 'avifauna', 'clwydo'];Dosbarth o detrapodau
agentive-physical-object;['hirgoes torchog', 'cladorhynchus leucocephalus', 'bandiau stilts', 'cladorhyncus leucocephalum', 'resog stilts'];Rhywogaeth o adar
agentive-physical-object;['cocatŵ pinc', 'cacatua leadbeateri', 'kakatoe leadbeateri', 'pinc cockatoo'];Rhywogaeth o adar
agentive-physical-object;['cocatŵod', 'cocatŵ', 'cacatuidae', 'cockatoo', 'cockatoos'];Teulu o adar
agentive-physical-object;['caws cesar', 'amanita caesarea', 'amanita caesaria', 'amanita croen neidr', 'amanita cesarea', "brenhinol amanita'r", "cesar amanita'r"];math o ffwng
amount-of-matter;['dŵr', 'dwfr', 'h₂o', 'dwr', 'water', 'dŵr hylif', 'dŵr hylifol', 'h2o'];Yr hylif mwya cyffredin ar y ddaear
amount-of-matter;['propylthiowracil', '2-thio-4-oxo-6-propyl-1,3-pyrimidine', '2-thio-6-propyl-1,3-pyrimidin-4-one', '4-propyl-2-thiouracil', '6-propyl-2-thiouracil', '6-propylthiouracil', '6-thio-4-propyluracil', 'thyreostat', '2,3-dihydro-6-propyl-2-thioxo-4(1h)-pyrimidinone', '6-propyl-2-thio-2,4(1h,3h)pyrimidinedione', '6-propyl-2-thioxo-2,3-dihydropyrimidin-4(1h)-one', 'propylthiouracil'];cyfansoddyn cemegol
amount-of-matter;['hydrogen', 'ulai', 'h', 'heidrogen', 'dihydrogen', 'hydrogen moleciwlaidd', 'moleciwl hydrogen', 'nwy hydrogen', 'rhif atomig 1'];elfen gemegol gyda'r symbol H a'r rhif atomig 1
amount-of-matter;['aur', 'au', 'gold', 'aur brodorol', 'aur wythïen', 'rhif atomig 79'];Elfen gemegol gyda'r rhif atomig o 79
amount-of-matter;['llaeth', 'llefrith', 'lefrith', 'laeth buwch', 'protein llaeth', 'solidau llaeth'];Hylif gwyn a gynhyrchir gan famolion benyw
amount-of-matter;['alb', 'serwm albwmin'];Genyn codio-protien yn y rhywogaeth Homo sapiens
amount-of-matter;['carbon', 'ulwyn', 'c', 'atom carbon', 'carbonaidd', 'carbons', 'rhif atomig 6'];elfen gemegol gyda'r rhif atomig 6
amount-of-matter;['tg', 'thyroglobulin'];Genyn codio-protien yn y rhywogaeth Homo sapiens
amount-of-matter;['carbon monocsid', 'co', 'monocsid carbon', 'nwy carbon monocsid'];nwy gwenwynig
amount-of-matter;['oxyde de cuivre', 'copr ocsid'];Tudalen wahaniaethu Wikimedia
amount-of-matter;['llaeth', 'llefrith', 'lefrith', 'laeth buwch', 'protein llaeth', 'solidau llaeth'];Hylif gwyn a gynhyrchir gan famolion benyw
biological-object;['mastgell', 'mastgelloedd', 'cell mast', 'celloedd mast', 'labrocyte', 'mastocyte'];Math o gell
biological-object;['tegyll', 'tagell', 'lamela', 'lamella'];rhan o'r fadarchen sydd oddi tan y capan
biological-object;['afal', 'malus domestica', 'afallen', 'coeden afalau', 'afalau', 'green apple'];Ffrwyth
biological-object;['ffrwyth', 'frwyth', 'ffrwythau', 'pod hadau'];Rhan o blanhigyn blodeuol
causal-role;['diheintydd', 'antimicrobiano', 'germicide', 'gwrthficrobaidd', 'antimicrobic', 'asiant gwrthficrobaidd', 'ddiheintio', 'diheintyddion', 'gwrth-ficrobaidd', 'gwrthficrobau', 'sanitizer'];tudalen wahaniaethu Wikimedia
causal-role;['agt', 'angiotensin', 'angiotensinogen', 'angiotonin', 'hypertensin'];Genyn codio-protien yn y rhywogaeth Homo sapiens
chemical-object;['ïon hydrogen', 'ïonau hydrogen'];Tudalen wahaniaethu Wikimedia
chemical-object;['alb', 'serwm albwmin'];Genyn codio-protien yn y rhywogaeth Homo sapiens
chemical-object;['tg', 'thyroglobulin'];Genyn codio-protien yn y rhywogaeth Homo sapiens
classification-system;['strwythur data', 'strwythurau data'];Ffordd benodol o storio a threfnu data mewn cyfrifiadur
cognitive-event;['trichotillomania'];Cyflwr lle mae person yn teimlo’r angen i dynnu eu gwallt
cognitive-modal-description;['barn y byd', 'weltanschauung', 'byd-olwg', 'byd barn', 'fyd-olwg'];Ymagwedd athronyddol neu ddiwinyddol tuag at ei le yn y byd a / neu gymdeithas
commerce-role;['cynwydd', 'nwydd', 'nwyddau', 'nwyddau economaidd', 'cynwyddau', 'da', 'fasnachu yn dda'];Peth diriaethol ac anniriaethol, ac eithrio gwasanaethau caeth llafur, sy'n bodloni dymuniadau dynol ac sy'n darparu cyfleustodau
commerce-role;['cynnyrch', 'nwyddau', 'cynhyrchion', 'nwydd'];Unrhyw beth y gellir ei gynnig i farchnad a allai fodloni angen
course;['damwain car', 'damwain cerbyd', 'damwain modur', 'damwain auto', 'damwain automobile', 'damwain cerbyd modur', 'damwain ffordd', 'damwain traffig', 'damweiniau automobile', 'damweiniau car', 'damweiniau cerbydau modur', 'damweiniau traffig', 'ddamweiniau car', 'dorri i fyny', 'gwrthdrawiad traffig', 'troseddwyr bender'];damwain draffig yn cynnwys o leiaf un car
course;['bag1'];Genyn codio-protien yn y rhywogaeth Homo sapiens
course;['esgoriad ffolennol', 'cyflwyniad ffolennol', 'genedigaeth ffolennol'];Geni babi pen ôl yn gyntaf
course;['y cylch busnes', 'cylch busnes', 'cylch economaidd', 'gylchred fasnach'];Tudalen wahaniaethu Wikimedia
course;['canlyniad', 'ganlyniad', 'effaith'];Canlyniad terfynol cyfres o weithredoedd neu ddigwyddiadau
ecological-collective;['coedwig', 'wälder', 'goedwig', 'fforest', 'coed', 'coediog', 'coedwig gonifferaidd', 'coedwigoedd'];Cyfenw
event;['gemau olympaidd y gaeaf', 'olympaidd y gaeaf'];Digwyddiad chwaraeon rhyngwladol mawr
event;['knell', 'cnul'];Cyfenw
functional-matter;['hangeul', 'hangul', 'alffabet coreaidd', 'chosongul', "chosŏn'gŭl", 'tsiòson-gwl'];Alffabet Coreaidd
functional-matter;['hagis', 'haggis'];pwdin sawrus sy'n cael ei gysylltu yn bennaf â'r Alban
functional-matter;['anesthetig', 'anaestheteg', 'anesthetig asiant'];cyffur sy'n lleihau poen ac yn gyrru'r claf i gysgu
functional-matter;['toes', 'does'];Past a ddefnyddir i bobi bara a pharatoi bwydydd eraill
functional-matter;['gcg', 'glwcagon'];Genyn codio-protien yn y rhywogaeth Homo sapiens
functional-matter;['rho', 'rhodopsin', 'gweledol porffor', 'porffor retina'];Genyn codio-protien yn y rhywogaeth Homo sapiens
functional-matter;['cardbord', 'cardfwrdd', 'carbord', 'bwrdd cyfansoddiad'];Papur gwydn i greu blychan
functional-matter;['pwdin', 'melysfwyd', 'afters', 'pwdinau'];Melysfwyd i fwyta ar ôl cinio
functional-matter;['plat', 'meinwe plasminogen activator', 'activase', 'alteplase'];Genyn codio-protien yn y rhywogaeth Homo sapiens
functional-matter;['llaeth', 'llefrith', 'lefrith', 'laeth buwch', 'protein llaeth', 'solidau llaeth'];Hylif gwyn a gynhyrchir gan famolion benyw
functional-matter;['cyffur gwrthlid ansteroidol', 'nsaid', 'cyffur gwrthlidiol', 'cyffur gwrthlidiol ansteroidol', 'meddyginiaeth gwrthlid ansteroidol', 'nad ydynt yn steroidau gwrthlidiol cyffuriau', 'nonsteroidal gwrth-llidiol cyffuriau', 'cyffuriau antiinflammatory nonsteroidal', 'gyffuriau antiinflammatory nonsteroidal', 'nonsteroidal cyffuriau gwrthlidiol', 'nonsteroidal gwrth-llidiol'];Dosbarth (y cyffur)
functional-matter;['aciclovir', 'acyclovir', 'zovirax', 'acycloguanosine'];Cyfansoddyn cemegol
functional-matter;['ocr', 'melyn tywyll', 'ochraceous', 'ocr coch'];disgrifiad o liw sy'n nodweddiadol o'r Ddaear
functional-matter;['afal', 'malus domestica', 'afallen', 'coeden afalau', 'afalau', 'green apple'];Ffrwyth
functional-matter;['siocled', 'siocledi'];Bwyd a wneir o ffa cacao
functional-matter;['defnydd adeiladu', 'deunydd adeiladu', 'cynhyrchion adeiladu', 'deunyddiau adeiladu'];defnydd a ddefnyddir ar gyfer adeiladu
functional-matter;['llaeth', 'llefrith', 'lefrith', 'laeth buwch', 'protein llaeth', 'solidau llaeth'];Hylif gwyn a gynhyrchir gan famolion benyw
