abstract-region;['taran'];Taran Xisaab ahaan waa natiijada Iskudhufasho laba walxoox.
activity;['dagaalkii labaad ee aduunka'];Dagaalkii Labaad ee Aduunka,, sida la wada ogyahay dagaalkii labaad ee aduunka waxa uu ahaa dagaal caalami ah, gabi ahaan waxaa loo tixgiliyaa markii ugu danbeysay.waxa uu bilowday taariikhdu markii ay ahayd 1939 wuxa uuna dhamaaday 1945.
activity;['dagaalkii koowaad', 'dagaalkii dunida kowaad', 'dagaalkii koowaad aduunka', 'dagaalkii koowaad ee aduunka'];Dagaalkani wuxu bilaabmay sanadkii 1914 wuxuuna dhamaaday sanadkii 1918kii, marka Versailles lago saxiixey heshiis nabadgelyo.
activity;['waxbarasho', 'wabarasho', 'waxbarsho'];Waxbarasho
activity;['sheeko'];Sheeko waa soo gudbinta iyo ka waranka warar iyo macluumaad run ama khiyaali ah, kuwaasi oo ku saabsan dhacdo iyo marxalad wakhti la soo dhaafay dhacday.
activity;['ciyaaraha'];Ciyaaruhu waa madadaallo waqtiga la isku dhaafiyo, marmarka qaarkoodna loo adeegsado in wax la isku baro.
activity;['dagaal'];Dagaal waa isku dhac ay isku dhacaan laba qof ama in kabadan.
activity;['dumnad', 'dominó'];Dumnad
activity;['poker'];Poker waa qoys ka mid ah ciyaaraha kaararka oo isku daraya khamaarka, istiraatiijiga, iyo xirfad.
activity;['xabsi guri'];Xabsi guri ama jeel guri waa xeer ciqaabeed diidaya dhaqdhaqaaq iyo banaan jooga qof siyaasi ah, isagoo gurigiisa ama xafiiskiisa lagu dhex xannibayo mudoaan cayinnayn, waana markii maamulka meeshaas ka jira uu u diidanyahay qofkaas inuu shacabka ama saxaafada la hadlo ama abaabul kicin ah looga baqo, taasoo badal ama fududayn ka ah inuu xabsi ama jeel caadi ah galo, == Taariikh == == Tilmaan == == Xiliyo xabsi guri dad loo adeegsay == === Aljeeriya === Ahmed Ben Bella madaxweynihii hore ee aljeeriya 1965, ka dib u baxay magangalyo doon 1980.
activity;['midab takoor', 'midabtakoor', 'midab kala-sooc'];Midab Takoor waa yasid lagu yasaayo qof kale midabkiisa ama muuqaalkiisa.Midab Takoorka waxaa soo raaca Addoonsi Takoor iyo Quudhsi == Faahfaahin == Addoonsigu waa yasid, xaqirid, liidid, khasbid iyo jujuubid dadka loola dhaqmo si axmaqnimo, waxashnimo iyo bahalnimo ah oo dadnimada ka baxsan, iyadoo dadka loo isticmaalayo ama loo munaafacaadsado sida xoolaha oo kale.
activity;['yom kippur war'];Yin Kippur War/Yom Kippur War Israaiil iyo Egypt Doorashyoorinka, Afrika, iyo Asiya Yin Kippur War, Ramadaan Dagaal, ama Oktoobar Dagaal
activity;['feerka', 'feer'];Feerka waa tartanka ka mid ah dagaalka tasoo.
activity;['waraabka'];Waraabka waa marka biyo lugu shubo beeraha.
activity;['cilmibaadhis', 'cilmi baaris'];Cilmibaadhis sidoo kale loo qoro Cilmibaaris waa hab cilmiga ka mid ah oo tijaabo la sameeynayo ah.
activity;['ciqaab'];Ciqaab waa marka wax lugu sameeyo qofka oo dhego adag ah, qofka dembi sameeyey ama caasiya ah.
activity;['dhaqan cilis', 'dib u celin'];Dib u Celin oo af-suuq loo yaqaan dhaqan celis waa habka loo maro dib u celinta Qaxootiga, tahriibayaasha, iyo dadka dalalkooda in badan uga maqnaa qalalaaso siyaaseed ama mid nolol xumo dalalkii ay ka soo jeedeen iyadoo loo marayo qaab ku salaysan heshiis dhex maray wadamada ama qasab iyo tarxiil.
activity;['ganacsi', 'ganacsiga', 'ganacsade'];Ganacsi oo loo yaqaano, wax kala iibsi, ama warshadaha, dukaamadaha, ayaa ah mid caalamka la isku af garto..ganacsiga waxaa ka mid ah, wax soosaarka ama gaditaanka sida qalabka ama cuntada, ganacsiga waa madaxtooyada dhaqaalaha.
activity;['fan'];Fan
activity;['shaax', 'shaah'];Shaax ama Shaah waa cabitaan kulul, oo dadka energi siiyo!
activity;['waxbarasho', 'wabarasho', 'waxbarsho'];Waxbarasho
activity;['saxaafad', 'waa maxay saxaafada'];axaafad waa xirfad u istaagtay in ay uruuriso faallooyin ka bixoso Warka hubisana kalsoonida iyo usoo gudbinta mujtamaca, inta badan waxay ahaataa dhacdo hadda dhacday ee ku saabsan arrimaha siyaasadda, gudaha, ciyaaraha iyo arrimaha bulshada.
activity;['ugaadhsi', 'ugaadhsade', 'ugaadhsato'];Ugaadhsi, Ugaarsi waa shaqada iyo khiyaanada lagu qabto ama dilo xayawaan duurjoog ah.
activity;['roob'];Kani waa maqaal ku saabsan "Roobka".
agent-driven-role;['darawal'];Waa shakhsi ama qofka xirfadiisu tahay inuu kaxeeyo ama wado baabuurta = Darawal = Darawal ama Shufeer waa qofka awooda uleh inuu koontaroolo ama maamulo gaadiid ama baabuur dul socda oogada dhulka.
agentive-figure;['banki', 'bangi', 'bank'];Banki, Bangi waa xarun dhaqaale lacagaha maamusha, keydisa, samaysa, dib u daabacda isla markaana dhaqaale ka sameysa amaahinta iyo maalgelinta ganacsiga, wershadaha, shirkadaha IWM. Bangiyada waxaa inta badan iska leh dowlada dhexe taasi oo ku maamusha qiimaha iyo sicirka lacagta iyo badeecadaha kala duwan.
agentive-figure;['golaha kalsoonida qaramada midoobay', 'gkqm'];Golaha Kalsoonida Qaramada Midoobay waa xubin ka mid ah xubnaha ugu muhiimsan Qaramada Midoobay taasi oo loo sameeyay si ay u caawiso maamulka iyo gacan ku haynta deegaanada lagu aaminay Qaramada Midoobay.
agentive-figure;['golaha dhaqaalaha iyo bulshada qaramada midoobay', 'ecosoc', 'gdbqm', 'ghbqm'];"Boga "GDBQM" iyo "ECOSOC" halkan ayaa laga soo toosiyay.
agentive-figure;['dowlad', 'dowlad madax banaan'];Dowlad waa koox dad ah oo isu tagay oo dhaqdhaqaaqooda ku samaynaya hal meel ama hal gobol juquraafi ahaan hal meel wada dagan ama wada wadaaga oo wada hoostaga hal xukun oo ka jira goobtaas ay kunoolyihiin oo leh kala sarayn iyo maamul sidaas ayay dawlad ku yihiin dawladu waxa ay samaysaa dhaqdhaqaaq, siyaas, dhaqale, iyo mid ijtimaaci ah taas oo loola jeedo hagaajinta horumarinta mujtamaca goobtaas wada dagan caalamkuna waxa uu u qaybsamaan koox dawlada ah oo meel wada dagan.
agentive-figure;['dowlad', 'dowlad madax banaan'];Dowlad madax banaan ama wadan madax banaan waa dowlada ka talisa dhul cayiman, gude iyo dibadba ku madax banaan, qaanuun iyo degaan joogto ahna leh.
agentive-figure;['guddi'];Guddi waa tiro dad ah oo loo xulay hawl gaar ah in ay qabtaan oo loo xilsaaray arimo khaas in maamulaan ama soo xaliyaan
agentive-figure;['ururka caafimaadka aduunka', 'hayada caafimaadka aduunka', 'who'];Kani waa maqaal ku saabsan Ururka Caafimaadka Aduunka ee ka tirsan Qaramada Midoobay.
agentive-figure;['unicef', "united nations international children's emergency fund"];UNICEF waa hayad ka tirsan hayadaha jamciyada quruumaha ka dhaxaysa waxayna qaabilsantahay caruurta waxa la aasaasay sanadii
agentive-figure;['unesco'];United Nations Educational, Scientific and Cultural Organization waa hey'ad ka tirsan ururka Qaramada Midoobay oo qaabilsan Waxbarashada, Seyniska iyo Dhaqanka.
agentive-figure;['dalalka kommonwels'];Dalalka Barwaaqo soranka Oo loosoo gaabiyo Waa Urur ka kooban 53 Dawladood oo dhamaantood ah Gobolo hore uga mid ahaan jiray Midowga boqortooyada Britan Dawlada Dhexe ee Commonwealth, oo inta badan loo yaqaan 'Commonwealth', [2] waa hay'ad dawladeed oo ka kooban 53 xubnood oo ka mid ah dowladaha ugu badan ee ka soo jeeda Boqortooyada Ingiriiska.
agentive-figure;['nasa'];NASA
agentive-figure;['gaashaanbuurta nato', 'nato'];Gaashaanbuurta NATO Waa gaashaanbuur militari oo samaysantay kadib Dagaalkii Labaad ee Aduunka magaca NATO waxa loosoo gaabiyay, ururka gaashaanbuurta Koonfurta atlantikga.
agentive-figure;['midowga yurub', 'suuqa ka dhaxeeya yurub', '🇪🇺'];w:tr:Avrupa Birliği Midowga Yurub waa mid siyaasadeed iyo mid dhaqaale oo ka kooban 28 xubnood oo xubin ka ah Midowga Yurub.
agentive-figure;['jaamacada carabta', 'ururka carabta'];Jaamacada Carabta waa urur kulmiya wadamada carabta.Waa urur kulmiya wadamo kuyaala Afrika iyo Aasiya xubnaha kujira waxaa looyaqaana dawldo caraba.waa dawlado wadaaga arimo dhaqaale iyo arimo siyaasadeed.
agentive-figure;["hay'ada laanqayrta cas"];Hay'ada laanqayrta cas.
agentive-figure;['opec'];w:zh:石油输出国组织 Ururka Caalmaiga ah ee Soosaara shiidaalka..Waa urur caalamiya oo kakooban 12 dawladood oo soosaara gaasta iyo baatroolka.
agentive-figure;['qaramada midoobay', 'jimciyada quruumaha ka dhaxaysa', 'qm', 'un', 'uno', 'ururka qaramada midoobay'];Kani waa maqaal ku saabsan Jimciyada Quruumaha Ka Dhaxaysa.
agentive-figure;['xisbi'];Xisbi
agentive-figure;['gabareey-maanyo'];Gabareey-maanyo ama waa sheeko xariir.Abuurkeedu waa gabadh dhinaca kore anba qaarka hore banii-aadmi ka ah, qaarrka danbena kaluun ka ah.
agentive-figure;['diin'];Diin waa rumaysad awood sare iyo hannaan akhlaaq, ku dhaqan, iyo qaddarin la xiriira rumaysadkaas.Adduunka maanta waxaa laga aaminsanyahay waxyaabo farabadan oo loogu yeedho "[diimo]" laakiin soo hoos gelayaan kuwa badan oo bulsho ama qof sheqsi ah la yimi sida sikh,Hindu,Bahay iwm.
agentive-figure;['islaam', 'islaamka', 'islam', 'qaybaha islaamka'];Islaam macnihiisane "Waa isu dhiibid Allaha", kalmada Islam waxey ka timid kalmada carabiga ah oo loola jeedo salaam ama nabadgalyo.
agentive-figure;['ahlu sunno waljamaaca', 'sunni'];Ahlu sunno waljamaaca ama af carabiga lagu dhaho waa qoomiyad ka mid ah islaamka.
agentive-figure;['ahlu sunno waljamaaca', 'sunni'];Sunni waxaa wayay dadka oo raaco sunnada nabi Maxammad Sallalahu Caleyhi Wasalam.waa daaifada uguwayn islaamka waxa aykudhaqmaan Qur'aan iyo SunnaNabagiga C.S
agentive-figure;['shiica', 'ismaaciiliya', 'shiicada'];Kani waa maqaal ku saabsan mabda'a Shiicada ee qeybta ka ah diinta Islamka.
agentive-figure;['xoghaynta qaramada midoobay', 'golaha xoghaynta qaramada midoobay', 'gxqm'];Kani waa maqaal ku saabsan golaha xoghaynta QM. Qoraalo kale fiiri Waaxyaha Qaramada Midoobay
agentive-figure;['hindusam', 'hinduuga'];Boga "Hinduu" halkan ayaa laga soo toosiyay.
agentive-figure;['booliis', 'askari'];Kani waa maqaal ku saabsan ciidanka nabadsugida.
agentive-figure;['midowga sofiyet', 'midowgii sofiyet', 'soviet union'];Midowgii Sofiyet ama markii la soo gaabiyo СССР, wuxuu ahaa dowlad ku taalay bariga Yurub iyo Aasiya gaar ahaan wadanka hadda loo yaqaano Ruushka.
agentive-figure;['wakaalada awooda atomik aduunka', 'iaea'];Kani waa maqaal ku saabsan hayada awooda nukliyeerka QM. Qoraalo kale fiiri Hayadaha Qaramada Midoobay.
agentive-figure;['icao', 'ururka adeega duulista caalamiga'];Boga "ICAO" halkan ayaa laga soo toosiyay
agentive-figure;['ururka badaha aduunka', 'imo'];Kani waa maqaal ku saabsan Ururka Badaha QM. Bogag kale fiiri "hay'adaha QM".
agentive-figure;['ururka shaqaalaha aduunka', 'ilo'];Kani waa maqaal ku saabsan hayada shaqaalaha QM. Qoraalo kale fiiri Hayadaha Qaramada Midoobay.
agentive-figure;['ururka sadaasha hawada aduunka', 'wmo'];Kani waa maqaal ku saabsan hayada saadasha hawada QM. Qoraalo kale fiiri Hayadaha Qaramada Midoobay.
agentive-figure;['ururka cuntada iyo dalaga', 'fao', 'wfa'];Kani waa maqaal ku saabsan hayada cuntada iyo beeraha QM. Qoraalo kale fiiri Hayadaha Qaramada Midoobay.
agentive-physical-object;['bocor guduud'];Bocor ama bocor guduud waa nooc ka mida dhirta la cuno u samaysan sidii giraan le'eg qaraha marmarna ka wayn leh liidad godan, korkiisuna sabiibax yahay, midabkiisu waa jaalle madow xigeen ah iyo orange, qolofkiisu adgyahay, gudahana ku leh hilib iyo miro, qaarkiis ayaa aad u waynaada, hadba wadanka la joogo ayay ku xirantahay waynaantiisa iyo qaabkiisa, waxaa la sheegaa inuu ka soo jeedo woqooyiga ameerika, mirihiisa ayaa la sheegaa in laga helay maxico waa aad u horeeyay, waxaa la cunaa markii la kariyo, soomaalida ayaan aad u adeegsan bocorka waxay ku darsadaan oo kali ah suugada, wadamada qaar ayaa caadi looga cunaa isagoo la dubay ama la kariyay, Maraykanka, kanada shiinaha yurub iyo maxico ayaa la cunaa waqtiga ciidaha isagoo loo sameeyay jaadad kala gadisan, Hindiya ayaa laga cunaa markii lagu daro qudaar kala duwan sida basbaaska waxaana loo yaqaan kadu, Guanshi shiinaha ayaa laga cunaa caleenta bocor guduudka markii la kariyo, Thailand iyo wadamada koonfurta aasiya ayaa aad u isticmaala markii lagu kariyo hilibka, wadamada qaar ayaa ka sameeya khamrada, miraha bocorka ayaa iyagana laga cunaa wadamada qaar, guud ahaan dunida ayaa aad looga isticmaala bocor guduudka.
agentive-physical-object;['kombuyuuterka dhabta', 'laptop'];Haku khaldin "Kumbuyuutar"
agentive-physical-object;['gool'];Gool waa dhediga libaaxa taas oo ka mid ah xayawaanka Bahda Bisada loo yaqaano.
agentive-physical-object;['dabagaale', 'dabangaale'];Dabangaale waa nooc ka mid ah xayawaanka yaryar kaasi oo ku nool geedaha iyo godad dhulka hoostiisa ah.
agentive-physical-object;['xayawaan', 'animalia'];Xayawaan waa noole ka mid ah noocyada noolaha.
agentive-physical-object;['dhir', 'beer', 'plant', 'plantae'];Kani waa maqaal ku saabsan "dhirta".
agentive-physical-object;['kumbuyuutar', 'kombuyuutar'];Haku khaldin "Kombuyuuterka Dhabta"
agentive-physical-object;['robot'];Robot waa mashiin kombiyutar lagu brograameeyay, oo iskiis wax u qabsan karo.
agentive-physical-object;['qajaar'];Qajaar waa geed jiif dhulka ku saaqa ka mida bahda bocorlayda, wuxuu fuulaa ama ku saaqaa geedaha kale iyo wax walboo taagan, waxay isku bah yihiin bocor cadaha iyo bocor guduudka, dhulka ayaa lagu beeraa qoto dheer 12-18 mili mitir, ka dib kor buu u soo baxaa asagoo ku saaqa kuna baxa wax walboo ka hor yimaada, beeraleyda ayaa u sameeya tiirar ay ku baxdo badanaa, ama waxa ay ku ag beeraab darbi shabaq ah si uu u fuulo uguna boxo, badanaa qajaarku wuxuu u abuuranyahay qaab dhululobo ah oo dul jiifa dhulka xabad xabad, midab cagaar iyo cadaan isugu jira leh, waxaa la goostaa miraha qajaarka wax mar ka badan sanadkiiba, wuxuu sugnaan karaa 80-100 maalin, asalka qajaarka ayaa ka soo jeeda koonfur bari aasiyahase yeeshee wuxuu ku faafay dunida, waxaa la cunaa markii la kariyo, soomaalida ayaa ku darsata suugada, mar marna waxay ku darsadaan saladhka isagoon la karin, geedkaan ayaa ku baxa cimilo diirran ee ku haboon bixidiisa, == Jaadka miro ahaaneed == waa miro u samaysan sidii dhululubadii labada gees ka soo qalloocan dhexdana tuur ku leh, caleemihiisa waxa la moodaa sadex gees, caleentiisa ayaa haraysa mirihiisa kana ilaalisa saamaynta cimilada, jiridiisu waa gaabantahay, wayna duf badantahay, dhirirka mirtiisa ayaa u dhexeeya 2.5-92 sm, dusha ku leh jiitinno qodan, leh qolof jilicsan oo cagaar ah sida caadiga, mar haday jaale noqoto dhadhankeedu waa qaraar, marmarna aashito ayuu noqdaa, == Waxtarkiisa caafimaad == Qajaarka ayaa u roon caafimaadka bin aadanka isagoo wax ka tara xanuuno badan, meelaha uu u roonyahay waxaa ka mida: === Caloosha iyo dheefshiidka === wuxuu u fiicanyahay socodsiinta caloosha iyo sifaynta mindhicirada, maadaama ay leedahay xarko jiida wasakhkda caloosha, Qajaarka ayaa leh fiitamin C iyo B iyo wax yar oo fiitamiin A ah, sida uu u leeyahay macdan iyo bir muhiin u ah jir dhiska sida soodiyanka, kaalshiyamka, foosfoorka, iyo magniisiyamka, wuxuu kaloo u roonyahay dheef shiidka iyo nadiifinta uur ku jirta === Maqaarka === Qajaarka ayaa u fiican maqaarka jirka, qoloftiisa ayaa loo adeegsadaa hoos u dhigida heer kulka jirka, wuxuu ka ilaaliyaa milicda quraxda iyo sunta ka dhalata wasakhda hawada, === Madax xanuunka === wuxuu kaloo u roonyahay madax xanuunka, iyo neerfaha madaxa.
agentive-physical-object;['ey', 'canis lupus familiaris'];Ey waa xayawaan caqli kaliya, oo ah bini aadanka saxiibkood.
agentive-physical-object;['fungi', 'boqoshaa', 'fungus'];Kani waa maqaal ku saabsan fungiga.
agentive-physical-object;['ubax'];Ubax waxoo aad uuga baxaa geedaha, weena kala duwanyihiin, qaar waxaa jiro oo ubax dhalo marka ee Miro ka soo baxaayaan.
agentive-physical-object;['liin dhanaan'];Kani waa maqaal ku saabsan Liin dhanaanta.
agentive-physical-object;['geed'];Kani waa maqaal ku saabsan Geedaha.
agentive-physical-object;['cananis', 'cananaas'];Kani waa maqaal ku saabsan cananiska.
agentive-physical-object;['diig'];Diig waa shimbir gurijoog ah oo dadku dhaqdaan.
agentive-physical-object;['duur joog'];Kani waa maqaal ku saabsan xayawaanka duurjoog ah.
agentive-physical-object;['dibi'];Dibi waa xoolo gurijoog ah oo dadku dhaqdaan.
agentive-physical-object;['dhedig', 'dhidig'];Dhedig Sidoo kale loo yaqaanaa naag, dumar, ama gabar,bilcaan iyo inan waa qeyb ka mid ah noolaha sida dadka iyo xayawaanka.
agentive-physical-object;['qamadi'];Qamadi waa midho yaryar oo firiley ah, kana baxa geedka qamadiga kaas oo dadka, xoolaha iyo xayawaanku cunaan.
agentive-physical-object;['dhircun', 'dhircune'];Dhircun waa xoolaha, dadka, xayawaank iyo dhamaan noolaha daaqa ama cuna dhirta.
agentive-physical-object;['xamaarato'];Xamaarato waa nooc ka mid ah shanta qeybood ee loo kala saaro xayawaanka kaasi oo leh astaamo ka duwan dhamaan noolaha kale.
agentive-physical-object;['biniaadan', 'insaan', 'homo sapiens', 'baniaadan'];Insaanka ama Biniaadan Waa xayawaan ka tirsan reer Daayeer.Biniaadanka wa xayawaan ajaayib maskax weyn leh oo caqli badan.Biniaadanka wa Xayawaanka kaliya oo meelkasta aduunka ku nool iyo wa xayawaanka kaliya oo aqaan sidaa cunto ku kariso dab iyo lebbisto.
agentive-physical-object;['adenoviridae', 'adenoviruses'];Adenoviridae waa nuuc fayrus oo ka mid ah bahda DNA-fayrus.
agentive-physical-object;['poxviruses'];Poxviruses : virus
agentive-physical-object;['adhi', 'ri', 'capra aegagrus hircus'];Adhi sidoo kale loo yaqaano Ari waa xoolo gurijoog ah oo dadku dhaqdaan.
agentive-physical-object;['diinsoor', 'diinosoor', 'diinasor'];Diinasoor waa xayawaan xamaarato ah taasi oo dunida ku noolaan jirtey malaayiin sano ka hor.
agentive-physical-object;['takfi', 'boodo', 'tagfi'];Kani waa maqaal ku saabsan takfida.
agentive-physical-object;['dameer farow', 'zebra'];Dameer farow waa xayawaan qaraabo la ah dameerka, kaasi oo si khaas ah looga helo qaarada Afrika.
agentive-physical-object;['kangaroo', 'kaangaruu'];Boga "Kaangaruu" halkan ayaa laga soo toosiyay.
agentive-physical-object;['reexaan', 'ocimum basilicum'];Reexaan waa jaad ka mida dhir uduga cuntada lagu carfiyo, saliideeda waxaa laga sameeyaa catarka iyo noocyo ka mida cabitaanka
agentive-physical-object;['bakeyle', 'bakayle'];Bakeyle waa xoolo duurjoog iyo gurijoog ah oo dadku dhaqdaan.
agentive-physical-object;['boqoshaa'];Sidoo kale fiiri "Fungi"
agentive-physical-object;['dafo', 'gorgor', 'daffo'];Dafo waa shimbir weyn, oo samada ku duulo.
agentive-physical-object;['daanyeer', 'daayeer'];Daanyeer ama Muusekorow, waa bahal ku nool caalamka, waxoo u badanyahay qaaradaha afrika iyo aasiya.Daanyeerka waa bahal geedaha fuulo, waxoona u dhisanyahay sida biniaadanka.
agentive-physical-object;['rah'];Rah waa xayawaan ka mid ah beribiyood kaasi oo ku nool biyaha macaan iyo meelo ka mid ah dhulka.
agentive-physical-object;['shambay'];Shambay waa Yaanyuur oo ku nool duurka.
agentive-physical-object;['naasley', 'mammalia'];Naasley waa qayb ka mid ah xayawaanka oo ka duwan noocyada kale ee noolaha sida shimbiraha iyo xamaarato sababtoo waxay leeyihiin timo, sadex lafood dhegaha dhexdooda, naaso dhedigu leeyahay, iyo unugyo maskaxda ku yaala oo loo yaqaano neocortex.
agentive-physical-object;['dabaqaroof', 'dib qallooc', 'scorpiones', 'dabaqallooc'];Dib Qallooc ama Dabaqaroof Bahal yar oo caarada la bah ah oo ku nool dalalka kulaylaha ah.
agentive-physical-object;['buuri', 'nicotiana'];Buuri waa geed ka mid ah dhirta nikootiinta leh.
agentive-physical-object;['toon', 'allium sativum'];Tuun, Toon waa midho ka mid ah khudaarta taas oo ka baxda dhirta oo lagu darsado cuntada.
agentive-physical-object;['basal'];Basal waa geed ka baxdo dhulka, waxeena ka midtahay qudaarta lagu kariyo cuntada.
agentive-physical-object;['culaacul', 'hirudinea'];Culaacul magaca sayniska Hirudinea waa Nafley yar oo biyaha balliyada ku dhex nool oo dixiriga la bah ah, oogo jilicsan iyo xubno leh, oo nuugta dhiigga nafleyda kale ee biyaha kula nool iyo dadkaba.
agentive-physical-object;['farabadne', 'farabadan'];Farabadne
agentive-physical-object;['liin bambeelmo', 'bambeelmo'];Kani waa maqaal ku saabsan Liin bambeelmada.
agentive-physical-object;['beribiyood', 'amphibia', 'baribiyood', 'beri-biyood'];Boga "baribiyood" halkan ayaa laga soo toosiyay.
agentive-physical-object;['geel', 'geela'];w:es:Camelus Geel waa xayawaan la dhaqdo oo leh tuur mid iyo labo, afar naas iyo afar Adin oo dhaadheer == Qeebaha Geela == geela waxa u qaybsamaa labo qaybood geel labo tuur oo ku nool bartamaha qaarada aasiyo iyo geel leh hal tuur sida gel somalida dhaqato waxa laga helaa waqooyiga, bariga galbeedka afrika waxa kale oo laga helaa wadamada khaalijka ama carabaha == Dhaqanada Geela == == Nolosha Geela == == Dheefta Geela == geela waxaa laga helaa faaiidooyin kale duwan sida hilib caano iyo gaadiid ahaan.
agentive-physical-object;['heed', 'hordeum vulgare'];Heed magaca sayniska Hordeum vulgare L., waa xubin ka mid ah dhirta cowsleyda ah ee bixisa midhaha xabada firida ah.
agentive-physical-object;['eelo', 'deero'];Haku khaldin "Deero"
agentive-physical-object;['waraabe', 'dhurwaa'];Waraabe ama Dhurwaa waa xayawaan duurjoog ah kaas oo cuna hilibka.
agentive-physical-object;['dameer', 'equus asinus'];Dameer waa xayawaan oo ku nool, Afrika iyo Aasiya.
agentive-physical-object;['doofaar', 'sus scrofa domestica'];Doofaar waa Xayawaan ku nool Aduunka.
agentive-physical-object;["lo'", 'lo', 'bos primigenius taurus'];Lo
agentive-physical-object;["dabar go'", 'raphus cucullatus'];Dabar go' waa aad yaraanshiyaha ama joogsiga jiritaanka nooc ama jinsi ka mida noolaha, xiliga uu dhimanayo hala xabo ee ugu dambeeya nooc ka mida noole aad u tiri yaraaday ayaa lagu tilmaamaa Dabar go, xiligaas waxaa oran karaa wuu dabar go'ay, inkastoo noolahaasi uu hore u waayay awoodii uu u lahaa tarmitaanka iyo badashada.
agentive-physical-object;['yaanyuur', 'felis silvestris catus', 'bisad'];|name=Bisad | Gurijoog | Naasley |status=DOM |image=Cat poster 2.jpg |image width=450px |image caption= |regnum=Xayawaan |phylum=Adhaxlay |classis=Lafdhabarley |ordo=Naasley |familia=Dugaag |genus=Felis |species=F. catus |binomial=Felis catus |binomial authority=Linnaeus, |synonyms= Mukulaal, Bisad iyo Yaanyuur Bisad, Mukulaal, Yaanyuur ama Basho waa xayawaan yar oo gurijoogto ah, taas oo cunta hilibka, caanaha iyo cuntoda kale ee dadku karsadaan.
agentive-physical-object;["lo'", 'lo', 'bos primigenius taurus'];Lo
agentive-physical-object;['galaaciif'];Galaaciif waa noocyada ugu waaweyn kaluunka bada, leh madax ballacsan iyo af ballaaran oo leh miciyo dhaadheer, madaxa waxaa ka taagab ul dheer oo afka ku leh wax iftiima oo layr la moodo, taasoo uu ku siro kaluunka yaryarka ah si uu ugaarto,
agentive-physical-object;['maroodi'];Maroodi waa xayawaan ka mid ah duurjoogta ugu xajmiga iyo qarada weeyn noolaha dhamaantiis.
agentive-physical-object;['brotist', 'brotista'];Kani waa maqaal ku saabsan koox ka mid ah noolaha..
