abstract-quality;['individuallik'];Individuallik
activity;['jang', 'kurash', 'muboraza', 'muhoraba', 'urush'];Jang — harbiy boʻlinmalar, qismlar, qoʻshilmalarning uyushgan toʻqnashuvi, yerda havoda va dengizda olib boriladi.
activity;['taekvondo'];Taekvondo koreys kurash turi va Janubiy Koreyaning milliy sportidir.
activity;['havo massasi'];Havo massasi deb tayinli harorat va suv bugʻi miqdori bilan farqlanuvchi havo hajmiga aytiladi.
activity;['bankrotlik', 'sinish'];Bankrotlik,
activity;['referendum'];Referendum (lot.
activity;['jinsiy aloqa', 'qovushish', 'qoʻshilish', 'seks'];Jinsiy aloqa, seks, jinsiy birikish yoki qovushish — jinsiy maylni ifodalash va qondirish bilan bogʻliq psixik reaksiyalar, kechinmalar va xatti-harakatlar majmui.
activity;['liniment', 'linimentlar'];Liniment (lot.
activity;['diatermiya'];Diatermiya
activity;['jiu-jitsu'];Jiu-jitsu — yaponcha oʻzini oʻzi himoya etish va qurolsiz hujum qilish yoʻli.
activity;['biznesni boshqarish'];'Qalin matn'Qalin matn''''Biznesni boshqarish
activity;['gomeopatiya'];Gomeopatiya
activity;['unashtirish'];Unashtirish — nikoh toʻyidan oldin yigit va qiz tomonning roziligini rasmiylashtirish uchun oʻtkaziladigan marosim.
activity;['trafalgar jangi'];Trafalgar jangi - Fransiya bilan 3antifransuz koalitsiyasi oʻrtasida Kadis sh.
activity;['konsert'];Konsert
activity;['mim'];Mim
activity;['mazurka'];Mazurka — polyak xalq raqsi.
activity;['diagnoz'];Diagnoz (yun.
activity;['bessemer jarayoni', "cho'yanni bessemerlash", 'cho`yanni bessemerlash', 'choʻyanni bessemerlash', 'cho‘yanni bessemerlash'];Bessemer jarayoni, choʻyanni bessemerlash—yoqilgʻi ishlatmay suyuq choʻyandan poʻlat olish usuli.
activity;['televizion koʻrsatuv', "televizion ko'rsatuv", 'televizion ko`rsatuv', 'televizion ko‘rsatuv', 'televizion dastur'];Televizion koʻrsatuvlar, shuningdek, televizion dasturlar sifatida ham tanilgan, televideniyada namoyish etiladigan barcha dasturlarning umumiy nomi.
activity;['yashin tezligidagi urush'];Yashin tezligidagi urush
activity;['kekirik', 'kekirish'];Kekirik, kekirish — meʼdadan yoki qiziloʻngachdan ogʻiz orqali beixtiyor havo chiqishi.
activity;['mussonlar'];Mussonlar
activity;['napoleon urushlari'];Napoleon urushlari - Napoleon konsulligi va imperatorligi davrida Fransiya olib borgan urushlar.
activity;['psixoanaliz'];Psixoanaliz {psixo...
activity;['bronxospazm'];Bronxospazm — bronx aylana muskullarining qisqarishi natijasida mayda bronxlar va bronxiolalar teshigining torayishi.
activity;['dzudo', 'dzyudo'];Dzyudo — sport yakkakurashi.
activity;['changʻi sporti', "chang'i sporti", 'chang`i sporti', 'chang‘i sporti'];Changʻi sporti — qishki sport turi.
activity;['gimnastika'];Gimnastika (yun.
activity;['ertak'];Ertak — xalq ogʻzaki poetik ijodining asosiy janrlaridan biri. toʻqima va uydirmaga asoslangan sehrli sarguzasht va maishiy xarakterdagi epik badiiy asar.
activity;['belkanto', 'bel canto'];Belkanto
activity;['amputatsiya', 'amputaatio', 'amputace', 'amputacija', 'amputació', 'amputación', 'amputacja', 'amputasi', 'amputasiya', 'amputasjon', 'amputatie', 'amputation', 'amputatsioon', 'amputazione', 'amputação', 'amputo', 'amputácia', 'amputáció', 'ampütasyon', 'ακρωτηριασμός', 'ампутация', 'ампутација', 'ампутацыя', 'ампутація', 'קטיעה', 'بتر', 'உறுப்பு நீக்கம்', '切断', '절단'];Amputatsiya
activity;['indekslash', 'indeksatsiya'];Indekslash yoki indeksatsiya (lot.
activity;['gidroponika'];Gidroponika
activity;['balet'];Balet
activity;['vazelin'];VAZELIN
activity;['rock and roll', 'rock', 'rok', 'rok musiqa', "rock'n'roll", 'rock-n-roll', 'rock musiqa', 'rock’n’roll', 'rok-musiqa', 'rok-n-roll'];Rok musiqa (ing .
activity;['rock and roll', 'rock', 'rok', 'rok musiqa', "rock'n'roll", 'rock-n-roll', 'rock musiqa', 'rock’n’roll', 'rok-musiqa', 'rok-n-roll'];Rock and roll yoki rock'n'roll 1950-yillarda AQShda paydo boʻlgan va rok-musiqaning asosi boʻlib xizmat qilgan musiqiy uslubdir.
activity;['dars', 'saboq'];Dars — maktab taʼlimining asosiy tashkiliy shakli.
activity;['qoʻshma korxona', "qo'shma korxona", 'qo`shma korxona', 'qo‘shma korxona', 'қўшма корхона'];Qoʻshma korxona ikki yoki undan koʻp taraflar tomonidan tuzilgan iqtisodiy tashkilotdir.
activity;['saylov', 'intixob', 'akllanakuy', 'alegere', 'bầu cử', 'comitia', 'elecciones', 'elecció', 'eleccións', 'election', 'eleição', 'elezione', 'elizzioni', 'etholiad', 'halalan', 'hauteskunde', 'izbori', 'kosningar', 'pilihan raya', 'piniliay', 'rinkimai', 'seçim', 'seçki', 'soán-kí', 'vaali', 'valg', 'valimised', 'verkiesing', 'verkiezing', 'volby', 'volitve', 'votadeg', 'voĉdono', 'voľby', 'választások', 'vēlēšanas', 'wahl', 'wybory', 'élection', 'ìdìbòyàn', 'εκλογές', 'вибори', 'выбары', 'выборы', 'избори', 'сайлау', 'сонгууль', 'суңһвр', 'ընտրություններ', 'בחירות', 'וואלן', 'انتخابات', 'चुनाव', 'निर्वाचन', 'निवडणूक', 'নির্বাচন', 'தேர்தல்', 'ఎన్నికలు', 'ಚುನಾವಣೆ', 'การเลือกตั้ง', 'ရွေးကောက်ပွဲ', '選挙', '選舉', '선거'];Saylov aholining rasmiy mansabni egallash uchun biror shaxsni tanlashi jarayonidir.
activity;['fuqarolar urushi'];Fuqarolar urushi — bir mamlakat ichidagi ijtimoiy guruhlar oʻrtasida davlat hokimiyati uchun olib boriladigan qurolli kurash.
activity;['fransiya-prussiya urushi'];Fransiya-prussiya urushi — Yevropada uz gegemonligini saqlab qolishga harakat qilgan va Germaniyani birlashishiga qarshi turgan Fransiya va bir qator german davlatlari bilan unga muxolif bulgan Prussiya urtasidagi urush.
activity;['koreys urushi'];Koreys urushi — 1950-yilning 25-iyunidan 1953-yilning 27-iyuligacha choʻzilgan Shimoliy Koreya va Janubiy Koreya orasiga urush.
activity;['ikkinchi jahon urushi', '2-jahon urushi', 'ii jahon urushi'];Ikkinchi jahon urushi — Olmoniya, Italiya va Yaponiyaning aybi bilan boshlangan jahon tarixidagi eng yirik urush.
activity;['birinchi jahon urushi', '1-jahon urushi', 'i jahon urushi'];Birinchi jahon urushi — odamzod tarihidagi eng yirik urushlardan biridir.
activity;['ispaniya-amerika urushi'];Ispaniya-amerika urushi — ispan mustamlakachilariga qarshi Kuba va Filippin xalqlarining qoʻzgʻoloni sharoitida boshlangan urush.
activity;['qrim urushi', 'sharqiy urush'];Qrim urushi, Sharqiy urush — Yaqin Sharqda hukmronlik qilish uchun Rossiya va Turkiya oʻrtasida boʻlgan urush.
activity;['peloponnes urushi'];Peloponnes urushi — Yunoniston tari-xidagi eng yirik urush. yunon polislari ittifoklari: Delos va Peloponnes oʻrtasida sodir boʻlgan. butun Yunoniston va Jan.
activity;['sarguzasht'];Sarguzasht, odatda mardlik, baʼzida insonda qiziqish uyg‘otadigan qiziqarli tajribadir.
activity;['abstinensiya'];Abstinensiya
activity;['vendetta', 'intiqom'];Vendetta
activity;['taʼlim'];Taʼlim — bilim berish, malaka va koʻnikmalar hosil qilish jarayoni, kishini hayotga va mehnatga tayyorlashning asosiy vositasi.
activity;['hikoya'];Hikoya — badiiy adabiyotda kichik epik janr, hayot hodisalari ixcham ifoda etiladigan nasriy asar.
activity;['sport', '"sport"'];Sport
activity;['dam olish', 'hordiq chiqarish', 'xordiq'];Dam olish, hordiq chiqarish — charchoqni yozadigan
activity;['ariya'];Ariya
activity;['barter', 'бартер', 'barata', 'baratto', 'barterový obchod', 'bartertehing', 'byteshandel', 'byttehandel', 'escambo', 'muoʼvaza', 'muo’vaza', 'natura interŝanĝo', 'natūriniai mainai', 'palitan ng paninda', 'ruilhandel', 'sistem barter', 'tauschhandel', 'trampa', 'troc', 'troco', 'trueque', 'truke', 'vaihtokauppa', 'αντιπραγματισμός', 'айырбас шарты', 'бартар', 'бартэр', 'סחר חליפין', 'دادوستد پایاپای', 'مقایضہ', 'نظام المقايضة', 'वस्तु विनिमय', 'பண்டமாற்று', '以物易物', '物々交換', '구상 무역'];Barter
activity;['autopsiya', 'otopsi'];Autopsiya – Kasallikning kelib chiqish sabablarini bilish maqsadida murdani yorib, aʼzolar, toʻqimalar holatini, ulardagi oʻzgarishlarni aniqlash.
activity;['illyuzionizm', 'illyuziya sanʼati'];Illyuzionizm, illyuziya sanʼati — 1
activity;['approksimatsiya'];Approksimatsiya
activity;['kasb'];Kasb - — maxsus nazariy bilimlar va amaliy koʻnikmalar majmuiga ega tajribali shaxsning mehnat faoliyati turi hisoblanadi.
activity;['boʻsa', "bo'sa", 'fransuz boʻsasi', 'oʻpishish', 'бўса'];Boʻsa oʻpichning bir turi boʻlib, unda oʻpishayotganlarning lablari oʻzaro bevosita aloqada boʻladi.
activity;['festival', 'bayram'];Festival, musiqa, teatr, film, estrada, sirk sanʼati yutuqlari koʻrigidan iborat ommaviy bayram.
activity;['bilyard', 'billiard'];Bilyard
activity;['salib yurishlari', 'salib yurishi'];Salib yurishlari – 10961270 yillarda Gʻarbiy Yevropa zodagonlari va katolik cherkovi tomonidan Yaqin Sharqqa
activity;['gravyura'];Gravyura
activity;['chorvachilik'];Chorvachilik — qishloq xoʻjaligining asosiy tarmoklaridan biri.
activity;['denatsionalizatsiya', 'reprivitizatsiya'];Denatsionalizatsiya
activity;['pul yuvish'];Pul yuvish — jinoyat natijasida qoʻlga kiritilgan pul yoki boshqa mulkka qonuniy tus berish, yaʼni noqonuniy yoʻllar bilan topilgan mulkni ochiqchasiga foydalana olish uchun norasmiy iqtisoddan rasmiy iqtisodga olib oʻtish.
activity;['sinfiy kurash', 'sinflar kurashi'];Sinfiy kurash ijtimoiy sinflar manfaatlarining keskin to‘qnashuvidir.
activity;['qofiya'];Qofiya (arab.
activity;['dasturlash', 'programmalash'];Dasturlash – kompyuterlar va boshqa mikroprosersorli elektron mashinalar uchun dasturlar tuzish, sinash va oʻzgartirish jarayonidan iborat.
activity;['toʻquvchilik', 'tikuvchilik', "to'quvchilik", 'to`quvchilik', 'to‘quvchilik'];Toʻquvchilik - tabiiy va sunʼiy tolalardan gazlama va boshqa toʻqimachilik mahsulotlari olish jarayonlari majmui. hunarmandchilikning bir turi, kasb.
activity;['havo hujumidan mudofaa'];Havo hujumidan mudofaa - dushmanning havodan qiladigan hujumlarini qaytarish hamda qoʻshinlar, sanoat rayonlari, maʼmuriysiyo-siy markazlar va aholini havodan beriladigan zarbalardan himoya qilish uchun amalga oshiriladigan tad-birlar majmui va jangovar harakatlar.
activity;['gemodializ'];Gemodializ
activity;['irqchilik'];Irqchilik — irqiy kamsitish siyosati.
activity;['birinchi yordam'];Birinchi yordam — baxtsiz hodisalar roʻy berganda, kishi shikastlanganda yoki toʻsatdan kasal boʻlib qolganda uning hayotini saklab qolish va yomon asoratlardan omon qolishi uchun koʻrsatiladigan tez va oddiy tadbirlar majmui. tibbiy xodim yetib kelguncha yoki ularni kasalxonaga olib borguncha amalga oshiriladi.
activity;['ogʻir atletika'];Ogʻir atletika — sport turi, har xil vazn toifalarida ogʻir narsalar koʻtarishda musobaqalashish.
activity;['boks'];Boks (ingl.
activity;['venepunksiya'];Venepunksiya
activity;['absenteizm', 'absentizm', 'absenteeism', 'absenteísmo', 'absentisme', 'absentismo laboral', 'absentismus', 'absentéisme', 'assenteismo', 'verzuim', 'абсентеизм', 'абсентеїзм', 'апсентизам', '缺席'];Absenteizm — (lot.
activity;['logistika'];Logistika - transport va mol, axborot oqimini yoʻlga qoyadigan, optimalshtiradigan va boshqaradigan soha.
activity;['figurali uchish'];Figurali uchish - sport turi.
activity;['fritrederlik siyosati'];Fritrederlik siyosati - proteksionizm siyosatining aksi hisoblanadi, tashqi savdoni erkinlashtirishga qaratilgan.
activity;['karantin', 'karantinlash'];Karantin
activity;['massaj'];Massaj
activity;['barshchina', 'boyarshchina'];Barshchina, boyarshchina — barin [ga tekinga ishlab berish] — oʻrta asrlarda Rossiyada yer rentasi shakli, yirik yer egasiga qaram krepostnoy dehqonni oʻz mehnat qurollari bilan yer egasi xoʻjaligida haq olmay bajaradigan majburiy mehnati.
activity;['laparoskopiya', 'abdominoskopiya', 'peritoneoskopiya'];Laparoskopiya
activity;['auskultatsiya'];Auskultatsiya – Ichki aʼzolarda yuzaga keladigan tovushlarni eshitib, ular faoliyatini va holatini tekshirish usuli.
activity;['inventarlash', "yo'qlama qilish", 'yo`qlama qilish', 'yoʻqlama qilish', 'yo‘qlama qilish'];Inventarlash
activity;['kandakorlik', 'haiʻkal', 'haykal', 'haykaltaroshlik', 'skulptura'];Kandakorlik — amaliy sanʼat turi. oʻymakorlikning metall buyumlarni oʻyib, chizib naqsh, tasvir ishlash sohasi.
activity;['antropometriya'];Antropometriya
activity;['borodino jangi'];Borodino jangi — 1812 yil gi FransiyaRossiya urushi davridagi jang.
activity;['rentgen nurlari', 'iks-nurlar'];Rentgen nurlari — zaryadlangan zarralar yoki fotonlarning muhitni tashkil etuvchi atomlari bilan oʻzaro taʼsirlashishlari natijasida vujudga keluvchi elektromagnit nurlanish.
activity;['lotereya'];Lotereya
activity;['soʻz oʻyini', "so'z o'yini", 'so`z o`yini', 'so‘z o‘yini'];Soʻz oʻyini — badiiy adabiyotda ayrim soʻzlarning shakliy oʻxshashligi asosida turli maʼnoda qoʻllanilishi.
activity;['qor'];Qor — havo temperaturasi 0° dan past boʻlganda bulutlardan muz kristallchalari tarzida yogʻadigan yogʻin.
activity;['doʻl'];Doʻl — yumaloq yoki turli shakldagi muz parchalaridan iborat atmosfera yogʻini.
activity;['uy vazifasi'];Uy vazifasi — o'qituvchi tomonidan o'quvchiga uy sharoitida mustaqil bajarishi uchun beriladigan vazifa.
activity;['balzamlash'];Balzamlash, mumiyolash — murda yoki uning ayrim aʼzolari va toʻqimalarini chiritmaydigan qilib uzoq saqlash usuli.
activity;['oʻlim jazosi', "o'lim jazosi", 'o`lim jazosi', 'o‘lim jazosi'];Oʻlim jazosi — oliy jinoiy jazo chorasi.
activity;['kolorimetriya'];Kolorimetriya (lot.
activity;['elektrokardiogramma'];Elektrokardiogramma
activity;['punk rock', 'pank-rok', 'punk', 'punk-rock'];Punk Rock, ildizlari 1974 va 1975 yillarga, AQSh va Birlashgan Qirollika borib taqalgan va oʻzini ilk Ramones, Sex Pistols, The Damned, va The Clash kabi guruhlarda mujassam etgan rock musiqiy tarzidir.
activity;['angiografiya'];Angiografiya
activity;['musodara'];Musodara — shaxsga tegishli mulkni pul toʻlamasdan, majburiy ravishda davlat ixtiyoriga oʻtkazish.
activity;['demping', 'dumping'];Demping
activity;['dializ'];Dializ
activity;['passatlar'];Passatlar — tropik kengliklarda okeanlar ustida yil boʻyi barqaror esib turadigan havo oqimlari.
activity;['changlanish', "o'simliklarda", 'o`simliklarda', 'oʻsimliklarda', 'o‘simliklarda'];Changlanish, oʻsimliklarda — changlarning urugʻchi tumshuqchasiga yoki urugʻ kurtakka tushishi.
activity;['antidotlar'];Antidotlar, ziddizaharlar
activity;['qizil va oq gullar urushi'];Qizil va oq gullar urushi — Angliya taxti uchun plantagenetlar sulolasining 2 yoʻnalishi: Lankasterlar va yorklar oʻrtasidagi oʻzaro urush.
activity;['sugʻorish', 'irrigatsiya', "sug'orish", 'sug`orish', 'sug‘orish'];Sugʻorish, irrigatsiya — tuproqni manbalardan olingan suv bilan sunʼiy namlash, melioratsiyannng bir turi.
activity;['plastik operatsiya', 'plastik xirurgiya'];Plastik operatsiya - kishi organizmidagi shikastlangan biror aʼzoning shakli va funksiyasini qayta tiklash, tugʻma va hayotda orttirilgan nuqson, kamchiliklarni toʻgʻrilash.
activity;['laparotomiya', 'laparotomia'];Laparotomiya
activity;['ilmiy tadqiqot'];Ilmiy tadqiqot - yangi bilimlarni ishlab chiqish jarayoni, bilish faoliyati turlaridan biri.
activity;['vaksinatsiya', 'emlash'];Emlash yoki vaksinatsiya, odam va hayvonlarda infeksion kasalliklar yuqishining oldini olish usuli, bunda organizmga vaksinalar, immun zardoblar yoki gammaglobulin yuborib, sunʼiy faol yoki passiv immunitet hosil qilinadi.
activity;['leksiya'];Leksiya
activity;['akkreditlash'];Akkreditlash – xalqaro huquqda davlatning diplomatik vako-latxona boshlig‘i yoki biron-bir xalqaro tashkilotda doimiy vakili lavozimiga tayinlanish va lavozimni bajarishga kirishishi bilan bog‘liq xatti-harakatlar majmui.
activity;['qusish', 'qayt qilish'];Qusish, qayt qilish — meʼda, diafragma, qorin devori va boshqa musqullarning spazmatik qisqarishi natijasida meʼda ichidagi narsalarning gʻayriixtiyoriy ravishda ogʻizdan tashqariga chiqarilishi.
activity;['kon sanoati', 'kon qazib olish sanoati', 'konchilik'];Kon sanoati, kon qazib olish sanoati — foydali qazilmalar konlarini qidirish, ularni yer ostidan kazib olish, dastlabki qayta ishlash — boyitish boʻyicha ishlab chiqarish tarmoqlari majmui.
activity;['investitsiya'];Investitsiya — soʻzidan olingan boʻlib, asosan, ishlab chiqarishga uzoq muddatli qoʻyilmalar sarfi, yaʼni xarajatlar yigʻindisi deb talqin etilgan.
activity;['sakrash'];Sakrash - yengil atletikaning bir turi hisoblanadi.
activity;['kinematograf', 'kinematografiya', 'kino', "kinosan'at", 'kinosanʼat'];Kinematógraf, XIX asr oxirida ixtiro qilingan va XX asrda eng mashhur boʻlib ketgan tasviriy sanʼat turidir.
activity;['immunlash'];Immunlash — sunʼiy yoʻl bilan immunitet vujudga keltirish.
activity;['menejment'];Menejment — boshqarish, tashkil etish
activity;['inʼyeksiya'];Inʼyeksiya
activity;['ijara shartnomasi', 'mulk ijarasi shartnomasi'];Ijara shartnomasi, mulk ijarasi shartnomasi — fukarolikhuquqiy shartnoma.
activity;['akademik eshkak eshish'];Akademik eshkak eshish – eshkak eshish sporti turi, akademik qayiqlardagi poygalar.
activity;['abraziya'];Abraziya
activity;['suvda suzish', 'sportcha suzish'];Suvda suzish, sportcha suzish — sport turi, rasmiy belgilangan masofaga muayyan usulda sportcha suzish, shuningdek, suv ostida, amaliy, sinxron suzishni oʻz ichiga oladi.
activity;['fotografiya'];Fotografiya
activity;['gidroizolyatsiya'];Gidroizolyatsiya
activity;['dizayn'];Dizayn
activity;['leksikografiya'];Leksikografiya
activity;['oʻlchovlar', "o'lchovlar", 'o`lchovlar', 'o‘lchovlar'];Oʻlchovlar — fizik kattaliklarni qayd qilish ga moʻljallangan oʻlchash vositalari.
activity;['korrida'];Korrida — ispan milliy tomoshasi.
activity;['kommunikatsiya'];Aloqa
activity;['shifrlash'];Shifrlash-Kriptografik uslublardan foydalanishga asoslangan axborotni oʻzgartirish jarayoni.
activity;['liderlik', 'лидерлик'];Liderlik — umumiy bir ishni bajarishda boshqalarning yordami va haraktini birlashtiruvchi ijtimoiy taʼsir jarayoni.
activity;['tadbirkorlik', 'biznes', 'tadbirkor'];Tadbirkorlik yoki biznes
activity;['buxgalteriya'];Buxgalteriya
activity;['dudlash', 'fumigatsiya'];Dudlash, fumigatsiya, gazlash — 1
activity;['teatr', 'dramaturgiya', '"teatr"'];Teatr cheklangan joyda bir yoki bir necha aktyorlar ifoda etadigan tomosha orqali fikr beruvchi san’at janridir.
activity;['teatr', 'dramaturgiya', '"teatr"'];Dramaturgiya
activity;['jahon rekordi'];Jahon rekordi, odatda, maʼlum bir malaka yoki sportda rasman tasdiqlangan, hamda eng yaxshi global va eng muhim hodisadir.
activity;['turizm', 'sayyoqlik'];Turizm, sayyoqlik — sayohat qilish. faol dam olish turlaridan biri.
activity;['noshirlik', 'nashriyot'];Noshirlik, nashriyot ishi — nashriyotlar tashkil etish, kitoblar, gazeta, jurnallar, tasviriy sanʼat asarlari va b.
activity;['numizmatika'];Numizmatika
activity;['filateliya'];Filateliya
activity;['oktyabr toʻntarishi', 'oktabr inqilobi', 'fevral inqilobi', "oktyabr to'ntarishi", 'oktyabr to`ntarishi', 'oktyabr to‘ntarishi'];Oktabr inqilobi yoki Oktabr toʻntarishi - Rossiyada Muvaqqat hukumatnit qurol kuchi bilan agʻdarilishi va hokimiyat tepasiga bolsheviklar partiyasining kelishi.
activity;['uzumchilik'];Uzumchilik — 1
activity;['sanʼat', '"sanʼat"', "san'at", 'san’at'];Sanʼat — ijtimoiy ong va inson faoliyatining oʻziga xos shakli.
activity;['gulchilik'];Gulchilik — gullimanzarali oʻsimliklarni bogʻ va xiyobonlarga, yoʻl yoqalariga ekish, binolar ichini bezash, guldastalar yasash maqsadlarida oʻstirish. dehqonchilik sohasi.
activity;['industrial oʻsish', "industrial o'sish", 'industrial o`sish', 'industrial o‘sish', 'industrial ravnaq', 'industriyalash'];Industrial oʻsish, industrial ravnaq, industriyalash — mamlakat xalq xoʻjaligining hamma sohalarida, ayniqsa sanoatda qudratli mashinalashgan ishlab chiqarishni barpo etish jarayoni. sanoat, ogʻir sanoatning ilgarilab yuksalib borishi.
activity;['apofeoz'];Apofeoz
activity;['avtoralli'];Avtoralli
activity;['metsso-soprano'];Metsso-soprano
activity;['verdikt'];Verdikt
activity;['amnistiya', 'afv umumiy', 'umumiy avf'];Amnistiya — sudlanganlarning bir qismini qonun asosida to'la yoki qisman ozodlikka chiqarish.
activity;['navigatsiya'];Navigatsiya
activity;['akrobatika'];Akrobatika
