activity;['sabi fu prati'];Komunikasi efru sabi fu prati e ben wan prosesi penanga wan e ten wan komon bigripi abra tu traga u a wana frustellikader (a sender efru a bron pe-ini a e sey frufardi) na wan trawana (a ofangaman) via midi fu infrumasi dy, via aspraki, na taki bigripi fruwisi.
language;['rusitongo'];A Rusitongo e ben wan Indo-Ropask tongo fu slavisk tongogrupu.
language;['bakratongo'];Bakratongo (Nederlands) na a tongo fu Bakrakondre nanga Belgikondre nanga Sranankondre.
locative-role;['hargeysa', 'hargeisa'];Hargeysa ben wan presi ini Somalikondre, taki wan kondre ini Afrka ben.
locative-role;['edirne'];Edirne, e ben wan Presi ini Turkiyakondre.
locative-role;['ho chi minh city'];Vung Tau e ben wan minti ini a Vietnamoro regio Dong Nam Bo nanga e abi wan opoflaku fu 2096 km².
locative-role;['los angeles'];Los Angeles ben wan presi ini Kondre Makandrameki.
locative-role;['stuttgart'];Stuttgart ben wan presi ini Doysrikondre.
locative-role;['utrecht'];Utrecht ben wan presi ini Bakrakondre.
locative-role;['monakokondre'];Monakokondre na wan kondre ini Ropa.
locative-role;['srbiyakondre'];Srbiyakondre na wan kondre ini Ropa.
locative-role;['lituwaniyakondre'];Lituwaniyakondre efru Repoliku fu Lituwaniyakondre (lt - Lietuva, Lietuvos Respublika), e ben wan kondre ini Ropa.
locative-role;['são paulo', 'sao paulo'];São Paulo na a moro bigi foto fu Brasilkondre.
locative-role;['chicago'];Chicago ben wan presi ini Kondre Makandrameki.
locative-role;['rotterdam', 'porifoto', 'roffa', 'porfoto'];Rotterdam ben wan presi ini Bakrakondre.
locative-role;['balparaiso', 'valparaiso'];Balparaiso na a moro bigi foto fu Chilekondre.
locative-role;['rio de janeiro'];Rio de Janeiro na a moro bigi foto fu Brasilkondre.
locative-role;['new york city', 'new york'];New York City na a moro bigi foto fu Kondre Makandrameki.
phenomenon;['tikotiko'];Tikotiko e ben wan firi man nanga meti abi e ten posi fu swari-dyorku.
phenomenon;['grontapubeyfi'];Wan grontapubeyfi ben wan trili efu dyorku efu beyfi sekseki ini lanki fu a grontapu, a grontapulanki.
political-geographic-object;['romenikondre'];Romenikondre na wan kondre ini Ropa.
political-geographic-object;['hargeysa', 'hargeisa'];Hargeysa ben wan presi ini Somalikondre, taki wan kondre ini Afrka ben.
political-geographic-object;['edirne'];Edirne, e ben wan Presi ini Turkiyakondre.
political-geographic-object;['ho chi minh city'];Vung Tau e ben wan minti ini a Vietnamoro regio Dong Nam Bo nanga e abi wan opoflaku fu 2096 km².
political-geographic-object;['los angeles'];Los Angeles ben wan presi ini Kondre Makandrameki.
political-geographic-object;['stuttgart'];Stuttgart ben wan presi ini Doysrikondre.
political-geographic-object;['utrecht'];Utrecht ben wan presi ini Bakrakondre.
political-geographic-object;['norvegikondre', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge'];Norvegikondre na wan kondre ini Ropa.
political-geographic-object;['bakrakondre', 'ptata', 'holland', 'nederland'];Bakrakondre (Bakra.
political-geographic-object;['japan'];Japan na wan kondre ini Asi.
political-geographic-object;['monakokondre'];Monakokondre na wan kondre ini Ropa.
political-geographic-object;['luksemburgkondre'];Luxemburgkondre na wan pikin kondre ini a grontapu pisi Ropa.
political-geographic-object;['ingriskondre', 'uk', 'united kingdom'];Ingriskondre
political-geographic-object;['spanyorokondre', 'spanyoro'];Spanyorokondre na wan kondre ini Ropa.
political-geographic-object;['belarusikondre'];Belarusikondre na wan kondre ini Ropa.
political-geographic-object;['kazachstan'];Kazachstan (kaz.
political-geographic-object;['belgikondre', 'bergi'];Belgikondre (Bakrat.: België, Franst.: Belgique, Doysrit.: Belgien) e ben wan kondre ini Ropa.
political-geographic-object;['pakistan'];Pakistan na wan kondre ini Asi.
political-geographic-object;['ostriyakondre'];Ostriyakondre na wan kondre ini Ropa.
political-geographic-object;['ogarnikondre'];Ogarnikondre na wan kondre ini Ropa.
political-geographic-object;['polikondre'];Polikondre na wan kondre ini Ropa.
political-geographic-object;['vi-etnam'];Vi-etnam na wan kondre ini Asi.
political-geographic-object;['doysrikondre'];Doysrikondre (Doysrit.: Deutschland) na wan kondre ini Ropa.
political-geographic-object;['egiptakondre', 'egipta', 'egiptekondre'];Egiptakondre na wan kondre ini Afrka.
political-geographic-object;['kayanakondre', 'gayana'];Kayanakondre na wan kondre ini Amrika.
political-geographic-object;['sranankondre', 'ripoliku sranan)', 'sranang', 'republiek suriname', 'ripoliku sranan', 'suriname'];Sranan kondre na wan kondre ini Zuid-Amerika.
political-geographic-object;['venswelikondre', 'venezuela'];Venswelikondre na wan kondre ini Amrika.
political-geographic-object;['indiakondre', 'india'];Indiakondre na wan kondre ini Asi.
political-geographic-object;['italiyanikondre'];Italiyanikondre (Ripoliku Italiyanik) na wan kondre ini Ropa.
political-geographic-object;['sili'];Sili na wan kondre ini Amrika.
political-geographic-object;['indonesikondre', 'indonesie', 'indonesië'];Indonesikondre na wan kondre ini Asi.
political-geographic-object;['grikikondre'];Grikikondre na wan kondre ini Ropa.
political-geographic-object;['ukrainakondre'];Ukrainakondre na wan kondre ini Ropa.
political-geographic-object;['meksikokondre', 'meksiko', 'mexico'];Meksikokondre na wan kondre ini Amrika.
political-geographic-object;['ghana'];Ghana na wan kondre ini Afrka.
political-geographic-object;['franskondre'];Franskondre (Fr: France) e ben wan kondre ini Ropa.
political-geographic-object;['irikondre'];Irikondre na wan kondre ini Ropa.
political-geographic-object;['filipins'];Filipins na wan kondre ini Asi.
political-geographic-object;['swerigekondre'];Swerigekondre na wan kondre ini Ropa.
political-geographic-object;['mamafoto', 'presiplusplus'];Wan mamafoto na a prenspari foto in' wan kondre, fu pe a tiri fu a kondre e feni presi.
political-geographic-object;['liechtensteinkondre'];Liechtensteinkondre na wan kondre ini Ropa.
political-geographic-object;['andorrakondre'];Andorra(kondre) (Katalanit.: Andorra) e ben wan kondre ini Ropa.
political-geographic-object;['presi fu vatikanikondre'];Presi fu Vatikanikondre na wan kondre ini Ropa.
political-geographic-object;['damsko', 'amsterdam'];Damsko, Amsterdam na a moro bigi foto nanga a mamafoto fu Bakrakondre.
political-geographic-object;['vanuatu'];vanuatu na wan boeng presi.
political-geographic-object;['islenikondre'];Islenikondre na wan kondre ini Ropa.
political-geographic-object;['são paulo', 'sao paulo'];São Paulo na a moro bigi foto fu Brasilkondre.
political-geographic-object;['lisbon'];Lisbon na a moro bigi foto nanga a mamafoto fu Portugesokondre.
political-geographic-object;['bogotá'];Bogota Presip Kolombikondre.
political-geographic-object;['havana'];Havana na a moro bigi foto nanga a mamafoto fu Cuba.
political-geographic-object;['jakarta'];Jakarta na a moro bigi foto nanga a mamafoto fu Indonesikondre.
political-geographic-object;['roma', 'rome'];Roma na a moro bigi foto nanga a mamafoto fu Italiyanikondre.
political-geographic-object;['jerusalem'];Jerusalem na a moro bigi foto nanga a mamafoto fu Israel.
political-geographic-object;['berlin'];Berlin na a moro bigi foto nanga a mamafoto fu Doysrikondre.
political-geographic-object;['beijing', 'peking'];Beijing e ben a presiplusplus fu Sneysa.
political-geographic-object;['taikondre', 'tai'];Taikondre na wan kondre ini Asi.
political-geographic-object;['ethiopikondre', 'ethiopia'];Ethiopikondre na wan kondre ini Afrka.
political-geographic-object;['israel', 'isra-el'];Israel na wan kondre ini Asi.
political-geographic-object;['chicago'];Chicago ben wan presi ini Kondre Makandrameki.
political-geographic-object;['atlanta'];Atlanta ben wan presi ini Kondre Makandrameki.
political-geographic-object;['rotterdam', 'porifoto', 'roffa', 'porfoto'];Rotterdam ben wan presi ini Bakrakondre.
political-geographic-object;['paramaribo', 'parbo'];Paramaribo (hubnen: Par'bo) e ben wan presi ini Sranankondre.
political-geographic-object;['brusilu', 'brussel'];Brusilu na a moro bigi foto nanga a mamafoto fu Belgikondre.
political-geographic-object;['santiago'];Santiago na a moro bigi foto nanga a mamafoto fu Sili.
political-geographic-object;['london'];London na a moro bigi foto nanga a mamafoto fu Ingriskondre.
political-geographic-object;['paris'];Paris na a moro bigi foto nanga a mamafoto fu Franskondre.
political-geographic-object;['accra'];Accra na a moro bigi foto nanga a mamafoto fu Ghana.
political-geographic-object;['honolulu'];Honolulu ben wan presi ini Kondre Makandrameki.
political-geographic-object;['indianapolis'];Indianapolis ben wan presi ini Kondre Makandrameki.
political-geographic-object;['madrid'];Madrid na a moro bigi foto nanga a mamafoto fu Spanyorokondre.
political-geographic-object;['stockholm'];Stockholm na a moro bigi foto nanga a mamafoto fu Swerigekondre.
political-geographic-object;['salt lake city'];Salt Lake City ben wan presi ini Kondre Makandrameki.
political-geographic-object;['brasília', 'brasilia'];Brasília na a moro bigi foto nanga a mamafoto fu Brasilkondre.
political-geographic-object;['addis abeba'];Addis Abeba na a moro bigi foto nanga a mamafoto fu Ethiopikondre.
political-geographic-object;['balparaiso', 'valparaiso'];Balparaiso na a moro bigi foto fu Chilekondre.
political-geographic-object;['rio de janeiro'];Rio de Janeiro na a moro bigi foto fu Brasilkondre.
political-geographic-object;['new york city', 'new york'];New York City na a moro bigi foto fu Kondre Makandrameki.
political-geographic-object;['brasilkondre', 'brasjon', 'brasil'];Brasilkondre (Pt: Brasil) na wan kondre ini Amrika.
political-geographic-object;['aga', 'den haag'];Aga ben wan presi ini Bakrakondre.
political-geographic-object;['denver'];Denver ben wan presi ini Kondre Makandrameki.
political-geographic-object;['kondre'];Wan kondre e ben wan stati taki ofiseli e ben.
situation;['tikotiko'];Tikotiko e ben wan firi man nanga meti abi e ten posi fu swari-dyorku.
socially-constructed-person;['adolf hitler'];Adolf Hitler ben de wan ini Ostriyakondre gebore edeman fu Doysrikondre èn a partij NSDAP.
socially-constructed-person;['leonardo da vinci'];Leonardo da Vinci (Vinci (Italiya), 15 fosfor mun 1452 - Cloux (naw Clos-Lucé) (Franskondre), 2 fosfeyfi mun 1519) o ben wan famosi italiya argitekti, ondrofeniman, ingenior, denkiman, stariman, natruman, skykundiman, gefreman, skrifiman, peentiman nanga setipokuman u a Renaissance.
socially-constructed-person;['george washington'];George Washington ben wan presidenti A Kondre Makandrameki.
socially-constructed-person;['ronald reagan'];Ronald Wilson Reagan ben wan presidenti A Kondre Makandrameki.
socially-constructed-person;['jehovah'];Jehovah,dati na a troe ning foe Gado.
socially-constructed-person;['koloradatra'];Wan Koleradatra de wan datra fu ben spesrutu ensrefi ini a koleradatri.
socially-constructed-person;['afkáti'];Afkati znw.
socially-constructed-person;['jesus christus', 'jesus'];De traditioneel-christelijke benadering behandelt Jesus zoals hij in de traditie van het christendom wordt opgevat, namelijk dat hij de ‘gezalfde’ van God is en zelf ook God is.
spatial-feature;['everest'];Everest na wan bergi ini Sneysa nanga Nepal.
subject;['skoro'];Skoro efru Skroro (Ingristongo: science, knowledge, school, university) e ben wan kolessi fu sabi leki, sabi fu libi, sabi fu son nanga sofo.
subject;['sabi fu teri'];A sabi fu teri ben a kenki nanga numro nanga den skeep.
subject;['sabi fu denki'];A Sabi fu denki ben a owrus teoretisi disiplini dy a elanga abi nanga strefu na sabi nanga wisi.
subject;['sabi fu natru'];A sabi fu natru efru fisika e ben fru nakomili a sabi dy ala skinisi ini a dodo natru ondrosuku penanga no kemisi kenki opotredi.
taxonomic-collective;['jatropha'];jatropha na wan biofuel plant.
taxonomic-collective;['legwana'];Den legwana (Iguanidae) e ben wan meti.
taxonomic-collective;['dedemanuma', 'latrodectus'];.
temporal-region;['yari'];Wan yari (fu Ingrist.
