abstract-region;['quadratische funktion'];A quadratische Funktion is in da Mathematik a gonzrationale Funktion zwoatn Grades.
activity;['psychoanalyse'];De Psychoanalyse is a psychologische Theorie, de wos um 1890 vom Weana Neirologn Sigmund Freud entwicklt wuan is.
activity;['judo'];Judo is a japanische Kampspoatoart.
activity;['swing'];Da Swing is a Musi und aa a Danz, den wo ma auf a Swing Musi danzn ko.
activity;["rock 'n' roll", 'rockmusi', "rock'n'roll", 'rock', 'rock and roll', 'rock ’n’ roll', 'rockmusik', 'rockmuusi'];Rockmusi san alle Musikrichtunga, de wo si ausm "Rock 'n' Roll" aus de 1950a Joar entwicklt hom.
activity;["rock 'n' roll", 'rockmusi', "rock'n'roll", 'rock', 'rock and roll', 'rock ’n’ roll', 'rockmusik', 'rockmuusi'];Rock ’n’ Roll oda Rock and Roll is a US-amerikanisches Musikgenre vo de 1950a- und frian 1960a-Joar.
activity;['zwoata wötkriag', 'zwoata wödkriag', 'world war ii', '2. wötkriag', 'zweita weltgriag', 'zweita wöidgriag', 'zweita wötkriag', 'zweiter weltkrieg', 'zwoata wejdkriag', 'zwoata weltkriag', 'zwoata wäidkriag', 'zwoata wäitkriag', 'zwoater weltkriag', 'zwoatn wöidkriag'];Da Zwoate Wödkriag hod vum 1.
activity;['erster wödkriag', 'easchta wödkriag', 'erschta wöidgriag', 'ersta weltkriag', 'erster weltkrieg'];Da Easchte Wödkriag is vo 1914 bis 1918 in Eiropa, im Nahn Ostn, in Afrika, Ostasien und aufn Meer gfihrt worn.
activity;['föhn', 'fön'];Der Föhn is a woarma Foiwind.
activity;['gaudi', 'amusement', 'gaude', 'hetz'];A Gaudi oda a Hetz hod ma, wen wos lusti is, wen ma Spass hod und si amisiat.
activity;['spoat', 'sport', 'spuat'];Da Spoat oda Sport is a Sach, de ma mocha ko, um an Körper zum Trainian, oda aa afoch nur zua Gaudi.
activity;['tauschhaundl'];Da Tauschhaundl oda Tauschhandel is de ödaste Fuam vom Haundln.
activity;['boogie-woogie', 'boogie woogie'];Boogie-Woogie is a Blues-Stui, wo stod af da Klampfm afs Klaviaspui aufbaut.
activity;['rassismus'];De Grundidee vum Rassismus is, dass irgndwejche Rassn, ondan iwalegn sei soin und deshoib a Recht hädn de ondan z untadrickn oda irgendwia auszgrenzn.
activity;['vivisektion'];A Vivisektion is a Eigriff am Lebndn im Gengsatz zur Nekropsie.
activity;['taxonomie', 'klassifikationsschema'];A Taxonomie
activity;['schnää', 'schnee'];Schnää is a Niedaschlog vo Eiskristoin.
activity;['punk', 'punkrock'];Punk, oder besser gsogt Punkrock, is a schneje und musikalisch oafachere Oat vo Rockmusi, de um 1977 entstandn is.
activity;['wassan', 'bewässerung'];Wassan
activity;['disziplin'];Disziplin im Ollgemeinen bedeitet, vum lateinischn wort discipulus obgleitet, Befehl, also eigentlich an Befehl befolgn.
activity;['regierungsform', 'regiarung'];A Regierungsform is a bestimmte Ort auf de a Stoot vawoltet weat.
activity;['gschäftsleitung', 'management', 'geschäftsleitung', 'unternehmensführung'];Unta Gschäftsloatung oda Gschäftsleitung vastäht ma betriabswiatschoftli de Steiarung vo ana Firma und wiatschoftswissnschoftli de Leah vo da Gstoitung, Steiarung und Iabawochung vo an Untanehma, inkl.
activity;['militärische aufklärung'];Militärische Aufklärung moant as Vorgehn, bei dem ma gschaide Informationen üban Feind sammlt.
activity;['gsang', 'gesang'];Da Gsang oda as Singa nennd ma de Musi, de wo mid da Stimm gmochd wead.
activity;['photographie', 'fotografie'];As Woat Photographie, aa: Fotografie, kimmt ausm Griachischn.
activity;['design'];Unta Design
activity;['messung'];Messung is de Bschreibung vo an Meakmoi vo an Objekt oda an Gschengnis in Zoihnweatn, de wo mid ondan Objektn und Gschengnissn vaglicha wean kenna.
activity;['kommunikation'];Kommunikation
activity;['elektrokrampftherapie'];De Elektrokrampftherapie
activity;['theata', 'theater'];Unta Theata vastehd ma im Oigemeinen a Schauschpui, des wo aana oda mehra Menschn voafiahn.
activity;['kunstliacht', 'kunstlicht'];Kunstliacht is Liacht, wos duach kinstliche Liachtquejn eazeigd wead, im Gengsoz zum Dogesliacht.
activity;['kunst'];Kunst maant oiwäu wos Relatives, obhengig vo da Kuitua und da Gschicht.
activity;['dien bien phu'];Dien Bien Phu Điện Biên Phủ is d Habtstod vo da Browinz Điện Biên z Noadwest-Vietnam.
activity;['weda', 'wetter'];Weda is a kuazfristiga Zuaschtand in da Atmosphea an an bschtimmtn Oat auf da Eadn.
activity;['grundlogn vom rechnungswesn', 'rechnungswesn', 'grundlagn des rechnungswesen'];Es Rechnungswesn (dt.
activity;['tää', 'tee'];Da Tää is a haass's, aromatischs Drangl, des wos ois Aufguss aus Pflaunznteun gmochd wiad.
activity;['journalismus'];Journalismus is de Sammlung, Vaorbatung und periodische Vabroadung vo Neiigkeidn und Informationa in Bezug za de Neiigkeidn fia bstimmte Zuigruppn vo Lesan.
activity;['französische revolution', 'franzesische revolution'];De Franzesische Revolution is vo 1789 bis 1799 in Frankreich ganga und is as dridde Moi in da Gschicht vo da Menschheid gwen, dass se a Voik geng sei Monarchie gwendt und s duach a Republik dasetzt hod.
activity;['handweak'];Ois Handweak wean Oabatn bezeichnd, wo a Produkt af Nochfrog individuej heagstejd oda a Deanst peasenli ausgfiahd wead.
activity;['ringa', 'ringen'];s Ringa is a oide Kompfspoatoat, de scho de oidn Egypta ausgibt hom.
activity;['disziplin'];Disziplin im Ollgemeinen bedeitet, vum lateinischn wort discipulus obgleitet, Befehl, also eigentlich an Befehl befolgn.
activity;['sezessionsgriag', 'amerikanischa biagakriag', 'amerikanischa biagagriag', 'amerikanischer bürgerkrieg', 'sezessionskriag'];Da Sezessionskriag woa da vo 1861 bis 1865 wearande milidärische Konflikd zwischa dene aus de Voeinigte Stootn ausdrena Siadstootn und dene in da Union vablimna Noadstootn.
activity;['reng', 'regen', 'regn'];Reng is a flissiga Niedaschlog vom Himme.
activity;['gfrea', 'frost'];Gfrea oda Frost gibts wann de Lufttemperatua untan Gfreapunkt vo Wossa foit.
activity;['ahnlkuit', 'ahnlgeista'];Ahnlkuit oda Manismus (dt.
agentive-figure;['basilisk'];Da Basilisk is a Fabeviach.
agentive-figure;['sisyphos', 'sisyphus'];Sisyphos oda Sisyphus is a Hejd vo da griachischen Mythologie.
agentive-figure;['kerberos'];Kerberos
agentive-figure;['edipus', 'ödipus'];Da Edipus
agentive-figure;['elektra'];Elektra is in da griachischn Mythologie de Dochta vum Kini vu Mykene, Agamemnon und da Klytaimnestra, sowia de Schwesta vo da Iphigenie, vum Orestes und vo da Chrysothemis.
agentive-figure;['antigone'];Antigone is is a Gstoit aus da griachischn Mythologie.
agentive-figure;['kibbuz'];A Kibbuz is de Bezeichnung fia a Laundkommune in Israel.
agentive-figure;['jotna', 'jotn', 'jötunn'];Jotn (pl.
agentive-figure;['drack'];A Drack, boarisch aa Lindwuam oda Dazzlwuam (dt.
agentive-figure;['special forces'];Des United States Army Special Forces Command is de ejdasde Spezioitruppm vo da US Army.
agentive-figure;['stiftung'];A Stift oda Stiftung is a Keapaschoft bzw.
agentive-figure;['blosmusi', 'blasmusik', 'blousmusi'];Blosmusi hoaßt ma de Musi, de wo ausschliaßli oda iabawiagend mit Blosinstrumentn gmocht wead.
agentive-figure;['mahayana', 'mahayana buddhismus', 'mahayana-buddhismus'];Mahayana (Sanskrit: महायान, mahāyāna, „mahā“ hoasst „gross“ „yāna“ hoasst „Wogn“ oda „Weg“, oisdann Grossa Wogn bzw.
agentive-figure;['stoot', 'lånd', 'staat', 'stååd', 'stååt'];Mid Stoot (dt.: Staat, engl.: state) moant ma seid da eiropäischn Neizeid jede bolitische Oadnung, de wo a gmoasoms ois Stootsgebiad ogrenzts Territorium, a dazuaghearigs Stootsvoik und a Mochtausibung iwa des umfosst (vgl.
agentive-figure;['ku-klux-klan', 'ku klux klan'];Da Ku-Klux-Klan is a rassistischa Geheimbund, dea wo vo oim im Sidn vo da USA agiat.
agentive-figure;['priwathaushoit'];A Privathaushoit is a Oat wo ma zomm lebt, wirtschoft und vasoagt.
agentive-figure;['bundesstoot'];A Bundesstoot is im Untaschied zan Oaheidsstoot a Stoot, wo aus mearan Gliedstootn zammagsetzt is.
agentive-figure;['unesco', 'united nations educational, scientific and cultural organization'];De United Nations Educational, Scientific and Cultural Organization is a Internationale Organisation und gleizeiti a rechtli sejbststendige Sondaorganisation vo de Vaeintn Nationa.
agentive-figure;['gmoaschoft vo unobhängige stootn', 'gemeinschaft unabhängiger staaten', 'gus'];De Gmoaschoft vo Unobhängige Stootn (GUS) (russ.
agentive-figure;['infanterie'];Infanterie is de Bezeichnung fia Soidatn, de z'Fuaß kämpfn und mit Handwaffn bewaffnet han.
agentive-figure;['commonwealth', 'british commonwealth of nations', 'commonwealth of nations'];&nbspDa Commonwealth oda Commonwealth of Nations is a loose Stootnvabindung, de wo in easchta Linie aus ehemolign Kolonien vum British Empire bstäht und aus em Vaeinigtn Königreich vo Großbritannien und Nordirlond.
agentive-figure;['butz', 'buz', 'putz'];An Butz, Putz oda Buz kennt ma im ganzn siddeitschn Sprochraum vor oim aus Sogn odar aa aus Gschichtn fia Kinda.
agentive-figure;['nato', 'l’organisation du traité de l’atlantique nord', 'north atlantic treaty organisation', 'north atlantic treaty organization', 'otan'];De NATO is a intanationale Organisation, de an Nordatlantikvatrog, a militarischs Bindnis vo eiropäische und noadamerikanische Stootn.
agentive-figure;['eiropäische union', '🇪🇺', 'eu', 'europäische union', 'europäische unjon'];De Eiropäische Union is a Staatnbund, dea wo aus 27 eiropäischn Staaten bestäht.
agentive-figure;['arabische liga'];D Arabische Liga is a Internationale Organisation vo arabische Staatn und is am 22.
agentive-figure;['uno', 'organisation des nations unies', 'organisation vo de vaeinten nationen', 'organisation vo de vareinten nationen', 'un', 'united nations', 'united nations organization', 'vaeinte nationen', 'vaereinte nationen', 'vaoante nationa', 'vereinte nationen', 'vn'];&nbsp De Vaoantn Nationa, engl.: United Nations, oft UNO fia engl.: United Nations Organization san a zwischnstootlicha Zammschluss vo 193 Stootn und ois globaje Internationale Organisation a aunakaunds Vökarechtssubjekt.
agentive-figure;['heer', 'militär'];As Heer is de Teilstreitkraft vo am Stoot, de olle Landstreitkräfte umfosst.
agentive-figure;['politische partei', 'patei', 'politische pårtei'];A Politische Partei is a Gruppm vo Leid, de wos gleiche oda ähnliche politische Züle hom oda a gemeinsome Wöidaunschaung.
agentive-figure;['remisch-katholische kira', 'römisch-katholische kirche'];De remisch-katholische Kira oda remisch-katholische Kiach is de gressde Kira im Kristndum.
agentive-figure;['herakles'];Da Herakles oda Herkules : „Dea, wo si an da Hera Ruhm eaworbm hod“, klass.
agentive-figure;['religion', 'glam', 'glààm', 'religjon'];Religion is a jede Wödaunschauung, de wos an Mensch mid n Iwanatialichn und Transzendentn in a Beziehung bringd.
agentive-figure;['ungeheia vo loch ness', 'nessie', 'nessieteras rhomboteryx', 'ungeheuer von loch ness'];Des Ungeheia von Loch Ness, zu dems aa Nessie sogn, soi a Viech odaraa a Gruppm vo Viecha sei, de in Loch Ness in da Näh von da Stod Inverness in Schottland lebt.
agentive-figure;['islam', 'islàm', 'islám'];Da Islam is noch'm Kristndum, mid 1,2 Milljardn Ohänga de zwoatgresste Religion vo da Wejd.
agentive-figure;['schia', 'schiiten'];De Schia (boar.
agentive-figure;['hinduismus'];Da Hinduismus is de drittgrößte Religion und kimmt vo Indien.
agentive-figure;['kibara', 'kibbara', 'kiwarei', 'polizei', 'polizist'];Kibara, aa Kiwara, san umgaungssprochlich de Bezeichnung fia Bedienstade, de wos im Dienst vo effentliche Keapaschoftn stenga und fia Aufgom im Sichaheitswesn zuaständig sa.
agentive-figure;['sowjetunion', 'udssr', 'cccp', 'sowjetrussland', 'union der sozialistischen sowjetrepubliken'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE De Sowjetunion woa a zentralistisch regiada, födarativa Aaparteinstoot in Osteiropa, im Kaukasus sowia Nord- und Zentralasien.
agentive-figure;['don quijote', 'el ingenioso hidalgo don quijote de la mancha'];Don Quijote is a Gschicht vo Miguel de Cervantes.
agentive-figure;['el cid'];El Cid, amtli Rodrigo Díaz de Vivar, kuaz Ruy (* um 1043 z Vivar/Bivar. † 10.
agentive-figure;['jesuitnordn', 'jesuitn', 'jesuiten'];Da Jesuitnordn oda Gsöischaft Jesu is a katholische Ordnsgemeinschaft, de am 15.
agentive-figure;['heiligs römischs reich daitscha nazion', 'heiliges remisches reich', 'heiliges römisches reich', 'heiliges römisches reich deutscher nation', 'heuligs römisches reich', 'hrr'];As Heilige Remische Reich, spada aa Heiliges Remisches Reich Deitscha Nation, wor da Nama fia a Reich in Middleiropa, wos vo germanische bzw.
agentive-figure;['militär'];Es Militär is a Organisation, des es Recht vu seina Nation aholtn hod, im Foll vu a Gewoltbedrohung vu außn, en Grund und Bodn vu dea Nation z' vateidign.
agentive-figure;['nsdap', 'nationalsozialistische deutsche arbeiterpartei'];De NSDAP wor a politische Partei in Deitschland, de wo vo 1920 bis 1945 existiat hod.
agentive-figure;['dridds reich', 'drittes reich', 'deitsches reich 1933–1945'];Ois Drittes Reich, boarisch Dridds Reich, wead des Deitsche Reich vo 1933 bis 1945 gnennt bzw.
agentive-figure;['democratic party', 'demokratische påtei', 'demokratische potei'];D Democratic Party
agentive-figure;['republican party', 'republikånische påtei', 'republikanische patei', 'republikonische potei'];D Republican Party
agentive-physical-object;['krauthauhn', 'lacerta viridis'];Da Krauthauhn (dt: östliche Smaragdeidechse, boar.dt.: Krauthahn, wiss.
agentive-physical-object;['kiefan', 'farchn', 'fohrn', 'fährabaam', 'föhre', 'kiefer', 'kiefern', 'pinoideae', 'pinus', 'wald-kiefer'];De Farchn, Forchn, Fohrn oder Fährabaam buidn a Pflanznagoddung vo Nodlhoizgwächse in da Famij vo de Farchngwächse.
agentive-physical-object;['oach', 'eiche', 'eichen', 'quercus', 'stiel-eiche'];De Oacha ghean zu de wirtschafdlich und kuiturej wichtigstn Baam i Middleiropa.
agentive-physical-object;['stoabuiz', 'boletus edulis', 'herrenpilz', 'steinpilz'];Da Stoabuiz, aa Herrnbuiz gennd, is noch da Literatua da bekanndasde und beliabdasde Schwammal fia d'Kich, dea in da frein Natua waggsd.
agentive-physical-object;['nymphm'];In da Zoologie san Nymphm de Entwicklungsstadien vo wirwelose Viecha, de wos aundascht ois wia Larvn, kane Larvalmeakmole haumm.
agentive-physical-object;['viecha', 'animalia', 'fiecha', 'tier', 'tiere', 'viach', 'viacha', 'viech'];De Viecha san a wichtige Gruppm vo meahzejing, eukaryotischn Organismen.
agentive-physical-object;['pflanzna', 'pflanze', 'pflanzen', 'pflanzn', 'pflaunzn', 'plantae'];De Pflanzna san innahoib vo da Domän vo de Eukaryota a oagnas Reich.
agentive-physical-object;['staud', 'busch'];Der Geprauch van Pegiff Staud kånn in an poarischn Lexikón zwoadaitig aufgfåsst wern.
agentive-physical-object;['computer', 'rechna', 'rächner', 'kompiuta', 'kompjuta', 'kompjuuta', 'pc'];A Rechna oda Computer is a Apparat, dea Datn mid Huif vo Rechnvoaschriftn vaoabatn ko.
agentive-physical-object;['automat', 'robota', 'roboter'];A Robota
agentive-physical-object;['automat', 'robota', 'roboter'];A Schbuiautomat is a mechanischs oda elektronischs Gerät, des noch Münzeinwurf oan Schbuivalauf bietet, da duach Zuafoi und/oda Betätigunga des Mitschbuiers oda da Mitschbuia bestimmt werd.
agentive-physical-object;['gugumma', 'guggumma', 'guggummer', 'gurgumma', 'gurke', 'kimerling', 'umurkn'];Gugumma san am boarischn Sprochraum Gmiasgurkn.
agentive-physical-object;['hund', 'canis lupus familiaris', 'haushund'];A Hund, aa: Köter is a Hausviech.
agentive-physical-object;['schwammal', 'fungi', 'pilz', 'pilze', 'schwammerl', 'schwammerln'];Schwammal oda Schwammerl is da boarische Nam fia Puiz.
agentive-physical-object;['bliah', 'bleame', 'blüte'];Bliah san Reproduktionsoagane vo de Pflanzna.
agentive-physical-object;['antoniusglocke', 'akelei', 'aquilegia'];Die Antóniusgglógg isch a Gåttung aus der Familie va die „Hahnenfußgewächse”.
agentive-physical-object;['torggl', 'kelter', 'weinpresse'];As Gerät, mit dén man friaher in Såft va die Weimer auspresst håt, hoaßt in Sidtiról unt aa driberausi Tórggl.
agentive-physical-object;['limauni', 'lemauni', 'lemoni', 'zitrone'];Limauni hand göbe Fricht de im tropischn und subtropischn Klima auf glaichnamige Bam wogsn.
agentive-physical-object;['sojaboanl', 'glycine max', 'sojabohne'];De Sojaboanl
agentive-physical-object;['bam', 'baam', 'bàm', 'baum'];Ois Baam is a Pflanzn, de wo an afrechtn, vohoiztn Stamm bsitzt, dea wo aus a Wuazn ind Häh steigt.
agentive-physical-object;['schlehdorn', 'schleha'];De Schleha is a doaniga Busch mit oana kloanan, blaun, harb schmeckadn Frucht.
agentive-physical-object;['ananas'];De Ananas is a Pflaunznoat aus da Famülije von de Bromöliengwächs.
agentive-physical-object;['prokaryota', 'procarya', 'prokaryoten'];Prokaryota, san olle Lebewesn, vo dena de Zejn koan Zejkern hom.
agentive-physical-object;['edelweiss', 'edelweiß', 'edlweiß', 'leontopodium nivale'];As Edelweiss oda Edlweiß (Leontopodium nivale subsp.
agentive-physical-object;['ox', 'ochs', 'ochse'];Da Ox is a gschniidans Rindviechmandl.
agentive-physical-object;['eukaryota', 'eukaryoten'];Eukaryota san olle Lebewesn, vo dena de Zejn an Zejkern hom.
agentive-physical-object;['kaspappele', 'malva neglecta'];As Kaspappele óder Kaspapala isch a Pflånz aus der Familie der Malvengewächse.
agentive-physical-object;['petersilie', 'bèdasui', 'bèdasüü', 'petroselinum crispum', 'pädasi'];A Petersilie, Pädasi is a Gwiazkraut, des wo ma roh isst oda nua kurz eahitzt, weis sunstan s Aroma valiat.
agentive-physical-object;['singvegl', 'passeri', 'singvögel'];De Singvegl san a Untaordnung vo de Spotznvegl.
agentive-physical-object;['pamarantschn', 'bamaranschn', 'citrus sinensis', 'orange', 'pomarantschn', 'pommerantschen'];Pamarantschn oda Pomarantschn hand oarausche Fricht de im tropischn und subtropischn Klima auf glaichnamige Bam wogsn.
agentive-physical-object;['reptülien', 'kriechtiere', 'reptil', 'reptilia', 'reptilien'];Reptülien oda Kriachviecha san – noch traditionölla Taxonomie - a Klass vo viahaxade Wiaweviecha mid ana gschupptn Haut, de wos in da Regl Eia mid ana Koichschoin und an Eiheidl legn.
agentive-physical-object;['feichtn', 'fichte', 'fichten'];De Feichtn
agentive-physical-object;['mensch', 'homo sapiens sapiens', 'homo sapiens'];Da Mensch is innahoib vo da biologischn Systematik a hehans Spoviech aus da Ordnung vo de Primatn.
agentive-physical-object;['goaß', 'capra aegagrus hircus', 'capra hircus', 'geiß', 'goass', 'goaßn', 'ziege'];De Goaß, aa Hausgoaß is oas fo de Viecha, de wos am ollalengan wirtschafdli fom Menschn gnuzt wean.
agentive-physical-object;['felber'];Felber sein Staudn óder Pam, dé haupsåchlich af nåssn óder faichtn Pódn wåxn. sie ghearn zu der Gåttung va die Weidn.
agentive-physical-object;['oanschloifa', 'dermaptera'];Oanschloifa, aa Oawiam oda Uankräula san a Oadnung vo de Insektn, se kean za de Fluginsektn.
agentive-physical-object;['àntna', 'antna', 'anatinae', 'antn', 'ente', 'enten'];Dr Antna sand a Untfamui fo di Antnfegl. fost olle Fegl, de wos ma londleifi Antna nend, ghearn zu dera Gruppn dazua.
agentive-physical-object;['weimer', 'weinba', 'weintraube'];Weimer hoaßt in die Sidtiróler Wenpaugepiate der Fruchtstånt va der Weinréb.
agentive-physical-object;['weimer', 'weinba', 'weintraube'];Weinba oda Weinbeer (dt.
agentive-physical-object;['seengbaam', 'seengbam', 'lebensbaum', 'thuja'];Seengbaam, Lemsbaam oda Thuja san Nodlbaam, de wo zua Famij vo de Zypressn ghean.
agentive-physical-object;['kestn'];Kést óder Késtn isch in Tiról unt Kärntn die Pezeichnung fir der Édlkastanie.
agentive-physical-object;['bittapamarantschn', 'bitterorange', 'pomeranze', 'bigarad'];Bittapamarantschn oda Bigarad hand göb-oarausche Fricht de im tropischn und subtropischn Klima auf glaichnamige Bam wogsn.
agentive-physical-object;['råtzn', 'råtz', 'rattus', 'rotzn'];De Rotzn san klaane Nogeviecha.
agentive-physical-object;['ungeziefa', 'ungeziefer'];Ois Ungeziefa bezeichnd ma im Oigmoana kloanare Viecha, de uneawinschd san.
agentive-physical-object;['brein', 'hirse'];Brein oda Hiasch
agentive-physical-object;['froschlurche'];D`Froschlurche san unta de drei Amphibiengrubbm, wos heid no lebm, de wos mid Obstaund de meistn Oartn hod.
agentive-physical-object;['protea'];Protea is a Oat in Simbabwe.
agentive-physical-object;['spofiecha', 'spoviecha', 'mammalia', 'saigetia', 'spauviecha', 'spoviech', 'säugetier', 'säugetiere'];De Spoviecha, dt.: Säugetiere san a Glass fo di Wirwiviecha, de wos ma zmoast an eanam Föi dakennt, und de wos eanane Jungan mid Milli saing.
agentive-physical-object;['naigwirz', 'neugewürz', 'piment'];Neigwirz isch die éstreichische Pezeichnung fir dés Gwirz, wås man durchn Aufreibm va der Frucht van Pimentbaum kriagg.
agentive-physical-object;['baamhackl', 'picidae'];Baamhackla san a Famij vo Vegln.
agentive-physical-object;['mur'];Die Mur isch in Sidtiról die Frucht va der Prompeerstaud.
agentive-physical-object;['knofe', 'allium sativum', 'knoblauch', 'knofl'];Da Knofe oda Knofl is a Nutzpflaunzn aus da Goddung Lauch.
agentive-physical-object;['blaukraut'];Blaukraut, in andan deitschsprochign Gebietn aa Rotkohl, Rotkraut, Rot- bzw.
agentive-physical-object;['kren', 'gree', 'meerrettich'];Kren, Kree oda Gree, is de Wuazn vom Krenpflanzl, de wo ois Gmias, Gwiaz und Heijmiddl vawendt werd.
agentive-physical-object;['neuseeländischer spinat', 'tetragonia tetragonioides'];Der Neuseeländisch Spinat isch a greane Staud, wås afn Pódn manånderkriacht.
agentive-physical-object;['kuckuck', 'cuculus canorus'];Da Kuckuck is a recht a unauffälliger grauer Vogl.
agentive-physical-object;['kranewitter', 'wacholderdrossel'];Kranewitter, Kranawetter óder Krumeter hoaßt in Sidtiról die Wacholderdróssl.
agentive-physical-object;['oachkatzl', 'eichhörnchen', 'oachkatzal', 'oachkaz', 'oachkàtzal', 'oachkàtzl', 'oachkåz', 'sciurus vulgaris'];S Oachkatzl, aa Oachkatzal is a Spoviech aus da Famij vo de Heandl.
agentive-physical-object;['brooz', 'brotz', 'bufo bufo', 'erdkröte', 'föidgrott', 'heppin'];Da Brooz oda Heppan
agentive-physical-object;['generatoa', 'generator'];A Generatoa
agentive-physical-object;['pfeascha', 'prunus persica', 'pfirsich'];Da Pfeascha
agentive-physical-object;['geaschtn', 'hordeum vulgare', 'gerste', 'gerstn'];De Geaschtn gheat zu de wichtigstn Droad-Artn.
agentive-physical-object;['diandling', 'diandl', 'dirndling', 'gäiwn hartriegl', 'koanelkiaschn', 'kornelkirsche'];Da Diandling, aa Diandl, Dirndl oda gejwa Hoartriegl
agentive-physical-object;['bärndreck'];Sprich Pärndréck.
agentive-physical-object;['grischer', 'equus asinus', 'esl'];Måncherórts in Sidtiról versteaht man drunter an Ésl.
agentive-physical-object;['facken', 'sus scrofa domestica', 'schweindln', 'sei'];Facken oda aa: Sei, Suggl, Sucherl Schweindln hoaßd ma de rosaroudn Viecha, de wos ofd af om Bauanhof leman.
agentive-physical-object;['sojaboanl', 'glycine max', 'sojabohne'];De Sojaboanl
agentive-physical-object;['böichn', 'fulica atra', 'blesshuhn', 'blässhuhn'];D'Böichn oda Böin is a heifiga Fogl in Middleiropa, der wos oiwei no am Wossa lebt, am liawan in stade Gwassa wia z.
agentive-physical-object;['zigori', 'kuhblume', 'taraxacum officinale'];In Sidtiról isch Zigori oft die Pezeichnung firn „Löwenzahn“.
agentive-physical-object;['wechslkrod', 'bufo viridis', 'pseudepidalea viridis', 'wechselkröte'];De Wechslkrod Bufotes viridis, aa greane Krod gnennd, is a Froschluach aus da Famülie vo de echtn Krodn.
agentive-physical-object;['wisent', 'bison bonasus'];Da Wisent oda da Eiropäische Bison is a eiropäisches, wuids Rindviech.
agentive-physical-object;['huanaus', 'hornisse', 'vespa crabro'];A Huanaus, Huanissn is a Viech vo da Famülie Foitnwepsn.
agentive-physical-object;['archäopteryx', 'archaeopteryx lithographica'];Da Archäopteryx hot vua üwan Dam 130 Milliona Joar im Eadzeitoita Jura glebt.
agentive-physical-object;['neandertaler'];Da Neandatola is a ausgstuabana Vawonta vom heitign Mensch.
agentive-physical-object;['homo erectus'];Da Homo erectus is a Oat aus da Gattung Homo.
agentive-physical-object;['hauskotz', 'felis silvestris catus', 'katz', 'katze', 'katzen', 'katzn', 'kotz', 'kåtz', 'kåtzn', 'hauskatze'];De Hauskotz
agentive-physical-object;['protist', 'protista', 'protisten'];Protistn san a Gruppn vo kloawinzign Lebewesn, de wo owa nit olle midanana vawandt san.
