activity;['raga', 'kiwiki', 'rugby', 'raga soka', 'rugger'];Raga (ing.
activity;['golf', 'gofu', 'golf mashindano', 'golf mchezo'];Gofu ni mchezo ambako mchezaji anapiga mpira mdogo kwenye uwanja mkubwa kwa kutumia vingoe akilenga kufikisha mpira katika mashimo yanayofuatana.
activity;['kriketi', 'cricket', 'cricketers', 'kriketi ya klabu', 'timu kriketi'];Kriketi
activity;['baseball', 'besiboli', 'baseball mchezo', 'wachezaji baseball'];Baseball ni aina ya michezo ya timu yenye asili na wafuasi wengi Marekani lakini inapendwa pia na watu wengi huko Amerika Kusini na Asia ya Mashariki.
activity;['karata', 'playing card', 'kadi ya mchezo', 'kadi', 'michezo kadi'];Karata ni kadi au kipande cha karatasi yenye namba, alama au picha ikiwa sehemu ya idadi mfululizo za karata.
activity;['tennis', 'tenisi', 'lawn tennis'];Tennis ni aina ya michezo inayotekelezwa na watu wawili au wanne wakishindana kwa kupiga mpira mdogo kwa raketi kwenye uwanja wa tennis.
activity;['automation', 'mechanization', 'automatisering', 'automatisering kiwanda', 'automatisering viwanda', 'automatiska', 'aŭtomate', 'kiwanda automatisering', 'mechanized'];Automation ni matumizi ya mfumo wa kudhibiti, katika Matamasha pia matumizi mengine ya teknolojia ya habari, kudhibiti mitambo ya viwandani na michakato, ili kupunguza haja ya kuingilia kwa binadamu.
activity;['aikido'];Aikido ni mchezo wa mapigano ulioanzishwa na Morihei Ueshiba ukiwa ni mchezo uliobeba falsafa na imani ndani yake Mchezo huu ulianza kuchezwa katika nchi ya Japani mnamo mwaka 1920 kama mchezo wa mbinu za kujihami wenye kumfunza mpiganaji kuhusu maadili ya heshima na imani.
activity;['kura ya maoni', 'kura ya maoni ushauri', 'kura ya maoni yasiyo kisheria', 'kura za maoni', 'plebiscites'];Kura ya maoni zinatumika katika demokrasia ili kuchagua viongozi wa nchi au kuamua kama sheria fulani itumike.
activity;['kalamini', 'kalamini lotion'];Kalamini ni dawa inayotumika kutibu mwasho mkali.
activity;['tendo la ndoa', 'kujamiiana', 'tomba', 'kutombana', 'ngono', 'ugoni', 'coitus', 'copulation', 'binadamu tabia ya ngono', 'coition', 'huruma mapenzi', 'kimwili maarifa', 'maarifa ya kidunia', 'mahusiano ya kingono', 'ngono mkutano', 'ngono tendo', 'ngono uhusiano', 'shughuli za binadamu ya ngono', 'shughuli za ngono', 'tabia ya binadamu ngono', 'tendo', 'uhusiano wa kimapenzi', 'uke ngono', 'vitendo vya ngono'];Tendo la ndoa ni kitendo cha kujamiiana, kati ya mwanamke na mwanaume.
activity;['mapendo ya kiuchumba', 'courting', 'uchumba', 'suitors'];Mapendo ya kiuchumba ni aina mojawapo ya mapendo kati ya binadamu.
activity;['athroskopia', 'upasuaji wa athroskopia', 'wa athroskopia'];Athroskopia ni upasuaji wa kuingilia kwa kiasi kidogo kabisa ambapo uchunguzi na wakati mwingine matibabu ya uharibifu ndani wa kifundo hutekelezwa kwa kutumia athroskopu, aina ya hadubini inayoingizwa ndani ya kifundo kupitia mkato mdogo.
activity;['ekumeni', 'ecumenist', 'interdenominational', 'kiekumeni', 'mkristo ekumeni', 'movement ecumenical', 'oecumenism'];Neno ekumeni linamaanisha tapo la Ukristo linalolenga kurudisha umoja kamili kati ya madhehebu yake mbalimbali.
activity;['sensa', 'nosecount', 'pua kuhesabu', 'sensa ya', 'sensa ya idadi watu'];Sensa ni utaratibu wa kupata na kutunza habari kuhusu idadi ya watu fulanifulani.
activity;['mbweu', 'burping', 'belching', 'burp', 'cheua', 'eructation'];Mbweu ni mngurumo wa hewa inayotoka tumboni kwa sababu ya mtu kushiba chakula au kupagawa na pepo.
activity;['liturgia', 'liturujia', 'liturugia', 'ibada', 'kiliturujia', 'liturgist'];Liturgia ni utaratibu wa ibada hasa katika Kanisa la Kikristo.
activity;['monsuni', 'monsoon', 'kaskazi', 'monsoon kusini-magharibi', 'monsoon kusini magharibi', 'tangambili'];Monsuni ni upepo wa majira unaoendelea kwa muda wa miezi kadhaa kuelekea upande mmoja na kubadilika baada ya kipindi hiki kuelekea kinyume.
activity;['utunziwa mtoto', 'huduma ya watoto', 'huduma ya mtoto', 'mtoto-huduma'];Utunzi wa mtoto, huduma ya mtoto, au kushighulikia mtoto ni kitendo cha kutunza na kulea mtoto wa umri wa miaka 0-16.
activity;['saikoanalisia', 'psychoanalysis', 'analysand', 'kina saikolojia', 'kisaikolojia', 'mwanasaikolojia', 'psychoanalysts', 'psychoanalytic', 'saikolojia kina', 'shule psychoanalytic'];Saikoanalisia au mkabala wa unafsiya ni tawi la saikolojia, ambalo muasisi wake mkuu ni Mwaustria Sigmund Freud.
activity;['ucheshi', 'hali comedy', 'kukaa-com', 'sitcom', 'sitcoms', 'televisheni sitcom', 'ya hali comedy'];Ucheshi ni aina ya vichekesho ambavyo vinahusisha wahusika wanaotumia au gawiana mazingira mamoja, kama vile nyumbani au mahali pa kazi, hasa ikiwa na majibizano ya kichale.
activity;['judo', 'judoka', 'yuko'];Judo (jap.
activity;['thaura', 'mapinduzi', 'mapinduzi ya kijeshi', 'putsch', "mapinduzi-d'etat", "mapinduzi d'état", "mapinduzi ya kijeshi d'", "mapinduzi ya kijeshi d'état"];Thaura ni aina ya mapinduzi ambapo serikali hugeuzwa na jeshi au watu wanaohusiana na serikali bila wananchi kwa jumla kushiriki.
activity;['muziki wa rock', 'rock and roll', 'hard rock', "rock 'n' roll", 'mwamba-na-roll', 'mwamba na roll', "rock'n'roll", 'rock n roll', 'mwamba', 'mwamba-n-roll', "mwamba 'n' roll", 'mwamba roll', 'mwamba muziki', 'mwanamuziki mwamba', 'roll mwamba n', "roll rock'n", 'roll rock n'];Muziki wa rock ni jina la kutaja aina ya muziki wa pop ambao mara nyingi, lakini siyo siku zote, unapigwa kwa gitaa la umeme, besi gitaa, ngoma, na kuimba.
activity;['muziki wa rock', 'rock and roll', 'hard rock', "rock 'n' roll", 'mwamba-na-roll', 'mwamba na roll', "rock'n'roll", 'rock n roll', 'mwamba', 'mwamba-n-roll', "mwamba 'n' roll", 'mwamba roll', 'mwamba muziki', 'mwanamuziki mwamba', 'roll mwamba n', "roll rock'n", 'roll rock n'];Rock and Roll ni aina ya muziki wa rock ulioanza kuundwa kunako miaka ya 1950 na 1960.
activity;['ahadi'];Ahadi ni hali ya kuaminisha au kumuaminishia mtu au watu juu ya jambo fulani ambalo unatarajia kulitimiza na kulitekeleza kwa mtu au watu.
activity;['uchaguzi', 'kuchaguliwa kidemokrasia', 'kuchaguliwa tena', 'kura maarufu', 'mchakato wa uchaguzi', 'siasa za uchaguzi', 'tena uchaguzi', 'wateule'];Uchaguzi ni mchakato wa kumteua mtu kwa nafasi maalumu katika jamii, hasa cheo na majukumu yanayotokana nacho.
activity;['vita ya wenyewe kwa wenyewe', 'vita vya wenyewe kwa wenyewe', 'vita internecine', 'vita vya wenyewe', 'vita vya wenyewe kwa'];Vita vya wenyewe kwa wenyewe ni vita vinayopigwa ndani ya nchi kati ya vikundi vya taifa moja, tofauti na vita vya kimataifa.
activity;['vita ya korea'];Vita ya Korea ya karne ya 20 ilitokea kati ya 1950 hadi 1953.
activity;['vita kuu ya pili ya dunia', 'vita vikuu vya pili vya dunia', 'vita kuu ya pili', 'vita vya pili vya dunia', 'world war ii', 'vita kuu ii', 'vita kuu ya dunia ya pili', 'vita vikuu vya pili', 'vita vya dunia za ii', 'pili ya dunia vita', 'uvamizi wa manazi', 'vita kuu ya dunia 2', 'vita kuu ya ii'];Infobox collage for WWII.PNG Vita Kuu ya Pili ya Dunia ilikuwa vita iliyodumu kuanzia mwaka 1939 hadi 1945 kati ya Ujerumani, Italia, Japani na mataifa yaliyoshikamana nazo dhidi ya nchi nyingi za dunia kati yake hasa Uingereza, Uchina, Urusi na Marekani.
activity;['vita kuu ya kwanza ya dunia', 'vita kuu ya kwanza', 'vita vikuu vya kwanza', 'vita vikuu vya kwanza vya dunia', 'vita ya kwanza ya dunia', 'vita kuu i', 'vita kuu ya dunia ya kwanza', 'vita kuu ya kwanza ya ulaya', 'vita vya kwanza vya dunia', 'vita kukomesha vita', 'vita kuu', 'vita kuu ya dunia', 'vita kuu ya dunia 1', 'vita vya mwisho vita'];Vita Kuu ya Kwanza ya Dunia ilikuwa vita iliyopigwa kuanzia mwaka 1914 hadi 1918.
activity;['vita ya marekani dhidi hispania', 'vita vya marekani dhidi ya hispania', 'kihispania-vita ya marekani', 'kihispania vita'];Vita ya Marekani dhidi ya Hispania ilitokea mwaka 1898.
activity;['vita kuu ya dunia', 'vita kuu za dunia', 'dunia vita', 'vita dunia', 'vita vya dunia'];Vita Kuu ya Dunia ni jina kwa ajili ya vita inayohusu nchi nyingi katika sehemu mbalimbali za dunia badala ya eneo la nchi kadhaa pekee.
activity;['saumu', 'funga', 'swaumu', 'swaum', 'kufunga', 'haraka', 'mifungo'];Saumu (kutoka neno la Kiarabu صوم, Sawm, linalotokana na Kiaramu ܨܘܡܐ, ṣawmā.
activity;['usafi wa moyo', 'ngono watajitenga', 'useja', 'wema'];Neno usafi wa moyo unatumika mara nyingi kuelezea adili ambalo linapingana na uzinifu na kutegemea kiasi.
activity;['elimu', 'malezi', 'agizo', 'didactics', 'kuelimisha', 'mfumo wa elimu', 'educationalist', 'elimu shughuli', 'maelekezo', 'mafundisho', 'muelimishaji', 'waelimishaji'];Elimu kwa maana pana ni tendo au uzoefu wenye athari ya kujenga akili, tabia ama uwezo wa kimaumbile wa mtu binafsi.
activity;['elimu', 'malezi', 'agizo', 'didactics', 'kuelimisha', 'mfumo wa elimu', 'educationalist', 'elimu shughuli', 'maelekezo', 'mafundisho', 'muelimishaji', 'waelimishaji'];Malezi ni kazi maalumu ya muda mrefu ambayo binadamu anamsaidia mwingine kukabili maisha kwa jumla au sehemu yake mojawapo.
activity;['hadithi', 'kisa', 'habari', 'khabari', 'ngano', 'aina za hadith', 'iliyosimuliwa', 'maelezo ya ugonjwa', 'masimulizi', 'mode hadithi', 'msimuliaji anayejua yote', 'mtazamo wa tatu-mtu', 'mtu wa tatu hadithi', 'simulizi', 'tale'];Hadithi ni sehemu ya fasihi.
activity;['riadha', 'michezo', 'matukio ya michezo', 'mchezo'];Michezo ni amali au mazoezi ya kimwili ambayo mara nyingi yana ushindani ndani yake.
activity;['burudani', 'kuburudisha', 'pumbao', 'watumbuizaji'];Burudani ni chochote kile kinachoweza kukuburudisha, hasa bada ya kazi nzito iliyokuchosha.
activity;['ulandanishi', 'synchronizing'];Ulandanishi ni utaratibu makini unaofuatwa ili kufanya vitendo pamoja au kutoa sauti moja.
activity;['ufahamu wa uwezo wa kushika mimba', 'kalenda njia', 'kalenda njia ya kudhibiti kuzaliwa', 'mbinu rhythm', 'rhythm njia', 'rhythm njia ya kudhibiti kuzaliwa'];Ufahamu wa uwezo wa kushika mimba unahusu mbinu zinazotumika kutambua wakati mwanamke anapoweza kushika mimba na asipoweza kushika mimba katika mzunguko wa hedhi.
activity;['mali kwa mali', 'biashara ya kubadilishana', 'barter', 'biashara ya mali kwa mali', 'kubadilishana', 'bartering', 'byta', 'mfumo wa biashara ya kubadilishana', 'swop', 'wabadilishane'];Mali kwa mali ni biashara ya kubadilishana bidhaa kwa bidhaa bila kutumia hela.
activity;['vita za misalaba', 'vita vya misalaba', 'vita vya msalaba', 'vita ya misalaba', 'crusade'];Vita za Misalaba vilitokea kati ya mataifa ya Wakristo wa Ulaya na watawala Waislamu wa nchi za Mashariki ya Kati wakati wa karne za 11 hadi 13, hasa kuanzia 1095 hadi 1291 katika jina la dini na kwa baraka za Kanisa Katoliki.
activity;['mchezo wa pool', 'billiards mfukoni', 'mfukoni billiard', 'mfukoni billiards', 'pool'];Mchezo wa pool ni mchezo ambao unachezwa na watu wawili au hata zaidi kwa kutumia mipira minane ya rangi pamoja na mpira mmoja mweupe, pia na fimbo ndefu.
activity;['ufugaji', 'ufugaji wanyama', 'wafugaji', 'stockbreeding'];Ufugaji ni mazoezi ya kilimo ya kuzaliana na kuongeza mifugo.
activity;['upelekaji', 'maambukizi'];Katika utarakilishi na mawasilianoanga, upelekaji ni utume na uzalishaji wa taarifa za kidijiti kwa njia ya waya, nyuzi za kioo au bila waya.
activity;['ufumaji', 'ushonaji', 'weaving'];Sanaa ya ufumaji ni ufundi unaotumika kutengeneza vitu mbalimbali kwa kutumia vifaa maalumu au mikono.
activity;['ubaguzi wa rangi', 'ubaguzi wa kimbari', 'ubaguzi wa kikabila', 'ukuu wa rangi', 'upendeleo wa rangi'];Ubaguzi wa rangi ni kitendo cha kuthamini au kutenga binadamu kwa misingi ya rangi za ngozi.
activity;['elimu ya sekondari', 'shule ya upili', 'sekondari'];Elimu ya sekondari, katika mifumo ya kisasa ya elimu ulimwenguni, huchukua kipindi cha pili cha elimu rasmi ambayo hutokea wakati wa ujana wa wanafunzi.
activity;['vita vya yom kippur', 'vita ya yom kippur', 'mchakato waarabu na israel amani', 'mgogoro wa israel na waarabu', 'vita vya waarabu na israel', 'vita waarabu na israel', 'yom kippur vita'];Vita vya Yom Kippur ni vita kati ya Waisraeli na Waarabu vya mwaka 1973.
activity;['huduma ya kwanza', 'vidokezo vya huduma ya kwanza', 'wikipedia.org////wiki////vidokezovyahudumayakwanza', 'matibabu', 'misaada ya kwanza'];Huduma ya kwanza inamaanisha huduma au msaada unatolewa kwa mtu anayekabiliwa na ugonjwa au madhara ya ghafla wakati daktari hayupo karibu na kabla hajapelekwa hospitalini kwa matibabu zaidi.
activity;['ndondi', 'mchezo wa ngumi', 'bare-knuckle ndondi', 'bareknuckle', 'fisticuffs', 'mapambano tuzo', 'prizefighting', 'pugilism', 'tuzo mpiganaji'];Mchezo wa ngumi ni aina ya michezo ya mapigano ambapo mabondia wawili wanapigana kwa kutumia ngumi pekee kwa kufuata kanuni za mchezo.
activity;['utambuzi', 'matibabu uchunguzi', 'matibabu ya utambuzi', 'utambuzi wa utabibu', 'vigezo vya uchunguzi'];Utambuzi wa kimatibabu ni mchakato wa kugundua ugonjwa au hali ya afya ya mtu kuelezea dalili na ishara zake.
activity;['karantini', 'quarantine', 'kituo cha karantini', 'quarantined'];Karantini ni uzuiaji wa watu au wanyama wasitolewe kutoka eneo moja hadi jingine ili kuzuia uenezaji wa magonjwa ya kuambukiza.
activity;['masaji', 'massage', 'massages', 'masseuse', 'mguu massage', 'mkandaji', 'mtaalamu massage', 'tiba ya massage'];Masaji ni hali ya kuukanda na kuusugua mwili ili uweze kujihisi vizuri.
activity;['uzazi wa mpango', 'udhibiti wa uzazi', 'uzazi wa majira', 'kuzaliwa kuzuia', 'uzazi'];Udhibiti wa uzazi ni juhudi za kuratibu uzazi kwa sababu mbalimbali.
activity;['uzazi wa mpango', 'udhibiti wa uzazi', 'uzazi wa majira', 'kuzaliwa kuzuia', 'uzazi'];Uzazi wa mpango au uzazi wa majira maana yake ni njia mbalimbali ambazo binadamu analenga kuzuia wingi wa mimba ambao unadhaniwa kuweza kuleta madhara ya aina moja au nyingine.
activity;['theluji', 'snowfall', 'cover theluji'];Theluji ni aina ya pekee ya barafu ya maji.
activity;['mvua ya mawe', 'hailstorms tufani'];Mvua ya mawe ni aina ya mvua ambayo matone ya maji yamefika kwenye uso wa ardhi kwa umbo la vipande vya barafu.
activity;['adhabu ya kifo', 'adhabu ya mauti', 'utekelezaji', 'kosa mji mkuu', 'kuhukumiwa kifo', 'kunyongwa', 'nitafanya', 'uhalifu mji mkuu', 'unyongaji', 'utekelezaji wa umma'];Adhabu ya kifo ni mauaji ya mwanadamu yanayotekelezwa na serikali baada ya mahakama kutoa hukumu ya mauti kulingana na sheria za nchi.
activity;['umwagiliaji', 'kilimo cha umwagiliaji', 'kumwagilia', 'mfumo wa umwagiliaji', 'mifumo ya umwagiliaji'];Umwagiliaji ni mtindo wa kilimo wa kupeleka maji kwa mimea shambani pasipo na mvua ya kutosha.
activity;['upasuaji wa plastiki', 'anaplasty', 'reconstructive upasuaji', 'upasuaji mapambo', 'upasuaji reconstructive', 'waganga plastiki'];Upasuaji wa plastiki ni aina maalum ya upasuaji unaojumuisha utengenezaji mpya, urekebishaji au ubadilishaji wa mwili wa binadamu.
activity;['utafiti', 'mtafiti', 'mbinu za utafiti', 'utafiti wa awali', 'utafiti wa kitaaluma', 'watafiti'];Utafiti hujumuisha kazi ya ubunifu ambayo hufanywa kwa misingi ya utaratibu ili kuongeza maarifa ya elimu, ikiwa ni pamoja na ujuzi wa wanadamu, utamaduni na jamii, na matumizi ya hisa hii ya ujuzi wa kuunda maombi mapya.
activity;['kafara', 'kipatanisho'];Kafara ni kitu chochote kinachotolewa kuwa ni sadaka kwa Mwenyezi Mungu, kwa miungu, kwa pepo au kwa mizimu ili kuepuka balaa, madhara na maafa au kupata fadhili fulani.
activity;['jaribio', 'majaribio', 'kundi majaribio', 'majaribio ya kisayansi', 'sayansi ya majaribio', 'utafiti wa majaribio'];Jaribio ni taratibu zinazofuatwa ili kuthibitisha, kukanusha au kuhalalisha makisio.
activity;['tungo', 'penning', 'uandishi', 'utungaji'];Tungo ni neno au nomino inayotokana na kitenzi "tunga".
activity;['kutapika', 'tapishi', 'emesis', 'disgorgement', 'matapishi', 'puking', 'regurgitation', 'vomits'];Kutapika ni hali ya mtu au mnyama kutokwa kwa nguvu na vitu vilivyojikusanya tumboni kupitia mdomoni na wakati mwingine puani.
activity;['camping', 'kambi', 'bivouacking', 'makazi bivouac', 'safari ya kambi', 'tenting'];Camping ni aina ya burudani na pia njia ya utalii ambako watu hutoka katika nyumba zao kwa siku za mapumziko au likizo na kukaa nje.
activity;['uchimbaji madini', 'uchimbaji wa madini', 'madini', 'madini chini ya ardhi', 'sekta ya madini', 'vifaa vya madini'];. Uchimbaji madini ni kitendo cha kuchimba ardhi kwa ajili ya kupata madini.
activity;['uchapishaji skrini', 'serigraphy', 'hariri-screen', 'hariri screen', 'screen-uchapishaji', 'screen hariri', 'screen uchapishaji', 'screenprint', 'screenprinting'];Uchapishaji skrini ni ujuzi wa kurembesha mashati kwa kutumia meshi isipokuwa mahala ambako umeweka stencil.
activity;['usimamizi'];Usimamizi katika biashara na katika shughuli ya kuwapanga binadamu ni kitendo cha kuwaweka watu pamoja ili kutimiza malengo na madhumuni yatakikanayo.
activity;['pozi', 'kuchukua', 'mbadala kuchukua'];Pozi ni mkao wa kuchorwa au kupigwa picha kwa kuwa katika staili mbalimbali.
activity;['kamari', 'betting', 'michezo ya kubahatisha', 'wacheza kamari', 'wagering'];Kamari ni mchezo wa bahati nasibu unaohusisha pesa au kitu kingine chenye thamani kama tuzo kwa mshindi.
activity;['adhabu', 'adhabu ya makosa jinai', 'kuwaadhibu', 'penalisation', 'penalization'];Adhabu ni malipizi ambayo mtu hupewa kutokana na kosa alilofanya kwa makusudi au kwa bahati mbaya.
activity;['upigaji picha', 'picha kuchukua', 'upigaji picha wa kibiashara'];Upigaji picha ni teknolojia na sanaa ya kutengeneza picha za kudumu kwa kunasa mwanga au mionzi mingine, kwa njia ya kielektroni au ya kikemia.Kwa kawaida, lensi inatumika kuelekeza mwanga wa nje mpaka ndani ya kamera kwa muda fulani.
activity;['mipango'];Upangaji katika mashirika na sera ya umma ni mchakato wa pamoja wa kuunda na kudumisha mpango. na mchakato wa kisaikolojia wa kufikiria shughuli zinazotakikana kuunda lengo linalotamaniwa katika kiwango fulani.
activity;['kipimo', 'upimaji', 'kupima', 'mensuration', 'vipimo'];Upimaji ni kazi ya kutambua tabia za kitu kwa umakinifu.
activity;["mchezo wa ng'ombe", 'bullfighting', 'bullfights', "kupambana ng'ombe", "mapigano ng'ombe", 'tauromachy'];Mchezo wa Ng'ombe ni desturi inayojulikana hasa katika nchi za Hispania na Ureno, pia katika maeneo ya jirani ya Ufaransa kusini na katika koloni za zamani za Hispania huko Amerika ya Kilatini kama Meksiko.
activity;['mawasiliano', 'kuwasiliana', 'mawasiliano ya kijamii', 'miscommunication', 'ujuzi wa mawasiliano'];Mawasiliano ni mchakato wa kuhamisha taarifa kutoka chombo kimoja hadi kingine.
activity;['usimbaji fiche', 'encoding', 'encryption', 'algorithm fiche', 'decrypt', 'encrypt', 'encrypted', 'encrypting'];Katika utarakilishi, usimbaji fiche ni mchakato wa kubadilisha habari ili iwe ujumbe wa siri.
activity;['mazoezi ya mwili', 'mazoezi', 'mazoezi ya viungo', 'utumiaji', 'workout', 'zoezi', 'fitness mafunzo', 'kimwili exertion', 'kufanya kazi nje', 'mafunzo fitness', 'shughuli za kimwili'];Mazoezi ya mwili ni vitendo vinavyofanywa aghalabu na watu au mtu ili kuuweka mwili katika hali ya afya nzuri na kuwa tayari kwa ajili ya jambo maalumu.
activity;['uongozi', 'kiongozi pete'];Uongozi ni mamlaka au karama ya kuwaonyesha watu njia kwa vitendo.
activity;['biashara', 'biashara ya biashara', 'biashara ya kibiashara', 'kwa ajili ya faida', 'kwa faida', 'mfumo wa biashara', 'sayansi ya biashara'];Biashara ni shughuli au mchakato wa kununua na kuuza mali au vitu.
activity;['ibada', 'ibada ya dini'];Ibada ni tendo la heshima ya hali ya juu linalotolewa kwa Mungu au miungu.
activity;['utamadunisho', 'utamadunishaji', 'enculturation', 'acculturation'];Utamadunisho ni mchakato wa mtu kupokea utamaduni wa wale wanaomzunguka ili kuingia zaidi katika maisha ya jamii husika.
