abstract-region;['limiet', 'limieten'];In de wiskunde is e limiet e weirde die deur e functie in 't oneindige kan wordn benoaderd.
agentive-physical-object;['bêesten', 'animalia', 'beestn', 'bjeestn', "bêest'n", 'bêeste', 'bêestn', 'bêestnryk', 'dieren', 'metazoa'];Et bêestnryk, wok gekend lik de Animalia, is de taxonomische ounderverdêlienge die al de bêestn omvat.
agentive-physical-object;['plantn', 'plantae', 'plante', 'planten'];Plantn zyn leevnde organismn.
agentive-physical-object;['ut', 'struke', 'struuk', "struuk'n", 'struuke', 'struukn'];Een ut, nut of struuke is e lêge plante.
agentive-physical-object;['computer'];Nen computer es een machine wamee da gegevens kunn verwerkt zyn volgens ol sôortn van algoritmn en procedeurn.
agentive-physical-object;['hound', 'canis lupus familiaris', 'ound'];Hoons, houns of houndn zyn bêestn die mêestol in companie leevn me menschn, ze zyn ol zeker 15 000 joar eleen etemd.
agentive-physical-object;['eenzoadlobbign', 'monocots', 'monocotyledoneae', 'monocotyln', 'êenzoadlobbign'];D' eenzoadlobbign zyn e groote groep van bloeinde plantn, woarvan dan de zoadn deurgoans moar één embryonoal blad of zoadlobbe bevattn.
agentive-physical-object;['blomkôle', 'bloemkole', 'bloemkôle', 'blomkole', 'brassica oleracea var. botrytis'];Blomkôle of bloemkole is e kôolsôorte van de familie van de kruusblommigen, woavan da 't wit gedêelte g'eetn wordt os groensel.
agentive-physical-object;['abêle', 'white poplar', 'populus alba'];Abêeln zyn boomn uut de familie van de wulgn en van 't geslacht van de poppeliern.
agentive-physical-object;['personal computer', 'pc'];Nen personal computer is nen computer die mêestens gebruukt wordt deur gezinn.
agentive-physical-object;['citroen', 'citrus limon'];De citroen is e gilwe citrusvrucht met e zeure smoake die groeit an e boom.
agentive-physical-object;['boom', 'boomn', 'bôom', 'bôomn'];E boom is 'n houtachtige vaste plante die bestoat uut 'n hoge stamme mè wortels en e kruune mè takkn en bloarn.
agentive-physical-object;['sleedôorn', 'prunus spinosa'];Sleedôorns zyn e sôorte van lêge boomn of struukn uut de familie van de pruumn.
agentive-physical-object;['das', 'meles meles'];E das is e zoogdier uut de familie van de marters, mustelidae.
agentive-physical-object;['ussel', 'fruttenier', 'vespula vulgaris', 'waspe', 'wespe'];Een ussel, e wespe, waspe of fruttenier is e sôorte insectn.
agentive-physical-object;['viervoeters', 'tetrapoda'];De viervoewters of Tetrapoda zyn beist'n mè vier ledemoat'n, e superklasse van de gewerveld'n.
agentive-physical-object;['karote', 'krote', 'wortel', 'workel', 'carote', 'daucus carota'];De karote, krote, wortel of workel es e groensel die in West-Vloandern vele gekwikt wordt.
agentive-physical-object;['slangesterrn', 'ophiuroidea', 'slangesterre', 'slangsterre', 'slangsterrn'];Slangesterrn zyn stekkervelbêestn die verwant zyn an de zeêsterrn.
agentive-physical-object;['naftemoteur', 'benzine motor'];Een naftemoteur is e moteur die werkt deur de verbrandienge van nafte.
agentive-physical-object;['eukaryootn', 'eucaryota', 'eukaryota', 'eukaryoten'];De eukaryootn zyn een van de drie domeinn van de taxonomie.
agentive-physical-object;['gewerveldn', "gewerveld'n", 'vertebrata'];Gewerveld'n vormn e substamme van chordabeist'n.
agentive-physical-object;['perselle', 'petroselinum crispum', 'peterselie', 'persyn'];Perselle of Persyn is e zocht, twêejoarig kruud.
agentive-physical-object;['chordabêestn', 'chordabeestn', 'chordabêeste', 'chordadieren', 'chordata'];Chordabêestn zyn e stamme van 't bêestnryk, ounderverdêeld in de mantelbêestn, de schedelloozn en de gewerveldn.
agentive-physical-object;['berke', 'betula'];Berkn zyn wientrekoale loofboomn van 't geslacht Betula.
agentive-physical-object;['seenappel', 'appelseena', 'citrus sinensis', 'ginappel'];Ne seenappel, sinappel, appelseena of ne ginappel is de vruchte van de seenappelboom.
agentive-physical-object;['reptieln', 'reptiel', 'reptilia'];Reptieln of kruypbeist'n vormn e klasse van koedbloewdige, gewervelde beist'n.
agentive-physical-object;['sparre', 'picea'];E sparre is e boom van 't geslacht Picea e geslacht van oengevêer 35 sôortn koniefeern uut de famielje van de Pinaceae, gevoenn in de nôordlikke warmgemoatigde en boreoale tajgas van de weirld.
agentive-physical-object;['organisme', 'organismn'];In de biologie is een organisme een levend wezen.
agentive-physical-object;['mens', 'homo sapiens sapiens', 'miens', 'mins', 'homo sapiens'];Ne mins, miens of mens is een twêvoetign primoat, die deel uutmakt van de familië van de mensoapn, woa dan ook de orang-oetangs, gorillas en chimpansees in zittn.
agentive-physical-object;['hoefbêestn', 'hoefbeestn', 'hoefbêeste', 'ungulata'];Hoefbêestn zyn zoogbêestn die hoevn an under pôotn en.
agentive-physical-object;['stekveugel', 'rôofveugel', 'stekveugels', 'falconiformes', 'rôofveugels'];Stekveugels of stekkers zyn veugels die verre in hêel de weireld te viendn zyn en die bykan ollemoale ollêne mo vlêes eetn.
agentive-physical-object;['lorke', 'larix'];Lorkn zyn koniefeern uut 't geslacht Larix, in de famielje van de pynboomachtign.
agentive-physical-object;['wilge', 'salix'];Wilgn of wulgn zyn loofboomn of struukn uut e geslacht van de wilgachtign.
agentive-physical-object;['ôorworms', 'ôornbêestn', 'dermaptera', 'oorbeestn', 'ôornbêeste', 'ôorworm', 'ôrebêeste'];D' ôornbêestn of ôorworms vormn d' insektn-orde Dermaptera en ze wordn gevoenn deur hêel Amerika, Afrika, Euroazje, Australië en Niew Zêeland.
agentive-physical-object;['esdôorn', 'acer'];Acer is e geslacht van boomn of struukn, in de geweune toale gekend lik esdôorn.
agentive-physical-object;['platvissn', 'platvis', 'platvisn', 'pleuronectiformes'];Platvissn zyn een orde van stroalvinnige vissn die ip hunder zykant ip de bodem leevn.
agentive-physical-object;['beuke', 'fagus'];De beukn zyn e geslacht van wientrekoale boomn uut de famielje van de beukachtign, inêems in warmgemoatigd Europa, Oazje en Nôord-Amerika.
agentive-physical-object;['meloen', 'cucumis melo'];De meloewn is e plante van de komkommerfamilie.
agentive-physical-object;['keun', 'keuns', 'konin', 'konnin', 'konnyn', 'konyn', 'oryctolagus', 'oryctolagus cuniculus'];E keun of konyn is e zoogbêeste, dat in de orde van de hoaze-achtign zit.
agentive-physical-object;['denne', 'abies'];Denn zyn e geslacht van 48–55 sôortn van altydgroene koniefeereboomn uut de pynboomachtign-famielje.
agentive-physical-object;['origanum'];Origanum is e geslacht van kruudachtige vaste plantn in de lipblommefamilie, ofkomstig van 't Middellansche Zeegebied.
agentive-physical-object;['puut', 'puutn', 'peut', 'anura', 'puutachtign', 'puutn en paddn'];Puutn zyn êen van de drie groepn van d' amfibieën, tope met de salamanders en de wormsalamanders.
agentive-physical-object;['salamander', 'urodela', 'caudata', 'salamanders'];Salamanders zyn en orde van amfiebiejn die leevn in olle continentn buutn Oceanië en Antarctica.
agentive-physical-object;['prume', 'prunus domestica', 'pruumn'];E prume of preume is e soorte fruut.
agentive-physical-object;['marihuana'];Hennepbloadern of Marihuana en hasjiesj zyn bewustzynsverruumnde middeln die tot de softdrugs gerekend keun wordn.
agentive-physical-object;['nigella'];Nigella is e geslacht van 18 soortn eenjoarige plantn in de ranoenkelfamilie, ofkomstig van Zuud-Europa, Noord-Afrika, Zuud- en Zuudwest-Azië.
agentive-physical-object;['bufo'];Bufo is e geslacht van puutn in de familie van de echte paddn.
agentive-physical-object;['zoogbêestn', 'mammalia', 'zoogbeestn', 'zoogbêeste', 'zoogdiern'];Zoogbêestn vormn een klasse van warmbloedige, mêestol levendboarende gewervelde bêestn, die under joengn zoogn.
agentive-physical-object;['toebak', 'nicotiana'];Toebak wordt gemakt van de bloarn van de toebaksplante Nicotinia tabacum.
agentive-physical-object;['oregano', 'origanum vulgare'];Oregano, ook wilde marjoleine of poaliengkruud genoemd, is e kruudachtige vaste plante van de lipblommefamilie.
agentive-physical-object;['woaterratte', 'muskusratte', 'ondatra zibethicus'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['bête', 'beta vulgaris', 'beête', 'bjete', 'bêete', 'bêetn'];De bête is e knolgewas van de amarantefamilie.
agentive-physical-object;['gallinula', 'spierhoan', 'spierhoane', 'waterhoen', 'gallinula chloropus', 'woaterhoentje'];'t Spierhoantje of woaterhoentje is ne veugel uut de familie van de ralln.
agentive-physical-object;['gallinula', 'spierhoan', 'spierhoane', 'waterhoen', 'gallinula chloropus', 'woaterhoentje'];Gallinula is e geslacht van veugels van de familie ralachtign.
agentive-physical-object;['coloradokevre', 'coloradokever', 'leptinotarsa decemlineata'];Coloradokevers zyn e sôorte kevers die ôorsproukelik uut 't zuudn van Nôord-Amerika kommn, verzeker uut Mexico.
agentive-physical-object;['ajuin', 'andjoen', 'ui', 'allium cepa', 'andzjoen'];Nen andjoen es e plante da je kut gebruukn as e sorte van groensel.
agentive-physical-object;['peper', 'piper nigrum'];Peper is de noame vo de tropische plantesôorte Piper nigrum en ook vo de vruchtn en under specerypoeier.
agentive-physical-object;['amfibieën', 'amfibie', 'amfibien', 'amphibia'];D' amfibieën vormn e klasse van koudbloedige bêestn.
agentive-physical-object;['meirel', 'meireloare', 'merelaan', 'turdus merula'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['kauwe', 'corvus monedula', 'kauwn'];E kauwe es nen veugel uut de familje van de kroaiachtign.
agentive-physical-object;['vlienderboom', 'vliender', 'sambucus nigra', 'zwarte vliere'];De vliender, vlienderboom of zwarte vliere is e sôorte van de bedektzoadign in de famielje van de muskuskruudachtign, 'n inêemsche plante in e grôot stik van Europa.
agentive-physical-object;['brune ratte', 'rattus norvegicus'];E brune ratte is e zôogdier in d'orde van de knaagdiern.
agentive-physical-object;['bloedvienke', 'bloevienke', 'pyrrhula pyrrhula'];Bloedvienkn is e sôorte van vienkachtige uut de familie van de bloedvienkn.
agentive-physical-object;['ekster', 'akster', 'pica pica'];Eksters, ook aksters of asters enoemd, zyn redelik grôte veugels die overol in West-Vloandern broen.
agentive-physical-object;['patryze', 'perdix perdix', 'grysde patryze'];Patryzn zyn veugels uut de familie van de fazantn.
agentive-physical-object;['roek', 'corvus frugilegus'];Roekn zyn grôte zangveugels uut de familie van de kroaiachtigen.
agentive-physical-object;['fazante', 'phasianus colchicus'];E fazante is e grôotn veugel die overol in West-Vloandern vôornkomt.
agentive-physical-object;['huuszwoaluwe', 'delichon urbica', 'uuszwoaluwe', 'zwoomtje'];Den uuszwoaluwe, zwolme of zwoomtje es nen veugel van de familie van de zangveugels.
agentive-physical-object;['padde', 'bufo bufo', 'geweune padde'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['jeniver', 'ribes rubrum', 'jenivers', 'zjeniver'];Jenivers zyn de vruchtn van e struuke uut de familie Ribes.
agentive-physical-object;['mussel', 'mossel', 'mytilus edulis', 'geweune mussel'];E mussel of mossel is e wêekbêeste die in de zêe leeft.
agentive-physical-object;['kalissie', 'caliche', 'calisje', 'calisse', 'calissie', 'glycyrrhiza glabra', 'kaliesje', 'kalisje', 'kalisse', 'kolisje', 'reglisse'];Kalissie, kalisse of kolisje, kalisje is de noame van stikskes van de wortelstok van Glycyrrhiza glabra, een plante die familie is van de errewete.
agentive-physical-object;['zwyn', 'sus scrofa domestica'];'t Zwyn is e gedomesticeerd wild zwyn.
agentive-physical-object;['runders', 'bos primigenius taurus', 'bos taurus', 'koe', 'melkkoein', 'rund'];E rund is en eevnhoevign van de familie holhôornign.
agentive-physical-object;['alpaca', 'vicugna pacos', 'lama pacos'];Den alpaca, wok wel nen berglama ghenoemd, is een soorte lama die voornkomt in de bergn van den Andes in Zuud-Amerika.
agentive-physical-object;['komyn', 'cuminum cyminum'];Komyn is e bloeinde plante van de familie schermblommign, verzekers ofkomstig van 't oostn van 't Middellansche-Zeegebied of van Egypte.
agentive-physical-object;['sesam', 'sesamum indicum', 'sesamzoad'];Sesam is e plante van de familie Pedaliaceae die gekwêekt wordt vor eur eetboar zoad.
agentive-physical-object;['zêekomkommers', 'holothuroidea'];Zeikomkommers zyn e klasse van stekkervelbeist'n.
agentive-physical-object;['zêesterre', 'asteroidea', 'zeesterre', 'zeisterre', 'zêesterrn'];De zêesterre of zeisterre es een klasse van de stekkervelbêestn.
agentive-physical-object;['kreukel', 'karrekolle'];De kreukel of karrekolle is e kieuwslekke die in de zêe leeft.
agentive-physical-object;['koter', 'fulica atra', 'meerkoet'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['houtduve', 'columba palumbus', 'outduve'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['wisent', 'bison bonasus', 'europeeschn bisong'];Wisents of Europeesche bizongs zyn Europeesche runders, die tope met 'n Amerikoanschn bizong 'n ênigsn overgebleevn sôorte uut 't geslacht van de bizongs is.
agentive-physical-object;['dagpauwoge'];Dagpauwoogn zyn êen van de bekendste sôortn vlienders deur de typische pauwoogn die up ze vlerkn stoan.
agentive-physical-object;['rotse', 'scardinius erythrophthalmus'];Rotsn zyn visschn uut de familie van de karpers die van nateure vôornkommn in zoet woater in West-Vloandern.
agentive-physical-object;['hommel', 'ommel', 'oppe'];Dit artikel es geschreevn in 't Poperiengs, en da zou best ozô bluuvn.
agentive-physical-object;['olyve', 'olea europaea', 'olyfboom'];Een olyve is de vrucht van den olyfboom, van de familie van de olyfachtign.
agentive-physical-object;['archaeopteryx', 'archaeopteryx lithographica'];Archaeopteryx is den oudstn en mêest primitieve veugel da me kenn'n.
agentive-physical-object;['katte', 'felis silvestris catus', 'felis silvestris', 'katrol'];De katte is een van d' oudste uusdiern van de mens.
agentive-physical-object;['runders', 'bos primigenius taurus', 'bos taurus', 'koe', 'melkkoein', 'rund'];E rund is en eevnhoevign van de familie holhôornign.
agentive-physical-object;['olifant', 'olifantn', 'elephantidae'];Olifantn zyn grôte zoogbêestn uut de familie van de Elephantidae in de orde van de slurfbêestn.
agentive-physical-object;['twêezoadlobbign', 'dicotyledones', 'dicotyledoneae', 'magnoliopsida', 'twizoadlobbign'];De noame twêezoadlobbign wordt traditioneel gebruukt vor e groep plantn, die tegoare met de êenzoadlobbign,, de bedektzoadign of blommeplantn vormn.
agentive-physical-object;['sukerbête', 'suukerbêete', 'suukerbête'];En sukerbête is en sôorte wortelgewas da wirdt gekwêekt vo suker uut t’hoaln.
agentive-physical-object;['tienke', 'tinca tinca'];Tienkn zyn e sôorte visschn uut de familie van de karpers.
agentive-physical-object;['nigelle', 'nigella sativa', 'zwarte komyn'];Nigelle of zwarte komyn, is 'n eenjoarige, kruudachtige plante en bekende soorte van de ranoenkelfamilie.
agentive-physical-object;['oofdluze', 'oofd luze', 'oold luze', 'pediculus humanus capitis', 'hoofdluuze'];En oofdluze is en insecte en e parasite, die menschebloed drienkt.
agentive-physical-object;['keevrs', 'coleoptera', 'keevre', 'kever', 'kevers', 'schildvleuglign'];Keevrs of schildvleuglign zyn e groep insektn die bioloogiesch gerangschikt zyn in d' orde Coleoptera.
agentive-physical-object;['echte puutn', 'puut', 'ranidae'];Echte puutn zyn e familie van de puutachtign.
agentive-physical-object;['geleedpôtign', 'arthropoda', 'geleedpôtigen', 'gelêedpôotign'];Geleedpôtign zyn e stamme van koudbloedige, oungewervelde bêestn met een uutwendig skelet, e gesegmenteerd lyf en gelede anhangsels.
agentive-physical-object;['bruunn beir', 'ursus arctos'];'n Bruunn beir is e grôte sôorte van beir en d'ênigste sôorte die in Europa leeft.
agentive-physical-object;['kalkoen', 'meleagris gallopavo'];De kalkoen is e veugel uut de familie van de oenderachtign lik da 't kiekn dat ook is.
agentive-physical-object;['lêeuw', 'panthera leo'];De lêeuw is e grôte roofbêeste uut de familie van de katachtigen.
agentive-physical-object;['zilvermêeuwe', 'larus argentatus', 'zilvermeeuw', 'zilvermeeuwe'];De zilvermêeuwe is e veugel van de familie van de mêeuwn.
agentive-physical-object;['butstekkers', 'phalacrocorax carbo', 'aalscholvers', 'phalacrocoracidae'];Butstekkers of aalscholvers zyn e familie van 41 soortn woaterveugels van d' orde Suliformes.
agentive-physical-object;['charolaiskoeie', 'charolais'];Charolaiskoein zyn een sôorte koeie uut Charolais in Vrankryk die mêestol praktisch hêlegansten wit is.
agentive-physical-object;['kameleong', 'kameleon', 'kameleongs'];Kameleongs zyn reptieln, familie van de hoagedissn en ze moakn dêel uut van de leguoanachtigen.
agentive-physical-object;['oarmpôtign', 'brachiopoda', 'brachiopoodn'];Oarmpôtign zyn e stamme van zêebêestn.
agentive-physical-object;['intevissn', 'cephalopoda', 'cephalopoodn', 'koppôotign'];D' intevissn vormn e klasse van de molluuskn.
agentive-physical-object;['geweune pynboom', 'pinus sylvestris'];De geweune pynboom is a sôorte pynboom die inêems is in Euroazje, goande van West-Europa toe an ôostlik Siebeerje, in 't zuudn toe an de Kowkoazuus en Anatoolje, en in 't nôordn a stik binn de poolsirkle in Skandienoavje.
agentive-physical-object;['zwarte elze', 'alnus glutinosa'];De zwarte elze, is e boomsôorte uut de famielje van de berkachtign, inêems in 't grotste dêel van Europa, zuudwestlik Oazje en nôordlik Afrika.
agentive-physical-object;['kruudnoagel', 'syzygium aromaticum'];Kruudnoagel is e specerye met e scherpe branderige smoake en e stravve reuke.
agentive-physical-object;['kerkuul'];Kerkuuls zyn e sôorte van uuls die juuste lik de mêeste aar uuls by nachte leevn en joagn.
agentive-physical-object;['vliendrmuus', 'chiroptera', 'vleermuus', 'vleermuuzn', 'vliendrmuuzn'];Vliendrmuuzn zyn zoogbêestn die hêelegans echte kunn vliegn.
agentive-physical-object;['trynnebotte', 'alnus'];De trynnebotte is en geslacht van boômn van de berkefamilie.
agentive-physical-object;['motacilla', 'kwiksteirt', 'kwiksteirtn'];Motacilla zyn e geslacht van zangveugels uut de familie van de kwiksteirtn en piepers.
agentive-physical-object;['koriander', 'coriander', 'coriandrum sativum'];Koriander of Coriander is e plante uut de familie van de schermblommigen.
agentive-physical-object;['peire', 'pyrus', 'peer', 'peirn'];Peirn zyn e sôorte van fruut woavan dan der 40 verschillige sôortn bestoan.
agentive-physical-object;['peire', 'pyrus', 'peer', 'peirn'];Pyrus is e geslacht van fruutboomn in de roozefamilie, gekwèekt vor hunder fruut, de peirn.
agentive-physical-object;['wild zwyn', 'sus scrofa'];Een everzwyn of wild zwyn is 't mêest olgemêne lid van de famille van de zwyns.
agentive-physical-object;['witloof', 'chicoreie', 'chikoung', 'cichorium intybus'];Chicoreie is e kruudachtige, vaste bloeinde plante van de familie asterachtign.
agentive-physical-object;['gember', 'zingiber officinale', 'gembre'];Gember is e specerye met e krudige, scherpe smoake.
agentive-physical-object;['schosneere', 'scorzonera', 'schorseneer', 'schosnjeele', 'schossenele', 'scorzonera hispanica', 'sesniele', 'sesnêle'];E sesnêle of schossenêle is e groensel da in den êesten elft van 'n vôrige eeuw redelik algemêen wos.
agentive-physical-object;['schosneere', 'scorzonera', 'schorseneer', 'schosnjeele', 'schossenele', 'scorzonera hispanica', 'sesniele', 'sesnêle'];Scorzonera is e geslacht van blommeplantn in de familie van de asterachtign.
agentive-physical-object;['artiodactyla', 'eevnhoevign', 'eevnhoevigen'];Eevnhoevign zyn een orde van hoefbeestn die hunder gewicht droagn ip twêe van hunder vuuf teens, de derde en de vierde teen.
agentive-physical-object;['pret', 'parei', 'paret', 'poreie', 'poret', 'prei', 'allium porrum'];Pret of poreie es een stik groensel da olvelinge in de ground zit en olvelinge der eut.
agentive-physical-object;['spermatophyta', 'spermatophytina', 'spermatopsida', 'zoadplante', 'zoadplantn'];Spermatophyta of zoadplantn zyn plantn woaby dat de vôortplantienge gebeurt via zoad.
agentive-physical-object;['bedektzoadign', 'magnoliopsida', 'angiospermae', 'bedektzoadigen', 'bloeinde plante', 'bloeinde plantn', 'blommeplantn', 'magnoliophyta'];De bedektzoadign of blommeplantn zyn de belangrykste groep van de landplantn.
agentive-physical-object;['naktzoadign', 'gymnospermae', 'blootzoadigen'];De naktzoadign zyn e groep van zoadplantn die de koniefeern, cykoadn, ginkgo, en gnetoaln insluutn.
agentive-physical-object;['kobbe', 'spinnekop', 'araneae', 'kobbn'];De kobbn zyn de gekendste orde uut de klasse kobbeachtigen.
agentive-physical-object;['zêelelies', 'crinoidea'];Zeilelies zyn e klasse van de stekkervelbeist'n, de stamme die ook de zeistern, slangestern, zei-egels en zeikomkommers bevat.
