activity;['buciko'];Buciko (siNgisi: arts).
political-geographic-object;['isalivado'];iSalivado.
political-geographic-object;['ifiliphayi'];iFiliphayi (Filipino: Republika ng Pilipinas).
political-geographic-object;['iseyishelesi'];iSeyishelesi (Repiblik Sesel, République des Seychelles).
political-geographic-object;['iswideni'];iSwideni.
political-geographic-object;['ileshestani'];iLeshestani.
political-geographic-object;['iyandola'];iYandola (Principat d'Andorra).
political-geographic-object;['ikhuwathi'];iKhuwathi (ar: دولة الكويت, Dawlat al-Kuwayt).
political-geographic-object;['ijoridane'];iJoridane (ar: لمملكة الأردنّيّة الهاشميّة, Al-Mamlakah al-Urdunniyyah al-Hāšimiyyah).
political-geographic-object;['ilibhanoni'];iLibhanoni (ar: لُبْنَان‎, Lubnān) .
political-geographic-object;['ivathikhi'];iVathikhi.
political-geographic-object;['sihlenge lesiluhlata'];Sihlenge Lesiluhlata.
political-geographic-object;['ibhaharayi'];iBhaharayi (ar: مملكة البحرين‎ Mamlakat al-Baḥrayn).
political-geographic-object;['ithinidedi nethobhago'];iThinidedi neThobhago.
political-geographic-object;['echweni'];Echweni.
political-geographic-object;['igelenada', 'grenada'];iGelenada (en: Grenada‎).
political-geographic-object;['bogotá'];Bogotá.
political-geographic-object;['embabane', 'émbábáne', 'mbabane'];EMbabane (síNgísi: Mbabane), lídolôbha (-de jure-) yeUmbuso weSwatini.
political-geographic-object;['ithayilandi'];iThayilandi (Thai: ราชอาณาจักรไทย. Ratcha Anachak Thai).
political-geographic-object;['itopiya'];iTopiya (Ge'ez: ኢትዮጵያ, ʾĪtyōṗṗyā. ).
political-geographic-object;['moscow'];Moscow, lídolôbha yÉRashiene.
political-geographic-object;['ibhenini'];iBhenini (République du Bénin, Orílẹ̀-èdè Olómìnira ilẹ̀ Benin).
political-geographic-object;['ibhukhina-faso'];iBhukhina-Faso.
political-geographic-object;['ibhahamasi'];iBhahamasi (en:The Bahamas‎).
political-geographic-object;['ithome ne phrinsiphe'];iThome ne Phrinsiphe.
political-geographic-object;['ka-israyeli'];Ka-Israyeli (he: יִשְׂרָאֵל, ar: إِسْرَائِيلُ).
political-geographic-object;['sikoshilandi'];Sikoshilandi.
political-geographic-object;['ifini'];iFini.
political-geographic-object;['vilnius'];Vilnius.
political-geographic-object;['harare'];Template:Infobox settlement Harare is the capital and most populous city of Zimbabwe.
political-geographic-object;['bamako'];Bamako - Inhlokodolobha iMali.
political-geographic-object;['rio de janeiro'];Rio de Janeiro.
political-geographic-object;['pitoli', 'ipitoli', 'pretória', 'épitóli'];IPitoli, inhlokodolobha yeiNingizimu Afrika.
quality;['lukholo'];Lukholo lumcoka emuntfwini ngobe umuntfu naloyo ufika ezingeni lekutiva kwekutsi kufanele abe nalokuba ngu Nkulunkulu empilweni yakhe.
quality;['bukhristu'];== Jesu Khristu == BuKhristu lukholo lolulandzela timfundziso taJesu Khristu letitfolalakala ethestamenteni lelisha ebhayibhelini.
situation;['pertussis'];IPertussis, leyibuye yatiwe ngekutsi kukhwehlela kubhadle sikhwehlela noma kukhwehlela emalanga lali-100, sifo lesinemagciwane latsatselana ngalokundlulele.
situation;['simungwamungwane'];Simungwamungwane, lesibuye satiwe njenge-morbilli, irubeola, nesimungwamungwane lesibovu, sifo lesisulelanako lesinemtselela lomkhulu lesibangelwa ligciwane lesimungwamungwane.
situation;['ihepatitis b'];Ihepatitis B sifo lesisulelanako lesibangelwa ligciwane lehepatitis B lesitsikameta sibindzi.
situation;['sifuba semoya'];Sifuba semoya sifo lesitsatselanako lesivamise kubangelwa ngemabhakthiriya esifo semoya.
situation;['imenenjayethisi'];Imenenjayethisi kuvuvuka lokubalulekile kwemitsambo legigeletele ingcondvo nemgogodla, lekwatiwa ngalokuphelele njengemenenjesi.
situation;['ihepatitis a'];Ihepatitis A sifo lesibucayi lesitsatselanako sesibindzi lesibangelwa ligciwane lehepatitis A.
socially-constructed-person;['mahatma gandhi'];Mohandas Karamchand Gandhi watalwa eveni lase Ndiya, bekatiwa ngekulwa nencindzetelo kanye nemalungelo eluntfu.
socially-constructed-person;['indlovukazi elizabeth ii'];Elizabeth II, indlovukazi yemaNgisi.
socially-constructed-person;['ronald reagan'];Ronald Wilson Reagan fue 40th Mengameli o IMelika.
socially-constructed-person;['isiriya-liyoni', 'sierra leone'];iSiriya-Liyoni.
socially-constructed-person;['allah'];Allah libito laNkulunkulu lelisetshentiswa bantfu benkolo yesi-Islami.
socially-constructed-person;['nkulunkulu'];Nkulunkulu lophindze atiwe ngekutsi ngumninimandla onke, sonini nanini, ngumnikati wetintfo tonke letikhona emhlabeni, ezulwini, ngaphansi kwemanti kanye nasemkhatsi.
subject;['isayensi'];Isayensi kufundvwa kwendlela tintfo letenteka ngayo kanye nekutfola tizatfu.
subject;['tekubala'];Tekubala mkhakha wesayensi lobukane netekubala.
subject;['temhlaba'];Temhlaba.
subject;['calculus', 'i-calculus'];I-Calculus mkhakha we tekubala losowutfutfuke kakhulu kuyo yonke leminyaka.
subject;['ikhemisi'];Ikhemisi (siNgisi, chemistry) yisayensi lekhuluma ndetingcetu letisisekelo semphilo, ema-athomu, kanye nalamanye emakhemikhali lalusito emphilweni.
subject;['differential calculus'];Differential calculus.
subject;['ibhayoloji'];Ibhayoloji (siNgisi: biology) sifundvo semphilo, kubukwa tonkhe tintfo letiphilako tihlahlelwe kudzimate kufikwe emmongweni wemphilo yato.
taxonomic-collective;['impalampala', 'tragelaphus'];Impalampala (Tragelaphus imberbis -Lesser Kudu-, Tragelaphus strepsiceros -Greater Kudu-)
temporal-region;['1 bhimbídvwane'];1 Bhimbídvwane.
temporal-region;['bhimbídvwane', 'janwari'];Bhimbídvwane (Janwari), ínyangá yekucala emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['bhimbídvwane', 'janwari'];Bhimbídvwane (Janwari), ínyangá yekucala emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['bhimbídvwane', 'janwari'];Bhimbídvwane (Janwari), ínyangá yekucala emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['íngongóni', 'inkhosilenkhulu'];ÍNgongóni (INkhosilenkhulu), ínyangá yelishumi nakubili emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['íngongóni', 'inkhosilenkhulu'];ÍNgongóni (INkhosilenkhulu), ínyangá yelishumi nakubili emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['ínkhwekhwéti'];ÍNkhwekhwéti, ínyangá yesihlanu emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['ínyoni', 'septemba'];ÍNyoni (Septemba), ínyangá yemfica emnyakeni, ube emashumi lamátsâtfu emalanga.
temporal-region;['índlovu', 'indlovulenkhulu'];ÍNdlovu (iNdlovulenkhulu), ínyangá yesitsatfu emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['indlóvana'];INdlóvana, ínyangá yesibili emnyakeni.
temporal-region;['íngci', 'agasti'];ÍNgci (Agasti), ínyangá yesiphohlongo emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['khólwáne', 'julayi'];Khólwáne (Julayi), ínyangá yesikhombisa emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['mábasa'];Mábasa, ínyangá yesine emnyakeni, ube emashumi lamátsâtfu emalanga.
temporal-region;['ínhlaba', 'juni'];ÍNhlaba (Juni), ínyangá yesitfupha emnyakeni, ube emashumi lamátsâtfu emalanga.
temporal-region;['lídvúba', 'inkhosilencane', 'lweti', 'novemba'];Lídvúba (INkhosilencane, Lweti, Novemba), ínyangá yelishumi nakunye emnyakeni, ube emashumi lamátsâtfu emalanga.
temporal-region;['ímphala', 'oktoba'];ÍMphala (Oktoba), ínyangá yelishumi emnyakeni, ube emashumi lamátsâtfu nakunye emalanga.
temporal-region;['29 indlóvana'];29 iNdlóvana.
temporal-region;['6 bhimbídvwane'];6 Bhimbídvwane.
