activity;['masal'];Masal meraklı çok büük fantazialı janrasıydır.
language;['alban dili'];Arnautça, Albaniya Dili — Alban dili laf eder 7,6 million kişi.
language;['fars dili', 'farsça'];Fars dili — angisindä laf eder Fars halkı.
language;['fin dili'];Fin dili — Ural dilleri grupasına giren dil, angisindä laf eder fin halkı.
language;['urdu dili', 'urdû'];Urdu dili Pakistan'ın ulusal ve resmi dilidir.
language;['i̇span dili'];İspan dili (İspan dili: Español) — İtalik diller grupasına giren dil, angisindä laf eder ispan dili.
language;['arab dili'];Arab dili — angisindä laf eder arab halkı.
language;['makedon dili'];Makedon dili - günduusu slavän grupasından bir dil, Makedoniyanın ofițial dili.
language;['çeh dili'];Çeh dili Čeština, Český jazyk — günbatısı slavän gruppasından bir dil, Çehiyanın ofițial dili.
language;['biyaz rus dili'];Biyaz Rus dilindä — laf eder 7 mil.
language;['slovak dili'];Slovak dili (Slovak dili Slovenčina, Slovenský jazyk ) - günbatısı slavän grupasından bir dil, Slovakiyanın ofițial dili.
language;['ukrain dili', 'ukraynaca'];Ukrain dili (Ukraynaca: українська мова (ukrayins'ka mova)) - günduusu slavän grupasından bir dil, Ukrayna hem Transnistriya ofițial dili.
language;['rus dili', 'rusça'];Rus dili (Rusça: русский язык, russkiy yazık) - günduusu slavän grupasından bir dil, Rusiyanın ofițial dili.
locative-role;['edirnä'];Edirnä — Türkiyede bir kasabadır.
locative-role;['ho chi minh city'];Ho Chi Minh City — Vyetnamda bir kasabadır.
locative-role;['monako'];Monako krallıı (Franțuz dili: Principauté de Monaco) — Evropada bir devlet.
locative-role;['frankfurt am main'];Frankfurt am Main — Germaniya'nin bir kasabası.
locative-role;['serbiya'];Serbiya (Serbcä: Репу̀блика Ср̀бија) — Evropa 'da bir devlet.
locative-role;['litvaniya', 'litva'];Litvaniya (Litva, Litwa. Litva: Lietuva) — Evropa'da bir devlet.
locative-role;['küü'];Küü — küçük erleşmäk eri, angısının insannarı işleer küü işleri hem çiftçiliktä.
locative-role;['täbriz'];Täbriz — İran Azerbaycanında en büük kasaba.
locative-role;['martinik'];Martinik - Karayip Denizi da bir adaları.
locative-role;['chicago'];Chicago — Amerika Birleşik Devletläri kasabası.
locative-role;['amerika konfedere devletläri'];Amerika Konfedere Devletläri (1861–1865) Poyraz Amerikada devlet vardı.
locative-role;['ortadoğu'];Orta Doğu ya da Ortadoğu, Aziya, Evropa hem Afrika'da birbirlerine en çok yaklaştıkları yerleri kapsayan ve birbirine komşu ülkelerin oluşturduğu bölge.
locative-role;['milan'];Milan — İtaliyanın bir kasabası.
locative-role;['valparaíso'];Valparaíso — Çilinın bir kasabası.
locative-role;['i̇stanbul'];İstanbul (Türk: İstanbul) — Türkiyänin en büük kasabası.
locative-role;['new york city'];New York City — Amerika Birleşik Devletläri kasabası.
locative-role;['poyraz evropa'];Poyraz Evropa — Evropanın poyrazındadır.
non-physical-collection;['i̇slam'];İslâm - ikinci büük din.
non-physical-collection;['hristianlık', 'hristian', 'hrıstian'];Hristianlık-hem büük dünedä din.
physical-object;['babil kulesi'];Babil teriminin Vikipedi'deki kullanımı için Vikipedi:Babil sayfasına bakınız
plan;['plan'];Plan Latin dilindän alınma laf, latincä planum.
political-geographic-object;['romıniya'];Romıniya (Romınca: România) — Orta Evropa bir devlet.
political-geographic-object;['edirnä'];Edirnä — Türkiyede bir kasabadır.
political-geographic-object;['ho chi minh city'];Ho Chi Minh City — Vyetnamda bir kasabadır.
political-geographic-object;['poyraz koreya'];Poyraz Koreya - bir devlet Aziyada.
political-geographic-object;['norvegiya', 'noreg', 'norge'];Norvegiya (Norvegiya Kralıı. Norvegçe: Kongeriket Norge) — Evropada bir devlet.
political-geographic-object;['niderland'];Niderland — Evropa 'da bir devlet.
political-geographic-object;['lesoto'];Lesoto - Afrika da bir devlet.
political-geographic-object;['yaponiya'];Yaponiya (Yaponiya: 日本国) — Aziyada bir devlet.
political-geographic-object;['monako'];Monako krallıı (Franțuz dili: Principauté de Monaco) — Evropada bir devlet.
political-geographic-object;['samoa'];Samoa - Okeaniyada bir devlet.
political-geographic-object;['merkez afrika respublikası'];Merkez Afrika Respublikası — Afrikada bir devlet.
political-geographic-object;['cibuti'];Cibuti — bir devlet Afrikada.
political-geographic-object;['malayziya'];Malayziya - bir devlet Aziyada.
political-geographic-object;['namibiya'];Namibiya - Afrikada bir devlet.
political-geographic-object;['antigua hem barbuda'];Antigua hem Barbuda (İngiliz: Antigua and Barbuda) — Poyraz Amerika da bir devlet.
political-geographic-object;['mavritaniya'];Mavritaniya - Afrikada bir devlet.
political-geographic-object;['beliz', 'belize'];Beliz - bir Merkez Amerika devleti.
political-geographic-object;['ekvatorial gvineya'];Ekvatorial Gvineya - Afrika kontinent bir devlet.
political-geographic-object;['sent kitts hem nevis'];Sent Kitts hem Nevis - bir Karayipler devleti.
political-geographic-object;['komorlar'];Afrika da bir devlet.
political-geographic-object;['sent luțiya'];Sent Luțiya - bir Karayipler devleti.
political-geographic-object;['şveyțariya', 'elveţiya', 'ch'];Şveyțariya — Evropa 'da bir devlet.
political-geographic-object;['birleşik arab emirlikleri'];Birleşik Arab Emirlikleri (Arab: دولة الامارات العربية المتحدة, Dawlat al-Imārāt al-‘Arabīyah al-Muttaḥidah) — Aziya 'da bir devlet.
political-geographic-object;['franțuz polineziyası'];Franțuz Polineziyası Konum: Okeaniya, Üülen Pasifik Okeaniyasında takımadalar.
political-geographic-object;['frankfurt am main'];Frankfurt am Main — Germaniya'nin bir kasabası.
political-geographic-object;['lüksemburg'];Lüksemburg — Evropa 'da bir devlet.
political-geographic-object;['marokko'];Fas, resmî olarak Fas Krallığı, Kuzey Afrika'da yaklaşık olarak 32 milyon nüfusa ve 447,000 km² yüzölçümüne sahip bir ülkedir.
political-geographic-object;['büük britaniya', 'büyük britanya ve kuzey i̇rlanda birleşik krallığı', 'büük britaniya hem poyraz i̇rlandiya birleşik krallıı'];Büük Britaniya hem Poyraz İrlandiya Birleşik Krallıı (İngilizçe: United Kingdom of Great Britain and Northern Ireland) — Evropada bir devlet.
political-geographic-object;['i̇spaniya'];İspaniya Evropa kontinentında bir devlet.
political-geographic-object;['saudi arabiya'];Saudi Arabiya (Arab dili:المملكة العربية السعودية) bir devlet Aziya'da.
political-geographic-object;['çad'];Çad — Afrikada bir devlet.
political-geographic-object;['tacikistan', 'respublika tacikistan'];Tacikistan bir devlet Aziyada.
political-geographic-object;['uganda'];Uganda (İngilizçe: Uganda) — Afrikada bir devlet.
political-geographic-object;['biyaz rusiya', 'belarus'];Belarus Respublikası — Evropa da bir devlet.
political-geographic-object;['malavi'];Malavi - Afrika da bir devlet.
political-geographic-object;['zimbabve'];Zimbabve — Bir devlet Afrika kоntinentında.
political-geographic-object;['azerbaycan', 'azerbaycan republikası'];Azerbaycan (Azerbaycan Respublikası. Azerbaycan dili: Azərbaycan, Azərbaycan Respublikası) — bir payı günbatısı Aziyada bir payı günduusu Evropada devlet.
political-geographic-object;['kırgızstan'];Kırgızstan (Kirgiz dili : Кыргыз Республикасы) — bir devlet Aziyada.
political-geographic-object;['özbekistan', 'uzbekistan'];O'zbekiston — bir devlet Aziyada.
political-geographic-object;['mali'];Mali - Afrika da bir devlet.
political-geographic-object;['kazahstan', 'kazakistan'];Kazakistan — Evropada ve Aziya da bir devlet.
political-geographic-object;['mongoliya', 'mogolistan'];Mogolistan - bir devlet Aziyada.
political-geographic-object;['new jersey'];New Jersey — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['i̇llinois', 'illinóis'];İllinois — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['minnesota'];Minnesota — Amerika Birleşik Devletläri Viliyatı
political-geographic-object;['missouri'];Missouri — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['michigan'];Michigan — Amerika Birleşik Devletleri Viliyatı.
political-geographic-object;['nebraska'];Nebraska — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['belgiya'];Belgiya, Belçika — Evropa'da bir devlet.
political-geographic-object;['svazilend'];Svazilend Afrika kontinentında bir devlet.
political-geographic-object;['tonga'];Tonga - Okeaniyada bir devlet.
political-geographic-object;['pakistan'];Pakistan (Urdu: Islāmī Jumhūrīye Pākistān, جمہوریۂ اسلامی پاکستان) — Aziyada bir devlet.
political-geographic-object;['bangladeş'];Bangladeş (Bengali: বাংলাদেশ ['baŋlad̪eʃ] Bangladesh), resmi olarak Bangladeş Halk Respublikası (Bengali: গণপ্রজাতন্ত্রী বাংলাদেশ Gônoprojatontri Bangladesh), bir devlet Üülen Aziyada.
political-geographic-object;['afganistan'];Afganistan
political-geographic-object;['avstriya'];Avstriya (Nemtä dili: Republik Österreich) — Evropada bir devlet.
political-geographic-object;['laos'];Laos (Lao: ສາທາລະນະລັດ ປະຊາທິປະໄຕ ປະຊາຊົນລາວ, Sathalanalat Paxathipatai Paxaxon Lao) — Aziya da bir devlet.
political-geographic-object;['myanmar'];Myanmar - bir devlet Aziyada.
political-geographic-object;['kamboca'];Kamboca - bir devlet Aziyada.
political-geographic-object;['avstraliya', 'avustralya'];Avstraliya (İngiliz: Australia) — Okeaniyada kontinent bir devlet.
political-geographic-object;['connecticut'];Connecticut — Amerika Birleşik Devletläri Viliyatı
political-geographic-object;['makao'];Makao - bir Özel İdare Bölgesi Kitay Halk Respublikası.
political-geographic-object;['butan'];Butan - bir devlet Aziyada.
political-geographic-object;['türkmenistan'];Türkmenistan (türkmençä: Türkmenistan Respublikasy) — bir devlet Aziyada.
political-geographic-object;['gruziya', 'gürcüstan'];Gürcüstan — Evropa hem Aziya da bir devlet.
political-geographic-object;['ruanda'];Ruanda Afrika kontinentında bir devlet.
political-geographic-object;['zambiya'];Zambiya - Bir devlet Afrikada.
political-geographic-object;['kongo demokratik respublikası'];Kongo Demokratik Respublikası - Afrika da bir devlet.
political-geographic-object;['honduras'];Honduras (ispan: República de Honduras) — Poyraz Amerika da bir devlet.
political-geographic-object;['gvatemala', 'guatemala'];Gvatemala - bir Merkez Amerika devleti.
political-geographic-object;['kosta rika', 'crc'];Kosta Rika — bir Poyraz Amerika devleti.
political-geographic-object;['vengriya', 'ungariya'];Ungariya — Evropa 'da bir devlet.
political-geographic-object;['polşa'];Polşa, Lehistan ya da Poloniya Evropa kontinentında bir devlet.
political-geographic-object;['burundi'];Burundi - Afrikada bir devlet.
political-geographic-object;['tanzaniya'];Tanzaniya (Tanzaniya Birleşik Respublikası) Afrika kоntinentında bir devlet.
political-geographic-object;['gvineya'];Afrika kontinent bir devlet.
political-geographic-object;['somali', 'somaliya'];Somaliya Afrika kоntinentında bir devlet.
political-geographic-object;['vyetnam'];Vyetnam - bir devlet Aziyada.
political-geographic-object;['libiya', 'liviya'];Libiya (Arab dili الجماهيرية العربية الليبية الشعبية الإشتراكية العظمى ) Afrika kоntinentında bir devlet.
political-geographic-object;['germaniya'];Germaniya (Nemtä dili: Deutschland) — Evropada devlet.
political-geographic-object;['sudan'];Sudan - Afrikada bir devlet.
political-geographic-object;['egipet', 'mısır'];Mısır - Afrikada bir devlet.
political-geographic-object;['gayana'];Gayana - Üülen Amerikada bir devlet.
political-geographic-object;['surinam'];Surinam - Üülen Amerikada bir devlet.
political-geographic-object;['venesuela'];Venesuela - Üülen Amerikada bir devlet.
political-geographic-object;['cezair', 'aljir'];Cezair - Afrikada bir devlet.
political-geographic-object;['i̇ndiya'];İndiya, Hindistan — bir devlet aziyada.
political-geographic-object;['i̇taliya'];İtaliya — Evropa 'da bir devlet.
political-geographic-object;['çili'];Çili - Üülen Amerikada devlet.
political-geographic-object;['paragvay'];Paragvay - Üülen Amerikada bir devlet.
political-geographic-object;['botsvana'];Botsvana - Afrikada bir devlet.
political-geographic-object;['mozambik'];Mozambik - Afrika kontinentında bir devlet.
political-geographic-object;['i̇ndoneziya'];İndoneziya — bir devlet Aziyada.
political-geographic-object;['grețiya', 'yunanistan'];Yunanistan — bir devlet Evropada.Baş kasabası Afina
political-geographic-object;['ukrayna', 'ukraina'];Ukrayna (Ukraynaca: Україна) — Evropa da bir devlet.
political-geographic-object;['meksika'];Meksika Birleşik Devletläri (İspan dili Estados Unidos Mexicanos) bir Poyraz Amerika devleti.
political-geographic-object;['ermeniya', 'armeniya'];Ermenistan — Evropa hem Asya da bir devlet.
political-geographic-object;['i̇rak'];Respublika İrak — bir devlet aziyada.
political-geographic-object;['üülen koreya'];Üülen Koreya — bir devlet Aziyada.
political-geographic-object;['dominikan respublikası'];Dominikan Respublikası - bir Karayipler devleti.
political-geographic-object;['gambiya'];Gambiya - Afrika kontinent bir devlet.
political-geographic-object;['gana'];Afrika kontinent bir devlet.
political-geographic-object;['nigeriya'];Nigeriya - Afrikada bir devlet.
political-geographic-object;['fildişi kıyısı', 'fildişi kumsalı'];Fildişi Kumsalı - Afrika kоntinentında bir devlet.
political-geographic-object;['niger'];Niger - Afrika kоntinentında bir devlet.
political-geographic-object;['gabon'];Gabon - Afrika kontinent bir devlet.
political-geographic-object;['kongo respublikası'];Kongo Respublikası - Afrika da bir devlet.
political-geographic-object;['kamerun'];Kamerun - Afrika kontinentda devlet.
political-geographic-object;['gvineya bissau'];Afrika kontinent bir devlet.
political-geographic-object;['senegal'];Senegal - Afrikada bir devlet.
political-geographic-object;['franțiya', 'franța'];Franțiya, Franțiya Respublikası == Sınır komşuları == Andorra: 56.6 km Belgiya: 620 km Germaniya: 451 km İtaliya: 488 km Lüksemburg: 73 km Monako: 4.4 km İspaniya: 623 km Elveţiya: 573 km Kumsal: 3,427 km Turizma: 80 milion kişi Klimat: Üülen Franțiya — Sıcak, Poyraz Franțiy — suuk klimat En alçak noktası: Rhone suyu -2 m En üüsek noktası: Blanc tepesi 4,807 m Madeem: Kömür, demir, boksit, çinko, potas, aaç, Tarla: % 33.46 Ekincilik: % 2.03 başka topraklar: % 64.51 Sulu toprak: 26,000 km² İnsannar artmaa: %0.35 Göçüm: 0.66 mülteci/1,000 insannar Uşak ölüm: 4.21 ölüm/1,000 duun uşak Ömür Hepsi insannar: 79.73 yıl Erkeklerde: 76.1 yıl Kadınlarda: 83.54 yıl Uşak çocuk sayısı: 1.84 çocuk/1 kadın HIV/AIDS hastalıklarına yakalanan insan sayısı: % 0.4 HIV/AIDS hastalıklı insan sayısı: 120,000 HIV/AIDS hastalıklarından ölenlerin sayısı: 1,000 == Dinner == Roma Katolitleri: % 60 Protestan % 3 Çıfıt: % 1 İslam: % 6 Ateist: % 31 Başka dinner: % 5 == Diller == Franțuzca, Alcase, Lorreine Frankçası, Oksitanca, Picard, Bretonca, Korsikaca, Baskça, Breton, Alsatian, Corsican, Catalan, Basque, Flemenkçe.
political-geographic-object;['ekvador', 'ec', 'ecu'];Ekvador - Üülen Amerikada bir devlet.
political-geographic-object;['i̇rlandiya', 'i̇rlanda', 'i̇rlanda cumhuriyeti', 'i̇rlandiya respublikası'];İrlandiya (İrlandiya Respublikası) — Evropa 'da bir devlet.
political-geographic-object;['madagaskar'];Madagaskar - Afrika'da bir devlet.
political-geographic-object;['maldivler', 'maldiv adaları'];Maldivler - bir devlet Aziyada.
political-geographic-object;['el salvador'];El Salvador - bir Merkez Amerika devleti.
political-geographic-object;['filippinner'];Filippinner - bir devlet Aziyada.
political-geographic-object;['seyşeller'];Seyşeller - İnd Okeaniyası'da bir devlet.
political-geographic-object;['şvețiya', 'şveţiya', 'șvețiya'];Şveţiya — Evropa 'da bir devlet.
political-geographic-object;['puerto riko'];Puerto Riko - Karayip Denizi Amerika Birleşik Devletläri baalı avtonom adalar devlet.
political-geographic-object;['lihtenşteyn'];Lihtenşteyn (Germaniya dili: Fürstentum Liechtenstein) — Evropada devlet.
political-geographic-object;['andorra'];Andorra — Evropa'da bir devlet.
political-geographic-object;['tennessee'];Tennessee (İngiliz: Tennessee) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['kentucky'];Kentucky — Amerika Birleşik Devletläri Viliyatı
political-geographic-object;['kansas'];Kansas (İngilizçe: Kansas) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['vermont'];Vermont — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['massachusetts'];Massachusetts — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['rhode island'];Rhode Island — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['üülen dakota'];Üülen Dakota — Amerika Birleşik Devletläri Viliyatı
political-geographic-object;['alaska'];Alaska — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['montana'];Montana (İngilizçe: Montana) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['oregon'];Oregon (İngiliz: Oregon) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['louisiana'];Louisiana (İngilizçe: Louisiana) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['oklahoma'];Oklahoma (İngilizçe: Oklahoma) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['arkansas'];Arkansas (İngilizçe: Arkansas) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['florida'];Florida (İngilizçe: Florida) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['georgia'];Georgia — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['poyraz karolina'];Poyraz Karolina — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['new mexico'];New Mexico — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['arizona'];Arizona — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['mississippi'];Mississippi (İngilizçe: Mississippi) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['üülen karolina'];Üülen Karolina — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['virginiya', 'virginia'];Virginiya — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['idaho'];Idaho Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['alabama'];Alabama (İngilizçe: Alabama) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['hawaii'];Hawaii — Amerika Birleşik Devletläri Viliyatı
political-geographic-object;['nevada'];Nevada (İngilizçe: Nevada) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['kaliforniya'];Kaliforniya — Amerika Birleşik Devletläri Viliyatı
political-geographic-object;['wyoming'];Wyoming (İngilizçe: Wyoming) Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['utah'];Utah — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['kolorado', 'colorado'];Kolorado — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['poyraz dakota'];Poyraz Dakota — Amerika Birleşik Devletläri Viliyatı.
political-geographic-object;['oman'];Oman (Arab dili: سلطنة عُمان) — Aziyada devlet.
political-geographic-object;['amerikan samoa'];Amerikan Samoa - Pasifik Okeaniyası Amerika Birleşik Devletläri baalı avtonom adalar devlet.
political-geographic-object;['täbriz'];Täbriz — İran Azerbaycanında en büük kasaba.
political-geographic-object;['kuveyt'];Kuveyt - bir devlet Aziyada.
political-geographic-object;['i̇ordaniya'];İordaniya — bir devlet Aziyada.
political-geographic-object;['livan', 'lübnan'];Lübnan - bir devlet Aziyada.
political-geographic-object;['vatikan'];Vatikan — Evropa 'da bir devlet.
political-geographic-object;['fici'];Fici - Okeaniyada bir devlet.
political-geographic-object;['amsterdam'];Amsterdam — Niderland baş kasabası.
political-geographic-object;['kabo verde'];Kabo Verde - Afrika kоntinentında devlet.
political-geographic-object;['sent vințent hem grenadinler'];Sent Vințent hem Grenadinler - bir Karayipler devleti.
political-geographic-object;['bahreyn'];Bahreyn - bir devlet Aziyada.
political-geographic-object;['vanuatu'];Vanuatu - Okeaniyada bir devlet.
political-geographic-object;['kiribati'];Kiribati - Okeaniyada bir devlet.
political-geographic-object;['i̇slandiya'];İslandiya (İslandiya: Iceland) — Evropa da bir devlet.
political-geographic-object;['lima'];Lima — Peru baş kasabası.
political-geographic-object;['dublin'];Dublin — İrlandiya baş kasabası.
political-geographic-object;['sofiya', 'sofya'];Sofiya (Bulgar: София) - Bulgariya baş kasabası.
political-geographic-object;['praga'];Praga (Çeh: Praha) — Çehiya baş kasabası.
political-geographic-object;['budapeşt'];Budapeşt — Vengriya baş kasabası.
political-geographic-object;['roma'];Roma (İtaliyan dili: Roma) — İtaliyanın baş kasabası.
political-geographic-object;['beyrut'];Beyrut (Arap: بيروت) — Livanın baş kasabası.
political-geographic-object;['bukureş', 'bukureș'];Bukureş — Romıniya baş kasabası.
political-geographic-object;['kıyiv', 'kiev', 'kiyev'];Kıyiv — Ukraynanin baş kasabası.
political-geographic-object;['belgrad'];Belgrad — Serbiya baş kasabası.
political-geographic-object;['erivan'];Erivan — Armeniya'in baş kasabası.
political-geographic-object;['berlin'];Berlin (Nemte dili: Berlin) — Germaniyanın baş kasabası.
political-geographic-object;['riyad'];Riyad (Arab dili:الرياض) Saudi Arabiyanın baş kasabası.
political-geographic-object;['tailand'];Tailand - bir devlet Aziyada.
political-geographic-object;['etiyopiya', 'efiopiya'];Afrika kontinent bir devlet.
political-geographic-object;['moskva'];Moskva — Rusiyanın baş kasabası.
political-geographic-object;['benin'];Benin - Afrikada bir devlet.
political-geographic-object;['burkina faso'];Burkina Faso - Afrikada bir devlet.
