abstract-region;['रेखण उत्पन्न'];द्वे आकृतिचित्रणे गणितक्रिया।
non-physical-collection;['सिद्धान्तः'];सिद्धान्तहः विश्वासे क्रोडिकरणं
non-physical-collection;['अवाहनम्'];देवथ अवहनास्य कर्यम्
organized-collection;['जीवन उत्पीठिका', 'मर्त्यता उत्पीठिका'];उत्पीठिक यक षोव्स् पर्याय ओफ़् मृत्यु
parameter;['अन्त्योपकरण वेग'];च्युति विग्रह व्राजि सम्पादनक्षमता माध्यम
phenomenon;['आहर ज़्अक्थि'];रसायनिक ऊर्जा म्रुग्गह(मनवह अपि)लबथे आहर अम्लकर च कोज़्आ-ज़्वसनेन नह
phenomenon;['वर्षाऋतुः', 'rainy season', 'varsha ritu', 'वर्षाऋतु'];Rainy season
phenomenon;['उल्का वर्षा'];आकाशस्य घटना
physical-object;['आनुषङ्गिक उपकरण'];यन्त्रसामग्री संविद् कतम गणकयन्त्रे सम्बद्ध, निवेश्य,फलित, सङ्ग्रहमाध्यम वा दत्तांशसञ्चार सौकर्याः च
physical-object;['सेअल्'];प्रज्ञा अथवा पताका
physical-object;['प्रदर्शक साधन'];परिणाम साधन हि प्रस्तुति दूरम् सूचना अन्तः दृश्य अथवा स्पर्शावबोध प्रकार
physical-object;['युद्ध नौका'];लघुतर शस्त्रबद्ध युद्धपोत
physical-object;['अन्दिका'];भोजन पाकम् स्थानः अस्ति
physical-object;['संवाद माध्यम', 'इन्फ़्ओ प्रसारमाध्यमानि', 'माध्यम', 'संवाद', 'संवाद प्रसारमाध्यमानि', 'सूचना माध्यम', 'प्रसारमाध्यमानि'];सङ्ग्रह च समर्पण प्रतिनिधि के सूचना अथवा धट
physical-object;['कसतनेत्स्'];प्रहार यन्त्र
physical-object;['चषकं'];अद्य प्रभाते पञ्चवादने एकं चषकं काफीं एव पीतवान्
physical-object;['व्याभङ्गकटकटापयति'];मायूखवृत्तक चोम्पोनेन्त कतमा विभेत्तृ दीपिका अन्तर् विविध वंश
physical-object;['अनुरूपेन अङ्कीय परिवर्तकः'];भौतिकवस्तून अङ्कीयरूपे परिवर्तकयन्त्रम्
physical-object;['अश्वपदत्रम्', 'अश्वखुरत्रं'];अश्वपदत्रम लोहेनोत्पदित पदुका
political-geographic-object;['क्योतोनगरम्'];जापानराष्ट्रे स्थितमेकं नगरम्
political-geographic-object;['भारतम्', 'भारत', 'bharat', 'bharatam', 'india', 'भारतं', 'भारतगणराज्य', 'भारतगणराज्यम्', 'भारतदेशः', 'भारतवर्ष', 'भारतवर्षम्', 'भारतस्य', 'भारते'];एकः देशः
political-geographic-object;['एक्वाडोर', 'ec', 'ecu', 'ecuador', 'república del ecuador', 'equador'];दक्षिण-अमेरिका-महाद्वीपे -क्षेत्रे ‍देश: अस्‍ति.
quality;['एफ़्फ़्इकक्य्'];समर्थ प्रति समापनं किञ्चित् पारितोषिक
region;['बिन्दु आहति', 'स्केलार् आहति'];अव्यक्तक्रिय तद् कतुर्थकालिक आनाहाबिन्नस्य द्विक सम
region;['पाज़्अ'];भाग आस्य दैर्घ्य
situation;['स्तिमुलुस'];एनेर्ग्य चाङ्गे (सुच अस लिघ्त ओर् सोउन्द् ) व्हिच् इस रेगिस्तेरेद ब्य थे सेन्सेस (प्स्य्चोलोग्य )
situation;['अर्थव्यवस्थासूचक'];राष्ट्रस्य सामान्य अर्थव्यवस्थायाम् अार्थिक स्थिति अवलोकन प्रमाणक
situation;['प्रुनिङ्'];सेलेक्तिवे निरास ओफ़् पर्त्स् ओफ़् अ वनस्पति
social-relationship;['good friendship'];Good friendship
socially-constructed-person;['एशिलस'];प्राचीनयवननाटककारः
socially-constructed-person;['आरिस्तोफनेस'];प्राचीनयवननाटककारः
socially-constructed-person;['पाणिनिः', 'panini', 'पाणिनि', 'पाणिनि:', 'पाणिनी'];विश्वप्रसिद्ध "अष्टाध्यायी" संस्कृतव्याकरणग्रन्थः लिखितं
socially-constructed-person;['मैत्रेय'];भविष्यत् बोधिसत्त्वा
socially-constructed-person;['लक्षय रक्षक:'];क्रिडाय स्वलक्ष्य रक्षक यस्य सः
spatial-feature;['सगरमाथा', 'देवगिरि शिखरम्', 'sagarmāthā', 'एवरेस्ट् शिखरम्', 'चोमोलोङ्मा', 'देवगिरि शिखरम', 'एवरेस्टशिखर'];विश्वस्य सर्वोन्नतः पर्वतः| एतस्य सर्वोन्नत प्रमाणित मापन ८८४८ मीटर २९०२८ फीट अस्ति
taxonomic-collective;['अलिस्माटेल्स्', 'alismatales'];वनस्पति नियुक्तिः
taxonomic-collective;['न्यूरोप्टेरा'];जन्तु रचना
taxonomic-collective;['एपोगोनिडाय्', 'apogonidae'];मत्स्यानाम् कुटुम्बः
taxonomic-collective;['ळ्य्गोदिउम्', 'lygodium'];जाति वनस्पति
taxonomic-collective;['क्करङिदए'];जाति ओफ़् फ़्इषेस्
taxonomic-collective;['सेर्रानिदाए', 'serranidae'];मत्स्यायाः परिवाराः
taxonomic-collective;['कोरकीफ़्ओर्मेस्', 'coraciiformes'];पक्षिण क वर्ग्
taxonomic-collective;['हाइड्रोचरितसीईए', 'hydrocharitaceae'];वृक्षाणां समूह
taxonomic-collective;['काएसाल्पिनिआ', 'caesalpinia'];पादपस्य जाति
taxonomic-collective;['चेन्त्रर्चिदे', 'centrarchidae'];परिचार दूरे आनूप
taxonomic-collective;['वैटिस्', 'vitis'];द्राक्षाफलम्
technique;['वेंट्रीलोक्यूइस्म', 'वेंट्रीलोक्यू', 'वेंट्रीलोक्यूज़्इङ्ग्'];योग्यता प्रति क्षेपण तनूबल स्वर
technique;['ओयिनोलजि', 'ओयिनोलजिस्ट्'];मद्यम उत्पादक का पठन
temporal-region;['१ जुलाई', 'जुलाई १'];दिनाङ्क
temporal-region;['१ जनवरी', 'जनवरी १'];दिनाङ्क
temporal-region;['२ फरवरी', 'फरवरी २'];दिनाङ्क
temporal-region;['१ नवम्बर', 'नवम्बर १'];दिनाङ्क
temporal-region;['क्रिस्मस्', 'दिसम्बर २५', 'chirismas'];दिनाङ्क
temporal-region;['१९ मार्च', 'मार्च १९'];दिनाङ्क
temporal-region;['१४ अप्रैल', 'अप्रैल १४'];दिनाङ्क
temporal-region;['२४ अक्तूबर', 'अक्तूबर २४'];दिनाङ्क
temporal-region;['१२ अक्तूबर', 'अक्तूबर १२'];दिनाङ्क
temporal-region;['४ जुलाई', 'जुलाई ४'];दिनाङ्क
temporal-region;['२४ मई', 'मई २४'];दिनाङ्क
temporal-region;['१७ सितम्बर', 'सितम्बर १७'];दिनाङ्क
temporal-region;['१ अगस्त', 'अगस्त १'];दिनाङ्क
temporal-region;['१४ जून', 'जून १४'];दिनाङ्क
temporal-region;['२९ जून', 'जून २९'];दिनाङ्क
temporal-region;['२९ सितम्बर', 'सितम्बर २९'];दिनाङ्क
temporal-region;['२१ जून', 'जून २१'];दिनाङ्क
temporal-region;['१ मई', 'मई १'];दिनाङ्क
temporal-region;['२ मार्च', 'मार्च २'];दिनाङ्क
temporal-region;['ग्रीन्विच ंऍन् तिमे'];सावनत् तद शून्य मध्यन्दिनीय ।
temporal-region;['२३ जून', 'जून २३'];दिनाङ्क
temporal-region;['६ जनवरी', 'जनवरी ६'];दिनाङ्क
