abstract-region;['스칼라', '스칼라 물리량', '스칼라량', '스칼라물리량'];크기만 있고 방향은 없는 1차원적인 물리량
activity;['펠로폰네소스 전쟁', '펠로포네스 전쟁', '펠로포네스전쟁', '펠로폰니소스 전쟁', 'peloponnesian 전쟁'];델로스 동맹과 펠로폰네소스 동맹 사이의 전쟁
activity;['민방위', '시민 보호'];전쟁과 같은 상황에서 전투가 아닌 방법으로 시민을 보호하는 행위, 또는 조직
activity;['교육', '직무교육', '가르침', '교육 제도', '교육시설', '교육제도', '에듀케이션', '학제', '강론', '교시', '교화', '수업', '훈육', 'educationist', '교수법', '교육 활동', '교육을'];지식이나 기술을 기르기 위해 가르치는 행위
activity;['교육', '직무교육', '가르침', '교육 제도', '교육시설', '교육제도', '에듀케이션', '학제', '강론', '교시', '교화', '수업', '훈육', 'educationist', '교수법', '교육 활동', '교육을'];직무과 관련된 기술이나 경험, 지식을 가르치는 기관
activity;['훈련', '조련', '하'];기술이나 지식, 능력을 기르기 위해 실시하는 행위
activity;['아리아', '영창'];서정적인 선율
activity;['중간고사', '중간 고사', '중간 시험'];학기 중에 보는 시험
activity;['부기우기', '부기 우기', '부기', '국가 흔들어', '우기 - 부기 따윈'];부기우기는 재즈 음악의 한 반주 형태 입니다.
activity;['심장외과', '흉부외과', '흉부심장외과', '흉부외과계', '심장 수술'];심장이나 순환기, 호흡기 분야를 전담하는 외과계
activity;['방공', '방공전', 'aa 건과', 'antiaircraft', '공중 방어 포병', '대공포의 총', '반 공기', '안티 항공기', '안티 항공기 전쟁', '안티 항공기'];적의 공습에 대비한 군사 전략 및 시설과 조직
activity;['고등교육', '고등 교육', '대학 교육', '대학교 교육', '대학교육', 'postsecondary', '고등', '고등 교육 기관,됩니다', '고등 교육의 기관입니다', '고등 학교의', '후 보조'];공통과정을 이수한 후 대학 등에서 받는 교육
activity;['수익을', '수익을 창출'];위키미디어 동음이의어 문서
activity;['역도', '력도', 'weightlift', '역도 경기는 다음 두 종목으로 구분됨'];바벨을 머리 위로 들어올려 그 무게를 겨루는 경기
activity;['화력지원', '포병 지원', '포병지원', '화력 지원', '불을 지원'];군사 전술
activity;['심문', '질문서', '질문', '질의서'];위키미디어 동음이의어 문서
activity;['물류', '기호 논리학'];자원 이동의 관리
activity;['관장'];관장은 약재를 항문을 통하여 직장안으 주입하는 의술중의 하나로 개복수술전이나 임산부의 분만과정 또는 심한 변비가 있는 경우 행해진다. 관장약의 약재는 글리세린이 쓰인다. 비눗물을 이용한 관장은 현재 임상에서는 거의 행하여 지지 않는다. 관장은 거의 삼투압방식에 의해 변을 불리고 묽게 만들어 배변이 용이하게 하므로 최대한 참은후 변을 보게 만든다.
activity;['해음', '언어 유희', '단어 놀이'];말갖고 장난치는 행위
activity;['사형', '극형', '처형', '사형 제도', '사형제', '사형제도', '정형', '사법 실행', '실행'];범죄자 혹은 범죄자라고 주장되는 사람의 생명을 박탈하여 사회에서 영원히 격리시키는 형벌이다.
activity;['구난', '구명', '구조', '구출', '레스큐', '구급', '구원', '구제', '구호'];위험에 처한 사람의 생명을 구하거나 부상을 방지하는 행위
activity;['인명구조', '인명 구조', '구명', '생명 구조'];사람의 생명을 구하고 응급처치를 시행하는 행위
activity;['화물 운송', '화물 교통', '화물 운수', '화물교통', '화물운송', '화물운수'];원자재, 상품, 화물을 운송하는 과정
activity;['요들', '요들송', '저것', '요들 가수'];음악 장르
activity;['거세', '음경 제거'];남성의 고환을 제거하는 행위, 또는 음경까지 제거하는 행위
activity;['접종', '예방접종', '예방 접종', '예방 주사', '예방주사', '예방'];질병의 예방을 목적으로 백신 주사 등의 치료적 행위를 하는 것
activity;['속죄', '유화', '대속', '화목제물', '화목 제물'];하나님의 보복이나 진노를 피하기 위해 하나님의 마음을 풀어주는 행동
activity;['거푸집', '성형', '금속 주조', '주조'];물렁물렁한 것을 모양내서 굳히는 것
activity;['거버넌스', '행정기관', '행정', '정부', '행정 기관', '행정 조직', '행정조직', '경륜', '관리', '국정', '지배', '통치', '정부 활동', '통치하는'];정책 결정에 있어 정부 주도의 통제와 관리에서 벗어나 다양한 이해당사자가 주체적인 행위자로 협의와 합의 과정을 통하여 정책을 결정하고 집행해 나가는 사회적 통치 시스템
activity;['거버넌스', '행정기관', '행정', '정부', '행정 기관', '행정 조직', '행정조직', '경륜', '관리', '국정', '지배', '통치', '정부 활동', '통치하는'];정부의 운영과 관리
activity;['스키점프', '스키 점핑', '스키점핑', '스키 점프'];스키 선수들이 비탈길을 타고 내려오다가 도약대에서 점프하여 가능한 멀리 날아가 착지하는 스포츠이다.
activity;['도박', '노름', '베팅', '갬블러', '갬블링', '겜블러', '내기', '노름꾼', '도박사', '물주', '장난', '하', '게임'];돈이나 재물을 걸고 내기를 하는 일을 말한다.
activity;['항의', '시위', '데모', '반대 운동', '프로테스트', '항의 행동', '항의행동', '반대'];어떤 것에 대한 반대를 표현하는 시민들의 행위
activity;['주사', '주사약', 'injectable'];살을 바늘로 뚫어 약물을 주입하는 행위
activity;['사업', '비즈니스', '비즈', '비지니스', '거래', '상업', '상행위', '비영리', '비즈니스 과학', '비즈니스 시스템의', '사업 기업'];상품이나 서비스 또는 두 소비자간의 거래와 관련된 조직
activity;['고대 올림픽', '고대 올림피아 경기', '고대 올림픽 경기', '올림피아 제전', '올림픽 게임'];고대 그리스에서 개최된 운동 경기
activity;['연극', '극장', '연극기획자', '연극배우', '연극에서의 인물', '연극인', '과장된', '극장 연구', '극장 예술', '극장 회사입니다', '극적인 예술', '연출법'];배우가 무대 장치, 조명, 음악 등의 도움을 받아 연출자의 지도 아래 각본에 의해서 연기를 하여 관객에게 보이는 종합예술
activity;['관광', '觀光', '관광객', '관광산업', '관광업', 'touristry', '관광 여행'];주로 기분 전환이나 여가의 목적으로 떠나는 여행이다.
activity;['화물 운송', '화물 교통', '화물 운수', '화물교통', '화물운송', '화물운수'];원자재, 상품, 화물을 운송하는 과정
activity;['대목장', '목공', '목 수직', '목수'];사찰과 궁궐 등의 한옥을 짓는 목수
activity;['예술', '미술', '미술가', '미술학', '예술 생산', '예술적 창조'];사람의 감정 등을 자극하는 가치 있는 행동
activity;['원예', '정원 가꾸기', '원예학', '가드닝', '조원술', 'horticulturalist'];정원에서 식물을 가꾸고 재배하는 활동
activity;['판결', '심판', '법원 결정', '사법 결정'];법원의 공식적인 결정
activity;['판결', '심판', '법원 결정', '사법 결정'];소송에 대한 법원의 판단
activity;['크레시 전투', '그레시 전투', 'crecy', 'crecy의 전투'];1346년 8월 26일 북부 프랑스 항구도시 칼레 남쪽에 위치한 크레시 지방에서 일어난 전투
activity;['애니메이션', 'tv 애니메이션', '그림영화', '만화 영화', '만화영화', '애니매이션', '에니매이션', '에니메이션', '장편만화영화', '텔레비전 애니메이션', '애니메이션 영화'];움직이는 영상을 만드는 과정
activity;['직업', '일', '일자리', '아르바이트', '알바', '생업', '영업', '일의 라인', '직업에'];사전적 직업 뿐만 아니라 취미생활,일,전문 스포츠 등
activity;['교육', '직무교육', '가르침', '교육 제도', '교육시설', '교육제도', '에듀케이션', '학제', '강론', '교시', '교화', '수업', '훈육', 'educationist', '교수법', '교육 활동', '교육을'];지식이나 기술을 기르기 위해 가르치는 행위
activity;['교육', '직무교육', '가르침', '교육 제도', '교육시설', '교육제도', '에듀케이션', '학제', '강론', '교시', '교화', '수업', '훈육', 'educationist', '교수법', '교육 활동', '교육을'];직무과 관련된 기술이나 경험, 지식을 가르치는 기관
activity;['프랑스 혁명', '1789년 프랑스 혁명', '프랑스 대혁명', '프랑스 혁명기', '프랑스혁명'];1789년부터 1799년까지 프랑스에서 일어난 혁명
activity;['미국 독립 전쟁', '미국 독립 혁명', '미국 독립', '미국 독립전쟁', '미국 독립혁명', '미국 혁명', '미국 혁명 전쟁', '미국독립전쟁', '미국혁명', '아메리카 독립 전쟁', '아메리카 독립전쟁', '독립 혁명', '독립혁명', '독립 미국의 전쟁'];대영 제국과 13개 식민지 사이에서 일어나 미국 독립군의 승리로 끝난 전쟁
activity;['사이클링', '자전거 타기', '사이클', '사이클리스트', '자전거타기', '자전거'];자전거를 타는 것
activity;['우편', '우편물', '메일 서비스', '우정', '우편 서비스'];서신이나 물품을 보내는 행위
activity;['전쟁', '군사 행동', '군사행동', '간과', '교전', '사려', '싸움', '전투', '전화'];국가 또는 정치 집단 사이의 폭력이나 무력을 사용하는 상태 또는 행동
activity;['벌채', '채벌', '로그인', '로깅', '목재 수확', '벌목'];나무를 자르고, 다듬고, 운송 차량에 실기까지의 과정
activity;['군사교육', '군대 교육', '군대교육', '군사 교육', '군사 훈련'];군사 활동을 위한 교육과 훈련
activity;['미국 남북 전쟁', '남북 전쟁 or 남북전쟁', '미국 내전', '남북전쟁', '미국 남북 내전', '미국 남북내전', '미국 남북전쟁', '미국남북전쟁', '미국내전', '미국 사이의 전쟁'];19세기에 미국의 남부연합주와 북부연합주 간에 벌어진 전쟁
agentive-figure;['유한회사', 'ld.', '유한 회사', '', '주'];위키미디어 동음이의어 문서
agentive-figure;['케르베로스', '헬하운드', '지옥견', '세르베루스', '켈베로스', '헬 하운드', 'cerberus'];그리스 신화 속, 명계를 지키는 머리가 세 개 달린 개
agentive-figure;['네메아의 사자', '네메온 사자', 'nemean 사자'];헤라클레스에게 죽임당한 사자
agentive-figure;['골렘', 'golem', '고렘'];골렘(영어: golem, 히브리어: גולם‎)은 신화에 등장하는 사람의 형상을 한 움직이는 존재이다.
agentive-figure;['미미르', 'mimir'];가상의 인물
agentive-figure;['독일 제국', '도이체스라이히', '도이칠란드 제국', '도이칠란트 제국', '독일제국', '제국 독일', '도이체스 라이히', '제2제국', '도이체스 카이저라이히', '독일 제2제국', '제2독일국', '제2라이히', 'hohenzollern 제국', '두 번째 제국'];1871년부터 1918년까지 중부 유럽에 있었던 국가
agentive-figure;['전대', '중대'];옛날의 기병과 현재의 항공 혹은 기갑분과에 근무하는 지상군의 부대 편제 단위, 다른 지상군 부대의 중대(Company)와 거의 동등한 위치에 있다
agentive-figure;['내진', '가대'];위키미디어 동음이의어 문서
agentive-figure;['선거관리위원회', '선거위원회', '선거 관리 위원회', '선거 위원회', '선거관리 위원회', '선관위', '중앙 선거 관리 위원회', '중앙 선거 위원회', '중앙 선거관리위원회', '중앙 선거위원회', '중앙선거 위원회', '중앙선거관리위원회', '중앙선거위원회', '중앙선관위', '선거 관리 기관과 배포됩니다'];선거 사무를 담당하는 정부 기관
agentive-figure;['팀', '조', '대', '짝', '패'];공통된 목적 아래에 모여 활동하는 단체
agentive-figure;['미국 육군 특수부대', '미국 육군 특전부대', '그린 베레', '그린베레', '미국 육군 특전대', '미국 육군특수전학교', '미국육군특전부대', '미육군 특수부대', 'u. s. 육군 특수 부대', '미 육군 특수 부대', '특수 부대'];미국 육군의 특수작전 근무 분과
agentive-figure;['핵가족', '부부의 가족'];부모와 미혼 자녀로 이루어진 가족
agentive-figure;['병역', '군별', '군 복무', '군무', '군복무', '군역', '병무', '군종', '군사 복무', '군사복무', '병무 비리', '병무비리', '병역 제도', '병역제도', '군사', '무장 서비스', '입대'];국가의 군대를 종류에 따라 구별한 것
agentive-figure;['병역', '군별', '군 복무', '군무', '군복무', '군역', '병무', '군종', '군사 복무', '군사복무', '병무 비리', '병무비리', '병역 제도', '병역제도', '군사', '무장 서비스', '입대'];군에 복무하는 행위, 또는 복무하도록 하는 행위
agentive-figure;['미국 해군부', '미국 해군성', '해군성'];미국 국방부의 해군 관할 기관
agentive-figure;['민주공화당', '미국 민주공화당', '민주-공화당', '민주 공화당', '아담스 클레이 공화당으로'];미국 초기의 정당이자 지금의 미국 민주당과 공화당의 전신 정당이다.
agentive-figure;['의과대학', '의과 대학', '의과 대학교', '의과대학교', '의대', '의학 대학', '의학 대학교', '의학대학', '의학대학교', '의학의 학교'];의학에 대한 내용을 연구하는 대학
agentive-figure;['교회', '무형교회', '기독교 교회', '크리스천 교회'];예수 그리스도를 믿는 신앙 고백 자들의 공동체
agentive-figure;['빅밴드', 'big band', '빅 밴드', '큰 밴드'];재즈와 스윙 장르를 주로 연주하는 밴드
agentive-figure;['우체국', '우펀국', '우정국', '우편취급국', '우편 사무실', '지역 우체국'];우편사무와 금융업무를 영위하는 기관
agentive-figure;['사령부', '본부', '총사령부', '최고 사령부', '최고사령부', '떼', '무리', '부대'];부대를 지휘하고 운영하기 위한 본부
agentive-figure;['허클베리 핀', 'huckleberry finn', '허클베리핀'];마크 트웨인의 소설에 나오는 가공의 인물
agentive-figure;['늑대인간', '늑대 인간', '라이칸스로프', '리칸트로페', '리칸트로피', '웨어울프', 'wolfman', 'lycanthrope', 'lycanthropic', '루 - garou', '루 garou', '이리가 된 인간'];인간과 늑대 둘다 변신하는 귀물(鬼物)을 일컫는다.
agentive-figure;['divan'];위키미디어 목록 항목
agentive-figure;['국가', '주권국', '나라', '국민', '주권 국가', '주권 국가 체제', '주권국가', '주권국가체제', '독립국', '공화국', '국', '민', '백성', '사회', '연방', '인민', '정부', '정치 몸', '해상도 publica'];일정 영역에 대한 배타적 영유권과 대외적인 독립성을 확보한 체계적인 사회 집단
agentive-figure;['유치원', '유아원', '유아 학교', '유아학교', '병설유치원'];유아를 대상으로 하는 교육 기관
agentive-figure;['사립 학교', '사립학교', '사학', '사립 학교입니다'];국가나 지방정부가 설립, 운영하지 않는 학교
agentive-figure;['중학교', '김나지움', '중등학교', '고등중학교', '남중생', '여중생', '중고등학교', '중등 교육 학교', '중등교육학교', '중학생', 'lycee', 'progymnasium', '낮은 중등 학교', '대학', '중등 학교'];초등학교와 고등학교 사이 단계의 교육기관
agentive-figure;['중학교', '김나지움', '중등학교', '고등중학교', '남중생', '여중생', '중고등학교', '중등 교육 학교', '중등교육학교', '중학생', 'lycee', 'progymnasium', '낮은 중등 학교', '대학', '중등 학교'];중등 교육을 제공하는 기관
agentive-figure;['초등학교', '국민학교', '소학교', '국민 학교', '보통학교', '심상소학교', '인민학교', '초등학생'];초등교육기관. 졸업 또는 이에 준하는 학력을 지닌 자는 중학교에 진학할 수 있다.
agentive-figure;['쿠 클럭스 클랜', 'ku klux klan', 'kkk', 'kkk단', '케이케이케이', '쿠 클럭스 클란', '큐 클럭 클럭스', '큐클럭스클랜', '3k단', '삼케이단', 'klan', '큐 클럭 스 클랜'];백인우월주의 극우 단체
agentive-figure;['마피아', '코사 노스트라', '시칠리아 마피아', '시실리 마피아', '시칠리안 마피아', '조직폭력배', '조폭', '코사노스트라', '이탈리아 마피아'];전 세계적으로 최대 범죄 조직으로 널리 알려진 범죄 조직이다.
agentive-figure;['항공대'];일본 제국 해군 항공대의 작전급 조직 편제 단위
agentive-figure;['군사 학교', '군사학교', '군학교', '육군 사관학교'];군대에서 운영하는 고등 교육 기관
agentive-figure;['경찰 학교', '경찰학교'];신규 경찰공무원의 교육 및 훈련을 담당하는 기관
agentive-figure;['추밀원'];위키백과 동음이의어 문서
agentive-figure;['유엔 교육 과학 문화 기구', '유네스코', 'unesco', '국제 연합 교육 과학 문화 기구', '국제연합교육과학문화기구', '유엔 교육 과학 문화기구', '국제연합 교육과학문화기구', '유엔 교육과학문화기구', 'un 교육 과학 문화 기구', '국제 연합 교육과학문화기구', '국제연합 교육 과학 문화 기구'];유엔의 전문 기구 중 하나
agentive-figure;['독립국가연합', 'cis', '독립 국가 연방'];소련의 해체로 성립한 10개 국가의 연합체
agentive-figure;['미국 해병대', 'usmc', '미 해병', '미국 해병', '미 해병대', '미합중국 해병대', '미해병', '미해병대', '해병대', 'u s 해병대', '미국 해병대의'];미국의 상륙작전을 수행하는 군사 조직
agentive-figure;['군단'];몇 개의 사단급 예하부대로 구성된 군사 집단
agentive-figure;['미국 항공 우주국', '미국 항공우주국', 'nasa', '미 국가 우주 항공 관리소', '미 항공 우주국', '미 항공우주국', '미국 우주항공국', '미국항공우주국', '미항공우주국', 'national aeronautics and space administration', '미국 국립 항공 우주국', '국립 항공 우주국'];미국의 국가 기관
agentive-figure;['교육기관', '교육 기관'];다양한 나이의 사람들이 교육을 받는 곳
agentive-figure;['유럽 경제 공동체', '유럽 연합', '유럽연합/유럽聯合', '유엔', 'eu', '유럽경제공동체', '구주 연합', '구주연합', '유럽 경제공동체', '유럽 공동 시장', '유럽 동맹', '유럽공동체', '유럽국가연합', '유럽동맹', '유럽연합', 'ec', 'eec', '공동 시장', '유럽 공동체'];유럽에 위치한 28개의 회원국 간의 정치 및 경제 통합체
agentive-figure;['아랍 연맹', '아랍 국가 련맹', '아랍 국가 연맹', '아랍국가련맹', '아랍국가연맹', '아랍련맹', '아랍연맹', '아랍 미국의 리그'];1945년 3월 22일 중동 지역의 평화와 안전을 확보하고 아랍 국가의 주권과 독립을 수호하기 위하여 결성된 연맹이다.
agentive-figure;['유엔', '국제 연합', 'un', '국제연합', 'u.n', 'u.n.', 'u n', '10.18356', '@un', 'u. n.', 'un.org', '국련', '국제 련합', '국제련합', '련합국기구', '연합국기구', '유나이티드 네이션스', '유엔 기구', '유엔 산하기관', '유엔산하기관'];전 세계적인 정부간 조직체
agentive-figure;['공군'];공중에서 임무를 수행하는 군사 조직
agentive-figure;['해군', '해군력'];바다에서 행동하는 군사 조직
agentive-figure;['악단', '음악 그룹', '악극단', '앙상블', '뮤직그룹', '악대', '음악단', '음악대', '합주단', '그룹', '음악 조직', '팝 록 밴드'];기악이나 성악을 연주하는 사람의 모임, 단체의 이름은 대개 별개의 이름을 사용함
agentive-figure;['로마 가톨릭교회', '로마 카톨릭', '천주교', '가톨릭교', '구교', '구교도', '로마 가톨릭', '로마 가톨릭 교회', '로마 가톨릭교', '로마 가톨릭교도', '로마 천주교', '로마 천주교회', '로마 카톨릭 교회', '로마 카톨릭교', '로마 카톨릭교회', '로마가톨릭', '로마가톨릭교', '로마가톨릭교회', '로마카톨릭', '로마카톨릭교', '로마카톨릭교회', '로만 가톨릭', '성교회', '천주교도', '천주교회', '카톨릭 교회', '카톨릭교', '카톨릭교회', '가톨릭 교회'];전 세계적으로 약 13억 명의 신자를 가진 세계 최대 규모의 기독교 교파
agentive-figure;['예비대', '예비군', '군사 보호 구역'];전투를 할 수 있지만, 지휘관의 의사에 따라 초기에 투입되지 않는 부대, 인력, 자원
agentive-figure;['헤라클레스', '헤르쿨레스', '헤라클레스 12업', 'alcides', 'heracles', 'herakles'];그리스 신화의 영웅 헤라클레스의 로마식 이름
agentive-figure;['종교', '신앙', '교도', '교인', '신도', '신자', '종교 의식', '종교의식', '종교인', '종교적', '신교', '신념', '신의', '신임', '충실', '종교 신앙'];규정된 믿음을 공유하는 이들로 이루어진 신앙 공동체와 그들이 가진 신앙 체계나 문화적 체계
agentive-figure;['시아파', '시아파 이슬람교', '시아', '시아파 이슬람', '이슬람 시아파', '이슬람교 시아파', 'shiah', 'shiah 이슬람'];이슬람교의 교파 중 하나
agentive-figure;['그리스 정교회', '그리스 정교', '그리스 정교 교회', '그리스어 교회'];위키미디어 동음이의어 문서
agentive-figure;['사회보장국', '미 연방 사회보장국', 'ssa', '소셜시큐리티', '사회 보장 행정'];미국 연방정부 산하의 독립기관
agentive-figure;['국제 연합 라틴아메리카 카리브 경제 위원회', '유엔 라틴 아메리카 카리브 경제 위원회', 'eclac', '라틴 아메리카 경제위원회', '유엔라틴아메리카카리브경제위원회', '라틴 아메리카에 대한 경제위원회'];1948년 국제 연합 경제 사회 이사회(ECOSOC)의 결의로 전신이 생성된, 라틴아메리카 경제 협력기구이다.
agentive-figure;['소방본부', '소방 본부', '소방국', '소방대', '소방서', '소방대 원', '화재 서비스'];광역자치단체를 관할하여 각종 육상재난에 대응하는 기관
agentive-figure;['국방부', '미국 국방부', '펜타곤', 'dod', '미국 국방성', '미국방부', '미합중국 국방부', '펜터건', '국립 군사 설립을', '국방부에', '국방의 미국 부', '미국 국방부는'];위키백과 동음이의어 문서
agentive-figure;['국방부', '미국 국방부', '펜타곤', 'dod', '미국 국방성', '미국방부', '미합중국 국방부', '펜터건', '국립 군사 설립을', '국방부에', '국방의 미국 부', '미국 국방부는'];미국의 영토 방위 사무를 담당하는 연방 정부 기관
agentive-figure;['미국 농무부', 'usda', '농무부', '농업과'];미국의 농업, 임업, 식품 생산에 관한 사무를 담당하는 연방 정부 기관
