abstract-region;['bội số', 'bội', 'nhiều'];Tích của một số bất kì với một số nguyên
activity;['chiến lược "vạn tuế"', 'tấn công "vạn tuế"', 'banzai', 'banzai phí', 'banzai tấn công', 'phí banzai'];thuật ngữ sử dụng bởi lực lượng Đồng minh để chỉ các cuộc tấn công bằng làn sóng người của Nhật Bản
activity;['tổng tuyển cử', 'cuộc tổng tuyển cử', 'cuộc bầu cử quốc hội'];Cuộc bầu cử chọn ra nhiều cơ quan trong một hệ thống chính trị
activity;['hải chiến', 'trận hải chiến', 'chiến tranh hải quân', 'hải quân tham gia', 'trận chiến hải quân'];trận đánh trên sông, hồ, biển, đại dương và các đảo
activity;['blitzkrieg', 'chiến tranh chớp nhoáng', 'chiến dịch blitzkrieg', 'chiến tranh sấm sét', 'chiến tranh đánh nhanh thắng nhanh', 'đánh nhanh thắng nhanh', 'schwerpunkt'];Nghệ thuật quân sự nổi tiếng của Đức Quốc Xã.
activity;['chương trình tạp kỹ', 'chương trình truyền hình tạp kỹ', 'chương trình truyền hình tạp kĩ', 'chương trình tạp kĩ', 'truyền hình tạp kỹ', 'variety entertainment', 'variety program', 'variety series', 'variety show', 'văn nghệ tạp kĩ', 'văn nghệ tạp kỹ', 'chương trình đa dạng', 'nhiều chương trình'];Nghệ thuật giải trí được tạo nên bởi rất nhiều hoạt động khác nhau
activity;['chiến tranh với pháp và người da đỏ', 'chiến tranh pháp và người da đỏ', 'chiến tranh pháp-người da đỏ', 'la conquete', 'pháp và ấn độ chiến tranh'];Chiến tranh
activity;['chiến tranh pháp-phổ', 'chiến tranh pháp-đức', 'chiến tranh pháp-đức lần thứ nhất', 'chiến tranh pháp - phổ', 'chiến tranh pháp - đức', 'chiến tranh pháp phổ', 'chiến tranh pháp – phổ', 'chiến tranh pháp — phổ', 'chiến tranh pháp–phổ', 'chiến tranh pháp—phổ', 'chiến tranh đức - pháp lần 1', 'chiến tranh đức - pháp lần thứ 1', 'chiến tranh đức-pháp'];Cuộc chiến giữa hai nước Pháp và Phổ
activity;['chiến tranh triều tiên', 'chiến tranh hàn quốc', 'chiến tranh liên triều', 'cuộc chiến triều tiên'];Cuộc chiến tranh xảy ra và kéo dài từ giữa năm 1950 đến năm 1953 trên bán đảo Triều Tiên
activity;['chiến tranh thế giới thứ hai', 'đệ nhị thế chiến', 'chiến tranh thế giới thứ ii', 'thế chiến thứ hai', 'chiến tranh thế giới lần thứ 2', 'chiến tranh thế giới lần thứ hai', 'chiến tranh thế giới thứ 2', 'chiến tranh thế giới ii', 'chiến tranh thế giới lần ii', 'chiến tranh thế giới lần thứ ii', 'thế chiến 2', 'thế chiến ii', 'thế chiến thứ 2', 'thế chiến thứ ii', 'thế chiến thứ nhì', 'đại chiến thế giới 2', 'đại chiến thế giới lần thứ 2', 'đại chiến thế giới lần thứ hai', 'đại chiến thế giới thứ 2', 'world war ii', 'chiến tranh thế giới 2', 'chiến tranh thế giới hai', 'chiến tranh thế giới lần hai', 'chiến tranh thế giới lần thứ nhì', 'chiến tranh thế giới thứ nhì', 'cttg ii', 'thế chiến hai', 'thế chiến lần thứ 2', 'thế chiến đệ nhị', 'ww2', 'wwii', 'đại chiến thế giới ii', 'đại chiến thế giới lần 2', 'đại chiến thế giới lần thứ nhì', 'đại chiến thế giới thứ hai', 'đại chiến đệ nhị', 'chiếm đóng của đức quốc xã'];Một cuộc chiến tranh thế giới giữa các lực lượng Khối Đồng Minh và Phe Trục
activity;['chiến tranh thế giới thứ nhất', 'thế chiến thứ nhất', 'đệ nhất thế chiến', 'chiến tranh nga-thổ nhĩ kỳ', 'chiến tranh thế giới i', 'chiến tranh thế giới lần thứ nhất', 'chiến tranh thế giới thứ 1', 'chiến tranh thế giới thứ i', 'thế chiến i', 'thế chiến thứ một', 'đại chiến', 'chiến tranh nga-thổ', 'chiến tranh pháp-đức', 'chiến tranh thế giới 1', 'chiến tranh thế giới lần thứ 1', 'chiến tranh thế giới lần đầu tiên', 'chiến tranh đế quốc', 'chiến tranh đức-pháp', 'thế chiến 1', 'thế chiến lần thứ nhất', 'thế chiến thứ i', 'tổn thất trong chiến tranh thế giới thứ nhất', 'world war i', 'wwi', 'âu chiến', 'âu chiến lần thứ nhất', 'âu chiến thứ nhất', 'âu châu đại chiến', 'đại chiến thế giới 1', 'đại chiến thế giới lần thứ 1', 'đại chiến thế giới lần thứ một', 'đại chiến thế giới lần thứ nhất', 'đại chiến thế giới thứ 1', 'đại chiến thế giới thứ một', 'đại chiến thế giới thứ nhất', 'đại chiến âu châu', 'đại chiến ở châu âu', 'chiến tranh chấm dứt chiến tranh', 'chiến tranh thế giới'];Một cuộc chiến tranh thế giới diễn ra giữa phe Hiệp Ước và phe Liên Minh
activity;['chiến tranh thế giới', 'thế chiến', 'cuộc chiến tranh thế giới', 'chiến tranh toàn cầu'];Cuộc chiến có quy mô toàn thế giới với rất nhiều quốc gia tham gia
activity;['nhịn ăn', 'kiêng ăn', 'ăn chay', 'bền chặt', 'nhanh'];nhịn ăn thì không giống kiêng ăn đâu , kiêng là sử dụng khi người ta bị ngăn cấm
activity;['diễn thuyết trước công chúng', 'diễn văn', 'nói trước công chúng', 'biểu', 'diễn giả khách mời', 'miệng trình bày', 'orations', 'orators', 'pháp y', 'speechmaking', 'thánh thất', 'văn tế'];Nói chuyện với đám đông.
activity;['võ thuật', 'võ', 'võ học', 'võ nghệ', 'vũ thuật', 'võ nghệ sĩ'];Võ thuật có nguồn gốc từ nước Trung Hoa
activity;['quân nhạc', 'nhạc quân đội', 'nhạc quân', 'quân sự diễu hành', 'quân sự âm nhạc', 'võ âm nhạc'];Thể loại nhạc trong quân đội
activity;['giám sát', 'giám sát bí mật'];giám sát hành vi, hoạt động hoặc thông tin nhằm mục đích gây ảnh hưởng, quản lý hoặc chỉ đạo
activity;['đếm ngược', 'countdown', 'hoạt động đếm ngược', 'màn đếm ngược'];Sự liên tục đếm lùi lại về phía sau để chỉ báo khoảng thời gian còn lại trước khi một sự kiện diễn ra theo lịch trình đã định trước
activity;['vũ khí phòng không', 'phòng không', 'vũ khí chống máy bay', 'aa súng', 'chiến tranh phòng không', 'chống không khí', 'chống máy bay', 'hệ thống phòng không', 'không khí chống chiến tranh', 'lửa chống máy bay', 'máy bay chống', 'pháo binh phòng không', 'pháo chống máy bay', 'pháo phòng không', 'phòng không chiến tranh', 'pin chống máy bay', 'quân chủng phòng không', 'súng chống máy bay', 'súng pháo phòng không', 'súng phòng không'];Biện pháp chống lại lực lượng trên không của địch
activity;['diễn thuyết trước công chúng', 'diễn văn', 'nói trước công chúng', 'biểu', 'diễn giả khách mời', 'miệng trình bày', 'orations', 'orators', 'pháp y', 'speechmaking', 'thánh thất', 'văn tế'];Nói chuyện với đám đông.
activity;['phân biệt chủng tộc', 'chủ nghĩa phân biệt chủng tộc', 'kì thị chủng tộc', 'kỳ thị chủng tộc', 'kỳ thị sắc tộc', 'phân biệt sắc tộc', 'chủng tộc chủ nghia', 'chủng tộc', 'phân biệt đối xử dân tộc', 'thiên vị chủng tộc', 'uy quyền tối cao về chủng tộc'];Phân biệt kỳ thị con người
activity;['phân biệt giới tính', 'phân biệt đối xử theo giới tính', 'kì thị giới tính', 'kỳ thị giới tính', 'sự phân biệt đối xử theo giới tính', 'chủ nghĩa phân biệt giới tính', 'phân biệt đối xử về giới'];Thuật ngữ
activity;['lưu hành tiền tệ', 'kiếm tiền từ'];Trang định hướng Wikimedia
activity;['thiêu sống', 'chết bằng cách đốt', 'chết cháy', 'thiêu', 'thực hiện bằng cách đốt'];Một phương thức hành hình cổ xưa
activity;['thẩm vấn', 'câu hỏi'];Trang định hướng Wikimedia
activity;['hậu cần', 'logistic', 'logistics'];Hoạt động chuyên chở, lưu giữ và cung cấp hàng hóa.
activity;['medicaid', 'bổ trợ y liệu'];what if Medicaid
activity;['tập cơ chay', 'calisthenics', 'thể dục mềm dẻo'];Là một loại tập luyện cơ bắp bao gồm nhiều bài tập khác nhau và chúng thường liên kết với nhau.
activity;['xổ số', 'vé số', 'vé xổ số', 'xổ số kiến thiết'];loại hình cờ bạc được mở thưởng hàng ngày qua các con số của từng tỉnh và miền
activity;['mưa đá', 'hạt mưa đá'];Hiện tượng thời tiết
activity;['vận chuyển hàng hóa', 'vận chuyển hàng hoá', 'vận chuyển'];vận chuyển hàng hóa bằng các phương tiện vật lý
activity;['nghiên cứu', 'khảo cứu', 'nghiên cứu gia', 'nghiên cứu sinh', 'nghiên cứu ban đầu', 'phương pháp nghiên cứu'];hoạt động sáng tạo được thực hiện một cách có hệ thống
activity;['tiêm'];hành động đưa chất lỏng vào cơ thể người
activity;['bơi lội', 'bơi'];Môn thể thao
activity;['thiết kế', 'công ty thiết kế', 'quá trình thiết kế', 'triết lý thiết kế'];Công việc tạo ra một sản phẩm, một dịch vụ, một không gian, hay một hệ thống thông qua quá trình thiết kế và sáng tạo
activity;['giao tiếp', 'truyền thông', 'liên lạc', 'thông tin liên lạc', 'truyền tin', 'kỹ năng giao tiếp', 'thông tin nhầm lẫn', 'truyền thông sai lệch', 'truyền thông xã hội'];hành động
activity;['bảo vệ'];trang định hướng Wikimedia
activity;['trận waterloo', 'trận chiến waterloo', 'trận oa-téc-lô'];Trận chiến kết thúc cuộc chiến tranh Napoléon
activity;['không chiến tại anh quốc', 'trận chiến nước anh', 'trận nước anh', 'trận đánh nước anh', 'trận oanh tạc anh quốc', 'battle of britain'];Một cuộc không chiến dai dẳng giữa Đức Quốc xã và Anh Quốc vào mùa hè-thu năm 1940 trong Chiến tranh thế giới thứ hai.
activity;['lễ khởi công', 'lễ động thổ', 'khởi công', 'đột phá', 'đột phá lễ'];nghi lễ truyền thống ở nhiều nền văn hóa kỷ niệm ngày đầu tiên xây dựng một tòa nhà hoặc dự án khác
activity;['vận chuyển hàng hóa', 'vận chuyển hàng hoá', 'vận chuyển'];vận chuyển hàng hóa bằng các phương tiện vật lý
activity;['cách mạng tháng mười', 'cách mạng nga', 'cách mạng tháng mười nga', 'cách mạng bolshevik', 'cách mạng tháng 10', 'cách mạng tháng 10 nga', 'cách mạng tháng 10 năm 1917', 'cách mạng nga 1917', 'cách mạng nga năm 1917', 'cách mạng xã hội chủ nghĩa tháng mười nga', 'tháng mười revolution'];Sự kiện lịch sử đánh dấu sự ra đời của Nhà nước Nga cộng sản Xô viết tầm 1917-1991
activity;['nhạc trưởng', 'thực hiện', 'tiến hành', 'đạo diễn hợp xướng'];Còn gọi là chỉ huy âm nhạc
activity;['chiến dịch richmond-petersburg', 'cuộc bao vây petersburg', 'cuộc vây hãm petersburg', 'petersburg chiến dịch'];Chuỗi các trận đánh diễn ra quanh thành phố Petersburg, Virginia trong Nội chiến Hoa Kỳ
activity;['ly hôn', 'ly dị', 'li dị', 'giấy ly dị', 'giấy tờ ly dị', 'sự ly dị'];Chấm dứt quan hệ hôn nhân do Tòa án quyết định theo yêu cầu của vợ hoặc của chồng hoặc cả hai vợ chồng
activity;['phim hoạt hình', 'hoạt hình', 'animated cartoon', 'animation', 'hoạt họa', 'phim hoạt họa', 'bộ phim hoạt hình', 'hoạt hình 2d', 'hình ảnh động'];Là một hình thức sử dụng ảo ảnh quang học và sự chuyển động do nhiều hình ảnh tĩnh được chiếu tiếp diễn liên tục
activity;['cực khoái', 'khoái cảm', 'khoái lạc', 'lên đỉnh', 'sự thỏa mãn tình dục', 'tình dục đỉnh cao'];Đáp ứng nhu cầu khoái cảm tình dục da thịt
activity;['kế toán'];Kế toán là gì
activity;['thủ tướng anh', 'thủ tướng vương quốc anh', 'thủ tướng anh quốc', 'thủ tướng vương quốc liên hiệp anh và bắc ireland', 'thủ tướng chính phủ'];người đứng đầu chính phủ ở Vương quốc Liên hiệp Anh và Bắc Ireland
activity;['việc làm', 'nghề nghiệp', 'nghề', 'công việc', 'viec lam', 'job', 'kinh doanh', 'vị trí tuyển dụng'];Việc làm, công việc để làm việc
activity;['cách mạng pháp', 'cách mạng pháp 1789', 'cách mạng pháp năm 1789', 'cách mạng tư sản pháp', 'đại cách mạng pháp'];Một cuộc cách mạng tư sản diễn ra ở Pháp từ 1789-1799
activity;['chiến tranh cách mạng mỹ', 'cách mạng mỹ', 'chiến tranh cách mạng hoa kỳ', 'chiến tranh giành độc lập hoa kỳ', 'cách mạng hoa kỳ', 'chiến tranh độc lập của mỹ', 'chiến tranh độc lập hoa kỳ', 'cuộc cách mạng mỹ'];1775–1783 chiến tranh giữa Anh và Mười ba thuộc địa, giành được độc lập như Hoa Kỳ
activity;['chiến tranh cách mạng mỹ', 'cách mạng mỹ', 'chiến tranh cách mạng hoa kỳ', 'chiến tranh giành độc lập hoa kỳ', 'cách mạng hoa kỳ', 'chiến tranh độc lập của mỹ', 'chiến tranh độc lập hoa kỳ', 'cuộc cách mạng mỹ'];Xung đột quân sự tại Bắc Mỹ chống lại Đế quốc Anh dẫn tới sự ra đời của Hoa Kỳ.
activity;['trượt ván', 'dân trượt ván', 'skateboarder', 'skateboarding', 'skater', 'vđv trượt ván', 'vận động viên trượt ván', 'skateboarders', 'trượt ván chuyên nghiệp', 'video skate'];Môn thể thao hành động trên chiếc ván trượt
activity;['chiến tranh', 'cuộc xung đột quân sự', 'xung đột vũ trang'];Hiện tượng chính trị – xã hội có tính chất lịch sử, sự tiếp tục của chính trị bằng bạo lực
activity;['mưa', 'mưa rào', 'nước mưa', 'lượng mưa', 'cơn mưa', 'mưa bão'];hiện tượng tự nhiên do sự ngưng tụ của hơi nước trên bầu trời
activity;['dịch vụ'];Dịch vụ cung cấp cho người tiêu dùng, người dùng
activity;['tín ngưỡng thờ cúng tổ tiên', 'thờ cúng tổ tiên', 'thờ cúng ông bà', 'tục lệ thờ cúng tổ tiên', 'tục thờ cúng tổ tiên', 'đạo ông bà', 'tôn kính của người chết', 'tôn kính tổ tiên'];Tín ngưỡng duy tâm tốt đẹp tưởng nhớ cội nguồn và các câu chuyện lịch sử
agentive-figure;['ltd', 'công ty tnhh', 'công ty trách nhiệm hữu hạn', 'công ty tư nhân hạn chế bằng cổ phiếu', 'ld.'];trang định hướng Wikimedia
agentive-figure;['hector', 'hektor', 'ăn hiếp'];Là một trong những chiến binh vĩ đại nhất của cuộc chiến thành Troia. Hector nổi danh không chỉ vì lòng dũng cảm mà còn vì phẩm chất cao quý của mình
agentive-figure;['houri', '72 trinh nữ'];bài viết danh sách Wikimedia
agentive-figure;['hợp xướng'];Trang định hướng Wikimedia
agentive-figure;['công ty con', 'công ty lép vốn', 'subsidiary'];những công ty chịu sự chi phối bởi công ty mẹ
agentive-figure;['công ty holding', 'công ty cổ phần'];Công ty sở hữu cổ phiếu lưu hành của công ty khác
agentive-figure;['công ty tư nhân', 'công ti tư nhân', 'doanh nghiệp tư nhân', 'ty tư nhân', 'tư nhân', 'công ty thuộc sở hữu tư nhân', 'gần công ty', 'ty chặt chẽ', 'tư nhân công ty', 'tư nhân tập đoàn', 'đóng cửa công ty'];Công ty
agentive-figure;['giáo hội kitô giáo', 'nhà thờ'];Cộng đồng tín hữu tuyên xưng đức tin của họ vào Chúa Giêsu Kitô
agentive-figure;['hội đồng quản trị', 'ban giám đốc', 'hội đồng thành viên', 'giám đốc công ty', 'ban chấp hành', 'ban giám đốc', 'giám đốc bóng', 'giám đốc bóng tối', 'thành viên hội đồng quản trị'];cơ cấu nhằm điều hành một công ty hay thể chế tương tự
agentive-figure;['chi nhánh'];Tập hợp các đội thi đấu nhau cho một giải vô địch
agentive-figure;['terminator: dark fate'];Phim khoa học viễn tưởng Mỹ
agentive-figure;['công nghiệp điện tử', 'hàng điện tử', 'đồ điện tử', 'ngành công nghiệp điện tử'];Ngành kinh tế tập trung vào sản xuất lắp ráp mặt hàng điện tử, bao gồm cả chất bán dẫn
agentive-figure;['divan'];Bài viết danh sách Wikimedia
agentive-figure;['quốc gia', 'nhà nước', 'quốc gia có chủ quyền', 'dân tộc', 'quốc gia độc lập', 'quốc gia độc lập có chủ quyền', 'nhà nước có chủ quyền', 'nước có chủ quyền', 'quốc gia chủ quyền', 'chính phủ', 'cơ thể chính trị', 'lý thuyết khai báo của một bang mỹ', 'nước', 'res publica', 'xã hội chính trị'];tổ chức xã hội đặc biệt của quyền lực chính trị được giai cấp thống trị thành lập nhằm thực hiện quyền lực chính trị của mình với dân tộc-giai cấp-tư hữu cá nhân...
agentive-figure;['ku klux klan', 'kkk', 'đảng 3 k', 'đảng 3k', 'đảng kkk', 'hội kín ở miền nam nước my', 'klan'];hội nhóm cực đoan chủng tộc, bài ngoại giáo, chống cộng và bài Da đen, Do Thái
agentive-figure;['mafia', 'cosa nostra', 'mafia sicilia', 'xã hội đen', 'ma-phi-a', 'ma phi a', 'maphia', 'mafia ý', 'mafia sicily', 'sicilian mafia', 'tên mafia'];Tổ chức tội phạm
agentive-figure;['siêu cường', 'cường quốc', 'siêu cường quốc', 'đại cường quốc', 'liệt cường', 'cường quốc toàn cầu', 'một cường quốc', 'quyền lực lớn', 'quyền lực trong quan hệ quốc tế', 'sức mạnh siêu', 'thế giới quyền lực'];Quốc gia có sức mạnh đặc biệt, đứng đầu trong hệ thống quốc tế và khả năng gây ảnh hưởng tới những sự kiện và phô trương sức mạnh trên phạm vi toàn thế giới.
agentive-figure;['viện công nghệ', 'school of engineering and applied science', 'đại học bách khoa', 'học viện kỹ thuật', 'trường bách khoa', 'trường bách nghệ', 'trường polytechnique', 'viện kỹ thuật', 'bách khoa viện', 'giáo dục kỹ thuật', 'kỹ thuật trường học', 'polytechnic institute', 'technikon', 'thuộc về bách nghệ', 'trường cao đẳng', 'trường cao đẳng kỹ thuật', 'trường kỹ thuật', 'trường đại học bách khoa', 'trường đại học công nghệ', 'trường đại học kỹ thuật', 'viện bách khoa', 'viện đại học bách khoa'];một loạt các cơ sở giáo dục trao nhiều bằng cấp khác nhau
agentive-figure;['liên minh', 'liên bang', 'bang liên', 'liên hiệp quốc gia', 'chính phủ liên bang', 'confederal', 'liên', 'một liên bang'];Liên minh các quốc gia độc lập, liên kết với nhau thông qua các hòa ước, trong đó chính phủ chung không trực tiếp thực thi quyền tự chủ lên lãnh thổ của các quốc gia đó
agentive-figure;['liên minh', 'liên bang', 'bang liên', 'liên hiệp quốc gia', 'chính phủ liên bang', 'confederal', 'liên', 'một liên bang'];Quốc gia gồm nhiều địa phương riêng biệt tự trị
agentive-figure;['cơ mật viện', 'viện cơ mật', 'hội đồng cơ mật'];Trang định hướng Wikimedia
agentive-figure;['cộng đồng các quốc gia độc lập', 'cộng đồng quốc gia độc lập', 'cộng đồng thịnh vượng chung các quốc gia độc lập', 'khối thịnh vượng chung các quốc gia độc lập', 'sng', 'cis'];Cộng đồng liên minh các nước ở Xô-viết cũ
agentive-figure;['côngxoocxiom', 'công-xoóc-xi-om', 'consortium', 'công-xooc-xi-om', 'công xooc xi om', 'các tập đoàn', 'tập đoàn', 'đoàn'];liên kết của hai hay nhiều cá nhân, công ty, tổ chức hoặc chính phủ với mục tiêu tham gia vào một hoạt động chung để đạt được một mục tiêu chung
agentive-figure;['băng đảng', 'băng đảng đường phố', 'văn hóa băng đảng', 'bang phái', 'băng nhóm', 'băng nhóm giang hồ', 'băng nhóm đường phố', 'băng đảng giang hồ', 'văn hóa băng nhóm', 'bạo lực băng đảng', 'chiến tranh băng đảng', 'gangsterism', 'thành viên băng đảng'];Nhóm các dân giang hồ tranh giành nhau quyền kiểm soát địa bàn
agentive-figure;['hội nghị thể thao', 'liên đoàn thể thao', 'liên đoàn', 'giải đấu', 'giải đấu thể thao', 'hội nghị'];Tập hợp các đội thể thao thi đấu nhau, đôi khi được chia thành chi nhánh
agentive-figure;['nasa', 'cơ quan hàng không và vũ trụ hoa kỳ', 'cơ quan hàng không vũ trụ hoa kỳ', 'cục quản trị hàng không và không gian quốc gia', 'cục quản trị hàng không và không gian quốc gia hoa kỳ', 'cơ quan hàng không vũ trụ mỹ', 'cơ quan hàng không và không gian hoa kỳ', 'cơ quan hàng không và không gian mỹ', 'cơ quan hàng không và vũ trụ mỹ', 'cơ quan không gian hoa kỳ', 'national aeronautics and space administration', 'quốc gia hàng không và không gian'];Cơ quan vũ trụ và hàng không của chính phủ Hoa Kỳ
agentive-figure;['cơ quan tình báo trung ương', 'cia', 'cục tình báo trung ương hoa kỳ', 'cục tình báo trung ương mỹ', 'central intelligence agency', 'cơ quan trung ương tình báo', 'cơ quan tình báo trung ương hoa kỳ', 'cơ quan tình báo trung ương mỹ', 'c.i.a', 'quan tình báo trung ương', 'đoàn tình báo trung ương'];Cơ quan tình báo quan trọng của Chính quyền Liên bang Hoa Kỳ
agentive-figure;['cơ sở giáo dục', 'các loại cơ sở giáo dục', 'viện giáo dục'];Nơi mọi người thuộc mọi lứa tuổi nhận được sự giáo dục
agentive-figure;['trường đại học', 'trường cao đẳng', 'cao đẳng'];Học viện
agentive-figure;['nato', 'khối quân sự bắc đại tây dương', 'tổ chức hiệp ước bắc đại tây dương', 'tổ chức minh ước bắc ðại tây dương', 'tổ chức minh ước bắc đại tây dương', 'liên minh bắc ðại tây dương', 'liên minh phòng thủ bắc đại tây dương', 'khối hiệp ước bắc đại tây dương', 'khối minh ước bắc đại tây dương', 'khối nato', 'liên minh bắc đại tây dương', 'minh ước bắc ðại tây dương', 'minh ước bắc đại tây dương', 'otan', 'tổ chức liên phòng bắc đại tây dương'];Liên minh quân sự của các quốc gia phương Tây
agentive-figure;['liên hiệp quốc', 'liên hợp quốc', 'lhq', 'tổ chức liên hiệp quốc', 'un', 'united nations', 'của liên hợp quốc', 'quốc', 'u.n'];Tổ chức liên chính phủ có nhiệm vụ duy trì hòa bình và an ninh quốc tế
agentive-figure;['nhóm nhạc', 'ban nhạc', 'ban nhạc pop', 'ban nhạc pop rock', 'ban nhạc rock', 'ban nhạc thanh', 'bộ quần áo đồng công cụ', 'dự án solo', 'nghệ sĩ solo', 'nhóm', 'âm nhạc tổ chức'];tập hợp những nghệ sĩ biểu diễn bằng thanh nhạc hay hòa tấu
agentive-figure;['đảng phái chính trị', 'đảng', 'chánh đảng', 'đảng chính trị', 'chính đảng', 'đảng viên', 'bên', 'chính trị bên', 'liên kết chính trị', 'nhóm chính trị'];tổ chức muốn ảnh hưởng đến chính sách và hành động của 1 chính quyền-nhà nước.
agentive-figure;['giáo hội các thánh hữu ngày sau của chúa giê su ky tô', 'giáo hội các thánh hữu ngày sau của chúa jesus kitô', 'giáo hội các thánh hữu ngày sau của chúa giêsu kitô', 'giáo hội các thánh hữu ngày sau của chúa giê-su ki-tô', 'giáo hội mặc môn', 'đạo mặc môn', 'giáo hội mormon', 'đạo mormon', 'giáo hội các thô', 'mormons', 'giáo hội của chúa giêsu kitô các vị thánh', 'giáo hội của chúa giêsu kitô của latter-day saints', 'giáo hội của chúa giêsu kitô thánh hữu ngày sau', 'latter-day saint', 'mặc môn', 'mặc môn giáo hội'];Một giáo hội Kitô giáo lớn và nổi tiếng nhất trong phong trào Thánh hữu ngày sau
agentive-figure;['dân quân', 'dân binh', 'militia', 'lực lượng dân quân', 'dự trữ', 'milita'];Đại thể chỉ đến lực lượng quân lính hay lực lượng chiến đấu khác vốn bao gồm toàn các chiến binh không chuyên
