abstract-quality;['persoonallisuus', 'luonne', 'big five'];Kullekin ihmiselle luonteenomainen ajatusten, tunteiden ja käyttäytymisen muodostama kokonaisuus
activity;['thermopylain taistelu', 'thermopylai', 'thermobylain taistelu', 'thermopylae'];Persialaissotien taistelu
activity;['nälkälakko', 'syömälakko', 'nälkälakon'];kieltäytyminen ruuasta protestina
activity;['kwanzaa', 'kwanza', 'kwaanza'];Afroamerikkalainen juhlapyhä
activity;['karnevaali', 'karnevaalit', 'karnevalismi', 'laskiaishuvit', 'carnival', 'karnevaaleja'];paastonaikaa edeltävä juhla
activity;['lännenfilmi', 'western', 'lännenelokuva', 'hevosooppera', 'länkkäri', 'lännenkertomus', 'lännenkirja', 'lännenkirjallisuus'];Elokuvan tyylilaji
activity;['lännenfilmi', 'western', 'lännenelokuva', 'hevosooppera', 'länkkäri', 'lännenkertomus', 'lännenkirja', 'lännenkirjallisuus'];Lännenkertomusten genre
activity;['jalkapallo', 'futis', 'jalkapallojoukkue', 'eurooppalainen jalkapallo', 'jalkapalloilija', 'jalkapalloilu', 'jalkapalloseura', 'jalkapallojoukkueen', 'jalkapallon', 'jatkoajan jälkeen', 'lisäaika', 'lisäajalla', 'seisokkiaikaa', 'yhdistys jalkapalloilija'];Brittiläislähtöinen palloilulaji
activity;['moshing', 'moshaus', 'slam-tanssi', 'mosh pit', 'moshpit', 'wall of death', 'mosh-pit', 'mosh', 'slam tanssi', 'slam tanssia'];Tanssityyli
activity;['snooker', 'biljardipeli', 'snookerissa'];biljardin muoto
activity;['rap', 'hip hop', 'räppi', 'hiphop', 'rapmusiikki', 'rap-musiikki', 'hip hop -musiikki', 'hiphop-musiikki', 'jou', 'räp', 'räppäri', 'hip-hop', 'hip-hop-musiikkia', 'hip hop-artisti', 'hip hop-ryhmä', 'rap-ryhmä', 'räppiä'];Musiikkityyli
activity;['anateema', 'kirkonkirous', 'panna', 'pannaan julistaminen', 'pannahinen', 'valtakunnanpanna', 'anathema', 'kirotuksi'];Kirkonkirous
activity;['šakki', 'shakki', 'šakkipeli', 'asemallinen koulukunta', 'linnoittautuminen', 'narrinmatti', 'shakkinappula', 'sotilasrakenne', 'šakkinappula', 'shakkipeli'];Lautapeli
activity;['darts', 'tikkapeli', 'englantilainen tikanheitto', 'tikka'];tikkapeli
activity;['keno', 'bingo', 'lotto', 'beano'];rahapeli
activity;['kroketti', 'cróquet'];mailapeli
activity;['lentopallo'];Urheiluväline
activity;['vesipallo', 'vesipoolo', 'vesipalloilu', 'waterpolo'];uima-altaassa pelattava joukkuepallopeli
activity;['squash', 'kössi', 'kössimailat', 'squash-mailat', 'seinätennis', 'squash mailat'];mailapeli
activity;['golf', 'kolopallo', 'reikäpallo', 'golfaaja', 'golfari', 'golfinpelaaja', 'griinihaarukka', 'swingi', 'golf peli', 'golf turnaus', 'golfia'];Mailapeli, jossa pelaajat yrittävät saada metallimailoilla lyöden pientä palloa koloon
activity;['jääkiekko', 'lätkä', 'kiekkopeli', 'kiekko', 'jääkiekkoilija', 'jäkis', 'jääkendo', 'jääkiekkoilu', 'jääkiekkojoukkue', 'jääkiekon säännöt', 'pitkä kiekko', 'jääkiekko peli', 'naisten jääkiekkojoukkue'];Jääkiekkokaukalossa pelattava joukkuepeli
activity;['kriketti', 'test-ottelu', 'test match', 'cricket club', 'cricketers', 'kriketti joukkue', 'kriketti pelaaja'];Mailapallopeli
activity;['korttipeli', 'korttipelit', 'kortit', 'korttipelejä'];Pelikorteilla pelattava peli
activity;['tennis', 'verkkopallo', 'nurmitennis', 'tenniksen', 'tennikset', 'tennisten', 'murtopallo', 'tenniksenpelaaja', 'tennispelaaja', 'tie-break', 'tiebreak', 'lawn tennis'];Pallopeli
activity;['espanjan perimyssota', 'espanjan kruununperimyssota', 'sota espanjan succession'];suuri yleiseurooppalainen sota 1700–1714
activity;['lakko', 'työnseisaus', 'istumalakko', 'italialainen lakko', 'korpilakko', 'laiton lakko', 'lakko-oikeus', 'rikkuri', 'lakko toimia', 'lakon', 'työkiistan', 'työvoiman lakko'];työtaistelutoimenpide
activity;['taistelu', 'kahakka', 'konflikti', 'selkkaus', 'välikohtaus', 'tappelu', 'kahakoita', 'sitoutuminen'];sodankäyntiin liittyvä kamppailu kahden tai useamman osapuolen välillä
activity;['korallimeren taistelu', 'korallimeri', 'korallimeren meritaistelu', 'operaatio mo', 'battle of coral sea'];toisen maailmansodan meritaistelu 4.–8.5.1942
activity;['aikido', 'aikidō'];Japanilainen kamppailulaji
activity;['arbitraasi', 'arbitraatio', 'arbitaasi', 'arbitrointi', 'katvealueiden'];Riskittömien tuottomahdollisuuksien hyödyntäminen rahoitusmarkkinoilla
activity;['tae kwon do', 'taekwondo', 'taekwon-do', 'tkd', 'taekwondoin', 'taekwondoka', 'taekwando'];korealainen kamppailulaji
activity;['vararikko', 'konkurssi', 'konkurssipesä', 'takaisinsaanti konkurssissa', 'bankrotti', 'bankrutti', 'konkurssiin', 'konkurssit', 'tahaton konkurssihakemuksen', 'vapaaehtoiseen konkurssiin', 'vararikkoon'];Lakisääteinen menettely, jossa velallinen julistetaan maksukyvyttömäksi
activity;['yhdyntä', 'parittelu', 'sukupuoliyhdyntä', 'sukupuoliyhteys', 'seksuaalinen kanssakäyminen', 'seksuaalinen teko', 'lihallinen yhteys', 'suhde', 'sukupuolisuhde', 'coitus', 'emätinyhdyntä', 'naiminen', 'nussiminen', 'seksuaaliyhdyntä', 'carnal knowledge', 'ihmisen seksuaalista käyttäytymistä', 'seksuaalinen suhde', 'coition', 'emätin yhdynnässä', 'emättimen seksiä', 'ihmisen seksuaalinen aktiivisuus', 'ihmisen seksuaalista toimintaa', 'paritella', 'seksisuhteita', 'seksuaalinen kohtaaminen', 'seksuaaliseen tekoon', 'seksuaalisen kongressi', 'seksuaalista toimintaa', 'sääli seksiä', 'yhdynnästä'];ihmisen parittelu ja seksin muoto
activity;['native invader'];Tori Amosin albumi
activity;['tiedotusväline', 'radio- tai tv-ohjelmien lähettäminen', 'lähettää keskisuurten'];Audio- ja videosisältöjen jakelu
activity;['ristiinnaulitseminen', 'ristiinnaulinta', 'ristiinnaulita', 'ristiinnaulittiin'];Teloitustapa
activity;['jujutsu', 'jiujitsu', 'jujitsu', 'ju jutsu', 'jiu-jitsu', 'ju-jutsu', 'jūjutsu', 'taijutsu', 'jujutsua', 'ju-jitsu'];Kattotermi japanilaisille aseettomille kamppailulajeille
activity;['homeopatia', 'homeopaatti', 'homeopaattinen', 'homeopaattisuus', 'homeopaattiset', 'homeopaattisia lääkkeitä'];Pseudolääketieteellinen hoitomuoto
activity;['kiropraktiikka', 'kiropraktikko', 'kiropraktikot'];manuaalisen terapian ala
activity;['ekumenia', 'ekumenismi', 'ekumeeninen', 'yleiskirkollisuus', 'yleiskristillisyys', 'christian ekumenian', 'ekumeenisen liikkeen', 'ekumenian', 'ekumenisti', 'oecumenism', 'uskontojenvälisiä'];Kristillisten kirkkojen ja tunnustusten välinen yhteistyö ja pyrkimys yhteyteen
activity;['kihlaus', 'kihlautuminen', 'kihlausaika', 'kihlajaiset', 'kihlat', 'morsian', 'sulhanen', 'teinikihlaus', 'kihlattu', 'kihloissa', 'morsiamensa', 'sulhasensa'];Lupaus naimisiinmenosta
activity;['pantomiimi', 'miimos', 'elenäytelmä', 'miimikko', 'pantomimes'];Sanaton esitys tai näytelmä
activity;['väestönlaskenta', 'laskenta', 'väestölaskenta', 'census', 'väestönlasku', 'nenä count', 'nosecount'];Valtion keino tilastotieteellisen tiedon hankkimiseen väestöstään
activity;['merisodankäynti', 'meritaistelu', 'meritaistelussa', 'meri taistelu', 'merisotaa', 'meritaisteluita', 'merivoimien sitoutuminen'];Sodankäyntiä laivojen tai muiden merikulkuvälineiden avulla
activity;['masurkka'];puolalainen kansantanssi
activity;['esirukous', 'esirukoilija', 'esirukousta'];rukoilu yhteisten asioiden ja toisten ihmisten puolesta
activity;['kaksintaistelu', "affaire d'honneur", 'kaksintaistelut'];Järjestetty taistelu kahden osapuolen välillä
activity;['bessemer-prosessi', 'bessemermenetelmä', 'bessemer prosessi', 'bessemer terästä', 'gilchrist-thomas prosessi'];teräksen valmistusprosessi
activity;['keskusteluohjelma', 'talk show', 'chat show', 'chatshow', 'puheohjelma', 'talkshow', 'talk-show'];Televisio- tai radio-ohjelma, jossa yksi tai useampi henkilö tulevat juontajan kanssa keskustelemaan erilaisista asioista
activity;['ministerikierrätys', 'uusi sekoitus', 'hallituksenvaihdos', 'kaappi shuffle'];Hallituspuole vaihtaa ministeriä kesken kauden
activity;['röyhtäily', 'röyhtäisy', 'röyhtäys', 'röyhtäiseminen', 'röyhtäileminen', 'eructatio', 'röyhtäistä', 'röyhtäyttää'];kaasun päästäminen ruuansulatuselimistä suun kautta
activity;['kvotatiivi', 'epäsuora esitys', 'epäsuora diskurssi'];tapaluokka
activity;['touchdown', 'maali', 'touchdowns'];maali amerikkalaisessa jalkapallossa
activity;['saippuaooppera', 'saippuasarja', 'päivällä draama', 'saippuaoopperaa', 'saippuaoopperat', 'sinetron'];televisiogenre
activity;['kabaree', 'lavashow', 'esitys', 'floor show', 'näytös', 'ohjelma', 'floorshow'];Viihteen muoto
activity;['napoleonin sodat'];sarja Ranskan käymiä sotia 1803–1815
activity;['tentti', 'testi', 'koe', 'kuulustelu', 'tutkinto', 'luonnollinen tentti', 'verkkotentti', 'kelpoisuuskokeen', 'tentit'];Osaamista mittaava testi
activity;['psykoanalyysi', 'syvyyspsykologia', 'psykoanalyytikko', 'freudilaisuus', 'freudilainen psykologia', 'psykoanalyyttinen', 'analysandin', 'psykoanalyytikot', 'psykoanalyyttisen koulukunnan', 'syvyys psykologia', 'syvyys psykologian'];Psykologian teoria
activity;['varietee', 'varietee-esitys', 'varieteen', 'erilaisia ohjelma', 'varieteeteatterissa'];viihdetaiteen laji
activity;['tilannekomedia', 'sitcom', 'komediasarja', 'sit-com', 'sitcoms', 'tilanne komedia', 'tilannekohtaista komedia', 'tilannekomediat'];Televisiossa suosittu koominen ohjelmatyyppi
activity;['voimistelu', 'voimisteluharjoitus', 'gymnastiikka', 'voimistelija', 'voimistelijat'];Urheilulaji
activity;['satu', 'keijukaissatu', 'sadut', 'satukirja', 'satuja', 'satujen'];Lyhyt mielikuvituksellinen tarina
activity;['swing', 'jive', 'keinu', 'swing -musiikki', 'swing jazz', 'swing band', 'swing music', 'swing musiikin'];Jazzmusiikin muoto
activity;['magneettinen myrsky', 'aurinkomyrsky', 'koronan massapurkaus', 'geomagneettinen myrsky'];Auringossa tapahtuva hiukkaspurkaus
activity;['lastenloru', 'loru', 'lasten loru', 'loruja'];nokkelasanainen hokema
activity;['vesiviljely', 'hydroviljely', 'akvakulttuuri', 'allasviljely', 'hydroponics', 'aquiculture', 'säiliö viljely'];Kasvien viljely ilman maa-ainetta
activity;['burleski', 'varietee-esitys', 'burlesque', 'burleski talo', 'burleski talossa'];Kabareen kaltainen näyttämöviihde
activity;['rock', 'rock and roll', "rock 'n' roll", "rock'n'roll", 'rock-and-roll', 'rock-musiikki', 'rokki', "rock'n roll", 'rock & roll', 'rokki ja rolli', 'rock music', "rock n' roll", 'rock ’n’ roll', 'rockmusiikki', 'rockyhtye', 'rokkimusiikki', 'rock n roll', 'rock-muusikko', 'rock-n-roll', 'rock roll'];Musiikin tyylilaji
activity;['sitoumusbridge', 'bridge', 'ridge', 'tarjousbridge', 'herttamaski', 'kiinalainen merkinanto', 'luonnollinen järjestelmä', 'osasitoumus', 'patamaski', 'pelinviejä', 'pieti', 'ristimaski', 'ruutumaski', 'slammi', 'tarjousjärjestelmä', 'täyspeli', 'sopimus silta'];Neljän hengen korttipeli
activity;['revyy', 'musikaali revyy', 'revues'];viihteellinen näyttämöohjelma
activity;['vaalisalaisuus', 'salainen äänestys', 'salainen'];äänestystapa
activity;['sisällissota', 'kansalaissota', 'irtautumissota', 'sisällissodan', 'tuhoisa sota'];valtion sisäisten osapuolten välinen sota
activity;['ranskan-preussin sota', 'saksan–ranskan sota', 'preussin–ranskan sota', 'ranskalais-saksalainen sota', 'ranskan–preussin sota', 'saksan-ranskan sota', 'frankfurtin rauha', 'ranskan–saksan sota', 'vuoden 1870 sota'];Ranskan ja Preussin välinen sota 1870–1871
activity;['korean sota', 'koreansota'];Korean sisällissota 1950–1953, johon Kiina ja Yhdysvallat sekaantuivat
activity;['toinen maailmansota', '2. maailmansota', 'ii maailmansota', 'world war ii', 'wwii', 'natsimiehityksen', 'world war 2'];Vuosina 1939–1945 käyty maailmanlaajuinen sota
activity;['ensimmäinen maailmansota', 'maailmansota', 'suuri sota', 'sodat päättävä sota', '1. maailmansota', 'i maailmansota', 'ww1', '1 maailmansota', 'i. maailmansota', 'wwi', 'sota loppuu sota', 'sotien sota', 'world war 1', 'world war i'];Vuosina 1914–1918 käyty maailmanlaajuinen sota
activity;['espanjalais-amerikkalainen sota', 'espanjan sota', 'espanjan–yhdysvaltain sota', 'espanjan ja yhdysvaltojen sota', 'espanjan-yhdysvaltain sota', 'espanjan ja yhdysvaltain sota', 'espanjan–yhdysvaltojen sota', 'yhdysvaltain-espanjan sota', 'yhdysvaltain–espanjan sota', 'yhdysvaltojen–espanjan sota'];vuoden 1898 sota Yhdysvaltojen ja Espanjan välillä
activity;['krimin sota', 'oolannin sota', 'itämainen sota'];Sota Venäjän ja Osmanien valtakunnan sekä sen liittolaisten välillä 1853–1856
activity;['maailmansota', 'maailmansodat', 'maailmanlaajuista sotaa'];Maailman voimakkaimpia ja väkirikkaimpia valtioita koskeva sota
activity;['föhn', 'föhntuuli', 'föhn-ilmiö', 'föhn-tuuli', 'föhnilmiö', 'föhr-tuuli', 'kuiva laskutuuli', 'lämmin laskutuuli', 'foehn', 'foehn tuuli', 'fohn'];Lämmin ja kuiva tuuli
activity;['absolutismi', 'raivoraittius', 'raittius', 'raivoraitis', 'raitis', 'absolutisti', 'teetotalism', 'teetotalers', 'teetotaling', 'yhteensä raittiutta'];pidättäytyminen alkoholin käytöstä
activity;['paasto', 'paastoaminen', 'pätkäpaasto', 'nopeasti', 'paastot'];Tauon pitämistä kiinteän ruoan nauttimisesta eli luopumista ravinnosta
activity;['siltarumpupolitiikka', 'tukiainen', 'sianlihaa tynnyri', 'sianlihaa tynnyri menoja', 'sianlihan-tynnyri', 'sianlihan-tynnyri menoja'];poliitikkojen tapa ajaa valtion budjettiin pieniä investointeja omaan vaalipiiriinsä
activity;['aseistariisunta', 'aseidenriisunta', 'aseriisunta', 'hellyttävä'];Vapaaehtoinen aseista luopuminen
activity;['hauskanpito', 'hauskuus', 'hauska', 'ilonpito', 'amusement', 'hauskaa'];Osallisuus hauskuuksiin
activity;['koulutus', 'opetus', 'koulutusjärjestelmä', 'opetusoppi', 'kasvatustiede', 'ohjaaminen', 'opastus', 'opettaminen', 'pedagogiikka', 'pedagogi', 'didaktiikan', 'didaktiikka', 'kouluttaa', 'koulutuksen', 'koulutustoimintaan', 'opetusta'];Yksilön tietojen, taitojen ja tietojenkäsittelyn kehittämistä opetusinstituutiossa
activity;['antifeminismi', 'sovinismi', 'kansalliskiihko', 'miessovinismi', 'kiihkokansallisuus', 'chauvinismi', 'jingoismi', 'kiihkokansallismielisyys', 'kiihkonationalismi', 'shovinismi', 'sovinisti', 'äärikansallinen', 'äärikansallismielisyys', 'äärinationalisti', 'šovinismi', 'antifeminism', 'miesvaltainen', 'anti-feministi', 'naisvihamielisyys', 'sovinismia', 'sovinistiset'];feminismin vastustaminen
activity;['kansainväliset tapahtumat', 'maailman tapahtumat', 'kansainväliset suhteet', 'kansainvälinen politiikka', 'maailmanpolitiikka', 'interstate suhteita', 'kansainvälisessä politiikassa', 'kansainväliset asiat', 'maailman asioihin'];Kahden tai useamman valtion väliset suhteet
activity;['square dance', 'square-tanssi', 'kantritanssi', 'square dancing', 'square tanssi', 'rivitanssia'];kansantanssi
activity;['väkivalta', 'väkivaltaisuus', 'väkivaltainen'];ruumiillisen voiman tahallinen käyttö tai sillä uhkaaminen
activity;['viihde', 'ajanviete', 'huvitus', 'artisti', 'viihdeartisti', 'viihdetaiteilija', 'huvi', 'viihdettä', 'viihdyttäjiä', 'viihdyttävä', 'viihdyttää'];Yleisnimi kevyelle ajanvietteelle
activity;['argonne', 'argonne forest', 'meuse', 'meuse-argonne', 'meusen–argonnen taistelu', 'meuse-argonne -operaatio', 'meuse river', 'maas', 'meusen-argonnen taistelu', 'meuse-argonne toiminta'];ensimmäisen maailmansodan taistelu
activity;['bebop', 'bop', 'be-bop', 'be-pop'];1940-luvun alkupuolella syntynyt jazz-musiikin tyylisuunta
activity;['kenttäratsastus', 'kenttäkilpailu', 'eventer', 'kolme päivä kenttäratsastus'];kilparatsastuslaji
activity;['fredericksburgin taistelu', 'fredericksburg', 'taistelu fredericksburg'];Yhdysvaltain sisällissodan taistelu
activity;['jyllannin taistelu', 'skagerrakin taistelu', 'jyllannin meritaistelu', 'skagerrakin meritaistelu', 'taistelu jyllannin'];Ensimmäisen maailmansodan meritaistelu
activity;['dionysia', 'bakkanaalit', 'bakkanaali', 'bacchanalia', 'kaupungin dionysia', 'mässäilevä'];roomalainen juhla
activity;['saturnalia'];antiikin roomalainen juhla
activity;['oliver ackermann'];Yhdysvaltalainen muusikko
activity;['avaruuskävely', 'aluksen ulkopuolinen toiminta', 'tilaa kävellä', 'avaruuskävelyillä', 'avaruuskävelyn', 'extravehicular toimintaa'];Avaruusaluksen ulkopuolella suoritettu tehtävä
activity;['biljardi', 'cue urheilun'];Joukko pallopelejä, joita pelataan veralla päällystetyllä pöydällä
activity;['ristiretki', 'ristiretket', 'crusade'];Uskonnollisesti motivoitu sotaretki
activity;['pokeri', 'poker', 'pokeriammattilainen', 'pokka', 'kaksi paria', 'kuningasvärisarja', 'kuningasvärisuora', 'reeti', 'värisuora', 'pokerinpelaaja', 'pokeripeli'];Nimitys joukolle korttipelejä
activity;['biljardi', 'pool', 'tasku biljardi'];Biljardipeli, joka käsittää useita pelimuotoja
activity;['amerikkalainen jalkapallo'];urheiluväline
activity;['neurokirurgia', 'neurokirurgisten', 'neurokirurgit', 'selkäydinleikkaus'];lääketieteen erikoisala, joka tutkii keskushermoston sairauksien leikkaushoitoja
activity;['grafiikka', 'taidegrafiikka', 'kaiverrus', 'graafinen taide', 'piirrostaide', 'aquatint', 'puupiirros', 'tulostaa valmistaja'];kuvataiteen laji
activity;['ardennien taistelu', 'taistelu ardenneilla', 'operaatio wacht am rhein', 'ardennien offensiivi', 'ardennes counteroffensive', 'battle of ardennes bulge'];toisen maailmansodan taistelu
activity;['ypresin kolmas taistelu', 'passchendaelen taistelu', 'ypresin taistelu', 'flanderin taistelu', 'ieperin taistelu 1917', 'paschendale', 'paschendalen taistelu', 'passchendalen taistelu', 'passendalen taistelu', 'ypresin taistelu 1917', 'kolmas taistelu ypres'];Ensimmäisen maailmansodan taistelu
activity;['farsaloksen taistelu', 'farsalos', 'farsaloksen'];Julius Ceasarin kansalaissodan taistelu
activity;['lip sync', 'huulisynkroni', 'lipsynkkaus', 'huulisynkronointi', 'lip-synkkaus', 'playback', 'huuli-synkronointi', 'huuli synkronointi', 'huuli synch', 'huuli synching', 'huulia', 'lipsync'];laulamisen esittäminen
activity;['ohjelmointi', 'tietokoneohjelmointi', 'ohjelmoija', 'tietokoneen ohjelmointi'];toimintaohjeiden antaminen tietokoneelle tai muulle laitteelle
activity;['neulominen', 'neulonta'];Menetelmä, jolla langasta tehdään vaatteita ja asusteita eli neuleita
activity;['ilmatorjunta', 'ilmapuolustus', 'ilmatorjuntajoukot', 'ilmatorjuntakanuuna', 'ilmatorjuntaohjusjärjestelmä', 'ilmatorjuntatykistö', 'itk', 'ilmatorjunta-aseita', 'aa ase', 'aa gun', 'air defense', 'anti-air', 'anti-ilma sodankäynnin', 'ilmapuolustuksen', 'ilmapuolustuksen tykistö', 'ilmapuolustusjärjestelmä', 'ilmatorjunta-akku', 'ilmatorjunta-ase', 'ilmatorjunta-palo', 'ilmatorjunta-tykistön', 'ilmatorjunta sodankäynnin', 'ilmatorjunta tykistö', 'ilmatorjuntatykki', 'it-tykki', 'luodinkestävät ase'];aselaji
activity;['ikäsyrjintä', 'ageismi', 'ikärasismi', 'agism', 'ikäsyrjintää', 'ikään perustuva syrjintä'];ikään perustuva systemaattinen torjuminen tai asettaminen muita huonompaan asemaan
