abstract-quality;['વ્યક્તિત્વ'];વ્યક્તિત્વ એટલે જે-તે વ્યક્તિની વર્તનશૈલી, તેની બૌદ્ધિક શક્તિઓ, અભિયોગ્યતાઓ, વિચારો, ટેવો, આવેગો, મનોવલણો અને બીજાં એવાં વિશિષ્ટ પાસાંઓના ગત્યાત્મક સંગઠનથી ઊપજેલું સુગ્રથિત સ્વરૂપ.
activity;['શોર્ટ સેલ'];શોટઁ સેલ એટલે પ્રથમ શેરને વેચી દેવા અને બાદમાં દિવસ દરમ્યાન નીચા ભાવે ખરીદી નફો મેળવવો.
activity;['રસીકરણ', 'રોગ અવરોધક રસી ક્રિયા'];રસીકરણ એટલે એન્ટિજેનિક સામગ્રીનું સંચાલન જે રોગ પ્રત્યે પ્રતિરક્ષાનું નિર્માણ કરે છે.
activity;['સામાજિકીકરણ', 'સમાજિકરણ', 'સમાજિકીકરણ', 'સામાજિકરણ', 'સમાજીકરણ', 'સામાજીકરણ'];સામાજિકીકરણ અથવા સામાજીકરણ અથવા સમાજીકરણ એ વ્યક્તિને સામાજિક બનાવતી પ્રક્રિયા છે.
activity;['સ્વલૈંગિકૌત્તેજના'];અમુક વ્યક્તિ દ્વારા જાતે મૈથુન ઉત્તેજના મેળવવાના કર્મને સ્વલૈંગિક ઉત્તેજના કહે છે.
activity;['પ્રત્યાયન'];પ્રત્યાયન એ માહિતીને એક સ્ત્રોત પાસેથી લઇને અન્યને પહોંચાડવાની પ્રક્રિયા છે.
activity;['વ્યાયામ'];વ્યાયામ એ એક ગતિવિધિ છે જે શરીરને સ્વસ્થ રાખવાની સાથે વ્યક્તિના સમગ્ર સ્વાસ્થ્યને પણ વધારે છે.
activity;['ઉપાસના'];ઉપાસના એ ઈશ્વર સમીપ પહોંચવાની ધાર્મિક ભક્તિની વિધિ છે.
activity;['પર્યટન', 'પ્રવાસન'];પર્યટન એટલે મનોરંજન, આરામના સમયે અને વેપારી હેતુઓ માટે કરવામાં આવતો પ્રવાસ.
activity;['કચરાનો પ્રબંધ'];કચરાનો પ્રબંધ એ,પરિવહન, પ્રક્રિયા, પુન:નિર્માણ કે નિકાલ, અને નકામા પદાર્થોની દેખરેખના સંગ્રહને કહેવાય છે.
activity;['કલા'];કલા શબ્દ એટલો વ્યાપક છે કે વિભિન્ન વિદ્વાનોએ કરેલી પરિભાષાઓ કેવળ એક વિશેષ પક્ષને જ સ્પર્શીને રહી જાય છે.
activity;['હવામાન', 'મોસમ'];હવામાન વાતાવરણની એવી અવસ્થા છે કે જે ઠંડી કે ગરમ, ભીની કે સૂકી, શાંત કે તોફાની, સ્પષ્ટ કે વાદળછાયી હોઈ શકે.
activity;['ક્રાંતિ', 'વિપ્લવ'];ક્રાંતિ અથવા રેવોલ્યુશન એટલે પ્રણાલિકાગત પુરાણી વ્યવસ્થાનો નાશ અને નવી વ્યવસ્થા માટેનું એકાએક પરિવર્તન.
activity;['વ્યવસાય'];વ્યવસાય એટલે માણસ દ્વારા કોઇપણ પ્રકારનું કાર્ય કરી તેના બદલામાં મહેનતાણું મેળવવું.
activity;['ચા'];ચા કેમેલીયા સીનેન્‍સીસ છોડના પાંદડાઓ અને કુમળી કુંપળોની કૃષિ પેદાશ છે જેને જુદી જુદી પદ્ધતિઓથી બનાવવામાં આવે છે અને માવજત કરવામાં આવે છે.
activity;['પત્રકારત્વ'];પત્રકારત્વ એ આધુનિક સભ્યતાનો એક મુખ્ય વ્યવસાય છે.
activity;['ફ્રાન્સની ક્રાંતિ', 'ફ્રાન્સની રાજ્યક્રાંતિ', 'ફ્રેન્ચ ક્રાંતિ', 'ફ્રાન્સની ક્રાંન્તિ', 'ફ્રેન્ચ રેવોલ્યુશન'];ફ્રાન્સની ક્રાંતિ અથવા ફ્રેન્ચ રેવોલ્યુશન એ ફ્રાન્સની રાજાશાહી વિરુદ્ધ થયેલી ક્રાંતિ હતી.
activity;['ઘોડદોડ'];ઘોડદોડ અથવા ઘોડાદોડ એટલે ઘોડા દોડાવવાની હરીફાઈ.
activity;['ઇલેક્ટ્રોપ્લેટિંગ'];ઇલેકટ્રોપ્લેટિંગ એક ઢોળ ચઢાવવાની પ્રક્રિયા છે, જેમાં કોઈ દ્રાવણમાંથી ઇચ્છિત પદાર્થમાંથી ધન આયનનું પ્રમાણ ઘટાડવા અને સંવાહક પદાર્થો પર ધાતુ જેવી ચીજવસ્તુઓના પાતળા સ્તરનું નિર્માણ કરવા માટે વિદ્યુત પ્રવાહનો ઉપયોગ થાય છે.
activity;['યુદ્ધ'];યુદ્ધ એટલે સાર્વભૌમ રાષ્ટ્રો વચ્ચે મોટાભાગે રાજકીય હેતુ માટે વિશાળ ફલક પર ખેલાતો સામાન્ય રીતે સશસ્ત્ર સંઘર્ષ.
activity;['ફિઝિયોથેરાપી'];વ્યાયામ દ્વારા શરીરના સાંધાઓની નબળાઇ કે વેદના દૂર કરવા તેમ જ મહત્તમપણે કાર્યરત કરવા માટે માંસપેશીઓને સક્રિય કરીને કરવામાં આવતા ઉપચારની પદ્ધતિને ફિઝિયોથેરાપી કહેવાય છે.
activity;['સોનોગ્રાફી પરીક્ષણ'];સોનોગ્રાફી એટલે ધ્વનિનાં મોજાંઓ દ્વારા શરીરનાં આંતરિક અંગોનું પરીક્ષણ.
activity;['મેઘ', 'વરસાદ', 'વરસાત'];મેઘ શબ્દનો અર્થ વરસાદ થાય છે.
agentive-figure;['મિડાસ', 'midas'];ગ્રીસની પૌરાણિક માન્યતાઓમાં જણાવ્યા પ્રમાણે રાજા ગોર્ડિઆસ અને દેવી સાઇબેલે ના પુત્ર મિડાસ ગ્રીસ દેશના ફ્રીગિયા રાજ્યના રાજા હતા.
agentive-figure;['ફ્રેન્ચાઇઝીંગ'];ઢાંચો:Disputed
agentive-figure;['કોર્પોરેશન'];કોર્પોરેશન એ જાહેર રીતે નોંધાયેલ સનદ સાથેનું ઔપચારિક કારોબાર સંગઠન છે, જે તેને અલગ કાનૂની સાહસ તરીકે ઓળખે છે જે તેના પોતાના વિશેષાધિકાર ધરાવે છે અને તેની જવાબદારીઓ તેના સભ્યોની તુલનામાં અલગ પડે છે.
agentive-figure;['બેંક', 'બૅંક', 'બૅન્ક'];બૅન્ક એ એક એવી નાણાકીય સંસ્થા છે જે થાપણો સ્વીકારે છે અને પછી તે થાપણોને ધિરાણની પ્રવૃત્તિઓમાં રોકે છે.
agentive-figure;['પરગ્રહવાસી', 'એલિયન'];બહારની દુનિયાના જીવન, એ એલિયન લાઇફ તરીકે ઓળખાય છે, તે જીવન છે જે પૃથ્વીની બહાર થાય છે અને સંભવતઃ પૃથ્વી પરથી ઉદ્દભવ્યું નથી.
agentive-figure;['સંસ્થા'];સંસ્થા એ એક સામાજિક વ્યવસ્થા છે, જે સામૂહિક લક્ષ્યનું અનુકરણ કરે છે, પોતાની કામગીરીને નિયંત્રિત કરે છે અને તે પોતાના વાતાવરણ દ્વારા જુદુ જ વર્તુળ રચે છે.
agentive-figure;['શૈવ સંપ્રદાય'];શૈવ સંપ્રદાય એ એક ભારતમાં ઉત્પન્ન થયેલો, ભારતમાંથી અન્ય દેશોમાં પણ ફેલાયેલો અને ભારતથી પુષ્ટિ પામેલો એક અઘોરી સંપ્રદાય છે.
agentive-figure;['આંગણવાડી'];આંગણવાડી અથવા બાલમંદિર પાંચ કે છ વર્ષથી નાની વયના બાળકો માટેના શિક્ષણની વ્યવસ્થા છે.
agentive-figure;['આશ્રમશાળા'];પ્રાથમિક શિક્ષણ એટલે કે ધોરણ ૧ થી ૭ સુધીનું શિક્ષણ.
agentive-figure;['મ્યુચ્યુઅલ ફંડ', 'mutal fund'];મ્યુચ્યુઅલ ફંડ એ સામૂહિક રીતે રોકાણ કરવા માટેની વ્યાવસાયિક યોજના છે.
agentive-figure;['માધ્યમિક શાળા'];પ્રાથમિક શાળાનાં અભ્યાસ પછીનું શિક્ષણ માધ્યમિક શાળાઓમાં થાય છે.
agentive-figure;['પ્રાથમિક શાળા'];પ્રાથમિક શાળા એટલે પ્રાથમિક શિક્ષણ આપવામાં આવતું હોય તે શાળા.
agentive-figure;['કુ ક્લક્સ ક્લેન', 'કુ ક્લક્સ ક્લાન', 'ku klux klan'];કુ ક્લ્ક્સ ક્લાન ને કેકેકે નાં ટૂંકા નામથી ઓળખવામાં આવે છે અને અનૌપચારિક રીતે તેને ધ ક્લાન તરીકે ઓળખવામાં આવે છે.
agentive-figure;['મોનોરેલ'];મોનોરેલ રેલવે આધારિત પરિવહન વ્યવસ્થા છે, જેમાં એક પાટા પર ટ્રેન ચાલે છે અને તે પાટા એકમાત્ર ટેકા અને તેના માર્ગદર્શક તરીકે કામ કરે છે.
agentive-figure;['ઇસ્કોન', 'આંતરરાષ્ટ્રીય કૃષ્ણ ભાવનામૃત સંઘ', 'હરે કૃષ્ણ આંદોલન'];આંતરરાષ્ટ્રીય કૃષ્ણ ભાવનામૃત સંઘ' સામાન્ય રીતે 'હરે કૃષ્ણ' તરીકે પ્રચલિત છે.
agentive-figure;['વિશ્વ બેંક', 'વર્લ્ડ બેન્ક'];વર્લ્ડ બેંકની સ્થાપના 'બ્રિટન વુડ્સ' સંમેલન દરમ્યાન થઇ હતી.
agentive-figure;['જાહેરાત એજન્સી'];જાહેરાત એજન્સી અથવા એડ એજન્સી એ સેવાને લગતો કારોબાર છે, જે તેના ગ્રાહકોને જાહેરાતના સર્જન, આયોજન અને સંચાલન અંગે ની સેવા પૂરી પાડે છે.
agentive-figure;['નાસા'];નાસા,,એ અમેરિકન સરકારનીઅંતરિક્ષ સંશ્થા છે,જે દેશનાં જાહેર અંતરિક્ષ કાર્યક્રમોનું સંચાલન કરે છે.આ સંશ્થાની સ્થાપના જુલાઇ ૨૯,૧૯૫૮ નાં રોજ,રાષ્ટ્રીય એરોનોટિક્સ અને અંતરિક્ષ અધિનિયમ હેઠળ થયેલ.અવકાશ કાર્યક્રમની સાથે,નાસા લાંબાગાળાનાં નાગરીક અને લશ્કરી સંશોધનો માટે પણ જવાબદાર છે.
agentive-figure;['સેન્ટ્રલ ઇન્ટેલિજન્સ એજન્સી'];સેન્ટ્રલ ઇન્ટેલિજન્સ એજન્સી સીઆઇએ એ સંયુક્ત રાષ્ટ્રોની સરકારની એક બિનલશ્કરી ગુપ્ત માહિતી મેળવતી એજન્સી છે જે અનુભવી સંયુક્ત રાજ્યોના નીતિ બનાવનારાઓને રાષ્ટ્રીય સુરક્ષાની ગુપ્ત માહિતીને પ્રાપ્ત કરી આપવા માટે જવાબદાર હોય છે.
agentive-figure;['સંયુક્ત રાષ્ટ્રસંઘ', 'યુ. એન.', 'યુનાઈટેડ નેશન્સ', 'સંયુક્ત રાષ્ટ્રો'];સંયુક્ત રાષ્ટ્રસંઘ એ આંતરરાષ્ટ્રીય સંસ્થા છે જેના જાણીતા ઉદ્દેશોમાં આંતરરાષ્ટ્રીય કાયદા, આંતરરાષ્ટ્રીય સલામતી, સામાજિક પ્રગતિ, માનવ અધિકાર ની દ્રષ્ટિએ સહકાર આગળ ધપાવવો અને વિશ્વ શાંતિ હાંસલ કરવાનો સમાવેશ થાય છે.
agentive-figure;['યતી'];યતી એટલે કે હિમ માનવ.
agentive-figure;['ઇસ્લામ', 'મુસલમાન', 'ઇસ્લામ ધર્મ', 'ઇસ્\u200dલામ'];ઇસ્લામ એક એકેશ્વરવાદી ધર્મ છે એ મુજબ એક માત્ર ઈશ્વર "અલ્લાહ"[1] છે અને પયગંબર હજરત મુહમ્મદ એના દૂત છે.આ ધર્મ અલ્લાહના પયગંબર અને નબી મુહંમદ મારફત લોકો સુધી પહોંચાડવામાં આવ્‍યો.
agentive-figure;['યુનાઇટેડ સ્ટેટ્સ આર્મી'];યુનાઇટેડ સ્ટેટ્સ આર્મી એ અમેરિકાના સશસ્ત્ર દળોની એક પાંખ છે જેના પર ભૂમિ આધારિત સૈન્ય કામગીરીની જવાબદારી છે.
agentive-figure;['હિંદુ ધર્મ', 'હિંદૂ ધર્મ', 'હિન્દુ ધર્મ'];હિંદુ ધર્મ ભારતીય ઉપ-મહાદ્વીપમાંથી ઉદ્ભવેલો ધર્મ છે.
agentive-figure;['પોલીસ'];પોલીસએ મુળ અંગ્રેજી શબ્દ Police છે જે રાજ્યમાં રાજ્ય સરકારના ગૃહમંત્રી અને કેન્દ્રમાં કેન્દ્ર સરકારના ગૃહમંત્રીને જવાબદેહ રહી દેશમાં નાગરિક સુરક્ષાનું કાર્ય કરે છે.
agentive-figure;['સોવિયેત યુનિયન'];સોવિયેત યુનિયન, ૧૯૨૨ થી ૧૯૯૧ સુધી અસ્તિત્વ ધરાવતો સામ્યવાદી દેશ હતો.જે ૧૯૧૭ ની રશિયન ક્રાંતિ અને ૧૯૧૮ થી ૧૯૨૧ નાં આંતરવિગ્રહો પછી,રશિયન સામ્રાજ્યમાંથી રચાયેલ.
agentive-figure;['ડોન કિહોટે'];લા માન્ચાના બુદ્ધિશાળી ઉમરાવ સર ડોન કિહોટે પ્રચલિત ટુકાં નામે ડોન કિહોટે, મિગેલ દિ'સર્વાન્ટીસ દ્વારા સ્પેનિશ ભાષામાં લખાયેલ એક નવલકથા છે, આ નવલકથાને આધુનિક વિશ્વની સૌપ્રથમ નવલકથા માનવામાં આવે છે.
agentive-figure;['ભાગીદારી કરારનામું'];ભાગીદારી કરારનામું એ ભગીદારીનું વહીવટી બંધારણ છે.
agentive-figure;['સૈન્ય'];સૈન્ય અથવા લશ્કર અથવા સેના એ એક સશસ્ત્ર સંગઠન છે કે જે દેશ અથવા તેના નાગરિકો અથવા કોઈપણ સરકાર અને તેનાથી સંબંધિત લોકોના હિતો અને ઉદ્દેશો વધારવા અને સુરક્ષિત કરવા માટે જીવલેણ શક્તિનો ઉપયોગ કરવાની ક્ષમતા ધરાવે છે.
agentive-figure;['જર્મન કામદારોનો રાષ્ટ્રીય સમાજવાદી પક્ષ'];જર્મન કામદારોનો રાષ્ટ્રીય સમાજવાદી પક્ષ પ્રચલિત ટૂંકા નામે નાઝી પક્ષ એ જર્મનીનો જમણેરી રાજકીય પક્ષ હતો જે ૧૯૨૦ થી ૧૯૪૫ની વચ્ચે સક્રિય હતો, આ પક્ષે નાઝીવાદની વિચારધારાને ટેકો આપ્યો હતો અને તેનું સમર્થન કર્યું હતું.
agentive-figure;['ગેસ્ટાપો', 'gestapo'];ગેસ્ટાપો એ નાઝી જર્મનીની અધિકૃત છુપી પોલીસ હતી.જેનું સઘળું સંચાલન "એસ.એસ." તરીકે ઓળખાતા દળનાં હાથમાં હતું.
agentive-figure;['સીતા', 'sitâ', 'જાનકી'];જનક નંદિની માતા જાનકી તો ભારતીય સતીત્ત્વ કે નારીતાનું પ્રેરક અને જીવંત પ્રતીક છે.
agentive-physical-object;['કોળું'];કોળું એક સ્થાનિક, દ્વિબીજપત્રી વનસ્પતિ છે.
agentive-physical-object;['લેપટોપ'];A laptop, also called a notebook computer or just notebook, is a small, portable personal computer with a "clamshell" form factor, having, typically, a thin LCD or LED computer screen mounted on the inside of the upper lid of the "clamshell" and an alphanumeric keyboard on the inside of the lower lid.
agentive-physical-object;['ડોનાલ્ડ ડક'];ડોનાલ્ડ ફોન્ટલિરોય ડક એ ધ વોલ્ટ ડિઝની કંપનીનું અમેરિકન કાર્ટુનનું પાત્ર છે.
agentive-physical-object;['પ્રાણી', 'પશુ'];પ્રાણીઓ એનિમાલિયા અથવા મેટાઝોઆ રાજ્ય ના મોટે ભાગે બહુકોષી, યુકેર્યોટિક ઓર્ગેનિઝમ ના મોટા જૂથ છે.
agentive-physical-object;['સ્વચાલિત ગણક યંત્ર'];સ્વચાલિત ગણક યંત્ર . એ બેંકિંગ-વ્યવહાર માટેનું એક ઉપકરણ છે, જેને વિશ્વમાં ઓટોમેટિક બેંકિંગ મશીન, કેશ પોઈન્ટ, હોલ ઇન ધ વોલ, બેંનકોમેટ વગેરે નામોથી પણ ઓળખવામાં આવે છે.
agentive-physical-object;['કમ્પ્યૂટર', 'સંગણક', 'દ્વિઅંકી ગણનયંત્ર', 'સંગણક યંત્ર', 'કંપ્યુટર', 'કંપ્યૂટર', 'કમ્પ્યુટર', 'કોંપ્યુટર', 'કોંપ્યૂટર', 'કોમ્પ્યુટર', 'કોમ્પ્યૂટર'];સંગણક કે કમ્પ્યુટર એટલે એવું યંત્ર કે જે તેને ક્રમાદેશન કરીને અપાયેલી સુચનાઓ મુજબ કાર્ય કરીને વિવિધ સ્વરૂપની માહિતી અને ડેટા પર વિવિધ પ્રક્રિયા કરી શકે છે.
agentive-physical-object;['કાકડી'];કાકડી એ ગરમીની ૠતુનો પાક છે.
agentive-physical-object;['પુષ્પ', 'ફૂલ', 'સુમન'];ઘણી વખત મ્હોર કે ખીલેલા ફૂલ તરીકે જાણીતા ફૂલ સપુષ્પ વનસ્પતિનું પ્રજનન અંગ છે.
agentive-physical-object;['ચરખો'];ચરખો એ એક હાથ વડે ચલાવી શકાતું યંત્ર છે, જેના વડે કપાસના રૂમાંથી બનાવેલ પૂણીને કાંતીને સૂતર તૈયાર કરી શકાય છે.
agentive-physical-object;['લીંબુ'];લીંબુ એ દુનિયાના લગભગ દરેક ભાગમાં મળી આવતું એક અતિ સામાન્ય ફળ છે.
agentive-physical-object;['બીગલ'];બીગલ એ નાનાથી મધ્યમ કદના શ્વાનની એક નસ્લ છે.
agentive-physical-object;['સોયાબીન', 'glycine max', 'સોયબીન', 'સોયબિન'];સોયાબીન પૂર્વ એશિયાનો દાણાં પ્રકારના ફળ ધરાવતો છોડ છે.
agentive-physical-object;['નીલગિરી'];નીલગિરી મર્ટલ કુળ મર્ટસિયાપ્રજાતિના પુષ્પિતવૃક્ષોની એક અલગ જાતિછે.
agentive-physical-object;['કૂકડો', 'મરઘો', 'કુકડો'];કૂકડો એ ‘મરઘો’ નામે પણ ઓળખાય છે.
agentive-physical-object;['સૂડો', 'psittacula krameri'];સૂડો એ ભારતીય ઉપખંડમાં જોવા મળતું એક પક્ષી છે.
agentive-physical-object;['બળદ'];બળદ એક ચોપગો પાળેલું પ્રાણી છે.
agentive-physical-object;['કઠોળ', 'વાલ'];કઠોળ વિવિધ પ્રકારની વનસ્પતિનાં બીજ છે જે વાર્ષિક ઉપજ છે અને વિવિધ પ્રકારના અલગ દેખાવ અને કદ વાળા હોય છે.
agentive-physical-object;['ઘઉં'];ઘઉં એ વિશ્વભરમાં વાવવામાં આવતો ઘાસ પ્રકારનો પાક છે.
agentive-physical-object;['મનુષ્ય', 'homo sapiens', 'માણસ', 'માનવ'];મનુષ્ય બે પગ વડે ચાલતું, હાથ વડે કાર્ય કરી શકતું, કુટુંબમાં રહેતું, આંચળ ધરાવતું, વિચારશીલ, તર્કશીલ તેમ જ બુદ્ધિમાન સામાજીક પ્રાણી છે.
agentive-physical-object;['બકરી', 'capra aegagrus hircus'];બકરી એ ભારતમાં ઠેર ઠેર જોવા મળતું એક પાળતુ પ્રાણી છે.
agentive-physical-object;['ડાયનાસોર'];ડાયનાસોર એ સરિસૃપોની પેટા જાતિ છે.
agentive-physical-object;['ટ્યૂલિપ'];ટ્યૂલિપ એ ટ્યૂલિપા વર્ગના સુંદર ફૂલો સાથેનો બારમાસી, ગોળાકાર છોડ છે, જેમાં 109 જાતિઓ હોય છે અને લીલીયાસિયે પરિવાર સાથે જોડાયેલું છે.
