agentive-figure;['uniaun europeia', '🇪🇺'];Uniaun Europeia (UE) - naran uluk Komunidade Ekonómika Europeia ka Komunidade Europeia - organizasaun internasionál konstituida atualmente hosi Estadu-Membru sira 28, estabelesida dahuluk iha 1957.
political-geographic-object;['luxemburgu', 'luxemburgo'];Luxemburgu (iha alemaun: Luxemburg, iha fransés: Luxembourg, luxemburgés: Lëtzebuerg) maka rai Europa nian.
political-geographic-object;['reinu naklibur', 'reino unido', 'reinu naklibur bretaña-boot no irlanda norte', 'reinu unidu'];Reinu Naklibur (iha inglés: United Kingdom) maka rai Europa nian, ne'ebé nakfahe parte haat:Inglaterra. Eskósia. Gales (hamutuk Bretaña Boot) no Irlanda Norte.
political-geographic-object;['españa', 'espanya', 'espanha'];España (iha españól: España) maka monarkia (Reino de España) iha sudoeste Europa nian ho populasaun aprosimadamente tokon 44.
political-geographic-object;['arábia saudita'];Arábia Saudita maka rai Ázia nian.
political-geographic-object;['xade'];Xade maka rai Áfrika nian.
political-geographic-object;['tajikistaun'];Tajikistaun maka rai Ázia nian.
political-geographic-object;['bielorúsia'];Bielorúsia maka rai Europa nian.
political-geographic-object;['azerbaijaun'];Brunei maka rai Ázia no Europa nian.
political-geographic-object;['kirgizistaun'];Kirgizistaun maka rai Ázia nian.
political-geographic-object;['uzbekistaun'];Uzbekistaun maka rai Ázia nian.
political-geographic-object;['kazakistaun'];Kazakistaun maka rai Ázia nian.
political-geographic-object;['mongólia'];Mongólia maka rai Ázia nian.
political-geographic-object;['łódź'];Łódź (Lodz) mak sai sidade iha Polónia.
political-geographic-object;['béljika'];Béljika (iha olandés: België, fransés: Belgique, alemaun: Belgien) maka rai Europa nian.
political-geographic-object;['pakistaun'];Pakistaun maka rai Ázia nian.
political-geographic-object;['bangladexe'];Bangladexe ka rai Ázia nian.
political-geographic-object;['afeganistaun'];Afeganistaun ka rai Ázia nian.
political-geographic-object;['áustria'];Áustria (iha alemaun: Österreich) maka rai Europa nian.
political-geographic-object;['laos'];Laos - rai iha Ázia sudeste.
political-geographic-object;['birmánia', 'myanmar'];Myanmar (Birmánia) ka rai Ázia nian.
political-geographic-object;['kamboja'];Kamboja maka rai Ázia nian.
political-geographic-object;['austrália'];Rai Austrália (naran ofisiál Komunidade Austrália nian) maka rai boot liuhotu Oseania nian, ne'ebé okupa nusa Austrália hotu nian no nusa oioin viziñu, hanesan Tazmánia.
political-geographic-object;['makau', 'macau'];Makau mak sai Regiaun Administrativa Espesiál Makau nian Repúblika Popular Xina nian.
political-geographic-object;['butaun'];Butaun maka rai Ázia nian.
political-geographic-object;['turkomenistaun'];Turkomenistaun maka rai Ázia nian.
political-geographic-object;['jeórjia'];Jeórjia maka rai Ázia no Europa nian.
political-geographic-object;['onduras', 'honduras'];Onduras maka rai Amérika nian.
political-geographic-object;['guatemala'];Guatemala maka rai Amérika nian.
political-geographic-object;['kostarrika', 'crc'];Panamá maka rai Amérika nian.
political-geographic-object;['ungria'];Ungria maka rai Europa nian.
political-geographic-object;['polónia'];Polónia (iha polaku: Polska) maka rai repúblika iha centru Europa nian ho populasaun aprosimadamente tokon 38.
political-geographic-object;['vietname'];Vietname (iha vietnam: Cộng hòa Xã hội chủ nghĩa Việt Nam) ka rai Ázia nian.
political-geographic-object;['alemaña', 'alemana', 'alemanha', 'alemania', 'jermania', 'jermaña'];Alemaña (iha alemaun: Deutschland) maka rai repúblika federál (Bundesrepublik Deutschland) iha sentru Europa nian ho populasaun aprosimadamente tokon 82.
political-geographic-object;['ejitu'];Ejitu (iha arabi: مصر Miṣr) maka rai Áfrika nian.
political-geographic-object;['giana'];Giana (iha inglés: Guyana) maka rai Amérika Súl nian.
political-geographic-object;['suriname'];Suriname maka rai Amérika Súl nian.
political-geographic-object;['venezuela'];Venezuela (iha españól: Venezuela) maka rai Amérika Súl nian.
political-geographic-object;['índia', 'india'];Índia maka rai Ázia nian.
political-geographic-object;['itália'];Itália (iha italianu: Italia) maka rai Europa nian.
political-geographic-object;['xile'];Xile (iha españól: Chile) maka rai Amérika Súl nian.
political-geographic-object;['paraguai'];Paraguai (iha españól: Paraguay) maka rai Amérika Súl nian.
political-geographic-object;['mosambike', 'moçambique'];Mosambike (iha portugés: Moçambique) maka rai Áfrika nian.
political-geographic-object;['indonézia', 'indonesia'];Repúblika Indonézia maka rai boot iha Ázia Sudeste no Austrália leet.
political-geographic-object;['grésia', 'grécia'];Grésia (iha gregu: Ελλάδα) maka rai Europa nian.
political-geographic-object;['ukránia'];Ukránia maka rai Europa nian.
political-geographic-object;['méxiku'];Méxiku maka rai Amérika nian.
political-geographic-object;['arménia'];Arménia maka rai Ázia nian.
political-geographic-object;['irake'];Irake maka rai Ázia nian.
political-geographic-object;['koreia súl'];Koreia Súl ka rai Ázia nian.
political-geographic-object;['repúblika dominikana'];Repúblika Dominikana maka rai Amérika nian.
political-geographic-object;['gana', 'ghana'];Gana (iha inglés: Ghana) maka rai Áfrika nian.
political-geographic-object;['nijéria'];Nijéria maka rai Áfrika nian.
political-geographic-object;['giné-bisau', 'giné bisau', 'guiné-bissau', 'guiné bissau'];Giné-Bisau (iha portugés: Guiné-Bissau) maka rai Áfrika nian.
political-geographic-object;['fransa', 'frança'];Fransa (iha fransés: France) maka repúblika (République française) iha loromonu Europa nian ho populasaun aprosimadamente tokon 60.
political-geographic-object;['ekuadór'];Ekuadór (iha españól: Ecuador) maka rai Amérika Súl nian.
political-geographic-object;['irlanda'];Irlanda (iha irlandés: Éire, iha inglés: Ireland) maka rai Europa nian.
political-geographic-object;['maldivas'];Maldivas maka rai Ázia nian.
political-geographic-object;['salvadór'];Salvadór maka rai Amérika nian.
political-geographic-object;['filipinas'];Filipinas maka rai Ázia niam.
political-geographic-object;['suésia', 'sverige'];Suisa (iha sueku: Sverige) maka rai Europa nian.
political-geographic-object;['listenstaina', 'liechtenstein'];Listenstaina (iha alemaun: Liechtenstein) maka rai Europa nian.
political-geographic-object;['andorra'];Andorra (iha katalaun: Andorra) maka rai Europa nian.
political-geographic-object;['california'];California ne'e nasaun ida membru Estadus Unidus nian iha loromunu Estadus Unidus nian.
political-geographic-object;['omán'];Omán maka rai Ázia nian.
political-geographic-object;['saragosa', 'zaragoza'];Saragosa ne'e sidade kapitál Aragaun nian no provínsia Saragosa nian.
political-geographic-object;['kuwait'];Kuwait maka rai Ázia nian.
political-geographic-object;['jordánia'];Jordánia maka rai Ázia nian.
political-geographic-object;['líbanu'];Líbanu - rai iha Ázia.
political-geographic-object;['vatikanu', 'santa sé', 'vaticano'];Vatikanu (iha italianu: Città del Vaticano) maka rai Europa nian.
political-geographic-object;['krakóvia'];Krakóvia (iha polaku: Kraków, alemaun: Krakau) mak sai sidade iha Polónia.
political-geographic-object;['kabuverde', 'cabo verde', 'kabu verde'];Kabuverde (iha portugés: Cabo Verde) maka rai Áfrika nian.
political-geographic-object;['saun visente no granadinas'];Saun Visente no Granadinas maka rai Amérika nian.
political-geographic-object;['barein'];Barein maka rai Ázia nian.
political-geographic-object;['trindade no tobagu'];Trindade no Tobagu maka rai Amérika nian.
political-geographic-object;['izlándia'];Izlándia maka rai Europa nian.
political-geographic-object;['granada', 'grenada'];Granada maka rai Amérika nian.
political-geographic-object;['saun paulu', 'sâo paulo'];Saun Paulo mak sai sidade inan ba Brazíl.
political-geographic-object;['konsellu'];Konselllu (naran ne'ebé uza uluk iha otas koloniál portugés) ne'e nia signifikadu hanesan munisípiu (naran ne'ebé UNTAET uza) no atu hanesan munisípiu.
political-geographic-object;['lizboa', 'lisboa'];Lizboa (iha lia-portugés Lisboa) mak sai sidade kapitál ba Portugál.
political-geographic-object;['lima'];Lima mak sai sidade kapitál ba Perú.
political-geographic-object;['bogotá'];Bogotá ne'e sidade kapitál Kolómbia nian.
political-geographic-object;['jakarta'];Jakarta mak sai sidade kapitál ba Indonézia.
political-geographic-object;['roma'];Roma ne'e sidade kapitál ba Itália.
political-geographic-object;['beirute'];Beirute(Lia-árabi بيروت Bayrūt. Lia-fransés: Beyrouth) mak sai sidade kapitál be Líbanu.
political-geographic-object;['bukareste'];Bukareste (rom.: Bucureşti) mak sai sidade kapitál ba Roménia.
political-geographic-object;['berlín', 'berlim', 'berlin'];Berlín (iha alemaun: Berlin) ne'e sidade kapitál Alemaña nian.
political-geographic-object;['tailándia'];Tailándia maka rai Ázia nian.
political-geographic-object;['moskovu'];Moskovu ne'e sidade kapitál ba Rúsia.
political-geographic-object;['bahamas'];Bahamas maka rai Amérika nian.
political-geographic-object;['saun tomé no prínsipe', 's. tomé', 'são tomé', 'são tomé e príncipe'];Saun Tomé no Prínsipe (iha portugés: São Tomé e Príncipe) maka rai Áfrika nian.
political-geographic-object;['izraél'];Izraél - rai Ázia nian.
political-geographic-object;['chicago'];Chicago (iha lia-inglés: Chicago) ne'e sidade ida iha Estadu Naklibur Sira Amérika Nian, Illinois.
political-geographic-object;['eskósia'];Eskósia (Scotland, Alba, Caledonia) maka parte Reinu Naklibur.
political-geographic-object;['finlándia', 'finlandia', 'finlândia'];Finlándia (iha finlandés: Suomi, iha sueku: Finland) nu'udar nasaun nórdiku ne'ebe iha regiaun norte Europa.
political-geographic-object;['asunsaun', 'asunción'];Asunsaun mak sai sidade kapitál ba Paraguai.
political-geographic-object;['tirana'];Tirana (albanés: Tirana, Tiranë no Tirona) - ne'e sidade kapitál Albánia nian.
political-geographic-object;['luanda'];Luanda mak sai sidade kapitál ba Angola no provínsia Luanda nian.
political-geographic-object;['munike', 'munich', 'münchen'];Munike (iha alemaun: München) mak sai sidade inan ba Baviera Leten, inan ba Alemaña.
political-geographic-object;['santiagu'];Santiagu mak sai sidade kapitál ba Xile.
political-geographic-object;['londres'];Londres (iha inglés: London) mak sai sidade kapitál ba Reinu Naklibur.
political-geographic-object;['parís', 'paris'];París (ho fransés: Paris) ne'e sidade kapitál ba Fransa.
political-geographic-object;['reikiavike', 'reykjavìk'];Reikiavike ne'e sidade kapitál Izlándiana.
political-geographic-object;['tokio'];Tokio mak sai sidade kapitál ba Japaun, Populasaun ema 13,929,286.
political-geographic-object;['vaduz'];Vaduz mak sai sidade kapitál ba Listenstaina.
political-geographic-object;['vilnius'];Vilnius mak sai sidade kapitál ba Lituánia.
political-geographic-object;['maputu', 'maputo'];Maputu mak sai sidade kapitál ba Mosambike.Populasaun 1.094.315
political-geographic-object;['varsóvia'];Varsóvia (iha polaku: Warszawa) mak sai sidade kapitál ba Polónia.
political-geographic-object;['madríd'];Madríd (Lia-españól: Madrid) mak sai sidade kapitál ba España.
political-geographic-object;['estokolmu'];Estokolmu (iha sueku: Stockholm) ne'e sidade kapitál Suésia nian.
political-geographic-object;['montevideu', 'montevideo'];Montevideu mak sai sidade kapitál ba Uruguai.
political-geographic-object;['karakas', 'caracas'];Karakas (españól: Caracas) mak sai sidade kapitál ba Venezuela.
political-geographic-object;['kamberra', 'canberra'];Kamberra (inglés: Canberra) ne'e sidade kapitál ba Austrália.
political-geographic-object;['baku'];Baku (az.: Bakı) mak sai sidade kapitál ba Azerbaijaun
political-geographic-object;['brazília', 'brasília'];Brazília (port.: Brasília) - ne'e sidade kapitál Brazíl nian.
political-geographic-object;['praia'];Praia mak sai sidade kapitál ba Kabuverde.Populasaun 124.661
political-geographic-object;['milano'];Milano ne'e sidade ba Itália.
political-geographic-object;['palermo'];Palermo ne'e sidade ida iha Itália (Provínsia Palermo/Sicilia).
political-geographic-object;['ankara'];Ankara (Lia-turku: Ankara), mak sai sidade kapitál ba Turkia.
political-geographic-object;['valparaíso'];Valparaíso ne'e sidade Xile.
political-geographic-object;['rio de janeiru', 'rio de janeiro'];Riu de Janeiru - mak sai sidade kapitál estadu Riu de Janeiru nian, iha Brazíl.
political-geographic-object;['istanbul'];Istanbul (Lia-turku: İstanbul), mak sai sidade prinsipál ba Turkia.
political-geographic-object;['detroit'];Detroit (iha lia-inglés: Detroit) ne'e sidade ida iha Estadu Naklibur Sira Amérika Nian, Michigan.
political-geographic-object;['brazíl', 'brasil'];Brazíl (iha portugés: Brasil) maka rai Amérika Súl nian.
region;['złoty'];Złoty - ofisiál osan iha Polónia.
situation;['konstituisaun', 'lei-inan'];Konstituisaun — liafuan alternativu Lei-Inan.
socially-constructed-person;['leonardo da vinci'];Leonardo da Vinci, moris iha 15 fulan-Abril iha tinan 1452 iha Vinci, Itália no mate iha 2 fulan-Maiu 1519 iha Amboise, Fransa, mak sai pintór, arkitetu no inventór.
socially-constructed-person;['ronald reagan'];Ronald Wilson Reagan, moris iha loron 6 Fevereiru 1911 iha Tampico, mate 5 Juñu 2004 iha Los Angeles, maka prezidente Estadus Unidus nian, iha tinan 1981 to'o 1989.
socially-constructed-person;['gaius julius caesar'];Gaius Julius Caesar (moris 13 jullu 100 a.
spatial-feature;['jibraltár'];Jibraltár maka parte Reinu Naklibur.
spatial-feature;['kilimanjaru'];Kilimanjaru (Kilima Njaro iha lia-suaili) maka foho iha norte Tanzânia nian, besik rai-ketan Kénia, lokál ne'e aas liu Áfrika nian, ho 5.895 m altitude.
subject;['estatístika'];Dados Estatístika ne ' ebé halo planu kona-ba oinsá mak ne ' ebé estuda, halibur, halo analiza,interpreta, no halo apresentasaun ba dadus.
subject;['matemátika'];Mai ita sura iha lian tetun.
subject;['akarolojia'];Matéria ida iha grupu Zoolojia nia laran nebe buka matenek no fihir sientífiku kona ba mirain sira.
subject;['zoolojia'];Matéria ida iha grupu biolojia nia laran nebe buka matenek no fihir sientífiku kona ba balada (fuik ka maus).
subject;['definisaun sistema informasaun teknologia'];Definisaun komputador Komputador mak sasan ne’ebe ita uja halo dadus tu’uir prosedura ne'ebe formula ona.
subject;['kímika'];Kimika nudar siénsia ne'ebé estuda materia hot-hotu substansia no elemento kimiku.
subject;['herpetolojia'];Matéria ida iha grupu Zoolojia nia laran nebe buka matenek no fihir kona ba balada hanesan lafaek rai-maran sira nó manduko sira.
subject;['ornitolojia'];Matéria ida iha grupu Zoolojia nia laran nebe buka matenek no fihir sientífiku kona ba mano sira.
subject;['iktiolojia'];Matéria ida iha grupu Zoolojia nia laran nebe buka matenek no fihir sientífiku kona ba ikan sira.
subject;['entomolojia'];Matéria ida iha grupu Zoolojia nia laran nebe buka matenek no fihir sientífiku kona ba kutun sira.Liafuan Entomolojia mosu husi liafuan rua iha lian grego, liafuan entomon (‘kutun’) no liafuan λογος, -logy (‘estuda’ ka ‘siénsia’).
subject;['mamolojia', 'mastozoolojia'];Matéria ida iha grupu Zoolojia nia laran nebe buka matenek no fihir sientífiku kona ba balada nebe fo susu bem ba sira nia oan atu sai boot no hetan kbiit.Liafuan mamolojia mosu husi liafuan rua iha lian grego, liafuan masto-, (‘susun’) no liafuan λογος, -logy (‘estuda’ ka ‘siénsia’).Ema matenek harabat balada ho susun iha lubun ida naram mamíferu.
subject;['etolojia'];Matéria ida iha grupu Zoolojia nia laran nebe buka matenek no fihir sientífiku kona ba balada sira nia hahalok.Liafuan etolojia mosu husi liafuan rua iha lian grego, liafuan enthos ("hahalok") no liafuan -logy ("estuda" ka "siénsia").
subject;['psikolojia'];Psikolojia ne'e estudu komportamentu nian no funsaun mentál sira-nian.
subject;['paleozoolojia', 'paleozoologia'];Matéria ida iha grupu Zoolojia no Paleontolojia nia laran nebe buka no identifika balada sira antigu.
taxonomic-collective;['molusku', 'mollusca'];Bain bain ema matenek harabat molusku sira iha klase barak tuir sira nia morfolojia, anatomia no filojenétika.Tamba tinan tinan sientista sira manan koñesimentu filojenétiku, organizasaun ida-ne’e bele muda tuir matenek ne'ebé sira hetan.
temporal-region;['natál', 'natal'];Natál ka Loron Natál ne'e loron-boot ne'ebé akontese tinan ida dala ida hodi selebra moris Jezús Kristu nian.
temporal-region;['janeiru'];Janeiru fulan uluk iha tinan.
temporal-region;['janeiru'];Janeiru fulan uluk iha tinan.
temporal-region;['janeiru'];Janeiru fulan uluk iha tinan.
temporal-region;['dezembru'];Dezembru fulan ba dala sanulu-resin-rua (12) iha tinan, nune'e Dezembru fulan ikus iha tinan.
temporal-region;['dezembru'];Dezembru fulan ba dala sanulu-resin-rua (12) iha tinan, nune'e Dezembru fulan ikus iha tinan.
temporal-region;['maiu'];Maiu fulan kintu (5) iha tinan.
temporal-region;['setembru'];Setembru fulan ba dala sia (9) iha tinan.
temporal-region;['marsu'];Marsu fulan terseiru (3) iha tinan.
temporal-region;['fevereiru'];Fevereiru fulan rua iha tinan.
temporal-region;['agostu'];Agostu fulan ba dala ualu (8) iha tinan.
temporal-region;['jullu'];Jullu fulan ba dala hitu (7) iha tinan.
temporal-region;['abríl'];Abríl fulan kuartu (4) iha tinan.
temporal-region;['juñu'];Juñu fulan ba dala neen (9) iha tinan.
temporal-region;['novembru'];Novembru fulan ba dala sanulu-resin-ida (11) iha tinan.
temporal-region;['outubru'];Outubru fulan ba dala sanulu (10) iha tinan.
