activity;['gera'];Mafana'an gera maseha håfa na klåse dangkolo båggai.
political-geographic-object;['italia'];Italia, capitat Roma.
political-geographic-object;['chile'];Chile capitat Santiago
political-geographic-object;['indonesia'];Indonesia i tano' gi Hayan na Kattan Asia ya guiya mas dangkolo' na tano entre todu gi Hayan na Kattan Asia.
political-geographic-object;['meksiku'];Meksiku capitat Dangkulo na Meksiku.
political-geographic-object;['armenia'];Armenia, capitat Yerevan.
political-geographic-object;['filipinas'];filipinas eket syudad kerem manila
political-geographic-object;['andorra'];Andorra i tano' gi Europa capitat Andorra la Vieja.
political-geographic-object;['osaka'];Osaka, nasong-song gi Chapan.
political-geographic-object;['praga'];Praga, capitat Chekia.
political-geographic-object;['jerusalem'];Jerusalem, nasong-song gi Israel.
political-geographic-object;['moscow'];Moscow, capitat Russia.
political-geographic-object;['israel'];Israel i tano' gi Asia capitat Jerusalem
political-geographic-object;['finlandia'];Finlandia, capitat Helsinki.
political-geographic-object;['atlanta'];Atlanta, nasong-song gi Estados Unidos.
political-geographic-object;['boston'];Boston, nasong-song gi Estados Unidos.
political-geographic-object;['vienna'];Vienna, nasong-song gi Austria.
political-geographic-object;['santiago'];Santiago, capitat Chile.
political-geographic-object;['honolulu'];Honolulu, nasong-song gi Estados Unidos.
political-geographic-object;['tokyo'];Tokyo, nasong-song gi Chapan.
political-geographic-object;['madrid'];Madrid, capitat España.
political-geographic-object;['ankara'];Ankara, capitat Turkey.
political-geographic-object;['rio de janeiro'];Rio de Janeiro, nasong-song gi Brazil.
political-geographic-object;['new york city'];New York City, nasong-song gi Estados Unidos.
political-geographic-object;['philadelphia'];Philadelphia, nasong-song gi Estados Unidos.
political-geographic-object;['brazil'];Brazil capitat Brasília.
practice;['pås', 'pas'];Siña ha' pås i estådun håtmonia pat taisinilo'.
quality;['kulot lila'];Kulot lila.
quality;['åsut'];Åsut.
quality;['betde'];Betde.
quality;["á'paka"];Á'paka.
quality;['áttilong'];Áttilong.
quality;["agaga'"];Agaja'.
quality;['amariyu'];Amariyu.
social-relationship;['politika'];Politika i manera ni siña manmama'disision i taotao.
socially-constructed-person;['johann sebastian bach', 'bach', 'js bach'];Johann Sebastian Bach (Matso 21, 1685 - Hulio 28, 1750) un danderu åtmoniu yan tituge' musika ginen Alemaña.
socially-constructed-person;['ludwig van beethoven'];Ludwig van Beethoven (December 17, 1770 - Matso 26, 1827) un danderu åtmoniu yan tituge' musika ginen Alemaña.
socially-constructed-person;['frédéric chopin'];Frédéric Chopin (1810, Żelazowa Wola, Polaki - 1849, Paris, Francia), un danderu åtmoniu yan tituge' musika ginen Polaki.
socially-constructed-person;['richard wagner'];Richard Wagner (Måyu 22, 1813, Leipzig, Alemaña - 1883, Venezia, Italia), un danderu åtmoniu yan tituge' musika ginen Alemaña.
socially-constructed-person;['johannes brahms', 'brahms'];Johannes Brahms (1833, Hamburg, Alemaña - 1897, Vienna, Austria), un danderu åtmoniu yan tituge' musika ginen Alemaña.
socially-constructed-person;['leonardo da vinci', 'da vinci'];Leonardo di ser Piero da Vinci , (Abrit 15, 1452 – Måyu 2, 1519) taotao Italia ni sientista, matematiku, enhinieru, imbentadot, pintot, eskuttot, atkitektu, danderu, yan tituge' gue'.
socially-constructed-person;['joseph haydn'];Joseph Haydn (1732, Rohrau, Austria - 1809, Vienna, Austria), un danderu åtmoniu yan tituge' musika ginen Austria.
socially-constructed-person;['wolfgang amadeus mozart'];Wolfgang Amadeus Mozart (1756 - 1791) un danderu åtmoniu yan tituge' musika ginen Austria.
socially-constructed-person;['ronald reagan'];Ronald Wilson Reagan (1911-2004) fue 40th Presidente de Estados Unidos (1981-1989).
socially-constructed-person;['fetnando magallanes', 'ferdinand magellan', 'fetnando magaianes', 'magallanes'];Fetnando Magallanes (gi fino' Españót Fernando de Magallanes), Pottugés na nabegånte para i koronan Españót.
socially-constructed-person;['moises'];Si Moises (Hebreo:מֹשֶׁה. standard - Moshe. tiberianu - Mōšeh) un profeta gi mina'tresse na siklo ni marikonisa na guiya i primet na tituge' i Torah.
subject;['matematika', 'matematikas', 'math'];You got fucked matchs are not important enough in School use your technology classes to download fort nite and use code lazar in the itemshop.
subject;['ekonomia'];Seguirme soy gay to com saudade Stephanie uWu
subject;['bioloyia'];Bioloyia i siensan lina'la' yan todu ayu i lala'la', tatkomu tinanom, gå'ga', fungi (taiguihi påyun duendes) yan baktiria.
taxonomic-collective;['mangga', 'mangifera'];Mangga.
temporal-region;['nabidat', 'mavlud'];Nabidat i tano' Jesukristo gi fecha ni 25 Disiembre.
temporal-region;['damenggo'];Damenggo un dia ni ha setmana ni diha yan fecha siha.
temporal-region;['eneru'];Eneru i tano' primeru mes gi kalendario ni 31 diha.
temporal-region;['huebes'];Huebes i tano' diha gi setmana ni kalendario.
temporal-region;['eneru'];Eneru i tano' primeru mes gi kalendario ni 31 diha.
temporal-region;['eneru'];Eneru i tano' primeru mes gi kalendario ni 31 diha.
temporal-region;['metkoles'];Metkoles un terseru dia ni semana gi kalendario gregorianu diha yan fecha siha.
temporal-region;['disiembre'];Disiembre i tano' dodesimu mes gi kalendario ni 31 diha.
temporal-region;['disiembre'];Disiembre i tano' dodesimu mes gi kalendario ni 31 diha.
temporal-region;['måyu'];Måyu i tano' kintu mes gi kalendario ni 31 diha.
temporal-region;['septembre'];Septembre i tano' nobenu mes gi kalendario ni 30 diha.
temporal-region;['måtsu'];Måtsu i tano' terseru mes gi kalendario ni 31 diha.
temporal-region;['febreru'];Febreru i tano' segundu mes gi kalendario ni 28 gi 29 dia.
temporal-region;['ågosto'];Ågosto i tano' oktabu mes gi kalendario ni 31 diha.
temporal-region;['hulio'];Hulio i tano' settimu mes gi kalendario ni 31 diha.
temporal-region;['åbrit'];Åbrit i tano' kuårtu mes gi kalendario ni 30 diha.
temporal-region;['huño'];Huño i tano' sestu mes gi kalendario ni 30 diha.
temporal-region;['nobiembre'];Nobiembre i tano' undesimu mes gi kalendario ni 30 diha.
temporal-region;['oktubre'];Oktubre i tano' desimu mes gi kalendario ni 31 dia.
temporal-region;['såkkan'];Såkkan (pat åñu ginen fino'Españot) gi henerat fa'na'an i tiempo entre dos na susiadet ni umachetton yan i chalan-ña ni ha dibuetta gi atdao.
temporal-region;['lunes'];Lunes un primeru dia ni semana gi kalendario gregorianu diha yan fecha siha.
temporal-region;['såbadu'];Såbadu i tano' diha gi setmana ni kalendario.
temporal-region;['betnes'];Betnes un kintu dia ni semana gi kalendario grigorio diha yan fecha siha.
temporal-region;['måttes'];Måttes i tano' diha gi setmana ni kalendario.
temporal-region;['puengi'];I puengi i biåhi ngai'an asut yan attelong i langhet, yan puti'on siha fåtto sanhilo', an ni håfa i atdao.
