abstract-quality;['шәхси кемлек'];Мин төшенчәсе, Кемлек, Үзаң, Үзбәяләү һәм Үзбилгеләү төшенчәләре белән бутамагыз.
activity;['баш күтәрү', 'i̇nqıylab', 'баш күтәрүләр', 'баш күтәрүче', 'баш күтәрүчеләр', 'восстание', 'восстаниеләр', 'күтәрелеш', 'күтәрелешләр'];Баш күтәрү, кузгалыш, кораллы күтәрелеш — үз сыйнфый һәм милли мәнфәгатьләрен яклап, халыкның дәүләт хакимиятенә каршы кораллы күтәрелеше.
activity;['кар', 'qar'];Кар – ул кар кристаллары формасындагы каты явым-төшем, күбрәк салкын температурада барлыкка килә.
activity;['үлем җәзасы'];Үлем җәзасы — дәүләт керткән кануннарга һәм тиешле хөкем үз көченә кергән хәлдә яки башка дәүләт яки хәрби органнарының карары буенча җәза рәвешендә, кешенең гомерен бетерү.
activity;['панк-рок', 'панк рок'];Панк-рок (ингл.
activity;['чүкү'];Чүкү-«ковать, работать молотком. коротко ударить молотком или подобным металлическим предметом» > мар.
activity;['ак һәм ал гөлчәчәге сугышы', 'al häm aq rozalar suğışı', 'aq häm al gölçäçäge suğışı', 'ал һәм ак розалар сугышы'];Ак һәм Ал гөлчәчәге сугышы — 1455—1485 елларда Плантагенет—Ланкастерлар һәм Йорк нәселләреннән инглиз аксөякләре арасындагы хәкимият кемнең кулында булырга тиешлегенә багышланган хәрби низаглар сериясе.
activity;['сугару', 'suğaru'];Сугару — туфракның уңдырышлыгын күтәрү өчен басуларга каналлар, арыклар һ.
activity;['фәнни тикшеренү', 'fänni tikşerenü', 'tikşerenü', 'тикшеренү'];Тикшеренү - билгеле яки яңа белемне систематик өйрәнү процессы.
activity;['кинематограф', 'синематограф', 'kinematograf', 'kino', 'кина', 'кинематография', 'кино'];Кинемато́граф
activity;['җитештерү', 'citeşterü'];Җитештерү - махсус кораллар ярдәмендә куллану яки сату максаты өчен әйберләне булдыру процессы.
activity;['трамплиннан сикерү'];Трамплиннан сикерү
activity;['академик ишкәк ишү', 'aqädemik işkäk işü'];Академик ишкәк ишү — спорт тарихында иң борынгы спорт төрләренең берсе.
activity;['йөзү'];Йөзү — иң массакүләм һәм популяр спорт төрләренең берсе.
activity;['фотография'];Фотография
activity;['бизнес', 'тиҗари ширкәт'];Бизнес
activity;['рельссыз транспорт'];Рельссыз транспорт – рельс юлларын файдалынмаган коры җир транспорты.
activity;['театр', 'драматургия', 'тиятыр', 'teatr', 'рәкысханә'];Драматургия - драматик әсәрне кую теориясе һәм сәнгате.
activity;['театр', 'драматургия', 'тиятыр', 'teatr', 'рәкысханә'];Теа́тр, рәкысханә (грек.
activity;['шалон-ан-шампань'];Шалон-ан-Шампань
activity;['босворт сугышы', 'bosvort suğışı'];Босворт сугышы — "Ак һәм Ал гөлчәчәге"нең соңгы сугышы.
activity;['ун әмер', 'ун әмерлар'];Ун әмер — христианлыктагы төп әмерләр.
activity;['туризм', 'туристлык', 'turizm'];Тури́зм — кешеләрнең даими яшәү урыннарыннан бер ел эчендә 24 сәгатьтән алып 6 айга кадәр вакыт эчендә яки күңел ачу, савыктыргыч, спорт, кунак, дини ният белән яки җирле чыганактан түләнмәгән берәр эш белән шөгыльләнү нияте белән бердән дә ким түгел төн куну дәверендә башка илгә яки җиргә чыгулары.
activity;['октябрь инкыйлабы', 'бөек октябрь инкыйлабы', 'русия инкыйлабы', 'бөек октябрь революциясе', 'октябрь революциясе', 'октябрь түнтәрелеше', "böyek oktyäbr' inqıylabı", 'böyek oktäber inqıylabı', 'böyek oktäber i̇nqıylabı', 'böyek oktäber revolütsiäse', 'böyek oktäber sotsialistik revolütsiäse', 'oktäber inqıylabı', 'бөек октябрь социалистик революциясе', 'октябрь кораллы восстаниесе', 'октәбер инкыйлабы', 'октәбер кораллы восстаниесе', 'октәбер революциясе', 'октәбер түнтәрелеше'];Бөек Октя́брь инкыйлабы – 1917 елда Россиядә булып узган ХХ гасырда иң зур сәяси вакыйгаларның берсе, Дөнья тарихына зур йогынты ясаган.
activity;['sänğät', 'сәнгать'];Sänğät — çınbarlıqnı sınlı taswirlarğa çağıldıru eşe, eçke häm tışqı dönyanı avtor häm başqa keşelär mänfäğätendä, icadi eştä kürsätü.
activity;['умартачылык'];Умартачылык — бал, балавыз һәм башка умартачылык продуктларын алу, үсемлекләрне серкәләндерү максатыннан, бал кортларын үрчетү белән шөгылләнүче авыл хуҗалыгы тармагы.
activity;['бакчачылык', 'үсемлекчелек', 'җиләкчелек', 'baqçaçılıq'];Үсемлекчелек — культуралы үсемлекләрне азык-төлектә куллану өчен үстерү белән шөгыльләнүче авыл хуҗалыгы тармагы.
activity;['бакчачылык', 'үсемлекчелек', 'җиләкчелек', 'baqçaçılıq'];Бакчачылык — үсемлекчелекнең җиләк-җимеш яки өй гөлләре үстерү белән шөгелләнүче тармагы.
activity;['sänäğätläşterü', 'сәнәгатьләштерү'];Sänäğätläşterü (lat.
activity;['тау вәгазе'];Тау вәгазе - Гайсә Мәсихнең тау башында 30 елда сөйләгән нәсыйхәт сүзләренең җыелмасы.
activity;['yarlıqaw', 'amnistiä', 'амнистия', 'ярлыкау'];Yarlıqaw yä Amnistiä - däwlät organı qararı buyınça cinäyätçene cäzadan tulısınça yä öleşçä azat itelü, cäzanı yomşartu yä tuqtatu.
activity;['аерылышу', 'ayırılışu'];Аерылышу́ - өйләнешеп яшәүче гаиләләрнең никахны гамәлдән чыгару нәтиҗәсендә таркалу процессы.
activity;['һава торышы', 'көн', 'һава'];Һава торышы - теләсә нинди урыннын хәзерге вакыттагы атмосфера халәте.
activity;['акш президенты', 'aqş prezidentı'];Америка Кушма Штатлары президенты
activity;['җитештерү', 'citeşterü'];Җитештерү - махсус кораллар ярдәмендә куллану яки сату максаты өчен әйберләне булдыру процессы.
activity;['инкыйлаб', 'inqıylab', 'revolütsiä', 'революция'];Инкыйлаб
activity;['чәй', 'çäy'];Чәй (кыт.
activity;['мәгариф', 'уку-укыту', 'mäğärif', 'белем бирү'];Мәгариф — оештырылган мәгърифәтчелек эшчәнлеге.
activity;['журналистика', 'jurnalistika'];Журналистика - журналистлар һәм башкалар тарафыннан җәмгыять өчен әһәммиятлелеген ташыган агымдагы вакыйгалар турында язылган, визуаль яки аудиаль килеш әзерләнгән материаллар һәм аны җәмгыяви мәгълүмат чаралары аркылы тарату эшчәнлеге.
activity;['февраль инкыйлабы', 'февраль революциясе'];1917 елгы Февраль инкыйлабы шулай ук Февраль буржуаз-демократик инкыйлабы, Февраль түнтәрелеше (рус.
activity;['бөек француз инкыйлабы', 'бөек франсуз инкыйлабы', 'böyek frantsuz inqıylabı', 'berençe frantsuz inqıylabı', 'böyek frantsuz revolütsiäse', 'fransiä inqıylabı', 'беренче француз инкыйлабы', 'бөек француз революциясе', 'француз инкыйлабы', 'француз революциясе'];Бөек францу́з инкыйлабы (фр.
activity;['акш бәйсезлеге өчен сугыш', 'aqş bäysezlege öçen suğış', 'aqşnıñ bäysezlege öçen suğış', 'акшның бәйсезлеге өчен сугыш'];АКШ бәйсезлеге өчен сугыш (ингл.
activity;['кәсеп'];Кәсеп, һөнәрчелек, гамәли сәнгать - кул хезмәте белән эшләнә торган кечкенә җитештерү, гадәттә шәхси һөнәрче йортында эшләнелә.
activity;['почта', 'пучты'];Почта
activity;['lend-liz', 'ленд-лиз'];Lend-liz - AQŞ däwlät programması, anıñ buyınça AQŞ İkençe Bötendönya suğışında üz soyuzdaşlarına qorallar, texnika, strategik çimal, şul isäptän neft produktları, suğış kiräk-yaraqları tapşıra.
activity;['çanaqqala bäreleşe', 'dardanell operatsiäse', 'gallipoli bäreleşe', 'чанаккала бәрелеше'];Çanaqqala bäreleşe yäki Gallipoli bäreleşe yäki Dardanell operatsiäse — Berençe Bötendönya suğışında 1915-1916 yıllarda bulğan xärbi operatsiä: Winston Çerçill niäte buyınça Antanta illäre, ayıruça Britan imperiäse Törkiä başqalası Stambul şähären basıp alırğa uñışsız tırışa.
activity;['сугыш', 'suğış'];Экстремаль агрессия, җәмгыяви тотрыксызлык, һем гадәттү бик югары үлем саны белән билгеләнгән дәүләтләр, милләтләр, яки башка яклар арасындагы оештырылган, кораллы, һәм еш озын мөддәт дәвам иткән низаг сугыш дип атала.
activity;['fizioterapiä', 'физиотерапия'];Fizioterapiä, klinik meditsina ölkäse, keşe organizmına tabiği häm yasalma fizik faktorlarnıñ däwalaw tä'siren öyränä, şulay uq awırularnı däwalaw häm buldırmaw, bu faktorlarnı qullanu ısulların eşli.
activity;['акш ватандашлар сугышы', 'акш гражданнар сугышы', 'amerika watandaşlar suğışı', 'aqş watandaşlar suğışı', 'aqşta grajdannar suğışı', 'акшта гражданнар сугышы', 'америка ватандашлар сугышы', 'америка гражданнар сугышы'];АКШ ватандашлар сугышы
activity;['аллитерация'];Калып:Dead end Аллитерация - шигырь төзелешендә әсәр яңгырашының аһәңлелеген көчәйтү өчен, бер төрле тартык авазларны еш кабатлау юлы белән ясалган алым.
activity;['мази'];Мази — Италиянең Венето төбәгендә урнашкан коммуна.
activity;['рус-япон сугышы', 'рус-япун сугышы', 'русия-япония сугышы'];Рус-япон сугышы (яп.
activity;['яңгыр', 'yañğır'];Яңгы́р — болытлардан су тамчылары булып ява торган атмосфера төшеме.
activity;['гыйбадәт'];Гыйбадәт (гарәп.
agentive-figure;['orfey', 'орфей'];Orfey (bor.
agentive-figure;['воланд'];Воланд - Михаил Булгаковның Мастер һәм Маргарита романында персонаж.
agentive-figure;['колхоз', 'колхозлар', 'күмхуҗ', 'күмәк хуҗалык', 'күмәк хуҗалыклар', 'kolxoz', 'колхозчы'];Күмхуҗ яки рус алынмасы Колхо́з — Cəʙᴎт Социалистик Җɵᴍhүpᴎᴙтләр Беpᴫеᴦеда таралган күмәк икътисади системасының авыл хуҗалыгы тармагы оешмаларының бер төре.
agentive-figure;['алман империясе', 'герман империясе', 'икенче рейх', 'alman imperiäse'];Алман империясе - (алман.
agentive-figure;['такым', 'төркем', 'команда', 'груһ'];Такым — уртак максат белән берләштерелгән кешеләр яки хайваннар төркеме.
agentive-figure;['аждаһа', 'acdaha', 'ajdaha'];Аждаһа яки ләү — күпчелек очракта елансыман мифик зат.
agentive-figure;['бенилюкс', 'bénélux', 'benelüks', 'benilüks', 'бенелюкс'];Көнбатыш Аурупадагы өч монархияне үз эченә алучы икътисади берләшмә.
agentive-figure;['шерлок холмс', 'шерлок һолмс', 'sherlock holmes'];Шерлок Холмс (инг.
agentive-figure;['банк', 'банык', 'bank', 'баңк'];Банк (итал.
agentive-figure;['җирдән читтәге тереклек', 'бүтән планеталар тормышы', 'җирдән читтәге тормыш'];Җирдән читтәге тереклек — Җирдән тыш хасил булган фараз ителүче тереклек формасы.
agentive-figure;['üzäk bank', 'үзәк банк', 'үзәк баңк', 'үзәк банкы'];Üzäk bank - il yäki illär törkeme kredit sistemasın tärtipkä salu töp organı.
agentive-figure;['шактизм'];Шактизм
agentive-figure;['шиваизм'];Шиваи́зм яки шайви́зм, санскр.
agentive-figure;['diwan', 'divan', 'диван'];Diwan — qayber İslam däwlätlärendä yuğarı başqarma häm qanunnar çığara torğan xakimiät organı häm şuşı organnıñ citäkçese ataması.
agentive-figure;['бөекбританиянең лейбористлар фиркасе', 'böyekbritaniäneñ leyboristlar firqäse', 'leyboristlar firqäse'];Бөекбританиянең Лейбористлар фиркасе (инг.
agentive-figure;['дәүләт', 'суверен дәүләт', 'милләт', 'ил', 'штат', 'däwlät', 'suveren däwlät'];Дәүлә́т – гомуми иҗтимагый, мәдәни мәнфәгатьләр ярдәмендә берләшкән җәмгыятьнең эчке һәм тышкы суверенитетка, идарә һәм куркынычсызлык системасына һәм билгеле бер территориягә ия булган махсус оешмасы.
agentive-figure;['дәүләт', 'суверен дәүләт', 'милләт', 'ил', 'штат', 'däwlät', 'suveren däwlät'];Суверен дәүләт — даими халкы һәм хөкүмәте булган, билгеле бер территория өстендә үз эчке һәм тышкы суверенитетны билгеләүче дәүләт.
agentive-figure;['балалар бакчасы', 'balalar baqçası'];Балалар бакчасы балалар өчен мәктәпкәчә белем бирү оешмасы.
agentive-figure;['һөнәри училище', 'һөнәри-техника укуханәсе', 'укуханә', 'училище'];Һөнәри училище — Русия һәм элеккеге ССРБ илләрендә урта профессиональ белем бирә торган, квалификияле эшчеләр әзерләүче уку йорты.
agentive-figure;['шәһәр-дәүләт'];Шәһәр-дәүләт – бәйсез дәүләт булган, шәһәр белән идарә ителгән кечкенә регион.
agentive-figure;['bişençe kolonna', 'бишенче колонна'];Bişençe kolonna — İspaniä Watandaşlar suğışında İspaniä Cömhüriätendä eş itkän Franko yaqlı agenturanıñ iseme.
agentive-figure;['federativ däwlät', 'федератив дәүләт', 'федерация', 'federatsiä'];Federativ däwlät yä Federatsiä - däwlät tözeleşeneñ töre, federativ däwlätneñ öleşläre däwlät üzleklärenä xas, yuridik mäğnädä bilgelängän säyäsi möstäqilekkä iä bula.
agentive-figure;['bötendönya bankı', 'бөтендөнья банкы', 'халыкара реконструкция һәм үсеш банкы', 'халыкара банк'];Bötendönya bankı — üseştäge illärgä texnik häm finans yärdäm itü maqsatınnan buldırılğan xalıqara finans oyışma.
agentive-figure;['бөтендөнья сәламәтлек оешмасы', 'bso', 'bötendönya sälamätlek oyışması', 'bötendönya sälamätlek saqlaw oyışması', 'bötendönya sälämätlek oyışması', 'voz', 'бсо', 'бөтендөнья сәламәтлек саклау оешмасы', 'воз'];Бөтендөнья сәламәтлек оешмасы - Берләшкән Милләтләр Оешмасының халыкара җәмгыять сәламәтлеге мәсьәләләре буенча эшчәнлеген алып баручы махсус халыкара оешмасы.
agentive-figure;['xalıqara valüta fondı', 'халыкара валюта фонды'];Xalıqara valüta fondı, XVF — BMOnıñ maxsus oyışması, AQŞ başqalası Waşington şähärendä urnaşqan.
agentive-figure;['мәгариф, фән һәм мәдәният сораулары буенча берләшкән милләтләр оешмасы', 'мәгариф', 'unesco', 'юнеско', 'bmo mäğärif, fän häm mädäniät oyışması', 'yunesko', 'бмо мәгариф, фән һәм мәдәният оешмасы'];ЮНЕСКО — Мәгариф, фән һәм мәдәният сораулары буенча Берләшкән Милләтләр Оешмасы.
agentive-figure;['бәйсез дәүләтләр берлеге', 'bdb', 'bäysez däwlälär bergälege', 'bäysez däwlätlär bergälege', 'bäysez däwlätlär berlege', 'бдб', 'снг'];Бәйсез Дәүләтләр Берлеге яки БДБ (рус.
agentive-figure;['милләтләр дуслыгы', 'britan duslığı', 'millätlär duslığı', 'британ дуслыгы', 'миләтләр дуслыгы'];Милләтләр Дуслыгы (ингл.
agentive-figure;['таможня берлеге', 'tamojnya berlege', 'tamğaxanä berlege', 'тамгаханә берлеге'];Таможня берлеге - ике һәм аннан да күбрәк илләр арасында үзара сәүдәдә таможня салымнарын юкка чыгару турында килешү, күмәк сәүдәне башка илләрдән яклау формасы.
agentive-figure;['nasa', 'ğälämi fäzanı tikşerenü häm hawada oçu buyınça milli idärä', 'наса'];NASA yäki Ğälämi fäzanı tikşerenü häm hawada oçu buyınça Milli idärä — AQŞ federal' xökümätenä buysınğan idärä tarmağı, AQŞ vitse-prezidentına turı buysına.
agentive-figure;['үзәк күзләү идарәсе', 'үки', 'үки акш', 'üzäk küzläw i̇däräse'];Үзәк күзләү идарәсе - (ҮКИ, ингл.
agentive-figure;['төньяк атлантик килешү оешмасы', 'nato', 'tönyaq atlantik kileşü oyışması', 'нато', 'тако'];Төньяк Атлантик килешү оешмасы, НА́ТО, Төньяк-Атлантик Альянс (ингл.
agentive-figure;['аурупа берлеге', 'awrupa berlege', 'awroberlek', 'awrupı berlege', '🇪🇺', 'ab', 'аб', 'европа берлеге'];Бу мәкаләнең латин әлифбасындагы игезәге бар.
agentive-figure;['гарәп лигасы', 'гарәп дәүләтләре лигасы'];Гарәп Лигасы (гарәп.
agentive-figure;['xalıqara qızıl xaç häm yarımay xäräkäte', 'xalıqara qızıl xaç häm yarım ay xäräkäte', 'халыкара кызыл тәре һәм кызыл ярымай хәрәкәте', 'халыкара кызыл хач һәм кызыл ярымай хәрәкәте'];Xalıqara Qızıl Xaç ham Qızıl Yarımay xäräkäte — 1863 yılda oyıştırılğan böten dönyada 100 million xezmätkär häm irekmänne berläştergän xalıqara ictimaği eşmäkärlek.
agentive-figure;['neft çitkä çığaruçı illär oyışması', 'opec', 'опек'];Neft çitkä çığaruçı illär oyışması - neft çığaruçı illär tarafınnan neft bäyälären stabil xäldä saqlaw maqsatınnan buldırılğan xalıqara, xökümätara oyışma.
agentive-figure;['берләшкән милләтләр оешмасы', 'berläşkän millätlär oyışması', 'bmo', 'бмо', 'оон'];Берләшкән Милләтләр Оешмасы, БМО
agentive-figure;['армия', 'гаскәр', 'чирү', 'armiä'];Армия
agentive-figure;['сәяси фиркаләр', 'сәяси фирка', 'фирка', 'партия', 'säyäsi firqä', 'сәяси партия', 'сәяси партияләр'];Сәяси фирка яки Сәяси партия – уртак сәяси программасына таянучы, үз президентын куеп һәм үз хөкүмәтен төзеп, законлы юл белән хакимияткә килергә омтылучы бердәм кешеләр төркеме.
agentive-figure;['katolik çirkäw', 'католик чиркәве', 'католик чиркәү'];Katolik çirkäw yäki Rim-katolik çirkäwe, Roma katolik çirkäwe — dönyadağı iñ zur Xristian Çirkäwe, äğzalar sanı 1,25 mlrd keşe.
agentive-figure;['алай', 'polk', 'полк'];Алай яки полк — барча кораллы көчләренең һәр гаскәр төрендә һәм махсус гаскәрләрдәге хәрби өлеш.
agentive-figure;['урыс православ чиркәве', 'урыс праваслау чиркәве', 'рус православ чиркәве', 'рус православие чиркәве', 'урыс православие чиркәве'];Рус Православ Чиркәве
agentive-figure;['иман', 'i̇man', 'дин', 'ышанучы', 'мөъмин', 'iman', 'иманлы', 'din', 'íman'];Има́н (гарәп.
agentive-figure;['иман', 'i̇man', 'дин', 'ышанучы', 'мөъмин', 'iman', 'иманлы', 'din', 'íman'];Дин - татар теленә гарәп.
agentive-figure;['иман', 'i̇man', 'дин', 'ышанучы', 'мөъмин', 'iman', 'иманлы', 'din', 'íman'];Bu mäqäläneñ kirill älifbasındağı igezäge bar.
agentive-figure;['yähüd dine', 'i̇udaizm', 'yähüdi', 'yähüdilek', 'yəhüd dine'];Bu mäqäläneñ kirill älifbasındağı igezäge bar.Yähüd dine, berallalıqqa nigezlängän iñ borınğı dinnärneñ berse, MA 1.
agentive-figure;['ислам', 'íslam', 'мөселманлык', 'möselman', 'ислам дине', 'мөселман дине'];Бу мәкаләнең латин әлифбасындагы игезәге бар.
