abstract-region;['iolraí', 'il'];Sa matamaitic
agentive-figure;['páirtí poblachtach', 'páirtí poblachtach stáit aontaithe mheiriceá', 'páirtí poblachtach stát aontaithe mheiriceá', 'an páirtí poblachtach', 'an páirtí poblachtánach', 'páirtí poblachtánach', 'gop', 'poblachtach páirtí'];Páirtí polaitíochta sna Stáit Aontaithe
agentive-physical-object;['cliant', 'nód', 'cliaint bogearraí', 'cliant bogearraí'];bogearra nó crua-earra a bhaineann úsáid as seirbhís ar fhreastalaí
agentive-physical-object;['percina tanasi', 'darter seilide'];Speiceas iasc
agentive-physical-object;['trachurus symmetricus', 'jack ronnach'];speiceas iasc
agentive-physical-object;['chamaeleo africanus', 'chamaeleo chamaeleon', 'hafraice chameleon'];Speiceas reiptílí
agentive-physical-object;['urosaurus ornatus', 'laghairt chrainn'];speiceas reiptílí
agentive-physical-object;['oenothera biennis', 'coinneal oíche', 'ola sabhaircín tráthnóna', 'rampion gearmáinis', 'sabhaircín tráthnóna coitianta'];Speiceas plandaí
agentive-physical-object;['colobus guereza', 'guereza', 'guereza mantled'];Speiceas mamach
agentive-physical-object;['lacerta agilis', 'lizard gaineamh'];Speiceas reiptílí
agentive-physical-object;['lacerta viridis', 'laghairt glas'];Speiceas reiptílí
agentive-physical-object;['glasán gobmhór', 'hawfinch', 'coccothraustes coccothraustes'];Speiceas éan
agentive-physical-object;['ae abhann', 'marchantia polymorpha'];Speiceas aelusanna
agentive-physical-object;['cosdeargán', 'cailleach bhreac', 'laidhrín trá', 'mónóg thrá', 'tringa totanus'];speiceas éan
agentive-physical-object;['riabhóg mhóna', 'banaltra na cuaiche', 'caológ', 'coimhdire na cuaiche', 'fuiseog mhóna', 'giolla na cuaiche', 'riabhóg', 'anthus pratensis', 'pipit meadow', 'pipit móinéar'];Speiceas éan
agentive-physical-object;['woodsia ilvensis', 'oblong woodsia', 'rusty woodsia', 'woodsia cumhra'];Speiceas plandaí
agentive-physical-object;['rana temporaria', 'frog coitianta', 'frog féar'];Speiceas amfaibiach
agentive-physical-object;['pomoxis nigromaculatus', 'dubh crappie'];speiceas iasc
agentive-physical-object;['pomoxis annularis', 'bán crappie'];speiceas iasc
agentive-physical-object;['éanlaith clóis', 'galloanserae', 'éanlaith', 'éanlaith chlóis', 'cearc', 'coileach', 'éan', 'galloanseres'];Forord éan
agentive-physical-object;['dabhaitséar gobfhada', 'dearg-breasted snipe', 'limnodromus scolopaceus'];Speiceas éan
agentive-physical-object;['sillago bassensis', 'airgead faoitín', 'menticirrhus littoralis'];Speiceas iasc
agentive-physical-object;['pyrrhocorax', 'cág cosdearg', 'cabhóg', 'cailleach bhreac', 'préachán coise deirge'];Géineas éan
agentive-physical-object;['gearg bhabaight', 'gearg thuaisceartach', 'bobwhite quail', 'colinus virginianus', 'thuaidh bobwhite', 'tuaisceart bobwhite'];Speiceas éan
agentive-physical-object;['sceptridium', 'fíonchaor raithneach'];géineas plandaí
agentive-physical-object;['faoitín', 'glasán', 'gadus merlangus', 'merlangius merlangus', 'merlangus merlangus'];Speiceas iasc
agentive-physical-object;['salmonella enterica subsp. enterica', 'salmonella enterica subsp. enterica serovar typhimurium', 'salmonella typhimuriuim', 'enteritidis salmonella', 'bacillus gartner ar'];Speiceas baictéar
agentive-physical-object;['eptatretus', 'eptatretus ghéineas'];Géineas cordach
agentive-physical-object;['escherichia'];Géineas baictéar
agentive-physical-object;['sceloporus graciosus', 'laghairt sagebrush', 'lizard sagebrush'];Speiceas reiptílí
agentive-physical-object;['arctocebus', 'angwantibo', 'arctocebus calabarensis', 'órga potto'];Géineas mamach
agentive-physical-object;['squilla', 'mantis cloicheán'];géineas crústach
agentive-physical-object;['hermissenda crassicornis'];Speiceas moileasc
agentive-physical-object;['tyrannus vociferans', 'kingbird cassin an', 'kingbird cassin ar', 'vociferans tyrannus'];Speiceas éan
agentive-physical-object;['rí-éan iartharach', 'tyrannus verticalis', 'an iarthair kingbird', 'arkansas kingbird'];Speiceas éan
agentive-physical-object;['rí-éan oirthearach', 'tyrannus tyrannus', 'oirthir kingbird', 'thoir kingbird'];Speiceas éan
agentive-physical-object;['tyrannus dominicensis', 'gray kingbird', 'liath kingbird', 'petchary', 'tyrannus domenicensis domenicensis'];Speiceas éan
agentive-physical-object;['athyrium distentifolium', 'alpach bhean raithneach'];Speiceas plandaí
agentive-physical-object;['micropterus salmoides', 'salmoides micropterus', 'bass béal mór', 'bass dubh largemouthed', 'bass largemouth', 'bass largemouthed', 'largemouth', 'largemouth dubh bass', 'mór-béal bass'];speiceas iasc
agentive-physical-object;['turbard', 'psetta maxima'];Speiceas iasc
agentive-physical-object;['ictalurus furcatus', 'cat gorm', 'cat cainéal gorm'];Speiceas iasc
agentive-physical-object;['eubacterium', 'eubacteria', 'baictéir fíor'];géineas baictéar
agentive-physical-object;['ainmhí', 'ainmhithe', 'animalia', 'metazoa', 'animal', 'beithíoch', 'míol', 'brúid', 'brúta', 'béist', 'créatúr', 'dúil', 'feithid', 'bheochan a bheith', 'creature', 'epifauna', 'epifaunal', 'fána', 'infauna', 'macrofauna', 'metazoans'];Orgánaigh eocarótacha ilcheallacha
agentive-physical-object;['planda', 'plantae', 'bláth', 'bláthanna', 'ríocht na bplandaí', 'fás', 'luibh', 'lus', 'floras', 'flóra', 'plandaí', 'saoil plandaí', 'speiceas plandaí'];eocarót ilcheallach i ríocht Plantae
agentive-physical-object;['ríomhaire', 'ríomhaire digiteach', 'ríomhaire leictreonach', 'compútar', 'córais ríomhaireachta', 'córas próiseála faisnéise', 'feiste ríomhaireachta', 'meaisín ríomhaireachta', 'próiseálaí sonraí', 'ríomhaire cuspóir ginearálta', 'ríomhaireachta digiteach', 'ríomhairí', 'ríomhairí digiteacha', 'teicneolaíocht ríomhaire'];meaisín leictreonach a dhéanann tascanna loighciúla
agentive-physical-object;['lithobates palustris', 'rana palustris', 'pickerel frog', 'palustris rana'];speiceas amfaibiach
agentive-physical-object;['mórfhuiseog léana', 'oirthir meadowlark', 'sturnella magna', 'thoir meadowlark'];Speiceas éan
agentive-physical-object;['fuiseog léana', 'an iarthair meadowlark', 'sturnella neglecta'];Speiceas éan
agentive-physical-object;['tarbhsiorc', 'carcharhinus leucas', 'cub siorc', 'siorc tarbh', 'siorcanna tarbh', 'tarbh siorc'];Speiceas iasc
agentive-physical-object;['fungas', 'fungi', 'fungais', 'fungus'];Ríocht orgánach
agentive-physical-object;['agrimonia', 'agrimony', 'airgeadán', 'marbhdhraighean'];géineas plandaí
agentive-physical-object;['kniphofia', 'tritoma'];Géineas plandaí
agentive-physical-object;['caorthann corraigh', 'caorthann', 'valerian', 'common valerian'];Speiceas plandaí
agentive-physical-object;['difflugia'];Géineas Tubulinea
agentive-physical-object;['hippoglossus stenolepis', 'an taigéan ciúin haileabó', 'ciúin haileabó', 'hippoglossus stenolepsis'];Speiceas iasc
agentive-physical-object;['cuán mara coiteann', 'echinus esculentus', 'inite farraige urchin'];Speiceas eicínideirmeach
agentive-physical-object;['bradypus tridactylus', 'bradypodidae', 'bradypus', 'bradypus torquatus', 'trí-toed sloth'];Speiceas mamach
agentive-physical-object;['bradypus tridactylus', 'bradypodidae', 'bradypus', 'bradypus torquatus', 'trí-toed sloth'];Géineas mamach
agentive-physical-object;['bradypus tridactylus', 'bradypodidae', 'bradypus', 'bradypus torquatus', 'trí-toed sloth'];Speiceas mamach
agentive-physical-object;['nathair vípéarach', 'natrix maura', 'nathair féar viperine'];Speiceas reiptílí
agentive-physical-object;['spirula spirula', 'spirula', 'spirula peronii'];Speiceas ainmhithe
agentive-physical-object;['tympanuchus pallidicinctus', 'níos lú prairie sicín'];Speiceas éan
agentive-physical-object;['scomberomorus sierra', 'aigéin chiúin sierra'];Speiceas iasc
agentive-physical-object;['nephrolepis exaltata', 'boston raithneach', 'nephrolepis exaltata bostoniensis'];Speiceas plandaí
agentive-physical-object;['taipir bhrasaíleach', 'domhan nua tapir', 'tapir brasaíle', 'tapirus terrestris', 'terrestris'];Speiceas mamach
agentive-physical-object;['thyrsopteris', 'thyrsopteris elegans', 'elegans thyrsopteris'];géineas plandaí
agentive-physical-object;['neomys anomalus', 'deiscirt uisce fhraoigh', 'meánmhara uisce dallóg'];Speiceas mamach
agentive-physical-object;['anaxyrus mexicanus', 'anaxyrus microscaphus', 'bufo mexicanus', 'bufo microscaphus', 'thiar theas buaf'];Speiceas amfaibiach
agentive-physical-object;['anaxyrus mexicanus', 'anaxyrus microscaphus', 'bufo mexicanus', 'bufo microscaphus', 'thiar theas buaf'];speiceas amfaibiach
agentive-physical-object;['alabatras cosdubh', 'dubh-footed albatras', 'gooney', 'gooney éan', 'goonie', 'goony', 'nigripes diomedea'];Speiceas éan
agentive-physical-object;['taxidea taxus', 'meiriceánach broc'];speiceas mamach
agentive-physical-object;['canadensis castor', 'domhan nua bébhar'];Speiceas mamach
agentive-physical-object;['micropterus dolomieu', 'bass béal beag', 'bass dubh smallmouthed', 'bass smallmouthed', 'smallmouth', 'smallmouth bass', 'smallmouth dubh bass'];Speiceas iasc
agentive-physical-object;['galeopterus variegatus', 'variegatus cynocephalus'];speiceas mamach
agentive-physical-object;['cynopterus sphinx', 'sphinx cynopterus'];Speiceas mamach
agentive-physical-object;['cricetus cricetus', 'eurasian hamster'];Speiceas mamach
agentive-physical-object;['drymarchon couperi', 'drymarchon corais couperi', 'thoir indigo nathair'];speiceas reiptílí
agentive-physical-object;['jaculus jaculus'];Speiceas mamach
agentive-physical-object;['phyllostomus hastatus'];Speiceas mamach
agentive-physical-object;['foracha ghobghearr', 'tiubh-mbille murre', 'uria lomvia'];Speiceas éan
agentive-physical-object;['neophoca cinerea', 'hastráile leon farraige', 'zalophus lobatus'];Speiceas mamach
agentive-physical-object;['gabha liath', 'cinclus mexicanus', 'meiriceánach uisce creige'];Speiceas éan
agentive-physical-object;['masticophis flagellum', 'coluber flagellum', 'nathair coachwhip'];speiceas nathracha
agentive-physical-object;['fabhcún gorm', 'seabhac seilge', 'seabhac gorm', 'falco peregrinus', 'bills fabhcún gorm', 'fabhcún', 'peregrinus'];Speiceas éan
agentive-physical-object;['argiope aurantia', 'dubh agus óir gairdín spider'];speiceas araicnidí
agentive-physical-object;['asal afracach', 'asal fiáin hafraice'];Speiceas mamach
agentive-physical-object;['cistothorus palustris', 'marsh dreoilín', 'réisc dreoilín'];Speiceas éan
agentive-physical-object;['aspidoscelis tigris', 'an iarthair whiptail', 'cnemidophorus tigris'];speiceas reiptílí
agentive-physical-object;['streptomyces'];Géineas Actinobacteria
agentive-physical-object;['bachaillín', 'bacillus'];Géineas baictéar
agentive-physical-object;['iompála', 'impala', 'aepyceros melampus'];speiceas mamach
agentive-physical-object;['feadóg éigipteach', 'pluvianus aegyptius', 'éan crogall'];Speiceas éan
agentive-physical-object;['eilifint na hafraice', 'loxodonta africana', 'africana', 'eilifint afracach', 'elephants hafraice', 'hafraice bush eilifint'];Speiceas mamach
agentive-physical-object;['eilifint na hafraice', 'loxodonta africana', 'africana', 'eilifint afracach', 'elephants hafraice', 'hafraice bush eilifint'];Géineas mamach
agentive-physical-object;['íbis bheannaithe', 'íbis dhílis', 'naofa ibis', 'threskiornis aethiopica'];Speiceas éan
agentive-physical-object;['psittacula krameri', 'pearaicít mhuinceach', 'fáinne-necked parakeet'];Speiceas éan
agentive-physical-object;['srónbheannach dubh afracach', 'dubh srónbheannach', 'diceros bicornis', 'srónbheannach dubh'];Speiceas mamach
agentive-physical-object;['naja nigricollis', 'cobra spitting', 'dubh-necked cobra', 'spitting cobra'];Speiceas reiptílí
agentive-physical-object;['genetta genetta', 'genetta', 'coitianta genet', 'genet', 'genet coitianta'];Géineas mamach
agentive-physical-object;['genetta genetta', 'genetta', 'coitianta genet', 'genet', 'genet coitianta'];speiceas mamach
agentive-physical-object;['martes', 'cat crainn', 'cat', 'mártan', 'cait', 'cat cat'];Géineas mamach
agentive-physical-object;['araicnid', 'arachnida', 'arachnid', 'araicnidí'];Aicme artrapód
agentive-physical-object;['sceloglaux albifacies', 'ag gáire owl', 'albifacies sceloglaux'];Speiceas éan
agentive-physical-object;['áilleán meiriceánach', 'vanessa virginiensis', 'áilleacht péinteáilte'];Speiceas feithidí
agentive-physical-object;['carduelis tristis', 'lasair choille mheiriceánach', 'buí ceolaire', 'domhan nua goldfinch', 'spinus tristis'];speiceas éan
agentive-physical-object;['limanda ferruginea'];Speiceas iasc
agentive-physical-object;['rí beag deargchorónta', 'ruby-crowned kinglet', 'regulus calendula', 'ruby-crowned dreoilín'];Speiceas éan
agentive-physical-object;['antrostomus vociferus', 'caprimulgus vociferus', 'whippoorwill'];Speiceas éan
agentive-physical-object;['feadóg ghlórach', 'killdeer', 'charadrius vociferus', 'kildeer', 'killdeer bhuí'];Speiceas éan
agentive-physical-object;['cearcóg chorcra', 'meiriceánach gallinule', 'porphyrula martinica'];speiceas éan
agentive-physical-object;['naoscach mheiriceánach', 'gallinago delicata', 'gallinago gallinago delicata', 'snipe wilson', 'wilson snipe'];Speiceas éan
agentive-physical-object;['icterus', 'óiréal', 'domhan nua oriole', 'meiriceánach oriole'];Géineas éan
agentive-physical-object;['storc coille', 'adhmad stork', 'americana', 'flinthead', 'mycteria americana'];Speiceas éan
agentive-physical-object;['gabhlán simléir', 'chaetura pelagica', 'chateura pelagica', 'simléar sciobtha'];Speiceas éan
agentive-physical-object;['praslacha ghormeiteach', 'spatula discors', 'blue-winged teal', 'bluewing', 'discors anas', 'gorm-winged teal'];speiceas éan
agentive-physical-object;['coragyps atratus', 'badhbh', 'caróg dhubh', 'feannóg charrach', 'feannóg dhubh', 'carrion beanna', 'vulture dubh', 'vulture dubh meiriceánach'];Speiceas éan
agentive-physical-object;['icteria virens', 'buí-breasted comhrá', 'buí-chíoch comhrá', 'virens icteria'];Speiceas éan
agentive-physical-object;['éan oighinn', 'smólach talún', 'ovenbird', 'seiurus aurocapillus'];Speiceas éan
agentive-physical-object;['rualacha mheiriceánach', 'anas americana', 'meiriceánach widgeon'];Speiceas éan
agentive-physical-object;['iasc gréine', 'mola', 'aigéan sunfish', 'headfish', 'mola mola'];speiceas iasc
agentive-physical-object;['iasc gréine', 'mola', 'aigéan sunfish', 'headfish', 'mola mola'];Géineas iasc
agentive-physical-object;['potamogale velox', 'potamogale', 'dobharchú dallóg', 'potamogalinae'];Speiceas mamach
agentive-physical-object;['caochán réaltsrónach', 'caochún réalt-nosed', 'condylura cristata', 'réalt-nosed caochún', 'starnose caochún'];Speiceas mamach
agentive-physical-object;['arcella'];Géineas Tubulinea
agentive-physical-object;['amphiprion percula', 'clown anemone iasc'];Speiceas iasc
agentive-physical-object;['crosóg bhriosc', 'crosóg bhriosc ghainimh', 'brittlestar', 'ophiuroid', 'réalta brittle', 'réalta nathair', 'réalta sobhriste', 'réaltaí brittle', 'sobhriste-réalta'];Speiceas eicínideirmeach
agentive-physical-object;['conablach'];corp ainmhí mhairbh
agentive-physical-object;['mercenaria mercenaria', 'clam crua', 'quahog', 'véineas mercenaria'];Speiceas moileasc
agentive-physical-object;['breallach', 'arenaria', 'clam bog-bhlaosc', 'mya arenaria'];Speiceas moileasc
agentive-physical-object;['scil', 'sciolla', 'scilla', 'squill'];géineas plandaí
agentive-physical-object;['araneus cavaticus', 'scioból spider', 'spider scioból'];Speiceas araicnidí
agentive-physical-object;['cob', 'kob', 'kobus kob'];Speiceas mamach
agentive-physical-object;['clostridium botulinum', 'botulinum', 'botulinum clostridium', 'botulinum c', 'botulinus'];Speiceas baictéar
agentive-physical-object;['camóg', 'polygonia comma', 'polygonia c-album', 'camóga féileacán', 'polygonia camóga'];Speiceas feithidí
agentive-physical-object;['camóg', 'polygonia comma', 'polygonia c-album', 'camóga féileacán', 'polygonia camóga'];Speiceas feithidí
agentive-physical-object;['davallia'];géineas plandaí
agentive-physical-object;['woodsia'];Géineas plandaí
agentive-physical-object;['chaetodon'];Géineas iasc
agentive-physical-object;['spirillum', 'spirilla'];Géineas baictéar gram-dhiúltach
agentive-physical-object;['duine', 'homo', 'homo sapiens sapiens', 'homo sapiens', 'daoine', 'daonnaí', 'neach daonna', 'daon', 'saoltánach', 'bheith ag an duine', 'daonna', 'duine a bheith', 'fear', 'speiceas daonna'];Géineas mamach
agentive-physical-object;['crústach', 'crustacea', 'crústaigh', 'muileann gastric'];Fofhíleam artrapód
agentive-physical-object;['physa'];Géineas moileasc
agentive-physical-object;['stentor'];Géineas prótaisteach
agentive-physical-object;['iolar nathartha gearrladhrach', 'circaetus gallicus', 'gearr-toed iolair', 'chromán iolar', 'gearr-toed eagle'];Speiceas éan
agentive-physical-object;['sceloporus', 'laghairt spíonach'];Géineas reiptílí
agentive-physical-object;['thamnophis', 'nathair garter', 'snakes garter'];Géineas reiptílí
agentive-physical-object;['lampropeltis', 'kingsnake', 'nathair rí', 'rí nathair'];Géineas reiptílí
agentive-physical-object;['lacha shrúmála', 'anatinae', 'lacha srúmála', 'dabbling lacha', 'lacha dabbling'];Fofhine éan
agentive-physical-object;['diadophis punctatus', 'fáinne-necked nathair', 'ringneck nathair'];speiceas reiptílí
agentive-physical-object;['peripatus', 'onychophoran', 'worm veilbhit'];géineas péisteanna
agentive-physical-object;['lecanopteris'];géineas plandaí
agentive-physical-object;['cú', 'madra cú'];Cineál madra
agentive-physical-object;['neotoma cinerea', 'neotoma', 'bushytail woodrat', 'francach phacáiste', 'francach trádála', 'packrat', 'woodrat'];Speiceas mamach
agentive-physical-object;['neotoma cinerea', 'neotoma', 'bushytail woodrat', 'francach phacáiste', 'francach trádála', 'packrat', 'woodrat'];Géineas mamach
agentive-physical-object;['boa', 'buachrapaire'];Géineas reiptílí
agentive-physical-object;['pampanó', 'trachinotus', 'pompano'];Géineas iasc
agentive-physical-object;['curculionoidea', 'gobachán', 'ciaróg', 'ngobachán'];Forfhine feithidí
agentive-physical-object;['seilide garraí', 'seilide gairdín'];Speiceas moileasc
agentive-physical-object;['mór-rón', 'rón mór', 'otariinae', 'leon farraige', 'lions farraige', 'sealion'];fofhine mamach
agentive-physical-object;['buabhall eorpach', 'bison', 'bíosún'];Géineas mamach
agentive-physical-object;['heteroscelus'];Géineas éan
agentive-physical-object;['aneides', 'dreapadóireachta salamander'];géineas amfaibiach
agentive-physical-object;['marmat machaire', 'prairie madra', 'madraí prairie', 'prairie marmot'];Géineas mamach
agentive-physical-object;['pelecanoides', 'pelecanoididae', 'tumadóireacht-úisc', 'tumadóireacht petrel', 'úisc tumadóireacht'];Géineas éan
agentive-physical-object;['boghdóir', 'toxotes jaculatrix', 'archerfish', 'saighdeoir iasc'];Géineas iasc
agentive-physical-object;['boghdóir', 'toxotes jaculatrix', 'archerfish', 'saighdeoir iasc'];Speiceas iasc
agentive-physical-object;['pseudacris', 'frog chorus', 'frog curfa'];Géineas amfaibiach
agentive-physical-object;['draco volans', 'eitilt dragon', 'laghairt ag eitilt'];Speiceas reiptílí
agentive-physical-object;['christella'];Géineas plandaí
agentive-physical-object;['phenacomys'];Géineas mamach
agentive-physical-object;['puifín', 'fuipín', 'albanach', 'cánóg', 'éan dearg', 'puifíní'];Speiceas éan
agentive-physical-object;['seabhac'];Géineas éan
agentive-physical-object;['laghairt mhonatóra', 'varanidae', 'monatóir', 'lizards monatóireacht a dhéanamh', 'monatóireacht a dhéanamh ar laghairt', 'varan', 'varanid', 'varanus'];Géineas reiptílí
agentive-physical-object;['cangarú francaigh', 'francach cangarú', 'dipodomys phillipsii', 'francach desert', 'francaigh kangaroo', 'kangaroo francach'];Speiceas mamach
agentive-physical-object;['cangarú francaigh', 'francach cangarú', 'dipodomys phillipsii', 'francach desert', 'francaigh kangaroo', 'kangaroo francach'];Géineas mamach
agentive-physical-object;['salvia'];géineas plandaí
agentive-physical-object;['scaibeas', 'bhallach', 'scabiosa'];géineas plandaí
agentive-physical-object;['streptobacillus'];géineas baictéar
agentive-physical-object;['porphyrio', 'gallinule', 'cearc uisce', 'cearcóg', 'swamphen'];Géineas éan
agentive-physical-object;['vireo', 'glaséan'];Géineas éan
agentive-physical-object;['acaicia', 'acáise', 'racosperma', 'acacia', 'sitím', 'acacias', 'chrann acacia', 'crann acacia'];Géineas plandaí
agentive-physical-object;['príomhach', 'primates', 'príomhaigh', 'príomhaigh neamhdhaonna', 'príomháidh'];Ord mamach
agentive-physical-object;['filago', 'cáithluibh'];Géineas plandaí
agentive-physical-object;['fia-chat', 'fiachat', 'cat fiáin', 'wildcat', 'wildcats'];Speiceas mamach
agentive-physical-object;['bufo'];Géineas amfaibiach
agentive-physical-object;['anamóine', 'lus na gaoithe', 'anemone', 'nead choille', 'bundúin leice', 'windflower'];géineas plandaí
agentive-physical-object;['amphiuma', 'chongó eascann', 'chongó nathair', 'eascann dall'];Géineas amfaibiach
agentive-physical-object;['necturus maculosus'];Speiceas amfaibiach
agentive-physical-object;['cadhpú', 'coypu', 'nutria', 'myocastor coypus', 'myocastoridae'];Speiceas mamach
agentive-physical-object;['scairp', 'scorpiones'];Ord araicnidí
agentive-physical-object;['biontúrang', 'arctictis', 'binturong', 'arctictis bintourong', 'bearcat'];géineas mamach
agentive-physical-object;['cinceasú', 'cincisiú', 'kinkajou', 'mil iompróidh', 'potos caudivolvulus', 'potos flavus'];Speiceas mamach
agentive-physical-object;['ateles', 'moncaí géagach dú-mhalach', 'moncaí géagach', 'spider moncaí', 'ateles geoffroyi', 'geoffroyi', 'spider geoffroy ar moncaí'];Speiceas mamach
agentive-physical-object;['moncaí colabach', 'colobus moncaí', 'colobus', 'dubh-agus-bán colobus'];Géineas mamach
agentive-physical-object;['dendroaspis', 'mamba'];Géineas reiptílí
agentive-physical-object;['dendrolagus', 'crann kangaroo', 'crann-kangaroo', 'crann wallaby'];Géineas mamach
agentive-physical-object;['eilifint indiach', 'eilifint na háise', 'elephas maximus indicus', 'eilifint asiatic', 'elephants indiach', 'elephants na háise', 'elephas maximus', 'maximus'];Speiceas mamach
agentive-physical-object;['mionulchabhán oirthearach', 'oirthearacha scops owl', 'otus sunia'];Speiceas éan
agentive-physical-object;['cibotium barometz', 'scythian uaineoil'];speiceas plandaí
