abstract-region;['極限', 'limit'];極限係話一隻函數嗰自變量靠近嘚某隻特定值嗰時間，函數嗰變化趨勢，好似函數
activity;['芭蕾', 'ballet'];芭蕾（意大利文：balletto；法文：ballet）係種起自意大利，到法國興盛嗰古典舞蹈。
activity;['搖滾樂', 'rock music'];搖滾樂係話一隻歌手，佢一下唱、一下舞嘚樂器嗰一類音樂風格。
activity;['第二次世界大戰'];第二次世界大戰（1939年－1945年）係直到今吖為止，人類社會扤出來嗰最大戰亂，死得最多人（粗略估計死吥8300萬人），破壞得最惡嗰全球性戰爭。
activity;['第一次世界大戰'];第一次世界大戰（1914年7月28號 - 1918年11月11號），係一場全球性嗰武裝衝突，主要到1914年到1918年嗰歐洲打。
activity;['敘事', 'narrative', '故事', '敘述'];敘事（Narrative，字源係拉丁文narrare）係話一隻有一定嗰結構形式嗰故事，好似一首詩、一幅畫、一齣戲、一支舞裡頭表述嗰滴子想像、或非想像嗰情節內容。
activity;['運動', 'sport'];運動係話一類有競賽規則嗰體育、娛樂活動，通常參與者嗰身體素質係運動輸贏嗰關鍵。
activity;['娛樂', 'recreation', '休閒'];娛樂係話一隻人放鬆身心、打發時間嗰生活方式。
activity;['麻將'];麻將係一種源自中國嗰四人遊戲。
activity;['招兵', '徵兵制度', '抽兵'];徵兵制度，或招兵、抽兵，係話一隻國家嗰國民義務參加軍隊兵役嗰制度，佢嗰參加人員就叫做「義務兵」。
activity;['韻', 'rhyme'];韻係話搦隻把子詞去重複得話一隻相似嗰音，佢經常到詩歌裡頭用到。
activity;['x光', 'x-ray'];X光係種波長範圍位嘚0.1納米到10納米之間（對應頻率範圍30 PHz到3EHz））嗰電磁輻射形式。
activity;['雪'];雪係天降嗰結晶水，通常係一滴子好細嗰冰做成嗰雪花。
activity;['心電圖', 'electrocardiogram'];心電圖係記錄心臟電壓活動嗰圖像。
activity;['唆泡'];唆泡係話一隻人話事冇根據事實，誇大佢話嗰內容。
activity;['賭博', 'gambling'];賭博係話一種搦有價值嗰東西做賭注，來賭輸贏嗰遊戲，係人類嗰一種娛樂方式。
activity;['唱歌', 'singing'];唱歌係話人發出聲氣去表現出音樂。
activity;['拍相', 'photography', '拍照'];拍相係拍張相出來嗰藝術行為。
activity;['度量', 'measurement', '測定'];度量（英文：measurement）係話搦一定嗰基準去測量一隻東西嗰長度、尺度等屬性。
activity;['表演'];表演係舞臺藝術嗰一隻分支，佢係話一隻人或多隻人到一定嗰時間、空間裡頭，搦自簡呈現得人家看嗰一類藝術形式。
activity;['藝術', 'art'];藝術係話由得感覺、情緒而特試舞出滴子特定元素嗰過程或結果。
activity;['降水'];降水係話天上嗰水氣冷凝，落嘚地下嗰天氣現象。
activity;['會計學'];會計學係一門研究財務活動跟成本資料嗰收集、分類、綜合、分析跟到解釋，來幫助決策、管理經濟嗰學科，可以話佢係社會學科嗰一部分，也係一門非常重要嗰管理學科。
activity;['茶', 'tea'];茶，或茶葉茶，係一種好常見嗰飲料。
activity;['類韻', 'assonance'];類韻（Assonance）係西方詩歌裡頭嗰一種押韻形式，佢係話一行韻文或一首詩裡頭有隻母音韻緊拕重複。
activity;['工藝', 'arts and crafts'];工藝係話任何一隻人搦自簡嗰手工、技巧去舞出滴子東西嗰藝術創作。
activity;['核磁共振成相', 'magnetic resonance imaging'];核磁共振成相（Nuclear Magnetic Resonance Imaging，簡稱NMRI）係利用核磁共振（nuclear magnetic resonance，簡稱NMR）原理，憑得佢釋放嗰能量到物質內裡不同結構嗰環境裡頭不同嗰衰減，通過外加梯度磁場檢測所發射出嗰電磁波，ð µ¹得曉構成箇隻物體原子核嗰位置同得款類，故係繪製得正物體內部嗰結構
activity;['打仗'];打仗，書面語就係戰爭，係話兩班或更多嗰人之間嗰武力衝突。
activity;['頭韻法', 'alliteration'];頭韻法（Alliteration）係西方詩歌裡頭嗰一種押韻形式，佢係話一行韻文或一首詩嗰好幾隻詞嗰頭隻字母輔音緊拕重複，ð µ¹形成嗰一隻
activity;['雨', '落雨'];雨係降水嗰一隻方式。
agentive-figure;['美國國家公園管理局', 'national park service'];美國國家公園管理局（National Park Service）係美國內政部裡頭嗰一隻聯邦部門，佢係負責管理數量好多且整體雜亂嗰美國國家公園體系，含到了美國國家公園、國家紀念區、國家紀念地、國家歷史公園、國家歷史地點、國家軍史公園、國家戰地、國家休閒區、國家河川、國家海岸、國家湖岸、國家景觀散步小路、國家景觀河川等等。
agentive-figure;['北大西洋公約組織', '北約'];北大西洋公約組織（英語：NATO，North Atlantic Treaty Organization；法語：OTAN，l'Organisation du Traité de l'Atlantique Nord），簡稱北約組織或北約，係指隻為到實現防衛協作咁纔建立嗰國際組織。
agentive-figure;['聯合國'];聯合國（阿拉伯語：الأمم المتحد‎；英語：United Nations；法語：Nations unies；俄語：Организа́ция Объединённых На́ций；西班牙語：Naciones Unidas）係一隻由主權國家參加嗰國際組織。
agentive-figure;['信仰', '宗教', 'belief'];信仰係話人對神仙鬼怪箇滴子宗教內容崇拜、恐懼等行為，或對某滴子思想、主義箇滴子哲學內容嗰信服、實踐等行為。
agentive-figure;['信仰', '宗教', 'belief'];宗教係指當人類嗰社會發展到一定嗰階段，出現嗰一種文化現象。
agentive-figure;['印度教'];印度教係世界主要嗰宗教之一。
agentive-figure;['普理鐸廉尼', 'praetoriani'];普理鐸廉尼（拉丁文：PRÆTORIANI）係古羅馬帝國皇帝嗰護衛隊、親衛隊。
agentive-figure;['警察'];警察，又叫「公安」等，南昌話哈有「酒瓶蓋子」嗰話法，主要係依法維持公共秩序、保護社會安寧、促進人民福利等功能。
agentive-figure;['蘇聯'];蘇維埃社會主義共和國聯盟（俄語：Союз Советских Социалистических Республик）係早以歐洲 / 亞洲嗰一隻共產主義國家。
agentive-physical-object;['蝦蟆仁子', '蝌蚪'];蝦蟆仁子係蝦蟆嗰崽，冇變態之前嗰蝦蟆。
agentive-physical-object;['動物', '頭牲'];動物或頭牲，到話事嗰一般情況下，係話冇包到人全部生物。
agentive-physical-object;['植物'];植物係一大類生物，像花、草、樹、木、叢、藤、蕨、地衣、藻都係植物。
agentive-physical-object;['電腦', 'computer', '計算機'];電腦或計算機係一台揸得指令（程式）操作資料嗰機器。
agentive-physical-object;['機械人', 'robot'];機械人係話一種曉得自簡完成既定任務嗰機器。
agentive-physical-object;['簕瓜', '黃瓜'];簕瓜仔係隻葫蘆科嗰植物，世界頭上堪垃哩都有人種。
agentive-physical-object;['狗', 'canis lupus familiaris'];狗，一種家養嗰犬科哺乳動物，跟狼係近親。
agentive-physical-object;['花', 'flower'];花係草木嗰生殖器官，開花結果。
agentive-physical-object;['檸檬'];檸檬係一隻混種樹。
agentive-physical-object;['算數器', '電子算數器', 'calculator'];算數器係隻滴子大嗰算數用嗰機器，一般得直接搦嘚手上。
agentive-physical-object;['黃豆', 'glycine max', 'soybean'];黃豆，又叫大豆，係一種豆科植物，佢嗰種子有好多蛋白質。
agentive-physical-object;['樹'];樹係隻好大棵嗰多年生嗰木質植物。
agentive-physical-object;['小麥', 'wheat'];小麥係一種穀物，也都係一種主要嗰糧食同得飼料，通常磨成麵粉讓人舞喫嗰。
agentive-physical-object;['人', 'homo sapiens', '人類', '個人'];人係地球上頭進化得最高級嗰一類動物。
agentive-physical-object;['恐龍'];恐龍原來係世界上最辣嗰動物。
agentive-physical-object;['爛蝦蟆', '蝦蟆', '蛤蟆', '蟾蜍', '青蛙'];爛蝦蟆非常像蝦蟆，但係佢會毒人，佢嗰毒性分泌物係一味中藥，叫做「蟾酥」。
agentive-physical-object;['爛蝦蟆', '蝦蟆', '蛤蟆', '蟾蜍', '青蛙'];蝦蟆係一類兩栖動物，冇得尾巴。
agentive-physical-object;['粘粘蟲', '蛞蝓'];粘粘蟲係一類軟體動物，佢係雌雄同體嗰。
agentive-physical-object;['剪人蟲', '蠍子'];剪人蟲係類8隻腳嗰節肢動物。
agentive-physical-object;['土狗', '螻蛄'];土狗係一類活嘚地吖嗰昆蟲。
agentive-physical-object;['豬', 'sus scrofa domestica'];豬（學名：Sus scrofa domestica）,佢屬於哺乳綱-偶蹄目-豬科，佢喫得比較雜。
agentive-physical-object;['黃豆', 'glycine max', 'soybean'];黃豆，又叫大豆，係一種豆科植物，佢嗰種子有好多蛋白質。
agentive-physical-object;['貓', 'felis silvestris catus'];貓係一種小型貓科動物，佢嗰體重從兩到十公斤嗰都有。
agentive-physical-object;['象'];象係世界陸地上最大嗰哺乳動物，分為非洲象同到亞洲象，非洲象有兩種：普通非洲象（也叫熱帶草原象或灌木象）跟非洲森林象，亞洲象光就有一種（也叫印度象）。
agentive-physical-object;['穀', 'cereal', '榖', '穀物'];穀係禾喫得嗰部分，也係佢嗰種子，佢嗰主要成份係澱粉。
agentive-physical-object;['打字機', 'typewriter'];打字機係電腦鍵盤嗰祖宗。
agentive-physical-object;['熊貓', 'ailuropoda melanoleuca', '貓熊'];大熊貓，也叫貓熊或者係熊貓，係屬於熊科嗰哺乳動物。
agentive-physical-object;['老虎', 'panthera tigris'];虎，也叫老虎，係體形最大嗰貓科動物，也係亞洲特有嗰物種。
agentive-physical-object;['熊'];熊係喫肉嗰大型哺乳動物，全世界從熱帶到寒帶都有。
agentive-physical-object;['夜火蟲'];夜火蟲係一類夜裡會發光嗰蟲。
agentive-physical-object;['簷老鼠', 'chiroptera', '蝙蝠'];簷老鼠係類夜行動物，佢得飛，係憑得聲波辨別方向嗰。
agentive-physical-object;['芫茜', 'coriandrum sativum', '芫荽', '香菜'];芫茜、芫荽（音同言西，拉丁名：Coriandrum sativum），係源自地中海嗰一隻植物，時常拕用做香料。
agentive-physical-object;['算盤', 'abacus'];算盤係一種算數用嗰工具，佢嗰款係有隻木框子。
agentive-physical-object;['鴨', '鴨仔'];鴨係常見嗰一種禽類，通常佢要細過鵝。
agentive-physical-object;['馬', 'equus caballus'];馬（學名Equus caballus）係一種喫草嗰家畜，佢嗰有鬃毛，尾巴絡長，腳上有蹄。
agentive-physical-object;['粟米', 'zea mays', 'maize', '玉米'];粟米（Zea mays），又叫玉米，是一種一年生嗰草本植物，原產拉丁美洲，係而今世界主要食糧嗰一種。
agentive-physical-object;['寒螼子', '寒筋子', '蚯蚓'];寒螼子係類活嘚土下底嗰環節動物門寡毛綱類動物。
agentive-physical-object;['雀仔', 'aves', '雀子', '鳥'];雀仔係一種溫血、有兩隻腳（bipedalism）嗰脊椎動物。
agentive-physical-object;['羊', 'ovis aries'];羊又叫綿羊或者白羊，屬於哺乳綱-牛科。
amount-of-matter;['咖啡', 'coffee'];咖啡係一種飲料，通常係熱飲或者加冰。
amount-of-matter;['水', 'h₂o'];水係一種氫氧化合物嗰俗稱，學名叫氧化二氫，純水只含單一種分子，由兩隻氫原子同到一隻氧原子合成。
amount-of-matter;['氬', 'árgon', 'ar'];氬（英文Argon）係一種元素，符號Ar，原子序號18。
amount-of-matter;['氪', 'kr'];氪（英文Krypton）係一種元素，符號Kr，原子序號36。
amount-of-matter;['氖', 'neon', 'ne'];氖（英文：Neon，讀/ˈniːɒn/）係元素一種，符號Ne，原子序號10。
amount-of-matter;['氯', 'cl'];氯（英文Chlorine）係一隻非金屬元素，係一種鹵素。
amount-of-matter;['氮', 'n'];氮（英文Nitrogen），又作㲷，係一種元素，符號N，原子序號7。
amount-of-matter;['石油', 'petroleum'];石油，也叫原油，係種嗒粘、深褐嗰液體。
amount-of-matter;['銅', 'cu'];銅係一種金屬元素，符號 Cu，原子序數 29。
amount-of-matter;['鉍'];鉍（Bismuth）係化學元素嗰一種，化學符號係Bi， 原子序數83，係金屬。
amount-of-matter;['二氧化碳', 'co2'];二氧化碳（Carbon Dioxide）係一種冇色冇臭冇味嗰氣體。
amount-of-matter;['鎂', 'mg'];鎂（英文：Magnesium）係一隻元素，原子序號12，原子量24.3050。
amount-of-matter;['鉀', 'k'];鉀係一隻金屬元素，原子序數19。
amount-of-matter;['鈹', 'be'];鈹（Beryllium，舊名叫鋍、鑉）係一種元素，符號Be，原子序號係4，原子質量單位9.012182，屬於鹼土金屬。
amount-of-matter;['鈦', 'ti'];鈦（英文Titanium）係一種金屬元素，符號Ti，原子序號22。
amount-of-matter;['酒'];酒係有酒精嗰飲品。
amount-of-matter;['磷', 'p'];磷係一種化學元素，佢嗰化學符號係P，佢嗰原子序數係15。
amount-of-matter;['氧', 'o', '氧氣'];氧（英文Oxygen）係元素一種，符號O，原子序號8。
amount-of-matter;['碘', 'i'];碘（英文Iodine）係一隻化學元素，符號I，原子序號53，原子重量126.90447。
amount-of-matter;['溴', 'br'];溴（英語Bromine，來自希臘語βρώμιο，意思係"公山羊嗰惡臭"），係一隻化學元素，元素符號 Br，原子序數 35，在化學元素週期表中位於第4週期、第ⅦA族，係一種鹵素。
amount-of-matter;['氫', 'h'];氫（英文Hydrogen），用化學符號表示成：H，它係一種化學元素，原子序數係：1，在元素週期表排到頭一位。
amount-of-matter;['氟', 'flüor', 'f'];氟（英文Fluorine）係一種元素，符號F，原子序號9。
amount-of-matter;['鈁'];鈁（Francium），又叫鍅，係一種放射性嗰鹼金屬元素，符號係Fr，原子序數87，1939年在巴黎發現，並且用「法國」來起名。
amount-of-matter;['氡', 'radon'];氡（英文：Radon）係一種元素，符號Rn，原子序號86。
amount-of-matter;['銫', 'cs'];銫（Caesium），係一隻化學元素。
amount-of-matter;['鍶', 'sr'];鍶（英文Strontium）係一種化學元素，符號Sr，原子序號38，原子重量87.621。
amount-of-matter;['鈉', 'na'];鈉係一隻金屬元素，原子序數11。
amount-of-matter;['銫', 'cs'];銫（Caesium），係一隻化學元素。
amount-of-matter;['鍶', 'sr'];鍶（英文Strontium）係一種化學元素，符號Sr，原子序號38，原子重量87.621。
amount-of-matter;['鋰', 'li'];鋰（Lithium ）係元素嗰一種，屬於鹼金屬，原子序號3，符號Li，在室溫同常壓係密度最低嗰固體元素。
amount-of-matter;['鋇', 'ba'];鋇（英文Barium）係一種化學元素，符號Ba，原子序號56，原子重量137.3277。
amount-of-matter;['銣', 'rb'];銣（拉丁名Rubidium）係一種化學元素，符號係Rb。
amount-of-matter;['銀', 'ag'];銀係一隻化學元素，符號Ag來自拉丁文argentum。
amount-of-matter;['金', '金子'];金係一種極之貴重嗰金屬元素，符號係Au，來自拉丁文Aurum。
amount-of-matter;['硒', 'se'];硒（Selenium）係一種化學元素，佢嗰化學符號係Se，原子序數34。
amount-of-matter;['氦', 'he'];氦（英文：Helium，希臘文意思「太陽」）係元素嗰一種，符號He，原子序號2，氦無色無臭味，係一種惰性氣體。
amount-of-matter;['汽油', 'gasoline'];汽油（Gasoline）係到石油裡頭分餾或裂化、裂解出來嗰，有揮發性、可燃性嗰烴類混合物液體，佢做得正燃料。
amount-of-matter;['鈣', 'ca'];鈣係一種金屬元素，符號Ca，原子序數20，原子重量40.078。
amount-of-matter;['奶', 'milk'];奶係一樣富含營養嗰乳白色嗰液體，係雌性嗰哺乳類動物到哺乳期由乳腺分泌出來嗰。
amount-of-matter;['碳', 'c'];碳（Carbon）係一種元素，符號C，原子序數6，係一種常見嗰非金屬元素，它亦係四價元素。
amount-of-matter;['硫', 's'];硫（Sulfur）係一隻化學元素，符號S，來自Sulphur，原子序號16。
amount-of-matter;['鐳'];鐳（舊名鈤、銧、英文：Radium）係一種化學元素，化學符號Ra，原子序數係88，係一種銀白色嘅鹼土金屬，有放射性。
amount-of-matter;['金屬'];金屬係一類元素，佢隨時會釋放電子，變做離子，係搦金屬鍵做為存在形式嗰化學物質。
amount-of-matter;['鹼土金屬'];鹼土金屬係元素週期表嗰第二組，即係最外邊嗰電子殼只有兩粒電子，如鈹、鎂、鈣、鍶、鋇、鐳，全部都係活潑金屬。
amount-of-matter;['鹵素'];鹵素係一類化學元素，相當於週期表第17族元素（舊制第七族）。
amount-of-matter;['惰性氣體', '惰性气体', '稀有氣體'];惰性氣體，又叫稀有氣體、貴重氣體、貴族氣體、貴氣體、高貴氣體或者鈍氣，係指元素周期表上嗰第18 族元素（IUPAC新規定，即原來嗰0族），在常溫常壓下，它俚全部都係冇氣味，冇色，單原子氣體，其反應性非常低。
amount-of-matter;['鹼金屬'];鹼金屬係元素週期表嗰第一族，即係最外邊嗰電子殼只有一隻電子，全部都係金屬。
amount-of-matter;['元素', '化學元素'];元素，又叫化學元素，即係無法通過化學反應分解嗰物質。
amount-of-matter;['葡萄酒', 'wine'];葡萄酒係指用葡萄發酵而釀正嗰酒，主要拕分做紅酒同白酒兩大類。
amount-of-matter;['奶', 'milk'];奶係一樣富含營養嗰乳白色嗰液體，係雌性嗰哺乳類動物到哺乳期由乳腺分泌出來嗰。
amount-of-matter;['白開水', 'drinking water'];白開水，或茶，係喫得嗰一種水，佢不需要通過什哩處理就得直接讓人喫。
biological-object;['指拇頭', '手指拇頭子', '指拇頭子', '腳趾拇頭子'];指拇頭子係人手上嗰柱狀物，一隻手上有五根指拇頭子。
biological-object;['舌頭'];舌頭係人嗰嘴巴裡頭最大嗰許塊肌肉。
biological-object;['文身'];文身一般係話一隻人完身嗰器官組織，好似由上到下嗰頭、頸、胸、肚、腳箇滴子身體部件。
biological-object;['肋𩩍骨'];肋ð©©骨係胸腔裡頭嗰、好似樹杪子嗰
biological-object;['肛門'];肛门係高等动物消化系统消化道嗰最末端，在直肠延伸至体外嗰开口处，係粪便排泄和消化系统废气（屁）嗰出口。
biological-object;['蘋果'];蘋果係一種樹同到水果，係隻薔薇科嗰植物，好多地方都種。
biological-object;['倒踭'];倒踭係手嗰中間腰嗰鉸鏈關節，連嘚佢嗰有上臂嗰肱骨、前臂嗰尺骨同得橈骨。
biological-object;['胠膝'];胠膝係連得大腿髈骨跟到小腿髈骨嗰部份，係人文身最大嗰關節。
biological-object;['指甲', '手指甲子', '指甲子', '腳趾甲子'];指甲子係人嗰手指拇頭子前頭嗰一層由皮膚角質層硬化嗰保護層。
biological-object;['花', 'flower'];花係草木嗰生殖器官，開花結果。
biological-object;['脇胛'];脇胛係人嗰文身嗰一隻部位，位嘚肩嗰下首，上身同得胛股哩嗰內側。
biological-object;['手'];手係人或別嗰靈長類動物嗰胛股哩嗰前端，主要係用得搦、提、搲東西用嗰。
biological-object;['屁督'];屁督係靈長類動物盆骨部分後首圓形嗰部位，哈係人用得坐嗰部位。
biological-object;['面', '臉'];面係套感知器官，一般位嘚頭嗰正面方向。
biological-object;['卵', '裸肌', '陰莖'];卵，學名「陰莖」，哈有「鳥」、「裸肌」、「子孫根」、「jj」咁滴子叫法，係雄性動物嗰外生殖器官，哺乳動物嗰卵哈係排泄器官。
biological-object;['眼睛'];眼睛或目珠係動物嗰感知光線嗰器官。
biological-object;['鼻公', '鼻子'];鼻公係人面中間嗰一隻嗅覺、呼吸器官。
biological-object;['天門'];天門，或額、額頭，係人面嗰上頭，位嘚眉毛同得頭髮之間。
biological-object;['地門'];地門、或下巴，係人面嗰下頭部份，位嘚嘴巴同得頸之間。
biological-object;['水果', 'fruit'];水果，係話一種喫嗰果子同到種子嗰統稱，但係伓係話全部喫得嗰果子都叫水果，像番茄、南瓜、豌豆同榖類等等，因為佢個俚通常只能係熟喫而伓係生喫。
biological-object;['耳刀'];耳刀係人嗰頭嗰兩首嗰聽覺器官，一邊有一隻，大細差不多。
chemical-object;['氕'];氕係氫嗰同位素之一，符號係1H或T，相對原子質量係1。
chemical-object;['氘', 'd'];氘（deuterium），氫（H）嗰同位素，也被稱為重氫，元素符號係D或2H。
chemical-object;['同位素'];同位素（Isotope）在化學上指同一隻元素原子，原子核里面有不同中子數嗰原子係不同種類嗰核素，它俚之間互為同位素。
classification-system;['曆法', 'calendar'];曆法係用得計年、月、日嗰方法，主要拕分吥陽曆、陰曆同得陰陽曆三種。
classification-system;['座標', 'coordinate system'];座標係隻數學或物理學嗰用語，係話一隻 n 維系統，供每隻點同得唯一嗰一組（n隻）標量組成一一對應嗰系統。
cognitive-event;['眠夢', 'dream'];眠夢係隻精神現象，人睏覺嗰時間相到嗰影像、聽到嗰聲氣、思考同感覺，通常係不由自主嗰。
cognitive-event;['曼婁主義', 'monroe doctrine'];曼婁主義（英文：Monroe Doctrine）係1823年起美國執行嗰對外政策嗰一隻重要方針，佢得名自美國總統James Monroe。
cognitive-event;['著嚇', 'fear'];著嚇係對危險、威脅嗰一種感情嗰回應，箇係隻本能嗰生存要素。
cognitive-event;['感情', 'emotion'];感情係有自身意識嗰生物嗰高級心理活動，好似喜、怒、哀、樂、驚、恐、悲箇滴子感情狀態。
cognitive-event;['幸福', ':)', 'happiness'];幸福係思想、感覺嗰一隻感情狀態，幸福嗰人會覺得自簡係滿意嗰、開心嗰、快樂嗰、高興嗰。
cognitive-event;['思想', 'thought'];思想係話一隻人嗰心智嗰形成過程、觀念嗰培養方式。
cognitive-modal-description;['共產主義'];共產主義（英文：Communism）係一種政治主張同政治運動，佢主張每隻人嗰行為一定要以社區、國家嗰福利為大前提，可以算係一種集體主義（collectivism）。
course;['過世', '過身'];過世係話一隻生物、特別係話一隻人嗰壽歲終結嗰行為。
course;['天狗喫日頭', '日食'];天狗喫日頭或日食係一種天文現象。
dependent-place;['角', 'angle'];角係由兩根有公共端點嗰射線組成嗰幾何對象。
ecological-collective;['植物'];植物係一大類生物，像花、草、樹、木、叢、藤、蕨、地衣、藻都係植物。
ecological-collective;['森林', 'forest'];森林係話一隻好闊嗰範圍裡頭有大量密集嗰樹，佢佔得地球嗰表面積嗰9.4%。
event;['海嘯'];海嘯係一種破壞性蠻大嗰海浪。
event;['著火', '火災'];著火，或者叫火災，係話人類冇估到嗰火，有時間係有人特試縱火，有時間也因為天亁故係ð µ¹著
functional-matter;['朝鮮字母', 'hangul'];朝鮮字母（朝鮮話：한글；羅馬字：[haːn.ɡɯl]）係朝鮮話嗰字母系統，佢先頭寫嘚嗰係中國字。
functional-matter;['咖啡', 'coffee'];咖啡係一種飲料，通常係熱飲或者加冰。
functional-matter;['石油', 'petroleum'];石油，也叫原油，係種嗒粘、深褐嗰液體。
functional-matter;['銅', 'cu'];銅係一種金屬元素，符號 Cu，原子序數 29。
functional-matter;['酒'];酒係有酒精嗰飲品。
functional-matter;['豆漿'];豆漿，又叫豆奶，係一種用大豆舞嗰喫嗰，佢起源自中國，而今到日本同韓國也都作興。
functional-matter;['火藥', 'gunpowder'];火藥又叫黑火藥，係一種早期嗰炸藥。
functional-matter;['銫', 'cs'];銫（Caesium），係一隻化學元素。
functional-matter;['褥子', '褥仔'];褥子，又叫椅墊，或者英譯音固訓（Cushion），係隻凍軟嗰套子，裡頭築得正滴子凍軟、喇喇濕嗰東西，像紙、羽毛、毛、布碎之類嗰。
functional-matter;['銫', 'cs'];銫（Caesium），係一隻化學元素。
functional-matter;['銀', 'ag'];銀係一隻化學元素，符號Ag來自拉丁文argentum。
functional-matter;['奶酪', 'cheese'];奶酪係一種搦奶擺酸之後加進酶或者細菌發酵嗰固體喫嗰，可以就ð µ¹喫，或者用來夾麵包、三明治，更可以舞隻奶酪蛋糕、奶酪
functional-matter;['手㡤'];手㡤仔係樣布（通常係棉布）做嗰生活衛生用品。
functional-matter;['半導體', 'semiconductor'];半導體（Semiconductor）係一滴子導電率間嘚導體同絶緣體之間嗰物質。
functional-matter;['炸藥'];炸藥係受到外界影響之下會爆炸嗰化學物質。
functional-matter;['汽油', 'gasoline'];汽油（Gasoline）係到石油裡頭分餾或裂化、裂解出來嗰，有揮發性、可燃性嗰烴類混合物液體，佢做得正燃料。
functional-matter;['奶', 'milk'];奶係一樣富含營養嗰乳白色嗰液體，係雌性嗰哺乳類動物到哺乳期由乳腺分泌出來嗰。
functional-matter;['土豆', 'solanum tuberosum', 'potato'];土豆係一種多年生嗰植物。
functional-matter;['啑呢', 'chutney'];啑呢（英語：chutney；印地語：चटनी、chatni）係南亞國家嗰一款飲食調料，有滴子酸甜，時常係配得菜一下喫嗰。
functional-matter;['菜', 'vegetable', '蔬菜'];菜，係種植物，係可以喫嗰。
functional-matter;['葡萄酒', 'wine'];葡萄酒係指用葡萄發酵而釀正嗰酒，主要拕分做紅酒同白酒兩大類。
functional-matter;['麵包', 'bread'];麵包係一樣喫嗰，多數係搦麵粉團去焗，蒸又或者煎做正嗰。
functional-matter;['蘋果'];蘋果係一種樹同到水果，係隻薔薇科嗰植物，好多地方都種。
functional-matter;['塑料', 'plastic'];塑料係一類人造或者半人造嗰聚合產品，包到有機嗰加成聚合物或者縮成聚合物。
functional-matter;['橡膠', 'rubber'];橡膠係種有彈性嗰碳氫化合物異戊二烯聚合，冇拕加工嗰時間就係乳劑嗰形態。
functional-matter;['尿'];尿（英文：Urine，源自拉丁文urina）係人類同脊椎動物嗰新陳代謝，經泌尿系統排出體外嗰水質排泄物。
functional-matter;['奶', 'milk'];奶係一樣富含營養嗰乳白色嗰液體，係雌性嗰哺乳類動物到哺乳期由乳腺分泌出來嗰。
functional-matter;['撲克'];撲克係一種紙牌遊戲。
functional-matter;['汗'];汗，係哺乳動物嗰汗腺分泌嗰液體。
