abstract-region;['uoperand', 'operand'];We matymatyce, uoperand to argůmynt uoperatora.
activity;['madżōng', 'mahjong'];Madżōng je chińskim szpilem lŏ szterych szpilerŏw, grane powszychniye we wschŏdniyj a pŏłedniyŏwŏ-wschŏdniyj Azyji.
activity;['śńyg'];Śńyg to je atmosferyczny uopad we postaći krysztołkůw lodu, nojczyńśći we formje szyśćoramjynnych gwjozdkůw.
activity;['śpjyw', 'wokal', 'śpjywok'];Śpjyw – tworzyńe klangu uo muzycznym charaktyrze bez używańe sztimy.
activity;['tyjater'];Tyjater – zorta kůnsztu, kaj szauszpiler abo cołka kupa szauszpilerůw na scyńe na żywo grajům lo ludźi kery przyleźli na spektakel.
activity;['châlons-en-champagne'];Châlons-en-Champagne – mjasto a gmin we Francyji, stolica regijůnu Szampańijo-Ardyny a departamyntu Marne.
activity;['tyj'];Tyj je używane we zwykłyj godce a ńynaukowe mjano źylinůw ze grupy kamelijo (łac.
activity;['francusko rewolucyja'];Francusko rewolucyja 1789-1799 to bůł uokres we gyszichće Francyji, we kerym prziszło do srogich społecznych půmjyńań a uobalyńo můnarchiji Burbůnůw.
activity;['kobyr'];Kobyr – kůnsek drzewa uo dwůch kůncach, kożdy kobyr mo roztomajtno dugość a rubość.
agentive-figure;['golym', 'golem'];Golym (hebr.
agentive-figure;['państwo'];Państwo je politycznōm, suwerynnōm, terytorialnōm i ôbligatoryjnōm ôrganizacyjom społeczyństwa.
agentive-figure;['arbajtsamt'];Arbajtsamt to je inštytucyjo kero zajmuje śe podšukiwańym rynku roboty, udźelańym informacyji bezrobotnym a postředńictwym we zdobyću fachu a roboty.
agentive-figure;['central intelligence agency', 'cia'];CIA – regjyrůnkowo agyncyjo wywjadowczyj sużby USA, kero zajmowo śe brańym a analizům informacyjůw uo zagrańicznych regjyrůnkach, korporacyjach a indywidualnych perzůnach a uopracowowańym na baźe tych informacyjůw raportůw lo regjyrůnkowych instytucyjůw USA. Agyncyjo uorgańizowała tyż uoperacyje, kerych cwekym bůła interwyncyjo we wewnyntrzne sprawy wybranych państwůw, uod propagandy po wspjyrańy paramilitarnych uoddźałůw.
agentive-figure;['ojropejsko uńijo', '🇪🇺', 'uńijo ojropejsko', 'uńja ojropejsko'];Ojropejsko Uńijo – gospodarczo-polityczny zwjůnzek dwadźeśća śedmju dymokratycznych krajůw Ojropy, kery je rezultatym porarocznygo procesu politycznyj, gospodarczyj a społecznyj intygracyje, przi tymu nojwjynkszům, nojgibći rozwijajůncům śe a rzodkům patrůnům tyj zorty na śwjeće.
agentive-figure;['anůńimowe alkoholiki'];Anůńimowe Alkoholiki – (AA, s ang.
agentive-figure;['rzimskokatolicki kośćůł', 'katolicki kośćůł', 'katolicyzm', 'kośćou řimskokatolicki', 'kośćůł katolicki'];Kośćoł rzimskokatolicki – właśćiwe mjano winno brzmjeć Kośćůł katolicki uobrzůndku łaćińskigo. nojwjynkszo liczebńy tajla Kośćoła katolickigo, kero uopjero liturgije na uobrzůndku łaćińskym i liturgijach bliskych a pochodnych.
agentive-figure;['religijo', 'religja'];Religijo – systym wjerzyń i praktyk, uokreślajůncy relacyjo jydnostki do roztomajće pojmowanyj sfery sacrum, jyli śwjyntośći i sfery boskij.
agentive-figure;['islam'];Islam – můnotejistyczno religijo, kero zołożůł Mahůmet.
agentive-figure;['sojusz socjalistycznych sowjeckich republik', 'sojusz socjalistycznych sowjeckich rypublik', 'sojuš socjalistyčnych sowjeckich rypublik', 'sssr', 'zsrr', 'zwjůnzek socyjolistyčnych rypublik radźeckich', 'zwjůnzek sowjeckich socyjolistyčnych rypublik'];Sojusz Socjalistycznych Sowjeckich Republik (ros.
agentive-physical-object;['korbol', 'bańa'];Korbol je zorta jydnorocznych źelinůw ze familije korbolowatych, kero mo ze 20 gatůnkůw.
agentive-physical-object;['důmb'];Důmb – zorta strůmu, kery noleżi do familije bukowatych.
agentive-physical-object;['boletellus mirabilis'];Boletellus mirabilis je grzib, co go nojprzōd ôpisoł William Alphonso Murrill, a terŏźnõ nazwã doł mu Rolf Singer 1945.
agentive-physical-object;['gymnopilus junonius'];| fotkaraktär = ring | sporavtrycksfärg = rödbrun }} Gymnopilus junonius je grzib, co go nojprzōd ôpisoł Elias Fries, a terŏźnõ nazwã doł mu Peter D. Orton 1960.
agentive-physical-object;['calostoma cinnabarinum'];Calostoma cinnabarinum je grzib, co go ôpisoł Corda 1809.
agentive-physical-object;['neolentinus ponderosus'];Neolentinus ponderosus je grzib, co go nojprzōd ôpisoł O.K. Mill., a terŏźnõ nazwã doł mu Redhead & Ginns 1985.
agentive-physical-object;['blek stenmurkla', 'gyromitra gigas'];| fotkaraktär = bar | sporavtrycksfärg = gul }} Blek stenmurkla je grzib, co go nojprzōd ôpisoł Julius Vincenz von Krombholz, a terŏźnõ nazwã doł mu Mordecai Cubitt Cooke 1878.
agentive-physical-object;['vit hattmurkla', 'helvella crispa'];| fotkaraktär = bar | sporavtrycksfärg = vit }} Vit hattmurkla je grzib, co go nojprzōd ôpisoł Giovanni Antonio Scopoli, a terŏźnõ nazwã doł mu Elias Fries 1822.
agentive-physical-object;['omphalotus illudens'];| fotkaraktär = bar | sporavtrycksfärg = gul }} Omphalotus illudens je grzib, co go nojprzōd ôpisoł Ludwig David von Schweinitz, a terŏźnõ nazwã doł mu Bresinsky & Besl 1979.
agentive-physical-object;['panthera onca'];Panthera onca to zwiyrzã ze typu chordata, ze rzyndu carnivora, ze grōmady cycaczy ze familije felidae, co je ôpisoł Linnaeus we 1758 roku.
agentive-physical-object;['zwiyrzynta', 'zwjyrzynta'];Zwiyrzynta
agentive-physical-object;['źeliny', 'źelina'];Źeliny (Archaeplastida Adl i in.
agentive-physical-object;['kůmputer', 'kůmputr'];Kůmputer (ang.
agentive-physical-object;['pjes', 'canis lupus familiaris'];Pjes – drapjeżny cyckocz ze familije psowatych, udůmowjůny uod czowjeka potůmek wilka.
agentive-physical-object;['morchella angusticeps'];Morchella angusticeps je grzib, co go ôpisoł Peck 1887.
agentive-physical-object;['grziby', 'fungi', 'gřiby'];Grziby (uać.: Mycota, Mycetes, Fungi (we l.
agentive-physical-object;['blumkola', 'brassica oleracea var. botrytis'];Blumkola je zorta kapusty kero mo sroge kwjatostůny.
agentive-physical-object;['kraśikůń'];Kraśikůń to je zorta źeliny ze familije boberowatych.
agentive-physical-object;['chlorophyllum molybdites'];| fotkaraktär = ring | sporavtrycksfärg = grön }} Chlorophyllum molybdites je grzib, co go nojprzōd ôpisoł G. Mey., a terŏźnõ nazwã doł mu George Edward Massee 1898.
agentive-physical-object;['pseudocolus fusiformis'];| fotkaraktär = inte tillämpbart | sporavtrycksfärg = }} Pseudocolus fusiformis je grzib, co go nojprzōd ôpisoł Eduard Fischer, a terŏźnõ nazwã doł mu Lloyd 1909.
agentive-physical-object;['strům', 'drzewo'];Strůmy to je grupa źelinůw, do keryj zaliczo śe nojsrogsze źeliny lůndowe.
agentive-physical-object;['kokot'];Kokot to je samjec uod důmowyj kury a inkszych ptokůw ze raji grzebjůncych.
agentive-physical-object;['loxodonta africana'];Loxodonta africana abo afrykański elefant to zwiyrzã ze typu chordata, ze rzyndu proboscidea, ze grōmady cycaczy ze familije elephantidae, co je ôpisoł Blumenbach we 1797 roku.
agentive-physical-object;['kryngowce'];Kryngowce
agentive-physical-object;['czowjek', 'homo sapiens', 'čowjek'];Czowjek – zorta cyckocza ze familije czowjekowatych, raje naczelnych.
agentive-physical-object;['ciga', 'capra aegagrus hircus', 'koza'];Ciga, důmowo ciga, ńykej tyż koza to je cyckocz ze familije kryntorogich, udůmowjůno ůng.
agentive-physical-object;['zůnynblůma', 'helianthus'];Zůnynblůma to je zorta roślinůw ze familije astrowatych.
agentive-physical-object;['skoczki'];Skoczki to je raja chrobokůw ze podgrůmady krzidlatych chrobokůw.
agentive-physical-object;['elephas maximus', 'elephas maximus indicus'];Elephas maximus abo azjatycki elefant to zwiyrzã ze typu chordata, ze rzyndu proboscidea, ze grōmady cycaczy ze familije elephantidae, co je ôpisoł Linnaeus we 1758 roku.
agentive-physical-object;['elephas maximus', 'elephas maximus indicus'];Elephas maximus indicus abo hinduski elefant to zwiyrzã ze typu chordata, ze rzyndu proboscidea, ze grōmady cycaczy ze familije elephantidae, co je ôpisoł Cuvier we 1798 roku.
agentive-physical-object;['cwibla'];Cwibla zwykło – gatůnek rośliny ze familije knoblochowatych, pochodźi s Azyje Strzodkowyj.
agentive-physical-object;['modro kapusta', 'blaukraut'];Modro kapusta (Brassica oleracea var.
agentive-physical-object;['shamrock'];Shamrock – przedstawjyńy trziliśćatygo kraśikůńa, kery je symbolym a zaregistryjrowanym znakym towarowym Irlandyje.
agentive-physical-object;['fazan'];Fazan Phasianus colchicus – strzedńi, nojczyńśći uośadły ptok ze familije kurowatych, zamjyszkujůncy delta Wołgi, Kaukaz a Zakauaźe a pas uod Iranu po Mandżuryjo a půłnocno tajla Půłwyspu Indochińskigo.
agentive-physical-object;['wewjůrka'];Ajnfachowo wewjůrka, ajcherszyn je mały gryzůń ze familije wewjůrkowatych.
agentive-physical-object;['kamela'];Kamela – zorta wjelgich cyckočůw pařistokopytnych s familije kamelowatych.
agentive-physical-object;['trziklapowy mandlowjec', 'mandlowjec trůjklapowy', 'prunus triloba'];Mandlowjec trůjklapowy, mandelek trůjklapowy – pochodzůnca s Chin źylina uozdobno, noleżůnco do zorty Prunus.
agentive-physical-object;['yjzel', 'equus asinus'];Yjzel – cyckocz ze familije kůńowatych.
agentive-physical-object;['radiska'];Radiska - gatůnek źelin uobejmujůncy mocka uodmjan.
agentive-physical-object;['kot', 'felis silvestris catus'];Kot to ůdůmowjůny gatunek cyckocza ze raje drapjyżnych s familije kotůwatych.
agentive-physical-object;['xylaria mali'];Xylaria mali je grzib, co go ôpisoł Fromme 1928.
agentive-physical-object;['ustilaginoidea virens'];Ustilaginoidea virens je grzib, co go nojprzōd ôpisoł Mordecai Cubitt Cooke, a terŏźnõ nazwã doł mu Takah.
agentive-physical-object;['phanerochaete salmonicolor'];Phanerochaete salmonicolor je grzib, co go nojprzōd ôpisoł Berk.
agentive-physical-object;['amanita verna'];| fotkaraktär = ring i strumpa | sporavtrycksfärg = vit }} Amanita verna je grzib, co go nojprzōd ôpisoł Pierre Bulliard
agentive-physical-object;['szpoki', 'sturnus vulgaris'];Szpoki (łać.
agentive-physical-object;['ringhals', 'hemachatus haemachatus'];Ringhals – zorta szlangůw kero żywobyje we połedniowyj tajli Afriki.
agentive-physical-object;['trzyśńa', 'prunus avium', 'amlara', 'třyśńa'];Trzyśńa, mjanowano tyż amlarům, ptaśům trzyśńům – gatůnek uowocowygo strůmu, kery noleży do familije růżowatych.
agentive-physical-object;['panthera tigris'];Panthera tigris abo tiger to zwiyrzã ze typu chordata, ze rzyndu carnivora, ze grōmady cycaczy ze familije felidae, co je ôpisoł Linnaeus we 1758 roku.
agentive-physical-object;['uorangutůn', 'orangutan'];Urangutůn – zorta srogich afůw prawych, kere żyjům ino na Borneo a Sumatrze.
agentive-physical-object;['śyrotki'];Śyrotki (łać.
agentive-physical-object;['szczyrkowa'];Szczyrkowa je půłnocnohamerikański god ze familije żmijowatych.
agentive-physical-object;['szlangi', 'szlanga'];Szlangi (łać.
agentive-physical-object;['acinonyx jubatus'];Acinonyx jubatus abo gepard to zwiyrzã ze typu chordata, ze rzyndu carnivora, ze grōmady cycaczy ze familije felidae, co je ôpisoł Schreber we 1775 roku.
agentive-physical-object;['uojle', 'ojla', 'ojle', 'sowa', 'sowy', 'uojla'];Uojle – řůnd ptokůw s podgrůmady ptokůw nowočesnych Neornithes.
agentive-physical-object;['bjełůnek', 'bjouonek'];Bjełůnek (łaćina: Pieris brassicae) – szmaterlok ze familije bjełůnkowatych (łać.
agentive-physical-object;['bober'];Bober – gatůnek jydnoročnyj rośliny s familije boberowatych.
agentive-physical-object;['szńitloch', 'allium schoenoprasum', 'šńitloch'];Szńitloch, mjanowany ńykedy s polskigo szczypjorkym – źelina s arůmům, ze knoblochowatyj familije.
agentive-physical-object;['ůberiba', 'kuloryba', 'ůnteriba'];Ůberiba (Brassica oleracea var.
agentive-physical-object;['tremella fuciformis'];Tremella fuciformis je grzib, co go ôpisoł Berk.
agentive-physical-object;['szpiny', 'szpina'];Szpiny to je nojliczńejszo raja ze grůmady Arachnida, mo uůna przez 40 tyś.
agentive-physical-object;['jaszczurki', 'jaščurki'];Jaszczurki – grupa gadůw łuskonośnych we keryj je sztyroszłapowo abo besszłapowo gadźina lůndowo, majům mocne szczynki, ślypja dykńynte powjekůma.
agentive-physical-object;['vindlad klockmurkla'];| fotkaraktär = bar | sporavtrycksfärg = gul }} Vindlad klockmurkla je grzib, co go nojprzōd ôpisoł Julius Vincenz von Krombholz, i fick sitt nu gällande vetenskapliga namn av Joseph Schröter 1893.
agentive-physical-object;['tasmański djoboł', 'sarcophilus harrisii'];Tasmański djoboł (łać.
agentive-physical-object;['dakel'];Dakel to je rasa, a wuaściwje 9 ras psůw, kere charakteryzujům śe krůtkymi nůgůma, wydužůnym tuowjym, pyskym a tyž dość dugim, prostym šwancym.
agentive-physical-object;['mrowcowate', 'formicidae', 'mrowce'];Mrowcowate, mrowce (łać.
agentive-physical-object;['kůń', 'equus caballus'];Kůń důmowy (łać.
agentive-physical-object;['sztudyntki'];Sztudyntki – gatůnek źelinůw ze familije astrowatych.
agentive-physical-object;['aprikołza'];Aprikołza je zorta źelinůw ze familije rołzowatych.
agentive-physical-object;['galiella rufa'];Galiella rufa je grzib, co go nojprzōd ôpisoł Ludwig David von Schweinitz, a terŏźnõ nazwã doł mu Nannf.
agentive-physical-object;['dwupuklato kamela'];Dwupuklato kamela, inakszy baktryjůn to je srogi parzistokopytny cyckocz, kery je dźiwokim zwjyrzym, co uůn żyje we strzodkowyj Azyji, atoli tyż jako chowny gadźina.
agentive-physical-object;['kopruchowate', 'kopruch', 'kopruchy'];Kopruchowate, Kopruchy to je familijo chrobokůw ze řyndu muchůwkůw, kero wystympuje na coukim śwjeće.
agentive-physical-object;['ptoki', 'ptok', 'aves'];Ptoki – grůmada stouoćeplnych zwjyřůnt s podtypu kryngowcůw.
agentive-physical-object;['lama', 'lama glama'];Lama to je zwjyrz, kery wpjyrw żůł we Americe Połedńowyj, a terozki tyż we Ojropje, Americe Půłnocnyj a we Australiji.
amount-of-matter;['kafyj', 'kafej', 'kawa'];Kafyj to je napitek, kery je robjůny ze shajcůnych a mlůnych abo poddanych instantyzacyji źorkůw kawowca.
amount-of-matter;['woda', 'h₂o', 'dwutlynek wodoru'];Woda – zwjůnzek chymiczny uo wzorze H2O, wystympujůncy we warůnkach standardowych we stańy ćekłym.
amount-of-matter;['metůn', 'metan'];Metůn, znůmy tyż jako błotny goz to nojprostszy wůnglowodůr nasycůny.
amount-of-matter;['wodorotlynki'];Wodorotlynki sům to zwjůnzki zbudowane s metalu a jydnowartośćowych grup wodorotlynowych OH-, uopisywane uůgůlnym wzorym Mx.
amount-of-matter;['dwutlynek wůngla', 'co2'];Dwutlynek wůngla – ńyorgańiczny zwjůnzek chymiczny.
amount-of-matter;['żywe strzybło'];Żywe strzybło (Hg, łać.
amount-of-matter;['tinta'];Tinta – postrzodek farbiōncy we postaci roztworu barwnika we rozpuszczalniku ze ewyntualnym dodatkym substancyji zagynszczajōncych
amount-of-matter;['fluor', 'f'];Fluor (F, łać.
amount-of-matter;['mesing'];Mesing to je stop mjedźi s cynkym kery mo we skuodźe do 40% cynku.
amount-of-matter;['coca-cola'];Coca-Cola to je marka bezalkoholowygo napitka produkowanygo bez firma The Coca-Cola Company.
amount-of-matter;['gorko szekulada'];Gorko szekulada – napitek powstoły ze mjeszonki mlyka, szekulady a cukru, zauobycz pity na gorko.
amount-of-matter;['tuste'];Tuste to je przetopjůny fet uod zwjyrzůnt, nojczyńśći ze szpyrki uod świńe, kery śe wykorzistuje do przigotowywańo jodła lebo tyż do bezpostrzedńigo jedzyńo.
biological-object;['blaza'];Blaza (uać.
biological-object;['ajchel'];Ajchel – uowoc dymba.
biological-object;['śerce', 'syrce'];Śerce (tyż: serce, łać.
biological-object;['ćulik', 'pulok', 'pyńis'];Pyńis (pot.
biological-object;['ślypje'];Ślypja – receptorowy uorgan, kery zezwolo wysztrzuwać rychtůng a forymność padnůńćo śwjotła, a tyż wjedzyńy procese formirowańo uobroza - widzyńy.
biological-object;['sznupa', 'šnupa'];Sznupa to je uorgan, bez kery wprowadzo śe do płůc luft.
biological-object;['szwanc', 'kwost', 'šwanc'];Šwanc to je kůńcowo tajla ćoua zwjyřůnt, gyneralńy mjanuje śe tak ruchůmo a wyraźńy uoddźelůno ode tůuowja "wypustka".
biological-object;['gowa', 'ueb'];Gowa je tajlům ćaua.
classification-system;['ukłod wspůłrzyndnych'];Ukłod wspůłrzyndnych, ukłod koordynatůw - dwuwymiarowo systema, kero służi do uopisańo punktu abo uobjektu we geometrycznym raumje bez hilfa dwůch uośi, nojczyńśći mjanowanych X a Y.
classification-system;['żydowski kalyndorz'];Żydowski kalyndorz, lebo hebrajski (hebr.
classification-system;['grygůrjański kalyndorz', 'grygorjański kalyndorz', 'kalyndorz grygorjański', 'kalyndorz grygůrjański'];Grygůrjański kalyndorz – słůnyczny kalyndorz wykonůkwjůny we 1582 bez papjyża Gregora XIII. Uod 1927 używany je uůn na cołkim śwjeće.
cognitive-event;['blinker'];Blinker je tajla autoka lebo inkszygo pojazdu, kerům śe dowo znać uo zamjyrzyńu půmjyńyńa kerunku jazdy lebo pasa ruchu.
cognitive-event;['pochodno', 'růżńičkowańe'];Pochodno to je matymatyczno fůnkcyjo, kero uopisuje kej wartko śe zmjeńo wert fůnkcyji pod zmjanům jyj argumentůw.
cognitive-modal-description;['atejizm'];Atejizm – systyma poglůndůw kero uodćepuje furt wjara we istńyńe Boga a bogůw, je przećiwno do dejizmu.
course;['śmjyrć', 'śmiyrć'];Śmjyrć (łac.
ecological-collective;['źeliny', 'źelina'];Źeliny (Archaeplastida Adl i in.
event;['bjyg maratůński'];Bjyg maratůński to je bjyg na dystanśe 42 kilomyjtrůw a 195 myjtrůw.
functional-matter;['batůn'];Batůn – zorta maszketůw uo ńywjylgich rozmjarach.
functional-matter;['kafyj', 'kafej', 'kawa'];Kafyj to je napitek, kery je robjůny ze shajcůnych a mlůnych abo poddanych instantyzacyji źorkůw kawowca.
functional-matter;['gabardyna'];Gabardyna – miano ciynkigo wołnianego sztofu ô szagim plocie.
functional-matter;['guma do żućo'];Guma do żućo – zorta maszketůw przeznaczono do żućo, a ńy łykańo.
functional-matter;['guma do żućo'];Guma do żućo – zorta maszketůw przeznaczono do żućo, a ńy łykańo.
functional-matter;['bůmbůn', 'bůmbůny'];Bůmbůn – maszket, kery robi śe ze stynżůnygo roztworu cukru we wodźe, do kerygo dowo śe roztomajte arůmy a barwńiki.
functional-matter;['taszyntuch', 'sznuptechla'];Taszyntuch, kajńikej tyż sznuptechla to je mały kůnsek płůtna lebo mjynkkigo papjůra, kery suży do uobćerańo ze smarkůw sznupy.
functional-matter;['grochůwka'];Grochůwka – zupa přiřůndzano s uupanygo grochu, na wyndzůnce s dodatkym čosnku a majyranku.
functional-matter;['czipsy', 'chipsy'];Chipsy to popularno zorta maszketůw, zrobjůno ze kartoflůw ćynko pokrůnych na sznity a wćepanych na głymboki fet.
functional-matter;['kartofel', 'solanum tuberosum'];Kartofel to je zorta byliny ze familije pśankowatych.
functional-matter;['pogańske krupy'];Pogańsky krupy – krupy robjůne s poganki.
functional-matter;['ślůnski kołoc', 'sträselkucha'];Kołoc – ćasto ze ślůnskij kuchńi.
functional-matter;['coca-cola'];Coca-Cola to je marka bezalkoholowygo napitka produkowanygo bez firma The Coca-Cola Company.
functional-matter;['cygareta', 'cigareta'];Cygareta – wyrůb tytůńowy skuodajůncy śe s rurki s ćynkej bibůuki uo średńicy do 1 cm a dugośći do 12 cm, wnůntř kerej znojduje śe mišůng tytůńowy zawjerajůncy spreparowane liśće růžnych uodmjan tytůńu.
functional-matter;['chlyb'];Chlyb to je pjeczywo, kere je uotrzimywane bez wypjykańy ćasta kere je kuplůngym můnki uobjylowyj s wodům, ćasto te poddowo śe nojczyńśći gyrowańu alkoholowymu abo mlykowymu a we efekće dostowo śe bochny roztůmajtych ksztołtów a srogośći.
functional-matter;['pizza'];Pizza — jodło italskigo kuchńa, na terozki fest powszychno na cołkim śwjeće.
functional-matter;['gorko szekulada'];Gorko szekulada – napitek powstoły ze mjeszonki mlyka, szekulady a cukru, zauobycz pity na gorko.
functional-matter;['szekulada', 'čekulada', 'šekulada'];Szekulada – wyrůb cukerńiczy uůnaczůny s mjazgi kakaowyj, fetu kakaowygo abo fetu cukerńiczygo, czygoś do słodzyńo a inkszych dodatkůw.
functional-matter;['grochůwka'];Grochůwka – zupa přiřůndzano s uupanygo grochu, na wyndzůnce s dodatkym čosnku a majyranku.
functional-matter;['hawerfloki'];Hawerfloki to je popularne jodło do śńodańo.
functional-matter;['zymft'];Zymft (ze mjym.
functional-matter;['nudle'];Nudle to je jodło kere śe robi ze můnki, wody a ńykej jajcůw.
functional-matter;['popkorn', 'popcorn'];Popkorn (śl.
functional-matter;['tortellini'];Tortellini – tradycyjno italsko potrawa.
functional-matter;['glancpapjůr'];Glancpapjůr to je śćyrny matyrjoł złůnaczůny we formje archůw abo taśmůw s papjůra, kery s wjyrchńij strůny mo prziklyjůny śćyrny matyrjoł.
functional-matter;['rolada', 'rolady'];Rolada – mjynsne jodło.
functional-matter;['malta'];Malta to je miszůng sproszkowanygo a pobełtanygo s wodům spojiwa s pjoskym.
functional-matter;['ćaplyta'];Ćaplyta to je zawjyśina źymje a půłu we wodźe, powstowo ntp.
geographical-object;['apyńiński půłwysep', 'půuwysep apyńiński'];Apyńiński Půłwysep – půłwysep we połedńowyj Ojropje, uobkolůny uod akwynůw Strzůdźymnygo Morzo: Liguryjskigo a Tyrryńskigo uod zachodu, Jůńskigo uod połedńo a Adrjatyckigo uod wschodu.
geographical-object;['połedńowo amerika', 'amerika pouedńowo'];Amerika Pouedńowo – kůntynynt, kery ležy na půukuli zachodńij.
geographical-object;['wisła', 'wisua'];Wisła - nojdugszo rzyka we Polsce.
geographical-object;['republika chińsko', 'chińsko republika', 'rypublika chińsko', 'taiwan'];Republika Chińsko, znono nojčyńśći kej Tajwan – państwo we pouedńowo-wschodńij Azyje na wyspje Tajwan u wybřežy ChRL. Do Republiki Chińskij noležům tyž wyspy Peskadory, Kinmyn a Matsu.
geographical-object;['wyspy marshalla', 'wyspy marshallã'];Wyspy Marshalla ('Republika Wyspůw Marshalla, marszalsko godka: Aolepān Aorōkin M̧ajeļ, ang.
geographical-object;['gůndwana', 'gondwana'];Gůndwana to bůł połedńowy superkůntynynt kery istńoł we paleozojiku a na anfangu mezozojiku, a zaś na kůńcu mezozojiku a na anfangu kynozojiku.
geographical-object;['wyspa'];Wyspa – trwouy fragmynt lůndowyj powjyřchńi Źymje, kery je uoblany ze wšyjstkych strůn wodům.
geographical-object;['uocean'];Uocean (uać.
geographical-object;['uoceańijo'];Uoceańijo to je mjano lo wyspůw Uoceanu Spokojnygo, kere wroz s Australijům twořům uodrymbno tajla śwjata.
geographical-object;['bałkany', 'boukany'];Boukany to je mjano rygjůnu geůgrafičnygo we pouedńowo-wschodńij Ojropje.
geographical-object;['kaspijske morze'];Kaspijske Morze (per.
geographical-object;['ryn'];Ryn (fr.
geographical-object;['missisipi'];Missisipi, (ang.
geographical-object;['amazůnka'];Amazůnka (Río de las Amazonas, Río Amazonas) – nojdugszo rzyka na śwjeće, nojdujůnco śe we Americe Połedńowyj, kero mo tyż nojwjynksze na śwjeće dorzycze (uo powjyrzchńi ůng.
geographical-object;['sůmatra'];Sůmatra – wyspa na Indyjskim Uoceańe we archipelagu Srogich Sůndajskich Wyspůw, we połedńowyj Azyji.
geographical-object;['rzyczka'];Rzyczka je mały wodny strůmjyń ze gibkim bjegym, kery płyńe bez teryn uo srogich dyńiwelacyjach, czynsto tyż mjyndzy skałůma.
geographical-object;['nowo gwinyjo', 'nowo gwinyja'];Nowo Gwinyjo (ang.
geographical-object;['łaba'];Łaba (cz.
geographical-object;['wołga'];Wołga – rzyka we Rusyji, na 3530 km dugo.
geographical-object;['bałtycke morze', 'boutyk', 'moře boutycke'];Bałtycke Morze, Bałtyk – mjałke strzůdlůndowe morze na szelfje kůntynyntalnym we Ojropje Půłnocnyj.
geographical-object;['karajibske morze'];Karajibske Morze – morze we zachodńij tajli Atlantyckigo Uoceanu, rozlygowane mjyndzy Wjelgimi Antylůma na půłnocy, Małymi Antylůma na wschodźe, Kolůmbijům a Wynezuelům na połedńu a Meksykym a państwůma Půłnocnyj Ameriki rozlygowanymi mjyndzy Meksykym a Kolůmbijům.
geographical-object;['mekůng', 'mékong'];Mekůng – rzyka we połedńowo-wschodńij Azyji, nojdugszo na Indochińskim Půłwyspje, sztworto podug dugośći we Azyje a 9.
geographical-object;['antarktyda'];Antarktyda (ang.
