abstract-quality;['شخصیت'];شخصیت یا شخسیت مفهومی کلی هسه که معانی مختلفی داینه.
agentive-figure;['شوروی'];شورویِ سوسیالیستی جماهیر ِاتحاد یا خلاصتاً شوروی اتا سوسیالیستی و کمونیستی کشور بی‌یه که روسیه و چنتا متحد ِجمهوری جه تشکیل بی‌یه که تأسیس بیّن جه تا رِقِدبوردِن گادِر گتِ قسمتونی از اروپا و آسیا ره شه سامون دله داشته و دِنیایِ گترین کشور بی‌یه.
agentive-figure;['دون کیشوت', '"دون کیشوت"', 'دن کیشوت'];دون کیشوت اتا ایسپانیایی کتاب نوم هسته.
agentive-figure;['روم مقدس امپراتوری', 'روم مقدس ایمپراتوری'];روم ِموقدس ِایمپراتوری أتا امپراتوری نوم بی‌یه که غربی روم امپراتوری سقوط هاکردن په دِرس بیه.
agentive-figure;['آلمان ناسیونال سوسياليست حزب'];آلمان کارگرون ناسیونال سوسیالیست حزب ‌ گوش دادن پرونده که معمولاً حزب نازی نوم جه ئم اشناسی وونه؛ اتا سیاسی هیزب ۱۹۱۹ تا ۱۹۴۵ سالون میون بی‌یه.
agentive-figure;['نازی آلمان', 'آلمان نازی', 'حزب نازی'];آلمان نازی یا رایش ۱۹۳۳-۱۹۴۵ به حکومت آلمان دوران بین سال‌ئون ۱۹۳۳ تا ۱۹۴۵ بائوته وانه که دولت آدولف هیتلر تا سال ۱۹۴۵ میلادی این کشور دله راس حکومت بی‌یه.
agentive-physical-object;['لپ تاپ', 'لپ\u200cتاب'];لپ تاب یا لپ تاپ ات‌تی کامپیوترون نازکی هسنه.
agentive-physical-object;['موزی'];موزی اتا دار هسِّه که فارسی دله بلوط گننه.
agentive-physical-object;['اوجی', 'ئوجی', 'نعنای آبی'];شِمه منظور شاید اینتا بی‌بائه: اوجی، کیوتو.
agentive-physical-object;['حیوون', 'جانور', 'جانوران', 'جانورون', 'جونورون', 'حیوان', 'حیوونا'];حیوون یا جانور اتا جور مهم جاندار هسته که دِتا گتِ زیرگروه مهره‌دارون و بی‌مهره‌ئون جا تشکیل بَیه.
agentive-physical-object;['رایانه', 'کامپیوتر'];کامپیوتر اتا ماشین هسه که تونه اطلاعات ره بیره و اتاکمه کار ونه سر انجام دنه یا وه ره عوض کنه، تا جدید اطلاعات ره بسازه.
agentive-physical-object;['سک', 'canis lupus familiaris', 'سگ'];سک یا سگ اتا حیوون پستاندار هسه که زیرگونهٔ اهلی ورگ‌ها و پستانداری از راستهٔ سک‌مونائون محسوب بونه.
agentive-physical-object;['گوشک', 'fungi', 'قارچ'];گوشک اتّا جاندار هسته که نا گیاهه و نا جانور.
agentive-physical-object;['دار'];دار اتا دسته گیاهون هسِّنه که وشون تنه سایر گیاهون تون کلفت‌تر و محکم‌تر هسِّه.
agentive-physical-object;['تِلا', 'تلا', 'تیلا'];تِلا اتا اهلی پرنده نومه که فارسی دله وه ره خروس گنّه.
agentive-physical-object;['سیو کرکس'];سیو کرکس که با نوم آمریکایی سیو کرکس هم ونگ‌بزه وانه، پرنده‌ای جدید خانواده کرکس‌ئون بر جدید جا هسته که ونه جاء از جنوب‌شرقی موتحده ایالات، تا مرکز شیلی و اروگوئه جنوبی آمریکا قاره دله هسته.
agentive-physical-object;['ورزا'];وِرزا نر گو ره گانّه.
agentive-physical-object;['گندم', 'گنم', 'گننم', 'گنِّم'];گندِم یا گنِّم اتا گیاه هسته که بعضی کشورون، چین، هند، امریکا و ایران شمال‌شرقی‌سمت واری وه ره کشت کانّه.
agentive-physical-object;['سمشکه', 'آفتابگردون'];آفتابگردون اتا گیاه نوم هسّه که ونه تیم ره سِمشکِه گانّه.
agentive-physical-object;['طنابدارون', 'رسن\u200cدارون', 'chordata'];رسن‌دارون یا طنابدارون اتا گروه حیوونا هسنه که اتا مرحله شه زندگی دله، پچیک عصبی رسنی به نوم notochord دایننه که ونه انتها مغر ره چک دنه.
agentive-physical-object;['بز', 'capra aegagrus hircus', 'بزکاله', 'بزکله', 'بِز'];بِز اتا اهلی حیوون نوم هسته که زوج‌سمون راسته ، گوسانون خنواده ، بزون زیرخنواده ، بزون جنس دله دره.
agentive-physical-object;['افرا', 'acer'];اِفرا یا اَفرا اتا جنگلی دار نوم هسته که اسیدی خاک دله گت وانه و مازرون و گیلان دله خله دِکاشته وانه.
agentive-physical-object;['اوچلیک', 'ئوچلیک'];اوچلیک یا ئوچلیک ات‌جور پرنده هسته که نسبتاً اجتماعی هسته و بعضی جائون بتونده گلّه‌یی زندگی هاکنه.
agentive-physical-object;['میشکا', 'میچکا'];میشکا یا میچکا یا جیکا اتا پچوک پرندوئه که شرقی نیم‌کوره دله خله پیدا وونه.
agentive-physical-object;['ونوشه'];وَنوشه اتی گُل نوم هسته که ونوشه‌ئون تیره جوئه که ویشته نواحی موعتدل دله پیدا وونّه.
agentive-physical-object;['نارنگی', 'اونشو', 'اوشو'];اونشو، اوشو، یا نارنگی اتا میوه‌ هسته که مرکبات جه هسته.
agentive-physical-object;['کرکس'];کَرکَس یا لاشخور پرنده‌یی هسته که ویشتر از مردال‌لاش غذا خانّه.
agentive-physical-object;['جول', 'عقاب'];عقاب یا اتا از گت‌ترین و نیرومندترین پرندگان جهون هسه.
agentive-physical-object;['وک'];وک اتا دوزیست حیوون هسته کا آبندون و کیله و زمین‌سر دله زندگی کنه و خله گوناگون هسته.
agentive-physical-object;['لیسه', 'لسگ'];لیسه ات‌تی بی‌صدف ِلیسک و ات‌جور نرم‌تن، اشکم‌پائون ِچِلّه دله، هسته.
agentive-physical-object;['برگ عسلی', 'stévia', 'استویا'];استویا گیاهی با نهایت بلندی یک متر، و حداکثر عمر پنج سال با برگ‌های شیرین که بومی آمریکای جنوبی هسه که تاب سرما ره ندارنه و مناسب مناطق شومالی و جونوبی ایران یا کشت گلخانه ای هسه.
agentive-physical-object;['آرمادیلو'];آرمادیلو شابلون:ایسپانیولی اتا پچوکِ وَچه‌زا پستاندار هسته که شه تن ِزرهی لاک وسّه معروف بيّه.وه اين لاکی تن جه بتونده خطر موقع جِق بَيره و توپ واری بوو.
agentive-physical-object;['وارنگ بو', 'melissa officinalis'];وارنگ بو یا بادَرَنجبویه یا بادَرَنگْبویه یا کوکوآلد گیاهی هسه معطر و علفی چندساله.اصلی خاستگاه وِ شرق مدیترانه‌ هسه و در اکثر نقاط شومال ایرون و در بعضی از نقاط آزربایجان و پیدا بونه.
agentive-physical-object;['تیکا', 'turdus merula', 'توکا'];تیکا یا معمولی تیکا اتا پرنده هسته گه مازندرون جنگلون دله به وفور پدا وونه.
agentive-physical-object;['سرخ اشکاری\u200cگو', 'مارال'];مارال یا سِرخِ اِشکاری‌گو یا کویی گو اتا گتِ اشکاری‌گو نوم هسته که اروپا، پچیک آسیا، غربی آسیا و میونی آسیا و آفریقا بومی هسته.
agentive-physical-object;['مهاز', 'کورماز'];مهاز یا کورماز اتا حیوون نوم هسه که حشرات رج دله جا گنّه.
agentive-physical-object;['تیرنگ'];تیرنگ یا در فارسی قدیم تورنگ و عربی تذرو و قرقاول ترکی همه اتا پرنده نوم هسِّه که ونه گوشت بسیار خوشمزه و به اینتا خصوصیت خله مشهور هسِّه.اینتا پرنده ی جنس نر خله خوشگل و رنگارنگ هسِّه و ونه دِم هم خله بلندتر از نوع ماده هسِّه.
agentive-physical-object;['ترش واش'];ترش واش نوعی سبزی ترش مزه و گیاهی بخردنی هسه که بیشتر در سبزی خورش استفاده بونه.ترش واش خله گیاه قد کتا هسه و زمین سر تجنه و پخش بونه.
agentive-physical-object;['سینجه', 'elaeagnus angustifolia'];سینجه اتا گیاه از خانواده سینجه‌مونائون هسه و هوای معتدل دله دراینه.
agentive-physical-object;['اشکاری\u200cگو', 'اشکاری گو'];اشکاری گو یا گنجه گو اتی حیوون نوم هسته که جفت‌سم‌ئون و کاله‌دارون میون رَج‌وَندی وانه.
agentive-physical-object;['کفتال', 'کفتار'];کفتال اتا حیوون هسّه که سگ ره مونّه ئو بامشی‌مونائون رج دله دره.
agentive-physical-object;['خر', 'equus asinus', 'خرکاته'];خر یا اُلاغ اتا حیوونی هسته که چارپائون ِچلّه دله دره.
agentive-physical-object;['خی', 'sus scrofa domestica'];خی یا خو هسته اتا پستانداری هسته کا وراز خانواده، جفت ‌سمون راسته، او وازون و جفت‌ سمون بالا راسته دره.
agentive-physical-object;['کانجی', 'کنجی'];کانجی یا کُنجد اتی دِلپه‌یی گیاه هسته که ونه ثمره کپسول‌مونا وانه و ونه دله پچوک-پچوک تیم دَره.
agentive-physical-object;['ملج', 'ملچ'];مَلِج یا ملچ اتی جنگلی دار نومه که ات‎‌جور اوجا هسته.
agentive-physical-object;['بامشی', 'felis silvestris catus'];بامشی مازرونی زوون دله اتا حیوون نوم هسه.
agentive-physical-object;['لیسک', 'لسک'];لِسِک، لِسِگ یا لیسک اتّی نرم‌تن هسته که اِشکم‌پائون رجه دله دره.
agentive-physical-object;['اسراییلی سیکا', 'سیکا اسرائیلی'];اسراییلی سیکا یا سیکا اسرائیلی اتتی سیکا نوم هسته که مرکزی و جنوبی آمریکا و مکزیک دله دره.
agentive-physical-object;['گیلاس', 'prunus avium'];گیلاس، روستائی هسه از توابع بخش لاریجان شهرستان آمل در استان مازندران ایران.
agentive-physical-object;['پلنگ', 'panthera pardus'];پلنگ اتا حیوون هسه بامشی‌مونائون خانواده دله.
agentive-physical-object;['مر'];مَر ، اتا حیوون نوم هسه که خزندگون رج دله جا گیرنه.
agentive-physical-object;['سمبورو', 'martes zibellina'];سمبورو، سامبارو یا سمبوره اتا حیوون نوم هسته که گوشتخاره و ونه پوست «خـَز» خله گرون و قیمتی هسته.
agentive-physical-object;['اش', 'خرس'];اش یا ارش ئه‌تا حیوون نوم هه‌سه که فارسی دله وره خرس گنّه‌.اش هم گیاه خورنه هم گوشت.
agentive-physical-object;['کرگردن', 'کرگدن'];کرکردن یا کرگدن اتی کاله‌دارون هستنه که گیاهخاری کانّه و خله مزّیر تن دارنه و اگه آدِم ره حمله هاکنن، تونّه وه ره بکاشن.
agentive-physical-object;['مرز دار', 'carpinus betulus', 'ممرز'];مَمرِز یا مَرِز دار اتا دار نوم هسته که ایران ِشمالی نواحی و اروپا دِکاشته وونه.
agentive-physical-object;['پیت کله', 'جغد', 'پیتکاله', 'پیتکله', 'پیت\u200cکله'];پیت‌کله یا پیتکاله یا کوربی پرنده‌ئونی نوم هسته که شو پر زنده و ونه غذا گل، وک و… هسه.
agentive-physical-object;['شوپرپری', 'chiroptera', 'شوپر'];شوپرپری یا شوپر اتا جانِــوِر هسته گه پر ندانه ولی بتونده پرواز هاکنه.
agentive-physical-object;['تسکا'];تسکا یا توسکا اتا دار نوم هسِّه بونه.
agentive-physical-object;['زیک', 'دم\u200cجنبانک', 'زیگ'];شِمه منظور شاید اینتا بی‌بائه: سرخ چنک.
agentive-physical-object;['شال'];شال اتا حیون هسته که ورگ و لوئاس ره موندنه.
agentive-physical-object;['وراز', 'sus scrofa', 'وِراز'];}} وِراز ات‌جور وحشی خی ره گنّه.
agentive-physical-object;['راکون', 'procyon lotor'];راکون اتا متوسط اندازه حیوون هسه که شمالی آمریکای بومی هسه.
agentive-physical-object;['بتو', 'بند', 'ونالی'];بَتــّو یا ونالی یا بَند یا وَند اتی حیوون هسته که بئو ِرجه دله قرار گیرنه.
agentive-physical-object;['تشی'];تَشی اتا پستاندار ِجونور هسته که ونه تن اتا تَلی‌تَلی‌دار پوشش جه دَپوشنی‌یه و زمونی که احساس خطر هاکنه شه جه این پوشش جه محافظت کانده.
agentive-physical-object;['ماچکال', 'مرموشکل', 'ماچکل'];مرموشکل، ماچکل یا مرموچکل هسِّه.
agentive-physical-object;['ماچکال', 'مرموشکل', 'ماچکل'];مرموشکل، ماچکل یا مرموچکل هسِّه.
agentive-physical-object;['انار', 'punica granatum'];انار اتا داری میووئه که ونه تیم ویشتر سرخ رنگه، بعض گادِر هم اسپه تیم ونه دله دره و یا رنگای مابین این دِتائه.
agentive-physical-object;['النبک'];النبک اتا شهر نومه هسته که سوریه دله دره.
agentive-physical-object;['للم\u200cباز', 'مشدی للم\u200cباز'];لَلِم‌باز اتتی حشروئه که للم‌بازون راسته شنه.
agentive-physical-object;['بئو', 'insecta', 'بئوها', 'حشره'];بئوها موجوداتی بی مهره و جزو بندلینگون هستنه که دارای خارجی اسکلت از جنس کیتین هستنه.
agentive-physical-object;['کنس', 'ازگیل', 'کاندس'];کِنِس، کِندِس یا کاندِس اتا میوه خانواده سرخ گل ها و رده کنس های دله هسِّه.این خانواده ی دله سِه ، میوه و به هم درننه.کنس وقتی نرسیه سبز مایل به اسپه هسِّه و برسین په ونه رنگ قهوه‌ای، مزه نسبتآ شیرین و ونه طعم کز بونه و هر چی بیشتر برسه ونه کزی هم کمتر بونه.
agentive-physical-object;['ورده', 'وشم', 'وشوم'];ورده یا بدبده اتا خورد پرنده هسته که ون پـَـــر ، گوشت و مرغانه پِرطرفدار هسته و همین‌تا وسته بعضی کشورها دله پرورش هدائه وونه.
agentive-physical-object;['شوکا', 'capreolus capreolus'];شوکا ات جور آهو ئه که ئوروپا ، خورد ِ‌آسیا ئو کرانه‌ئون مازرون دریا دله زندگی کانده.
agentive-physical-object;['ماستنگ', 'mustang'];شِمه منظور شاید اینتا بی‌بائه: ماستنگ.
agentive-physical-object;['پس پلیک', 'پس پسی کور', 'چرخ\u200cریسک', 'چریسک', 'کور زنجلیک', 'کور زنجیرک'];پس پلیک، پس پسی کور، چریسک، کور زنجلیک یا زنجیرک اتجور پرنده هسته که خله پچوک جثه هسته.
agentive-physical-object;['ارمنجی'];ارمنجی اتا پستاندار ِجونور هسته که ونه تن اتا تَلی‌تَلی‌دار پوشش جه دَپوشنی‌یه و زمونی که احساس خطر هاکنه شه جه این پوشش جه محافظت کانده.
agentive-physical-object;['سرخ چنک'];سرخ چنک، سرخ دل سر، سینه سرخی، بلی بود و… اتا پرنده نوم هسته که ونه علمی نوم Carduelis cannabina هسته و خله زیک ره موندنه.
agentive-physical-object;['سیکا', 'بەت\u200e', 'اردک'];سیکا اتا نوم هسته که معمولاً Anatidae خنواده‌ئون سه به کار شونه.
agentive-physical-object;['عسل ماز', 'apis mellifera', 'زنبور عسل', 'عسل مقز'];عسل مقِز یا عسل ماز ات‌جور ماز هسته که عسل سازنه.
agentive-physical-object;['ملیجه'];ملیجه اتا حیوون نوم هسه که حشرات رج دله جا گیرنه و فارسی دله وه ره مورچه گنّه.
agentive-physical-object;['اسپ', 'equus caballus'];اسپ اتا کاله‌دار هسه که خله قدمال و سریع هسه.
agentive-physical-object;['کوگندم', 'zea mays'];کوگنِّم، کوئَندِم،کوگندم یا...
agentive-physical-object;['خارما', 'خرما'];خارما یا خِــرما ئه‌ت گیاه هسته گه گرم مناطق دله در اِنه و ونه میوه گه نازک پوست و قایم تیم دارنه بخاردنی هسته.
agentive-physical-object;['لل'];اتا حیوون نوم هسه که حشرات دسته ی دله جا گیرنه و فارسی دله وه ره پشه گنّه وره پشه.
agentive-physical-object;['پرپین'];فِلوه، پرپین یا خرفه اتا سبزی نوم هست که گرم ِهوا دله رشد کانده و طبع سرد نی‌یه و جنوب کشور دله خله استفاده بونه.
agentive-physical-object;['اسپیج', 'اسویج', 'شپش'];اسپیج یا اسپیچ که فارسی زبون دله شپش نوم دارنه.
agentive-physical-object;['گسفن', 'ovis aries'];گاسفن یا گسفن یا گسِّن یا گِسپِین اتا پستوندار اهلی هسته که ونه گوشت و پشم و هِستِخون جه ایستیفاده ورنّه.
amount-of-matter;['ئو', 'h₂o', 'uö', 'او'];ئو مازرونی زبون ده‌له معنی آب ره دنه.
amount-of-matter;['نفت'];نَفت مایع غلیظ و آتش گير به‌رنگ قهوه‌ای سبز یا سبز تیره‌ بوده که در لایه‌های بالایی بخش‌هایی از پوستهٔ کره زمین پيدا می‌شود.
amount-of-matter;['جیوه'];جیوه اتا عنصر شیمیایی هسِّه که با Hg سِراق هدا بونه و ونه عدد اتمی 80 هسِّه.
amount-of-matter;['اندروفين', 'اندروفین'];اندروفین‌ئون مخدرونی طبیعی هستنه كه مغز و غده‌ی هیپوفیز دله تولید بوننه.
amount-of-matter;['فرانسیوم', 'فرانسیم'];فرانسیُم با اسم‌ئون قدیمی کا-سزیم و یا اکتینیم ‎K،‏ عنصری شیمیایی با نماد Fr و عدد اتمی ۸۷ هسته که گروه IA و دوره هفتم دله قرار بیته.
amount-of-matter;['راغون'];راغون یا 'روغن هر دِتا تلفظ مازرونی دله استفاده بونه.
amount-of-matter;['آسپرین', 'استیل\u200cسالیسیلیک اسید'];استیل‌سالیسیلیک اسید معروف به آسپیرین، اتا ضدالتهاب و غیراستروئیدی دوا هسته که معمولاً به عنوان ضددرد و ضدتو استفاده وونه.
amount-of-matter;['مقدس ئو'];کلیسای کاتولیک، انگلستان، ارتدوکس شرقی، لوتریسم و چنتا کلیسای دیگه مسیحیت دله مقدس ئو ات ئو هسته که توسط اتا کشیش مقدس وانه تا غسل تعمید و مقدس سازی جاء وسّه به جهت دورسازی شیطون استفاده وانه.
biological-object;['پزغاله'];پزغاله ئه‌تا نوع پوستی ضایعه هسته گه پوستِ دیم ئه‌ت کیسهٔ واری گه ون دله اُ دره، خادر ره نشون دنه.
biological-object;['تینگ', 'کلیتوریس'];تینگ اتا واجه هسته که ونه معنی فارسی دله «چوچوله» و انگلیسی زبون دله «کلیتوریس» هسِّه.
biological-object;['بکارت پرده'];بکارت پرده یا دِتری اتا نازک بافت هسته که ونه جنس مخاطی‎‌ئه که کیجائون ِکاس په ره پوشننده.
biological-object;['مخچه'];== مخچه ==
biological-object;['پره'];پره دوازده جفت هستکا هسته که ستون مهره جا شروع بونه و جز دوتا پره که جر درنه بقیه اننه جلو و وصل بوننه جناغ کش.
biological-object;['مرکبات', 'citrus'];مرکبات پتقال، لمو، ترش لمو، نارنج، نارنگی و ‌‌‌...
biological-object;['انگوست'];انگوس بال و لنگ دنباله در انه.
biological-object;['نارنگی', 'اونشو', 'اوشو'];اونشو، اوشو، یا نارنگی اتا میوه‌ هسته که مرکبات جه هسته.
biological-object;['ممیج', 'کشمیش', 'کیشمیش'];مَـمیج یا کشمیش همون انگور هسته که وه ره خاشک هاکرد بائِن.
biological-object;['پستون', 'ججو', 'جوجو'];پستون گه محاوره دله وه ره جوجو گونّــه دِ یا چند غده هسته گه پستوندارون سنهٔ دیم در انه.
