abstract-region;['ෆූරියර් ශ්\u200dරේණිය', 'ෆෝරියර් ශ්\u200dරේණිය'];ගණිතයේදී, ෆූරියර් ශ්‍රේණිය මගින් ආවර්තිත ශ්‍රිතයක් සරල දෝලන ශ්‍රිත කිහිපයක ඓක්‍යයක් බවට වියෝජනය කරයි.
activity;['හිප් හොප් සංගීතය'];ශෛල්‍යයේ සම්භවය ආර් ඇන්ඞ් බී, ඩිස්කෝ සහ පන්ක් සමග මුසුවූ ජැමෙයිකානු ඩාන්ස්හෝල් ටෝස්ටින්ග් සංස්කෘතික සම්භවය 1960 දශකයේ අග භාගයේ හි 1070 දශකය මුල් භාගයේ ජැමෙයිකාවේ කින්ග්ස්ටන් හි සහ 1970 දශකයේ මුල් භාගයේ නිව් යෝර්ක් හි සවුත් බ්‍රොන්ක්ස් වල භාවිත භාණ්ඩ ටර්න්ටේබල්, රැප්, ඩ‍්‍රම් මැෂින් සාම්ප්ලර්, සින්තසයිසර්, කටහඩින් නාද නිකුත්කිරීම ප‍්‍රධාන ධාරා ජනප‍්‍රියත්වය එක්සත් ජනපදයේ 1980 දශකයේ අගභාගයේ සිට සහ ලොව පුරා 1990 දශකයේ මුල් භාගයේ සිට 2000 මුල්භාගයේ ලොව වැඩිම අලෙවියක් ඇති සංගීත ශෛලීන්ගෙන් එකකි හිප් හොප් සංගීතය යනු කථනය ප‍්‍රමුඛ කරගත් රැප් සංගීතය පසුබිම් කරගෙන ඞී ජේ නාද රටා සමග මුසුවන සංගීත ශෛලිය කි.
activity;['චෙස්', 'පාද ක්රීඩාව', 'chess', 'චෙස් ක්\u200dරීඩාව'];චෙස් යනු තරඟකරුවන් දෙ‍දෙනෙක් අතර සිදු වන ප්‍රතිනිර්මාණකාරී හා තරඟකාරී ක්‍රීඩාවකි.
activity;['වොලිබෝලය', 'අත් පන්දුව', 'අත්පන්දුව', 'වොලිබෝල් (අත් පන්දු) ක්\u200dරීඩාව'];සාමාන්‍යයෙන් කෙරෙන අනිකුත් වොලිබෝල් ක්‍රීඩාව සඳහා නිළ වශයෙන් වොලිබෝලය පාචිච්ච් කරයි.
activity;['ලක්\u200dරොස්', 'lacrosse'];ලක්‍රොස් යනු කුඩා රබර් බෝලයක් සහ ක්‍රොස් හෝ ලක්‍රොස් දණ්ඩ ලෙස හැඳින්වෙන දිග මිටක් සහිත දඬු භාවිතයෙන් කණ්ඩායම් දෙකක් අතර පවත්වනු ලබන කණ්ඩායම් ක්‍රීඩාවකි.
activity;['පෞද්ගලික පරිගණක ක්\u200dරීඩා', 'computer games- controversy', 'personal computer game', 'පරිගණක ක්\u200dරීඩා - මත භේදය'];පෞද්ගලික පරිගණක ක්‍රීඩාවක් යනු වීඩියෝ ක්‍රීඩා කොන්සෝලයක හෝ ආකේඩ් යන්ත්‍රයකට වඩා පෞද්ගලික පරිගණකයක ක්‍රීඩා කරන වීඩියෝ ක්‍රීඩාවකි.
activity;['ස්කොෂ් ක්\u200dරීඩාව', 'squash', 'ස්කොෂ්'];ස්කොෂ් හෙවත් බෝල-බිත්ති ටෙනිස් ක්‍රීඩාව යනු දැල් සහිත පිත්තක් යොදා ගෙන කරන ක්‍රීඩාවකි.
activity;['බැට්මින්ටන් ක්\u200dරීඩාව', 'බැඩ්මින්ටන්', 'badminton'];වැල් සහිත පිත්තක් භාවිතයෙන් කෙරෙන ක්‍රීඩාවක් ලෙස බැට්මින්ටන් හැඳින්විය හැකියි.
activity;['ගොල්ෆ්'];ගොල්ෆ් යනු පිත්ත ක් සහ බෝලයක් භාවිතයෙන් කරනු ලබන ක්‍රීඩාවකි.මෙහිදී ක්‍රීඩකයෝ බෝල වලට පහර දීම සඳහා විවිධ පිති භාවිත කරති.
activity;['අයිස් හොකී'];අයිස් හොකී යනු හිම පෙතක් මත ක්‍රීඩා කරනු ලබන, ශාරීරික ඝට්ටන සහිත, කණ්ඩායම් ක්‍රීඩාවකි.
activity;['ක්\u200dරිකට්', 'ක්රිකට්', 'cricket'];ක්‍රිකට් යනු ක්‍රිඩකයන් 11 දෙනෙකුගෙන් සැදුම්ලත් කණ්ඩායම් 2 පිටියෙ සෙල්ලම් කරන ක්‍රිඩාවකි.
activity;['බේස්බෝල්', 'බේස් බෝල් ක්\u200dරීඩාව'];බේස්බෝල්baseballයනු පිත්තක් සහ පන්දුවක් bat and ball game භාවිතා කරමින් එක් පිළකට 9දෙනා බැගින් ක්‍රීඩා කරන ක්‍රීඩාවකි.
activity;['ටෙනිස්', 'tennis', 'ටෙනිස් ක්\u200dරීඩාව'];ටෙනිස් ක්‍රීඩාව යනු කේවල හෝ යුගල වශයෙන් කෙරෙන ක්‍රීඩාවකි.
activity;['පීක්-අ-බූ', 'peekaboo'];පීක්-අ-බූ යනු ළදරුවන් සහ ඉතා කුඩා ළමුන්ගේ සෙල්ලමකි.
activity;['මේස \u200dපන්දු', 'ටේබල් ටෙනිස්', 'මේස පන්දු'];මේස‍ පන්දු යනු ක්‍රීඩකයින් දෙදෙනෙකු හෝ හතරදෙනෙකු සැහැල්ලු පන්දුවකට ඉදිරියට සහ පසුපසට එකිනෙකා වෙත පැඩලයන් මඟින් පහර දීමයි.
activity;['කිමිදුම්'];කිමිදුම් යනු වේදිකාවක් හෝ ඉපිලුම් පුවරුවක් මත සිට කරණම් ගසමින් ජලය තුලට පැනීම හෝ වැටීම සිදු කරනු ලබන ක්‍රීඩාවකි.
activity;['ටයිකොන්ඩෝ සටන් ක්\u200dරමය'];== ලෝක ටයිකොන්ඩෝ ඉතිහාසය සහ ව්‍යාප්තිය == ලබා ගත හැකි ඕනෑම උපකරණයක් භාවිතා කරමින් භයානක අවස්ථාවන්ගෙන් බේරීමට මිනිසාට ස්වභාවික ආවේගයක් ඇත.
activity;['ලිංගික සංසර්ගය', 'මෛථුන්\u200dයය'];ලිංගික සංසර්ගය යනු හුදෙක් වින්දනයක් ලැබීමට හෝ ප්‍රජනනය පිණිස හෝ එකී අරමුණු දෙක ම පිණිස පුරුෂ ශිෂ්ණය ස්ත්‍රී යෝනිය තුළට ඇතුළු කිරීමේ සහ යෝනිය තුළ තිබිය දී ම තෙරපමින් ඉදිරියට හා පසුපසට කිරීමේ ක්‍රියාවයි.
activity;['අනුමාපනය', 'titration', 'පරිමාමිතික අනුමාපනය'];අනුමාපන විද්‍යාගාරයේ දී ප්‍රමාණාත්මක රසායනික විශ්ලේෂණයක් සිදු කරන පොදු ක්‍රමය වන අතර එමගින් දන්නා ප්‍රතික්‍රියකයක සාන්ද්‍රණය සොයා ගත හැකිය.
activity;['හෝමියෝපති'];හෝමියෝපති යනු 1796දී සැමුවෙල් හානමන් විසින් ආරම්භ කළ විකල්ප වෛද්‍ය ක්‍රමයකි.
activity;['මහා මැතිවරණ'];යම් ආණ්ඩුවක ප්‍රධානතම හෝ එකම ව්‍යවස්ථාදායකය සඳහා සියළුම හෝ බහුතර සාමාජිකයින් පිරිසක් තෝරාපත්කරගැනීම සදහා පැවැත්වෙන ඡන්ද විමසීම් මහා මැතිවරණ නම්වේ.
activity;['සංගීත ප\u200d්\u200dරසංග', 'සංගීතය - ප\u200d්\u200dරසංග'];සංගීත ප‍්‍රසංගයක් යනු පේ‍්‍රක්ෂකයන් පිරිසක් ඉදිරියේ පැවැත්වෙන බොහෝ විට සංගීතමය සජීවී ඉදිරිපත් කිරීමකි.
activity;['ජන සංගණන'];== හැඳින්වීම == ජන සංඛ්‍යාවේ ප්‍රමාණය,වර්ධනය,ව්‍යාප්තිය හා සංයුතිය තීරණය වීම කෙරෙහි බලපාන ප්‍රධාන සාධක වන සඵලතාවය,මර්ත්‍යාවය,සංක්‍රමණ හා විවාහකත්වය ආදි සංරචක පිළිබඳ තොරතුරු අවබෝධ කරගත හැකි මුලයන් අපි ප්‍රජා විද්‍යා දත්ත මුලාශ ලෙස හදුන්වන අතර එම මුලාශ්‍රයන් අතර ජනසංගණන වලට හිමි වනුයේ වැදගත් ස්ථානයකි.බොහෝ රටවල ජනසංඛ්‍යා වර්ධනය පිළිබදව දත්තයන් සපයන මුලාශ්‍රය බවට ජනසංගණන පත්ව ඇති නිසා, අප ජනසංගණනයක් යනු කුමක්ද?
activity;['සංගීත ප්\u200dරසංග ශාලා'];සංගීත ප්‍රසංග ශාලා නැතිනම් මියුසිකල් තියේටර් ලෙස හදුන්වන්නේ සංගීතමය හා නර්තන කටයුතු ප්‍රදර්ශනය සදහා භාවිතා වන ප්‍රසිද්ධ ශාලාවන් ය.
activity;['ඕපාදූප'];ඕපදූප යනු, තමන්ගේ පුද්ගලික දේවල් හෝ අනුන්ගේ පෞද්ගලික දේවල් හෝ පිළිබඳ සිදු කෙරෙන නිෂ්ඵල කතා හෝ කටකතා හෝ වෙයි.
activity;['ළමාරක්ෂණය'];ළමාරක්ෂණය, දිවාසුරැකුම්, හෝ පෙර පාසල් මගින් දරුවා හෝ දරුවන් සඳහා රැකවරනය සහ අධීක්ෂණය වන අතර, වයස සති හයේ සිට අවුරුදු දහතුන දක්වා ළමා කාණ්ඩ මෙයට අයත්වේ.
activity;['මනෝ විශ්ලේෂණවාදය'];මිනිසාගේ දැනීමට හෝ පාලනයට හසු නොවන අවිඥානය මනසේ හෙවත් යටි සිතෙහි තිබෙන බලවේගයන් හා ගැටුම් පිළිබඳව අධ්‍යයනය කරනුයේ මනෝගතික විද්‍යාවෙනි.
activity;['ජූඩෝ', 'ජුඩෝ හැදින්වීම', 'ජුඩෝකා'];ජුඩෝ ක්‍රීඩාව ජු-ජිට්සු සටන් කලාවෙන් බිඳී ආ පොරබැදීමේ ආරට අයත් නූතන ජපන් ආත්මාරක්ෂක ක්‍රිඩා සටන් කලාවක් වන අතර එහි ආරම්භය 19 වන සියවසේ අගභාගයේදී ජපානයේදි සිදු විය.
activity;['දැල්පන්දු', 'දැල්පන්දු ක්\u200dරීඩාව'];දැල්පන්දු ක්‍රීඩාව, ක්‍රීඩකයින් එකිනෙකා අතර කායික ස්පර්ශ සබඳතාවක් නොදක්වන පැසිපන්දු ක්‍රීඩාවට සමානකම් දක්වන හා එමගින් වර්ධනය වු සාමාන්‍යයෙන් ගෘහස්ථ වශයෙන් සැලකෙන ක්‍රීඩාවකි.
activity;['පස රහිතව ශාක වැවීමේ ක්\u200dරමවේදය', 'hydroculture', 'hydroponics'];මෙහිදි පස වෙනුවට පෝෂ්‍ය කොටස් අඩුංගු ද්‍රවණයක් ආධාර කොට ගෙන ශාක වැවීම සිදු කරන අතර මෙය හැදින්වීම‍ට Hydroponics නම් ඉංග්‍රීසි පදය පිලිවෙලින් ජලය සහ ශ්‍රමය හැදින්වීමට භාවිතා වන ග්‍රීක පදයන් වන hydro සහ ponos යන පදයන් ඇසුරෙන් නිර්මාණය වුවකි.
activity;['බැලේ නැටුම්', 'ප\u200d්\u200dරසාංගික නර්තනය', 'ප ් රසාංගික නර්තනය'];ප‍්‍රසාංගික නර්තනය යනු පේ‍්‍රක්ෂකයන් සඳහා රඟ දක්වන නමුත් ඔවුනගේ සහභාගීත්වයක් නොමැති නර්තන රටාව කි.
activity;['බැලේ නැටුම්', 'ප\u200d්\u200dරසාංගික නර්තනය', 'ප ් රසාංගික නර්තනය'];බැලේ නර්තන කලාව ඉතාලිය මුල් කරගෙන බිහිවූවක් අතර ඉන්පසු එය රුසියාවට හා ප්‍රංශයට සංදර්ශන නාට්‍ය ස්වරූපයෙන් විහිදී ගියේය.
activity;['රොක් සංගීතය', 'rock music'];රොක් සංගීතය යනු ගිටාර්, ඩ්‍රම් හා බේස්වලින් සමන්විත ස්ථිර කටහඬ මෙලඩියකින් යුත් ජනප්‍රිය සංගීත ආකාරයකි.
activity;['කොරියන් යුද්ධය'];== හැඳින්වීම == කොරියාව දෙකට බෙදීමෙන් අනතුරුව උතුරු කොරියාව සහ දකුණු කොරියාව අතර හටගත් ව්‍යාකූල දේශපාලන තත්වය වඩාත් ම ප්‍රකට වූ අවස්ථාවක් වූයේ කොරියන් යුද්ධය යි.
activity;['දෙවන ලෝක යුද්ධය', 'wwii', 'දෙවන ලෝක සංග්\u200dරාමය', 'ලෝක යුද්ධය ii'];ක්‍රි.ව.
activity;['පළමුවන ලෝක යුද්ධය', 'wwi', 'පළමු ලෝක යුද්ධය', 'ලෝක යුද්ධය i'];මහා යුද්ධය හෝ, සියළු යුද්ධ කෙළවර කිරීමට සිදුකෙරෙන යුද්ධය ලෙසින්ද හැඳින්වුණු, පළමුවන ලෝක යුද්ධය යනු, යුරෝපයෙහිදී ඇරඹුනු සහ 1914 ජූලි 28 දින සිට 1918 නොවැම්බර් 11 දින දක්වා පැවැති ගෝලීය යුද්ධයකි.
activity;['අධ්\u200dයාපනය'];අධ්‍යාපනය යනු වියුක්ත සංකල්පයක් වන බැවින් ඒ සඳහා පැහැදිලි නිර්වචනයක් සැපයීම අපහසුය.අනෙක් අතට අධ්‍යාපනය යන්නෙන් එක් අදහසක් පමණක් අන්තර්ගත නොවේ.ඉගෙනීම, ඉගැන්වීම, ඇගයීම,රසවිඳීම,පුහුණූව ආදී විවිධ අදහස් සමුදායක් මේ තුළ ගැබ් වී ඇත.
activity;['ජාත්\u200dයන්තර සබඳතා', 'ජාත්\u200dයන්තර සමිබන්ධතා - int. relations'];ජාත්‍යන්තර සම්බන්ධතා දේශපාලන විද්‍යා විෂයෙහි එක් අංශයක් වේ.
activity;['ක්\u200dරීඩා', 'ක්\u200dරීඩාව'];ක්‍රීඩාව යනු නීතිරීති හෝ ව්‍යවහාරයන් මාලාවන් විසින් පාලනය කරනු ලැබෙන හා බොහෝ විට තරගකාරී ලෙස නිරත වන ක්‍රියාකාරකමය.
activity;['විනෝදාස්වාදය'];විනෝදාස්වාදය යනු ඔනැම කියාව
activity;['විනෝදාංශ නාමාවලිය', 'විනෝදාංශ ලැයිස්තුව'];විනෝදාංශ ලැයිස්තුව මෙය විනෝදාංශ ලැයිස්තුවකි..
activity;['වෘත්තිය'];විශේෂිත අධ්‍යාපනයකින් සහ පුහුණුවකින් පසුව සිදුකරන උපදෙස් හා සේවා සැපයීමේ රැකියා වර්ග වෘත්තීන් නමිවේ.
activity;['සමාජ සේවා'];‍‍ සමාජ සේවය යනු සමාජ සෛද්ධාන්තයන් පර්යේෂණ ක්‍රමයන් මඟින් පුද්ගලයින් කණ්ඩායම් සහ සමාජයන් අධ්‍යයනය කිරීම සහ ඔවුනගේ තත්ත්වය වැඩි දියුණු කිරීමට කටයුතු කිරීමයි.
activity;['අභ්\u200dයාවකාශ ඇවිදීම', 'බහිර්-යානා ක්\u200dරියාකාරකම', 'extravehicular activity'];බහිර්-යානා ක්‍රියාකාරකම යනු, අභ්‍යාවකාශගාමියෙක් හෝ ගගනගාමියෙක් හෝ විසින් අභ්‍යාවකාශයානයකින් පිටත සහ පෘථිවියෙහි සැලකිය යුතු වායුගෝලයෙන් ඔබ්බෙහි සිදු කෙරෙන ඕනෑම ක්‍රියාකාරකමකි.
activity;['බාල් නැටුම්'];බටහිර රටවල එනම් යුරෝපීය රටවල ඉතා ප්‍රචලිත වූත් සහකරුවෙකු සමග ඉදිරිපත් කරන්නාවූත් මේ නැටුම්, බාල් නැටුම් යනුවෙන් හඳුන්වනු ලබයි.
activity;['කුරුස යුද්ධ', 'කුරුස යුද්ධය', 'දෙවන කුරුස යුද්ධය', 'පළමුවන කුරුස යුද්ධය 1095-1099'];කුරුස යුද්ධයක් සඳහා එක් තනි අර්ථදැක්වීමක් පිළිබඳ හෝ කුමන විශේෂිත හමුදාමය මෙහෙයුම් එයට අඩංගු කල යුතුද යන්න පිළිබඳ හෝ ඉතිහාසඥයින්ට එකඟ විය නොහැකි මුත්, කුරුස යුද්ධ යන්නෙහි පුළුල්ම අර්ථදැක්වීම වන්නේ ප්‍රමුඛ ලෙසින් 11වන සහ 15වන සියවස් අතර සිදුවූ හා ලතින් සභාව විසින් මෙහෙයවූ ආගමික යුද්ධ මාලාවක් යන්න දැක්විය හැකිය.
activity;['ද්විත්ව සටහන් පොත් තැබීමේ ක්\u200dරියාවලිය'];ද්විත්ව සටහන් පොත් තැබීමේ ක්‍රමය සම්පාදනය කර ඇත්තේ 15 වන ශතවර්ෂයේදී වන අතර මුල්‍ය ගිණුම්කරණ ක්‍රමයේදී මුල්‍ය තොරතුරු සැටහිමේදී නීති සමුදායක් සදහන් කර ඇත.
activity;['සත්ත්ව පාලනය', 'animal husbandry'];ලොව වටා විශ්වවිද්‍යාලවල හා පාසල්වල සතුන් ගැන හා පශු සම්පත් පාලනය ගැන ඉගැන්වේ.
activity;['ජනසතු කිරීම', 'ජන සතු කිරීම'];ජනසතු කිරීම යනු,කර්මාන්ත සහ වත්කම් දේශීය රජයේ මහජන අයිතිය යටතට පවරා ගැනිමයි.
activity;['පෞද්ගලීකරණය'];පෞද්ගලීකරණය is the incidence or process of transferring ownership of a business, enterprise, agency or public service from the public sector to the private sector or to private non-profit organizations.
activity;['බඩුතොග පාලනය'];බඩුතොග පාලනය හෝ තොග පාලනය යන්න පුළුල් වශයෙන් විස්තර කළහොත් "සාප්පුවක භාණ්ඩ තොග පරීක්ෂා කිරීමේ ක්‍රියාව " ලෙස අර්ථ දැක්විය හැකිය.
activity;['ආවරණ බෝග', 'cover crop'];කෘෂි පරිසර පද්ධතියක් තුළ පාංශු ඛාදනය, පාංශු සාරවත් බව, පාංශු ගුණාත්මකභාවය, ජලය, වල් පැලෑටි, පළිබෝධකයන්, රෝග, ජෛව විවිධත්වය සහ වන ජීවීන් කළමනාකරණය කිරීම සඳහා ආවරණ බෝගයක් රෝපණය කෙරේ.
activity;['ජාතිවාදය'];ජාතිවාදයේ සරලම අර්ථ දැක්වීම පක්ෂපාතීත්වයයි.
activity;['ප්\u200dරථමාධාර', 'ප්රථමාධාර'];ප්‍රථමාධාර හදිසි අසනීප තත්ත්වයක් හෝ තුවාල පෙළෙන ඕනෑම පුද්ගලයකුට ලබා දෙනුලබන ප්‍රථිකාර වේ.ජීවිත ආරක්ෂා, නරක අතට හැරෙන තත්ත්වය වැළැක්වීම මෙන්ම සුවවීමට කටයුතු කිරීම.
activity;['බොක්සිං', 'බොක්සින් ක්\u200dරීඩාව', 'boxing'];පග්ලිසම්, ඇන්ග්ලේස් බොක්සින් හා ඉංග්‍රීසි බොක්සින් වන විවිධ නම්වලින් හැඳින්වෙන මෙම ක්‍රීඩාව එකම බර සහිත ක්‍රීඩකයන් දෙදෙනෙකු අතර සිය අත්මිට භාවිතයෙන් කෙරෙන ප්‍රතිවාදී තරඟයකි.
activity;['කටකතා', 'කටකතාව'];කටකතා යනු, " මහජන සැලකිල්ලට භාජනය වන වස්තුවක්, සිද්ධියක්, හෝ කාරණයක් පිළිබඳව පුද්ගලයෙකුගෙන් තවත් පුද්ගලයෙකුට සංසරණය වන්නාවූ, සැබෑදැයි ඔප්පු නොකළ විස්තර හෝ පැහැදිලිකිරීම්" ලෙසින් සැලකෙයි.
activity;['නිරෝධායනය', 'quarantine'];නිරෝධායනය යනු රෝග හෝ පළිබෝධකයන් පැතිරීම වැළැක්වීම සඳහා අදහස් කරන පුද්ගලයින් සහ භාණ්ඩ ගමන් කිරීම සීමා කිරීමකි.
activity;['උපත් පාලනය'];උපත් පාලනය කිරීම නොයෙක් කරම මගින් කල හැක උපත් පාලන කොපු /මිතුරි පෙති/එන්නත් ඒ අතර වෙ.තවද අනවශ්‍ය ගැබි ගැනීමි වැලැක් වීමට පොස්ටිනො 2 නැමැති පෙත්ත බාවිතා කල හැක.මෙය අනාරක්ෂිත ලිංගික එක්විමකට පසු පැය 72 ඇතුලත ගත යුතුය.
activity;['නිරේඛනය', 'ශුද්ධ නිරේඛණයේදී මූලික ක්\u200dරමවේදය'];නිරේඛනය යනු ලෝහ මතුපිටක ආරක්‍ෂා නොකරන ලද කොටස් මත අම්ලයක් යෙදීම මඟින් ඉන්ටාග්ලියෝ සටහනක් නිර්මාණය කිරීමේ කි‍්‍රයාවලියයි.
activity;['ඉලෙක්ට්\u200dරොනික යුද්ධ කටයුතු', 'ඉලෙක්ට්\u200dරොනික යුධ කටයුතු'];ඉලෙක්ට්රො නික යුධ කටයුතු යනු විද්යුරත් චුම්භක වර්ණාවලිය කාර්යක්ෂමව භාවිත කරමින් ප්රකතිපාක්ෂිකයන් විසින් එම මාධ්යය භාවිත කිරීම අවහිර කරන අතර සුහද බලකායන් විසින් එහි භාවිතය වැඩි දියුණු කිරීමේ ක්රිනයාදාමයයි.මෙහි අංශ තුනක් ඇති අතර ඒවා නම්, ඉලෙක්ට්රොතනික සහයෝගීතාවය, ඉලෙක්ට්රොඑනික ප්ර හාරය හා ඉලෙක්ට්රො නික ආරක්ෂාවයි.
activity;['විස්තාර මූර්ජනය'];ආදාන තරංගයේ විස්තාරය අනුව වාහක තරංගයේ විස්තාරය වෙනස් කිරීමේ මූර්ජන ආකාරය විස්තාර මූර්ජනය ලෙස හඳුන්වනු ලැබේ.මූර්ජනය ලොවට හඳුන්වා දුන්නේ විස්තාර මූර්ජනය සමගිනි.
activity;['සංඛ්\u200dයාත මූර්ජනය'];ආදාන තරංගයේ ලක්ශණ අනුව වාහක තරංගයේ සංඛ්‍යාතය වෙනස් කිරීමේ මූර්ජන ආකාරය සංඛ්‍යාත මූර්ජනය ලෙස හඳුන්වනු ලැබේ.
activity;['එක්ස් කිරණ', 'x-ray'];එක්ස් කිරණයක් යනු එක්තරා ආකාරයක විද්‍යුත් චුම්බක විකිරණ වර්ගයක් වන අතර එහි තරංග ආයාමය නැනෝ මීටර් 10 සිට 0.01 දක්වා වේ.
activity;['ජවන සහ පිටිය ක්\u200dරීඩා', 'මලල ක්\u200dරීඩා'];ජවන සහ පිටිය යනු දිවීම, පැනීම, සහ වීසිකිරීම මත පදනම්වූ බොහෝ තරගකාරී මලල ක්‍රීඩා තරගවලින් සමන්විත ක්‍රීඩාවකි.
activity;['හිම', 'හීම'];හිම යනු වළාකුළු වලින් පතනය වන්නා වූ ස්ඵ්ටික රූපී ජලයෙහි කැටිති විශේෂයකි.තවද හිම මිදුනු ජල අංශු වලින් සම්පිණ්ඩය වූ ඝණයක් ලෙසද අර්ථ දැක්විය හැක.
activity;['හිම කැට වැස්ස'];හිම කැට වැස්ස යනු ඝන හිම කැට පතනය වීමකි.
activity;['පාංශු සංරක්ෂණය'];පාංශු සංරක්ෂණය යනු පසෙහි ඉහළම ස්ථරය ඛාදනය වීමෙන් වළක්වා ගැනීම හෝ අධික ලෙස භාවිතය, ආම්ලීකරණය, ලවණකරණය හෝ වෙනත් රසායනික පාංශු දූෂණය හේතුවෙන් ඇති වන සාරවත් බව අඩුවීම වැළැක්වීම ය.
