abstract-region;['वर्ग फलन'];बिजगणितमा, एक वा अधिक चरसँग बहुपद कार्यनै बहुपदिए फलन हो जसलाई डिग्री २ को बहुपद
activity;['चलचित्र', 'फिल्म', 'सिनेमा'];चलचित्र, सिनेमा वा फिल्म एक प्रकारको सञ्चार माध्यम हो जसमा चल्ने चित्र र आवाजको प्रयोग गरेर कथालाई प्रस्तुत गरिन्छ। संसारभरका मानिसहरू मनोरञ्जनका लागि चलचित्र हेर्दछन्। धेरैजसो चलचित्रहरू यसरी बनाइन्छ कि ठुला पर्दा भएका सिनेमाघर वा चलचित्र भवनमा देखाउन सकियोस। १९औं शताब्दीबाट नै ग्रीक चलचित्रको निर्माणका लागि विभिन्न अनुसन्धान भएतापनि चलचित्रको शुरुवात सन् १९९५मा फ्रान्सबाट भएको हो। जसको निर्माण अगष्ट लुमिएर र लुई लुमिएर नाम गरेका दुई फ्रान्सेली दाजुभाईहरूले गरेका थिए। सन् १८२४मा पिट् मार्क रोगटले फोटोहरूलाई नै छिटो–छिटो घुमायो भने वास्तवमै चलिरहेको भ्रम दिन सक्छ भन्ने धारणा राखेपछि चलचित्रको बारे सोच्न र काम गर्न थालियो। सन् १८९५मा यसै सिद्धान्तमा आधारित रहेर लुमियर दाजुभाइले एउटा कारखानाको तस्वीरहरू खिचेर मूभिङ इमेजका रूपमा प्रस्तुत गरे। शुरूका यस्ता चलचित्रमा ध्वनि हुँदैन थियो । and its sexist treatment of women.
activity;['बी बोइङ'];बी बोइङ ब्रेक नृत्यमा पर्ने एउटा बिधी हो । बीबोइंग नृत्य एउटा "फ्री स्टायल" अथवा एरोबिक तरिकाले नाच्ने नृत्य हो । नेपालमा सर्वप्रथम बीबोइंग भित्राउने "अनुप प्रकाश" हुनुहुन्छ । उहाँ नेपाल हिपहप फाउनडेसन को प्रोप्रिएटर पनि हुनुहुन्छ । बिबोइंग गर्ने पुरुष हरूलाई "बिबोयज " भनिन्छ भने स्त्रीहरूलाई "बिगल्ज" भनिन्छ ।
activity;['बुद्धिचाल', 'बुद्धी चाल', 'बुद्धि चाल', 'बुद्धीचाल', 'शतरंज'];बुद्धी चाल एउटा खेल हो जुन दुई जना खिलाडीले एउटा बोर्डमाथी केही गोटीहरू पालै पाला चालेर खेल्ने गर्छन्। यसलाई हिँदी भाषामा शतरंज भनिन्छ। अङ्ग्रजी भाषामा "Chess" भनिन्छ। यो खेल विश्वका सबै मुलुकहरू खेलेको देखिन्छ। यो खेल खेलाडीहरूको बुद्धिको जाँच हुनु साथै खेल निरन्तर खेल्नाले बुद्धीको विकास पनि हुने गर्छ।
activity;['बास्केटबल'];बास्केटबल एक सामूहिक खेल हो जसमा ५-५ जना खेलाडीको दुई समूह खेलको नियममा रहि बास्केटबलको रिङ्गको माथिबाट बल छिराउँदै खेल्ने गर्छन। बास्केटबल विश्वको सर्वाधिक चर्चित तथा लोकप्रिय खेलहरू मध्य एक हो।
activity;['ब्याडमिन्टन', 'व्याडमिन्टन', 'bádminton'];ब्याडमिन्टन खेल विश्व प्रसिद्ध खेल मध्ये एक हो।यस खेल सिङ्गल र डबल गरी दुई दंगबाट खेलिन्छ।व्यक्तिमा स्फूर्ति,लचकता,स्थिरता तथा सन्तुलनको विकास गर्न साथै शारीरिक तथा मानसिक स्वस्थ्यता का निम्ति यश ब्याडमिन्टन खेल खेलिन्छ।
activity;['क्रिकेट', 'क्रिकेट खेलाडी'];क्रिकेट ब्याट र बलले खेल्ने सामुहिक खेल हो। यो हाल संसारकै सबैभन्दा रुचाइएको खेल हो। यस खेलका मुख्यत तीन प्रकार हुन्छन्: पाँच दिनको, एक दिवसीय र २०-२० क्रिकेट । यसको मुख्य नियन्त्रक संस्था अन्तर्राष्ट्रिय क्रिकेट परिषद हो । यो खेल खुला मैदानमा रहेको पिचमा खेलिन्छ । क्रिकेट एंग्लो स्याक्सन काल मानिने पाँचौं शताब्दीदेखि नै बेलायतबाट सुरु भएको मानिन्छ। सडकमा केटाकेटीले भकुन्डोलाई लौराले हानेर खेल्ने खेलबाट सुरु भएको क्रिकेटले सत्रौँ सताब्दीमा आएर मात्र प्रौढहरूको ध्यान खिचेको हो। इतिहासअनुसार भेडा चराउने क्षेत्रमा भेडाको ऊनको भकुन्डो फाल्ने र अर्कोले समात्ने खेलबाट सुरु भएको क्रिकेटमा पछि विकेटको प्रवेश भयो र त्यसपछि स्टम्पमा बलले लाग्नबाट जोगाउन ब्याट्सम्यानले लट्ठीले छेक्ने प्रयाससँगै क्रिकेटले अहिलेको स्वरूप पाएको हो। == कसरी विकसित भयो क्रिकेट शब्द ? ==
activity;['टेबुलटेनिस', 'टेबुल टेनिस'];टेबुलटेनिस वा पिङ-पोङ दुई वा चार जना खेलाडीहरूले टेबुलटेनिस र्‍याकेटको अगाडि र पछाडिको भागले सानो हलुका बललाई हानेर खेलिने खेल हो । यो खेल एउटा नेटले बीचबाट दुई भागमा छुट्याएको कडा सतह भएको टेबुलमा खेलिन्छ । टेबुल टेनिस १९२६ मा स्थापित विश्वव्यापी सङ्गठन अन्तर्राष्ट्रिय टेबुल टेनिस सङ्घ द्वारा संचालित छ। अन्तर्राष्ट्रिय टेबुल टेनिस सङ्घमा हाल विश्वका २२६ राष्ट्रहरूले सदस्यता लिएका छन् ।
activity;['अधिकारपृच्छा'];अधिकारपृच्छा भन्नाले कुनै न्यायिक वा अर्धन्यायिक निकाय वा कुनै सार्वजनिक अधिकार पाएको व्यक्तिले अधिकार क्षेत्रको अभावमा कुनै काम कारवाही वा निर्णय गरेमा त्यस्तो काम वा निर्णय गर्ने अधिकार कसरी प्राप्त भयो र कुन कानुन अन्तर्गत त्यस्तो गरियो भनी जवाफ माग गरी जारी भएको रिटलार्इ बुझिन्छ । अनधिकृतरूपमा कसैको अधिकार स्वतन्त्रता वा पद खोसिएमा पीडित पक्षले यस्तो रिटको माग गर्छ । प्राकृतिक न्यायको सिद्धान्त विपरीत निर्णय भएमा भएमा पनि अदालतले यो रिट जारी गर्छ ।
activity;['यान्त्रिकरण'];यान्त्रिकरण भनेको मानिस वा पशुहरूको मद्दतले गर्ने कााम मेशिनहरू द्वारा काम गर्ने प्रक्रिया हो।
activity;['जनमत सङ्ग्रह'];जनमत-संग्रह, मत-संग्रह वा मात्र जनमत "यो वा त्यो कुन व्यवस्था मन पर्छ भनी देशको राजनीतिक व्यवस्था छान्नका लागि अथवा दुई वा दुईभन्दा बढी विकल्पमध्ये कुनै एकमा निर्णय दिनका लागि जनताहरूले निर्वाचनमा झैँ मत दिने कार्य" हो।जनमत सङ्ग्रह एक प्रत्यक्ष मतदान हो, जुनमा कुनै क्षेत्र विशेष को सबै मतदाताहरूलाई मतदानको माध्यमद्वारा कुनै एक विशेष प्रस्तावलाई स्वीकार अथवा अस्वीकार गर्नको लागि भनिन्छ। अर्को शब्दमा जनमत-संग्रहको माध्यमबाट सरकारको नीति वा प्रस्तावित कानूनको बारेमा जनताको विचार तथा राय बुझ्ने गरिन्छ। जनमत-संग्रह नयाँ संविधानको निर्माण, वर्तमान संविधानमा संशोधन, कुनै नयाँ कानून, कुनै निर्वाचित सदस्यको निर्वाचन रद्द गर्ने वा केवल सरकारको कुनै विशिष्ट नीतिलाई स्वीकार या अस्वीकार गर्ने सँग सम्बन्धित हुन सक्छ। यो प्रत्यक्ष लोकतन्त्रको एक रूप हो। यसमा जनता आफ्नो इच्छाबाट नेता वा व्यवस्थाको चयन गर्न सक्छन्।
activity;['सम्भोग', 'यौन सम्पर्क', 'संभोग'];सम्भोग वा यौन सम्पर्क भन्नाले यौन आनन्द वा प्रजननको लागि पुरूषको लिङ्ग स्त्रीको योनीमा प्रवेश गराएर घर्षण गरी वीर्यपात गर्ने क्रिया भन्ने बुझिन्छ.
activity;['जनगणना', 'नेपालको राष्ट्रिय जनगणना', 'राष्ट्रिय जनगणना'];राष्ट्रिय जनगणना देशको राष्ट्रिय आँकडा लिने तरिका हो। नेपालमा व्यवस्थित र प्रणालीगत रूपले जनगणना गर्न थालिएको विक्रम सम्वत् १९६८ देखि हो। यस अघि राणा प्रधानमन्त्री जंगबहादुरले जनगणना गर्ने कामको थालनी गरेका थिए।
activity;['जनगणना', 'नेपालको राष्ट्रिय जनगणना', 'राष्ट्रिय जनगणना'];जनगणना मार्फत कुनै देश वा क्षेत्रमा रहेका मानिसहरूको बिधिवत रूपमा सूचना सङ्कलन गरिन्छ। निस्चित समयको अन्तरालमा सरकारी निकाय मार्फत गरिने यो नै जनसङ्ख्याको औपचारिक गणना हो। नेपालमा प्रत्येक १० वर्षको अन्तरालमा जनगणना गरिन्छ।नेपालमा बिसंं१९६८मा पहिलोपल्ट जनगणना भएको थियो। अहिलेसम्म भेटिएकोमा, बिश्वकै सबैभन्दा पुरानो जनगणनाको तथ्याङ्क ४००० वर्ष अगाडिको चीनको थियो।
activity;['टेलिभिजन शृङ्खला', 'टेलिभिजन कार्यक्रम', 'टेलिभिजन शृन्खला'];टेलिभिजनको च्यानलमा शृङ्खलाबद्ध रूपमा प्रायस: साप्ताहिक वा दैनिक अन्तरालमा प्रसारण हुने कार्यक्रमहरूलाई टेलिभिजन शृङ्खला भनिन्छ। जस्तै- द सिम्प्सनस्।
activity;['मनसुन', 'मनसून'];मनसुन ऋतुअनुसार चल्ने हावाको बहाव हो जुन नेपालमा साधारणतया हिन्द महासागरबाट बङ्गालको खाडीको बाटो हुँदै दक्षिणपूर्वी दिशाबाट प्रवेश गर्छ। मनसुनी वायु समुद्रबाट बहने भएकाले यसमा प्रशस्त जलवाष्प हुन्छ। तसर्थ यो वायु बहँदा विभिन्न स्थानमा वर्षा हुन्छ। स्थान अनुसार मनसुनको वायुचक्र बेग्ला बेग्लै समयमा रहन्छ| अफ्रिकी मनसुन उत्तर अमेरिकी मनसुन पूर्वी एसियाली मनसुन दक्षिण एसियाली मनसुन उत्तर पूर्वी भारतीय मनसुन युरोपीय मनसुनमनसुन दक्षिण एसियाको एउटा महत्त्वपूर्ण वायुमण्डलीय प्रणालीको रूपमा रहेको छ। नेपालमा प्रवेश गर्ने मनसुनी वायु दक्षिण एसियामा बहने ग्रीष्मकालीन मनसुनको एक अंश हो। गर्मी यामका बेला दक्षिण एसियाको भूभाग र यससँग जोडिएको समुद्री भाग जस्तै बङ्गालको खाडी, अरब सागर र हिन्द महासागर असमानुपात ढंगबाट तात्ने कारणले गर्दा दक्षिण एसियामा मनसुनको सुरुवात हुने गर्छ। गर्मीयाममा दक्षिण एसियाका भूसतह समुद्री सतहको तुलनामा छिटो र बढी तात्ने हुनाले भूसतहको संसर्गमा आउने हावा तातो भई माथि तिर उठ्छ जसले गर्दा दक्षिण एसियाको विभिन्न भाग न्यून वायुमण्डलीय चापमान मै रहन्छ। ठीक यसै बेला समुद्री सतह भू-सतहभन्दा ढिलो र कम तात्ने कारणले गर्दा समुद्रमा उच्च वायुमण्डलीय चापीय केन्द्र हुन्छ। हावा जहिले पनि उच्च वायुमण्डलीय चापीय क्षेत्रबाट न्यूनतिर बहने प्राकृतिक स्वरूपअनुरूप सो क्षेत्र हिन्द महासागरबाट न्यून क्षेत्र दक्षिण एसियाको विभिन्न भागमा जोडदार हावा बहिनी थाल्छ, यसलाई मनसुन भनिन्छ। मानसून मूलतः हिन्द महासागर एवं अरब सागर तिर देखि भारत को [[दक्षिण] ]-[[पश्चिम] ] तट मा आनी वाला हावाहरु को भन्छन् जो भारत, पाकिस्तान, बङ्गलादेश आदि मा भारी वर्षा करातीं छन्। यो यस्तो मौसमी पवन हुन्छं, जो दक्षिणी एसिया क्षेत्र मा जुन ले सेप्टेम्बर तक, प्रायः चार महिना सक्रिय रहन्छ। यस शब्द को प्रथम प्रयोग ब्रिटिस भारत मा एवं पडोसी देशहरू को सन्दर्भ मा भएको थियो। यो बङ्गाल को खाडी र अरब सागर देखि चलने वाला ठूलो मौसमी हावाहरु को लागि प्रयोग भएको थियो, जो दक्षिण-पश्चिम देखि गएर यस क्षेत्र मा भारी वर्षाहरु लाती थिए। हाइड्रोलोजी मा मनसुन को व्यापक अर्थ छ- कुनै पनि यस्तो पवन जो कुनै क्षेत्र मा कुनै ऋतु-विशेष मा नै अधिकांश वर्षा गराउँछ।, यहां यो उल्लेखनीय छ, कि मनसून हावाहरु को अर्थ अधिकांश समय वर्षा गराउन देखि हैन लिया जान पर्छ। यस परिभाषा को दृष्टि ले संसार को अन्य क्षेत्र, जस्तै- उत्तरी अमेरिका, दक्षिणी अमेरिका, उप-सहारा अफ्रिका, आस्ट्रेलिया एवं पूर्वी एसिया को पनि मनसुन क्षेत्र को श्रेणी मा राखन सकिन्छ। यो शब्द हिन्दी तथा उर्दु को मौसम शब्द को अपभ्रंश छ। मनसून पुरा तरिकाले हावाहरु को बहाव मा निर्भर गर्दछ। साधारण हावाहरु जब आफ्नो दिशा बदल लिन्छं तब मनसून आउछ।.
activity;['नेपोलियनकालीन युद्ध'];नेपोलियनकालीन युद्ध नेपोलियन प्रथमको नेतृत्वमा रहेको फ्रान्सेली साम्राज्य र सहयोगी र अन्य युरोपेली शक्तिको गठबन्धन. जसको खर्च तथा नेतृत्व संयुक्त अधिराज्यले गरेको थियो। यो युद्ध फ्रान्सेली राज्यक्रान्ति पछि समाधान नभएका विवादसँग सम्बन्धित छ। यो युद्धलाई कहिलेकाँही पाँच द्वन्दहरूमा वर्गीकरण गरिन्छ।
activity;['परीक्षा'];परीक्षा को प्रचलित उदेश्य भनेको विद्यार्थी सिकाई उपलब्धिको लेखाजोखा गरी विभिन्न प्रकारका शैक्षिक निर्णयमा सघाउ पुराउनु हो । यसका साथै परीक्षाले विद्यार्थीको बुद्धिमता, कौशल अभिवृति,रुचि जस्ता मनोवैज्ञानिक गुणहरू मापन गर्दछ.
activity;['जूडो', 'जुडो'];जुडो एक आधुनिक जापानी मार्सल आर्ट, लडाकू स्तरको ओलम्पिक खेल हो । विशुद्ध बुध्दि र बल्को सन्तुलन समायोजित खेल 'जुडो',दुई जापानी शब्द 'जु' र 'डो' मिलेर बनेको पाईन्छ । 'जु' अक्षरको अर्थ बिनम्र वा भद्र र 'डो' अक्षरको अर्थ मार्ग वा पथ भन्ने बुझिन्छ । यसअर्थमा जुडोको शाब्दिक अर्थ बिनम्रमार्ग र अद्रपथ हो । जुडोले मानवता, भातृत्वता र आत्मस्वाभिनको समेत प्रतिनिधित्व गर्दछ । जुडो खेल सन् १८८२ मा प्रोफेशर जिगोरो कानोद्धरा सुत्रधार गरिएको हो । तसर्थ जुडो खेलको पिता स्व.
activity;['राज्यविप्लव', "'कु'"];राज्यविप्लव वा कु भन्नाले एक समूहले कुनै कारवाही गरेर सरकारलाई असंवैधानिक तरिकाले हटाएर नयाँ गैरसैनिक वा सैनिक सरकार बनाउने कामलाई बुझाउँछ।
activity;['हाइड्रोपोनिक्स्'];हाइड्रोपोनिक्स् माटो बिना नै उपयुक्त तरल/जल पदार्थमा वनस्पति उमार्ने वैज्ञानिक विधि हो । यस विधिमा जमिनमा उम्रने बोटविरुवाका जरालाई मिनिरलको घोल वा कुनै ठोस वस्तु मा राखि उमारिन्छ । उपयुक्त मिनिरल घोल माछा, हाँसका मल वा बोटविरुवालाई आवश्यक खाद्यतत्वबाट बनाइएका हुन्छन् ।
activity;['रक संगीत'];रक संगीत एक प्रकारको चर्चित पाश्चात्य संगीत हो। यो संगीत अहिले विश्व प्रसिद्ध छ। यस संगीतमा एक गायक, एक रीदम गिटारवादक, एक लिड गिटारवादक, एक ड्रम‍र, एक ब्यास गिटारवादक र कहिलेकाहीं एक सिन्थेसाइजर वादक हुन्छन्। केही विश्वप्रसिद्ध रक समूह/गायक यस प्रकार छनः-
