abstract-quality;['ವ್ಯಕ್ತಿತ್ವ'];ವ್ಯಕ್ತಿತ್ವವು ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಭಾವನಾತ್ಮಕ, ಮನೋಭಾವದ, ಮತ್ತು ವರ್ತನಾತ್ಮಕ ಪ್ರತಿಕ್ರಿಯೆ ಮಾದರಿಗಳ ನಿರ್ದಿಷ್ಟ ಸಂಯೋಜನೆ.
activity;['ಉಪವಾಸ ಮುಷ್ಕರ'];ಉಪವಾಸ ಮುಷ್ಕರ: ನ್ಯಾಯವಾದ ಬೇಡಿಕೆಗಳನ್ನು ಮೂಲೆಗೊತ್ತಿದ ಸರ್ಕಾರದ ಅಥವಾ ಯಾವುದಾದರೂ ಅಧಿಕಾರದ ವಿರುದ್ಧ ಅವರ ಮನವನ್ನು ಒಲಿಸಿಕೊಳ್ಳಲು ಪ್ರಯೋಗಿಸುವ ಒಂದು ಮಾರ್ಗ.
activity;['ಅಸ್ಸೋಸಿಯೆಷನ್ ಫುಟ್\u200cಬಾಲ್', 'ಫುಟ್\u200dಬಾಲ್', 'ಕಾಲ್ಚಂಡು', 'ಕಾಲ್ಚೆಂಡಾಟ', 'ಫುಟ್ಬಾಲ್', 'ಫುಟ್ಬಾಲ್ ಕ್ರೀಡೆ', 'ಫುಟ್\u200cಬಾಲ್', 'ಫುಟ್\u200cಬಾಲ್\u200c'];== ಫುಟ್‌ಬಾಲ್‌ ಆಟ == ಪುರಾತನ ಕಾಲದಿಂದಲೂ ಜಗತ್ತಿನಾದ್ಯಂತ ಜನರು ಚೆಂಡನ್ನು ಒದೆಯುವ ಮತ್ತು ಕೊಂಡೊಯ್ಯುವ ಆಟಗಳನ್ನು ಆಡುತ್ತಿದ್ದರು.
activity;['ಸಿನಮಾ', 'ಚಲನ ಚಿತ್ರ', 'ಚಲನಚಿತ್ರ', 'ಸಿನಿಮಾ', 'ಸಿನೆಮಾ'];ಸಿನಮಾವು ಪ್ರತ್ಯೇಕವಾದ ಚಲನಚಿತ್ರಗಳು, ಒಂದು ಕಲಾ ಪ್ರಕಾರವಾಗಿ ಚಲನಚಿತ್ರದ ಕಾರ್ಯಕ್ಷೇತ್ರ, ಮತ್ತು ಚಿತ್ರೋದ್ಯಮವನ್ನು ಒಳಗೊಳ್ಳುತ್ತದೆ.
activity;['ಸ್ನೂಕರ್\u200c', 'ಸ್ನೂಕರ್', 'snooker'];ಸ್ನೂಕರ್‌ ಎಂಬುದು ನಾಲ್ಕೂ ತುದಿಗಳಲ್ಲಿ ಹಾಗೂ ನೀಳವಾದ ಅಂಚುಮೆತ್ತೆಗಳಲ್ಲಿ ಚೀಲಗಳಿರುವ ಅಗಲವಾದ ಹಸಿರು ಬೈಜ್‌ ಬಟ್ಟೆಯಿಂದ ಆವೃತವಾದ ಮೇಜಿನಲ್ಲಿ ದಾಂಡಿ/ಕೋಲಿನ ಸಹಾಯದಿಂದ ಆಡುವ ಕ್ಯೂ ಕ್ರೀಡೆಯಾಗಿದೆ.
activity;['ಬಿ-ಬಾಯಿಂಗ್'];ಸಾಮಾನ್ಯವಾಗಿ "ಬ್ರೇಕ್ ಡ್ಯಾನ್ಸಿಂಗ್ " ಎಂದು ಕರೆಯಲ್ಪಡುವ ಬಿ-ಬಾಯಿಂಗ್ ಮೊದಲಿಗೆ ಆಫ್ರಿಕನ್ ಅಮೆರಿಕನ್ ರ ಪೈಕಿ ಹಿಪ್-ಹಾಪ್ ಶೈಲಿಯ ಒಂದು ಅಂಗವಾಗಿ ಸೃಷ್ಟಿಸಿ, ಅಭಿವೃದ್ಧಿಗೊಳಿಸಲ್ಪಟ್ಟ ಒಂದು ಜನಪ್ರಿಯ ಸ್ಟ್ರೀಟ್ ಡ್ಯಾನ್ಸ್ ದ ಮಾದರಿಯಾಗಿದೆ. ನಂತರದ ದಿನಗಳಲ್ಲಿ ಇದು ನ್ಯೂ ಯಾರ್ಕ್ ನಗರದ ಲ್ಯಾಟಿನೋ ಯುವಕರಿಂದ ಮತ್ತಷ್ಟು ಅಭಿವೃದ್ಧಿಗೊಳಿಸಲ್ಪಟ್ಟಿತು.
activity;['ಹಿಪ್ ಹಾಪ್ ಸಂಗೀತ'];ಹಿಪ್ ಹಾಪ್, ಹಿಪ್ ಹಾಪ್ ಸಂಸ್ಕೃತಿಯ ಜೊತೆಯಲ್ಲೇ ಬೆಳೆದ ಒಂದು ಸಂಗೀತದ ಬಗೆಯಾಗಿದ್ದು ರಾಪಿಂಗ್, ಡಿಜೆಯಿಂಗ್, ಸ್ಯಾಂಪ್ಲಿಂಗ್, ಸ್ಕ್ರ್ಯಾಚಿಂಗ್ ಮತ್ತು ಬೀಟ್ ಬಾಕ್ಸಿಂಗ್ ನಂಥ ವಿಶಿಷ್ಟ ಶೈಲಿಯುತ ಅಂಶಗಳನ್ನು ಲಕ್ಷಣಗಳಾಗಿ ಹೊಂದಿದೆ.
activity;['ಸಾಫ್ಟ್ಬಾಲ್', 'softball'];ಸಾಫ್ಟ್ ಬಾಲ್ ಒಂದು ಸಣ್ಣ ಮೈದಾನದಲ್ಲಿ ದೊಡ್ಡ ಚೆಂಡಿನೊಂದಿಗೆ ಆಡುವ ಬೇಸ್ ಬಾಲ್ನಂತಹ ಆಟ್ಟವಾಗಿದೆ.ಇದು ೧೮೮೭ ರಲ್ಲಿ ಚಿಕಾಗೊ, ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ನ ಇಲಿನಾಯ್ಸ್ನಲ್ಲಿ ಒಳಾಂಗಣ ಆಟವಾಗಿ ಇದನ್ನು ಕಂಡುಹಿಡಿಯಲಾಯಿತು.
activity;['ಚದುರಂಗ', 'ಚೆಸ್', 'ಚದುರ೦ಗ'];ಚದುರಂಗ ಇಬ್ಬರು ಆಟಗಾರರಿ೦ದ ಆಡಲ್ಪಡುವ ಒಂದು ಆಟ - ಇದನ್ನು ೬೪ ಚೌಕಗಳಿರುವ ಮಣೆಯ ಮೇಲೆ ಆಡಲಾಗುತ್ತದೆ.
activity;['ಡಾರ್ಟ್ಸ್'];ಡಾರ್ಟ್ಸ್ ಒಂದು ಬಗೆಯ ಎಸೆಯುವ ಕ್ರೀಡೆ ಮತ್ತು ಇದರಲ್ಲಿ ಡಾರ್ಟ್‌ಗಳನ್ನು ಒಂದು ಗೋಡೆಗೆ ತೂಗುಹಾಕಿರುವ ಒಂದು ವೃತ್ತಾಕಾರದ ಗುರಿಗೆ ಎಸೆಯಲಾಗುತ್ತದೆ.
activity;['ಲಕ್ರೊಸ್ಸ್', 'lacrosse'];ಲಕ್ರೊಸ್ಸ್ ಆಟವನ್ನು ಮೂಲತಹ ಅಮೆರಿಕ ನಾಡಿನ ಉತ್ತರ ಭಾಗದಲ್ಲಿ ಆಡಲಾಗಿದ್ದು ಈಗಲು ಸಹ ಇದನ್ನು ಅಲ್ಲಿನ ಜನರು ಲಕ್ರೊಸ್ಸ್ ಎಂಬ ಆಟವನ್ನು ಆಡುವ ಪರಂಪರೆಯನ್ನು ಮುಂದುವರೆಸಿಕೊಂಡು ಬಂದಿದ್ದಾರೆ.
activity;['ಸ್ಕ್ವ್ಯಾಷ್\u200c', 'squash'];ಸ್ಕ್ವ್ಯಾಷ್‌ ಇದು ನಾಲ್ಕು ಗೋಡೆಗಳಿಂದಾವೃತ ಕ್ರೀಡಾಂಗಳದಲ್ಲಿ ಚಿಕ್ಕ, ಪೊಳ್ಳಾದ ರಬ್ಬರ್ ಬಾಲ್‌ನ ಮೂಲಕ ಇಬ್ಬರು ಆಟಗಾರರಿಂದ ಆಡಲ್ಪಡುವ ಒಂದು ರಾಕೆಟ್ ಆಟ.
activity;['ಬ್ಯಾಸ್ಕೆಟ್\u200cಬಾಲ್\u200c', 'ಬ್ಯಾಸ್ಕೆಟ್ ಬಾಲ್'];ಬ್ಯಾಸ್ಕೆಟ್‌ಬಾಲ್ ಒಂದು ಸಾಂಘಿಕ ಆಟವಾಗಿದ್ದು, ೫ ಆಟಗಾರರ ಎರಡು ತಂಡಗಳು ಸಂಘಟಿತ ನಿಯಮದಡಿ ೧೦ ಅಡಿ ಎತ್ತರದ ಹೂಪ್‍ನಲ್ಲಿ ಚೆಂಡನ್ನು ಹಾಕುವ ಮೂಲಕ ಹೆಚ್ಚು ಅಂಕಗಳಿಸಲು ಪರಸ್ಪರ ಸೆಣಸಾಡುತ್ತವೆ.
activity;['ಬ್ಯಾಡ್ಮಿಂಟನ್\u200c', 'bádminton', 'ಬ್ಯಾಡ್ಮಿಂಟನ್'];ಬ್ಯಾಡ್ಮಿಂಟನ್ ರಾಕೆಟ್‌ಗಳಿಂದ ಆಡುವಂತಹ ಕ್ರೀಡೆಯಾಗಿರುತ್ತದೆ.
activity;['ಗಾಲ್ಫ್'];== ಗಾಲ್ಫ್ == ಚೆಂಡನ್ನು ದಾಂಡಿನಿಂದ ಹೊಡೆದು ಬದ್ದು ತುಂಬಿಸುವ ಒಂದು ಹೊರಾಂಗಣ ಕ್ರೀಡೆ.
activity;['ಕ್ರಿಕೆಟ್'];ಕ್ರಿಕೆಟ್ ಎಂಬುದು ದಾಂಡು ಮತ್ತು ಚೆಂಡುಗಳ ಆಟ.
activity;['ಬೇಸ್\u200cಬಾಲ್'];ಬೇಸ್ ಬಾಲ್ ದಾಂಡು ಮತ್ತು ಚೆಂಡನ್ನು ಬಳಸಿ, ತಲಾ ಒಂಬತ್ತು ಜನರನ್ನೊಳಗೊಂಡ ಎರಡು ತಂಡಗಳ ನಡುವೆ ಆಡಲ್ಪಡುವ ಪಂದ್ಯ.
activity;['ಇಸ್ಪೀಟಾಟ'];== ಇಸ್ಪೀಟೆಲೆಗಳು == ಇಸ್ಪೀಟೆಲೆಯು ವಿಶೇಷವಾಗಿ ಸಿದ್ಧಪಡಿಸಿದ ಭಾರೀ ಕಾಗದ, ತೆಳುವಾದ ರಟ್ಟು, ಪ್ಲಾಸ್ಟಿಕ್ ಲೇಪಿತ ಕಾಗದ, ಹತ್ತಿ ಕಾಗದದ ಮಿಶ್ರಣ, ಅಥವಾ ತೆಳುವಾದ ಪ್ಲಾಸ್ಟಿಕ್ ವಿವಿಧ ವಿನ್ಯಾಸಗಳಿಂದ ಗುರುತಿಸಲಾಗಿದೆ ಮತ್ತು ಇಸ್ಪೀಟೆಲೆಯ ಆಟಗಳನ್ನು ಆಡಲು ಒಂದು ಸೆಟ್ನ ಒಂದು ತುಣುಕು ಬಳಸಲಾಗುತ್ತದೆ.
activity;['ಟೆನ್ನಿಸ್', 'ಟೆನಿಸ್'];ಟೆನ್ನಿಸ್ ಎಬ್ಬರು ಅಥವಾ ನಾಲ್ಕು ಜನ ಆಡಬಹುದಾದಂತ ಒಂದು ಹೊರಾಂಗಣ ಆಟ.
activity;['ಟೇಬಲ್ ಟೆನ್ನಿಸ್', 'ಟೇಬಲ್\u200c ಟೆನ್ನಿಸ್\u200c'];ಟೇಬಲ್ ಟೆನ್ನಿಸ್ ಎರಡು ಅಥವಾ ನಾಲ್ಕು ಆಟಗಾರರು ಹಗುರವಾದ ಟೊಳ್ಳು ಚೆಂಡನ್ನು ರ್‍ಯಾಕೆಟ್‍‍ನಿಂದ ಹಿಂದಕ್ಕೆ ಅಥವಾ ಮುಂದಕ್ಕೆ ಹೊಡೆಯುವ ಆಟ.
activity;['ಕದನ', 'ಕಾಳಗ'];ಕದನ ಸಾಮಾನ್ಯವಾಗಿ, ಇಬ್ಬರು ಅಥವಾ ಹೆಚ್ಚು ಸಶಸ್ತ್ರ ಪಡೆಗಳು, ಅಥವಾ ಕಾದಾಳುಗಳ ನಡುವಿನ ಯುದ್ಧದಲ್ಲಿನ ಕಾಳಗದ ಶ್ರೇಣಿ ವ್ಯವಸ್ಥೆಯಲ್ಲಿ ಕದನವು ಒಂದು ಕಲ್ಪನಾತ್ಮಕ ಘಟಕ.
activity;['ವರ್ಚುಯಲ್ ರಿಯಾಲಿಟಿ'];ನಿಜವಾದ ವತಾವರಣಕ್ಕೆ ಅತ್ಯಂತ ಸಮೀಪವಾದ ವಾತಾವರಣವನ್ನು ಕಂಪ್ಯೂಟರ್ ಮೂಲಕ ಒದಗಿಸಿ ವಿವಿಧ ಪ್ರಯೂಗಗಳಿಗೆ ಅವಕಾಶ ಒದಗಿಸುವ ತಂತ್ರ ಜ್ಞಾವನ್ನು ವರ್ಚುಯಲ್ ರಿಯಾಲಿಟಿ ಎಂದು ಕರೆಯಲಾಗಿದೆ.
activity;['ಟೇಕ್ವಾಂಡೋ'];ಟೇಕ್ವಾಂಡೋ ಎಂಬುದು ಕೊರಿಯಾದ ಕದನ/ಸಮರ ಕಲೆ ಹಾಗೂ ದಕ್ಷಿಣ ಕೊರಿಯಾದ ರಾಷ್ಟ್ರೀಯ ಕ್ರೀಡೆಯಾಗಿದೆ.
activity;['ದಿವಾಳಿತನ'];ದಿವಾಳಿತನ ವ್ಯಕ್ತಿ ಅಥವಾ ಸಂಸ್ಥೆ ತನ್ನ ಸಾಲಗಾರರಿಗೆ ಹಣವನ್ನು ಹಿಂದಿರುಗಿಸಲಾಗುವುದಿಲ್ಲವೆಂದು ಕಾನೂನಾತ್ಮಕವಾಗಿ ಘೋಷಿಸುವ ಒಂದು ಪ್ರಕ್ರಿಯೆ.
activity;['ಸಂಭೋಗ', 'ಅಂಗಸಂಗ', 'ದೆಂಗು', 'ಮೈಥುನ', 'ರತ', 'ರತಿ ಕ್ರೀದೆ', 'ಲೈಂಗಿಕ ಕ್ರಿಯೆ'];ಗಂಡು ಮತ್ತು ಹೆಣ್ಣುಗಳು ಕೂಡಿ ಸೃಷ್ಟಿಕಾರ್ಯದಲ್ಲಿ ತೊಡಗುವುದೇ ಲೈಂಗಿಕ ಕ್ರಿಯೆಯ ಮುಖಾಂತರ.
activity;['ಕೆಟ್ಟದೃಷ್ಟಿ', 'ಕಣ್ಕಿಸುರು', 'ಕಣ್ಣೆಂಜಲು'];ಕೆಟ್ಟದೃಷ್ಟಿ ಎಂದರೆ ಕೇಡು ಬಗೆಯುವ ನೋಟವು ಬೀರುತ್ತದೆ ಎಂದು ನಂಬಲಾದ ಶಾಪ ಅಥವಾ ಕಥೆ, ಸಾಮಾನ್ಯವಾಗಿ ಒಬ್ಬ ವ್ಯಕ್ತಿಗೆ ಅರಿವಿಲ್ಲದಿದ್ದಾಗ ಕೊಡಲ್ಪಟ್ಟದ್ದು.
activity;['ಟೈಟ್ರೇಷನ್'];ರಸಾಯನಶಾಸ್ತ್ರದಲ್ಲಿ ಒಂದು ದ್ರಾವಣದಲ್ಲಿ ಕರಗಿರುವ ರಾಸಾಯನಿಕದ ಪ್ರಮಾಣ ಎಷ್ಟೆಂದು ಕಂಡುಹಿಡಿಯುವುದಕ್ಕೆ ಟೈಟ್ರೇಷನ್ ಎಂಬ ಪ್ರಯೋಗವನ್ನು ಬಳಸುತ್ತಾರೆ.
activity;['ಕ್ರೂಶಾರೋಹಣ'];ಕ್ರೂಶಾರೋಹಣವು ಮರಣದಂಡನೆಯ ವಿಧಾನವಾಗಿತ್ತು.
activity;['ಪ್ರಕೃತಿ ಚಿಕಿತ್ಸಾ ಪದ್ಧತಿ'];ಪ್ರಕೃತಿ ಚಿಕಿತ್ಸೆ ಪದ್ಧತಿ ನೈಸರ್ಗಿಕವಾದ ರೋಗ ನಿವಾರಣಾ ಶಕ್ತಿಯಾಗಿದೆ.
activity;['ಹೋಮಿಯೋಪಥಿ', 'ಹೋಮಿಯೋಪತಿ'];ಹೋಮಿಯೋಪಥಿ ಒಂದು ವೈದ್ಯ ಪದ್ಧತಿ.
activity;['ಜನಗಣತಿ', 'ಜನಗಣತಿ ಯಾರು ಮಾಡುತ್ತಾರೆ?'];ಒಂದು ಜನಗಣತಿ ಎಂದರೆ, ನಿರ್ಧಿಷ್ಟ ಜನಸಂಖ್ಯೆಯ ಸದಸ್ಯರ ಮಾಹಿತಿಯನ್ನು ಉತ್ತಮ ಕಾರ್ಯವಿಧಾನ-ಪದ್ದತಿಗಳ ಅನುಸರಿಸಿ ದಾಖಲಿಸುವುದು.
activity;['ವ್ಯಾಜ್ಯ', 'ಕಕ್ಷಿ', 'ಮೊಕದ್ದಮೆ'];ವ್ಯಾಜ್ಯವು ಒಂದು ನ್ಯಾಯಾಲಯದಿಂದ ಅಥವಾ ಯಾವುದೋ ಸಮಾನವಾದ ಕಾನೂನು ಪ್ರಕ್ರಿಯೆಯಿಂದ ನಿರ್ಧರಿಸಲ್ಪಡುವ ವಿರೋಧಿ ಪಕ್ಷಗಳ ನಡುವಿನ ವಿವಾದ.
activity;['ದ್ವಂದ್ವಯುದ್ಧ', 'ಎಕ್ಕಟಿಕಾಳಗ', 'ಎಕ್ಕತುಳ'];ದ್ವಂದ್ವಯುದ್ಧವು ಒಪ್ಪಲಾದ ನಿಯಮಗಳಿಗೆ ಅನುಗುಣವಾಗಿ, ಹೊಂದುವಂಥ ಆಯುಧಗಳ ಜೊತೆಗೆ, ಇಬ್ಬರು ವ್ಯಕ್ತಿಗಳ ನಡುವೆ ಹೋರಾಟದ ರೂಪದ ವ್ಯವಸ್ಥಿತ ಕದನ.
activity;['ಬೆಸಿಮರ್ ಪರಿವರ್ತಕ'];ಕರಗಿದ ಪಿಗ್ ಐರ್ನ್ ಇಂದ ಉಕ್ಕಿನ ರಾಶಿ-ಉತ್ಪನ್ನದ ಮೊದಲ ಅಗ್ಗದ ಔದ್ಯೋಗಿಕ ಪ್ರಕ್ರೀಯೆ ಬೆಸಿರ್ ಪ್ರಕ್ರೀಯೆ ಆಗಿತ್ತು.
activity;['ಮಿಂಚುದಾಳಿ'];ಶಬ್ದದ ಇತರ ಬಳಕೆಗಳಿಗಾಗಿ, ನೋಡಿ: ಬ್ಲಿಟ್ಜ್‌ಕ್ರಿಗ್
activity;['ತೇಗುವಿಕೆ'];ತೇಗುವಿಕೆ ಎಂದರೆ ಬಾಯಿಯ ಮೂಲಕ ಜಠರಗರುಳು ವ್ಯೂಹದ ಮೇಲ್ಭಾಗದಲ್ಲಿರುವ ವಾಯು ಬಿಡುಗಡೆಯಾಗುವುದು.
activity;['ಮಾನ್ಸೂನ್'];ಮಾನ್‍ಸೂನ್ ಎಂದರೆ ವಿಶೇಷತಃ ಹಿಂದೂ ಮಹಾಸಾಗರ ಮತ್ತು ದಕ್ಷಿಣ ಏಷ್ಯಗಳ ಮೇಲೆ ಶ್ರಾಯಿಕವಾಗಿ ಬೀಸುವ ಕ್ಲುಪ್ತ ಮಾರುತ, ಋತು ಎಂದು ಅರ್ಥ ನೀಡುವ "ಮೌಸಿಮ್" ಎಂಬ ಅರಬ್ಬೀ ಭಾಷೆಯ ಪದದಿಂದ ಮಾನ್‍ಸೂನ್ ಬಂದಿದೆ.
activity;['ಮನೋವಿಶ್ಲೇಷಣೆ'];ಮನೋವಿಶ್ಲೇಷಣೆಯು ಪ್ರಜ್ಞಾಹೀನ ಮನಸ್ಸಿನ ಅಧ್ಯಯನಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಸಿದ್ಧಾಂತಗಳು ಮತ್ತು ಚಿಕಿತ್ಸಕ ತಂತ್ರಗಳ ಸಮೂಹ.
activity;['ಜೂಡೋ'];Judo or Jūdō ಒಂದು ಆಧುನಿಕ ಜಪಾನೀಸ್ ಕದನ ಕಲೆ, ಮತ್ತು ಕಾದಾಡುವ ಕ್ರೀಡೆಯಾಗಿದೆ, ಇದನ್ನು 1882ರಲ್ಲಿ ಜಪಾನಿನಲ್ಲಿ ಡಾ.
activity;['ಕಾಲ್ಪನಿಕ ಕಥೆ'];ಮಕ್ಕಳ ಕಥೆಗಳು ಫೇರಿ ಟೇಲ್ ಒಂದು ಇಂಗ್ಲಿಷ್ ಶಬ್ದವಾಗಿದ್ದು, ಇದು ಒಂದು ಪ್ರಕಾರದ ಸಣ್ಣ ನಿರೂಪಕ ಕಥೆಯಾಗಿದೆ.
