abstract-quality;['personalidad', 'perfil', 'caracter', 'carácter', 'personalidades'];Concepto en psicología
activity;['anatema', 'anatemizacion', 'anatemización', 'herem', 'nidui', 'anatematizado'];Tipo de condena religiosa
activity;['sacramento', 'sacramento de la iglesia católica', 'sacramento católico', 'sacramentos', 'sacramentos católicos', 'sacramentos de la iglesia católica', 'siete sacramentos', 'sacramentos de la iglesia catolica'];Siete rituales visibles, que los católicos ven como signos de la presencia de Dios, que consisten en: de iniciación, de curación y de servicio
activity;['abdicación', 'abdicar', 'abdicacion', 'abdicativo', 'abdicaciones', 'abdicó'];Renunciar al gobierno de un país.
activity;['sófbol', 'sofbol', 'sóftbol', 'softbol', 'softball', 'juego de softbol'];Deporte de equipo
activity;['ajedrez', 'partida de ajedrez', 'escaques', 'ajedrecista', 'ajedrecistas', 'juego de ajedrez'];Juego de tablero
activity;['juego perfecto', 'juegos perfectos'];Juego de béisbol en el que al menos un equipo no tiene corredores
activity;['matatenas', 'taba', 'juego de las tabas', 'cantillos', 'tabas', 'jackses', 'juego de la taba', 'yaces', 'jacks'];Juego
activity;['keno', 'bingo', 'comilona', 'loto'];Juego de azar
activity;['pulga', 'la pulga', 'juego de la pulga', 'tiddlywinks'];Juego de habilidad psicomotora
activity;['balón de balonvolea', 'balón de volleyball', 'pelota de voleibol', 'pelota de voleybol', 'voleibol'];Pelota usada en voleibol
activity;['lacrosse', 'intercross', 'vilorta'];Deporte de equipo
activity;['baloncesto', 'básquetbol', 'basketball', 'basquetbol', 'básket', 'baloncestista', 'basquebol', 'baketball', 'baloncestistas', 'baloncesto de 3-en-3', 'baloncesto profesional', 'baloncestístico', 'basket', 'basket ball', 'basketbol', 'basquet', 'basquetball', 'basquetbolista', 'básketbol', 'básquet', 'básquetball', 'historia del baloncesto', 'aros', 'club baloncesto', 'club de baloncesto', 'juego de baloncesto', 'jugador de baloncesto estonia'];Deporte de equipo que se juega con un balón normal mente de cuero y dos canastas
activity;['golf', 'campo de golf', 'campos de golf', 'foursome', 'foursomes', 'golfista', 'golf juego', 'torneo golf'];Deporte
activity;['pinball', 'flipper', 'flippers', 'petaco', 'juego de pinball', 'máquinas de pinball'];Juego de salón mecánico, electromecánico o electrónico
activity;['juego de mesa', 'juego de tablero', 'juego de salon', 'juego de salón', 'juegos de tablero', 'juegos de mesa'];Juego de mesa que utiliza uno o más tableros como parte fundamental de su sistema de juego
activity;['hockey sobre hielo', 'hockey', 'hockey hielo', 'ice hockey', 'joquey sobre hielo', 'jóquey sobre hielo', 'hokey hielo', 'hockey juego', 'hockey sobre hielo de las mujeres'];Deporte de equipos sobre una pista de hielo
activity;['críquet', 'cricket', 'criquet', 'crique', 'crícket', 'eliminación', 'estadio de críquet', 'equipo de cricket', 'jugador de cricket'];Deporte de equipo
activity;['juego de cartas', 'juego de naipes', 'juegos de cartas', 'juegos de naipes', 'juego de naipes o cartas', 'naipes y juegos de naipes', 'tarjetas'];Juego de mesa fundamentado en una baraja de cartas
activity;['ping-pong', 'tenis de mesa', 'pimpón', 'ping pong', 'pimpon', 'pingpong', 'tenimesista', 'tenista de mesa'];Deporte de raqueta, que se disputa entre dos jugadores o dos parejas
activity;['juego de salón', 'juego social', 'juego de sociedad', 'juego grupal', 'juegos de salón', 'juegos de sociedad', 'juegos sociales', 'salón de juegos'];Juego grupal realizado bajo techo
activity;['juego de azar', 'juegos de azar', 'juego juego'];Juego en el cual las posibilidades de ganar o perder no dependen de la habilidad del jugador sinó exclusivamente del azar.
activity;['guerra de sucesión española', 'guerra de la sucesion espanola', 'guerra de la sucesion española', 'guerra de la sucesión espanola', 'guerra de la sucesión española', 'guerra de sucesion espanola', 'guerra de sucesion española', 'guerra de sucesión espanola', 'guerra de sucesion', 'guerra de sucesion de espana', 'guerra de sucesion de españa', 'guerra de sucesión de espana', 'guerra de sucesión de españa'];Conflicto bélico europeo
activity;['pie', 'unidad métrica', 'pie métrico', 'pie metrico', 'anfibráquico', 'pies métricos'];Unidad métrica cuantitativa del verso griego o latino
activity;['huelga', 'huelgas', 'paro laboral', 'derecho a la huelga', 'huelga clandestina', 'huelguista', 'huelguistas', 'paros laborales', 'acciones de huelga', 'conflicto laboral', 'derecho de huelga', 'huelga laboral', 'trabajo paro'];Suspensión colectiva de la actividad laboral
activity;['clavado', 'salto', 'buceo', 'inmersión', 'piscinazo', 'zambullida', 'clavados', 'saltos', 'clavadista', 'salto de trampolin', 'salto de trampolín', 'saltos de trampolin', 'saltos de trampolín', 'saltos ornamentales'];Deporte acuático
activity;['automatización', 'mecanización', 'automatización industrial', 'robotización', 'automación', 'maquinización', 'automatizacion industrial', 'automatizacion', 'automatizar', 'automatica', 'ingenieria automatica', 'ingenieria automática', 'ingenieria de control', 'ingeniería automatica', 'ingeniería de control', 'mecanizacion', 'mecanizar', 'automatización de fábrica', 'automatizado', 'mecanizada'];Uso de sistemas o elementos computerizados y electromecánicos para controlar maquinarias o procesos industriales
activity;['realidad virtual', 'virtualmente', 'entorno virtual', 'espacio virtual'];Entorno de escenas u objetos de apariencia real, generado mediante tecnología informática
activity;['aikido', 'aikidō', 'aikidô', 'ikkyo', 'korindo aikido'];Arte marcial moderno del Japón
activity;['pachinko', 'choson tamare', 'パチンコ'];Juego japonés
activity;['amerizaje', 'amaraje', 'amarizaje', 'amerizar', 'amarar', 'amenizar'];Proceso en el que una aeronave impacta de forma controlada en una superficie acuática
activity;['fiebre del oro', 'fiebre de oro', 'quimera del oro'];Período de migración apresurada y masiva de trabajadores debido a un descubrimiento de oro
activity;['bancarrota', 'quiebra', 'quiebra fraudulenta', 'insolvencia definitiva', 'cheque sin fondos', 'insolvencia', 'juicio de quiebra', 'juicio de quiebras', 'rubber check', 'quiebras', 'bancarrota fraudulenta', 'concurso de acreedores fraudulento', 'no tiene', 'fraude de quiebra', 'quiebra involuntaria', 'quiebra voluntaria'];Situación jurídica en la que una persona, empresa o institución no puede hacer frente a los pagos que debe realizar
activity;['referéndum', 'referendo', 'referendum', 'plebiscito', 'consulta', 'referendos', 'referiendo', 'referéndum constitucional', 'referéndum vinculante', 'plebiscitos', 'referéndum consultivo', 'referéndum no vinculante'];Votación directa para aceptar o rechazar una propuesta particular
activity;['control de armas', 'control de armamento', 'control de armamentos', 'control internacional de armas', 'el control de armas'];Restricción del desarrollo, proliferación o utilización de armas
activity;['acto sexual', 'relación sexual', 'coito', 'relaciones sexuales', 'cópula', 'coitus', 'copulación', 'acto carnal', 'concúbito', 'relación', 'carnal knowledge', 'relacion sexual', 'actos sexuales', 'copular', 'actividad sexual', 'coitar', 'coitos', 'copula sexual', 'copulacion', 'copulador', 'copulas', 'cópula sexual', 'cópulas', 'ficken', 'hacer el amor', 'penetracion', 'penetracion sexual', 'penetración sexual', 'practicar el coito', 'práctica sexual', 'prácticas sexuales', 'relacion carnal', 'relaciones íntimas', 'relación carnal', 'relación íntima', 'comportamiento sexual humano', 'conocimiento carnal', 'actividad sexual humana', 'actividades sexuales', 'coito vaginal', 'encuentro sexual', 'sexo piedad', 'sexo vaginal', 'sexual congreso', 'sexuales piedad'];Comportamientos eróticos que realizan dos o más seres por reproducción o placer
activity;['tarantela', 'tarantella', 'tarantelle'];Baile popular del sur de Italia
activity;['rifa', 'sorteo', 'rifar'];Competición en la que la gente compra boletos numerados
activity;['cortejo', 'galanteo', 'festejo', 'cortejando', 'noviazgo', 'pretendientes'];Selección y atracción de una persona para establecer una relación.
activity;['valoración', 'titulación', 'análisis volumétrico', 'titracion', 'titración', 'titulacion', 'valoracion química', 'valoración química', 'valoración volumétrica', 'volumetría', 'valoracion volumetrica', 'analisis volumetrico', 'analisis volumétrico', 'análisis volumetrico', 'valoracion quimica', 'valoración quimica', 'volumetria', 'reactivo de valoración', 'valoración por retroceso'];Método de análisis químico cuantitativo
activity;['radiodifusión', 'difusión audiovisual', 'broadcasting', 'radiodifusion', 'difusion radiofonica y televisiva', 'difusion televisiva', 'difusión radiofónica y televisiva', 'difusión televisiva', 'teledifusion', 'teledifusión', 'difundir medio'];Servicio de emisión de señales de radio y televisión para uso público
activity;['jiu-jitsu', 'jiujitsu', 'jujutsu', 'jujitsu', 'jūjutsu', 'yiu-yitsu', 'jiu jitsu', 'ju jitsu', 'ju jutsu', 'ju-jitsu'];Arte marcial japonés chida
activity;['homeopatía', 'medicina homeopática', 'homeopatia', 'homeopatica', 'homeopatico', 'homeopaticos', 'homeopática', 'homeopático', 'homeopáticos', 'medicina homeopatica', 'homeópata', 'homeopata'];Tipo de medicina alternativa basada en la doctrina «lo similar cura lo similar»
activity;['quiropráctica', 'quiromasaje', 'quiropractica', 'quiropraxia', 'quiropractico', 'quiropráctico', 'quiroprácticos'];Tipo de medicina alternativa
activity;['espondeo'];un pie de métrica constituido por dos sílabas largas seguidas
activity;['anfíbraco', 'anfibraco', 'amphibrach'];un pie de tres sílabas que consiste en una sílaba larga entre dos breves
activity;['artroscopia', 'artroscopía', 'artroscópica', 'cirugía artroscópica'];Tipo de endoscopia que consiste en la visualización de una articulación
activity;['soprano soubrette', 'confidente', 'soprano doubrette', 'soubrette', 'doncella'];Tipo de especialización vocal
