abstract-region;['tensor', 'cálculo tensorial', 'magnitud tensorial', 'análisis tensorial', 'tensores'];Objeto que amplía la noción del escalar, vector, y matriz.
activity;['votación', 'voto', 'boleta electoral', 'votacíon', 'elección', 'papeleta electoral', 'boletas electorales', 'papeleta', 'papeletas', 'tarjeta electoral', 'votacion', 'votada', 'votado', 'votante', 'voto popular', 'un hombre, un voto', 'votador', 'papeleta de votación', 'papeleta mariposa', 'votantes'];Declaración vinculante de la preferencia de una persona habilitada para tomar decisiones, dentro de un proceso de toma de decisiones, entre un número predeterminado de alternativas.
activity;['votación', 'voto', 'boleta electoral', 'votacíon', 'elección', 'papeleta electoral', 'boletas electorales', 'papeleta', 'papeletas', 'tarjeta electoral', 'votacion', 'votada', 'votado', 'votante', 'voto popular', 'un hombre, un voto', 'votador', 'papeleta de votación', 'papeleta mariposa', 'votantes'];Proceso de votación, especialmente cuando los votos son secretos.
activity;['votación', 'voto', 'boleta electoral', 'votacíon', 'elección', 'papeleta electoral', 'boletas electorales', 'papeleta', 'papeletas', 'tarjeta electoral', 'votacion', 'votada', 'votado', 'votante', 'voto popular', 'un hombre, un voto', 'votador', 'papeleta de votación', 'papeleta mariposa', 'votantes'];Acto de expresión formal de una opinión o preferencia en algún tema o para algún candidato, usualmente por medio de la voz o de forma escrita.
activity;['eucaristía', 'cena del señor', 'comunión', 'santísimo sacramento', 'liturgia eucarística', 'sacramento de la eucaristía', 'santo sacramento', 'cena del senor', 'communio', 'comulgar', 'comunion', 'eucaristia', 'eucaristico', 'eucaristía católica', 'eucaristía en la iglesia católica', 'eucarístico', 'eucharistia', 'eucharistía', 'liturgia eucaristica', 'sacramento de la comunion', 'sacramento de la comunión', 'santa cena', 'santisimo', 'santisimo sacramento', 'santisimo sacramento del altar', 'santísimo', 'santísimo sacramento del altar', 'fracción del pan', 'santo sacrificio', 'viatico', 'viático', 'sacramento eucarístico', 'sagrada eucaristía', 'comulgante', 'comulgantes', 'preciosísima sangre', 'sacramento', 'sagrada comunión'];Sacramento y acto central de culto en muchas iglesias cristianas, que se instituyó en la Última Cena y en la que el pan y el vino son consagrados y consumidos en recuerdo de la muerte de Jesús.
activity;['circo', 'artista de circo', 'artes circenses', 'arte circense', 'circense', 'circo ambulante', 'circos'];Compañía itinerante de artistas que puede incluir acróbatas, payasos, animales adiestrados, y otros actos novedosos, que se presenta por lo general en una carpa circular.
activity;['abrazo', 'achuchón', 'caricia', 'mimo', 'nestle', 'snuggle'];Estrecho y afectuoso abrazo.
activity;['educación de adultos', 'educacion adultos', 'educacion de adultos', 'cpepa', 'educación para adultos'];Instrucción o entrenamiento, informal o formal, dirigido a personas de edad madura, sin importar su educación anterior, y ofrecido típicamente por programas de extensión de universidades, patrones, cursos por correspondencia o grupos comunitarios.
activity;['educación a distancia', 'curso a distancia', 'curso por correspondencia', 'aprendizaje a distancia', 'cursos por correspondencia', 'universidad en línea'];Educación impartida a distancia utilizando las tecnologías de la información/comunicación: radio, televisión, teléfono, correspondencia, correo electrónico, teleconferencia, cd-roms, o en línea.
activity;['corriente de aire', 'corriente'];Flujo de aire.
activity;['maldición', 'imprecación'];Súplica o rezo para que el mal o la mala suerte golpee a alguien o a algo.
activity;['ardid', 'artificio', 'artimaña', 'astucia', 'estratagema', 'truco', 'martingala', 'regate', 'treta'];Maniobra engañosa.
activity;['resistencia', 'compañía', 'empresa', 'firma', 'postura', 'asociación'];Relación comercial de dos o más personas, especialmente cuando lo registran.
activity;['estudio', 'investigación'];Inspección crítica y detallada.
activity;['mamografía', 'mamógrafo', 'mamografías', 'mamograma', 'mamografia', 'mamografias', 'mamografo'];Uso de rayos X para crear una imagen de los pechos.
activity;['mamografía', 'mamógrafo', 'mamografías', 'mamograma', 'mamografia', 'mamografias', 'mamografo'];Dispositivo diseñado para producir imágenes de rayos X de los senos.
activity;['disputa', 'conflicto', 'diferencia', 'discusión', 'querella', 'repunta', 'conflicto interpersonal', 'contencioso', 'altercado', 'conflictos', 'confrontacion', 'diferencia de opinión'];Discusión o desacuerdo, el no lograr estar de acuerdo.
activity;['controversia', 'discusión', 'bronca', 'pelea', 'polémica', 'riña', 'disputa', 'lid', 'pendencia', 'quimera', 'controversial', 'controversias', 'desavenencia', 'argumentando', 'argumento', 'argumentos', 'disceptation', 'lucha'];Disputa contenciosa.
activity;['controversia', 'discusión', 'bronca', 'pelea', 'polémica', 'riña', 'disputa', 'lid', 'pendencia', 'quimera', 'controversial', 'controversias', 'desavenencia', 'argumentando', 'argumento', 'argumentos', 'disceptation', 'lucha'];Acción de discutir.
activity;['distribución', 'reparto', 'partición', 'repartición'];Repartición de partes.
activity;['performance', 'actuación', 'presentación', 'representación', 'presentación artística', 'ejecución', 'f', 'función', 'interpretación', 'presentación publica', 'realización', 'sesión', 'presentacion', 'presentacion artistica', 'presentación pública', 'realizar', 'realizó'];Acto en el que alguien toca música o participa en una obra de teatro o algo similar en una presentación en vivo o en un concierto.
activity;['fresco', 'frescos', 'pintura al fresco'];Técnica de pintura en la que los pigmentos suspendidos en agua se aplican a una superficie frisada. Al secarse los pigmentos quedan siendo parte del friso o la superficie.
activity;['carnaval', 'carnavales', 'carnestolendas', 'carnestoltes', 'fiestas y carnavales'];Temporada festiva que ocurre justo antes de la Cuaresma.
activity;['dibujo animado', 'dibujos animados', 'animación tradicional', 'cómic', 'historieta', 'animacion 2d', 'película de animación tradicional', 'animacion tradicional', 'animación 2d', 'animatic', 'dibujos animado', 'dibujos de animación', 'serie animada', 'serie de animacion', 'serie de animación', 'serie de television animada', 'serie de televisión animada', 'comedia animada', 'película de animación', 'toon'];Encadenamiento de varios dibujos que provocan la ilusión de movimiento.
activity;['documental', 'docudrama', 'película documental', 'cine documental', 'reportaje', 'docu-drama', 'pelicula documental', 'documentales', 'serie documental', 'docu drama', 'documental dramatico', 'documental dramático', 'película de montaje', 'series documentales', 'documentalista', 'drama documental', 'información y entretenimiento', 'películas documentales'];Cualquier película en la que un acontecimiento, época o historia de vida verdadera se presenta como hecho, con poca o ninguna ficción.
activity;['sentencia', 'condena', 'sentencia condenatoria', 'juicio', 'pena', 'punición', 'veredicto condenatorio', 'sentencia judicial', 'condena penal', 'condenas', 'frase'];Decisión oficial de una corte de justicia sobre los derechos y pretensiones respectivas de las partes sobre una acción en litigio y sometida a juicio.
activity;['barrena'];Maniobra de vuelo en la que el avión gira sobre su eje longitudinal.
activity;['barrena'];Maniobra de vuelo en la que el avión gira sobre su eje longitudinal.
activity;['fútbol', 'balompié', 'futbol', 'balón-pie', 'pambol', 'futbol soccer', 'fútbol soccer', 'balompedista', 'balompie', 'balompédico', 'balonpie', 'balonpié', 'balón pié', 'campo de futbol', 'campo de fútbol', 'cancha de futbol', 'cancha de fútbol', 'duracion de un partido de futbol', 'duracion de un partido de fútbol', 'duración de un partido de futbol', 'duración de un partido de fútbol', 'foot-ball', 'foot ball', 'football', 'furbo', 'futbol 11', 'futbol asociacion', 'futbol asociación', 'futbol asociado', 'futbol de asociacion', 'futbol de asociación', 'futbolero', 'futbolista', 'futbolistas', 'fútbol 11', 'fútbol asociacion', 'fútbol asociación', 'fútbol asociado', 'fútbol de asociacion', 'fútbol de asociación', 'jugador de fútbol', 'liga de fútbol', 'soccer', 'tiempo de descuento', 'equipo de fútbol', 'futbolista asociación'];Deporte en el que dos equipos de 11 jugadores cada uno intenta obtener control sobre el balón y hacerlo pasar por la meta del equipo contrario sin tocarlo con las manos.
activity;['película', 'film', 'filme', 'cine', 'producción', 'películas', 'pelicula', 'obra cinematografica', 'peliculas', 'filmes', 'films', 'largometraje', 'largometrajes', 'obra cinematográfica', 'realizacion de cine', 'realización de cine', 'filmaciones', 'filmación', 'obras cinematograficas', 'obras cinematográficas', 'peli', 'pelicula cinematografica', 'pelicula cinematográfica', 'pelicular', 'peliculero', 'peliculon', 'peliculón', 'película cinematografica', 'película cinematográfica', 'imagen en movimiento', 'gran película', 'imágenes en movimiento', 'motion-picture show', 'movimiento se muestra la imagen', 'muestra la imagen', 'pantalla grande', 'película teatral'];Conjunto de imágenes animadas.
activity;['anatema', 'anatemizacion', 'anatemización', 'herem', 'nidui', 'anatematizado'];Prohibición o maldición pronunciada con solemnidad religiosa por autoridad eclesiástica, y acompañada por la excomunión.
activity;['inspección', 'revisión', 'revista', 'inspeccion'];Verificación y evaluación oficial del nivel de cumplimiento de objetivos, estándares, políticas o procedimientos preestablecidos en una agencia, organización, departamento o unidad.
activity;['abdicación', 'abdicar', 'abdicacion', 'abdicativo', 'abdicaciones', 'abdicó'];Renuncia voluntaria al poder soberano.
activity;['discurso', 'speech', 'habla'];Alocución o forma de comunicación oral en la cual un orador expresa pensamientos y emociones frente a una audiencia, a menudo con un propósito dado.
activity;['ajedrez', 'partida de ajedrez', 'escaques', 'ajedrecista', 'ajedrecistas', 'juego de ajedrez'];Partida del juego de ajedrez.
activity;['ajedrez', 'partida de ajedrez', 'escaques', 'ajedrecista', 'ajedrecistas', 'juego de ajedrez'];Juego de mesa para dos jugadores, se utiliza un tablero de juego compuesto de un cuadrado formado por 64 casillas en 8 filas y 8 columnas, las casillas son de dos colores y éstan alternadas por color, cada jugador al inicio del juego cuenta con 16 piezas: ocho peones, dos torres, dos alfiles, dos caballos, una reina y un rey. El objetivo del juego es colocar al rey contrario en la posición en la que no puede evitar ser capturado, esta posición se llama jaque mate.
activity;['videojuego', 'juego de video', 'juego de computadora', 'juego de ordenador', 'vida', 'videojuegos', 'juegos de ordenador', 'juego de computador', 'juego de vídeo', 'juegos de video', 'juegos de videos', 'juegos de vídeo', 'video-juegos', 'video game', 'video games', 'video juego', 'video juegos', 'videogame', 'videojuego de ordenador', 'vídeojuego', 'juego de ordenador personal', 'juego interactivo', 'juegos de ordenador personal', 'juegos de pc'];Una de las posibilidades que tiene un jugador para jugar, perdida cuando comete un error.
activity;['videojuego', 'juego de video', 'juego de computadora', 'juego de ordenador', 'vida', 'videojuegos', 'juegos de ordenador', 'juego de computador', 'juego de vídeo', 'juegos de video', 'juegos de videos', 'juegos de vídeo', 'video-juegos', 'video game', 'video games', 'video juego', 'video juegos', 'videogame', 'videojuego de ordenador', 'vídeojuego', 'juego de ordenador personal', 'juego interactivo', 'juegos de ordenador personal', 'juegos de pc'];Juego que incluye interacción con una interfaz al usuario para generar resultados visuales en un dispositivo video, generalmente un televisor.
activity;['waterpolo', 'polo acuático', 'polo aquático', 'water polo', 'polo acuatico', 'waterpolista', 'waterpolo de playa'];Deporte de equipo en agua, que se puede describir mejor como una combinación de natación, balonmano y lucha.
activity;['squash', 'las raquetas de squash', 'pistas de squash', 'raquetas de squash'];Juego que se practica en un campo con una pared con pelotas de goma suave y raquetas similares a las del tenis.
activity;['baloncesto', 'básquetbol', 'basketball', 'basquetbol', 'básket', 'baloncestista', 'basquebol', 'baketball', 'baloncestistas', 'baloncesto de 3-en-3', 'baloncesto profesional', 'baloncestístico', 'basket', 'basket ball', 'basketbol', 'basquet', 'basquetball', 'basquetbolista', 'básketbol', 'básquet', 'básquetball', 'historia del baloncesto', 'aros', 'club baloncesto', 'club de baloncesto', 'juego de baloncesto', 'jugador de baloncesto estonia'];Persona que juega baloncesto, especialmente de forma profesional.
activity;['baloncesto', 'básquetbol', 'basketball', 'basquetbol', 'básket', 'baloncestista', 'basquebol', 'baketball', 'baloncestistas', 'baloncesto de 3-en-3', 'baloncesto profesional', 'baloncestístico', 'basket', 'basket ball', 'basketbol', 'basquet', 'basquetball', 'basquetbolista', 'básketbol', 'básquet', 'básquetball', 'historia del baloncesto', 'aros', 'club baloncesto', 'club de baloncesto', 'juego de baloncesto', 'jugador de baloncesto estonia'];Deporte en que dos equipos de cinco jugadores tratan de meter una pelota a través del básquet.
activity;['bádminton', 'badminton', 'badmintonista', 'badmintonto', 'bádmintonto', 'jugadores de badminton', 'jugadores de bádminton'];Deporte de dos o cuatro jugadores disputado en un campo de superficie rectangular dividida en dos mitades por una red, sobre la cual, impulsado por una raqueta, se debe hacer pasar un volante (semiesfera de corcho sobre la que hay insertas plumas de ganso).
activity;['golf', 'campo de golf', 'campos de golf', 'foursome', 'foursomes', 'golfista', 'golf juego', 'torneo golf'];Juego jugado en un gran terreno abierto, cuyo objeto es golpear una bola usando palos, con el menor número de movimientos posible, en cada uno de los (generalmente] 18 agujeros.
activity;['juego de mesa', 'juego de tablero', 'juego de salon', 'juego de salón', 'juegos de tablero', 'juegos de mesa'];Juego que se juega con un tablero especialmente diseñado.
activity;['hockey sobre hielo', 'hockey', 'hockey hielo', 'ice hockey', 'joquey sobre hielo', 'jóquey sobre hielo', 'hokey hielo', 'hockey juego', 'hockey sobre hielo de las mujeres'];Forma de hockey que se juega sobre una pista de hielo con un disco en lugar de una pelota.
activity;['béisbol', 'beisbol', 'baseball', 'base ball', 'beisbolista', 'pelota base', 'pelotas y bats', 'juego de béisbol', 'jugadores béisbol'];Deporte con bate y pelota que se juega entre dos equipos usualmente de nueve jugadores cada uno.
activity;['ping-pong', 'tenis de mesa', 'pimpón', 'ping pong', 'pimpon', 'pingpong', 'tenimesista', 'tenista de mesa'];Deporte donde dos o cuatro jugadores utilizan raquetas para jugar con una bola plástica pequeña, ligera sobre una red montada sobre una mesa.
activity;['desobediencia civil', 'desobediencia civica', 'desobediencia cívica'];Violación deliberada, abierta y pacífica de leyes, decretos, regulaciones, órdenes militares o políticas particulares u otras directivas gubernamentales.
activity;['huelga', 'huelgas', 'paro laboral', 'derecho a la huelga', 'huelga clandestina', 'huelguista', 'huelguistas', 'paros laborales', 'acciones de huelga', 'conflicto laboral', 'derecho de huelga', 'huelga laboral', 'trabajo paro'];Paro colectivo de trabajo.
activity;['aguacero', 'chubasco', 'chaparrón', 'diluvio', 'torrente', 'gota fría', 'chaparrada', 'nubada', 'pelter', 'turbión', 'lluvia torrencial'];Lluvia muy abundante.
activity;['corriente en chorro', 'jet stream', 'corriente de aire'];Corrientes de aire, relativamente estrechas, que fluyen rápidamente, encontradas en la tropopausa, a 10-15 kilómetros por encima de la superficie de la Tierra.
activity;['automatización', 'mecanización', 'automatización industrial', 'robotización', 'automación', 'maquinización', 'automatizacion industrial', 'automatizacion', 'automatizar', 'automatica', 'ingenieria automatica', 'ingenieria automática', 'ingenieria de control', 'ingeniería automatica', 'ingeniería de control', 'mecanizacion', 'mecanizar', 'automatización de fábrica', 'automatizado', 'mecanizada'];Empleo de máquinas que necesitan poca o ninguna intervención humana, especialmente para reemplazar mano de obra.
activity;['batalla', 'lucha', 'conflicto', 'acción', 'combate', 'batallar', 'batallas', 'compromiso', 'escaramuzas'];Combate que ocurre durante un enfrentamiento militar entre dos o más partes en donde cada grupo intenta derrotar a los otros.
activity;['realidad virtual', 'virtualmente', 'entorno virtual', 'espacio virtual'];Tecnología basada en computación para simular aspectos sensoriales visuales, sonoros, etc. de ambientes complejos.
activity;['aikido', 'aikidō', 'aikidô', 'ikkyo', 'korindo aikido'];Arte marcial japonés desarrollado a partir del jujitsu, que hace uso de paradas y lances.
activity;['reserva', 'contratación', 'reservación'];Arreglo hecho por adelantado para tener algo en un momento determinado donde sólo un número limitado está disponible, como un asiento en un transporte, una mesa en un restaurante o una habitación en un hotel.
activity;['puesto', 'cargo', 'lugar', 'oficina', 'posición', 'empleo'];Trabajo en una organización.
activity;['litigio', 'pleito', 'litigación', 'caso legal', 'disputa legal', 'procedimiento judicial'];Controversia que se intenta resolver mediante una acción legal.
activity;['taekwondo', 'tae kwon do', 'dan', 'taekuondo', 'taekwon do', 'taikuondo', 'tkd', 'taekwon-do', 'tae kwondo', 'tae-kwon-do', 'tae kwon-do', 'taekwando'];Arte marcial originario de Corea.
activity;['taekwondo', 'tae kwon do', 'dan', 'taekuondo', 'taekwon do', 'taikuondo', 'tkd', 'taekwon-do', 'tae kwondo', 'tae-kwon-do', 'tae kwon-do', 'taekwando'];Rango de cinturón negro en artes marciales.
activity;['masa de aire', 'masa de aire continental', 'masa de aire marítimo', 'corriente de aire', 'la masa de aire'];Masa de aire húmedo que se origina sobre el océano.
activity;['masa de aire', 'masa de aire continental', 'masa de aire marítimo', 'corriente de aire', 'la masa de aire'];Masa de aire seco que se origina sobre una área de tierra grande.
activity;['masa de aire', 'masa de aire continental', 'masa de aire marítimo', 'corriente de aire', 'la masa de aire'];Cuerpo grande de aire que tiene características horizontales similares de temperatura y humedad.
activity;['contraofensiva'];Ataque de un ejército en contra de una fuerza enemiga atacante.
activity;['bancarrota', 'quiebra', 'quiebra fraudulenta', 'insolvencia definitiva', 'cheque sin fondos', 'insolvencia', 'juicio de quiebra', 'juicio de quiebras', 'rubber check', 'quiebras', 'bancarrota fraudulenta', 'concurso de acreedores fraudulento', 'no tiene', 'fraude de quiebra', 'quiebra involuntaria', 'quiebra voluntaria'];Inhabilidad declarada legalmente para que un individuo u organización pague a sus acreedores.
activity;['referéndum', 'referendo', 'referendum', 'plebiscito', 'consulta', 'referendos', 'referiendo', 'referéndum constitucional', 'referéndum vinculante', 'plebiscitos', 'referéndum consultivo', 'referéndum no vinculante'];Voto popular directo sobre un proyecto de ley o una enmienda constitucional.
activity;['cepillo', 'brocha', 'pincel', 'cepillo duro'];Instrumento con un mango, y una punta con cerdas flexibles, usado para pintar.
activity;['tarantela', 'tarantella', 'tarantelle'];Danza tradicional de Campania, Italia.
activity;['mirada', 'observación'];Mirada larga y fija.
activity;['broma', 'chiste', 'burla', 'vacilada', 'truco', 'bufonada', 'cuchufleta', 'payasada', 'ridículo', 'grotesco'];Algo dicho o hecho por diversión.
activity;['estratagema'];Maniobra en un juego o en una conversación.
activity;['palpación', 'palpacion', 'exploración táctil', 'palpar'];Revisión con el tacto en diversas partes de un cuerpo del paciente para determinar su condición médica como la normalidad de los órganos o la presencia o ausencia de tumores, hinchazón, tensión muscular, etc.
activity;['crucifixión', 'crucifixion', 'crucificado', 'crucificar'];Ejecución en una cruz.
activity;['administración', 'administración de empresas', 'gerencia', 'gestión', 'ciencias empresariales', 'disposición', 'regulación', 'gestión empresarial', 'organos administrativos', 'órgano administrativo', 'administracion de empresas', 'administrador de empresas', 'administracion', 'administracion organizacional', 'administracion privada', 'administraciones', 'administración organizacional', 'administración privada', 'administradores', 'administrativa', 'administrativo', 'ciencia de la administracion', 'ciencia de la administración', 'ciencias administrativas', 'ciencias de la administración', 'empresariales', 'gestion', 'gestion empresarial', 'management', 'planta administrativa', 'administrador'];Manejo o dirección de los asuntos de una oficina pública o privada, empresa u organización.
activity;['homeopatía', 'medicina homeopática', 'homeopatia', 'homeopatica', 'homeopatico', 'homeopaticos', 'homeopática', 'homeopático', 'homeopáticos', 'medicina homeopatica', 'homeópata', 'homeopata'];Sistema de tratamiento de enfermedades con pequeñas cantidades de sustancias que, en cantidades más grandes, producirían los síntomas observados.
activity;['encuentro', 'enfrentamiento', 'escaramuza', 'refriega', 'riña', 'roce', 'trifulca', 'zalagarda'];Combate de corta duración.
activity;['hipermedia', 'hipermedios', 'multimedia interactivos', 'sistema hipermedia', 'sistema multimedia interactivo'];Un medio de información generalmente no lineal producido por la combinación de gráficos, audio, video, textos e hipervínculos.
activity;['esponsales', 'compromiso', 'novia', 'noviazgo', 'compromiso matrimonial', 'desposorios', 'promesa', 'prometida', 'palabra de matrimonio', 'promesa de matrimonio', 'esponsal', 'esposa', '⚬', 'esposo', 'esposos', 'desposada', 'novio'];Promesa mutua de matrimonio.
