abstract-region;['tangkaran'];Wijil ngepingaké
socially-constructed-person;['juru mabur'];Wong sing nyambut gawé anggegana montor mabur
socially-constructed-person;['wright'];Jeneng pancer
socially-constructed-person;['wong belahan', 'warigaluh', 'nelayan'];Wong sing nyekel iwak lan kéwan liya saka pabanyon, utawa nglumpukaké kécé
socially-constructed-person;['doyen'];Jeneng pancer
spatial-feature;['gunung', 'pagunungan'];Palemahan kang gedhé dhuwur
spatial-feature;['gunung krakatau', 'krakatau'];Pulo ing Indonésia
taxonomic-collective;['subspesies', 'upaspesies'];tingkat taksonomi ing ngisor spesies
taxonomic-collective;['suket lulangan'];Jinis suket
taxonomic-collective;['charales'];kategori Wikimedia
temporal-region;['1 juli'];Tanggal
temporal-region;['1 januari'];Tanggal
temporal-region;['2 februari'];Tanggal
temporal-region;['1 november'];Tanggal
temporal-region;['natal', '25 desember', '25 dhésèmber'];Tanggal
temporal-region;['19 maret'];Tanggal
temporal-region;['14 april'];Tanggal
temporal-region;['24 oktober'];Tanggal
temporal-region;['12 oktober'];Tanggal
temporal-region;['4 juli'];Tanggal
temporal-region;['24 mei', '24 mèi'];Tanggal
temporal-region;['17 september'];Tanggal
temporal-region;['1 agustus'];Tanggal
temporal-region;['14 juni'];Tanggal
temporal-region;['29 juni'];Tanggal
temporal-region;['29 september'];Tanggal
temporal-region;['21 juni'];Tanggal
temporal-region;['1 mei', '1 mèi'];Tanggal
temporal-region;['2 maret'];Tanggal
temporal-region;['29 fèbruari', '29 februari'];Tanggal
temporal-region;['23 juni'];Tanggal
temporal-region;['mangsa semi'];Mangsa antara mangsa salju lan mangsa bentèr
temporal-region;['6 januari', 'épifani'];Tanggal
