abstract-quality;['kapribadèn', 'kapribadhen', 'kepribadian'];Kapribadèn ya iku unsur tindak tandhuk.
activity;['golf'];Golf iku dolanan njaban ruwang kang dimainké kanthi dhèwèkan utawa tim kang lomba nglebokaké bal menyang njero bolongan-bolongan kang ana ing lapangan kanthi gunggung thuthukan paling sithik.
activity;['kriket'];Kriket ya iku siji ulah raga tim kang ditindakaké antarané rong kelompok kang saben-saben kelompok ana sewelas wong.
activity;['bisbol'];Bisbol utawa kondhang kanthi jeneng baseball iku ulah raga kang dimainaké déning rong tim.
activity;['tènes', 'petènis', 'tenis'];Tènes utawa tènes lapangan iku ulah raga kang migunakaké rakèt lan bal, dimainaké ing lapangan kang dipara dadi loro nganggo jaring utawa nèt.
activity;['pingpong', 'ping pong'];Pingpong, utawa Tènis méja, ya iku salah sijiné cabang ulah raga rakèt kang dimainaké wong loro utawa rong pasang kang lelawanan lan migunakaké bal cilik ditamplèk ana ing sadhuwuré méja.
activity;['loncat indah'];Loncat Indah ya iku sawijining cabang ulah raga banyu.
activity;['taékwondho'];Taékwondho, inggih punika ulah raga béla dhiri saking Koréa ingkang ugi misuwur ing Indonésia.
activity;['referendum'];Referendum utawa sajeroning basa Indonésia: jajak penemu, iku pamungutan swara kanggo nggayuh kaputusan.
activity;['cumbana', 'ngentot'];Cumbana, utawa koitus utawa kopulas, prinsipe ya iku mlebu lan ndhorongé penis, lumrahé nalika lagi ereksi, menyang jero vagina kanggo pakematanl sèksual, reproduksi, utawa loro-loroné.
activity;['pacaran'];Pacaran wong loro lanang wadon dudu sanak dudu sing nglakoni saka lamaran sing disebut nembak.Kadang wong pacaran mlaku-mlaku bareng, terus rembugan ngiket janji kepéngin urip bebrayan, punika sing dipunarani pacaran.
activity;['pilihan umum', 'pamilihan umum', 'pemilu'];Pilihan umum iku prosès pamilihan kanggo ngisi kalungguhan-kalungguhan pulitik tinamtu.
activity;['cacah sirah', 'cacah jiwa', 'sènsus', 'sensus', 'sènsus pedunung'];Cacah sirah utawa sènsus ya iku lelakon nglumpukaké katerangan ngenani warganing cacah jiwa sarana paétung.
activity;['touchdown'];Sajeroning ulah raga bal-balan Amérika lan Kanada, touchdown iku salah sawijining srana kanggo olèh wiji sekor.
activity;['sinétron', 'sinetron'];Sinétron iku tetembungan utawa istilah ing babagan drama, sandhiwara kang sinambung lan disiaraké déning stasiun télévisi.
activity;['peperangan jaman napoleon', 'paprangan jaman napoleon'];Paprangan Jaman Napoleon ya iku kumpulan paprangan kang kadadéan suwéné Napoleon Bonaparte mréntah Prancis taun 1799 nganti taun 1815.
activity;['konsekrasi'];Konsekrasi ya iku tembung kang minangka nuduhaké siji kang dikudusake utawa dikhususake kanggo siji maksud.
activity;['ngemis'];Ngemis iku sawijining tumindak utawa pagawéan sing dilakoni déning wong sing mbutuhaké dhuwit utawa panganan kanthi njaluk-njaluk marang wong liya.
activity;['judo'];Judo inggih punika seni bela dhiri, ulah raga, lan filosofi ingkang asalipun saking filosofi Jepang.
activity;['senam'];Senam ya iku kalebu sajeroning cabang ulah raga kang nganggo grakan mbutuhake tenaga,lan bisa selaras antarané obahan fisik sing teratur.
activity;['kudhéta', 'kudeta'];Kudhéta, iku "panggulingan kakuwasan" utawa "rampas kakuwasan" kanthi peksa, déning golongan tinamtu sajeroning siji nagara.
activity;['hidroponik'];Hidroponik asalé saka tembung Yunani ya iku hydro kang tegesé banyu lan ponos kang tegesé daya utawa kerja.
activity;['balèt', 'balet', 'ballet'];Balèt ya iku salah sawijining tèknik jogèd.
activity;['rangkul'];Rangkulan minangka salah sawijining wujud rasa katresnan, universal ing komunitas manungsa, ing endi ana loro utawa luwih wong sing genggeman ing gulu, punggung, utawa pinggul lan saling nyekel.
activity;['perang korea'];Cithakan:Sajarah Koréa Perang Koréa, saka 25 Juni 1950 nganti 27 Juli 1953, iku konflik antarané Koréa Lor lan Koréa Kidul.
activity;['perang donya ii'];Perang Donya II iku konflik paprangan gedhé dhéwé sing tau ana ing Bumi.
activity;['perang donya i', 'perang ndonya i', 'perang donya pisanan'];Perang Donya I, uga dikenal minangka Perang Donya Pisanan lan Perang gedhé, iku siji perang global sing kadadéan mligi ing Éropah wiwit saka 28 juli 1914 nganti 11 November 1918.
activity;['perang krim'];Perang Krim utawa Perang Krimea iku peperangan kang dumadi antarané kakaisaran Rusia nglawan sekuthu kang kapérang saka Prancis, Britania Raya, Krajan Sardinia, lan Kasultanan Utsmaniyah.
activity;['perang lempongan', 'perang teluk ii', 'perang teluk'];Perang Lempongan utawi Perang Lempongan Pèrsi inggih punika konflik antawis Iraq lan Pasukan koalisi saking 35 nagari ingkang dipunidinaken déning PBB lan dipunpimpin mliginipun déning Amérikah Sarékat kanggé mbébasaken Kuwait.
activity;['pandhidhikan', 'pendhidhikan', 'pedhidhikan', 'pendidikan'];Pandhidhikan ya iku prosès kanggo peserta didik metu saka kaanan kang durung swatantra, durung diwasa, dèrèng mardika tumuju kaanan kang luwih swatantra, luwih diwasa, tanggung jawab lan berbudaya.
activity;['hubungan internasional'];Hubungan Internasional, utawa kerep dicekak HI, iku cawang saka èlmu pulitik, wujud studi bab persoalan-persoalan manca nagara lan isu-isu global antarané nagara-nagara sajeroning sistem internasional, kalebu peran nagara-nagara, organisasi-organisasi antar pamaréntah, organisasi-organisasi non pamaréntah utawa lembaga swadaya masarakat, lan perusahaan-perusahaan multinasional.
activity;['tabungan'];Tabungan ya iku produk perbankan sing ditawakaké marang masyarakat kanggo nyimpen dhuwit.
activity;['olahraga', 'ulah raga', 'olah raga'];Ulah raga iku miguna kanggo ngelatih raga manungsa, uga lan rohani contoné dolanan sekak.
activity;['perang 9 taun', 'perang sangang taun'];Perang 9 Taun – asring dipunsebut minangka Perang Aliansi Agung, Perang Suksesi Palatine, utawi Perang Liga Augsburg inggih punika perang ageng wonten ing pungkasaning abad kaping 17 antawising Raja Louis XIV saka Perancis nglawan Aliansi Agung ingkang dipunpimpin déning Stadtholder Walanda lan Raja Inggris William III, Kaisar Romawi Suci Leopold I, Raja Charles II saka Spanyol, Victor Amadeus II saka Savoy, lan pangéran-pangéran ageng lan alit saking Kamaharajan Romawi Suci.
activity;['hobi'];Hobi utawa kesenengan iku kabèh kang disenengi masing-masing manungsa kang racaké dudu pagawéan utama/pokok ning pagawéan sambilan.
activity;['kasti'];Kasti iku dolanan tradhisional kanggo bocah cilik mèmper karo dolanan utawa ulah raga bisbol.
activity;['sesorah', 'pidato', 'pidhato'];Sesorah utawa pidhato utawa tanggap wacana ya iku njlèntrèhaké idhe utawa pokok pikiran kanthi wujud tembung- tembung kang diucapaké marang wong akèh.
activity;['profèsi', 'profesi'];Profesi iku pagawéan kang mbutuhaké pelatihan lan kaprigelan ing siji ngèlmu tartamtu.
activity;['bilyar'];Biliar ya iku salah siji cabang ulah raga kang klebu ana ing kategori cabang ulah raga konsèntrasi.
activity;['domino'];Domino iku jinis dolanan kopik generik.
activity;['perang salib', 'perangsalib'];Perang Salib inggih punika satunggalipun obahan umat Kristen ing Éropah ingkang merangi umat Muslim ing Palestina ingkang dipunambali saking abad kaping 11 ngantos abad kaping 13, kanthi tujuan ngrebut Wewengkon Suci saki kakuaosanipun tiyang Muslim lan damel gréja lan karajan Latin ing Wétan.
activity;['boling'];Boling, iku sawijining ulah raga utawa dolanan kang dimainaké kanthi cara ngglindhingaké bal nganggo tangan.
activity;['pamiyara'];Pamiyara iku cabang saka tetanèn sing ngurusi sato kéwan sing diopèni kanggo daging, wilu, susu, endhog utawa produk liyané.
activity;['wajib militèr'];Wajib militèr utawa kerep dicekak wamil iku kawajiban kanggo siji warga nagara kang umuré anom, racaké antara 18-27 taun kanggo nyandhang sanjata lan dadi prajurit.
activity;['tahanan omah'];Tahanan omah sajeroning keadilan lan hukum, iku sawijining jinis ukuman déning pihak sing duwé wewenang, kanthi mbatesi ruang gerak mung sajeroning lingkup papan padunungané.
activity;['tenun'];Tenun iku tèhnik tradhisional ngrakit benang supaya dadi kain.
activity;['sesorah', 'pidato', 'pidhato'];Sesorah utawa pidhato utawa tanggap wacana ya iku njlèntrèhaké idhe utawa pokok pikiran kanthi wujud tembung- tembung kang diucapaké marang wong akèh.
activity;['rasisme'];Rasisme iku siji sistem kapercayan utawa dhoktrin kang nélakaké yèn prabédan biologis kang ana ing ras manungsa nemtokaké pencapaian budaya utawa individu – yèn siji ras tinentu luwih superior lan duwé hak kanggo ngatur kang liyané.
activity;['pendhidhikan dhuwur', 'pawiyatan luhur', 'pendhidhikan tinggi'];Pendidikan dhuwur utawa Pawiyatan luhur iku jenjang pendhidhikan sawisé pendhidhikan menengah.
activity;['perang yom kippur', 'perang oktober', 'perang ramadhan'];Perang Yom Kippur utawi Perang Ramelan utawi Perang Oktober, ugi misuwur minangka Perang Arab-Israèl 1973 lan Perang Arab-Israèl Kaping Sekawan, wiwit tanggal 6 Oktober ngantos 26 Oktober 1973, antawis Israèl lan koalisi nagari-nagari Arab ingkang dipunpandhégani déning Mesir lan Suriah.
activity;['angkat wesi'];Angkat wesi iku ulah raga ngangkat beban abot sing diarani barbel.
activity;['tinju'];Cithakan:Infobox ulah raga Tinju ya iku salah siji cabang ulah raga lan seni béla dhiri kang nampilaké wong loro kang duwé bobot padha kang tanding nganggo sarung tinju lan ana ing interval wektu tartamtu kang dijenengi rondhé.
activity;['maglev'];MagLev iku tembung cekakan saka Magnètically LEVitated trains sing tegesé sepur sing ngambang kanthi magnètis.
activity;['kb'];KB utawa Keluarga Berencana iku salah siji usaha kanggo ngukur jumlah anak lan jarak laire anak.
activity;['ratifikasi'];Ratifikasi iku prosès adopsi perjanjian internasional, utawa konstitusi utawa dhokumèn sing asipat nasional liyané liwat pasetujon saka saben èntitas ing jeroné.
activity;['sinar-x'];Sinar-X utawa sinar Röntgen iku wangun radhiasi elektromagnetik kanthi dawa gelombang watara 10 nanometer nganti 100 picometer.
activity;['taksonomi', 'takson', 'sistem taksonomi'];Taksonomi, saka tembung
activity;['salju', 'hima'];Hima ya iku banyu udan kang tiba saka mega lan wis njendhel dadi padhet déning hawa kang adhem.
activity;['snorkeling'];Snorkeling ya iku selam lumah utawa ngambang ing banyu nganggo piranti snorkel lan kaki katak supaya gampang anggoné nglangi.
activity;['irigasi'];Irigasi ya iku siji upaya sing diayahi manungsa kanggo mbanyoni lahan tetanèn.
activity;['dasadharma'];Dasadharma pramuka kirang langkung suraosipun makaten: Piadtos dhumateng Gusti Ingkang Mahatunggal.
activity;['invèstasi'];Invèstasi iku istilah kanthi sapérangan pangertèn kang gegandhèngan karo kauangan lan ékonomi.
activity;['indhustri'];Indhustri iku babagan panguripan sing migunakaké ketrampilan lan katekunan kerja lan panggunaan piranti-piranti ing babagan pangolahan asil-asil bumi lan dhistribusiné minangka dhasaré.
activity;['parkir'];Parkir ya iku kaanan ora obah salah sawijining kendaraan sing sifaté sedéla, amarga ditinggal déning sopiré.
activity;['totohan', 'judhi', 'ngabotohan'];Totohan, ngabotohan, utawi judhi iku ngetohi dhuwit utawa samubarang sing duwé aji ing acara sing ora mesthi pametuné kanthi pangangkah bisa menangaké dhuwit utawa barang.
activity;['nembang'];Nembang ya iku
activity;['fotografi'];Fotografi ya iku seni lan asiling gambar lan cahya ing filem..
activity;['isah-isah', 'korah-korah'];Isah-isah utawa korah-korah iku tumandang gawé ngresiki piring, gelas lan piranti masak utawa piranti mangan liyané.
activity;['adus', 'siram'];Adus iku aktivitas ngresiki awak nganggo banyu.
activity;['singsot'];Singsot kuwi polah menungsa sing ngetokaké swara tinentu nganggo lambé.
activity;['desain'];Desain ya iku rancangan utawa pamilihan arasemen saka dhasar pokok karya seni.Disain ing para seniman dianggo patokan ing ngawe karya gambar utawa karya lukis sajeroning nyampur warna lan piranti utawa konsèp kang kadung ing babagané.Disain uga duwé biji utawa kagiyatan kanggo nata unsur-unsur karya seni kang merlukake azaz.
activity;['pangukuran'];Pangukuran minangka jumlah numerik saka atribut obyek utawa acara, sing bisa digunakake kanggo mbandhingake karo obyek utawa prastawa liyane.
activity;['pangepungan'];Sawijining pangepungan iku blokade militèr marang siji kutha utawa bètèng kanthi tujuan ngrebut kutha/bètèng mau, mawa kekuwatan langsung, utawa kanthi nimbulaké karugèn gedhé marang mungsuh.
activity;['komunikasi', 'sambung rembug'];Komunikasi iku prosès sistematik ijol-ijolan informasi ing antarané kang sesambungan liwat simbol utawa pralambang.
activity;['tèknik otomotif', 'teknik otomotif'];Tèknik otomotif punika èlmu ingkang nyinaoni sadaya ingkang wonten gandhènganipun kaliyan kendaraan, langkung utami montor kaliyan pit motor.
activity;['bisnis'];Sajeroning ngèlmu ékonomi, bisnis iku sawijining organisasi kang adol barang utawa jasa marang konsumèn utawa bisnis liyané, supaya antuk bathi.
activity;['angkudan dalan'];Angutan Dalan iku tetumpakan sing diidinaké migunakaké dalan, miturut "Peraturan Pamaréntah Nomer 44 Taun 1993 bab Kendaraan dan Pengemudi" disebutaké: Sepédah Montor yakuwi tetumpakan mawa motor nganggo rodha 2, utawa 3 tanpa omah-omahan, nganggo utawa ora nganggo kréta sisih.
activity;['akulturasi'];Akulturasi ya iku istilah èlmu sajarah kabudayan kang tumuju lan ngandut arti ing campuran antara loro kabudayan utawa luwih, kang padha tinemu lan duwé biji kang ditandani déning billingualitas.Ing sajeroning kabudayan kang lebur ana telu prosès kang dumadi ing kaanan ya iku konfrontasi,asimilasi lan adhaptasi.Alkulturasi uga bisa digolongake dadi prosès sosial kang nimbulake manungsa bebauran ing kabudayan kang ana ing lingkungan saubengé lan dipadukake kabudayan manca.
activity;['téater', 'teater'];1.
activity;['pariwisata'];Pariwisata, utawa uga sok-sokan diarani Turisme, iku aktivitas rékréasi manungsa karo dolan ing papan liya.
activity;['misa'];Misa iku prayaan ekaristi sajeroning ritus liturgi Kulon saka Gréja Katulik Roma, tradhisi Anglo-Katulik sajeroning Gréja Anglikan, lan sawatara Gréja Lutheran.
activity;['révolusi rusia'];Révolusi Rusia 1917 iku obahan pulitik ing Rusia sing muncak ing taun 1917 kanthi prastawa panggulingan pamaréntahan propinsi sing wis ngganti sistem Tsar Rusia, lan tumuju marang madegé Uni Soviet.
activity;['kagunan', 'seni', 'kesenian'];Kagunan iku pérangan kabudayan kang ana gayutané karo wujud rasa apik utawa éndah.
activity;['kotbah ing bukit'];Khotbah ing bukit iku kumpulan wejangan lan kawicaksanan saka Gusti Yesus.
activity;['bas'];Bass atau Bas ya iku salah sijiné jinis swara kang dinduwèni penyanyi lanang, kang bisa nduwèni kamahiran saka nada E 2 sampai E4.
activity;['animasi', 'film animasi'];Animasi, utawa luwih akrab ingaran filem animasi, iku filem minangka asil pangolahan gambar tangan saéngga dadi gambar sing obah.
activity;['kartografi'];Kartografi ya iku studi lan praktik gawé peta utawa globe.
activity;['cuaca'];Cuaca iku nuduhaké apa kang kadadéan ing langit.
activity;['orgasme'];Orgasme ya iku uculing kabagyan sèksual sing katumpuk sing ujug-ujug nalika siklus réspon sèksual, sing ngasilaké ing kontraksi otot sing ritmis ing panggul sing dadi ciri khas kanggo kepénaking sèks.
activity;['indhustri'];Indhustri iku babagan panguripan sing migunakaké ketrampilan lan katekunan kerja lan panggunaan piranti-piranti ing babagan pangolahan asil-asil bumi lan dhistribusiné minangka dhasaré.
activity;['révolusi', 'revolusi'];Révolusi iku pangowah-owahan babagan tata kaprajan utawa pulitik kang ditindhakaké mawa kasulayan.
activity;['dhaptar perdhana mentri britania raya', 'mahamantri karajan manunggal', 'daftar perdhana mentri britania raya', 'daftar perdhana mentri inggris', 'perdhana mentri britania raya', 'perdhana mentri inggris'];Ing Britania Raya, mahamantri iku kepala pamaréntahan, kang nglakokaké akèh fungsi èksekutif kang dikukuhaké déning Baginda, kang wujud kepala nagara.
activity;['mardi gras'];Mardi Gras iku pista karnaval kanggo nyambut mangsa pra-paskah sing diriyayakaké umat Kristen.
activity;['tèh', 'teh'];Tèh, iku ombénan tein.
activity;['pandhidhikan', 'pendhidhikan', 'pedhidhikan', 'pendidikan'];Pandhidhikan ya iku prosès kanggo peserta didik metu saka kaanan kang durung swatantra, durung diwasa, dèrèng mardika tumuju kaanan kang luwih swatantra, luwih diwasa, tanggung jawab lan berbudaya.
activity;['jurnalistik'];Jurnalistik utawa jurnalisme ing basa Indonésia mau "kewartawanan", ya iku cathetan bab kadadéan sadina-dina, uga bisa diarani ariwarta.
activity;['revolusi prancis'];Révolusi Prancis iku mangsa sajeroning sajarah Prancis antara taun 1789 lan 1799 nalika para dhémokrat lan pendhukung républikanisme njatuhaké monarki absolut ing Prancis lan meksa Gréja Katulik Roma ngayahi réstrukturisasi sing radikal.
activity;['perang révolusi amérika', 'révolusi amérika'];Perang Révolusi Amérika —uga dikenal minangka Perang Kamardikan Amérika—iku sawijining perang sing kadadéan antara Britania Raya lan para pendhukung révolusi saka 13 koloni Britania ing Amérika Lor.
activity;['gulat'];Gulat iku salah sijiné cabang ulah raga kanthi adu fisik wantara pagulat siji lan liyané, sajeroning pamainan pagulat diwajibake mbanting utawa nibakake lan bisa ngelawan musuh mainé.
activity;['balap jaran'];Balap jaran utawa misuwur kanthi jeneng pacuan jaran ing Basa Indonésia ya iku ulah raga kang migunakaké jaran kanthi asal usul wiwit jaman kuna.
activity;['nyepédhah', 'balap sepédah'];Nyepédhah utawa ngepit, iku kagiyatan rékréasi utawa ulah raga, uga dadi salah sijiné sarana transportasi dharat kang migunakaké sepédhah.
activity;['layang'];Layang iku lumrahé wujud dluwang sing tinulisan dikirimaké minangka gantiné rerembugan.
activity;['telik sandhi'];Telik sandhi, ya iku tumindak ngumpulake informasi kang dianggep rahasia magayutan sawijining organisasi tanpa idin kang sah saka kang nduweni informasi mau.
activity;['paprangan gallipoli', 'peperangan gallipoli'];Kampanye Gallipoli iku paprangan sing kedadéyan ing Gallipoli wiwit April 1915 nganti Desember 1915 jroning Perang Donya I. Operasi gabungan Britania Raya lan Prancis dilaksanakaké kanggo ngrebut kutha krajan Kasultanan Utsmaniyah, Istanbul lan nyedyakaké rute segara sing aman kanggo dedagangan militèr lan agrikultur karo Rusia.
activity;['senjata biologi'];Senjata biologi ya iku senjata kang nggunakaké patogen minangka piranti kanggo matèni, natuni utawa nglumpuhake musuh.
activity;['kemoterapi'];ya iku terapi kanggo penyakit kanker.
activity;['perang'];Perang punika satunggiling kawontenan kakerasan ingkang ngombro ombro, konflik skala wiyar antawis kalih kelompok utawi langkung.
activity;['isah-isah', 'korah-korah'];Isah-isah utawa korah-korah iku tumandang gawé ngresiki piring, gelas lan piranti masak utawa piranti mangan liyané.
activity;['perang sadulur amérika', 'perang sadulur amerika', 'perang sedulur amérika'];Perang Sadulur Amérika ya iku perang sadulur ing Amérikah Sarékat saka taun 1861 nganti 1865.
activity;['purwakanthi', 'aliterasi'];Purwakanthi utawa puisi ya iku tembang utawa ukara kang ora nggenah basané utawa kalimaté.
activity;['positron emisi tomografi'];Positron emisi tomografi asring dicekak dadi iku tèknik pancitraan sajeroning èlmu kadhokteran nuklir kang bisa ngasilaké gambar telung dhimènsi saka prosès fungsional sajeroning awak manungsa.
activity;['perang rusia-jepang'];Perang Rusia-Jepang iku konflik sing banget ngemu getih sing tuwuh saka saingan antarané ambisi imperialis Rusia lan Jepang ing Manchuria lan Koréa.
activity;['perang balkan'];Perang Balkan iku loro prastawa perang sing kadadéyan ing Éropah kidul-wétan taun 1912–1913 antara Liga Balkan nglawan Kasultanan Utsmaniyah.
activity;['udan', 'jawah'];Udan iku wangun presipitasi kang awujud cuwèran.
agentive-figure;['pahlawan', 'wira'];Wira ya iku wong utawa karakter pokok ing karya sastra kang ngadhepi lan mradhahi bebaya sarana kapinteran, kakendelan, utawa kakuwatan.
agentive-figure;['kentaur', 'kenatur'];Cithakan:Infobox makluk legenda Ana ing mitologi Yunani, kentaur utawa Sentaur utawa Hippokentaur ya iku makluk kang wujudé wujud setengah manungsa lan setengah jaran.
agentive-figure;['sisifos'];Wonten ing mitologi Yunani, Sisifos inggih punika laré saking Aiolos lan Enarete.
agentive-figure;['asu neraka'];Asu neraka utawa Hellhound minangka jinis asu ghaib sing ana ing crita rakyat.
agentive-figure;['minotaurus', 'minotaur'];Ing mitologi Yunani, Minotaur iku makluk sing duwé sirah banthèng nanging awaké manungsa utawa digambaraké déning pujangga Roman Ovid, "setengah wong setengah banthèng".
agentive-figure;['pegasus'];Pegasus inggih punika satunggaling turangga lanang ingkang gadhah swiwi lan kalebet putra saking Poseidon lan Medusa wonten ing mitologi Yunani.
agentive-figure;['hidra'];Hidra punika satunggaling Drakon wonten ing mitologi Yunani.
agentive-figure;['helene'];Helene utawi ingkang langkung kawéntar kanthi nama Helene saking Troya lan Helene saking Sparta punika satunggaling tokoh wanita ingkang kondhang ing mitologi Yunani.
agentive-figure;['troll'];Troll iku makluk buas sajenis raseksa jroning carita-carita rakyat Skandinavia.
agentive-figure;['benelux'];Benelux ya iku jenengé siji uni ékonomi ing telung nagara monarkis ya iku nagara Walanda, Bèlgia, lan Luksemburg.
agentive-figure;['bank'];Bang ya iku panggonan kang resmi kanggo nyimpen dhuwit.
agentive-figure;['pengelola investasi global'];Pengelola investasi global utawi kanthi umum langkung dipuntepang kaliyan istilah Hedge fund inggih punika merupakan kontrak investasi kolektif privat ingkang dipunkenakakén biaya imbal jasa berbasis kinerja lan limrahipun dipuntawarakén kanthi winates dhateng investor kelas inggil.
agentive-figure;['gréja', 'gereja', 'greja'];Gréja saking basa Portugis igreja ingkang dipunpendhet saking basa Griki ekklesia. "jemuwah", punika griya ngibadahipun tiyang Kristen.
agentive-figure;['organisasi'];Organisasi ya iku golongan wong ing siji wadhah kang duwé ancas padha..
agentive-figure;['paul bunyan'];Paul Bunyan ya iku sawijining tokoh fiksi carita rakyat Amérika.
agentive-figure;['kantor pos'];Kantor pos ya iku panggonan kanggo ngirimaké layang lan paket pos.
agentive-figure;['mahayana', 'buddha mahayana'];Mahayana iku siji saka loro aliran utama Agama Buda lan minangka istilah pambagéan filosofi lan ajaran Sang Buda.
agentive-figure;['peleton'];Peleton iku ékan militèr kang dmadi saka 30 nganti 50 personil, lan racaké dibawahi personil militèr kanthi pangkat letnan.
agentive-figure;['aias'];Aias inggih punika satunggaling pahlawan wonten ing mitologi Yunani.
agentive-figure;['dewan perwalian pbb'];Déwan Perwalian PBB iku siji sistem perwalian internasional kang wis diadegaké déning anggota PBB kanggo ngatur pamaréntahan laladan-dhaéerah kang didèlèh ing sangisoré pangawasan PBB ngliwati pasetujon-pasetujon perwalian individual.
agentive-figure;['dhéwan ékonomi lan sosial pbb', 'dewan ekonomi dan sosial pbb', 'dewan ekonomi lan sosial pbb', 'dewan ékonomi lan sosial pbb'];Dewan Ékonomi lan Sosial Perserikatan Bangsa-Bangsa tugasé mbantu Sidang Umum PBB sajeroning upaya ngundhakaké kerjasama lan pangyasa ékonomi lan sosial international.
agentive-figure;['negara', 'nagara', 'negara nduwèni kadhaulatan'];Nagara iku wewengkon ing bumi kang kakuwasan pulitik, militèr, ékonomi, sosial lan budayané ditata déning pamaréntahan kang nan ing wewengkon mau.
agentive-figure;['taman kanak-kanak'];Taman kanak-kanak utawa dicekak TK iku jenjang pendhidhikan anak usia dhini sajeroning wangun pendhidhikan formal.
agentive-figure;['kréta luncur'];Roller coaster minangka salah sawijining jinis hiburan sing nggunakake bentuk trek sepur kanthi dhuwur sing dirancang kanthi puteran sing ketat, lereng tajem, lan kadang-kadang inversi.
agentive-figure;['sekolah menengah pertama', 'pendhidhikan menengah'];Pendhidhikan menengah iku jenjang pendhidhikan lanjutan saka pendhidhikan dhasar.
agentive-figure;['sekolah menengah pertama', 'pendhidhikan menengah'];Sekolah menengah pertama, iku jenjang pendidikan dhasar sajeroning pendidikan formal ing Indonésia sawisé lulus Sekolah dhasar.
