abstract-region;['soma', 'montante', 'total', 'importe', 'importância', 'quantia', 'quantitativo', 'número', 'totalizar'];O resultado da adição de duas ou mais quantidades.
activity;['troca', 'escambo', 'permuta', 'comércio', 'comutação', 'conversão', 'câmbio', 'escâmbio', 'intercâmbio', 'mudança', 'permutação', 'troco', 'troca directa', 'troca direta', 'economia de escambo', 'o comércio de permuta', 'permutar', 'swap', 'trocar'];Ato ou negócio de comprar ou vender por dinheiro. Negócios mercantis ou comerciais em geral ou a compra, venda ou intercâmbio de ações dentro de um país ou entre países.
activity;['cruzada', 'cruzada da fé', 'as cruzadas', 'cruzadas', 'cruzados', 'invasões francas', 'tomar a cruz', 'batalhas das cruzadas'];Expedição medieval dos cristãos da Europa na Idade Média com o objectivo de reconquistar o Santo Sepulcro em Jerusalém.
activity;['diagnóstico', 'diagnose'];Resultado da identificação da natureza e causa de algo.
activity;['reificação', 'coisificação', 'hipostatização', 'hypostatisation'];Consideração de uma coisa abstrata como se ela fosse concreta ou material.
activity;['certificação', 'certificado', 'certificações', 'certificacao', 'certificação profissional', 'certificar'];Procedimento em que uma terceira Parte certifica por escrito que um produto, processo ou serviço está em conformidade com os requisitos especificados.
activity;['acreditação', 'credenciada', 'não credenciada'];Procedimento em que o órgão competente reconhece oficialmente que uma entidade ou pessoa tem competência para executar determinadas tarefas.
activity;['escolha', 'seleção', 'eleição', 'opção', 'selecção', 'escolhas'];Uma decisão ou preferência em particular dado um leque de hipóteses. o resultado de uma decisão que uma pessoa fez ou está para fazer.
activity;['escolha', 'seleção', 'eleição', 'opção', 'selecção', 'escolhas'];Uma oportunidade de seleccionar de uma colecção de opções ou alternativas.
activity;['enumeração', 'lista', 'conta', 'contagem', 'listagem', 'número', 'rol', 'relação', 'contar', 'contando', 'numeração', 'sistema de numeração'];O resultado de um cálculo que revela o número de itens num conjunto.
activity;['penteação', 'pente', 'penteacao', 'pentear'];Instrumento provido de dentes que serve para cuidar do cabelo.
activity;['eleição', 'escolha'];Acto de selecção de algo ou alguém.
activity;['exercício', 'exercício físico', 'atividade física', 'treino', 'adestramento', 'treinamento', 'actividade física', 'atividade física desportiva', 'atividades físicas', 'exercícios físicos', 'treino físico', 'exercício fisico', 'esforço físico', 'exercícios', 'trabalhar fora', 'treinamento físico'];Qualquer actividade concebida para desenvolver ou refinar uma habilidade ou destreza.
activity;['julgamento', 'sentença', 'juízo', 'acórdão', 'decisão judicial', 'opinião judicial'];Decisão oficial e autêntica de uma corte de justiça sobre os direitos respectivos e reivindicações das partes de uma ação ou processo nela litigada e submetida à sua determinação. A decisão final do tribunal resolve a disputa e determina os direitos e obrigações das partes. A palavra final da lei em uma controvérsia judicial, sendo esta a determinação final por um tribunal quanto aos direitos das partes sobre matérias a ela submetidas em uma ação ou processo.
activity;['baixo', 'base', 'bass', 'baixos', 'baixo de voz', 'basso', 'basso buffo', 'cantor baixo'];O fundo ou parte mais baixa.
activity;['tempo', 'clima', 'estado atmosférico', 'fenómeno climático', 'fenômeno climático', 'fenômenos climáticos', 'tempo atmosférico', 'tempo climático', 'tempo meteorológico', 'condições meteorológicas', 'fenómenos meteorológicos', 'vento', 'condição atmosférica', 'condição de tempo', 'condições climáticas'];As condições meteorológicas do dia, nomeadamente temperatura, nebulosidade e precipitação, que afectam um determinado local.
activity;['orgasmo', 'clímax', 'gozada', 'orgasmo feminino', 'orgasmos', 'clímax sexual', 'gratificação sexual'];Momento de maior intensidade de sensações e prazer durante a actividade sexual.
activity;['emprego', 'trabalho', 'ocupação', 'ofício', 'biscate'];Atividade produtiva, serviço, comércio ou artesanato para a qual se é geralmente pago.
activity;['contabilidade', 'ciências contábeis', 'contabilidade atuarial', 'contabilista', 'contadora', 'contadores', 'contábil', 'guarda-livros', 'plano de contas', 'técnico de contabilidade', 'técnico em contabilidade', 'técnicos de contabilidade'];Método de registrar todas as transações relativas à condição financeira de um negócio ou organização.
activity;['atuação', 'representação', 'interpretação', 'actuação', 'playacting', 'realizar'];Arte de representar um personagem, em um filme ou peça de teatro.
activity;['ocupação', 'trabalho', 'emprego', 'day job', 'ofício', 'negócio', 'serviço', 'negócios', 'ramo', 'função', 'lugar', 'profissão', 'linha de trabalho', 'vaga'];Atividade produtiva, serviço, comércio ou artesanato para a qual se é geralmente pago.
activity;['ofício', 'profissão', 'artesanato', 'arte', 'artes e ofícios', 'trabalho manual', 'comércio', 'crafting'];Ocupação ou ofício que exige destreza manual e habilidade em arte.
activity;['ofício', 'profissão', 'artesanato', 'arte', 'artes e ofícios', 'trabalho manual', 'comércio', 'crafting'];Exercício habilidoso de uma ocupação prática.
activity;['guerra', 'campanhas militares', 'conflito armado', 'guerras', 'conflito bélico', 'conflito militar', 'conflitos armados'];Conflito ou estado de hostilidade entre duas ou mais partes, nações ou estados, no qual as forças armadas ou operações militares são utilizadas.
agentive-figure;['unesco', 'organização das nações unidas para a educação, a ciência e a cultura', 'organização das nações unidas para a educação', 'united nations educational, scientific and cultural organization', 'organização das nações unidas para a educação, ciência e cultura', 'ciência e cultura', 'organização das nações unidas para a educação ciência e cultura'];Organização das Nações Unidas pela Educação, Ciência e Cultura.
agentive-figure;['união europeia', 'comunidade económica europeia', 'ue', 'cee', 'comunidade europeia', 'união européia', 'comunidade européia', 'mercado comum europeu', '🇪🇺', 'comunidade economica europeia', 'comunidade económica européia', 'comunidade econômica europeia', 'comunidade econômica européia', 'desporto da união europeia', 'lista de países da união européia', 'mce', 'uniao europeia', 'união europeia - objetivos', 'mercado comum', 'ce', 'e.u'];As 27 nações (Áustria, Bélgica, Bulgária, Chipre, República Tcheca (República Checa, Chéquia, Tchéquia), Dinamarca, Estônia, Finlândia, França, Alemanha, Grécia, Hungria, Irlanda, Itália, Letônia (Letónia), Luxemburgo, Malta, Países Baixos, Polônia, Portugal, Romênia, Eslováquia, Eslovênia, Espanha, Suécia e o Reino Unido) que se uniram para formar uma comunidade econômica com aspirações comuns monetárias, políticas e sociais.
agentive-figure;['quarteto', 'quarteto de jazz', 'quarteto vocal', 'quartetos'];Peça de música escrita para quatro músicos.
agentive-figure;['fé', 'religião', 'crença religiosa', 'crente', 'confissão', 'credo', 'crença', 'culto', 'doutrina', 'rito', 'seita', 'crente religioso', 'ensino inter-religioso', 'fervoroso', 'fés', 'profissão de fé', 'religiosa', 'religiosas', 'religioso', 'religiosos', 'religiões', 'crenças religiosas', 'fé religiosa', 'tradição religiosa'];Expressão da crença do homem em reverência a um poder sobre-humano reconhecido como criador e governador do universo.
agentive-figure;['polícia', 'guarda', 'policial', 'força policial', 'policia', 'polícias', 'tira', 'state police', 'policiamento', 'forças da ordem', 'pessoal', 'da polícia armada', 'departamento de polícia', 'departamentos de polícia', 'forças policiais', 'proteção policial'];Ramificação do governo encarregada da preservação da ordem pública, da promoção da segurança e saúde públicas, e a prevenção, detecção e punição de crimes.
agentive-physical-object;['esquilo', 'serelepe', 'acutipuru', 'callosciurinae', 'catiaipé', 'caxinxe', 'quatimirim', 'ratufinae', 'sciuridae', 'sciurinae', 'xerinae', 'esquilos'];Roedor de tamanho pequeno ou médio da família Sciuridae.
agentive-physical-object;['cão', 'cachorro', 'canis familiaris', 'canis lupus familiaris', 'cães', 'cão doméstico', 'cachorra', 'cadela', 'cachorro doméstico', 'cachorros', 'canis-lupus-familiaris', 'dia do cão', 'familiaris', 'lupus familiaris'];Animal comum de quatro patas, especialmente mantido por pessoas como animal de estimação ou para caçar ou vigiar coisas.
agentive-physical-object;['flor', 'aclamídea', 'agentes polinizadores das fores', 'campaniforme', 'flor unissexual', 'flósculo', 'monoclamídea', 'morfologia floral', 'pentacíclica', 'pentâmera', 'tetrâmera', 'trímera', 'florais', 'flores'];Estrutura reprodutiva de plantas angiospermas, que consistem de estames e carpelos cercados de pétalas e sépalas, sendo tudo sustentado num receptáculo.
agentive-physical-object;['computador pessoal', 'pc', 'microcomputadores', 'microcomputador', 'computadores pessoais', 'personal computer', 'computadores de mesa', 'ibm personal computer', 'micro-computador', 'computação pessoal'];Um pequeno computador, construído em volta de um microprocessador, para uso pessoal.
agentive-physical-object;['árvore', 'árvores', 'arvore', 'arbóreo', 'dendrolatria', 'árvove', 'mudas'];Vegetal grande, de tronco robusto, que se reveste de folhas
agentive-physical-object;['fêmea', 'mulher', 'fêmeas', 'feminina', 'femininas', 'sexo feminino'];Membro adulto da espécie humana do sexo que produz óvulos e dá à luz as crianças
agentive-physical-object;['trigo', 'triticum', 'moagem de trigo', 'triticultura'];Planta que faz parte do género Triticum, da família das Poaceae (também conhecidas por gramíneas).
agentive-physical-object;['invertebrado', 'invertebrados', 'animais invertebrados', 'macroinvertebrados', 'de macroinvertebrados'];Animal que não possui coluna vertebral, incluíndo todas as espécies não classificadas como vertebrados.
agentive-physical-object;['laranjeira', 'laranja', 'citrus x sinensis', 'frutas de laranja'];Uma fruta cítrica, cuja cor característica é o laranja. o fruto da laranjeira.
agentive-physical-object;['margarida', 'bellis perennis', 'mal-me-quer', 'margarida-vulgar', 'margaridinha'];Pequena planta floral (Bellis perennis) de pétalas brancas da família das Asteraceae.
agentive-physical-object;['zebra', 'hippotigris', 'zebras'];Animal africano com riscas pretas e brancas, relacionado com o cavalo.
agentive-physical-object;['avelã', 'avelaneira', 'aveleira', 'avelãzeira', 'corylus avellana', 'avelãs', 'árvore de avelã'];A planta que produz a avelã. Nome botânico: Corylus avellana.
agentive-physical-object;['frango', 'galinha', 'gallus gallus domesticus', 'galo'];Um tipo de ave domesticada da ordem dos Galliformes, que é muitas vezes criada para consumo (Gallus gallus domesticus).
agentive-physical-object;['lobo cinzento', 'loba', 'lobo', 'canis lupus', 'lobo de madeira', 'lobos', 'lupus', 'wolve'];Canídeo (Canidae) grande e selvagem, estreitamente aparentado com o cachorro.
agentive-physical-object;['boi'];Um touro castrado.
agentive-physical-object;['pessegueiro', 'prunus persica', 'pêssego', 'pessegal', 'pessego', 'pessegueiros', 'pêssegos', 'nectarinas'];Uma espécie de árvore, nativa da China, que produz frutas suculentas, normalmente com casca vermelha ou laranja e polpa amarela.
agentive-physical-object;['bisão-europeu', 'bisonte-europeu', 'bisonte europeu', 'auroque', 'wisent', 'bison bonasus', 'bisăo europeu', 'bisão europeu'];Espécie de bisão, Bison bonasus, que é o maior animal terrestre da Europa.
agentive-physical-object;['avestruz', 'avestruzes', 'struthio camelus'];Grande ave não voadora nativa de África.
agentive-physical-object;['cadela', 'cachorra', 'cachorro', 'cão', 'loba'];Cão do sexo feminino.
agentive-physical-object;['açor', 'accipiter gentilis', 'açor-comum', 'milhafre'];Ave de rapina de tamanho médio a grande da família Accipitridae.
agentive-physical-object;['tarântula', 'lycosa tarantula', 'tarântula-do-mediterrâneo', 'aranha-lobo', 'lycosa hyspanica', 'europeu aranha de lobo', 'lycosa tarentula', 'lycosa tarântula', 'tarântulas'];Nome comum de um grupo de aranhas peludas, por vezes muito grandes, pertencentes à família Theraphosidae, das quais já se identificaram 800 espécies.
agentive-physical-object;['ostra', 'ostras', 'talioba', 'ostreidae', 'ostreira', 'cama de ostra', 'cama de ostras'];Molusco marinho acéfalo, de concha bivalve irregular.
agentive-physical-object;['rinoceronte', 'rhinocerotidae', 'abada', 'corno de rinoceronte', 'rinocerontes'];Um grande paquiderme herbívoro da família dos Rhinocerotidae, de pele grossa e cinzenta, e um ou dois cornos sobre o nariz.
agentive-physical-object;['hipopótamo', 'hipopótamo-comum', 'hippopotamus amphibius', 'hipopótamo-do-nilo', 'hipopótamo do nilo', 'peixe-cavalo', 'hipopótamos', 'amphibius', 'rio cavalo'];(Hippopotamus amphibius) Grande quadrúpede anfíbio de África, da família dos paquidermes, que pode submergir na água.
agentive-physical-object;['pereira', 'pera', 'pyrus communis', 'peras', 'pêra', 'pyrus'];Árvore rosácea, que cresce de 10 a 20 m de altura e cujo fruto é a pêra.
agentive-physical-object;['cenoura', 'daucus carota subsp. azoricus', 'daucus carota subsp. gummifer', 'daucus carota subsp. halophilus', 'daucus carota subsp. hispidus', 'cenoura cultivada', 'daucus carota sativa'];Vegetal amarelo-alaranjado, longo e arredondado que se pode comer cru ou cozido.
agentive-physical-object;['angiosperma', 'angiospérmicas', 'plantas de flor', 'magnoliopsida', 'angiospermas', 'planta com flor', 'angiospermae', 'angiosperms', 'angiospérmica', 'anthophyta', 'antófito', 'magnoliophyta', 'magnoliófita', 'plantas com flor', 'magnaeoliophyta', 'magnospermae', 'planta superior', 'planta com flores', 'plantas com flores'];Divisão de plantas de sementes que inclui todas as plantas floradas, caracterizada pela posse de flores. Os óvulos, que se tornam sementes após a fertilização, são incluídos em ovários. O xilema contém verdadeiros vasos. Os angiospermas são divididos em duas subclasses: Monocotiledôneas e Dicotiledôneas.
agentive-physical-object;['amêndoa', 'amendoeira', 'prunus dulcis', 'amendoa', 'amendoais', 'prunus amygdalus', 'amygdalus communis', 'amêndoa doce', 'amêndoas', 'amêndoas amargas', 'dulcis prunus'];Fruto da amendoeira (Prunus dulcis).
agentive-physical-object;['cavalo', 'equus caballus', 'cavalos', 'égua', 'corcel', 'equus ferus caballus', 'poldro', 'potro', 'cavalo de pau', 'equídeos', 'caballus', 'eqüinos'];Um grande animal quadrúpede no qual as pessoas cavalgam ou utilizam para carregar coisas ou puxar veículos.
agentive-physical-object;['milho', 'zea mays', 'maçaroca', 'mealie', 'milho na áfrica do sul', 'milho verde'];Um tipo de grão da espécie Zea mays.
agentive-physical-object;['mosca', 'diptera', 'díptero', 'dípteros', 'inseto díptero', 'moscas', 'moscas verdadeiras'];Um insecto comum. qualquer espécie de insecto da ordem Diptera.
agentive-physical-object;['piolho', 'phthiraptera', 'piolhos', 'ftiráptero', 'tratamento de piolhos da cabeça', 'sem-vergonha', 'sugando piolho'];Um pequeno insecto parasítico sem asas da ordem Phthiraptera que vive em seres humanos, outros mamíferos e aves.
amount-of-matter;['água', 'h₂o', 'h2o', 'agua', '[oh2]', 'aqua', 'hoh', 'aguas', 'água poluída', 'águas', 'água líquida'];Líquido comum (H₂O), que forma a chuva, os rios, o mar e etc. E que compõe uma grande parte dos corpos de organismos.
amount-of-matter;['adn', 'ácido desoxirribonucléico', 'ácido desoxirribonucleico', 'dna', 'acido desoxirribonucleico', 'a impressão digital do dna', 'desoxirribonucleico', 'molécula de dna'];Ácido desoxirribonucleico, tem a capacidade de codificar proteínas.
amount-of-matter;['laurêncio', 'lawrêncio', 'lr', 'laurencio', 'elemento 103', 'unniltrium', 'unniltrío', 'unt', 'lawrencium', 'número atômico 103'];Elemento químico com símbol Lr e número atómico 103. É um actinídeo produzido artificialmente.
amount-of-matter;['prata', 'ag', 'elemento 47', 'argentum', 'uso médico da prata', 'número atômico 47', 'prata nativa'];Elemento branco-acinzentado maleável, muito dúctil e brilhante, que tem a mais alta condutividade elétrica e térmica entre todos os metais. Ocorre sob a forma livre ou na argentita e em outros minerais. usado em joalheria, vasilhame, cunhagem de moedas, contatos elétricos e eletrodeposição.
amount-of-matter;['ouro', 'oiro', 'aurífero', 'au', 'elemento 79', 'aurífico', 'aurígero', 'número atômico 79', 'ouro filão', 'ouro nativo'];O metal mais precioso, usado, desde a antiguidade, para confecção de jóias. Elemento químico de símbolo Au, possui o número atômico 79 e massa atômica relativa 196,966 u.
amount-of-matter;['bronze', 'bronzes', 'bronzeware'];Liga de cobre, geralmente com estanho com principal aditivo, mas por vezes com outros elementos tais como fósforo, manganésio, alumínio ou silício.
amount-of-matter;['ferro fundido', 'ferros fundidos', 'ferro fundido branco', 'de ferro fundido'];Liga de ferro e carbono.
amount-of-matter;['monóxido de carbono', 'co', 'difusão de monóxido de carbono', 'monóxido', 'óxido de carbono', 'gás monóxido de carbono'];Um gás incolor, inodoro e insípido de fórmula química CO.
amount-of-matter;['sumo de fruta', 'suco', 'esmagamento de fruta', 'suco de frutas'];Sumo obtido espremendo, esmagando ou centrifugando um fruto.
amount-of-matter;['vinho', 'vinhos', 'zurrapa', 'vino'];Bebida alcoólica feita a partir da fermentação do sumo de uva.
biological-object;['ramo', 'galho de árvore'];Uma parte lenhosa de uma árvore que surge do tronco e usualmente divide-se.
biological-object;['tendão', 'tendões'];Tecido que liga o músculo ao osso.
biological-object;['ramo', 'galho', 'braquiblasto', 'galhos', 'macroblasto', 'pôla', 'ramagem', 'ramos'];Uma parte lenhosa de uma árvore que surge do tronco e usualmente divide-se.
biological-object;['tornozelo', 'artelhos', 'articulação tibio-társica', 'pododactilo', 'tibio-társica', 'pododáctilos', 'artelho', 'maléolo', 'articulatio talocruralis', 'articulação do tornozelo', 'articulação tornozelo', 'tornozelo-comum', 'tornozelos'];Uma articulação formada onde o pé e a perna se juntam.
biological-object;['útero', 'matriz', 'ventre', 'madre', 'mãe', 'seio', 'parede uterina', 'uterina', 'uterino', 'intra-uterino'];O principal órgão reprodutivo feminino da maioria dos mamíferos, inclusive humanos. Trata-se de um grande músculo que envolve o feto durante a gravidez.
biological-object;['estaquia', 'estaca', 'estacas', 'muda', 'corte', 'mudas'];Em propagações de plantas, rebentos ou talos removidos com o propósito de cultivar novas plantas, enraizando vegetativamente as mudas.
biological-object;['café', 'grão de café', 'invólucro do café'];Uma bebida feita da infusão de grãos da planta do café em água quente.
biological-object;['crista'];Tufo de penugem presente na cabeça de certas aves.
biological-object;['dedo', 'dedo da mão', 'dedos da mão', 'anelar', 'dedinho', 'dedinhos', 'dedo do meio', 'dedo indicador', 'dedo mínimo', 'pai-de-todos', 'quirodáctilo', 'quirodátilo', 'terceiro quirodactilo'];Cada uma das longas extremidades da mão, usadas para segurar ou agarrar objectos.
biological-object;['vulva', 'chavasca', 'chibiu', 'crica', 'pudendo', 'xavasca', 'cona'];As partes externas dos genitais femininos, consistindo, nos humanos, dos lábios, clítoris, a abertura da uretra (meato) e a abertura da vagina.
biological-object;['bolota', 'bolotas'];Fruto do carvalho.
biological-object;['glândula mamária', 'mama', 'glândulas mamárias', 'mamas'];Órgão produtor de leite das fêmeas dos mamíferos.
biological-object;['dedo do pé', 'artelho', 'pododáctilo', 'pododáctilos', 'dedo', 'dedos'];Uma das extremidades do pé.
biological-object;['testículo', 'ovo', 'espremedor de culhões', 'tomate', 'óvulo', 'testículos', 'o espremedor de culhões', 'colhão', 'monorquidismo', 'culhão', 'gónada', 'ballock', 'besteira', 'teste', 'testicular'];Glândula do sexo masculino que produz o esperma e as hormonas masculinas, que se encontram em alguns animais.
biological-object;['flor', 'aclamídea', 'agentes polinizadores das fores', 'campaniforme', 'flor unissexual', 'flósculo', 'monoclamídea', 'morfologia floral', 'pentacíclica', 'pentâmera', 'tetrâmera', 'trímera', 'florais', 'flores'];Estrutura reprodutiva de plantas angiospermas, que consistem de estames e carpelos cercados de pétalas e sépalas, sendo tudo sustentado num receptáculo.
biological-object;['osso', 'ossada', 'ossadas', 'ossos', 'ossículo', 'ossículos', 'ossículos do ouvido', 'tipos de ossos', 'ósseo', 'óssea'];Material composto que consiste maioritariamente de fosfato de cálcio e colagénio, e que forma o esqueleto da maior parte dos vertebrados.
biological-object;['rim', 'renal', 'rins', 'renais', 'doença renal'];Um órgão do corpo que produz urina.
biological-object;['mão', 'manus', 'pata', 'mãos', 'braço', 'perna'];Parte do membro superior que se encontra na extremidade do braço, abaixo do antebraço ou pulso nos primatas (incluíndo humanos).
biological-object;['tronco', 'torso', 'corpo'];estrutura física de um animal ou pessoa excluindo a cabeça, o pescoço e os membros (extremidades).
biological-object;['tornozelo', 'artelhos', 'articulação tibio-társica', 'pododactilo', 'tibio-társica', 'pododáctilos', 'artelho', 'maléolo', 'articulatio talocruralis', 'articulação do tornozelo', 'articulação tornozelo', 'tornozelo-comum', 'tornozelos'];Uma articulação formada onde o pé e a perna se juntam.
biological-object;['caixa torácica', 'costelas flutuantes', 'costela falsa', 'costelas falsas', 'costela flutuante', 'costela vertebrocondral', 'costelas vertebrocondrais', 'costela', 'costelas', 'décima segunda costela', 'primeira costela'];Costela que se encontra conectada apenas às vértebras
biological-object;['corpo', 'cadáver', 'corpo humano', 'corpo físico', 'estrutura física', 'estrutura orgânica'];A estrutura física (anatômica) de um ser humano ou animal
biological-object;['dedo mindinho', 'dedo mínimo', 'dedo auricular', 'mindinho', 'mínimo', 'dedinho', 'o dedo mínimo', 'rosado'];O mais pequeno dedo da mão.
biological-object;['nádegas', 'rabo', 'traseiro', 'nádega', 'atrás', 'bunda', 'cu', 'posterior', 'acima', 'antes', 'após', 'assento', 'atrás de', 'base', 'caneco', 'depois', 'fofo', 'fundilhos', 'fundo', 'planalto', 'ponderação', 'retaguarda', 'trás', 'nalga', 'bumbum', 'músculos glúteos', 'popô', 'anca', 'nalgas', 'ânus', 'aboral', 'apical', 'basal', 'caudal', 'caudalmente fusão', 'contralateral', 'derriere', 'distal', 'dorsolateral', 'dorsoventral', 'extremidade traseira', 'ipsilateral', 'keister', 'lateral', 'linha hemiclavicular', 'nates', 'ora', 'plantar', 'posteriormente', 'prat', 'proximal', 'pães', 'região glútea', 'termos anatômica para localização', 'termos anatômicos de localização', 'termos para localização anatômica', 'tooshie', 'ventral', 'ventrolateral'];A parte carnuda do corpo humano sobre a qual uma pessoa se senta.
biological-object;['face', 'rosto', 'cara', 'feição', 'fisionomia', 'semblante', 'ária', 'vulto', 'faces', 'rosto humano'];A parte frontal da cabeça, incluindo os olhos, o nariz a boca e a área ao redor.
biological-object;['lima', 'laranja-lima', 'laranja lima', 'limão'];Um citrino verde.
biological-object;['coração', 'coração humano', 'cor', 'cardíaca', 'cardíaco', 'sistema de condução elétrica do coração', 'coraçao', 'coração direito', 'coração esquerdo'];Órgão muscular que bombeia o sangue através do corpo.
biological-object;['osso frontal', 'frontal', 'frente', 'fronte', 'os frontale'];O osso da testa.
biological-object;['pomo de adão', 'maçã de adão', 'gogó', 'cartilagem tireoide', 'cartilagem tiroide ou cartilagem tiroideia', 'cartilagem tireóide', 'cartilagem tiróide', 'pomo-de-adão', 'cartilagem tireóidea', 'cartilagem tiroideia', 'maçã-de-adão', 'proeminência laríngea', 'cartilagem tiroide', 'proeminência da laringe'];Um alto na frente do pescoço, constituído por cartilagem.
biological-object;['músculo cardíaco', 'miocárdio', 'contratilidade cardíaca', 'músculo estriado cardíaco', 'tecido muscular cardíaco', 'contratilidade', 'miócitos cardíacos', 'cardiomiócitos', 'do miocárdio'];O tecido muscular do coração.
biological-object;['cintura', 'cós', 'barriga', 'talhe', 'tronco'];Em seres humanos, a parte entre o tórax e os quadris.
biological-object;['olho', 'óculo', 'globo ocular', 'broto', 'grelo', 'olhar', 'olho-de-boi', 'olho-d’água', 'bolbo ocular', 'olhos', 'intraocular', 'oftálmicos', 'olhos secundários', 'oculi', 'oculus', 'olhos compostos', 'óptica', 'ótico'];O órgão sensível à luz, que a converte em sinais eléctricos enviados para o cérebro, através dos quais os animais possuem a capacidade de ver.
biological-object;['coluna vertebral', 'espinha', 'espinha dorsal', 'costas', 'coluna', 'espinhaço', 'costa', 'coluna cervical', 'coluna espinal', 'vertebral', 'vértebras'];Parte do corpo constituída por um conjunto alinhado de vértebras, que suporta a cabeça e o torso, e forma um canal para os nervos.
biological-object;['reto', 'recto', 'intestino reto', 'retal', 'rectal'];Parte terminal do intestino grosso através do qual passam as fezes.
biological-object;['cabeça', 'céfalo', 'cefálico', 'cabeça e pescoço', 'pescoço', 'cefálica'];A parte do corpo de um animal ou ser humano que contém o cérebro, boca e os principais órgãos sensoriais
biological-object;['cartilagem', 'tecido cartilaginoso', 'cartilaginoso', 'cartilagem articular', 'cartilagens', 'cartilaginosos'];Tecido conectivo flexível.
chemical-object;['grupo funcional', 'grupo', 'radical', 'funções orgânicas', 'família', 'função orgânica', 'grupo químico', 'grupo da tabela', 'grupos funcionais', 'série química'];Conjunto dos elementos que pertencem à mesma coluna da tabela periódica.
cognitive-event;['alternativa', 'escolha', 'eleição', 'opção', 'flutuações', 'optação', 'revezamen-to', 'variações', 'intercorrência'];Uma oportunidade de seleccionar de uma colecção de opções ou alternativas.
cognitive-event;['ânsia', 'anseio', 'desejo ardente', 'desejo em alto grau', 'desejo forte', 'desejo imoderado', 'desejo intenso', 'desejo veemente', 'avidez', 'cobiça', 'desejo sôfrego', 'ganância', 'garra', 'anelo', 'sofreguidão', 'desejo', 'tanha'];Desejo ardente (intenso, vivo).
cognitive-event;['pânico', 'terror', 'horror', 'pavor', 'pánico', 'panico', 'medo'];Algo que causa medo extremo ou intenso.
cognitive-event;['desejo', 'anelo', 'anseio', 'saudade', 'suspiro'];Um profundo e doloroso desejo por alguém ou algo.
cognitive-modal-description;['atitude', 'disposição', 'posição', 'postura', 'atitude mental'];Estado mental complexo que envolve crenças, sentimentos, valores e disposições para se agir de certas maneiras.
