abstract-quality;['זהות אישית', 'אינדיבידואליות'];מודל סוציולוגי
activity;['פנטומימה', 'פנטומיים', 'תכנית מטומטמת'];ז'אנר תיאטרלי, אמנות הופעה
activity;['גל חום', 'גלי חום'];תקופה ממושכת של מזג אוויר חם
activity;['לוחמה ימית', 'היסטוריה של ספינות המלחמה', 'התפתחות ספינות המלחמה', 'התפתחות ספינות מלחמה', 'קרב ימי'];סקירה על הלחימה בים
activity;['דו-קרב', 'דו קרב', "אהבי d'honneur", 'סיף', 'קרבות'];עימות, בדרך כלל, מזוין בין שני אנשים שנועד להשיג הכרעה
activity;['גיהוק', 'גְּרֶפְּץ', 'גִּהוּק', 'גיסוי', 'גרעפס', 'גרפס', 'לגהק'];גז שמשתחרר ממערכת העיקול ומלווה בקול אופייני ולעיתים ריח
activity;['רכילות', 'מדור רכילות'];שיח לא מבוסס על עובדות אודות אנשים
activity;["טאצ'דאון", 'touchdown', "טצ'דאון", 'touchdowns'];מונח בפוטבול אמריקאי
activity;['ברכת המזון', 'בִּרְכַּת הַמָּזוֹן\u200e', 'חסד'];תפילה לפני או אחרי אכילה
activity;['מארש אבל', 'מרש אבל', 'מארש'];קטע נגינה איטי ועצוב המשמש לתהלוכות הלוויה או יצירת אווירה של אבל
activity;['אכלזיה', 'achalasia', 'cardiospasm'];מחלה של הוושט
activity;['סווינג', 'swing'];סוג ריקוד
activity;['מעשייה', 'אַגָּדָה', 'מעשיה', 'אגדות'];סיפור עם שבו מוטיבים רבים החורגים מההתנסות היומיומית, מוטיבים על-טבעיים שאינם ניתנים לאישור אמפירי, בין היתר דמויות כגון פיות, גובלינים, אלפים, טרולים, ענקים, חיות מדברות ובדרך כלל אף כישופים ומעשי קסמים
activity;['סווינג', 'swing', 'מוסיקת סווינג', 'תסבן'];תת סגנון בתוך מוזיקת הג׳אז
activity;['פשיטה', 'פְּשִׁיטָה', 'לגזול'];טקטיקה צבאית
activity;['בלט', 'מחול', 'באלט', 'בלרינה', 'showdance', 'קונצרט ריקוד', 'תיאטרון מחול'];צורת מחול שמקורה בבתי הרנסאנס האיטלקי של המאה ה-15, והתפתחה כמחול במות בצרפת וברוסיה. כמו כן, המילה "בלט" מתייחסת גם ליצירת מחול בסגנון הבלט (לדוגמה: הבלט אגם הברבורים) או ללהקת בלט (לדוגמה: הבלט הישראלי
activity;['חיבוק', '!חִבּוּק', 'לחבק'];מחווה גופנית של אהבה
activity;['רוק', 'מוסיקת רוק', 'רוק אנד רול', 'מוזיקת רוק', 'רוֹק', 'רוֹק\u200e', 'רוקנרול', 'rock', 'מוזיקאי רוק', "רוק'נ'רול", "רוק'נרול", "רוק אנ' רול", "רוק נ' רול", "רוקנ'רול", 'מוסיקאי רוק', "רול rock'n", 'רוק-n-roll', 'רוק \'נרול "', 'רוק רול', 'רוק נ רול'];ז'אנר מוזיקלי שהתפתח מהרוק אנד רול בארצות הברית של המאה ה-20
activity;['וודוויל', 'מיוזיק הול', 'ווֹדְווִיל\u200e', 'וודביל', 'וודויל', 'vaudville', 'אולם מוסיקה', 'בvaudville', 'באולמי מוסיקה', 'ודוויל'];סוג של מופע בידור
activity;['מלחמת צרפת-פרוסיה', 'מלחמת צרפת–פרוסיה', 'מלחמת צרפת פרוסיה', 'המלחמה הפרנקו-פרוסית', 'המלחמה הפרנקו פרוסית', 'המלחמה הצרפתית-פרוסית', 'המלחמה הצרפתית - פרוסית', 'מלחמת פרוסיה-צרפת', 'מלחמת פרוסיה - צרפת', 'מלחמת פרוסיה צרפת', 'מלחמת פרוסיה–צרפת'];מלחמה בין הקיסרות הצרפתית השנייה לבין ממלכת פרוסיה ומדינות גרמניות אחרות
activity;['מלחמת העולם השנייה', 'מלחמת העולם השנייה\u200e', 'wwii', 'חיילים יהודים במלחמת העולם השנייה', 'מלה"ע ה-2', 'מלחה"ע 2', 'מלחה"ע השנייה', 'מלחמת העולם ii', 'מלחמת העולם ה-2', 'מלחמת העולם ה-ii', 'מלחמת העולם השניה', 'הכיבוש הנאצי', 'מלחמת העולם 2', 'מלחמת העולם השני'];המלחמה הגדולה ביותר שידעה האנושות
activity;['מלחמת העולם הראשונה', 'המלחמה שתשים קץ למלחמה', 'wwi', 'המלחמה הגדולה', 'מלה"ע ה-1', 'מלחה"ע ה-1', 'מלחה"ע הראשונה', 'מלחמת העולם i', 'מלחמת העולם ה-1', 'המלחמה שתסיים את המלחמה', 'מלחמה גדולה', 'מלחמת העולם 1'];מלחמה שפרצה בשנת 1914 ותמה ב 1918 והיא נחשבת לאחת המלחמות הקשות שידעה האנושות כולה
activity;['מלחמת קרים', 'המלחמה המזרחית', 'המצור על סבסטופול', 'המלחמה קרה'];בדרומה של רוסיה דאז, בחצי-האי קרים שבדרום אוקראינה המודרנית, ומכאן שמה
activity;['מלחמת עולם', 'מלחמת העולם\u200e', 'מלחמות העולם', 'מלחמת העולם'];עימות צבאי, שמערב את רוב מדינות העולם
activity;['מלחמת המפרץ', 'מבצע סופה במדבר', 'מלחמת המפרץ הראשונה', 'סופה במדבר', 'מבצע סופת מדבר', 'מלחמת מפרץ פרסי'];מלחמה שהתקיימה בשנים 1990–1991
activity;["רוח צ'ינוק", 'chinook', 'רוח אוכלת שלג', 'רוח שינוק', 'רוח chinook', 'רוחות chinook', 'שלג אכלנית'];תופעה מטאורולוגית
activity;['צום', 'צוֹם', 'תַּעֲנִית', 'צוֹם\u200e', 'צומא\u200e', 'תַּעֲנִית\u200e', 'מהר', 'תענית'];הימנעות מאכילה
activity;['נקודת תצפית', 'סיפור', 'סיפר', 'טכניקות ספרותיות', 'סִפּוּר\u200e', 'נאראטיב', 'נראטיב', 'נרטיב', 'טכניקה ספרותית', 'תחבולה ספרותית', 'נקודת תצפית משולבת', 'הנרטיב', 'מספר כול יודעים'];פרשנות של היבט מסוים של העולם, המעוצבת דרך נקודת מבט תרבותית או אישית
activity;['בי בופ', 'bebop', 'ביבופ', 'בי-בופ', 'יבופ', 'להיות בופ'];ז'אנר במוזיקת הג'אז
activity;['אריה', 'אריות'];חיבור שירי באופרה או אורטוריה
activity;['!קְרָב', 'לחימה', 'נפתולים\u200e', 'מאבק', 'עימות', 'קרב', 'מאבק מזוין'];עימות אלים מכוון, לרוב כולל שימוש בכלי נשק
activity;['הדרן', 'הַדְרָן', 'כהדרן'];קטע מוזיקלי בסוף קונצרט או הופעה
activity;['אסקפיזם', 'בורחנות', 'בריחה ממציאות'];הדחקת המציאות השלילית ע"י צריכה, דמיון, התמכרות למדיה או גלישה ברשת
activity;['דיבור בפני קהל', 'דיבור בציבור', 'oratories', 'דוברי ציבור', 'מצגת אוראלית', 'נאום', 'נאומים', 'נאימה', 'נואם אורח', 'נואמים'];סוג של תקשורת שמוסיפה לידע ולחוכמה של המאזינים, או שמשפיעה על עמדותיהם או התנהגותם
activity;['מקצוע', 'משלח יד', 'מקצוע חופשי', 'מקצועות חופשיים'];תחום הניתן להתמחות בו במטרה להשיג פרנסה
activity;['ביקור'];הגעה לזמן קצר
activity;['oliver ackermann'];מוזיקאי אמריקאי
activity;['אמנות לחימה', 'אומנויות לחימה', 'אומנות לחימה', 'אמנויות לחימה', 'אמן לחימה', 'אמני לחימה'];אין תיאור זמין
activity;['פוקר', 'póker', 'full house', 'בית מלא', 'משחק פוקר', 'שחקן פוקר'];משחק הימורים
activity;['נוירוכירורגיה', 'נוירוכירורג', 'נוירוכירורגיים', 'נוירוכירורגים'];תחום ברפואה הכולל ניתוחים פולשניים של מערכת העצבים ההיקפית
activity;['הקרב על הבליטה', 'הקרב בארדנים', 'קרב ארדנים', 'קרב הארדנים', 'קרב הבליטה', 'מתקפת הארדנים', 'מבצע משמר הריין', "קרב סן וית'", 'הארדנים מתקפת נגד', 'קרב על בליטת הארדנים', 'קרב על הבליטה'];מערכה צבאית בין צבא גרמניה הנאצית לבין צבאות בעלות הברית המערביות, שהתחוללה במסגרת החזית המערבית במלחמת העולם השנייה
activity;['כדורת', 'באולינג', 'באולינג tenpin'];משחק בו מפילים 10 פינים באמצעות כדור
activity;['סמולוויל עונה 9'];העונה התשיעית של דרמת גיבורי-העל "סמולוויל"
activity;["מה-ג'ונג", "מא-ג'ונג", "מא ג'ונג", "מה ג'ונג", "mah-ג'ונג", "מהג'ונג"];משחק סיני
activity;['מלחמת מעמדות', 'מאבק מעמדי', 'מאבק מעמדות', 'מלחמת המעמדות', 'כיתת לוחמה', 'כיתת מלחמה'];מתח שנוצר כתוצאה מרצונות כלכליים-חברתיים שונים.
activity;['טווייה', 'טְוִיָּה', 'טוויה', 'טווה', 'ספינינג'];תהליך בו נשזרים סיבים לכדי חוטים
activity;['דיבור בפני קהל', 'דיבור בציבור', 'oratories', 'דוברי ציבור', 'מצגת אוראלית', 'נאום', 'נאומים', 'נאימה', 'נואם אורח', 'נואמים'];סוג של תקשורת שמוסיפה לידע ולחוכמה של המאזינים, או שמשפיעה על עמדותיהם או התנהגותם
activity;['אלקטרומיוגרפיה', 'אלקטרומיוגרפיה emg', 'nct', 'electromyography', 'electromyographic'];מכשיר לבדיקת השרירים והעצבים
activity;['יכולתנות', 'יֶכוֹלתַנוּת\u200e', 'אייבליזם', 'אייבליסטי', 'נכותנות', 'ableism', 'ablism', 'disablism', 'מסוגל-bodiedism', 'מסוגל-bodism'];אפליה נגד אנשים עם מגבלות
activity;['קורס', 'כיתה', 'כמובן הוראה', 'קורסי בחירה'];מסגרת להעברת ידע
activity;['מוסד להשכלה גבוהה', 'השכלה גבוהה', 'חינוך גבוה', 'לימודים אקדמיים', 'לימודים גבוהים', 'מוסד אקדמי', 'המוסד הגבוהה יותר למידה', 'חינוך במכללה'];בית ספר אקדמי המספק השכלה והכשרה מקצועית מעבר לרמת בית הספר התיכון, ואשר מעניק תארים אקדמיים או דיפלומה מקצועית
activity;['מלחמת יום הכיפורים', 'מלחמת 1973', 'מלחמת אוקטובר', 'מלחמת יוה"כ', 'מלחמת יום-הכיפורים', 'מלחמת יום כיפור', 'מלחמת רמדאן', 'מפקדי צה"ל במלחמת יום הכיפורים', 'בתהליך השלום הערבי הישראלי', 'המלחמה הערבית הישראלית', 'מלחמת יום כיפורים', 'תהליך השלום הערבי הישראלי'];מלחמה שפרצה בין ישראל למדינות ערב ביום כיפור, שנת 1973
activity;['מונטיזציה'];דף פירושונים
activity;['סקוואט', 'שפיפה', 'עיקול ברך'];אימון רגליים
activity;['חימום', 'חִמּוּם'];פעילות גופנית בעצימות נמוכה שמטרתה הכנת השריר לפעילות וצמצום הסיכון לפציעה
activity;['נפוטיזם', 'נֶפּוֹטִיזְם\u200e', 'קידום מקורבים', 'nepotistic', 'פרוטקציה'];מינוי קרובי משפחה לתפקידים ציבוריים
activity;['אש רתק', 'חיפוי', 'אש חיפוי', 'רתק', 'כוח רתק', 'אש מדכאת', 'אש דיכוי'];ירי לכיוון האויב במטרה להשאירו במחסה, המטרה איננה הרג
activity;['תשאול', 'חוקר', 'חקירה', 'לחקור', 'נחקר', 'שאלונים'];דף פירושונים
activity;['החלקה אמנותית', 'החלקה אומנותית', 'דמות החלקה', 'מחליקים בכירים'];ספורט ואמנות החלקה על קרח
activity;['קרב האי וייק', 'קרב wake', 'קרב על אי wake'];קרב שהתרחש במלחמת העולם השנייה
activity;['הסגר', 'קרנטינה', 'בידוד בית', 'בהסגר'];הסגר מוגבל בזמן שנועד למנוע התפשטות מחלות מידבקות
activity;['סורטיציה', 'sortition', 'הגרלה', 'הטלת גורל'];הטלת גורל לצורך בחירה
activity;['השמונה', 'אמנות'];קבוצת שמונה ציירים הונגרים בתחילת המאה ה-20
activity;['הגירה', 'הֲגִירָה-יוֹצֵאת', 'הֲגִירָה\u200e', 'מהגרים', 'אימיגרציה', 'אמיגרציה', 'מהגר', 'מרחק הגירה', 'מרחק ההגירה', 'expatriation', 'את ההגירה', 'להגר', 'שהגר'];תנועת אוכלוסייה
activity;['רגטיים', 'ragtime', 'ראגטיים', 'מוסיקת רגטיים', 'רגטים'];סוגה מוזיקלית
activity;['קרב מידוויי', 'הקרב על מידוויי', 'מבצע מיי', 'קרב מידווי', 'קרב על מידוויי'];קרב ימי מכריע במלחמת העולם השנייה
activity;['ניווט עיוור', 'ניווט מקורב', 'ניווט באומדן', 'ניווט חישובי', 'חישוב עיוור'];חישוב רציף של מיקום, כיוון ומהירות ללא כל צורך במידע חיצוני, אלא על סמך מיקום שנקבע קודם לכן וחישוב התקדמות על סמך מהירות ידועה או משוערת, דרך וזמן שעבר
activity;['קרני רנטגן', 'קַרנֵי רֶנְטְגֶן\u200e', 'גלי x', 'קרינת x', 'קרינת רנטגן', 'קרן x', 'קרני-x', 'קרני x', 'קרני איקס', 'דור ה-x', 'דור רנטגן', 'קרן רנטגן', 'רנטגן'];קרינה אלקטרומגנטית מייננת בעלת אורך גל בתחום 5 פיקומטר עד 10 ננומטר, הקרויה כך על שם הפיזיקאי שגילה אותה, וילהלם רנטגן
activity;['אימפסטו', 'impasto', 'שכבת צבע עבה'];מושג מתחום הציור
activity;['אתלטיקה', 'אתלטיקה קלה', 'אתלטיקה מקורה', 'אתלטיקת שדה', 'מסלול ושדה', 'מסלול חיצוני', 'מסלול מקורה', 'ספורטאי מסלול'];אתלטיקה קלה היא ענף ספורט הכולל תחרויות ריצה, הליכה, קפיצה וזריקה, ושילוב ביניהם בצורת קרב רב
activity;['דמי אבטלה', 'ביטוח אבטלה'];תשלום המשולם לתושב מטעם ממשלת המדינה שבה הוא מתגורר, והמיועד להבטיח לו הכנסה במהלך התקופה שבה הוא מובטל מעבודה ועד אשר ימצא לעצמו תעסוקה
activity;['רסיטל', 'récital', 'רסיטלים'];הופעה מוזיקלית
activity;['ביזה', '!שֹׁד', 'שלל', 'כשלל מלחמה', 'בוזזים', 'בזיזה', 'כשלל המלחמה', 'נבזז'];לקיחת רכוש שבעליו עזבו את המקום או חסרים יכולת להתנגד
activity;['שלג', 'שֶׁלֶג', 'שלג-עד', 'שלג עד', 'שלגון'];משקע בצורת פתיתי קרח גבישיים ואווריריים, גדולים יחסית, הנופלים מהעננים לקרקע
activity;['חניטה', 'embalmment', 'לחנוט'];שיטת קבורה שבה גופת המת נעטפת בתכריכים ועוברת טיפול בצמחים ותכשירים שונים על מנת לשמרה
activity;['הסעדה', 'cátering', 'קייטרינג'];שירות אוכל מסחרי
activity;['החפצה', 'אובייקטיפיקציה', 'חיפצון', 'חפצון', 'ראיפיקציה', 'רפיקציה'];בעיקר מדובר על פרחים מסול
activity;['מכירה בחסר', 'שורט', 'short squeeze', 'שורט סקוויז', 'shorting', 'קצר'];מושג בשוק ההון
activity;['חישול', 'זיוף', 'חשול'];פעולת עיצוב מתכת על ידי לחיצה או כבישה
activity;['יודל', 'לילל', 'yodeler', 'yodelling'];סוג של שירה
activity;['גלגיליות', 'סקייטים', 'רולר-בליידס', 'רולר בליידס', 'רולרבליידס', 'rollerskating', 'החלקה על גלגיליות'];נעליים שבתחתיתן מחוברים גלגלים, המאפשרים החלקה על משטחים חלקים
activity;['ניתוח פלסטי', 'ניתוחים פלסטיים', 'ניתוח קוסמטי', 'מנתח פלסטי', 'anaplasty', 'מנתחים פלסטיים', 'ניתוח שחזור', 'ניתוחים קוסמטיים', 'שחזור ניתוח'];מונח כללי להתערבות רפואית, בדרך כלל כירורגית, במטרה לשנות גודל, מראה או מבנה של איברים בגוף, לעיתים אפילו הסרה מוחלטת של איברים, שלא לצורך רפואי מציל חיים
activity;['לובוטומיה', 'לויקוטומיה', 'leukotomy', 'leukotomy הפריפרונטלי', 'כריתת אונה הפרונטלית', 'כריתת אונת קדם חזיתית', 'לובוטומיות', 'לויקוטומיה הפריפרונטלי', 'נתוח אונת המוח'];הליך ניתוחי לצורך טיפול פסיכיאטרי
activity;['מחקר', 'מֶחְקָר', 'שיטות מחקר', 'חוקר', 'חקירה מדעית', 'מחקר מדעי', 'מודל צעצוע', 'toy model', 'חקר', 'חוקרים', 'מחקר אקדמי', 'מחקר מקורי'];פעילות מקצועית לאיסוף וניתוח מידע
activity;['השמונה', 'אמנות'];קבוצת שמונה ציירים הונגרים בתחילת המאה ה-20
activity;['כיול', 'כִּיּוּל', 'דגם כיול', 'עקום כיול', 'קליברציה', 'לכייל', 'מכויל'];פעולה המאפשרת הערכה
activity;['הקאה', 'הֲקָאָה', 'קא', 'קִיא\u200e', 'קיא', 'אמזה', 'אמזמה', 'אמטולוגיה', 'disgorgement', 'regurgitation', 'להקיא', 'מקיא'];הקאה היא יציאה של תוכן הקיבה דרך הפה
activity;['גלות', 'גֵּרוּשׁ', 'הַגְלָיָה', 'גירוש\u200e', 'גלות\u200e', 'הגליה', 'דיאספורה', 'הגליה למושבת עונשין', 'חוק הגלות 1717', 'לגרש', 'תחבורת עונשים'];צורת ענישה
activity;['כרייה', 'כורה', 'כריה', 'מכרה', 'בכרייה תת קרקעי', 'ציוד כרייה', 'תעשיית הכרייה'];הפקת מחצבים מתוך האדמה
activity;['השקעה', 'הַשְׁקָעָה', 'השקעות', 'משקיע', 'השקעות הון', 'להשקיע', 'משקיעים זרים', 'נכס להשקעה'];העברה של סכום כסף לגורם אחר כדי לייצר הכנסה
activity;['לגליזציה', 'לגליזציה\u200e'];הסרת איסור שקיים לגבי פעולה שאינה חוקית, או חקיקת חוק שמתיר פעולה שהייתה בעבר מחוץ לחוק
activity;['חיברות', 'סוציאליזציה', 'התרועעות', 'ולהתרועע'];תהליך של התנסות חברתית ותרבותית מתמשכת, המקנה ליחיד דפוסים, כללים וערכי תרבות בחברה בה הוא חי
activity;['מוניטור רפואי', 'ניטור'];מעקב אחר מחלה, תסמין או פעילות מערכות שונות בגוף באופן זמני או ממושך
activity;['חזקה', 'בעלות', 'בעלים'];מושג משפטי המתאר שליטה אפקטיבית בנכס, יהא זה נכס מקרקעין או נכס מיטלטלין
activity;['שכירות', 'השכרה', 'חוזה שכירות', 'להשכרה'];הסכם בו מתבצע תשלום עבור שימוש זמני במוצר, בשירות או בנכס שבבעלות אחר
activity;['זמרה', 'זִמְרָה', 'שִׁירָה', 'זימרה\u200e', 'שירה\u200e', 'זימרה', 'שירה נקיה', 'שירה', 'זמר', 'זמרים', 'קולות נשיים', 'שירה נקי', 'שירה נשי'];יצירת צלילים מוזיקליים באמצעות הקול האנושי
activity;['צילום', 'צִלּוּם', 'צילומים', 'תצלום', 'תקריב', 'תמונה לוקחת'];תמונה הנוצרת על ידי הטבעת דפוס האור על גבי רכיב רגיש לאור
activity;['עיצוב', 'חברת עיצוב', 'פילוסופית עיצוב', 'תכנון'];מכלול סימנים חזותיים
