abstract-region;['skalaro', 'skalara fizika grando'];Bazita sur la matematika koncepto de skalaro.
language;['gotika arkitekturo', 'gotika epoko', 'alta gotiko', 'altgotiko', 'frua gotiko', 'frugotiko', 'gotika arĥitekturo', 'malfrua gotiko', 'malfrugotika', 'malfrugotiko'];Tipo de eŭropa arkitekturo en malfrua mezepoko (tiel nomita spite al renesanco) kaj ties modernaj reaperoj (la novgotiko).
language;['albana lingvo', 'albana', 'albane'];Mallongigo laŭ ISO 639-2
locative-role;['jerez de la frontera', 'ĥerezo', 'jerezo'];Urbo kaj municipo en aŭtonoma komunumo Andaluzio.
locative-role;['panĝabio', 'panĝabo', 'panĝaba regiono'];Historia kaj kultura areo, devenareo de la sikoj.
locative-role;['trondheim', 'nidaros', 'trondhejmo', 'trondhjem'];Norvegio: Grupo Esperantista en Trondheim.
locative-role;['telefoncentralo', 'telefona centralo'];Nabo en telefona reto.
locative-role;['zaragozo', 'zaragoza', 'provinco de zaragozo'];Urbo en Hispanio
locative-role;['gizo', 'giza', 'gizeh', 'gizeo'];Urbo en Egiptio
locative-role;['san-paŭlo', 'são paulo'];Plej grava urbo de Brazilo.
locative-role;['baltio', 'balta landaro', 'baltaj landoj', 'balta regiono', 'baltaj ŝtatoj', 'baltujo', 'ĉebaltaj ŝtatoj', 'ĉebaltio'];Kuniga nomo de Estonio, Latvio kaj Litovio
locative-role;['rio-de-ĵanejro', 'rio-de-janejro', 'rio-de-ĵaneiro', 'rio de ĵaneiro', 'rio de ĵanejro'];Urbo en Brazilo.
locative-role;['karaĉio', 'karachi', 'karaĉi', 'karaĉo'];Sindh, Pakistano.
non-agentive-physical-object;['zono'];Bendo aŭ rimeno kiun oni portas kiel vestaĵo aŭ ornamaĵo kaj laŭ PIV ĉio kio ĉirkaŭas kiel zono.
non-agentive-physical-object;['andrea kruco', 'kruco de sankta andreo'];Kies brakoj intersekcas oblikve.
non-agentive-physical-object;['jupo'];Porvirina vesto
non-agentive-physical-object;['kamentubo', 'fumtubo'];Per kiu la fumo el kameno aŭ ĉambra forno eliras eksteren. Ĝin riparas, kontrolas ĉiujare la kamentubisto.
non-agentive-physical-object;['zontuko'];Tradicia vestaĵo de indiĝenuloj.
non-agentive-physical-object;['provtubo'];Ordinare el vitro, en kiu oni provas reakciojn ĉe fluaĵoj aŭ gasoj.
non-agentive-physical-object;['mamzono'];Vestaĵo por subteni la mamojn per du duonsferaj pecoj.
non-physical-collection;['gotika arkitekturo', 'gotika epoko', 'alta gotiko', 'altgotiko', 'frua gotiko', 'frugotiko', 'gotika arĥitekturo', 'malfrua gotiko', 'malfrugotika', 'malfrugotiko'];Tipo de eŭropa arkitekturo en malfrua mezepoko (tiel nomita spite al renesanco) kaj ties modernaj reaperoj (la novgotiko).
phenomenon;['radioondo', 'radio-ondo', 'radiondo'];Malalta frekvenco laŭ la anglaj literoj LF (= Low frequency)
phenomenon;['aberacio', 'optika aberacio'];Kiu kontraŭstaras formiĝon de la preciza bildo
physical-body;['blanka nano'];Ruĝa nano, bruna nano, nigra nano estas et-specoj de steloj.
physical-body;['luno', '🌛', '🌜'];La natura satelito de la Tero
physical-body;['marso', '♂', 'la ruĝa planedo', '♂︎'];Kvara planedo de la sunsistemo
physical-object;['nuklea reaktoro', 'nuklea reakciujo', 'reaktoro', 'atomreaktoro'];En la atomenergia produktado, estas aparato por efektivigi la fendadon de uraniatomoj en pli malpezajn elementojn. En la estonteco, oni planas konstrui nukleajn reakciujojn kapablajn kunfandi malpezajn elementojn en pli pezajn.
physical-object;['volano', 'volanoj'];Uzata en volanludo.
physical-object;['zono'];Bendo aŭ rimeno kiun oni portas kiel vestaĵo aŭ ornamaĵo kaj laŭ PIV ĉio kio ĉirkaŭas kiel zono.
physical-object;['trabo', 'ĉeftrabo'];Dika peco el ligno, matalo aŭ betono uzata en konstruaĵoj.
physical-object;['jupo'];Porvirina vesto
physical-object;['lako'];Speco de rezina solvaĵo
physical-object;['fiŝreto', 'fiŝista reto', 'fiŝkaptaj retoj'];Reto por kapti fiŝojn
physical-object;['orfo', 'orfeco', 'orfino'];Infano kies patro aŭ patrino mortis
physical-object;['tribunalo', 'juĝejo', 'kortumo', 'jurtribunalo'];Moderna kortumo aŭ juĝejo
physical-object;['rakedo'];T.e. plata pilkoĵetilo el interplektitaj ŝnuroj.
physical-object;['baziliko'];Impona kaj grava preĝejo.
physical-object;['elektrejo', 'centralo', 'elektrostacio', 'elektra centralo', 'elektrocentralo'];Fabriko kie oni produktas elektran energion.
physical-object;['muzika instrumento', 'muzikilo', 'muzikinstrumento', 'muzikaj instrumentoj', 'muzikiloj'];Pli komune nomata" fluto de Pan",
physical-object;['metroo', 'metrosistemo', 'metrostacio', 'subtera fervojo', 'talpotrajno'];Laŭ la germana vorto U-Bahn. ekzemple en Berlino
physical-object;['zontuko'];Tradicia vestaĵo de indiĝenuloj.
physical-object;['antaŭrigardilo'];Parto de fotilo por vidi enhavon kaj limojn de la onta foto
physical-object;['nigra skatolo', 'aviad-registrilo'];Temante pri teknika ekipaĵo de aviadilo
physical-object;['ramo'];Por rompi muron de sieĝata urbo
physical-object;['interreto', 'kiberspaco', 'interreta', 'reto', 'internet', 'interneto', 'interret', 'retumi'];Protocol converter, France: passerelle, Hispane: pasarela, Ruse: шлюз
physical-object;['mamzono'];Vestaĵo por subteni la mamojn per du duonsferaj pecoj.
political-geographic-object;['jerez de la frontera', 'ĥerezo', 'jerezo'];Urbo kaj municipo en aŭtonoma komunumo Andaluzio.
political-geographic-object;['centr-afrika respubliko', 'centrafriko', 'centr-afriko', 'car', 'cf', 'respubliko centrafriko', 'centrafrika respubliko'];Lando en meza Afriko
political-geographic-object;['ekvatora gvineo', 'hispana gvineo', 'ekvator-gvineo', 'ekvatorgvineo', 'gq', 'respubliko ekvatora gvineo', 'gvineo ekvatora'];Lando en Afriko (antaŭe Hispana Gvineo)
political-geographic-object;['komoroj', 'unio de komoroj', 'komora insularo', 'la komoroj'];Landokodo laŭ ISO 3166-1 alfa-2
political-geographic-object;['hispanio', 'hispanujo', 'es', 'reĝlando hispanio', 'españa', 'hispana reĝlando', 'regno de hispanio', 'regno hispanio'];Inter kiuj Puebla de Sanabria (Zamoro), Puebla de Don Fadrique (Granado), La Puebla de Montalbán (Toledo), Puebla del Maestre (Badajoz) aŭ Puebla de Alfindén (Zaragozo).
political-geographic-object;['malio', 'franca sudano', 'malí', 'respubliko malio'];Respubliko en okcidenta Afriko
political-geographic-object;['misurio', 'missouri', 'mo', 'ŝtato misurio', '“montru al mi”-ŝtato'];Pli ofte nomata Misurio.
political-geographic-object;['belgio', 'belgujo', 'belga', 'belgien', 'belgique', 'belgium', 'belgië', 'belgo', 'listo de belgaj provincoj'];Valona regiono, Regiono de Brukselo-ĉefurbo.
political-geographic-object;['trondheim', 'nidaros', 'trondhejmo', 'trondhjem'];Norvegio: Grupo Esperantista en Trondheim.
political-geographic-object;['demokratia respubliko kongo', 'belga kongo', 'kongo belga', 'zairio', 'kongo kinŝasa', 'zaire', 'dr kongo', 'drk', 'demokrata respubliko kongo', 'kongo-kinŝaso', 'belgia kongo', 'demokrata respubliko de kongo', 'demokrata respubliko de la kongo', 'demokratia respubliko de kongo', 'drkongo', 'konga demokrata respubliko', 'kongo', 'la demokratia respubliko kongo'];Konata ankaŭ kiel Kongo Kinŝasa, laŭ la ĉefurbo Kinŝaso. en la pasinteco la lando estis nomita Zairio.
political-geographic-object;['kostariko', 'cr', 'crc', 'respubliko kostariko', 'costa rica', 'kosta-riko'];El kunfluo de Virilla kaj Rio Grande de San Ramón.
political-geographic-object;['gvineo', 'gvineo-konakrio', 'respubliko gvineo', 'guinea', 'gvinea'];Lando en Afriko (antaŭe Franca Gvineo)
political-geographic-object;['germanio', 'germanujo', 'bundesrepublik deutschland', 'deutschland', 'federacia respubliko de germanio', 'germana federacia respubliko', 'germanlando'];Parto de Badenio-Vurtembergo.
political-geographic-object;['venezuelo', 'venezuela', 'bolivara respubliko venezuelo', 've'];Nomiĝas bolivaro (mallonge Bs, kodo ISO 4217 VEB).
political-geographic-object;['barato', 'hindio', 'hindujo', 'bharato', 'hinda unio', 'barata unio', 'ind', 'barata', 'baratano', 'hindia unio', 'hindustana duoninsulo', 'india', 'respubliko barato'];Sep fratinoj (ŝtatoj)
political-geographic-object;['italio', 'italujo', 'itala respubliko', 'it', 'ita', '🇮🇹'];Vidu sub: Sarno (Italio)
political-geographic-object;['ukrainio', 'ukrainujo', 'ukrajno', 'ua', 'ukr', 'ukrainlando', 'ukrajnio', 'ukrajnujo', 'україна'];Legu ĉe Odeso
political-geographic-object;['meksiko', 'esperantigo de mexico', 'esperantigo de méxico', 'estados unidos mexicanos', 'meksika', 'meksikano', 'meksikio', 'meksiklando', 'meksikujo', 'mexico', 'mexiko', 'méxico', 'unuigaj meksikiaj statoj', 'unuiĝintaj meksikaj ŝtatoj'];Bieno de la municipo de Tiahualillo de Zaragoza (Durango).
political-geographic-object;['kongo brazavila', 'respubliko kongo', 'francia kongo', 'kongolo', 'kongo', 'cg', 'kongo-brazavilo', 'resp. kongo', 'konga respubliko', 'kongolo brazavila', 'la respubliko kongo', 'popola respubliko kongo', 'respublika kongo', 'respubliko de kongolo'];Konata ankaŭ kiel Kongo Brazavila, laŭ la ĉefurbo Brazavilo
political-geographic-object;['gvineo-bisaŭo', 'gvineo bisaŭa', 'portugala gvineo', 'gw', 'respubliko gvineo-bisaŭo', 'guiné bissau', 'gvineo-bisauo', 'gvineo-bisaŭa', 'portugalia gvineo'];Lando en Afriko (antaŭe Portugala Gvineo)
political-geographic-object;['geto', 'getto', 'juda setlejo'];Kvartalaĉo de urbo
political-geographic-object;['portoriko', 'puerto-riko', 'porto-riko', 'pr', 'portorika', 'puerto rico', 'puertoriko'];Nomata ankaŭ Río Caraibón
political-geographic-object;['rod-insulo', 'rodinsulo', 'ri', 'ŝtato rod-insulo', 'rhode island'];Subŝtato de Usono
political-geographic-object;['viktorio', 'victoria'];Unu el la ŝtatoj de Aŭstralio
political-geographic-object;['virginio', 'komunumo virginia', 'virĝinio'];La 10a ŝtato de Usono.
political-geographic-object;['utaho', 'la abeluja ŝtato', 'ut', 'ŝtato utaho', 'utah'];Usona subŝtato
political-geographic-object;['zaragozo', 'zaragoza', 'provinco de zaragozo'];Urbo en Hispanio
political-geographic-object;['gizo', 'giza', 'gizeh', 'gizeo'];Urbo en Egiptio
political-geographic-object;['libano', 'libana respubliko', 'lb', 'respubliko libano', 'lebanon', 'libanano', 'libananoj'];La mez-orienta lando.
political-geographic-object;['insulo de princo eduardo', 'insulo princo eduardo', 'pei', 'princ-eduard-insulo', 'insulo princo edvardo', 'princ-eduarda insulo', 'princ-edvard-insulo', 'prince edward island'];Provinco de Kanado
political-geographic-object;['san-paŭlo', 'são paulo'];Plej grava urbo de Brazilo.
political-geographic-object;['lisbono', 'lisabono', 'lisboa'];Verko de Santiago Calatrava: Oriente (Lisbono).
political-geographic-object;['finnlando', 'finlando', 'suomio', 'finnio', 'finnujo', 'suomujo', 'fi', 'respubliko finnlando', 'respubliko suomio', 'finland', 'finnlandano', 'suomi'];Kiu havis la kromnomon glacihomo pro sia trankvilo en kritikaj situacioj.
political-geographic-object;['nov-skotio', 'ns', '', 'alba nuadh', 'nouvelle-écosse', 'nov-skotlando', 'nov-skotujo', 'nova-skotio', 'nova scotia', 'nova scotia)', 'nova skotio', 'novskotio'];Kanado, vidu Halifakso
political-geographic-object;['santiago de ĉilio', 'santiago de chile', 'santiago', 'santjago de ĉilio'];La ĉefurbo de Ĉilio
political-geographic-object;['kopenhago', 'kopenhaga', 'kopenhagen', 'københavn'];Danio. vd. Christiania (civito)
political-geographic-object;['parizo', 'paris', 'federacio de la pariza regiono', 'pariza', 'pariza esperantista grupo', 'parizo:esperanto-movado', 'paříž'];Vidu Évry (Essonne)
political-geographic-object;['portospeno', 'port of spain'];Trinidado kaj Tobago
political-geographic-object;['braziljo', 'brasilia', 'brasília'];La ĉefurbo de Brazilo.
political-geographic-object;['rio-de-ĵanejro', 'rio-de-janejro', 'rio-de-ĵaneiro', 'rio de ĵaneiro', 'rio de ĵanejro'];Urbo en Brazilo.
political-geographic-object;['karaĉio', 'karachi', 'karaĉi', 'karaĉo'];Sindh, Pakistano.
political-geographic-object;['brazilo', 'federacia respubliko brazilo', 'br', 'brasil', 'brazil', 'brazila', 'brazila politikisto', 'brazilaj', 'brazilaj kanzonoj', 'federa respubliko brazilo', 'unuiĝintaj ŝtatoj de brazilo'];Flores da Cunha, Vila Flores, Ilha das Flores kaj Flores do Piauí
region;['tuno', 'gg', 'kt', 'mg', 'megagramo', 't', 'milkilogramo'];Egalas 100 kilogramojn
region;['ampero', 'a', 'kampo'];Aŭ mezurilo kiu mezuras ĉi mezurunuojn
region;['japana eno', 'eno', 'jeno', 'jpy', 'japana jeno'];La monunuo de Japanio
region;['molo', 'molumo'];SI-unuo por iom da kemia substanco aŭ elemento
simple-collection;['cigno', 'cyg', 'cygni'];Latina nomo
simple-collection;['tukano', 'tucana', 'tucanae'];Konstelacio nomita laŭ la birdo
simple-collection;['virgo', 'virginis'];Latine Virgo estas konstelacio de tera ĉielo de la zodiako, inter Leono kaj Pesilo.
simple-collection;['liro', 'lyr', 'lyra', 'lyrae'];Iom simila al la antikva muzikilo, kaj
simple-collection;['korvo', 'crv', 'corvi'];Malgranda suda konstelacio
simple-collection;['leono', '♌', 'leonis'];Sekcio de la nokta ĉielo.
simple-planned-collective;['tribunalo', 'instanco'];Historia institucio de antikva Romio
situation;['ret-komunika protokolo'];Vidu Ret-komunika protokolo
situation;['kontrakto', 'kontraktado'];Laŭ leĝo devigebla en kortumo.
situation;['manĝokarto'];Kartona folio kun tabelo de manĝaĵoj disponeblaj en restoracio kun prezoj indikitaj apude (manĝi laŭ la karto = mendi manĝaĵon listigitan sur tia karto)
situation;['amiotrofa lateralsklerozo', 'charcot-malsano', 'lou-gehrig-malsano'];Mallongigita SLA en la franca.
social-role;['kreditkarto', 'kredit-karto', 'plasta mono'];Plasta karto por pagi el fiksita banka kredito, ordinare uzebla nur kun sekreta alirnumero
socially-constructed-person;['george boole', 'georgo buleo'];Matematikisto, formulinto de bulea algebro.
socially-constructed-person;['otto von bismarck', 'otto von bismark'];Germana politikisto
socially-constructed-person;['winston churchill', 'sir winston churchill'];Brita politikisto
socially-constructed-person;['metisoj', 'métis'];Mestizoj de amerikanoj kaj eŭropanoj.
socially-constructed-person;['john dewey'];Usona filozofo, (1859-1952)
socially-constructed-person;['theodore roosevelt', 'teodoro roosevelt'];Prezidento 1901-1908
socially-constructed-person;['orfo', 'orfeco', 'orfino'];Infano kies patro aŭ patrino mortis
socially-constructed-person;['tubisto', 'plumbisto'];Kies laboro estas instali kaj ripari akvoduktajn aŭ defluajn tubojn, bankuvojn, necesejajn pelvojn ktp.
socially-constructed-person;['caro'];Reĝo en Rusio
socially-constructed-person;['koreoj', 'koreanoj'];Duoninsulo de Azio, politike dividita inter Nord-Koreio kaj Sud-Koreio.
socially-constructed-person;['avo', 'avo aŭ avino', 'avino aŭ avo', 'avino', 'geavoj', 'praavino', 'praavo'];La patro de generinto
socially-constructed-person;['ĝino', 'ĝinno'];Pli malaltranga ol anĝelo, kapabla aperi en homa aŭ besta formo kaj havanta supernaturajn fortojn. Laŭ kelkaj nunaj esploristoj la origino de tiuj legendoj estus vido de restaĵa homeculo.
socially-constructed-person;['john philip sousa'];Usona komponisto (1854-1932)
socially-constructed-person;['jonathan swift', 'j. swift', 'jonatano swift'];Irlanda verkisto
socially-constructed-person;['kecalkoatlo', 'quetzalcōātl'];Majaa dio, la plumoserpento
socially-constructed-person;['mao zedong', 'maŭ zedong', 'mao ce-tung', 'mao ce tung', 'mao tse-tung', 'mao zedung', 'maŭ ze-dong'];Partiestro en Ĉinio (1893-1976)
socially-constructed-person;['sankta petro', 'simono petro', 'san pietro e san paolo', 'sanktulo petro'];Apostolo de Jesuo
socially-constructed-person;['isaac newton', 'isaako neŭtono', 'neŭtono'];Elstara brita matematikisto, fizikisto, kaj sciencisto
socially-constructed-person;['afrodito', 'afrodita'];Diino de helena mitologio
socially-constructed-person;['demono', 'daimono', 'dajmono', 'dajmonoj', 'demonoj'];Preninta formon de viro por sekskuniĝi kun dormanta virino
socially-constructed-person;['hera', 'hero'];Edzino de la olimpa reĝo Zeŭso.
socially-constructed-person;['feo', 'feino'];Fabela estaĵo
socially-constructed-person;['apolono', 'apolonio', 'febo'];Dio de helena mitologio
socially-constructed-person;['judaso iskarioto', 'judaso iskariota'];Apostolo, perfidulo de Jesuo Kristo
socially-constructed-person;['dio', 'dioj', 'diino', 'gedioj'];Laŭ multaj religioj kaj aliaj kredosistemoj, la plej alta supernatura estaĵo aŭ estaĵoj, kiuj kreis aŭ regas la mondon.
socially-constructed-person;['tejo', 'theia', 'orfeo'];Kiu koliziis kun la pra-tero, kiu rezultis en la origino de la luno (vidu ankaŭ: origino de la luno).
socially-constructed-person;['eleanor roosevelt', 'anna eleanor roosevelt'];Edzino de Franklin D. Roosevelt
space-region;['nodo', 'malsuprenira nodo', 'suprenira nodo'];En astronomio, estas ĉiu el la du intersekcoj de ajna orbito kun la ekliptiko (aŭ alia ebeno konvencie antaŭfiksita).
space-region;['ekvatoro', 'ekvatora', 'linio de la ekvatoro'];Vilaĝo de la provinco de Manabí.
spatial-feature;['delta'];Urbo en Brita Kolumbio, Kanado.
spatial-feature;['akvofonto', 'fonto', 'riverfonto'];Loko kie akvo nature eliras el la tero.
spatial-feature;['mauna kea'];Dormanta vulkano de Havajo
spatial-feature;['pobo', 'poŭpo'];Aŭ de ajna veturilo
subject;['matematiko', 'matematikisto'];Akso estas linio, ĉirkaŭ kiu turniĝas korpo.
subject;['fiziko', 'naturfilozofio', 'natura filozofio', 'fizike', 'naturfilozofo'];Tie fizika kampo estas spaco en kiu valoro (skalara, vektora, aŭ tensora) atribuiĝas al ĉiu punkto. Fiziko aldonas la koncepton ke kelkaj kampoj estas apartaj formoj de materio.
taxonomic-collective;['zeo', 'teosinteo', 'zea'];Inter ili ankaŭ de maizo (Zea mays), kiuj devenas el la Centra Ameriko.
taxonomic-collective;['draceno', 'dracaena'];Unu planto genron
taxonomic-collective;['prociono'];Inter kiuj elstaras la nordamerikan Procyon lotor aŭ lav-urso, kaj la sudamerika kraboprociono.
taxonomic-collective;['aix', 'ajkso'];Ekzemple la Mandarenanaso
