abstract-region;['सीमा'];गणित मे, सीमा एगो अईसन मान होखेला जेकर कोनो फलन ओह घड़ी पीछा करेला, जब होकर चर कोनो मान के पीछा करेला।
activity;['चुनाव'];चुनाव चाहे इलेक्शन, आमतौर पर लोकतंत्र के तरीका हवे जेह में जनता अपना प्रतिनिधि के चुने ले। जनरल रूप में ई कौनों ग्रुप भा समूह में निर्णय लेवे के तरीका के रूप में देखल जाला काहें से कि ई हमेशा सरकार भा शासन करे वाला प्रतिनिधि चुने के कामे आवे अइसन बात ना बा बलुक शिक्षा संस्थान से ले के अउरी कई किसिम के संस्था इत्यादि में भी चुनाव होखे लें।
activity;['पहिला बिस्व जुद्ध', 'पहिला बिस्व युद्ध', 'पहिला बिस्वजुद्ध', 'प्रथम विश्व युद्ध', 'प्रथम विश्वयुद्ध'];पहिला बिस्व जुद्ध 28 जुलाई 1914 से 11 नवंबर 1918 ले चलल रहे। ई जुद्ध आज तक के सभसे बड़ जुद्धन मे ले एगो बाटे।
activity;['शिक्षा'];शिक्षा अइसन क्रिया ह जेह में कौनों तरह के ज्ञान, कौशल, नैतिक मूल्य, बिस्वास, आ आदत सिखावे के ब्यवस्था कइल जाला। शिक्षा के माध्यम के रूप में इस्कूली पढ़ाई भर नइखे सामिल, बलुक खीसा-कहनी से ले के चर्चा-परिचर्चा आ बीडियो देखावल भी सामिल हो सके ला। शिक्षा अक्सरहा केहू पढ़ावे सिखावे वाला ब्यक्ति के द्वारा दिहल जाले, जेकरा के शिक्षक कहल जाला. हालाँकि, कुछ लोग बिना केहू शिक्षक के भी सीख सकत बा। शिक्षा औपचारिक आ अनौपचारिक रूप से हो सके ले। मतलब कि ब्यवस्थित तरीका से शिक्षा देवे के मकसद से भी ई काम कइल जा सके आ आ ब्यक्ति अपना अनुभव से भा देख-देख के भी अपने बिचार आ ज्ञान में बदलाव ले आ के शिक्षा हासिल क सके ला।
activity;['मनोरंजन'];मनोरंजन बिबिध प्रकार के आनंद देवे वाला क्रियाकलाप में सामिल होखे के कहल जाला। मनोरंजक क्रियाकलाप में अपना दर्शक या श्रोता सभ के धियान खींचे आ ओह लोग के आनंदित करे के बिसेसता होल। कई प्रकार के साधन बाड़ें जिनहन से लोग के आनंद मिले ला जइसे कि खेलकूद, संगीत, सिनेमा, साहित्य, पर्यटन इत्यादि। मनोरंजन के इतिहास ओतने पुरान बा जेतना मानवता के। मनुष्य आदिम काल से खाली समय या परब-तिहुआर पर बिबिध प्रकार के साधन से आपन मनोरंजन कर रहल बा।
activity;['बर्फबारी', 'बरफबारी'];बर्फबारी एगो मौसमी घटना हवे जेवना में आसमान से बहुत हलका रुई की फाहा नियर बरफ जमीन की सतह पर गिरेले।
activity;['रिसर्च'];रिसर्च कौनों बिसय के डिटेल में अध्ययन हवे, बिसेस रूप से नया जानकारी के खोज करे खातिर चाहे नया किसिम के समझ बिकसित करे खातिर। मने की, रिसर्च ज्ञान के भंडार में बढ़ंती खातिर कइल जाये वाला रचनात्मक आ सिस्टेमेटिक काम हवे, अइसन ज्ञान में आदमिन, संस्कृति आ समाज के बारे में ज्ञान भी शामिल बा, आ एह ज्ञान के भंडार के इस्तेमाल नया किसिम के इस्तेमाल करे लायक चीज सभ के ईजाद करे खातिर कइल जाला। नया एप्लीकेशन सभ में नया उपयोगी चीज, बिचार, सिद्धांत, मेथडोलॉजी चाहे औज़ार बनावल सामिल बा जेकर इस्तेमाल एकेडमिक सवालन के जबाब देवे में हो सके चाहे प्रेटिकल काम सब में इनहन के इस्तेमाल आदमिन के बेहतरी खाती हो सके। एह तरीका से, रिसर्च में नया ज्ञान के खोज भी सामिल बा आ पुराना मौजूद ज्ञान के अइसन नया अउरी रचनात्मक तरीका से इस्तेमाल भी शामिल बा जवना से नया कांसेप्ट, मेथडोलॉजी चाहे समझ बिकसित हो सके।
activity;['फोटोग्राफी'];फोटोग्राफी एगो कला, टेकनीक आ प्रक्रिया हवे जेह में वास्तविक चीज से टकरा के लवटे वाला रोशनी के कौनों फोटोग्राफिक फ़िल्म भा सेंसर के जरिये रिकार्ड कइ के ओह चीज के तस्वीर हासिल कइल जाला। एह में इस्तेमाल होखे वाला यंत्र भा उपकरण कैमरा हवे जे लेंस द्वारा रोशनी के फिलिम चाहे सेंसर पर एकट्ठा करे ला आ केतना देरी ले ई प्रकाश एह सेंसेटिव सतह पर रिकार्ड होखी एहू पर नियंत्रण करे ला।
activity;['नाप'];नाप एगो अईसन अंक होखेला जे की कोनो घटना चाहे बस्तु के दिहल जाला जेकर दोसर घटना चाहे बस्तु से तुलना कईल जा सकेला।
activity;['संचार'];संचार भा कम्यूनिकेशन आपस में सूचना या जानकारी के आदान-प्रदान के कहल जाला। ई एक ठो प्रक्रिया हवे जवना में दू या दू से अधिक लोग भाग लेला आ उद्देश्यपूर्वक संदेश भेजे आ प्राप्त करे ला जवना के आवागमन एगो साझा सिस्टम के अन्दर होला। एह संचार सिस्टम के रचना कुछ निश्चित चीन्हा, संकेत आ संकेतार्थ के नियम पर आधारित होखे ला। संचार में मुख्य स्टेप होलें - संचार के बिसय-सामग्री के निर्धारण, संदेश के रचना, संदेश के एनकोडिंग, संकेत के प्रेषण, संकेत के ग्रहण, संदेश डिकोडिंग, प्राप्तकर्ता द्वारा संदेश के समझल।
activity;['बिजनेस'];बिजनेस, धंधा, कारोबार या उद्द्य्म एक तरह के आर्थिक काम हवे। ई कानूनी रूप से मान्य संस्था हवे जो उपभोक्ता के कौनो उत्पाद या सेवा देवे के लक्ष्य से निर्मित करल जाला। बिजनेस के कम्पनी, इंटरप्राइज या फर्म भी कहल जाला। पूँजीवादी अर्थव्यवस्था में कारोबार के प्रमुख स्थान ह जौन अधिकांशत: निजी हाथ में रहेला औरि लाभ कमाय के ध्येय से काम करल जाला तथा साथ-साथ स्वयं बिजनेस के भी वृद्धि करेला । लेकिन संस्था तथा सरकार द्वारा चलायल जाऐ वाला संस्था प्राय: लाभ के बजाय अन्य उद्देश्य के पूर्ति के लागि बनायल जायेला।
activity;['पर्यटन'];पर्यटन मनोरंजन आ मन बहलाव खातिर कौनों जगह के यात्रा कइला के कहल जाला। धार्मिक पर्यटन के तीर्थ यात्रा कहल जाला जेवन आध्यात्मिक सुख-संतोष खातिर कइल जाला। बिस्व पर्यटक संस्था, पर्यटन के परिभाषा दिहले बा कि " अपने आम निवास अस्थान से बाहर गइल आ उहाँ जाके आराम, बिजनेस या कौनों दूसर उद्देश्य खातिर एक बरिस से कम समय खातिर रुकल" पर्यटन बा।
activity;['कला'];कला आमतौर पर आदमी के ओ सगरी क्रिया के कहल जाला जवना में कल्पना आ कुशलता के इस्तेमाल से कुछ रचना कइल जाव। आमतौर पर कला के परिणाम कलाकृति, कला के समीक्षा होला, साथै साथ सुंदरता के शास्त्रीय विवेचन आ कला की इतिहास के अध्ययन भी कुछ हद तक एह में शामिल होला।
activity;['कार्टोग्राफी', 'मानचित्रकला'];कार्टोग्राफी या मानचित्र विज्ञान या नक्शानवीसी एगो विज्ञान आ कला हवे जेवन नक्शा बनावे की विधि आ तरीका क अध्ययन करेला।
activity;['मौसम'];मौसम कौनो अस्थान पर ओ समय की वायुमण्डल की दशा के बतावेला। वायुमण्डलीय दशा में तापमान, बरखा, हवा में नमी, हवा क चाल आ दिशा इत्यादि चीज के गिनल जाला आ मौसम की बारे में बतावत घरी इनहने क वर्णन कइल जाला।
activity;['चाय'];चाय एगो लोकप्रिय पेय पदार्थ ह। इ चाय के पौधवन के पत्तियन से बनेला।
activity;['शिक्षा'];शिक्षा अइसन क्रिया ह जेह में कौनों तरह के ज्ञान, कौशल, नैतिक मूल्य, बिस्वास, आ आदत सिखावे के ब्यवस्था कइल जाला। शिक्षा के माध्यम के रूप में इस्कूली पढ़ाई भर नइखे सामिल, बलुक खीसा-कहनी से ले के चर्चा-परिचर्चा आ बीडियो देखावल भी सामिल हो सके ला। शिक्षा अक्सरहा केहू पढ़ावे सिखावे वाला ब्यक्ति के द्वारा दिहल जाले, जेकरा के शिक्षक कहल जाला. हालाँकि, कुछ लोग बिना केहू शिक्षक के भी सीख सकत बा। शिक्षा औपचारिक आ अनौपचारिक रूप से हो सके ले। मतलब कि ब्यवस्थित तरीका से शिक्षा देवे के मकसद से भी ई काम कइल जा सके आ आ ब्यक्ति अपना अनुभव से भा देख-देख के भी अपने बिचार आ ज्ञान में बदलाव ले आ के शिक्षा हासिल क सके ला।
activity;['फ्रांसीसी क्रांति', 'french revolution', 'फ़्रांसीसी क्रांति', 'फ़्रान्सीसी क्रान्ति', 'फ़्रेंच रिवोल्यूशन', 'फ्रान्सीसी क्रान्ति'];फ्रांसीसी क्रांति सन् 1789 से 1799 के दौर रहल जवना समय में फ़्रांस में बहुत बड़ा पैमाना पर सामाजिक आ राजनीतिक बदलाव आ उठापटक भइल। एकरे बाद फ़्रांस में राजशाही के अंत हो गइल आ रिपब्लिक सरकार बनल आ अंत में एह दौर के समापन नेपोलियन द्वारा डिक्टेटरशिप में भइल। एकरा के फ़्रांस, यूरोप आ पुरा दुनिया के इतिहास के एगो बहुत महत्वपूर्ण घटना के रूप में देखल जाला। फ्रांस के क्रांति के कारन जटिल बाड़ऽसन आ इतिहासकार लोग आजो हेकरा प बहस करेलन। सात बरिस के जुद्ध आ अमेरीकी क्रांति जुद्ध के ओरईला प फ्राँस सरकार करज मे बुड़ल रहे। परिस्तिथी नीमन करे बदे सरकार कर बढ़ाई दिहलस। history of internet == इहो देखल जाय == फ्रांस के इतिहास यूरोप के इतिहास ब्रिटिश क्रांति अमेरिकी क्रांति रूसी क्रांति == संदर्भ == == बाहरी कड़ी == Primary source documents from The Internet Modern History Sourcebook.
activity;['डाक', 'पोस्ट', 'मेल'];डाक, मेल या पोस्ट कौनों कागज-पत्तर या छोट-मोट सामन के एक जगह से दुसरा जगह भेजे के ब्यवस्था हवे। आमतौर पर ई चिट्ठी भेजे खातिर जानल जाला बाकी एह सिस्टम में पार्सल से सामान आ मनीआडर से रूपया भी भेजल जाला। मेल या डाक के प्रकार एकरी ले जाए वाला साधन की आधार पर कइल बाँटल जाला जइसे हवाई जहाज से एयरमेल या रेलगाडी से रेल डाक।
activity;['बुनी', 'बरखा'];बुनी एगो मौसम से संबंधित घटना हवे जेवना मे पानी आकाश से भुञ प गिरेला। ई वर्षण क एगो रूप हवे जेवना में पानी द्रव की रूप में नीचे गिरेला। बुन्नी की आकार की हिसाब से बरखा के फँकारी, झींसी, झींसा, बुन्नी कहल जाला। जमीन आ समुन्द्र से भाप बन के उड़े वाला पानी आसमान में ऊपर जा के संघनन की कारण बहुत छोट-छोट बुन्नी आ बरफ में बदल जाला जेवना से बादर बनेला। जब आपस में मिल के ई बुन्नी बड़ होजाली तब पृथ्वी की गुरुत्वाकर्षण से खिंचा के जमीन की ओर गिरे लागेली जेवना के बरखा कहल जाला।
agentive-figure;['ट्रोल'];ट्रोल यूरोपियन कथा सभ में एगो जीव हवें जे छोट-छोट परिवार में जंगल बीराना में रहे लें आ मनुष्य खाती सायदे कभी कामे आवे लें। अक्सरहा ट्रोल सभ के कल्पना बिसाल सरीर वाला, मंद बुद्धी आ खराब शकल-सूरत वाला जीव के रूप में कइल जाला जे लगभग मनुष्य नियर या बिलकुल मनुष्य नियर होखे लें।
agentive-figure;['ड्रैगन'];ड्रैगन या हिन्दी अउरी उर्दू में अज़दहा एगो काल्पनिक जीव हवे जेवना के बिसाल आकार के सर्प नियर मानल जाला जेवना के पाँखि होला आ ऊ उड़ सकेला आ मुँह से आगि उगिलेला। ई कथा-जीव कई संस्कृतिन में कहानी, चित्रकारी आ आधुनिक ज़माना में फिलिम इत्यादि में बतावल या देखावल गइल बाटे। मूल रूप से सभसे प्रचलित रूप दू तरह के बा जे यूरोपीय कल्पना आ पूरबी एशिया की लोगन के कल्पना पर आधारित होखे ला।
agentive-figure;['एकल परिवार'];एकल परिवार अइसन परिवार होला जेह में महतारी-बाप आ उनहन लोग के संतान भ्रष्टाचार शामिल होखे। ई संजुक्त परिवार, जेह में कई पीढ़ी एक्के साथ रहे ले, से अलग होला। अमेरिकी संस्कृति में अइसन परिवार के बहुतायत बा जबकि भारतीय उपमहादीप के अंदर एकर बिस्तार बढ़ रहल बा।
agentive-figure;['संजुक्त परिवार'];संजुक्त परिवार के माने हवे, अइसन परिवार जेह में एकही साथे तीन भा तीन से ढेर पीढ़ी के लोग एक साथ रह रहल होखे। एकरा के ज्वाइंट फेमिली भा एक्सटेंडेड फेमिली भी कहल जाला। ई एकल परिवार से बड़हन होला आ परिवार में सदस्य लोग के संख्या भी ज्यादा होले। एकरे गुण के रूप में गिनावल जाला की संजुक्त परिवार में पले वाला लड़िका सभ संकुचित माहौल में ना रहे लें आ आपसी एकता के भावना मजबूत होले।
agentive-figure;['भारत में शिक्षा'];भारत में शिक्षा सरकारी आ प्राइवेट दुनों तरह के बिद्यालय आ संस्थान सभ द्वारा उपलब्ध करावल जाले, जहाँ नियामक आ फंडिंग करे वाला के रूप में केंद्र सरकार, राज्य सरकार आ लोकल स्वशासन तीनों के भूमिका बा। भारतीय संबिधान के प्राबिधान के अनुसार भारत में सुरुआती शिक्षा पावे के मौलिक अधिकार घोषित कइल गइल बा आ 6 से 14 साल के उमिर के बच्चन सभ के मुफ्त में आ अनिवार्य शिक्षा के बिधान बाटे। सरकारी आ प्राइवेट संस्था सभ के बिचा में 7:5 के अनुपात बा।
agentive-figure;['शैव मत', 'शैव', 'शैव संप्रदाय'];शैव मत, शैव पंथ भा शैव संप्रदाय हिंदू धर्म के एगो प्रमुख शाखा हवे। एह मत के माने वाला लोग शिव के सभसे बड़ देवता या फिर साक्षात ब्रह्म के स्वरुप माने ला। एह मत के माने वाला लोग के शैव कहल जाला। हिंदू धर्म के बाकी परंपरा सभ नियर, शैव परंपरा के भी कई शाखा-उपशाखा मौजूद बाड़ी जेह में शैव सिद्धांत रुपी द्वैतवादी धार्मिक बिचार से ले के योग से परभावित एकात्मवादी परंपरा ले मौजूद बा। एह संप्रदाय के परभाव क्षेत्र भी पूरा भारत में बिस्तार लिहले बा आ काश्मीर से ले के सुदूर दक्खिन भारत ले एह मत के चलन बाटे। शैव मत के माने वाला लोग वेद आ आगम ग्रंथ सभ के धर्मशास्त्र के प्रमुख स्रोत के रूप में अंकार करे ला।
