activity;['òfin mẹ́wàá'];Ofin mewa
temporal-region;['14 april', '14 oṣù kẹrin', 'april 14', 'ọjọ́ 14 oṣù kẹrin'];Ọjọ́ọdún
temporal-region;['24 october', '24 oṣù kẹ̀wá', 'october 24', 'ọjọ́ 24 oṣù kẹ̀wá'];Ọjọ́ọdún
temporal-region;['12 october', '12 oṣù kẹ̀wá', 'october 12', 'ọjọ́ 12 oṣù kẹ̀wá'];Ọjọ́ọdún
temporal-region;['4 july', '4 oṣù keje', 'july 4', 'oṣù keje 4', 'ọjọ́ 4 oṣù keje'];Ọjọ́ọdún
temporal-region;['24 may', '24 oṣù kàrún', 'may 24', 'ọjọ́ 24 oṣù kàrún'];Ọjọ́ọdún
temporal-region;['17 september', '17 oṣù kẹ̀sán', 'september 17', 'ọjọ́ 17 oṣù kẹ̀sán'];Ọjọ́ọdún
temporal-region;['1 august', '1 oṣù kẹjọ', 'august 1', 'ọjọ́ 1 oṣù kẹjọ'];Ọjọ́ọdún
temporal-region;['14 june', '14 oṣù kẹfà', 'june 14', 'ọjọ́ 14 oṣù kẹfà'];Ọjọ́ọdún
temporal-region;['29 june', '29 oṣù kẹfà', 'june 29', 'ọjọ́ 29 oṣù kẹfà'];Ọjọ́ọdún
temporal-region;['29 september', '29 oṣù kẹ̀sán', 'september 29', 'ọjọ́ 29 oṣù kẹ̀sán'];Ọjọ́ọdún
temporal-region;['21 june', '21 oṣù kẹfà', 'june 21', 'ọjọ́ 21 oṣù kẹfà'];Ọjọ́ọdún
temporal-region;['1 may', '1 oṣù kàrún', 'may 1', 'ọjọ́ 1 oṣù kàrún'];Ọjọ́ọdún
temporal-region;['2 march', '2 oṣù kẹta', 'march 2', 'ọjọ́ 2 oṣù kẹta'];Ọjọ́ọdún
temporal-region;['29 february', '29 oṣù kejì', 'february 29', 'ọjọ́ 29 oṣù kejì'];Ọjọ́ọdún
temporal-region;['23 june', '23 oṣù kẹfà', 'june 23', 'ọjọ́ 23 oṣù kẹfà'];Ọjọ́ọdún
temporal-region;['oṣù kínní 6', '6 january', '6 oṣù kínní', 'january 6', 'ọjọ́ 6 oṣù kínní'];Ọjọ́ọdún
