abstract-quality;['ідэнтычнасьць'];Ідэнты́чнасьць — самавызначэньне асобы, індывіда, асэнсаваньне свайго месца ў прасторы і часе.
activity;['грамадзянская вайна'];Грамадзя́нская вайна́ — вайна паміж арганізаванымі групамі ў межах адной дзяржавы, ці, радзей, паміж дзьвюма нацыямі, якія ўваходзілі ў склад раней адзінай аб’яднанай дзяржавы.
activity;['карэйская вайна', 'вайна ў карэі'];Карэ́йская вайна́, Вайна ў Карэ́і — баявыя дзеяньні на Карэйскім паўвостраве ў 1950—1953 роках паміж узброенымі сіламі КНДР пры падтрымцы СССР і КНР з аднаго боку, і войскамі Паўднёвай Карэі пры падтрымцы ЗША і амэрыканскіх хаўрусьнікаў пад эгідай Савету Бясьпекі ААН з другога.
activity;['другая сусьветная вайна', 'ii сусьветная вайна'];Друга́я сусьве́тная вайна́ — найвялікшы й найкровапралітнейшы канфлікт у гісторыі чалавецтва.
activity;['першая сусьветная вайна', '1-я сусьветная вайна', '1 сусьветная вайна', 'i сусьветная вайна'];Першая сусьветная вайна — вайна 1914—1918 гадоў між Антантай (Вялікабрытанія, Францыя, Расея, Сэрбія, Японія, Італія (з 1915 г.), ЗША) і Цэнтральнымі дзяржавамі (Аўстра-Вугоршчына, Нямеччына ды Турэччына і Баўгарыя), у якой удзельнічалі 38 з 59 існых на той час незалежных дзяржаваў з усяго сьвету.
activity;['вайна ў пэрсыдзкім заліве', 'бура ў пустыні', 'бура ў пустэльні'];Апэрацыя Бу́ра ў пустэ́льні (вайна ў Пэрсыдзкім заліве, «Вайна ў заліве», анг.
activity;['пост'];Пост — у многіх рэлігіях устрыманьне на пэўны пэрыяд ад прыняцьця ўсякай ежы або асобных яе відаў. адзін з важных сродкаў царкоўнай рэглямэнтацыі жыцьця вернікаў, паглыбленьня іх рэлігійнасьці.
activity;['мабілізацыя'];Мабілізацыя — комплекс мерапрыемстваў, накіраваных на перавод узброеных сіл і дзяржаўнай інфраструктуры на ваеннае становішча.
activity;['тайнапіс', 'стэганаграфія'];Тайнапіс — гэта мастацтва і навука напісаньня таемных паведамленьняў так, што ніхто не падазрае пра існаваньне паведамленьня, апрача аўтара і адрасата. іншымі словамі — гэта форма бясьпекі празь безьвесьць.
activity;['укіданьне мяча', 'футбол:правіла 15:укіданьне мяча'];Правіла 15 футбольных правілаў рэглямэнтуе ўкіданьне мяча, які выйшаў за бакавую лінію поля.
activity;['адукацыя', 'асьвета'];Адукацыя
activity;['шавінізм', 'рашызм'];Шавіні́зм (франц.
activity;['міжнародныя адносіны', 'міжнародныя дачыненьні', 'міжнародныя зносіны', 'міжнародныя стасункі'];Міжнародныя адносіны — сукупнасьць эканамічных, палітычных, прававых, ідэалягічных, дыпляматычных, ваенных, культурных і іншых сувязяў і ўзаемаадносінаў паміж суб’ектамі, дзеючымі на сусьветнай арэне.
activity;['наратыў'];Нараты́ў — панятак філязофіі постмадэрну, які фіксуе працэсуальную прыроду самаадбываньня тэксту.
activity;['спорт'];Спорт (па-ангельску: sport, скарачэньне ад першапачатковага анг.
activity;['сэрцава-лёгачная рэанімацыя'];Сэрцава-лёгачная рэанімацыя — сыстэма мерапрыемстваў, накіраваных на аднаўленьне жыцьцядзейнасьці арганізма і вывядзеньне яго з стану клінічнай сьмерці.
activity;['бартэр'];Мена (па-ангельску: Barter — тавараабмен) — дамова абмену маёмасьці (тавар, паслуга) між бакамі без выкарыстаньня грошай.
activity;['абрад', 'рытуал'];Абрад — спалучэньне строга вызначаных чыннасьцяў, слоўных выразаў і рухаў цела, абумоўленае пэўным вераваньнем.
activity;['апраксымацыя', 'набліжэньне'];Апраксымацыя або набліжэньне — навуковы мэтад, які палягае ў замене адных аб’ектаў іншымі, якія так ці іначай сэнсава блізкія да першапачатковых, але зьўяляюцца больш простымі.
activity;['дэвальвацыя'];Дэвальва́цыя — зьніжэньне залатога зьместу грашовай адзінкі ва ўмовах залатога стандарту.
activity;['фэстываль', 'festival', 'фэст'];Фэстыва́ль
activity;['більярд'];Більярд — абагульняльная назва некалькіх настольных гульняў з падобнымі, характэрнымі правіламі.
activity;['баявыя мастацтвы'];Баявыя мастацтвы — розныя сыстэмы адзінаборстваў і самаабароны рознага, часьцяком, усходнеазіяцкага паходжаньня, якія разьвіваліся галоўным чынам як сродкі вядзеньня рукапашнага паядынку.
activity;['крыжовыя паходы'];Крыжо́выя пахо́ды — агульная назва ваенна-палітычных кампаніяў, якія праводзіліся заходнеэўрапейскімі фэадаламі ў XI—XV стагодзьдзях пад рэлігійнымі лёзунгамі з санкцыі папскага прэстолу.
activity;['покер', 'póker'];Покер (па-ангельску: poker) — картачная гульня, мэта якой — выйграць стаўкі, сабраўшы як мага больш высокую покерную камбінацыю, выкарыстоўваючы 4 (стары клясычны варыянт), ці 5 карт, ці вымусіўшы ўсіх супраціўнікаў спыніць удзельнічаць у гульні.
activity;['нэўрахірургія'];Нэўрахірургія — разьдзел хірургіі, які займаецца пытаньнямі апэратыўнага лячэньня захворваньняў нэрвовай сыстэмы.
activity;['гравюра', 'гравёр', 'рыціна'];Гравю́ра (па-расейску: гравюра ад франц.
activity;['бітва пры капарэце', 'бітва пад капарэта'];Бітва пры Капарэце, таксама дванаццатая бітва пры Ізонцы — шырокамаштабны наступ аўстра-нямецкіх войскаў на пазыцыі Каралеўскай італьянскай арміі ў ваколіцах італьянскага гораду Капарэта ў ходзе Першай сусьветнай вайны.
activity;['жывёлагадоўля'];Жывёлагадоўля — галіна сельскай гаспадаркі, якая займаецца разьвядзеньнем сельскагаспадарчых жывёлаў для вытворчасьці жывёлагадоўчых прадуктаў, забясьпечвае насельніцтва прадуктамі харчаваньня (малочныя прадукты, мяса, яйкі, мёд і інш.), лёгкую і харчовую прамысловасьць сыравінай (скура, воўна, мяса, малако і інш.), дае жывую цяглавую сілу (коні, валы, аслы, мулы, вярблюды, алені і інш.), асобныя кормы (касьцявая мука і інш.), лекавыя сродкі (гармоны, сывараткі) і арганічныя ўгнаеньні.
activity;['нацыяналізацыя'];Нацыяналізацыя — перадача ва ўласнасьць дзяржавы зямлі, прамысловых прадпрыемстваў, банкаў, транспарту або іншай маёмасьці, што належыць прыватным асобам або акцыянэрным таварыствам.
activity;['рыфма'];Ры́фма (па-старажытнагрэцку: ῥυθμός — суразьмернасьць) — паўтаральная сугучнасьць асобных словаў ці іх частак на адных і тых жа месцах у вершаваных радках.
activity;['кампутарнае праграмаваньне', 'праграмаваньне'];Кампу́тарнае праграмава́ньне — працэс распрацоўкі праграмнага забесьпячэньня для праграмуемых прыладаў.
activity;['ткацтва'];Ткацтва — вытворчасьць тканіны на ткацкіх станках, адно з найстаражытнейшых чалавечых рамёстваў.
activity;['крывячышчаньне', 'гемадыяліз'];Крывячы́шчаньне, таксама крывяцэ́джаньне або гемадыяліз (ад грэц.
activity;['расізм'];Расі́зм — сукупнасьць вучэньняў, у аснове якіх ляжаць палажэньні аб фізычнай і псыхічнай непаўнавартасьці чалавечых расаў і вырашаючым уплывам расавых адрозьненьняў на гісторыю і культуру грамадзтва.
activity;['сэксізм'];Сэксі́зм (з ангельскай мовы, sex – пол) – перакананьне аб біялягічнай, інтэлектуальнай, маральнай ці ўсталяванай Богам перавазе аднаго полу над іншым, ці перакананьне аб існаваньні іншых прычын, паводле якіх адзін пол мае перавагу над іншым. дыскрымінацыя людзей, заснаваная на гэтых перакананьнях.
activity;['вышэйшая адукацыя'];Вышэйшая адукацыя — верхні ўзровень прафэсійнай адукацыі, наступны пасьля сярэдняй агульнай ці сярэдняй прафэсійнай адукацыі ў трохузроўневай сыстэме.
activity;['ангельская рэвалюцыя', 'ангельская грамадзянская вайна', 'грамадзянская вайна ў ангельшчыне'];Ангельская рэвалюцыя XVII стагодзьдзя (Ангельская грамадзянская вайна. анг.
activity;['цяжкая атлетыка'];Цяжкая атлетыка — хуткасна-сілавы від спорту, у аснове якога ляжыць выкананьне практыкаваньняў па падыманьні штангі над галавой.
activity;['бокс'];Бокс (ад анг.
activity;['допыт'];Допыт — працэсуальнае дзеяньне, якое складаецца ў атрыманьні і фіксацыі ва ўстаноўленым парадку паказаньняў сьведкі, пацярпелага, які падазраецца адносна абставінаў, якія маюць адносіны да падзеі.
activity;['маглеў'];Магнітаплян або Маглеў (па-ангельску: magnetic levitation) — гэта цягнік на магнітным падвесе, рухомы і кіраваны магнітнымі сіламі.
activity;['хакей', 'хакей на траве'];Хакей на траве — летні алімпійскі від спорту.
activity;['хакей', 'хакей на траве'];Хаке́й (па-ангельску: hockey, магчыма, ад францускага hoquet — пастуховы кій з круком) — гэта сямейства відаў спорту, у якім дзьве каманды стараюцца патрапіць цьвёрдым, круглым мячом або шайбай ў браму праціўніка з дапамогай клюшак.
activity;['фігурнае катаньне'];Фігу́рнае ката́ньне — канькабежны від спорту, які адносіцца да складанакаардынацыйных відаў спорту.
activity;['дрогеда', 'drogheda'];Дрогеда (па-ірляндзку: Droichead Átha) — горад на ўсходзе Ірляндыі.
activity;['масаж'];Маса́ж
activity;['паншчына'];Паншчына (па-лацінску: angaria, па-нямецку: Frone або Frondienst, па-француску: сorvee, па-польску: panszczyzna) — тэрмін, які азначае павіннасьць, якая адпрацоўваецца прыгоннымі і часова абавязанымі земляробамі ў карысьць землеўладальніка, у асноўным за падаваньне ў іх карыстаньне часткі зямлі апошняга, што складаецца ў дармовай абавязковай, пераважна сельскагаспадарчага характару, працы.
activity;['кантрацэпцыя'];Кантрацэпцыя (ад новалац.
activity;['аквафортэ', 'афорт'];А́квафо́ртэ, тое ж, што і афорт — разнавіднасьць гравюры па мэтале.
activity;['эміграцыя'];Эмігра́цыя
activity;['рэгтайм', 'ragtime'];Рэгтайм (ragtime) — жанр амэрыканскай музыкі, асабліва папулярны з 1900 па 1918 год.
activity;['барадзінская бітва'];Барадзі́нская бі́тва была першай вырашальнай бітвай Напалеона ў паходзе на Расею.
activity;['рэнтгенаўскае выпраменьваньне', 'x-выпраменьваньне', 'x-промні'];Рэнтгенаўскае выпраменьваньне — адзін зь відаў электрамагнітнага выпраменьваньня.
activity;['лятарэя'];Лятарэ́я — папулярная форма азартнай гульні, у якой разыгрываюцца разнастайныя прызы.
activity;['марадэрства'];Марадэрства — незаконнае прысваеньне чужой маёмасьці ў атмасфэры беспакаранасьці, звычайна ў надзвычайных сытуацыях, як то падчас прыродных катастрофаў або баявых дзеяньняў.
activity;['таксаномія'];Таксаномія (ад па-старажытнагрэцку: τάξις — лад, парадак ды νόμος — закон) — разьдзел біялёгіі, які займаецца клясыфікацыяй ды сыстэматызацыяй (напрыклад, відаў жывых арганізмаў).
activity;['сьнег', 'снег'];Сьнег — атмасфэрны ападак крышталікаў лёду ў выглядзе шасьцікутных зорак, злучаных у шматкі сьнегу.
activity;['град'];Град — ападак, які бывае ў цёплую пару году з магутных кублавата-дажджавых воблакаў у выглядзе крупінак цьвёрдага льда розных памераў.
activity;['сьмяротная кара', 'сьмяротнае пакараньне'];Сьмяро́тная ка́ра — дазволенае законам пазбаўленьне чалавека жыцьця ў якасьці пакараньня за злачынства, звычайна за асабліва цяжкае.
activity;['электракардыяграфія'];Электракардыяграфія — мэтодыка рэгістрацыі і дасьледаваньня электрычных палёў, якія ўтвараюцца пры працы сэрца.
activity;['панк-рок'];Панк-рок — жанр рок-музыкі, які ўзьнік у сярэдзіне 1970-х гадоў у ЗША й Вялікабрытаніі, у якім спалучаліся сацыяльны пратэст і музычнае непрыйманьне тагачасных формаў рока: спэцыяльна прымітыўная гульня й весялосьць раньняга рок-н-ролу.
activity;['ваенныя дзеяньні', 'ваенная кампанія', 'вайсковая кампанія', 'вайсковыя дзеяньні', 'форма ваенных дзеяньняў'];Ваенныя дзеяньні — арганізаванае выкарыстаньне сіл і сродкаў дзеля выкананьня пастаўленых баявых задачаў часткамі, злучэньнямі, аб’яднаньнямі ўсіх відаў узброеных сіл.
