activity;['κάλαντα χριστουγέννων'];Τα κάλαντα τη Χριστουγεννίων είν' ευχητικά τραγωδίας ντο ψάλκουνταν κάθαν χρόνον, σην παραμονήν τη Χριστουγεννίων.
locative-role;['χάρκοβο'];Η Χάρκοβο εν πολιτεία σην Ουκρανίαν.
locative-role;['αδριανούπολιη'];Το Αδριανοπούλιη εν τουρκικόη πολιτείαν κι ευριοκάται σον Πόντος, Ελλάδα και τι Βουλγαρία.
locative-role;['σεβαστούπολη'];Η Σεβαστούπολη εν πολιτεία σην Ρουσίαν.
locative-role;['μασσαλία'];Η Μασσαλία εν πολιτεία σην Γαλλίαν.
locative-role;['νίκαια', 'νις'];Η Νις εν πολιτεία σην Γαλλίαν.
locative-role;['φουκουόκα', 'fukuoka'];Η Φουκουόκα εν πολιτεία σην Ιαπωνίαν.
locative-role;['αγία πετρούπολη'];Η Αγία Πετρούπολη εν πολιτεία σην Ρουσίαν.
locative-role;['μονακό'];Το Μονακό εν κράτος σην δυτικήν Ευρώπην.
locative-role;['ρωμανίαν'];Ρωμανίαν (τ'επίσημον τ'όνομαν έτον: Βασιλεία τῶν Ῥωμαίων, οσήμερον λέγν'ατέν οι ιστοριογράφ' Βυζαντινόν Αυτοκρατορία ή Βυζάντιον μαναχόν) έτον τ' όνομαν είνος αυτοκρατορίας ντο είςεν πρωτεύουσαν την Κωνσταντινούπολην.
locative-role;['βαϊμάρη', 'weimar', 'βαϊµάρη'];Η Βαϊμάρη (σα γερμανικά: Weimar) εν πολιτείαν σο κέντρον τη Γερμανίας, σο κρατίδιον τη Θουριγγίας.
locative-role;['σερβία', 'србија'];Η Δημοκρατίαν τη Σερβίας (σα σέρβικα: Република Србија) εν κράτος ντο ευρίεται σο Βαλκανικόν τη χερσόνησον, σα νοτιοανατολικά τη Ευρώπης.
locative-role;['λιθουανία'];Η Λιθουανία εν κράτος σο βορειάν τ' Ευρώπης.
locative-role;['γιάλτα', 'jalta'];Η Γιάλτα εν πολιτεία σην Ουκρανίαν.
locative-role;['ροστόφ επί του ντον'];Η Ροστόφ επί του Ντον εν πολιτεία σην Ρουσίαν.
locative-role;['ντονέτσκ'];Η Ντονέτσκ εν πολιτεία σην Ουκρανίαν.
locative-role;['αρκτικήν'];Η Αρκτικήν εν πόλος, κεν ήπειρος.
non-physical-collection;['λεχτικόν'];Λεχτικόν εν σύνολον λεξίων μίας λαλίας.
physical-body;['φέγγος'];Ο Φέγγος εν ο μόνον φυσικόν σατελίτες τη Γης κι ο πέμπτον τρανόν τ' ηλεϊκού τη συστεματίεμουν.
physical-object;['κεντρικόν μονάδα επεξεργασίας', 'cpu', 'κμε'];Το Κεντρικόν η μονάδα επεξεργασίας - ΚΜΕ (αγγλ.
physical-object;['αραπάν'];Αραπάν εν τροχοφόρον όχημαν με μηχανήν.
physical-object;['λύρα', 'liră'];Η λύρα εν έγχορδον όργανον.
political-geographic-object;['ρουμανία'];Η Ρουμανία (σα ρουμάνικα România) εν κράτος σην ανατολήν Ευρώπην.
political-geographic-object;['θεσσαλονίκη'];Η Θεσσαλονίκην γιόξαμ Σαλονίκ΄ εν πολιτείαν ντο ευρίεται 'ς σην Ελλάδαν και εχ’ τρανόν ιστορίαν.
political-geographic-object;['χάρκοβο'];Η Χάρκοβο εν πολιτεία σην Ουκρανίαν.
political-geographic-object;['αδριανούπολιη'];Το Αδριανοπούλιη εν τουρκικόη πολιτείαν κι ευριοκάται σον Πόντος, Ελλάδα και τι Βουλγαρία.
political-geographic-object;['σεβαστούπολη'];Η Σεβαστούπολη εν πολιτεία σην Ρουσίαν.
political-geographic-object;['μασσαλία'];Η Μασσαλία εν πολιτεία σην Γαλλίαν.
political-geographic-object;['νίκαια', 'νις'];Η Νις εν πολιτεία σην Γαλλίαν.
political-geographic-object;['φουκουόκα', 'fukuoka'];Η Φουκουόκα εν πολιτεία σην Ιαπωνίαν.
political-geographic-object;['αγία πετρούπολη'];Η Αγία Πετρούπολη εν πολιτεία σην Ρουσίαν.
political-geographic-object;['νορβηγία', 'noreg', 'norge'];Το Βασίλειο τη Νορβηγίας εν κράτος ντο ευρίεται σα βόρεια τη Ευρώπης και σα δυτικά τη Σκανδιναβικού Χερσόνησου.
political-geographic-object;['ολλανδία'];Η Ολλανδία εν τ' ιστορικόν τ' όνεμαν ασό Βασίλειον ασ' Αφκά τα Χώρας (σα ολλανδικά: Koninkrijk der Nederlanden) κι εν κράτος ση δύσαν τ' Ευρώπης.
political-geographic-object;['ιαπωνία'];H Ιαπωνία εν κράτος ντο ευρίεται σα βόρεια τη Ασίαν.
political-geographic-object;['μονακό'];Το Μονακό εν κράτος σην δυτικήν Ευρώπην.
political-geographic-object;['ελβετία', 'ch'];Η Ελβετίαν, (τ' επίσημον τ' όνεμα εν Ελβετικόν Συνομοσπονδίαν (σα γερμανικά: Schweizerische Eidgenossenschaft, σα γαλλικά: Confédération suisse, σα ιταλικά Confederazione Svizzera, σα ραιτορομανικά: Confederaziun svizra) είναι κράτος σο κέντρον τη Ευρώπης.
political-geographic-object;['βαϊμάρη', 'weimar', 'βαϊµάρη'];Η Βαϊμάρη (σα γερμανικά: Weimar) εν πολιτείαν σο κέντρον τη Γερμανίας, σο κρατίδιον τη Θουριγγίας.
political-geographic-object;['λουξεμβούργο', 'λουξεμβούργον'];Το Λουξεμβούργον (σα λουξεμβουργιανά Groussherzogtum Lëtzebuerg) εν κράτος σην δυτικήν Ευρώπην.
political-geographic-object;['ηνωμένο βασίλειο'];Το Ηνωμένο Βασίλειον κράτος εν σα βορειοδυτικά τη Ευρώπης.
political-geographic-object;['ισπανία'];Το Βασίλειον τη Ισπανίας (σα ισπανικά Reino de España, σα καταλωνικά Regne d'Espanya, σα γαλικιανικά Reino de España, σα βασκικά Espainiako Erresuma) είναι κράτος σα δυτικά τη Ευρώπης, σ' Ιβηρικόν τη χερσόνησον.
political-geographic-object;['λευκορουσία'];Η Λευκορουσίαν εν κράτος σην ανατολήν Ευρώπην.
political-geographic-object;['αζερμπαϊτζάν'];Το Αζερμπαϊτζάν (σα αζερ.
political-geographic-object;['καζακστάν'];Το Καζακστάν ατς μίαν χώραν τση Κεντρικήν Ασίαν.
political-geographic-object;['βέλγιον'];Το Βασίλειον τη Βελγί (σα γαλλικά: Royaume de Belgique, σα ολλανδικά: Koninkrijk België, σα γερμανικά: Königreich Belgien) εν κράτος ση δύσαν τ' Ευρώπης.
political-geographic-object;['αυστρία'];Η Δημοκρατίαν τη Αυστρίας (σα γερμανικά: Republik Österreich) εν κράτος σο κέντρον τη Ευρώπης.
political-geographic-object;['αυστραλία'];Η Αυστραλία (σα εγγλέζικα: Australia) είναι ωκεανικόν κράτος σο νότιον τον Ειρηνικόν τον ωκεανόν.
political-geographic-object;['γρουζία', 'γεωργία'];Η Γρουζίαν (γρούζ.
political-geographic-object;['ουγγαρία'];Η Δημοκρατίαν τη Ουγγαρίας (σα ουγγρικά: Magyar Köztársaság) είναι κράτος σ' ανατολικά τ' Ευρώπης.
political-geographic-object;['πολωνία'];Η Δημοκρατίαν τη Πολωνίας (σα πολωνικά Rzeczpospolita Polska) είναι κράτος σην ανατολήν τη Ευρώπης.
political-geographic-object;['βιετνάμ'];Το Βιετνάμ, σα βιετναμικά Cộng hòa xã hội chủ nghĩa Việt Nam, εν ασιατικόν κράτος.
political-geographic-object;['γερμανία'];Το Ομοσπονδιακόν η Δημοκρατίαν τη Γερμανίας (σα γερμανικά: Bundesrepublik Deutschland) εν κράτος σο κέντρον τη Ευρώπης.
political-geographic-object;['αίγυπτος'];Η Αίγυπτος (λένατον πα κι Αίγυπτον), σ'αραβικά مصر - Miṣr, εν αφρικανικόν κράτος ση νότιαν τη Μεσόγειον την θάλασσαν.
political-geographic-object;['ιταλία'];Η Ιταλία, (σα ιταλικά: Italia, τ' επίσημον τ' όνεμα εν Repubblica Italiana) είναι κράτος σο νότον τη Ευρώπης.
political-geographic-object;['χιλε', 'χιλή'];Η Χιλή είναι μια χώρα της Αμερικής βρίσκεται στο νοτιοδυτικό άκρο της Νότιας Αμερικής.
political-geographic-object;['ελλάδα'];Η Ελλάδα κράτος εν σα νοτιοανατολικά τη Ευρώπης.
political-geographic-object;['ουκρανία'];Η Ουκρανίαν (σα ουκρανικά Україна) εν κράτος σην ανατολήν Ευρώπην.
political-geographic-object;['αρμενία'];Η Αρμενία εν κράτος σην ανατολήν Ευρώπην.
political-geographic-object;['καμερούν'];Το Καμερούν, σα γαλλικά République du Cameroun, εν αφρικανικόν κράτος.
political-geographic-object;['γαλλία'];Η Γαλλίαν (σα γαλλικά: République française) είναι κράτος σα δυτικά τη Ευρώπης.
political-geographic-object;['ιρλανδία'];Η Δημοκρατίαν τ' Ιρλανδίας (σα ιρλανδικά: Poblacht na hÉireann, σα αγγλικά: Republic of Ireland) εν κράτος σα βορειοδυτικά τ' Ευρώπης.
political-geographic-object;['μαδαγασκάρην'];Η Μαδαγασκάρην εν τέταρτον τρανόν νήσον τη κόσμονος.
political-geographic-object;['γιάλτα', 'jalta'];Η Γιάλτα εν πολιτεία σην Ουκρανίαν.
political-geographic-object;['σουηδία'];Το Βασίλειο τη Σουηδίας εν κράτος ντο ευρίεται σα βόρεια τη Ευρώπης και σα κεντρικά τη Σκανδιναβικού Χερσόνησου.
political-geographic-object;['ροστόφ επί του ντον'];Η Ροστόφ επί του Ντον εν πολιτεία σην Ρουσίαν.
political-geographic-object;['πρωτεύουσα'];Πρωτεύουσα λέγομε την πολιτείαν ντο εν πολιτικόν και διοικητικόν κέντρον κράτονος ή τόπονος και έδρα τη κυβέρνησης.
political-geographic-object;['λιχτενστάιν'];Το Λιχτενστάιν (σα γερμανικά: Fürstentum Liechtenstein) είναι τζιπ μικρόν κράτος σο κέντρον τη Ευρώπης.
political-geographic-object;['ανδόρρα'];Το Πριγκηπάτο τη Ανδόρρας (σα καταλανικά: Principat d'Andorra, σα γαλλικά: Principauté d'Andorre, σα ισπανικά: Principado de Andorra) είναι τζιπ μικρόν κράτος σα δυτικά τη Ευρώπης, σ' Ιβηρικόν τη χερσόνησον.
political-geographic-object;['λίβανος'];Ο Λίβανος (αραβ.
political-geographic-object;['βατικανό'];Το Βατικανό εν κράτος τ' Ευρώπης.
political-geographic-object;['ντονέτσκ'];Η Ντονέτσκ εν πολιτεία σην Ουκρανίαν.
political-geographic-object;['ισλανδία'];Η Ισλανδία (σα ισλανδικά: Lýðveldið Ísland) είναι ευρωπαϊκόν κράτος σο βόρειον τον Ατλαντικόν τον ωκεανόν.
political-geographic-object;['ρώμη'];Η Ρώμη εν ιταλικόν πολιτείαν και εχ' τρανόν ιστορίαν.
political-geographic-object;['ιερουσαλήμ'];Η Ιερουσαλήμ εν πολιτεία σην Ισραήλ.
political-geographic-object;['κίεβο'];Η Κίεβο εν πολιτεία σην Ουκρανίαν.
political-geographic-object;['βερολίνον', 'berlín', 'βερολίνο'];Το Βερολίνον (σα γερμανικά: Berlin) εν πολιτείαν σην ανατολήν τη Γερμανίας.
political-geographic-object;['μόσχα'];Η Μόσχα
political-geographic-object;['ισραήλ'];Το Ισραήλ (εβραϊ.
political-geographic-object;['φινλανδία'];Η Φινλανδία εν κράτος ντο ευρίεται σα βόρεια τη Ευρώπης.
political-geographic-object;['βοστώνη', 'bóston'];Η Βοστώνη έν το τρανύτερον πολιτείαν και η πρωτεύουσα τη Μασσαχουσέττης.
political-geographic-object;['σαντιάγκο'];Σαντιάγκο Οι Παρίσοι εν πολιτεία σην Χιλή.
political-geographic-object;['λευκωσίαν'];Η Λευκωσίαν εν κυπριακόν πολιτείαν.
political-geographic-object;['λονδίνο'];Το Λονδίνο εν αγγληκ΄ον πολιτείαν και εχ' τρανόν ιστορίαν.
political-geographic-object;['αθήνα'];Η Αθήνα
political-geographic-object;['οττάβα', 'ottawa'];Ἡ Οττάβα ἔν καναδικόν πολιτείαν ντ'εὐρίεται 'ς σόν Οντάριο, ἔχ' πληθυσμόν 58.309 τ'ἀνθρώπ'ς και εν η πρωτεύουσα τη χώρας του Καναδά.
political-geographic-object;['κάιρον'];Το Κάιρον εν η πρωτεύουσαν τς Αιγύπτου, ευρίετεν σον ποταμόν Νείλο.
socially-constructed-person;['γιόχαν βόλφγκανγκ φον γκαίτε', 'γιόχαν βόλφγκανγκ φον γκöτε'];Ο Γιόχαν Βόλφγκανγκ φον Γκαίτε (γερμ.
socially-constructed-person;['γκέοργκ βίλχελμ φρήντριχ χέγκελ'];Ο Γκέοργκ Βίλχελμ Φρήντριχ Χέγκελ (Georg Wilhelm Friedrich Hegel, Στουτγκάρδη 27 Αλωναρί 1770 - Βερολίνο 13 Αεργίτε 1831) ή Έγελον έτον τρανός Γερμανός μεταφυσικός φιλόσοφον τη Γερμανικού Ιδεαλισμού.
socially-constructed-person;['απόστολος παύλος'];O Απόστολος Παύλος έν άγιος τη Ορθοδόξου Χριστιανικής Εγκλεσίας η μνέμη του τιμάται σην 29 Κερασινό.
socially-constructed-person;['ισαάκ νιούτον'];Ο Ισαάκ Νιούτον έτον φυσικόν ασήν Αγγλίαν.
socially-constructed-person;['καρλ μαρξ'];Ο Καρλ Χάινριχ Μαρξ (1818 - 1883, Karl Heinrich Marx) έτονε φιλόσοφος, κοινωνιολόγος, ιστορικός, πολιτικός οικονομολόγος κι έχτισεν τον κομμουνισμόν.
socially-constructed-person;['πίνδαρος'];Ο Πίνδαρος (522 - 443 π.Χ.) έτον τζιπ τρανός αρχαίος Έλλενας λυρικός ποιητής.
socially-constructed-person;['βλαντιμίρ λένιν'];Ο Βλαντιμίρ Λένιν έτον κομμουνιστής ηγέτης.
socially-constructed-person;['ιωσήφ στάλιν'];Ο Ιωσήφ Βησσαριόνοβιτς Στάλιν έτον Σοβιετκός ηγέτης.
subject;['γεωγραφίαν'];Γεωγραφίαν λέχκεται η τέχνην που συστηματοποιά την περιγραφήν τη γης.
subject;['φιλοσοφία'];Φιλοσοφίαν λέγουμε τον τρόπον νουνισματί για τον κόσμον, το σύμπαν, και τ'αθρώπς.
subject;['γλωσσολογία'];Γλωσσολογία λέγουμε την τέχνην π' τερεί και φωτογραφίζ' τη γλώσσαν.
taxonomic-collection;['επίθετον'];Επίθετον εν τα λέξεις ντο φανερώνε ντο λογίς εν το ουσιαστικόν, δηλαδή ντο ποιότηταν ή ιδιότηταν εσ το ουσιαστικόν.
temporal-region;['1 καλανταρί'];Αεργίτες | Χριστουγεννάρτς | Καλαντάρτς | Κούντουρος | Μαρτς
temporal-region;['24 τρυγομηνά'];Aλωνάρτς | Σταυρίτες | Τρυγομηνάς | Αεργίτες | Χριστουγεννάρτς
temporal-region;['12 τρυγομηνά'];Aλωνάρτς | Σταυρίτες | Τρυγομηνάς | Αεργίτες | Χριστουγεννάρτς
temporal-region;['17 σταυρί'];Χορτοθέρτς | Aλωνάρτς | Σταυρίτες | Τρυγομηνάς | Αεργίτες
temporal-region;['κερεκήν'];Η Κερεκήν (σ' ελλενικά: Κυριακή) εν το πρώτον ημέρα τ' εβδομάδας.
temporal-region;['29 σταυρί'];Χορτοθέρτς | Aλωνάρτς | Σταυρίτες | Τρυγομηνάς | Αεργίτες
temporal-region;['καλαντάρτς'];Ημέρας Καλανταρί 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 Ο Καλαντάρτς εν ο πρώτον μήνας τη χρονίας, ίστε λεει μας το Γρηγοριανόν ημερολόγιον κι εχ' 31 ημέρας.
temporal-region;['πέφτ'];Η Πέφτ (σ' ελλενικά: Πέμπτη) εν το πέμπτον ημέρα τ' εβδομάδας.
temporal-region;['καλαντάρτς'];Ημέρας Καλανταρί 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 Ο Καλαντάρτς εν ο πρώτον μήνας τη χρονίας, ίστε λεει μας το Γρηγοριανόν ημερολόγιον κι εχ' 31 ημέρας.
temporal-region;['καλαντάρτς'];Ημέρας Καλανταρί 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 Ο Καλαντάρτς εν ο πρώτον μήνας τη χρονίας, ίστε λεει μας το Γρηγοριανόν ημερολόγιον κι εχ' 31 ημέρας.
temporal-region;['τετράδ'];Η Τετράδ (σ' ελλενικά: Τετάρτη) εν το τέταρτον ημέρα τ' εβδομάδας.
temporal-region;['χριστουγεννάρτς'];Ημέρας Χριστουγενναρί
temporal-region;['χριστουγεννάρτς'];Ημέρας Χριστουγενναρί
temporal-region;['καλομηνάς'];Ημέρας Καλομηνά
temporal-region;['σταυρίτες'];Ημέρας Σταυρί
temporal-region;['μαρτς'];Ημέρας τη Μάρτ 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 Ο Μάρτς εν ο τρίτον μήνας τη χρονίας, ίστε λεει μας το Γρηγοριανόν ημερολόγιον κι εχ' 31 ημέρας.
temporal-region;['κούντουρος'];Ημέρας Κούντουρονος 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 Ο Κούντουρος άμαν και λέγν'ατόν και Κούντουρον εν ο δεύτερον μήνας τη χρονίας, ίστε λεει μας το Γρηγοριανόν ημερολόγιον.
temporal-region;['αλωνάρτς'];Ημέρας Αλωναρί
temporal-region;['χορτοθέρτς'];Ημέρας Χορτοθέρτ 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 30 | 31 Ο Χορτοθέρτς εν ο έβδομον μήνας τη χρονίας, ίστε λεει μάς το Γρηγοριανόν το ημερολόγιον κι εχ' 31 ημέρας.
temporal-region;['απρίλτς'];Ημέρας τ' Απρίλτ
temporal-region;['κερασινός'];Ημέρας Κερασινού
temporal-region;['αεργίτες'];Ημέρας Αεργί
temporal-region;['τρυγομηνάς'];Ημέρας Τρυγομηνά
temporal-region;['29 κούντουρονος'];Κούντουρονος
temporal-region;['δευτέραν'];Η Δευτέραν (σ' ελλενικά: Δευτέρα) εν το δεύτερον ημέρα τ' εβδομάδας.
temporal-region;['σάββαν'];Το Σάββαν (σ' ελλενικά: Σάββατο) εν τ' έβδομον ημέρα τ' εβδομάδας.
temporal-region;['παρασκευήν'];Η Παρασκευήν (σ' ελλενικά: Παρασκευή) εν τ' έκτον ημέρα τ' εβδομάδας.
temporal-region;['τρίτ'];Η Τρίτ (σ' ελλενικά: Τρίτη) εν το τρίτον ημέρα τ' εβδομάδας.
temporal-region;['6 καλανταρί'];Αεργίτες | Χριστουγεννάρτς | Καλαντάρτς | Κούντουρος | Μαρτς
