abstract-quality;['ஆளுமை'];ஆளுமை என்பது என்ன என்பது பற்றி உறுதியான எல்லோராலும் ஏற்றுக் கொள்ளப்பட்ட வரையறை இல்லை.
activity;['குத்தூசி மருத்துவம்', 'அக்குபஞ்சர்', 'துளையீட்டு மருத்துவ முறை', 'தொடு மருத்துவம்'];குத்தூசி மருத்துவம் என்பது வலியில் இருந்து நிவாரணம் பெறுவதற்காக அல்லது நோய் தீர்க்கும் நோக்கத்திற்காக உடலில் ஊசிகளைச் செருகுவதற்கான மற்றும் கையாளுவதற்கான செயல்முறை ஆகும்.
activity;['மின்னஞ்சல்', 'மின் அஞ்சல்', 'மின் மடல்', 'மின்மடல்'];மின்னஞ்சல் என்பது மின்னணுத் தொடர்புச் சாதனங்கள் மூலம் செய்திகளை எழுதுதல், அனுப்புதல், மற்றும் பெறுதல் போன்றவற்றைச் செய்யும் முறையாகும்.
activity;['பண்பேற்றம்', 'குறிப்பேற்றம்', 'மட்டிசைப்பு'];பண்பேற்றம் அல்லது மட்டிசைப்பு என்பது செயல்படுத்துவதற்கு சுலபமானதாக செய்தி சிக்னலை மாற்றச்செய்யும் நிகழ்முறையாகும்.
activity;['திராயன் போர்', 'றோய்யன் போர்', 'டிராஜன் போர்', 'டிரோஜன் போர்', 'ட்ரோஜன் போர்'];திராயன் போர் அல்லது திரோயன் போர் ஓமர் எழுதிய இரு பெரும் கிரேக்க காப்பியங்களான இலியட்டு மற்றும் ஓடிசிக்கு பின்புலம் ஆகின்றது.
activity;['வெய்ச்சி'];வெய்ச்சி என்பது இருவர் விளையாடும் ஒரு பலகை விளையாட்டு.
activity;['தளகதிர் படம்', 'தளகதிர்படயியல்'];தளகதிர் படவியல் என்பது ஒரு தளத்திலுள்ள உடலுறுப்புகளை தெளிவாக அதன் குறுக்கு வெட்டுத் தோற்றமாகக் காணத்துணை செய்யும் ஒரு புதுமையான கருவியாகும்.
activity;['சூறாவளி', 'புயல்'];சூறாவளி பூமியைப் போல் ஒரே திசையில் சுற்றும் அடர்த்தியான, உருண்டையான நிலையற்ற இயக்கத்தைக் கொண்ட பரப்பு என்று வானிலையியல் கூறுகிறது..
activity;['புனிதர் பட்டமளிப்பு', 'புனிதர் பட்டம்'];புனிதர் பட்டம் அளிக்கும் நிகழ்வு இறந்த ஒரு மனிதர், அங்கீகரிக்கப் பட்ட புனிதர்களின் பட்டியளில் சேர்க்கப்படும் நிகழ்வைக் குறிக்கும்.
activity;['சிலுவைப் பாதை', 'சிலுவைப்பாதை'];சிலுவைப் பாதை என்பது இயேசு கிறித்து தம் மண்ணக வாழ்வின் இறுதி நாள்களில் துன்பங்கள் அனுபவித்து, சிலுவையில் உயிர்துறந்த நிகழ்வுகளை நினைவு கூர்கின்ற வழிபாட்டுச் செயல் ஆகும்.
activity;['அருளாளர் பட்டம்', 'முக்திபேறு பட்டம்', 'முத்திப்பேறு பெற்ற பட்டம்', 'முத்திப்பேறு பெற்ற பட்டம் வழங்கும் சடங்கு'];அருளாளர் பட்டம் என்பது கிறித்தவ நம்பிக்கையைக் கடைப்பிடித்து, சிறப்பான விதத்தில் வாழ்ந்து இறந்த ஒரு மனிதர் விண்ணகத்தில் இருக்கிறார் எனவும், கடவுளிடம் இவ்வுலகில் இருப்பவர்களுக்காக பரிந்து பேசும் வல்லமை உள்ளவர் எனவும் கத்தோலிக்க திருச்சபையினால் வழங்கப்படும் அங்கீகாரம் அல்லது சடங்குமுறை ஆகும்.
activity;['சரட்டோகா சண்டைகள்'];சரட்டோகா சண்டைகள் சரட்டோகா படை நடவடிக்கையின் உச்சக் கட்டமாக அமைந்து, பிரித்தானியருக்கு எதிரான அமெரிக்கப் புரட்சிப் போரில் அமெரிக்கர்களுக்குத் தீர்மானமான வெற்றியைக் கொடுத்தன.
activity;['மாரத்தான் போர்'];மாரத்தான் போர் கிமு 490 ஆம் ஆண்டில் கிரேக்கம் மீதான பாரசீகர்களின் முற்றுகையின் முதல் கட்டத்தில் இடம்பெற்றது.
activity;['கெட்டிசுபெர்க்கு சண்டை'];கெட்டிசுபெர்க்கு சண்டை
activity;['பாக்கமன்'];பாக்கமன் இருவர் விளையாடும் ஒரு பலகை விளையாட்டு ஆகும்.
activity;['குறும்படம்', 'தமிழ் குறும்படம்', 'குறும் படங்கள்', 'தமிழ்க் குறுந்திரைப்படத்துறை'];ஒரு நிகழ்வை, கருத்தை, கதையை குறுகிய நேரத்தில் அழுத்தமாக தொழில்நுட்ப நேர்த்தியுடன் படக்காட்சியாக வெளிப்படுத்துவதை குறும்படம் எனலாம்.
activity;['குறும்படம்', 'தமிழ் குறும்படம்', 'குறும் படங்கள்', 'தமிழ்க் குறுந்திரைப்படத்துறை'];குறும்படம் என்பது, முழுநீளத் திரைப்படமாகக் கருதுவதற்குப் போதிய நீளம் இல்லாத திரைப்படங்களைக் குறிக்கும்.
activity;['ஒகினவா சண்டை', 'ஆபரேஷன் ஐஸ்பெர்க்', 'ஐஸ்பெர்க் நடவடிக்கை', 'ஓக்கினாவா சண்டை'];ஐஸ்பெர்க் நடவடிக்கை என்று குறிப்பெயரிடப்பட்ட ஒகினவா சண்டை யப்பானிய ஒகினவா தீவுகளில் இரண்டாம் உலகப் போரின் பசிபிக் போரின் ஒரு அங்கமாக நடைபெற்ற மிகப்பெரிய ஈருடகச் சண்டையாகும்.
activity;['ரம்மி, சீட்டு விளையாட்டு', 'card game', 'ரம்மி'];ரம்மி மனிதத் திறனை வளர்க்கும் சீட்டு விளையாட்டுகளில் ஒன்றாகும்.
activity;['முத்தம்', 'முத்தங்கள்'];முத்தம் என்பது ஒருவர் தன்னுடைய உதடுகளை பிறரது உதடுகள், கன்னங்கள், நெற்றி, கைகள் போன்ற உடல் பாகங்களில் பதிக்கும் அல்லது உரசும் செயல்.
activity;['நோயில் பூசுதல்'];நோயில் பூசுதல் என்பது குணமளிக்கும் அருட்சாதனம் ஆகும்.
activity;['கதிரியக்கக்கரிமக் காலக்கணிப்பு', 'கரியிலிருந்து காலக் கணிப்பு'];கதிரியக்கக்கரிமக் காலக்கணிப்பு அல்லது கதிரியக்கக்கார்பன் காலக்கணிப்பு என்பது, இயற்கையில் காணப்படும், கரிமம்-14 என்னும் கரிமத்தின்ஓரிடத்தானைப் பயன்படுத்திக் கரிமம் கலந்த பொருட்களின் வயதைக் கண்டுபிடிப்பதற்கான கதிரியக்க அளவைமுறை ஆகும்.
activity;['ஒளித்துப் பிடித்தல்', 'கண்ணாம்மூச்சி', 'ஒளிச்சுப் பிடித்தல்', 'கண்ணாமூச்சி', 'ஒளிந்து பிடித்தல்'];கண்ணாம்மூச்சி அல்லது ஒளிந்து பிடித்தல் என்பது ஓடிப் பிடித்தல் போன்ற ஒரு எளிமையான விளையாட்டு ஆகும்.
activity;['வாக்களிப்பு', 'வாக்களித்தல்', 'வாக்குரிமை', 'வாக்காளர்'];வாக்களிப்பு என்பது, பலர் கூடியுள்ள இடத்தில், முடிவு எடுப்பதற்கான அல்லது ஒரு கருத்தை வெளிப்படுத்துவதற்கான ஒரு முறையாகும்.
activity;['நற்கருணை'];நற்கருணை கிறித்தவ சமயத்தில் ஆண்டவரின் திருவிருந்து, திருப்பீடத்தின் அருட்சாதனம், ஒன்றிப்பின் உணவு என்ற பெயர்களாலும் அழைக்கப்படுகிறது.
activity;['வட்டரங்கு', 'சர்கஸ்', 'சர்க்கஸ்'];வட்டரங்கு வேடிக்கையான சில நிகழ்ச்சிகளை நடத்தும் அரங்கமாகும்.
activity;['பணியாளர் உரிமை நிறுவனங்கள்'];பணியாளர் உரிமை வணிகம் முழுமையாகவோ அல்லது பகுதியளவிலோ பணியாளர்களுக்கு உரிமையுடையதாகுகின்ற நிலையாகும் போது ஏற்படுவதாகும்.
activity;['ஆரம்ப பொது விடுப்புகள்'];ஆரம்ப பொது விடுப்புகள், "பொது விடுப்புகள்" என்றும் "மிதவை" என்றும் அறியப்படுவது, ஒரு நிறுவனம் தனது பொது பங்குபத்திரம் மற்றும் பங்குகளை முதல் முறையாக வெளியிடுவதை குறிப்பதாகும்.
activity;['தனிமை'];தனிமை என்பது தனிமையாதல் அல்லது தனிமைப்படுத்துதல், அதாவது மக்கள் தொடர்பு இல்லாதது.
activity;['முதியோர் கல்வி', 'வயதுவந்தோர் கல்வி'];முதியோர் கல்வி அல்லது வயதுவந்தோர் கல்வி என்பது முதியவர்கள் அறிவு, திறமை, மனப்பான்மை மற்றும் விழுமங்களை பெரும் வகையில் முறைப்படுத்தப்பட்டு தன்னிறைவு பெரும் சுய கற்றலுக்கு பயிற்சி அளிப்பதாகும்.
activity;['ஆய்வரங்கு'];ஆய்வரங்கு என்பது, ஒருவகைக் கற்பித்தல் வழிமுறை எனலாம்.
activity;['முலை ஊடுகதிர்ப்படச் சோதனை'];முலை ஊடுகதிர்ப்படச் சோதனை முறைமையில் குறைந்தளவு எக்ஸ் கதிர்கள் பயன்படுத்தி மனித முலையை ஆராய்வதாகும்.
activity;['ஈரான் – ஈராக் போர்', 'ஈரான் – ஈராக் யுத்தம்'];ஈரான் – ஈராக் போர் ஈரானை ஈராக் செப்டம்பர் 1980 ல் ஆக்கிரமித்தபோது ஆரம்பமாகியது.
activity;['நிழற் பொம்மலாட்டம்'];நிழற் பொம்மலாட்டம் அல்லது நிழல் நாடகம் என்பது பழங்காலத்துக் கதைகூறல் முறையும் ஒரு பொழுதுபோக்கும் ஆகும்.
activity;['தேமோபைலேச் சமர்'];தேமோபைலேச் சமர் என்பது ஸ்பாட்டவின் முதலாம் லியோனிடாசுவால் வழிநடாத்தப்பட்ட கிரேக்க நகர அரசுகளின் நேசப்படைகளுக்கும், கிரேக்கம் மீதான இரண்டாம் பாரசீக படையெடுப்பின் மூன்று நாட்களுக்கும் மேலாக நடைபெற்ற பாரசீகப் பேரரசர் முதலாம் சேக்சஸ்க்கும் இடையிலான சண்டையாகும்.
activity;['உண்ணாநிலைப் போராட்டம்', 'உண்ணாநிலை', 'உண்ணாவிரதம்'];உண்ணாநிலைப் போராட்டம் அல்லது உண்ணாவிரதப் போராட்டம் என்பது தன்னை வருத்தி அறவழியில் தமது நியாயங்களை வலியுறுத்தி மாற்றத்தை உடனடியாக வேண்டி மேற்கொள்ளப்படும் ஒரு எதிர்ப்புப் போராட்டம் ஆகும்.
activity;['குவான்சா', 'kwanzaa'];குவான்சா அமெரிக்காவில் சில ஆபிரிக்க அமெரிக்கர்களால் ஒரு வாரத்துக்கு கொண்டாடப்படுவரும் ஒரு விழாவாகும்.
activity;['மேற்கத்திய'];மேற்கத்திய என்பது 19 ஆம் நூற்றாண்டின் பிற்பகுதியில் மேற்கு அமெரிக்காவில் "பழைய மேற்கு" பாணியில் அமைக்கப்பட்ட புனைகதை வகையாகும்.
activity;['ஆவணப்படம்', 'விபரணத் திரைப்படம்', 'ஆவணத் திரைப்படம்', 'விவரணப்படம்'];ஆவணத் திரைப்படம் என்பது நிகழ்வுகளை உண்மையான சூழலுக்கு அண்மையாக ஆவணப்படுத்த முயலும் நிகழ்பட ஆக்கங்கள் விவரணத் திரைப்படம் அல்லது ஆவணப்படம் என்று பொதுவாக வகைப்படுத்தப்படுகின்றன.
activity;['காற்பந்தாட்டம்', 'கால்பந்து கூட்டமைப்பு'];பொதுவாக கால்பந்து அல்லது என்று அறியப்படும் சங்கக் கால்பந்து என்பது, பதினொரு வீரர்கள் கொண்ட இரண்டு அணிகளுக்கு இடையில் ஒரு கோள வடிவப் பந்தினைக் கொண்டு விளையாடப்படும் ஒரு அணி விளையாட்டு ஆகும்.
activity;['உள்ளிருப்புப் போராட்டம்'];உள்ளிருப்புப் போராட்டம் என்பது ஒரு நேரடி நடவடிகை முறையில் அமைந்த அறவழி எதிர்ப்புப் போராட்ட வடிவம் ஆகும்.
activity;['திரைப்படம்', 'படம்', 'சினிமா', 'திரைப்படங்கள்'];திரைப்படம் அல்லது நகரும் படம் என்பது படிமங்களின் வரிசைகள் திரையில் நகரும் போது ஃபை தோற்றப்பாட்டின் படி ஒரு உண்மையான நாடகக் காட்சி நடைபெறுவது போன்ற ஒரு தோற்றம் செய்யக்கூடிய திரைப்படலம் ஆகும்.
activity;['மேடைக் கோற்பந்தாட்டம்', 'ஸ்னூக்கர்', 'snooker'];ஸ்னூக்கர் என்னும் மேடைக் கோற்பந்தாட்டம் என்பது ஒரு முரட்டுக் கம்பள விரிப்பு கொண்டு மூடப்பட்டுள்ள, நான்கு புறங்களிலும் பக்க வாட்டில் நீண்டிருக்கும் திண்டுகள் ஒவ்வொன்றின் இடையினிலும் ஓட்டைகளைக் கொண்டுள்ள, ஒரு பெரும் பச்சை நிற மேசையின் மீது விளையாடும் ஒரு கோல் விளையாட்டு.
activity;['தடை ஆட்டம்'];தடை ஆட்டம் கிப் கொப் அல்லது ராப் இசை சூழலில் தோன்றிய ஒரு ஆடல் வடிவம் ஆகும்.
activity;['ஹிப் ஹாப்', 'கிப் கொப்', 'ஹிப் ஹொப்'];ஹிப் ஹாப் ஓர் இசை வகையும் பண்பாடு அசைவியக்கமுமாகும்.
activity;['கத்தோலிக்க அருட்சாதனங்கள்'];கத்தோலிக்கத் திருச்சபையின் வரையறையின்படி கத்தோலிக்க அருட்சாதனங்கள் என்பவை, "கிறிஸ்துவால் ஏற்படுத்தப்பட்டு, திருச்சபையிடம் ஒப்படைக்கப்பட்ட இறை வாழ்வில் நமக்குப் பங்களிக்கும் பயன்மிகு அருளின் அடையாளங்கள் ஆகும்.
activity;['மென்பந்தாட்டம்', 'softball'];மென்பந்தாட்டம் அடிபந்தாட்டைத்தை பெரிதும் ஒத்த ஐக்கிய அமெரிக்காவில் தோன்றிய ஒரு குழு விளையாட்டு ஆகும்.
activity;['சதுரங்கம்', 'செஸ்'];அரசர்களின் விளையாட்டு என வருணிக்கப்படும் சதுரங்கம், இருவர் விளையாடும் ஒரு பலகை விளையாட்டு ஆகும்.
activity;['பௌலிங்'];பௌலிங் என்பது ஒருவகை விளையாட்டு ஆகும்.
activity;['டிக் டேக் டோ', 'நடுக்கம்', 'டிக் டாக் டோ'];நடுக்கம் / நடுக்கங்கள் அல்லது டிக் டேக் டோ என்பது தாளில் எழுதி விளையாடக்கூடிய சிறுவர் விளையாட்டு.
activity;['கையுந்து பந்து'];கையுந்துபந்து போட்டிக்கு பயன்படுத்தப்படும் பந்தே உள்ளரங்க கையுந்துபந்து போட்டிக்கும், கடற்கரை கையுந்துபந்து போட்டிக்கும், இதே போன்று சற்று மாறுபாடு கொண்டு ஆடப்படும் கையுந்துபந்து போட்டிகளுக்கும் பயன்படுத்தப்படுகிறது.
activity;['நிகழ்பட ஆட்டம்', 'ஒளித்தோற்ற விளையாட்டு', 'கணினி விளையாட்டு', 'கணினியும் நிகழ்பட ஆட்டமும்', 'நிகழ்பட விளையாட்டு'];நிகழ்பட ஆட்டம் அல்லது நிகழ்பட விளையாட்டு என்பது கணினி மூலமும் பல நிகழ்பட விளையாட்டுகளிற்காக அமைக்கப்பெற்ற நிகழ்பட ஆட்ட இயந்திரங்கள் ஊடாகவும் விளையாடக் கூடிய விளையாட்டாகும்.
activity;['நீர்ப் பந்தாட்டம்', 'நீர் போலோ'];நீர்ப் பந்தாட்டம் அல்லது புனல்பந்தாட்டம் நீரில் விளையாடப்படும் ஓர் அணி விளையாட்டாகும்.
activity;['ஸ்குவாஷ்', 'சுவர்ப்பந்து', 'squash'];சுவர்ப்பந்து என்பது ஒரு மட்டையைக் கொண்டு நான்கு சுவர்களுக்குள் ஆடப்படும் ஆட்டம்.
activity;['கூடைப்பந்தாட்டம்', 'கூடைப்பந்து', 'அசையாளர்', 'இரட்டை பின்காவல்', 'கூடைபந்தாட்டம்', 'கூடைப் பந்து', 'சிரு முன்நிலை', 'சிறு முன்நிலை', 'நடு நிலை', 'பந்து கையாளு பின்காவல்', 'பந்துகையாளி பின்காவல்', 'பந்துகையாளி முன்நிலை', 'புள்ளிபெற்ற பின்காவல்', 'முன்-நடு நிலை', 'முன் - நடு நிலை', 'வலிய முன்நிலை'];கூடைப்பந்தாட்டம் சுமார் 200 நாடுகளில் ஆர்வத்துடன் விளையாடப்படுகிறது.
activity;['இறகுப்பந்தாட்டம்', 'பூப்பந்தாட்டம்', 'bádminton', 'இறகுப் பந்தாட்டம்', 'இறகுப்பந்து விளையாட்டு', 'இறக்கைபந்தாட்டம்'];இறகுப்பந்து விளையாட்டினை பிரிட்டானிய இராணுவ வீரர்கள் 19 ஆம் நூற்றாண்டின் பிற்பகுதியில் இங்கிலாந்தில் அறிமுகம் செய்தனர்.
activity;['கோல்ஃப்', 'குழிப்பந்தாட்டம்', 'குழிப்பந்து விளையாட்டு'];குழிப்பந்தாட்டம் அல்லது கோல்ஃப் விளையாட்டு சுமார் 500 வருடங்களுக்கு முன் இசுக்காட்லாந்திலிருந்து தொடங்கியது.
activity;['பலகை விளையாட்டு'];ஓரு பலகையில் காய்களை நகர்த்தியோ, பிடித்தோ, எண்ணிக்கொன்டோ இருவர் விளையாடும் விளையாட்டுக்களை பலகை விளையாட்டு எனலாம்.
activity;['பனி வளைதடியாட்டம்', 'வளைகோல் பனிச் சறுக்குப் பந்தாட்டம்'];பனி வளைதடியாட்டம் என்பது உறைபனி அரங்கில் ஆடப்படும் வளைதடிப் பந்தாட்டத்தை ஒத்த ஒரு குழு விளையாட்டு ஆகும்.
activity;['துடுப்பாட்டம்', 'கிரிக்கட்', 'கிரிக்கெட்', 'கிரிக்கெட்டு', 'மட்டைப்பந்து'];துடுப்பாட்டம் என்பது மட்டையும் பந்தும் கொண்டு ஆடப்படும் ஒரு விளையாட்டு ஆகும்.
activity;['அடிப்பந்தாட்டம்', 'அடிபந்தாட்டம்', 'எல்லை', 'பேஸ்பால்', 'பேஸ்போல்'];அடிப்பந்தாட்டம் என்பது துடுப்பு மற்றும் பந்தைப் பயன்படுத்தி விளையாடப்படும் குழு விளையாட்டு.
activity;['சீட்டாட்டம்'];சீட்டாட்டம் வழமையான சீட்டுகளையோ தனிப்பட்ட சீட்டுக்களையோ கொண்டு விளையாடப்படும் ஆட்டம் ஆகும்.
activity;['டென்னிசு', 'டென்னிஸ்', 'ரென்னிஸ்', 'வரிப்பந்தாட்டம்'];டென்னிசு என்பது, எதிரெதிராக இருவரோ, அல்லது எதிரெதிராக அணிக்கு இருவராக மொத்தம் நால்வரோ சேர்ந்து, சல்லடை மட்டையால் பந்தை அடித்து அரங்கத்தின் நடுவே கட்டியுள்ள வலையைத் தாண்டி, அரங்கத்துக்குள் விழுமாறு பந்தைத் தட்டியாடும் ஒரு விளையாட்டு.
activity;['மேசைப்பந்தாட்டம்', 'டேபிள் டென்னிஸ்', 'மேசைப் பந்து'];19ம் நூற்றாண்டின் இறுதியில் பிங்-பாங் என்று அறியப்பட்ட மேசைப்பந்தாட்டம் தற்போது உலகம் முழுதும் பரவி ஏற்றுக்கொள்ளப்பட்டுளது.
activity;['எசுப்பானிய மரபுரிமைப் போர்', 'ஸ்பானிய வாரிசுப் போர்'];எசுப்பானிய மரபுரிமைப் போர் 1701 முதல் 1714வரை ஐரோப்பாவில் நடைபெற்ற போராகும்.
activity;['சட்ட மறுப்பு', 'குடியியற் சட்டமறுப்பு', 'குடிசார் சட்டமறுப்பு'];குடிசார் சட்டமறுப்பு என்பது ஒருவரின் உள்ளுணர்வுக்கு அல்லது மனச்சாட்சிக்கு எதிரானது என ஒருவர் கருதும் அரச சட்டங்களையும் செயற்பாடுகளையும் குடிசார் முறையில் முயன்று மறுப்பது அல்லது எதிர்ப்பது ஆகும்.
activity;['வேலை நிறுத்தம்'];வேலை நிறுத்தம் என்பது தொழிலாளர்கள் ஒன்று சேர்ந்து வேலையை நிறுத்தி வைத்தல் ஆகும்.
activity;['நீரில் பாய்தல்'];நீரில் பாய்தல் என்னும் விளையாட்டு ஓர் உயரமான மேடை அல்லது தாவுப்பலகையிலிருந்து கலிநடம் புரிந்தவாறோ அல்லாதோ நீரில் குதிப்பதாகும்.
activity;['முகிற்பேழ் மழை', 'மேக வெடிப்பு'];முகிற்பேழ் மழை என்பது சில நிமிடங்களில் மிக அதிக அளவிலான மழை பொழிவாகும்.
activity;['அதிவேகக் காற்றுப்புனல்'];அதிவேகக் காற்றுப்புனல் என்பது சில கோள்களின் வளிமண்டலத்தில் குறுகலாக வளைந்து வளைந்து வெகு வேகமாக செல்லக்கூடிய காற்றோட்டமாகும்.
activity;['தன்னியக்கம்'];தன்னியக்கம் அல்லது தானியக்கம் என்பது ஒரு செயற்பாட்டை தொடர் மனித உள்ளீடு இல்லாமல் தானாக இயங்க செய்யவல்ல கட்டுப்பாட்டு முறைமையைக் குறிக்கும்.
activity;['சண்டை'];பொதுவாக, சண்டை அல்லது சமர் என்பது, இரண்டு அல்லது அதற்கு மேற்பட்ட ஆயுதப் படைகள், அல்லது போராளிகள் மத்தியில் நடைபெறும் போர் முறை ஆகும்.
activity;['தோற்ற மெய்மை', 'தோற்ற மெய்ம்மை', 'மாயத் தோற்றம்'];தோற்ற மெய்ம்மை என்பது கணினியால் உருவாக்கப்பட்ட தோற்றங்களை மெய்யுருவம் போல் காட்டுவதாகும்.
activity;['அய்கிடோ', 'aikidó'];அய்கிடோ என்பது ஒரு சப்பானிய தற்காப்புக்கலை ஆகும்.
activity;['டைக்குவாண்டோ', 'டேக்குவாண்டோ'];டைக்குவாண்டோ என்பது கொரியாவில் அறிமுகமான ஒரு தற்காப்புக்கலை ஆகும்.
activity;['திவாலா நிலை'];திவாலா நிலை என்பதானது ஒரு தனிப்பட்ட நபர் அல்லது நிறுவனம், பற்றாளர் எனப்படும் கடன் கொடுத்தவர்களுக்கு அந்தக் கடனைத் திருப்பிக் கொடுக்க இயலாதிருத்தல் அல்லது அதற்கான ஆற்றல் குறைவைச் சட்ட பூர்வமாக அறிவிக்கும் ஒரு முறைமையாகும்.
activity;['பாலுறவு', 'உடலுறவு', 'கலவி'];பாலுறவு எனப்படுவது பாலியல் ரீதியாக இனப்பெருக்கும் விலங்குகள் தம் பாலுறுப்புக்களைப் பயன்படுத்தி உறவு கொள்ளுதலாகும்.
activity;['கண்ணூறு'];பிறரது பார்வை காரணமாக ஒருவருக்கோ, ஒருநிறுவனத்திற்கோ, கட்டமைப்புக்கோ அல்லது உறவுநிலைக்கோ ஏற்படுவதாகக் கருதப்படும் ஊறு கண்ணூறு எனப்படும்.
activity;['தரம் பார்த்தல்'];தரம் பார்த்தல் என்பது அளவறி பகுப்பாய்வு வேதியியலில் ஒரு பொதுவான ஆய்வக முறையாகும்.
activity;['யயுற்சு'];யயுற்சு ஒரு ஜப்பானியத் தற்காப்புக் கலை.
activity;['ஓமியோபதி', 'ஓமியோமிபதி', 'ஹோமியோபதி'];ஓமியோபதி இனமுறை மருத்துவம் என்பது மருத்துவர் சாமுவேல் ஹானிமன் என்பவரால் 1796 ஆம் ஆண்டு கண்டுபிடிக்கப்பட்ட ஒரு மாற்றுமுறை மருத்துவம் ஆகும்.
activity;['இடை ஆட்டம்', 'பெல்லி நடனம்'];இடை ஆட்டம் என்பது மேற்கு ஆசியா, குறிப்பாக அரபிய மரபுவழி அல்லது நாட்டார் ஆட்டம் ஆகும்.
activity;['கிறித்தவ ஒன்றிப்பு'];கிறித்தவ ஒன்றிப்பு என்பது பிளவுபட்டு நிற்கின்ற கிறித்தவத் திருச்சபைகள் தமக்குள்ளே அதிக ஒற்றுமை நிலையை அடையவும் ஒன்று சேர்ந்து செயல்படவும் மேற்கொள்ளப்படுகின்ற முயற்சிகளைக் குறிக்கும்.
activity;['திருமண உறுதி', 'திருமண நிச்சயம் செய்தல்', 'நிச்சயதார்த்தம்', 'நி்ச்சயதார்த்தம்'];திருமணம் செய்வதற்கு முன்பு குறிப்பிட்ட ஆணுக்கு குறிப்பிட்ட பெண்ணை திருமணம் செய்ய இருக்கிறோம் என்பதை அனைவருக்கும் தெரிவிக்கும் நிகழ்வு திருமண உறுதி அல்லது நிச்சயதார்த்தம் என அழைக்கப்படுகின்றது.
activity;['மக்கள் தொகைக் கணக்கெடுப்பு'];கணக்கெடுப்பு என்று குறிப்பிட்ட சமயத்தில் ஒரு நாட்டின் தொகுப்பு ஒன்றிலுள்ள ஒவ்வொருவரையும் குறித்த தரவுகளை பெறுவதுக் குறிப்பிடப்படுகிறது.
