abstract-region;['多項式'];多項式，零或單項式之和也。
agentive-figure;['小學'];小學者，古文字、音韻、訓詁之謂，西漢末劉歆始製。
agentive-figure;['流亡政府', '亡命國家', '亡命政府'];流亡政府者，無土無民之國也。
agentive-figure;['世界衛生組織'];世界衛生組織（英言World Health Organization），聯合國之司於公共衛生者也。
agentive-figure;['中央情報局', '中央情报局'];中央情報局，美利堅合眾國省部也。
agentive-figure;['歐羅巴聯盟', '歐洲聯盟', '歐盟', '歐羅巴洲聯盟'];歐羅巴聯盟，歐羅巴洲諸國所締也，或省曰歐盟，依一九九二年《馬城條約》而立。
agentive-figure;['聯合國', '世界公會', '国際連合'];聯合國，萬國之聯盟也。
agentive-figure;['空師', '空军', '空师', '空軍'];空軍者，今人之所曰。
agentive-figure;['人魚', 'mermaid', 'merman', 'เงือก', '美人魚'];人魚者，人而魚尾。
agentive-figure;['俄羅斯正教會'];俄羅斯正教會(Russkaya Pravoslavnaya Tserkov)，或曰莫斯科宗主教區（Moskovskiy Patriarkhat）。
agentive-figure;['宗教'];宗教者，以神道設教而立誡約，使人崇信者也。
agentive-figure;['回教', '伊斯兰教', '伊斯蘭徒', '伊斯蘭教', '伊斯蘭教徒'];回教，正名伊斯蘭教，與佛教、基督教並列當世三大教，肇自先知穆罕默德錄安拉之言，授啟弟子，遂成古蘭經，今廣播五洲，千四百年矣。
agentive-figure;['遜尼派'];遜尼派，乃回教正統也。
agentive-figure;['蘇聯', '蘇維埃社會主義共和國聯盟'];蘇聯者，蘇維埃社會主義共和國聯盟 （俄文：Союз Советских Социалистических Республик）之略也，都莫斯科，行社會主義，國土遼闊，物產豐隆。
agentive-figure;['席德', '羅德里戈·迪亞斯·德·維瓦爾'];羅德里戈·迪亞斯·德·維瓦爾（西班牙文：Rodrigo Díaz de Vivar），卡斯蒂利亞比瓦爾人也，世為貴族，一零四零年生。
agentive-figure;['德意志第三帝國', '大德意志國', '納粹德國'];德意志第三帝國，舊歐羅巴洲之國也。
agentive-figure;['世氣公會', '世界氣象組織'];世氣公會，全名曰世界氣象組織，聯合國之專門公會也。
agentive-physical-object;['海鳥'];海鳥者，翱翔海空之鳥也。
agentive-physical-object;['動物', 'animal', '動物界'];動物者，多細胞真核生物也，乾健而能動。
agentive-physical-object;['植物'];植物者，真核生物域之一界。
agentive-physical-object;['電腦', '電子計算機'];電腦，亦稱算機（或謂電腦屬計算機），嘗令執事，能憶，若有神，自算辨，器機也。
agentive-physical-object;['犬', 'canis lupus familiaris'];犬，亦稱狗，犬科動物也，為狼之馴化，能共衍後代；極親人類，為寵物飼養之至多，有導盲、獵牧之輔，又有表演、玩賞之用，尚能派以保安、軍警、搜救、緝毒，故常云：「狗，人之摯友也」。
agentive-physical-object;['真菌', 'fungi'];真菌者，小至酵母菌，大至菇、靈芝，皆屬其類。
agentive-physical-object;['吉祥物', '代言', '萌物'];吉祥物，所以揭表事物也。
agentive-physical-object;['柠檬'];檸檬者，常綠小喬木也。
agentive-physical-object;['伊波拉', '伊波拉病毒', '埃博拉', '埃博拉病毒'];伊波拉者，數毒之稱。
agentive-physical-object;['威氏鷸', 'gallinago delicata', '威氏田鷸'];威氏鷸者（拉丁學名︰Gallinago delicata），小而肥之濱鳥也。
agentive-physical-object;['西瓜'];西瓜者。
agentive-physical-object;['牽牛花', 'ipomoea nil'];牽牛花者，草花之一也。
agentive-physical-object;['麥', '小麥'];凡麥有數種。
agentive-physical-object;['向日葵', '太陽花'];向日葵，亦曰太陽花，菊科植物也，傾葉向日，不令照其根。
agentive-physical-object;['人', 'homo sapiens', '智人'];人者，動物也。
agentive-physical-object;['柳', '柳屬'];柳，木也。
agentive-physical-object;['恐龍'];恐龍，又譯巨鼉、巨蜥蜴，古爬蟲類也，始生乎二億一千五百萬年前（即三疊紀），時未有人。
agentive-physical-object;['鵙', '鴃', '百勞'];鵙，本作鶪，或名鴂、伯勞、博勞、百勞、百鷯、伯趙、伯鷯、姑惡、苦吻鳥，其形若雀。
agentive-physical-object;['鯨', '鯨魚'];鯨者，雌曰鯢，海中巨獸也。
agentive-physical-object;['兔'];兔者，哺乳動物。
agentive-physical-object;['大麻'];大麻者，或稱線麻、白麻，古稱麻、漢麻、枲、苴，大麻科大麻屬。
agentive-physical-object;['蒜', 'allium sativum', 'allium sativum l', '大蒜', '葫', '蒜頭'];蒜者，植物也。
agentive-physical-object;['桂'];桂，又名肉桂，菌桂，江南之木，百藥之長也。
agentive-physical-object;['百舌鳥', 'turdus merula', '反舌'];百舌鳥，或名反舌、舍羅，今名烏鶇。
agentive-physical-object;['桃', 'prunus persica', '桃花'];桃，李之屬也。
agentive-physical-object;['大麥', '麰'];大麥，通作麰，因其苗粒皆大於來，故得大名，牟亦大也。
agentive-physical-object;['豕', '豬', 'sus scrofa domestica', '豚', '豬屬'];豕，長吻，大腹，四蹄，有尾。
agentive-physical-object;['豕', '豬', 'sus scrofa domestica', '豚', '豬屬'];豬，彘見馴而成者也。
agentive-physical-object;['貓', 'felis silvestris catus', '猫'];貓，古亦謂為狸屬。
agentive-physical-object;['象'];象，大獸也。
agentive-physical-object;['水獺', '獺祭魚'];獺他達切，今名水獺，一名水狗，狀如小狗，穴居水岸，捕魚爲食。
agentive-physical-object;['梅', 'prunus mume'];梅，木也，貌與杏相似。
agentive-physical-object;['海東青'];海東靑，猛禽也。
agentive-physical-object;['虎', 'panthera tigris'];虎者，猛獸也，號「山獸之君」，亦為地支之一。
agentive-physical-object;['雪豹', 'uncia uncia'];雪豹者，走獸也，屬貓科，常居於天山之上。
agentive-physical-object;['蓮', '蓮花'];示：維基大典非醫書也。
agentive-physical-object;['螢'];螢者，鞘翅目蟲也。
agentive-physical-object;['萍'];萍，或作苹、蓱，今名浮萍、青萍，水生草也。
agentive-physical-object;['彘', 'sus scrofa', '野豕', '野豬'];彘，野豕也。
agentive-physical-object;['螳螂', '蟷螂'];螳螂，又名蟷螂、蟷良、石螂、拒斧、天馬、不過，昆蟲也。
agentive-physical-object;['蠿蟊'];蠿蟊者，或曰鼄蟊、䵹鼄，今謂（蜘蛛），一蟲也，專以稻根為食。
agentive-physical-object;['金魚'];金魚者，玩賞之物也。
agentive-physical-object;['蝦'];蝦者，亦作鰕水族也。
agentive-physical-object;['馬', 'equus caballus'];馬者，獸也，可馱物。
agentive-physical-object;['毛地黃'];毛地黃者，植物也。
agentive-physical-object;['甘蔗'];甘蔗者，湘地之所謂柘甘者也。
agentive-physical-object;['鰂', '墨魚', '烏賊', '烏鰂'];鰂，或名烏賊，隸屬軟體動物門頭足綱墨魚目之動物也。
agentive-physical-object;['紅花'];紅花者，又名草紅、刺紅花。
amount-of-matter;['化合物'];化合物，亦云合質、某洽，并元素所成純淨物也。
amount-of-matter;['硫酸'];硫酸者（化學式︰H2SO4），又曰漒水、鏹水、綠礬油、磺強、石膽精。
amount-of-matter;['碳化物'];碳化物，碳之化合物也。
amount-of-matter;['鋅', 'zn', '倭鉛'];鋅者，舊曰倭鉛，化學元素也，符號Zn，原子序三十，屬過渡金屬。
amount-of-matter;['鍺', 'г'];鍺者（化學符號：Ge、原子序：卅二，洋謂Germanium），化學元素也，屬類金屬。
amount-of-matter;['氫氧化鈣'];氫氧化鈣，又名熟石灰，式 Ca 2 {\displaystyle {\ce {Ca 2}}} ，強鹼也。
amount-of-matter;['非金屬', '非金屬元素'];非金屬，顧名思義，不為金屬也。
amount-of-matter;['水', 'h₂o'];水，無官者，天下之所繫命也。
amount-of-matter;['氬', 'ar', 'árgon'];氬者（化學符號：Ar、原子序：十八，意「惰」），化學元素也，屬稀有氣體，無色，通電呈紫。
amount-of-matter;['氯化氫'];氯化氫，式HCl，無色液體也。
amount-of-matter;['氪', 'kr'];氪者（化學符號：Kr、原子序：卅六、洋謂Krypton），化學元素也，屬稀有氣體。
amount-of-matter;['疊氮酸', '疊氮化氫'];疊氮酸者，亦稱疊氮化氫，式書HN3，無官也。
amount-of-matter;['乙炔'];乙炔者，氣體也。
amount-of-matter;['苯'];苯（英言Benzene、式C6H6、又書⌬），烴也，俗謂之安息油。
amount-of-matter;['甲烷'];甲烷，化學式曰CH4，最簡烴也，亦最簡有機物也。
amount-of-matter;['氖', 'ne', 'neon'];氖者（化學符號：Ne、原子序：十，舊譯氝，訛作氞），化學元素也，屬稀有氣體，無色。
amount-of-matter;['碳酰氯', '光氣', '氯代甲酰氯'];碳酰氯，亦稱光氣，式曰COCl2，有機化合物也。
amount-of-matter;['乙酸', '醋酸'];乙酸，或曰醋酸、冰醋酸、醋強，式CH3COOH，官品一元羧酸也，親水親烴。
amount-of-matter;['氰'];氰，碳氮合質，一譯，式記2。
amount-of-matter;['氯', 'cl'];氯者，化學元素也，符號為Cl，原子序十七，屬鹵素。
amount-of-matter;['氮', 'n'];氮者（化學符號：N、原子序：七），非金屬化學元素也，無色，常并二為雙原子，性稍惰。
amount-of-matter;['鹽'];鹽者，一譯鹺，離子化合物也，并金屬離子、非金屬離子而生，或并酸鹼得之。
amount-of-matter;['氫氧根'];氫氧根者（化學符號為OH-），其氫與氧之間以共價鍵而連，遂整荷負一。
amount-of-matter;['鍀', '鎝'];鍀者（化學符號：Tc、原子序：四十三），又曰鎝，化學元素也，屬過渡金屬。
amount-of-matter;['銅', 'cu'];銅者，化學元素也，符號Cu，原子序廿九，屬過渡金屬、五金。
amount-of-matter;['催淚氣', '催淚彈', '催淚煙'];催淚氣，又稱催淚煙，毒氣也，屬化學武器。
amount-of-matter;['鉻'];鉻者，化學元素也，符號Cr，原子序廿四，屬過渡金屬。
amount-of-matter;['錳'];錳者，化學元素也，符號Mn，原子序廿五，屬過渡金屬。
amount-of-matter;['鈷'];鈷者（化學符號：Co、原子序：廿七），化學元素也，屬過渡金屬。
amount-of-matter;['鎳'];鎳者（化學符號：Ni、原子序：廿八），化學元素也，屬過渡金屬。
amount-of-matter;['鉍'];鉍者（化學符號：Bi、原子序：八十三），金屬化學元素也。
amount-of-matter;['鎢'];鎢者（化學符號：W、原子序：七十四），化學元素也，屬過度金屬，貌鋼灰或銀白，質硬。
amount-of-matter;['二氧化碳', 'co2', '炭養'];二氧化碳（ CO 2 {\displaystyle {\ce {CO 2}}} ）者，自然而生，合二氧一碳而成，屬化合物。
amount-of-matter;['鉑', 'pt', '白金'];鉑者（化學符號：Pt、原子序：七十八，又曰白金），金屬化學元素也，屬過渡金屬。
amount-of-matter;['汞', '水銀'];汞，俗稱水銀，化學元素也，符號為Hg，原子序八十，屬過渡金屬。
amount-of-matter;['鈾', 'u'];鈾，化學元素也，符號為U，原子序九十二。
amount-of-matter;['鎂'];鎂者，化學元素也，符號Mg，原子序十二，屬鹼土金屬。
amount-of-matter;['鉀'];鉀者（化學符號：K、原子序：十九），化學元素也，屬鹼金屬。
amount-of-matter;['鈹'];鈹者（化學符號：Be、原子序：四），化學元素也。
amount-of-matter;['鈦'];鈦者（化學符號：Ti、原子序：廿二），化學元素也，屬過渡金屬。
amount-of-matter;['液晶', '流晶'];液晶者，物相也。
amount-of-matter;['酒'];酒者，內有酒精，所以飲也。
amount-of-matter;['合金'];合金者，二物或多物相混，其一金屬，抑多金屬相混，而顯金屬之性者也。
amount-of-matter;['磷', '燐'];磷者（化學符號：P，原子序：十五，字亦作「燐」），化學非金屬元素也。
amount-of-matter;['烷烴'];烷烴者，又名石蠟烴，或譯完質，洋名Alkane，官品之屬也，無官能團，故性惰。
amount-of-matter;['氧', '氧氣'];氧，舊譯氱、養，化學元素也，符號為 O {\displaystyle {\ce {O}}} ，原子序八，屬氧族、非金屬也。
amount-of-matter;['碘'];碘者，化學元素也，符號I，原子序五十三，屬鹵素也。
amount-of-matter;['溴', 'br'];溴者（化學符號：Br、原子序：卅五），化學元素也，屬鹵素。
amount-of-matter;['氫', '氢', '水素'];氫者（化學符號︰H、原子序︰一、拉丁語謂Hydrogenium），化學元素也，諸元素至輕者，故音；常態之下，二合為一，是為氫氣，故作氣部。
amount-of-matter;['氟', 'f', 'flüor'];氟者（化學符號：F、原子序：九），化學元素也，屬鹵素，色淡黃，蝕性強，有毒。
amount-of-matter;['脫氧核糖核酸', 'dna', '脱氧核糖核酸'];脫氧核糖核酸，畧稱DNA，同疇者RNA，即謂之核糖核酸也，相異之處，一於單雙縷之別，二於氧也，三以尿嘧啶代胸腺嘧啶也。
amount-of-matter;['高錳酸鉀', '過錳酸鉀'];高錳酸鉀者（式：KMnO4），強氧化劑是也，亦呼曰過錳酸鉀，乃鉀、氧化錳之合也。
amount-of-matter;['鍅', '鈁'];鍅，又譯鈁，化學元素也，符號為Fr，原子序八十七，屬鹼金屬，百金之中，其惟至烈，合水霹靂亟變。
amount-of-matter;['氡', 'radon'];氡者，意「閃光之」，化學元素也，符號Rn，原子序八十六，屬稀有氣體，無色、嗅、味，具放射也。
amount-of-matter;['碳十四'];碳十四者，碳之同位素也。
amount-of-matter;['銫', 'cs'];銫者（化學符號：Cs、原子序：五十五），化學元素也，屬鹼金屬，第六週期元素也。
amount-of-matter;['鍶'];鍶者（化學符號：Sr、原子序：卅八），化學元素也，屬鹼土金屬。
amount-of-matter;['鈈', 'pu', '鈽'];鈈（化學符號：Pu、原子序：九十四），亦作鈽，化學元素也，屬錒系金屬。
amount-of-matter;['鎇', 'am', '鋂'];鎇者（化學符號：Am、原子序：九十五），亦作鋂，金屬化學元素也，屬錒系，遇氧漸啞，弱具放射性，乃人工製之。
amount-of-matter;['釕'];釕，化學元素也，符號為Ru，原子序四十四，屬過渡金屬。
amount-of-matter;['鎵'];鎵者（化學符號：Ga、原子序：卅一），化學元素也，屬主族金屬。
amount-of-matter;['碳酸鈣'];碳酸鈣者，常稱石灰石、灰石，非官品也。
amount-of-matter;['鏷', '镤'];鏷，舊譯作鎃，化學元素也，符號為Pa，原子序九十一。
amount-of-matter;['鋁'];鋁者（化學符號：Al、原子序：十三），化學元素也，屬主族金屬。
amount-of-matter;['錫', 'sn'];錫者（化學符號：Sn、原子序：五十），化學元素也，屬主族金屬、五金之類，銀白，所耗廣。
amount-of-matter;['釔', 'y'];釔者（化學符號：Y、原子序：卅九），化學元素也，屬過渡金屬。
amount-of-matter;['鈉'];鈉者（化學符號：Na、原子序：十一），化學元素也，屬鹼金屬。
amount-of-matter;['油'];油，碳氫化合物之類也。
amount-of-matter;['鉈'];鉈（化學符號：Tl、原子序：八十一），化學元素也，屬主族金屬。
amount-of-matter;['鉛', 'pb'];鉛者，化學元素也，符號Pb，原子序八十二，屬主族金屬。
amount-of-matter;['銫', 'cs'];銫者（化學符號：Cs、原子序：五十五），化學元素也，屬鹼金屬，第六週期元素也。
amount-of-matter;['鍶'];鍶者（化學符號：Sr、原子序：卅八），化學元素也，屬鹼土金屬。
amount-of-matter;['鋰'];鋰者，化學元素也，符號Li，原子序三。
amount-of-matter;['銣'];銣者（化學符號：Rb、原子序：卅七），化學元素也，屬鹼金屬。
amount-of-matter;['釩'];釩者（化學符號：V、原子序：廿三），化學元素也，屬過渡金屬。
amount-of-matter;['釷'];釷，舊譯作釖、鋀，化學元素也，符號為Th，原子序九十。
amount-of-matter;['銀'];銀者（化學符號：Ag、原子序：四十七），化學元素也，屬過渡金屬、五金之類。
amount-of-matter;['金', '黃金'];金者（化學符號：Au、原子序：七十九），罕有金屬化學元素也，屬過渡金屬，亦為五金之首。
amount-of-matter;['氫氧化鈉'];氫氧化鈉（化學之名：NaOH），又謂燒鹼、火鹼、苛性鈉。
amount-of-matter;['香'];香，氣之芬芳者也。
amount-of-matter;['硅', '矽'];硅（中國大陸、日本所稱）、又稱矽（香港、澳門、臺灣所稱），化學元素也，符號為Si，原子序十四，屬半金屬，用諸半導體。
amount-of-matter;['草酸'];↔草酸者，官品，羧酸也，式 HOOC − COOH / 2 ⋅ nH 2 O / C 2 H 4 O 2 {\displaystyle {\ce {HOOC-COOH/ 2.nH 2O/C 2H 4O 2}}} 也。
amount-of-matter;['二氧化硫', 'so2'];二氧化硫（式書SO2），硫之氧化物也。
amount-of-matter;['硒'];硒者（化學符號：Se、原子序：卅四，洋謂Selenium），化學元素也，屬主族非金屬。
amount-of-matter;['硼'];硼者（化學符號：B、原子序：五），化學元素也，屬半金屬，存於硼砂礦、硼鈉方解石礦。
amount-of-matter;['氦'];氦者（化學符號︰He、原子序︰二），化學元素也。
amount-of-matter;['砒', '砷'];砒者（化學符號：As、原子序：卅三），化學元素也，今謂之砷者也，屬主族類金屬。
amount-of-matter;['碳酸'];碳酸者，溶二氧化碳於水中而成。
amount-of-matter;['鈣', 'ca'];鈣者，舊譯ð¨ª·、鉐，化學元素也，符號Ca，原子序廿，屬鹼土
amount-of-matter;['乳', '乳汁', '奶'];乳者，亦稱乳汁，俗作奶，哺乳動物皆有之，蓋其所賴以飼子孫者也，乳皆出雌性，乳腺之精華也。
amount-of-matter;['砒霜'];砒霜，化學之名曰三氧化二砷。
amount-of-matter;['鈧', 'sc'];鈧者（化學符號：Sc、原子序：廿一、洋謂Scandium，嘗譯鉰、鏮），化學元素也，屬過渡金屬。
amount-of-matter;['碳', '炭'];碳者，化學元素也，符號C，原子序六，為非金屬。
amount-of-matter;['硫', '硫磺'];硫者（化學符號：S、原子序：十六），非金屬化學元素也。
amount-of-matter;['青銅'];青銅者，以銅、錫、鉛合鑄之而成。
amount-of-matter;['阿司匹靈', '阿司匹林', '阿斯匹林'];阿司匹靈，一譯阿司匹林，即乙酰水楊酸，化學式「碳九氫八氧四」（C9H8O4），構造「碳氫三碳氧氧碳六氫四碳氧氧氫」（CH3COOC6H4COOH），鎮痛解熱之藥也。
amount-of-matter;['鹽酸', '氫氯酸'];鹽酸，一稱鹽鏹，氯化氫舊譯綠化輕之水溶液也，屬混合物，化學式為HCl。
amount-of-matter;['醣類', '碳水化合物', '糖类', '糖類'];醣類（英言：Carbohydrate），或曰碳水化合物，廣布自然，常構之以碳、氫、氧三素，乃多羥基醛、酮及其縮聚、衍生之物也。
amount-of-matter;['鐳'];鐳者（化學符號：Ra、原子序：八十八，意「放射性」），金屬化學元素也，屬鹼土金屬，貌銀而白，性烈，遇水即燃而暴起，遇氧漸啞、稍黑。
amount-of-matter;['一氧化碳', 'co'];一氧化碳，式書CO，為一氧原子並一碳原子而得之無機氣體。
amount-of-matter;['羧酸'];羧酸者，官品，式 RCOOH {\displaystyle {\ce {RCOOH}}} 。
amount-of-matter;['有機化合物', '官品', '有機物'];有機化合物，略作有機物，一譯官品，碳化合物也，為生命之本。
amount-of-matter;['氧化物'];氧化物者，無機化合物也，并負價氧離子、另一元素而為之。
amount-of-matter;['無機化合物', '無官', '無機物', '非官品'];無機化合物，亦無機物、無官，水、鹽、硫酸之類皆從與此，蓋非官品也，夫有機物者，含碳之化合物也。
amount-of-matter;['鑭系元素'];鑭系元素者，有金屬元素十五，自鑭至鑥。
amount-of-matter;['醛'];醛者，官品也，式R-CHO。
amount-of-matter;['酮'];酮，屬官品，官能團之一也。
amount-of-matter;['朊', '蛋白質'];朊者，百昌之源，自洋文protein也，通譯「蛋白質」，亦兼音義曰「胞蛋質」，屬有機高分子。
amount-of-matter;['醇'];醇者，官品也，式R-OH。
amount-of-matter;['金屬'];金屬，亦名金，乃一具光澤，能延展，可導電之物，其導熱性較非金屬佳。
amount-of-matter;['鹼土金屬'];鹼土金屬者，第二族金屬也，乃鈹、鎂、鈣、鍶、鋇、鐳。
amount-of-matter;['鹵素'];鹵素曰六同族非金屬於表內，氟、氯、溴、碘、砹、Uus，皆為第七主族。
amount-of-matter;['稀有氣體'];稀有氣體，乃氦，氖，氬，氪，氙，氡與週期表內，性皆穩定，最外達八為安，謂「八隅體」，故難以反應。
amount-of-matter;['鹼金屬'];鹼金屬曰六同族金屬於表內，鋰、鈉、鉀、銣、銫、鈁。
amount-of-matter;['化學元素', '元素'];元素者，又譯原質、原行、極微，物質之本，非分子、原子、離子之謂，乃以質子數論其類也。
amount-of-matter;['鹼'];鹼，一譯ð¨，與酸相對之物也，氫氧根並鹼金屬、鹼土金屬所
amount-of-matter;['酸'];酸，一名鏹，乃由氫離子與酸根離子結合之物也，常見之酸有CH3COOH（乙酸），H2SO4（硫酸），HNO3硝酸，HCl鹽酸等。
amount-of-matter;['烯烴'];烯烴者，洋名Alkene，一譯羸質，官品也，其碳樞必有碳－碳雙鍵矣。
amount-of-matter;['氨基酸'];氨基酸，或曰胺基酸者，朊之元也。
amount-of-matter;['可樂'];可樂者，飲也。
amount-of-matter;['乳', '乳汁', '奶'];乳者，亦稱乳汁，俗作奶，哺乳動物皆有之，蓋其所賴以飼子孫者也，乳皆出雌性，乳腺之精華也。
amount-of-matter;['牛乳', '駝酪'];牛乳，亦稱駝酪，色白，所以飲。
amount-of-matter;['豬油'];豬油，豚之脂膏也。
amount-of-matter;['尿素'];尿素，（正名碳醯二胺，又曰脲者），官品也，式CON2H4、(NH2)2CO、CN2H4O。
amount-of-matter;['乙醇', '酒精'];乙醇，醇類也，式CH3CH2OH。
amount-of-matter;['硝酸'];硝酸者，強酸也，三酸兩鹼一也。
amount-of-matter;['紅酒'];紅酒者，酒也。
biological-object;['陰脈'];陰脈，何也？
biological-object;['陽脈'];陽脈，何也？
biological-object;['麥齒'];麥齒，女陰之一部位也。
biological-object;['线粒体'];线粒体或粒体线（mitochondrion），是一种在多真核细胞中之由二层膜包为之细胞器，径在0.5至10微米左右。
biological-object;['腺', '腺體', '𣝗'];腺或腺體，舊譯ð£、核、核粒、肉核，體中泌物者也，動物
biological-object;['肺'];肺，金臧也，為氣，藏於右。
biological-object;['腦'];腦，元神之所在也。
biological-object;['細胞'];細胞者，又譯䏭、微胞、質房，一名生元，生類之根本也。
biological-object;['股骨', '髀'];股骨，狀粗長，蓋臂膝之所依也。
biological-object;['玉莖'];玉莖，或曰（陽具）、（陽物）、（陰體）、（人道）、（身根），男之一體也。
biological-object;['目'];目者，今俗稱眼。
biological-object;['腹'];腹，胸下之體腔也，以膈肌隔之，胃腸肝腎膀胱，此五官並收於腹內，腹內之腔，尤車之油江，凡有食者，進而處之，消融者，胃之功也；吸收者，腸之功也；營養殆盡之殘羹，以腸腎膀胱排外。
biological-object;['琴弦'];琴弦，女陰之一部位也。
chemical-object;['分子'];分子者，原子之合也，原子、分子、離子三者概謂曰：「端（微粒）」，其極微不能目見，義大利化學家阿伏伽德羅名之。
chemical-object;['離子', '傳點'];離子，又譯傳點、電使，與原子、分子並稱萬物之基本粒子也，因其製法曰電離，得名「離子」。
chemical-object;['朊', '蛋白質'];朊者，百昌之源，自洋文protein也，通譯「蛋白質」，亦兼音義曰「胞蛋質」，屬有機高分子。
chemical-object;['同位素'];原子，質子、中子相成為之。
chemical-object;['官能團', '官能基'];官能團者，又曰官能基、功能團，賦性官品之原子、原子團也。
classification-system;['陽曆', '太陽曆'];陽曆，曆也，又云太陽曆。
classification-system;['儒略曆'];儒略曆者，泰西之曆也。
classification-system;['格里曆', '公元', '公曆', '格列高里曆', '西元', '西曆', '陽歷'];格里曆者，亦名「格列高利曆」、「格列哥里曆」，陽曆也。
cognitive-event;['因式分解'];因式分解者，幾無異於求自然數之因數也，惟求因者乃一多項式，而非凡數也；而後，書之為眾多項式之積。
cognitive-event;['帝國主義'];帝國主義者，古所謂遠略者也。
cognitive-event;['鎖國'];鎖國者，閉關鎖國也。
cognitive-event;['導數', '導函數'];導數者，函數某點之變率也，以極限趨之所得也。
cognitive-modal-description;['棒喝主義', '法西斯', '法西斯主義', '結束主義'];棒喝主義，日譯結束主義，音譯法西斯（義大利語fascismo）。
cognitive-modal-description;['共產主義', '共产主义'];共產主義者，旨於立共產社會，曰：人無階級，國無界分，財皆公有，各盡所能，按需分之。
cognitive-modal-description;['意理', '意德沃羅基', '意締牢結', '意識形態'];意理，或云意識形態、意締牢結者，論議之本也。
cognitive-modal-description;['智障'];智障復稱智缺，俗謂以腦為器質性之害或以腦幹不盡以為識動之恒礙及舉心動之障。
combinatorial-system;['語法學'];語法學為語法之學，多指以下三者：
course;['死', '亡'];死者，天命之所終也。
course;['日食', '日蝕'];日食者，月掩日光也。
course;['車裂'];車裂，轅、磔。
dependent-place;['原子核'];核者，通云原子核，原子之心也，原子質重源焉。
dependent-place;['角'];角者，旋之度也。
ecological-collective;['植物'];植物者，真核生物域之一界。
event;['海溢'];海溢者，由海底之震、火山起、海底移或氣化生之巨浪。
event;['山崩', '山體滑坡'];山之崩者，岩石土壤因勢坍墜也。
