agentive-figure;['te ekalesia a iesu mesia i te feia mo‘a i te hau mahana hopea nei'];Te Ekalesia a Iesu Mesia i te Feia Mo‘a i te hau Mahana Hopea nei
agentive-physical-object;['taruā'];E rā’au te taruā, nō te fēti’i o te Araceae.
agentive-physical-object;['tapotapo'];E rā’au te tapotapo, nō te fēti’i o te Annonaceae.
agentive-physical-object;['rea tahiti', 're’a tahiti'];E rā’au te re’a tahiti, nō te fēti’i o te Zingiberaceae.
biological-object;['raitihi'];E rā’au te raitihi, nō te fēti’i o te Sapindaceae.
biological-object;['tōtara', 'tapotapo taratara'];E rā’au te tōtara, ’e te tapotapo taratara, nō te fēti’i o te Annonaceae.
biological-object;['tāporo', 'citrus aurantifolia'];E rā’au te tāporo, nō te fēti’i o te Rutaceae.
functional-matter;['raitihi'];E rā’au te raitihi, nō te fēti’i o te Sapindaceae.
functional-matter;['tōtara', 'tapotapo taratara'];E rā’au te tōtara, ’e te tapotapo taratara, nō te fēti’i o te Annonaceae.
functional-matter;['tāporo', 'citrus aurantifolia'];E rā’au te tāporo, nō te fēti’i o te Rutaceae.
geographical-object;['tuha’a pae mā'];Te ta’amotu nō Tuha’a pae mā i Pōrīnetia farāni.
geographical-object;['tūāmotu mā', 'tuamotú'];Te ta’amotu nō Tūāmotu mā i Pōrīnetia farāni.
geographical-object;['ma’areva mā'];Te ta’amotu nō Ma’areva mā i Pōrīnetia farāni.
geographical-object;['’enana mā'];O te Fenua Enana te ta'amotu i te pae 'apeto'erau no taumotu ma.
geographical-object;['tahiti'];’O Tahiti, e fenua no Pōrīnetia farāni ’oia, i te ’apato’a o te moana Pātitifā.
geographical-object;['pōrīnetia'];’O Pōrīnetia ’aore ra ’o te Ao mā’ohi te hō’ē pae o te ao nei i te moana Pātitifā.
geographical-object;['moana pātitifā', 'pātitifā apato’a'];’O te moana Pātitifā ’aore ra ’o te moana Pātifita te moana rahi roa a’e i te ao nei, 180 000 000 km² tōna rahira’a.
information-realization;['te buka a moromona', 'buka a moromona'];Ua arata‘ihia o Iosepha Semita e te hoê ve‘a no te ra‘i mai o Moroni to’na i‘oa i te hoê aivi i reira te mau papaa parau auro i te huna-raa-hia no na tenetere e rave rahi.
information-realization;['te evanelia a ioane ra', 'ioane'];Ivai na te Logo i te matamua ra, i te Atua ra hoy te Logo, e o te Atua hoy te Logo.
language;['anglès', 'reo paratāne'];’O reo Paratāne te hō’ē ’oire iti nō Paratāne.
language;['reo tinitō'];E te Reo Tinitō nō Tinitō, i ’Ātia.
language;['reo otitānia'];E te reo Otitānia (reo Otitānia Occitan, Lenga d’òc) nō Otitānia, i ’Europa.
language;['reo paniora'];E te reo Paniora (reo Paniora español, castellano) nō Paniora, i ’Europa.
language;['reo rūtia'];E te reo Rūtia (русский язык, /russkij jazyk/) nō Rūtia, i ’Europa mā ’Ātia.
language;['reo heremani'];E te Reo Heremani nō Heremani, i ’Europa.
locative-role;['edirne'];’O Edirne, te hō’ē ’oire iti nō Turiti.
locative-role;['los angeles'];’O Los Angeles te hō’ē ’oire iti nō Fenua Marite.
locative-role;['peretāne iti'];Tei Farāni te fenua Peretāne Iti.
locative-role;['terepia', 'србија'];Te fenua Terepia (reo Terepia Србија, Srbija, Република Србија, Republika Srbija) i ’Europa.
locative-role;['rituania'];Te fenua Rituania (Rit.: Lietuva) i ’Europa.
locative-role;['são paulo'];’O São Paulo te hō’ē ’oire nō Brazil.
locative-role;['chicago'];’O Chicago te hō’ē ’oire nō Fenua Marite.
locative-role;['pape’ete', 'papeete'];’O Papeete te ’oire pū nō Pōrīnetia farāni i Tahiti.
locative-role;['valparaíso'];O Valparaíso te hō’ē ’oire i Tīri
locative-role;['rio de janeiro'];’O Rio de Janeiro te hō’ē ’oire i Parīihi.
locative-role;['detroit'];’O Detroit te hō’ē ’oire iti nō Fenua Marite.
locative-role;['new york'];’O New York te hō’ē ’oire nō Fenua Marite.
physical-body;['tāèro'];E fetià horo ò Tāèro.
physical-object;['louvre'];Louvre Paris Open: 1793 60 000 m² 2007: 8 300 000 visit Mona Lisa, The Virgin and Child with St.
political-geographic-object;['edirne'];’O Edirne, te hō’ē ’oire iti nō Turiti.
political-geographic-object;['los angeles'];’O Los Angeles te hō’ē ’oire iti nō Fenua Marite.
political-geographic-object;['norvège', 'noruvetia', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge'];Tei ’Europa te fenua Noruvetia.
political-geographic-object;['tāpōnē'];Te fenua Tāpōnē (reo Tāpōnē 日本, Nihon (Nippon), 日本國, Nihon-koku (Nippon-koku)) i ’Ātia.
political-geographic-object;['hāmoa', 'samoa'];E fenua Hāmoa (reo sm Malo Sa'oloto Tuto'atasi o Samoa – « Independent State of Samoa ») i Pātitifā Apato’a.
political-geographic-object;['pōrīnetia farāni', 'pōrīnetia fōrani'];E vaataata na te moana ’o Pōrīnetia farāni i Pātitifā Apato’a.
political-geographic-object;['paratāne', 'peretāne'];Te fenua Peretāne (reo Inglis United Kingdom of Great Britain and Northern Ireland) i ’Europa.
political-geographic-object;['paniora'];Te fenua Paniora (reo Paniora España, Reino de España) i ’Europa.
political-geographic-object;['to’a', 'tonga'];E fenua ’o To’a (reo To’a Puleʻanga Fakatuʻi ʻo Tonga – « Kingdom of Tonga ») i Pātitifā Apato’a.
political-geographic-object;['auterāria', 'autereraria', 'australia', 'àuterāria'];’O Auterāria (reo Inglis Australia) fenua i Pātifitā Apato’a.
political-geographic-object;['tatarūnia'];E fenua Tatarūnia (reo Tatarūnia Catalunya, reo Otitānia Catalonha, reo Paniora Cataluña) i ’Europa.
political-geographic-object;['heremani', 'germany'];I ’Europa te fenua Heremani.
political-geographic-object;['’inītia'];Te fenua ’Inītia (reo ’Inītia भारत गणराज्य, Bhārat Gaṇarājya), i ’Ātia.
political-geographic-object;['’itāria'];Te fenua ’Itāria (reo ’Itāria Italia, Repubblica italiana) i ’Europa.
political-geographic-object;['farāni', 'france'];Tei ’Europa te fenua Farāni (reo farāni France, République française).
political-geographic-object;['madagascar', 'matatatihata'];'O Matatatihata (Mata.: Repoblikan'i Madagasikara) te fenua nō ’Afirita.
political-geographic-object;['são paulo'];’O São Paulo te hō’ē ’oire nō Brazil.
political-geographic-object;['lisboa'];’O Lisboa (reo Pōtītī Lisboa) te ’oire pū nō Pōtītī.
political-geographic-object;['lima'];’O Lima te ’oire pū nō Peru.
political-geographic-object;['bogota'];’O Bogota te ’oire pū nō Colombia.
political-geographic-object;['roma'];E ’Itāria te ’oire pū Roma.
political-geographic-object;['beograd'];’O Beograd te ’oire pū nō Terepia.
political-geographic-object;['berlin'];Ò Berlin te ’oire pū no Heremani.
political-geographic-object;['port-vila', 'port vila'];E òire ò Port-Vila, te òire pū no Vanuatu òia.
political-geographic-object;['moscou'];’O Moscou te ’oire pū nō Rūtia.
political-geographic-object;['chicago'];’O Chicago te hō’ē ’oire nō Fenua Marite.
political-geographic-object;['finerati'];Te fenua Finerati i ’Europa.
political-geographic-object;['asuncion'];’O Asuncion te ’oire pū nō Paraguay.
political-geographic-object;['santiago de chile'];E Tīri te ’oire pū Santiago de Chile.
political-geographic-object;['suva'];E òire ò Suva, te òire pū no Vītī òia.
political-geographic-object;['paris'];E Farāni te ’oire pū Paris.
political-geographic-object;['tokyo'];’O Tokyo (reo Tāpōnē 東京, Tōkyō) te ’oire pū nō Tāpōnē.
political-geographic-object;['oslo'];E Noruvetia te ’oire pū Oslo.
political-geographic-object;['port-moresby', 'port moresby'];E òire ò Port-Moresby, te òire pū no Pāpua òia.
political-geographic-object;['patava'];’O Patava te ’oire pū no Pōrana.
political-geographic-object;['madrid'];E Paniora te ’oire pū Madrid.
political-geographic-object;['stockolm'];Ò Stockolm te òire pū no Tuete.
political-geographic-object;['montevideo'];’O Montevideo te ’oire pū nō Uruguay.
political-geographic-object;['caracas'];’O Caracas te ’oire pū nō Venezuela.
political-geographic-object;['canberra'];’O Kānapera te ’oire pū nō Auterāria.
political-geographic-object;['minsk'];’O Minsk (reo Belarus Мінск) te ’oire pū nō Belarus.
political-geographic-object;['brasilia'];Ò Brasilia te òire pū no te fenua Parīihi.
political-geographic-object;['pape’ete', 'papeete'];’O Papeete te ’oire pū nō Pōrīnetia farāni i Tahiti.
political-geographic-object;['whanga-nui-a-tara', 'wellington'];’O Whanga-nui-a-Tara (reo Inglis Wellington) te ’oire pū nō Aotearoa.
political-geographic-object;['melbourne'];’O Melbourne te hō’ē ’oire i Autereraria.
political-geographic-object;['apia'];’O Apia te ’oire pū nō Hāmoa.
political-geographic-object;['valparaíso'];O Valparaíso te hō’ē ’oire i Tīri
political-geographic-object;['rio de janeiro'];’O Rio de Janeiro te hō’ē ’oire i Parīihi.
political-geographic-object;['sydney'];’O Sydney te hō’ē ’oire i Autereraria.
political-geographic-object;['detroit'];’O Detroit te hō’ē ’oire iti nō Fenua Marite.
political-geographic-object;['new york'];’O New York te hō’ē ’oire nō Fenua Marite.
political-geographic-object;['brazil', 'parīihi'];Te fenua Parīihi i Marite.
region;['mahana'];Teie te ravea no to te feia Tahiti taioraa i te mau "mahana" i tahito ra, mai te tahi aahiata te taioraa e tae noa'tu i te rahi.
socially-constructed-person;['adamu', 'adam'];Ua heheu te Atua i te evanelia a Iesu Mesia ia Adamu e ua horo‘a ia’na te mana no te autahu‘araa.
socially-constructed-person;['ronald reagan'];Ò Ronald Wilson Reagan II te 40 o te peretiteni no te fenua Marite, fānauhia i te 6 no âtete 1911 i Tampico.
socially-constructed-person;['iosepha semita', 'joseph smith'];Te faaea ra Iosepha Semita i te mau Hau Amui no Marite, o te reira paha ïa te fenua tei fana‘o i te ti‘amâraa no te pae faaroo i taua tau ra.
socially-constructed-person;['buddha'];Fanauhia i te matahiti 563 hou te Mesia i te hoê taata faatere no te fenua Initia i Nepal.
socially-constructed-person;['john calvin'];Fanauhia i te 10 no tiurai 1509 i Farani.
socially-constructed-person;['martin luther'];Martin Luther
taxonomic-collective;['tumu taofe'];E rā’au te tumu taofe, nō te fēti’i o te Rubiaceae.
taxonomic-collective;['tīpaniē'];E rā’au te tīpaniē, nō te fēti’i o te Apocynaceae.
taxonomic-collective;['vavai'];E rā’au te vavai, nō te fēti’i o te Malvaceae.
taxonomic-collective;['ahi', 'santalum'];E rā’au te ahi, nō te fēti’i o te Santalaceae.
